Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Districts,Prime
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC",5.0,15.0
FULL TRAFFIC MAINTENANCE,-4142.0,387130.62,0.0,5.0,"ALFARO COMMUNICATIONS COMPANY
GRANITE CONSTRUCTION COMPANY
MURPHY IHDUSTRIAL COATINGS, INC.
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION, INC.
POWELL CONSTRUCTORS INC",12.0,5.0
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY",8.0,4.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",3.0,17.0
3531 TRUCKING,43.0,660000.0,0.0,1.0,C.A.RASMUSSEN INC,4.0,1.0
WESTERN TRAFFIC SUPPLY INC,-4142.0,2732315.0,0.0,8.0,"BAY CITIES PAVING & GRADING, INC.
BRIDGEWAY CIVIL CONSTRUCTORS, INC.
DESILVA GATES CONSTRUCTION
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",10.0,5.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",6.0,17.0
FULL TRAFFIC MAINTENANCE,-4142.0,387130.62,0.0,5.0,"ALFARO COMMUNICATIONS COMPANY
GRANITE CONSTRUCTION COMPANY
MURPHY IHDUSTRIAL COATINGS, INC.
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION, INC.
POWELL CONSTRUCTORS INC",8.0,5.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",5.0,17.0
FULL TRAFFIC MAINTENANCE,-4142.0,387130.62,0.0,5.0,"ALFARO COMMUNICATIONS COMPANY
GRANITE CONSTRUCTION COMPANY
MURPHY IHDUSTRIAL COATINGS, INC.
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION, INC.
POWELL CONSTRUCTORS INC",7.0,5.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",4.0,8.0
R N R CONSTRUCTION INC,-4142.0,21244557.5,0.0,1.0,J.F. SHEA CONSTRUCTION INC,2.0,1.0
G & G ELECTRIC,-4142.0,1434890.0,0.0,4.0,"LANDSCAPE SUPPORT SERVICES
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION INC
POWELL CONSTRUCTORS INC
",7.0,3.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",3.0,16.0
S & S TRUCKING,43.0,275440.0,0.0,2.0,"DISNEY CONSTRUCTION INC.
GRANITE ROCK COMPANY
",0.0,2.0
"LONE STAR LANDSCAPE, INC",-4142.0,353704.0,0.0,4.0,"GHILOTTI CONSTRUCTION CO. INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY",5.0,3.0
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC",4.0,15.0
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC",10.0,6.0
DON MAHAFFEY DRILLING COMPANY,-4142.0,2427504.0,1.0,2.0,"FLATIRON WEST, INC.",11.0,1.0
CENTRAL COAST TRAFFIC SAFETY,-4142.0,113189.06,0.0,2.0,"BRIDEWAY CIVIL CONSTRUCTORS INC
R. BURKE CORPORATION",5.0,2.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",2.0,8.0
LA FIRMA INC,-4142.0,825.0,0.0,1.0,2,5.0,1.0
CLAY MIRANDA TRUCKING,43.0,403200.0,1.0,1.0,TEICHERT CONSTRUCTION,6.0,1.0
FRANK MEDINA GENERAL ENGINEERING,-4142.0,905920.0,0.0,4.0,"O.C. JONES & SONS INC
CORAL CONSTRUCTION COMPANY 
PAPICH CONSTRUCTION COMPANY",5.0,3.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",1.0,16.0
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC",4.0,6.0
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC",7.0,15.0
FLORES SWEEPING SERVICE,-4142.0,198900.0,0.0,1.0,"A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
",10.0,1.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",1.0,17.0
ALL STATE TRUCKING,43.0,658690.0,0.0,3.0,SEMA CONSTRUCTION INC,6.0,1.0
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC",7.0,6.0
DOUBLE M TRUCKING,43.0,1106520.0,0.0,4.0,"O.C. JONES & SONS INC
TEICHERT CONSTRUCTION",4.0,2.0
JOSH ARBISO TRUCKING,43.0,22500.0,0.0,1.0,STEELHEAD CONSTRUCTION,2.0,1.0
J. TORRES COMPANY,-4142.0,367500.0,1.0,3.0,"BOSCO CONSTRUCTORS
GRANITE CONSTRUCTION COMPANY",6.0,2.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",4.0,16.0
PRE-CON PRODUCTS LTD,-4142.0,158648.92,0.0,2.0,"GHILOTTI CONSTRUCTION COMPANY INC
GRANITE CONSTRUCTION COMPANY",7.0,2.0
MEX ELECTRIC,-4142.0,11741665.0,0.0,4.0,"BROSAMER & WALL INC
Q&D CONSTRUCTION LLC
SECURITY PAVING COMPANY INC.",6.0,3.0
DRS REBAR INC,-4142.0,2028803.45,0.0,5.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION INC
ORTIZ ENTERPRISES INC.
SECURITY PAVING COMPANY INC",12.0,4.0
D.B. ELECTRIC INC,-4142.0,407510.0,0.0,3.0,"BAY CITIES PAVING & GRADING, INC.
COFFMAN SPECIALTIES
SEMA CONSTRUCTION",8.0,3.0
MEX ELECTRIC,-4142.0,11741665.0,0.0,4.0,"BROSAMER & WALL INC
Q&D CONSTRUCTION LLC
SECURITY PAVING COMPANY INC.",12.0,3.0
WESTERN TRAFFIC SUPPLY INC,-4142.0,2732315.0,0.0,8.0,"BAY CITIES PAVING & GRADING, INC.
BRIDGEWAY CIVIL CONSTRUCTORS, INC.
DESILVA GATES CONSTRUCTION
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",4.0,5.0
BARGAS ENVIRONMENTAL CONSULTING,-4142.0,189900.0,1.0,3.0,"C. A. RASMUSSEN, INC.     
ORTIZ ENTERPRISES, INC.   
SULLY-MILLER CONTRACTING COMPANY
",8.0,3.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


",8.0,17.0
J. TORRES COMPANY,-4142.0,367500.0,1.0,3.0,"BOSCO CONSTRUCTORS
GRANITE CONSTRUCTION COMPANY",4.0,2.0
J. TORRES COMPANY,-4142.0,367500.0,1.0,3.0,"BOSCO CONSTRUCTORS
GRANITE CONSTRUCTION COMPANY",7.0,2.0
GOLDEN BAY FENCE PLUS IRON,-4142.0,112981.0,0.0,2.0,"BRIDGEWAY CIVIL CONSTRUCTION INC
GRANITE ROCK COMPANY",5.0,2.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",3.0,8.0
FRANK MEDINA GENERAL ENGINEERING,-4142.0,905920.0,0.0,4.0,"O.C. JONES & SONS INC
CORAL CONSTRUCTION COMPANY 
PAPICH CONSTRUCTION COMPANY",4.0,3.0
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY",7.0,4.0
