Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Prime,Districts
DOUBLE M TRUCKING,43.0,1106520.0,0.0,4.0,"O.C. JONES & SONS INC
TEICHERT CONSTRUCTION",2.0,"3.0, 4.0"
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",9.0,"2.0, 4.0, 1.0, 6.0, 11.0, 5.0"
DRS REBAR INC,-4142.0,2028803.45,0.0,5.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION INC
ORTIZ ENTERPRISES INC.
SECURITY PAVING COMPANY INC",4.0,"8.0, 7.0, 12.0"
EAGLE ROCK INDUSTRIES,-4142.0,9828650.0,0.0,1.0,0,1.0,5.0
EIGHTEEN TRUCKING COMPANY,43.0,115000.0,1.0,2.0,GORDON N. BALL INC,1.0,4.0
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC",6.0,"10.0, 4.0, 7.0, 5.0"
FLORES SWEEPING SERVICE,-4142.0,198900.0,0.0,1.0,"A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
",1.0,10.0
FRANK MEDINA GENERAL ENGINEERING,-4142.0,905920.0,0.0,4.0,"O.C. JONES & SONS INC
CORAL CONSTRUCTION COMPANY 
PAPICH CONSTRUCTION COMPANY",3.0,"3.0, 5.0, 4.0"
FULL TRAFFIC MAINTENANCE,-4142.0,387130.62,0.0,5.0,"ALFARO COMMUNICATIONS COMPANY
GRANITE CONSTRUCTION COMPANY
MURPHY IHDUSTRIAL COATINGS, INC.
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION, INC.
POWELL CONSTRUCTORS INC",5.0,"12.0, 8.0, 7.0"
G & F CONCRETE CUTTING,-4142.0,2731524.51,1.0,4.0,"ALFARO COMMUNICATIONS CONSTRUCTION INC
FLATIRON WEST, INC.
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION
POWELL CONSTRUCTORS INC",4.0,"11.0, 8.0, 12.0"
G & G ELECTRIC,-4142.0,1434890.0,0.0,4.0,"LANDSCAPE SUPPORT SERVICES
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION INC
POWELL CONSTRUCTORS INC
",3.0,"8.0, 7.0, 11.0"
G.O. RODRIGUEZ TRUCKING ,43.0,137700.0,0.0,1.0,SPECTRUM CONSTRUCTION GROUP INC,1.0,8.0
GASPAR TRUCKING,43.0,178000.0,0.0,1.0,1,1.0,8.0
GOLDEN BAY FENCE PLUS IRON,-4142.0,112981.0,0.0,2.0,"BRIDGEWAY CIVIL CONSTRUCTION INC
GRANITE ROCK COMPANY",2.0,5.0
HOPPY'S SWEEPING SERVICES,-4142.0,65280.0,1.0,1.0,2,1.0,6.0
J. TORRES COMPANY,-4142.0,367500.0,1.0,3.0,"BOSCO CONSTRUCTORS
GRANITE CONSTRUCTION COMPANY",2.0,"6.0, 4.0, 7.0"
JOSH ARBISO TRUCKING,43.0,22500.0,0.0,1.0,STEELHEAD CONSTRUCTION,1.0,2.0
LA FIRMA INC,-4142.0,825.0,0.0,1.0,2,1.0,5.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",8.0,"10.0, 4.0, 2.0, 3.0, 8.0"
"LONE STAR LANDSCAPE, INC",-4142.0,353704.0,0.0,4.0,"GHILOTTI CONSTRUCTION CO. INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY",3.0,"5.0, 4.0"
M & S ENVIRONMENTAL ,-4142.0,974473.0,0.0,8.0,"GOLDEN STATE BRIDGE, INC.
HAT CREEK CONSTRUCTION
TEICHERT CONSTRUCTION
STEELHEAD CONSTRUCITON 
TULLIS, INC.
WEST COAST CONTRACTORS, INC. DBA OREGON WEST COAST CONTRACTORS",5.0,2.0
MANERI TRAFFIC CONTROL,-4142.0,2256208.8,0.0,13.0,"ALL AMERICAN ASPHALT
C.A. RASMUSSEN INC
COFFMAN SPECIALTIES
O'DONNELL CONSTRUCITON INC
LB CIVIL CONSTRUCTION
ORTIZ ENTERPRISES INC
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION
PTM ENGINEERING SERVICES, INC
RV CONCRETE, INC.
SEMA CONSTRUCTION INC
SULLY-MILLER CONTRACTING COMPANY
CALMEX ENGINEERING
",10.0,"7.0, 11.0, 8.0"
MEX ELECTRIC,-4142.0,11741665.0,0.0,4.0,"BROSAMER & WALL INC
Q&D CONSTRUCTION LLC
SECURITY PAVING COMPANY INC.",3.0,"3.0, 6.0, 12.0"
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY",4.0,"8.0, 7.0, 6.0, 12.0"
MONZON & SON ENTERPRISES INC,43.0,188970.0,0.0,3.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION COMPANY
PETERSON-CHASE GENERAL ENGINEERING",3.0,"8.0, 7.0"
MORALES CONTRACTING ,-4142.0,1124503.2,0.0,1.0,1,1.0,8.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OST TRUCKS AND CRANES INC.,-4142.0,51057.0,0.0,1.0,2,1.0,6.0
PRE-CON PRODUCTS LTD,-4142.0,158648.92,0.0,2.0,"GHILOTTI CONSTRUCTION COMPANY INC
GRANITE CONSTRUCTION COMPANY",2.0,7.0
PTM GENERAL ENGINEERING SERVICES,-4142.0,8609993.37,1.0,1.0,"PTM ENGINEERING SERVICES, INC
",1.0,7.0
QUALITY TRAFFIC CONTROL,-4142.0,11050.0,0.0,2.0,"PAVE-TECH INC
PETERSON-CHASE ENGINEERING CONSTRUCTION",2.0,8.0
R N R CONSTRUCTION INC,-4142.0,21244557.5,0.0,1.0,J.F. SHEA CONSTRUCTION INC,1.0,2.0
RANGEL BROTHERS ,43.0,600080.0,0.0,2.0,"SECURITY PAVING COMPANY
PAPICH CONSTRUCTION COMPANY INC",2.0,"5.0, 7.0"
S & S TRUCKING,43.0,275440.0,0.0,2.0,"DISNEY CONSTRUCTION INC.
GRANITE ROCK COMPANY
",2.0,0.0
SAN JOSE TRANSPORT,43.0,8000.0,0.0,1.0,0,1.0,5.0
SAVALA EQUIPMENT COMPANY INC,-4142.0,108441.7,1.0,2.0,"FLATIRON WEST, INC.
ORTIZ ENTERPRISES INC

",2.0,8.0
SAWMAN CONCRETE CUTTING,43.0,1094000.0,0.0,1.0,J MCLOUGHLIN ENGINEERING CO INC,1.0,8.0
SEALRIGHT PAVING,-4142.0,220276.0,0.0,1.0,LB CIVIL CONSTRUCTION INC,1.0,11.0
SoCAL WELDING,-4142.0,200796.0,0.0,1.0,DISNEY CONSTRUCTION INC.,1.0,4.0
TERRA WEST INC,-4142.0,20000.0,0.0,3.0,"HAZARD CONSTRUCTION COMPANY 
LB CIVIL CONSTRUCTION INC",2.0,11.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",16.0,"6.0, 10.0, 7.0, 5.0, 3.0, 1.0, 4.0, 8.0"
UNIVERSAL CONCRETE CONSTRUCTION,-4142.0,719714.25,0.0,1.0,2,1.0,8.0
VALDIVIA TRUCKING,43.0,1116000.0,0.0,3.0,GHILOTTI CONSTRUCTION COMPANY INC,1.0,"4.0, 1.0"
VINTAGE PAVING COMPANY,-4142.0,2439247.0,0.0,3.0,"MCM CONSTRUCTION INC
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC",2.0,0.0
WESTERN TRAFFIC SUPPLY INC,-4142.0,2732315.0,0.0,8.0,"BAY CITIES PAVING & GRADING, INC.
BRIDGEWAY CIVIL CONSTRUCTORS, INC.
DESILVA GATES CONSTRUCTION
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",5.0,"10.0, 4.0"
