Latitude,City,Index,Country
-34.58,flinders,545,AU
-46.13,tuatapere,279,NZ
-9.2,bukama,439,CD
-9.66,waingapu,252,ID
69.42,zapolyarnyy,549,RU
50.15,falmouth,221,GB
47.17,marystown,313,CA
-14.66,menongue,373,AO
-33.92,port elizabeth,200,ZA
7.42,kalmunai,330,LK
-12.7,camacari,522,BR
19.22,san patricio,88,MX
55.1,la ronge,403,CA
66.15,pangnirtung,123,CA
-25.17,beloha,454,MG
22.4,santa clara,435,CU
13.78,gigmoto,81,PH
-5.2,touros,314,BR
8.2,mabaruma,532,GY
-37.96,whakatane,203,NZ
5.72,sibut,422,CF
54.39,babynino,493,RU
37.73,ponta delgada,347,PT
67.47,tazovskiy,559,RU
21.43,mecca,331,SA
1.98,apac,178,UG
29.29,ormond beach,402,US
43.78,guca,548,RS
77.48,qaanaaq,110,GL
-24.13,aranos,316,
-9.8,atuona,70,PF
-46.19,mataura,80,NZ
1.74,sibolga,303,ID
56.55,novozavidovskiy,537,RU
26.89,birin,480,NP
-12.74,vilhena,104,BR
-33.01,saldanha,307,ZA
46.62,lasa,571,IT
22.93,nizwa,173,OM
-26.65,luderitz,185,
38.92,ichinoseki,64,JP
35.13,katsuura,54,JP
0.95,kamuli,367,UG
-15.82,itapirapua,31,BR
3.52,yokadouma,387,CM
64.18,nuuk,499,GL
31.81,huilong,93,CN
19.11,sawakin,397,SD
16.45,savannah bight,353,HN
69.49,talnakh,413,RU
4.09,yei,295,SS
1.64,impfondo,510,CG
-7.33,contamana,77,PE
35.91,zhoucheng,125,CN
-30.18,cidreira,66,BR
-28.24,imbituba,72,BR
-6.88,labuhan,213,ID
-19.06,alofi,198,NU
48.59,shubarshi,49,KZ
65.61,staryy nadym,240,RU
-0.95,luwuk,299,ID
69.38,leningradskiy,212,RU
40.6,fortuna,296,US
25.29,esna,253,EG
1.0,amapa,523,BR
56.05,grakhovo,543,RU
52.11,swan river,379,CA
27.18,asyut,10,EG
6.62,kulhudhuffushi,458,MV
18.5,phonhong,388,LA
33.02,summerville,515,US
27.63,ziro,207,IN
34.64,lompoc,227,US
25.52,tura,164,IN
-9.67,maceio,236,BR
52.14,williams lake,275,CA
-42.88,hobart,86,AU
32.0,midland,369,US
-23.13,yeppoon,469,AU
-1.83,cururupu,127,BR
-0.88,sorong,286,ID
47.15,lermontovka,455,RU
22.29,victoria,109,HK
-53.15,punta arenas,6,CL
64.9,leshukonskoye,163,RU
34.77,pafos,332,CY
8.08,ouadda,337,CF
-22.96,walvis bay,181,
9.19,tagusao,322,PH
50.69,lillooet,352,CA
-28.45,upington,274,ZA
31.61,gat,98,IL
31.9,el sauzal,269,MX
5.88,buchanan,428,LR
43.74,olga,376,RU
17.52,petatlan,378,MX
58.55,kirovo-chepetsk,350,RU
25.29,chabahar,562,IR
-28.87,hlotse,381,LS
-8.26,conceicao do araguaia,33,BR
12.63,mamallapuram,92,IN
61.99,paamiut,305,GL
-7.61,uige,47,AO
-24.7,ampanihy,51,MG
2.33,marsabit,526,KE
18.74,arlit,474,NE
57.81,ostrovskoye,503,RU
-19.67,nokaneng,538,BW
45.02,saint anthony,420,US
8.88,jalingo,446,NG
-24.53,chokwe,361,MZ
-33.01,gualeguaychu,470,AR
-14.27,sicuani,18,PE
-33.59,port alfred,34,ZA
29.96,shenjiamen,440,CN
22.89,cabo san lucas,260,MX
49.98,ulaangom,486,MN
-3.67,namatanai,351,PG
41.25,zonguldak,457,TR
2.18,bumba,142,CD
-0.95,padang,452,ID
-8.61,ruteng,136,ID
-18.37,poopo,443,BO
40.43,komsomolskiy,216,UZ
-2.68,pangkalanbuun,116,ID
11.5,jibuti,513,DJ
71.0,havoysund,102,NO
-8.84,luanda,579,AO
59.38,okhotsk,156,RU
8.12,ciudad bolivar,201,VE
61.68,kommunisticheskiy,174,RU
14.2,kutum,358,SD
44.5,divnomorskoye,488,RU
64.75,skelleftea,582,SE
12.22,alugan,345,PH
73.51,dikson,61,RU
18.22,the valley,300,AI
31.37,yicheng,5,CN
59.12,palana,572,RU
60.91,ous,341,RU
5.38,sinnamary,149,GF
33.19,avera,508,US
17.78,letpadan,147,MM
17.49,najran,540,SA
50.37,yekaterinoslavka,389,RU
-6.22,kieta,530,PG
-22.12,henties bay,162,
2.43,mersing,459,MY
-16.84,mocuba,478,MZ
69.7,pevek,180,RU
4.88,takoradi,144,GH
20.2,tessalit,512,ML
-19.76,esmeraldas,304,BR
-4.27,brazzaville,398,CG
-19.55,isangel,115,VU
25.81,uthal,394,PK
-20.21,quatre cocos,28,MU
50.3,kholtoson,52,RU
65.42,maniitsoq,425,GL
49.2,hailar,581,CN
-22.97,arraial do cabo,32,BR
43.06,oktyabrskoye,575,RU
47.67,torbay,187,CA
65.82,turukhansk,514,RU
41.32,durres,311,AL
46.43,asau,338,RO
24.83,durango,419,MX
9.49,bandarbeyla,408,SO
32.12,benghazi,297,LY
64.38,provideniya,15,RU
48.96,villepinte,404,FR
37.13,lakkion,146,GR
-17.71,caravelas,328,BR
-34.65,moron,340,AR
37.1,saint george,250,US
38.42,ishinomaki,298,JP
-15.33,chongwe,566,ZM
36.62,pacific grove,483,US
68.12,gravdal,497,NO
40.84,duzce,284,TR
18.1,reforma,25,MX
-10.45,kirakira,468,SB
-20.46,uyuni,179,BO
63.75,iqaluit,282,CA
46.49,vostok,277,RU
-16.52,vaitape,268,PF
65.28,norman wells,344,CA
60.75,haines junction,550,CA
20.87,celestun,226,MX
27.37,khandbari,564,NP
63.44,vestmannaeyjar,539,IS
-22.28,noumea,529,NC
-0.03,pontianak,432,ID
-23.07,cunha,453,BR
43.15,rochester,184,US
58.69,kodinsk,336,RU
60.82,hay river,261,CA
38.52,ribeira grande,118,PT
-20.23,poum,448,NC
69.65,tromso,323,NO
66.04,husavik,41,IS
64.5,nome,85,US
20.45,basco,401,PH
13.22,bathsheba,26,BB
51.62,clonakilty,412,IE
-16.7,fare,325,PF
21.53,deogarh,301,IN
-8.19,banjar,494,ID
-17.69,capelinha,145,BR
-0.9,puerto baquerizo moreno,382,EC
-37.83,mount gambier,175,AU
14.92,praia,498,CV
72.79,upernavik,46,GL
18.9,araouane,30,ML
52.83,stepnyak,267,KZ
43.8,urumqi,264,CN
41.28,nantucket,518,US
15.47,londa,447,IN
46.54,svetlaya,327,RU
44.17,shieli,78,KZ
43.41,north bend,230,US
-33.87,esperance,204,AU
9.59,dire dawa,195,ET
51.13,royal tunbridge wells,556,GB
22.57,sur,431,OM
65.09,terrak,569,NO
46.68,baruun-urt,383,MN
14.9,sao filipe,441,CV
27.98,guerrero negro,320,MX
-9.88,alta floresta,565,BR
52.33,macklin,151,CA
20.93,nouadhibou,424,MR
-35.17,ahipara,334,NZ
11.28,bubaque,471,GW
56.45,ayan,496,RU
34.98,niimi,134,JP
52.52,chernyshevsk,567,RU
61.36,sovetskiy,391,RU
55.74,thompson,94,CA
28.37,naze,206,JP
-20.52,souillac,57,MU
-16.48,faanui,139,PF
-33.93,cape town,29,ZA
56.67,neryungri,107,RU
-4.05,mangai,89,CD
-21.36,saint-philippe,356,RE
18.09,nouakchott,558,MR
19.22,miraflores,370,MX
2.04,mogadishu,220,SO
36.29,elizabeth city,375,US
-4.39,borba,106,BR
-16.07,norsup,218,VU
45.17,mantua,73,IT
50.7,port hardy,318,CA
41.71,yarmouth,580,US
-20.02,bowen,475,AU
-0.74,puerto ayora,8,EC
-8.42,lucapa,166,AO
42.78,muros,557,ES
8.3,ler,137,SS
62.23,klaksvik,112,FO
54.02,vanderhoof,177,CA
-3.55,wewak,87,PG
-34.42,hermanus,40,ZA
-45.87,dunedin,170,NZ
9.33,villa bruzual,215,VE
67.67,sorland,360,NO
51.26,moose factory,246,CA
21.32,son la,68,VN
18.3,indapur,544,IN
-34.68,kiama,521,AU
29.58,tiznit,43,MA
40.29,progress,430,US
12.18,san policarpo,90,PH
37.67,lorca,466,ES
-34.73,port lincoln,333,AU
-34.53,bredasdorp,59,ZA
20.5,adrar,126,MR
23.45,todos santos,399,MX
16.08,chilakalurupet,339,IN
25.05,jiwani,560,PK
-21.2,vaini,45,TO
21.32,ewa beach,434,US
-41.41,waipawa,415,NZ
55.13,radovitskiy,155,RU
-20.1,charters towers,577,AU
41.12,aksu,289,CN
14.4,marzuq,384,YE
-2.5,fonte boa,129,BR
41.87,toktogul,290,KG
29.03,jalu,527,LY
26.12,itoman,364,JP
56.54,liepaja,247,LV
-15.2,namibe,27,AO
-20.73,mount isa,157,AU
10.57,kavaratti,319,IN
-33.04,valparaiso,436,CL
-0.72,soure,266,BR
14.72,pak thong chai,450,TH
70.37,vardo,217,NO
-28.45,warmbad,19,
53.43,kurkino,183,RU
30.32,wadi musa,407,JO
-26.82,tucuman,449,AR
48.41,obodivka,492,UA
47.67,redmond,573,US
40.92,nola,531,IT
-21.22,mananjary,366,MG
45.25,ushtobe,395,KZ
65.61,tasiilaq,21,GL
64.84,fairbanks,209,US
70.47,clyde river,150,CA
-5.55,cabinda,244,AO
-17.53,tiarei,477,PF
68.75,cherskiy,111,RU
52.3,krasnogorskoye,520,RU
-1.63,sao miguel do guama,553,BR
-1.52,almeirim,409,BR
40.52,buston,225,TJ
-41.15,san carlos de bariloche,251,AR
71.92,saskylakh,196,RU
40.67,bolu,410,TR
-0.13,sao gabriel da cachoeira,293,BR
57.79,kodiak,2,US
63.05,beringovskiy,433,RU
42.25,broome,324,US
-29.95,coquimbo,528,CL
68.82,qasigiannguit,255,GL
40.22,changping,131,CN
59.7,nikolskoye,35,RU
-46.6,bluff,71,NZ
-20.7,oliveira,202,BR
32.45,abilene,385,US
48.92,saint-denis,152,FR
62.46,yellowknife,14,CA
-0.6,hithadhoo,58,MV
-31.63,illapel,42,CL
-18.59,conceicao da barra,276,BR
-39.2,okato,335,NZ
40.82,ashland,377,US
-32.03,rio grande,272,BR
-24.97,benjamin aceval,585,PY
4.14,meulaboh,231,ID
47.53,dossor,254,KZ
-14.48,mangochi,17,MW
56.82,vikulovo,302,RU
69.22,ilulissat,315,GL
11.0,dingle,4,PH
45.44,kropotkin,224,RU
64.57,ust-nera,372,RU
45.76,mandalgovi,462,MN
8.0,marawi,368,PH
38.61,carlyle,56,US
44.08,millau,119,FR
38.53,horta,516,PT
33.67,lamar,75,US
18.65,koregaon,552,IN
9.45,kyabe,258,TD
36.62,xining,464,CN
-41.07,burnie,100,AU
60.72,whitehorse,101,CA
7.38,yaan,263,NG
6.98,mizan teferi,159,ET
39.21,kapan,128,AM
14.3,yarim,563,YE
6.3,monrovia,476,LR
3.87,inirida,114,CO
9.82,point pedro,105,LK
52.46,borinskoye,386,RU
40.5,matera,495,IT
39.72,saravan,265,AM
-41.87,ancud,273,CL
-25.3,hervey bay,278,AU
44.25,cadillac,504,US
17.08,dicabisagan,234,PH
56.97,jurmala,158,LV
-19.52,miandrivazo,243,MG
-46.28,kaitangata,193,NZ
12.45,birnin kebbi,190,NG
48.85,hare bay,491,CA
46.82,sainte-thecle,501,CA
64.75,anadyr,541,RU
-33.65,busselton,36,AU
78.22,longyearbyen,82,SJ
67.45,srednekolymsk,343,RU
-3.46,kaili,444,ID
55.07,valleyview,418,CA
39.17,carbonia,561,IT
-28.77,geraldton,326,AU
-2.57,kavieng,143,PG
8.08,kanniyakumari,465,IN
69.41,dudinka,283,RU
62.67,khandyga,165,RU
-0.91,biak,536,ID
60.38,teya,135,RU
36.43,woodward,456,US
29.37,galveston,506,US
14.97,tanout,38,NE
-13.7,pisco,189,PE
-24.79,castro,133,BR
50.7,bayangol,245,RU
62.58,roald,122,NO
52.78,ushumun,103,RU
-24.96,cascavel,405,BR
4.93,cayenne,285,GF
53.62,barguzin,460,RU
58.52,high level,421,CA
15.12,quang ngai,355,VN
51.59,newport,306,GB
-21.15,saint-leu,524,RE
-8.47,bima,138,ID
20.89,kahului,291,US
-8.93,airai,65,TL
43.28,la pena,505,FR
-19.98,cap malheureux,219,MU
34.06,ontario,507,US
57.05,sitka,349,US
58.35,uddevalla,287,SE
-21.21,avarua,79,CK
14.43,soeng sang,329,TH
-31.25,rafaela,83,AR
-6.32,panguna,374,PG
14.35,san pedro,281,PH
-23.86,inhambane,176,MZ
34.95,fort oglethorpe,427,US
43.91,zhanakorgan,357,KZ
47.12,atyrau,312,KZ
-35.66,general pico,542,AR
-43.3,rawson,534,AR
25.29,doha,445,QA
-7.95,bambanglipuro,259,ID
60.92,narsaq,117,GL
55.96,divnogorsk,233,RU
64.47,uyemskiy,511,RU
20.78,taunggyi,211,MM
16.52,benemerito de las americas,380,MX
33.28,muroto,16,JP
-38.0,mar del plata,60,AR
34.06,yuxia,502,CN
-14.27,sambava,76,MG
2.82,boa vista,416,BR
71.97,khatanga,63,RU
39.18,hamilton,239,US
-19.84,beira,525,MZ
66.83,yar-sale,229,RU
-25.55,foz do iguacu,223,BR
49.78,chapais,438,CA
38.42,shache,148,CN
-0.22,boende,168,CD
22.08,kapaa,0,US
-25.24,yulara,241,AU
-13.2,ambilobe,519,MG
-20.41,mahebourg,141,MU
-5.18,jutai,310,BR
-3.8,bengkulu,169,ID
-3.33,amahai,288,ID
-8.01,olinda,473,BR
10.15,nicoya,191,CR
44.38,lunenburg,160,CA
-2.65,gamba,551,GA
-5.38,kongolo,238,CD
55.72,imeni vorovskogo,546,RU
-54.8,ushuaia,37,AR
61.28,yerbogachen,99,RU
18.03,black river,485,JM
13.93,edd,406,ER
42.1,jamestown,50,US
64.25,hofn,578,IS
51.9,domna,210,RU
62.67,borogontsy,199,RU
-38.27,codrington,359,AU
25.12,gwadar,535,PK
63.66,beian,22,NO
-11.21,sumbe,120,AO
17.02,salalah,568,OM
32.69,dehloran,222,IR
6.75,banyo,91,CM
-21.2,itaperuna,423,BR
41.17,rockland,140,US
-10.41,piacabucu,232,BR
-23.12,rikitea,11,PF
53.41,liverpool,228,GB
-17.73,tautira,487,PF
65.97,urengoy,400,RU
-34.48,rocha,396,UY
47.89,khor,270,RU
-40.81,viedma,547,AR
