group,quantity,Index,date,name
COFFEE TEA,2,5826,2018-01-03,POPCORN OK 90G DO MIKROFALI
TABLETS,3,21169,2018-01-05,TABLETKI STREPSILS 8 SZT
VEGETABLES,3,22117,2018-01-10,ZAPIEKANKA Z PIECZARKA 220 G
SWEETS,0.81,19788,2018-01-06,PIERNIK W CZEKOLADZIE DUZE SERCA
ALCOHOL,7,655,2018-01-08,PIWO HARNAS 0_5L BUTELKA
DRINK_JUICE,27,9762,2018-01-07,NAP AQA 1_5 L N/G TRUSKAWKA
SWEETS,6,19387,2018-01-04,MARCHEW Z GROSZKIEM 290 G FRUBEX
BREAD,13,1192,2018-01-05,C CHLEB DWORSKI
POULTRY,2,1787,2018-01-11,LOWICZ POWIDLA WEGIERKOWE 310G
SPICES,3,18710,2018-01-12,CYKORIA AROMAT POMARANCZ
SWEETS,1,19325,2018-01-04,CIASTKA DESIMO POMARA.135  G
SPICES,1,18451,2018-01-07,PRZYPRAWA DO OGORKOW KONSERWOWYCH
ALCOHOL,1,22902,2018-01-01,NAP SPIR SOPLICA WISNIA 0_2
GENERAL_FOOD,4,13798,2018-01-11,SOL KAMIENNA KLODAWA
GROATS_RICE_PASTA,3,14211,2018-01-04,MAKARON CZANIECKI NITKA WALCOWANA 500G
GENERAL_FOOD,5,13796,2018-01-11,SLONECZNIK CZARNY 80G ANDREX
DRINK_JUICE,2,10542,2018-01-11,NAP HORTEX 300 ML POMARANCZ 100%
CHEMISTRY,2,2189,2018-01-03,KLEJ BIUROWY
OCCASIONAL,3,17479,2018-01-09,TUNCZYK ROZDROBNIONY W WODZIE 130 G
CHEMISTRY,12,3287,2018-01-09,PAPIER TOALETOWY MEA BIA?A 8 SZT 3W 150
SWEETS,1,18880,2018-01-01,PIANKA DESEROWA SPRAY 250 G
GENERAL_FOOD,5,12174,2018-01-01,SONKO RYZ 1 KG BIALY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,3,16173,2018-01-03,PUDL KETCHUP PIKANTNY 480G
BREAD,67,1114,2018-01-03,C BULKA TARTA 0_5KG
ICE_CREAMS_FROZEN,1,14777,2018-01-02,LODY TORTUFFO KOKOS
ALCOHOL,4,22320,2018-01-01,WODKA ZUBR  0_2 L 40%
DAIRY_CHESSE,13,7581,2018-01-07,DA DANIO TRUSKAWKA 140G.
GENERAL_FOOD,1,12851,2018-01-05,WIN POMYSL..NA CHLOPSKI GARNEK
ALCOHOL,5,129,2018-01-01,PIWO BOJAN SZWEJK 0_5 L B/ZWROT
GENERAL,3,11406,2018-01-04,MLEKO KOKOSOWE 250 ML TRUSKAWKA
DAIRY_CHESSE,97,8324,2018-01-10,TWAROG SREMSKI 250G TLUSTY
SWEETS,3,20984,2018-01-12,KUFEREK Z CUKIERKAMI 150 G
POULTRY,0.52,16956,2018-01-02,KIE?BASA WIOSENNA KG
CIGARETTES,6,5576,2018-01-11,PAP LUCKY STRIKE 22 RED
CHEMISTRY,7,2714,2018-01-06,PATYCZKI HIG MEA 160 SZT
ALCOHOL,1,23113,2018-01-10,WINO FRESCO 750 ML ROZOWE MUS. PÓL/SLOD
GENERAL_FOOD,4,13996,2018-01-12,WIN GALARETKA TRUSKAWKA 79G
SPICES,1,18446,2018-01-07,PRYMAT PIETRUSZKA NATKA
ALCOHOL,9,22696,2018-01-09,NAP SPIR ABSOLWENT JEZYNA 0_1
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,3,16452,2018-01-07,PUDL KETCHUP PIKANTNY 480G
GENERAL_FOOD,1,12421,2018-01-03,KNORR PRZYPRAWA DO WIEPRZOWINY 23 G
POULTRY,6,1795,2018-01-11,PIEROGI Z SEREM/OWOC TACKA 4000GR
GENERAL_FOOD,3,13755,2018-01-11,MAJONEZ 180 G PEGAZ
CHEWING_GUM_LOLIPOPS,7,4025,2018-01-01,LIZAK SMOCZEK
ICE_CREAMS_FROZEN,1,15002,2018-01-04,LODY ROZKI WANILIA ICE- MASTRY
CHEMISTRY,33,2776,2018-01-06,ZAPALKI
CHEWING_GUM_LOLIPOPS,7,4106,2018-01-04,GUMA ORBIT BAG SPEARMINT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,27,16399,2018-01-07,APPETITA GORCZYCA BIALA 30G
COFFEE TEA,1,5813,2018-01-03,KAWA MK CAFE PREMIUM 80 G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,4,16677,2018-01-10,NAP MIRINDA 2_25 L
DRINK_JUICE,3,10423,2018-01-10,NAP TYMBARK 1 L ZIEL BANAN
ALCOHOL,5,375,2018-01-05,PIWO BOJAN  WIELKOP.0_5 L B/ZW
GENERAL_FOOD,3,12622,2018-01-04,KROKIETY KASZTELAN 400G
SPICES,3,18681,2018-01-11,KNORR PRZYPRAWA DO KURCZAKA
DAIRY_CHESSE,1,7942,2018-01-08,TWAROZEK WIELUN 200 G
CHEWING_GUM_LOLIPOPS,1,4016,2018-01-01,GUMA WRIGLEYS FRUIT 5 LISTKOW
SWEETS,14,20387,2018-01-09,MENTOS RAINBOW 37_5 G
SWEETS,22,19945,2018-01-07,KUBUS WOTER 0_5 L GRUSZKA
SWEETS,2,20894,2018-01-12,BA?WANEK W BIA?EJ CZEKOL.80 G
ALCOHOL,104,22393,2018-01-03,NAP SPIR ABSOLWENT POZIOMAKA 0_1 30%
CHEMISTRY,2,1870,2018-01-01,E PLYN DO PLUKANIA 1 L
ALCOHOL,5,191,2018-01-02,PIWO DESPERADOS 0_4 L 6%  B/BEZW
TABLETS,1,21152,2018-01-05,PLASTER-ROLKA 2_5 CM 5 M
SPICES,3,18285,2018-01-05,KAMIS PIEPRZ ZIARNISTY 20 G
VEGETABLES,13.785,22064,2018-01-10,KT KAPUSTA PEKINSKA KG
POULTRY,11,1635,2018-01-06,PAPRYKARZ SZCZEC.AGRICO 156G
DAIRY_CHESSE,10,6786,2018-01-03,DA DANIO 2 WARSTWY
ALCOHOL,1,22361,2018-01-02,WODKA BOLS 0_7L 40%
CHEMISTRY,1,3275,2018-01-09,NOZE 12 SZT
DAIRY_CHESSE,3,7506,2018-01-06,SER LA POLLE BRI 125 G
VEGETABLES,68.09,21415,2018-01-02,KT KAPUSTA BIALA KG
GENERAL_FOOD,2,12959,2018-01-06,PUDL GOLABKI W POMID 500 G
CHEMISTRY,3,3231,2018-01-09,GABKA
CHIPS_FLAKES,5,4705,2018-01-08,STAR CHRUPKI ZIEL.CEBULA 140 G
ALCOHOL,70,753,2018-01-09,PIWO FOX 0_5 L PUSZKA MOCNE
CHEWING_GUM_LOLIPOPS,8,4264,2018-01-09,RYZ PRWPAROWANY 90 G
SPICES,5,18272,2018-01-05,GALEO MAJERANEK 6 G
SPICES,1,18172,2018-01-03,KNORR LISC LAUROWY Z TURCJI 5 G
GENERAL,17,11163,2018-01-01,BERLISO 180 G+20G TRUSKA
ICE_CREAMS_FROZEN,38,15626,2018-01-08,LODY ROZEK
CIGARETTES,18,5399,2018-01-08,PAP PS BLACK 100
VEGETABLES,12,21987,2018-01-09,KT KOPER ZIELONY DO OGURKOW
POULTRY,4,1781,2018-01-11,KONSERWA TURYSTYCZNA 300G SOKOLOW
SWEETS,8,20159,2018-01-08,LIZAK PILKA
ALCOHOL,5,22344,2018-01-02,NAP SPIR SOPLICA WISNIOWA 36% 0_1L
DRINK_JUICE,47,9306,2018-01-04,WODA KROPLA BESKIDU N/G 0_5L
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,5,16198,2018-01-03,ZURAWINA SUSZONA FRESCO 100 G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,2,16716,2018-01-10,WODKA STOCK PRESTIGE 500ML
BREAD,0.056,1298,2018-01-08,B PIERNIKI Z MARMOLADA
GENERAL,2,11196,2018-01-01,MOZZARELLA 125 G MINI
GENERAL_FOOD,1,12158,2018-01-01,POSYPKA KOLOR
ALCOHOL,14,22930,2018-01-02,SZAMPAN SOWIETSKOJE IGRIST.0_7 L
SWEETS,1,19048,2018-01-02,RAFFAELLO 150G
DAIRY_CHESSE,22,6766,2018-01-03,BAKOMA GRECKI 180GR
VEGETABLES,23.195,22082,2018-01-10,KT POR KG
VEGETABLES,2.58,21745,2018-01-06,KT POMARANCZA LUZ
ICE_CREAMS_FROZEN,22,15298,2018-01-06,LODY ORLIK 75 ML
DAIRY_CHESSE,33,8436,2018-01-11,?ACIATY SEKEK SMIETANKOWY 135 G
ICE_CREAMS_FROZEN,1,15408,2018-01-07,LODY CASSATE 550 ML
ALCOHOL,3,973,2018-01-12,PIWO GOZDZILLA 0_5 L B/BEZW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,4,16702,2018-01-10,SUNBITES PAPRYKA Z ZIOLAMI 100G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,1,16326,2018-01-05,WINO CARLO ROSSI ROZOWE P/WYT.9_5% 0_75L
SWEETS,4,20253,2018-01-08,ZELKI AKUKU 90G PYSZCZKI
GROATS_RICE_PASTA,4,14194,2018-01-04,MAK ZLOTY LAN SWIDEREK 400G
TABLETS,9,21109,2018-01-03,TABLETKI APAP 6SZT
SPICES,4,18258,2018-01-04,WIN KOSTKA MIESNA 60G
VEGETABLES,1,22122,2018-01-11,KT BAK?AZAN SZT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,3,16294,2018-01-05,MUSZTARDA PIEKIELNNA 200G PEGAZ
ALCOHOL,6,424,2018-01-05,PIWO SAMERSBY  0_500 ML PUSZKA
CHIPS_FLAKES,1,4746,2018-01-09,STAR CHRUPKI ZIEL.CEBULA 140 G
DRINK_JUICE,2,9993,2018-01-08,NAP HOOP 2 GAZ POMARANCZ
SWEETS,6,20484,2018-01-09,ZEGAREK PUDROWY
CHEMISTRY,6,2317,2018-01-04,DENATURAT 0_5 ML
POULTRY,8,11133,2018-01-12,FILETY SLEDZIOWE W OLEJU 170GR EVRAFISH
GENERAL_ITEMS,2,17976,2018-01-11,RAJSTOPY 60 DEN
SWEETS,3,19574,2018-01-05,MILKA CZEKOL BUBLY 95G
CHEMISTRY,1,3225,2018-01-09,EWA SZAMPON POTROJNA SILA ZIÓ? 400 ML
DAIRY_CHESSE,19,6937,2018-01-03,SKORUPKA 400 G OGOREK KWASZONY
DRINK_JUICE,2,10378,2018-01-10,NAP GARDEN JABLKOWY 2L
GENERAL_FOOD,2,12164,2018-01-01,PYZY KLUSKI NA PARZE
DAIRY_CHESSE,1,8668,2018-01-12,SMIETANA CREMONA 80G
SWEETS,18,20020,2018-01-07,WAFLE GO FRESH25 G
CHEMISTRY,1,2578,2018-01-05,SZAMPON POKRZYWA 240ML EVA NATURA
COFFEE TEA,5,6136,2018-01-12,HERB MINUTKA 40TOR EXPRES
CHIPS_FLAKES,5,4675,2018-01-08,LAYS MAX SER+ZIEL CEB.140 G
GENERAL_FOOD,2,12395,2018-01-03,GELLWE GALARETKA AGREST 79G
GENERAL_FOOD,9,12614,2018-01-04,KNORR G.K. POMIDOROWA Z MAKARON
DRINK_JUICE,16,9915,2018-01-07,ZBYSZKO LEMONIADA 1 L CYTR+LIMON
DAIRY_CHESSE,3,8538,2018-01-12,CYKORIA AROMAT MIGDAL
SWEETS,2,18790,2018-01-01,BOMB MERCI 250G
DRINK_JUICE,12,9292,2018-01-04,WODA AQA 0_5 L N/G CYTRYNA
CHEMISTRY,4,3516,2018-01-10,PODPASKI BELLA NORMAL BEZ SKRZYD
DRINK_JUICE,6,10562,2018-01-11,NAP TYMBARK 1 L JAB/BRZOSKW
DAIRY_CHESSE,5,6398,2018-01-01,BAKOMA POLSKIE SMAKI  WISNIA 120 G
GENERAL_ITEMS,4,8687,2018-01-04,CATERING HAMBURGER 225G Z AMERYK.
DAIRY_CHESSE,3,7726,2018-01-07,WIB SOS KOPERKOWY ZE SMIETANA 27 G
DRINK_JUICE,1,8961,2018-01-02,SMAKOTEK  MA+JA+BRZ 0_33ML
SPICES,5,18353,2018-01-06,KAMIS PAPRYKA SLODKA 20 G
GROATS_RICE_PASTA,3,14656,2018-01-12,WAFLE SUNNY 60G Z CEBULA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,6,16154,2018-01-03,MIX EKSTRA PASLECKIE 200G.
SWEETS,6,20887,2018-01-12,AMELIA PIANKA 380 G SMIET.CZEK
SPICES,2,18528,2018-01-09,CUKIER WANILIOWY ZIOLOPEX
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,28,16296,2018-01-05,NAP COCA COLA 2_25 L PET
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,41,16412,2018-01-07,HELLENA ORENZADA CZERWONA 1_25 L GA
VEGETABLES,3,22198,2018-01-12,DO CUKIER ZE CYTRYNA
TABLETS,2,21302,2018-01-11,TABLETKI POLOPIRYNA S/10/
SWEETS,9,20965,2018-01-12,GUMA Z TATUAZEM
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,2,16778,2018-01-11,SUNBITES PAPRYKA Z ZIOLAMI 100G
CHEMISTRY,1,2835,2018-01-07,HELP 1L CZARNY
SWEETS,22,20817,2018-01-11,PETITKI LUBISIE BANAN
GENERAL_FOOD,2,12927,2018-01-06,KREM CHRZANOWY 160 G SMAK
ALCOHOL,8,704,2018-01-08,PIWO SOMERSBY  WOTERMELON 0_5 PUSZKA
ICE_CREAMS_FROZEN,20,15156,2018-01-05,LODY ROZEK KUBUS 110 ML
BREAD,191,1031,2018-01-01,BULKA MASLANA MALA1
CIGARETTES,18,5155,2018-01-05,PAP LM BLU
DRINK_JUICE,5,10481,2018-01-10,ZBYSZKO LEMONIADA 1 L ARO+CYT+MIETA
POULTRY,2,10796,2018-01-01,FILETY SLEDZIOWE W OLEJU 170 G
ICE_CREAMS_FROZEN,13,15451,2018-01-07,LODY MILORD 120 G Z MIGDA?AMI
VEGETABLES,4,21785,2018-01-06,SUROWKA POROWA KUBEK
DRINK_JUICE,33,9777,2018-01-07,NAP COCA COLA 1_5 L
POULTRY,4,10833,2018-01-02,LARUS MAKRELA W GALARECIE  160 G
VEGETABLES,76.611,21914,2018-01-08,KT MARCHEW LUZ
VEGETABLES,7,21449,2018-01-02,MIX SA?AT 100 G
ICE_CREAMS_FROZEN,5,15815,2018-01-10,LODY BIG MILK FRUUT
DRINK_JUICE,15,9171,2018-01-04,HELLENA ORANZADA ZOLTA 1_25L GAZ
ICE_CREAMS_FROZEN,1,15754,2018-01-09,LODY ROLLER
ICE_CREAMS_FROZEN,6,15862,2018-01-10,SZPINAK 450G NORDIS.
VEGETABLES,75.475,22159,2018-01-11,KT POMIDOR MALINOWY
ICE_CREAMS_FROZEN,5,15743,2018-01-09,LODY OSKAR KROWKA
VEGETABLES,40.3,22001,2018-01-09,KT POMIDOR SZKLARNIOWY LUZ
GENERAL_FOOD,3,13034,2018-01-07,AMINO BLYSK GULASZOWA 61G
GENERAL_FOOD,10.27,12783,2018-01-05,OGORKI MALOSOLNE  LUZ
CHEMISTRY,3,2383,2018-01-04,PLATKI BELLA 80+30%
GROATS_RICE_PASTA,10,14321,2018-01-06,ORZESZKI SOLONE 40 G
CHEMISTRY,14,2955,2018-01-07,WORECZKI SNIADANIOWE 100 SZT
ALCOHOL,1,22910,2018-01-01,WINO CARTE VIGNA 0_75 ML B/PÓLW
SWEETS,7,19709,2018-01-06,DELICJE POMARANCZOWE 147G
ALCOHOL,173,984,2018-01-12,PIWO LECH PILS 0_5L BUTELKA
CHEMISTRY,2,2321,2018-01-04,E PROSZEK 300 G COLOR
GROATS_RICE_PASTA,1,14109,2018-01-02,MAKARON POL MLYN 500 G NITKA DURUM
TABLETS,2,21148,2018-01-05,BANDAZ 15 CM *4M
CHEMISTRY,6,3578,2018-01-10,ZNICZ BIA?Y SREDNI S-124
TABLETS,2,21101,2018-01-02,VITAFIZZ MAGNEZ
DRINK_JUICE,14,8876,2018-01-02,KUBUS MAR.BAN.JAB.0_33L
ICE_CREAMS_FROZEN,1,14868,2018-01-03,PIEROGI RUSKIE 450 G
COOKIES_BULK,0.51,6245,2018-01-05,CUKIERKI OWOCOWE ROSHEN
GENERAL_FOOD,5,13399,2018-01-09,FRYTKI KARBOWANE 450 G AVIKO
TABLETS,1,21167,2018-01-05,TABLETKI SCORBOLAMID GARD?O 8 SZT
SWEETS,5,19688,2018-01-06,CIASTKA KRAKUSKI FLORIANKI 171G
CHEMISTRY,1,3388,2018-01-10,BIBULA MIX
DAIRY_CHESSE,135,6864,2018-01-03,JOGURT ZO NATURALNY 180 G
GENERAL_ITEMS,3,16879,2018-01-03,SP GALAT WIEPRZOWY 200G
DAIRY_CHESSE,42,8617,2018-01-12,MLEKO 3_2% MLECZ.ZAGRODA
ALCOHOL,36,22750,2018-01-10,NAP SPIR ABSOLWENT POZIOMAKA 0_1 30%
GENERAL_FOOD,8,13289,2018-01-08,PIEROGI RUSKIE 400G GRZESK.
DAIRY_CHESSE,12,8417,2018-01-11,JOGOBELA ZE ZBOZAMI 200 G
ICE_CREAMS_FROZEN,1,15876,2018-01-11,BROKULY MROZONE 450 GR MORDIS
DAIRY_CHESSE,14,7140,2018-01-04,SMIETANA 18 % MLEKOWITA GESTA
ICE_CREAMS_FROZEN,1,15050,2018-01-04,ZUPA GRZYBOWA 450
GENERAL,2,11620,2018-01-07,CH?ODNIK 0_5 L KRASNYSTAW
SWEETS,3,21053,2018-01-12,WEDEL CZEKOL.WISNIOWA 100 G
ALCOHOL,1,22312,2018-01-01,WODKA LUKSUSOWA 0_5L 40%
ALCOHOL,2,22802,2018-01-11,NAP SPIR SOPLICA PIGWOWA 0_1
ICE_CREAMS_FROZEN,2,15222,2018-01-06,BUKIET WARZYW 450 G
POULTRY,2.29,16952,2018-01-02,KIE?BASA KRUCHA Z WEDZARNI KG
ALCOHOL,2,728,2018-01-08,PIWO ZAMKOWE 0_5 L B/BEZW
DRINK_JUICE,4,9508,2018-01-05,WODA NESTI 0_33 N/G
DRINK_JUICE,6,10055,2018-01-08,NAP TYMBARK 1 L ZURAWINA
SWEETS,4,19906,2018-01-07,DELICJE POMAR.294GR WEDEL
SWEETS,6,20058,2018-01-08,BATON KNOPERS KOKOS 25 G
SWEETS,10,20350,2018-01-09,GOFRY SLODKIE 100 G
ICE_CREAMS_FROZEN,2,15190,2018-01-05,PIANKA HARIBO SMERF 100G
GENERAL_FOOD,4,13909,2018-01-12,KNORR G K SEROWA Z GRZANKAMI
TABLETS,1,21312,2018-01-12,PLASTER POLSKI LEK DO CIECIA 6 CM
CIGARETTES,16,5327,2018-01-07,PAP PS BLACK 100
SWEETS,23,19632,2018-01-05,WEDEL BATON WW 47 G W GORZKIEJ CZEKOL.
POULTRY,0.03,17293,2018-01-11,PASZTET WIEPRZOWY PIECZONY KG
CHIPS_FLAKES,9,4386,2018-01-01,STAR PRAZYNKI SOLONE 85 G
DAIRY_CHESSE,3,7618,2018-01-07,HOCHL KANAPKOWY Z OGORKIEM 130 G
ALCOHOL,4,23100,2018-01-09,WINO TOTINO 0_5 L GRANAT 14_5%
BREAD,19.32,1140,2018-01-03,S CIASTKA KRUCHPLACEK DROZDZOWY
CHEMISTRY,1,3108,2018-01-08,PODPASKI BELLA PERFECTA ORANGE
SWEETS,3,19210,2018-01-03,MLECZKO ALPEJSKIE  330 G WANILIA
DRINK_JUICE,49,9815,2018-01-07,NAP NAPI POMARANCZ 0_2L
CHEMISTRY,6,3376,2018-01-09,ZMYWACZ DO PAZNOKCI 50 ML
GENERAL,21,11842,2018-01-10,BATERIA R3 WARTA ALKAICZNA
ALCOHOL,116,22848,2018-01-12,NAP SPIR ABSOLWENT POZIOMAKA 0_1 30%
CHEMISTRY,1,3152,2018-01-08,WIREK PLYN DO PRANIE KOLOR 1 L
ICE_CREAMS_FROZEN,2,15574,2018-01-08,LODY JAK DAWNIEJ 450 ML SLONY KARMEL
BREAD,30,1403,2018-01-10,S CHLEB ZIARNISTY 0_6
SWEETS,17,20710,2018-01-11,BATON MARS 2 PACK
SWEETS,1,19933,2018-01-07,HERBATNIKI PETIT BEURRE 220G KRAKUSKI
GENERAL_FOOD,1,13067,2018-01-07,GELLWE ZELATYNA 20 G
GENERAL,1,11194,2018-01-01,MLEKO KOKOSOWE 250 ML CZEKOLADA
GROATS_RICE_PASTA,2,14163,2018-01-03,MAKARON LUBELLA  KOLANKO OZDOBNE 500G
SWEETS,5,20359,2018-01-09,JAJKO Z NIESPODZIANKA
CHEMISTRY,1,2983,2018-01-08,BREF 4-FORMULA LEMON
GENERAL_FOOD,20,12319,2018-01-02,SOL KUJAWSKA 1 KG JODOWANA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,3,16005,2018-01-01,HER.EXP.MALWA ARONIA x25
DAIRY_CHESSE,2,7499,2018-01-06,PUDL POMIDORY KROJONE Z BAZYL.OREG 390 G
GENERAL_FOOD,9,12641,2018-01-04,PLATKI OWSIAN GORSKIE 500G
