"Owner-occupied housing unit rate, 2011-2015","Total merchant wholesaler sales, 2012 ($1,000)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Women-owned firms, 2012","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Foreign born persons, percent, 2011-2015","Total annual payroll, 2015 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","Housing units, April 1, 2010","Housing units,  July 1, 2016,  (V2016)","Total employment, percent change, 2014-2015","Nonminority-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Total employer establishments, 2015","Persons under 5 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","In civilian labor force, female, percent of population age 16 years+, 2011-2015",Fact,"Two or More Races, percent, July 1, 2016,  (V2016)","Land area in square miles, 2010","Median gross rent, 2011-2015","Population, Census, April 1, 2010","With a disability, under age 65 years, percent, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employment, 2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons  without health insurance, under age 65 years, percent","Minority-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","Median value of owner-occupied housing units, 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total nonemployer establishments, 2015","Female persons, percent, April 1, 2010","Total retail sales, 2012 ($1,000)","Median household income (in 2015 dollars), 2011-2015","Nonveteran-owned firms, 2012","Persons per household, 2011-2015","Veteran-owned firms, 2012","Total manufacturers shipments, 2012 ($1,000)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","All firms, 2012","Building permits, 2016","Population estimates base, April 1, 2010,  (V2016)","Total retail sales per capita, 2012","Population per square mile, 2010","Population estimates, July 1, 2016,  (V2016)","Persons in poverty, percent","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)"
56.90%,"9,607,982",21.60%,"450,572",6.40%,"44,453",5.00%,91.00%,22.10%,"$2,270 ",26.8,10.20%,"110,238",25.80%,17.70%,"22,068,393","9,536,706","519,508","537,114",0.90%,"38,510",22.30%,"31,915",6.40%,17.10%,58.80%,Hawaii,23.70%,"6,422.63","$1,438 ","1,360,301",6.50%,0.40%,14.30%,"523,677",61.50%,85.10%,"8,136,947",25.20%,4.20%,"74,208",2.20%,49.80%,"$515,300 ","$29,822 ",$505 ,"104,707",49.90%,"18,901,745","$69,515 ","101,334",3.02,"11,148",D,30.80%,"118,454","3,369","1,360,301","$13,576 ",211.8,"1,428,557",9.30%,10.40%,37.70%
68.90%,"17,906,012",26.00%,"589,320",6.80%,"45,121",7.40%,89.50%,82.40%,"$1,189 ",20.2,0.20%,"119,711",93.30%,6.10%,"21,119,617","2,680,225","667,796","700,825",3.00%,"130,973",27.40%,"44,757",7.80%,15.10%,56.80%,Idaho,2.40%,"82,643.12",$743 ,"1,567,582",9.00%,1.80%,12.40%,"546,524",62.60%,82.40%,"7,895,614",10.60%,11.80%,"10,592",0.80%,49.90%,"$162,900 ","$23,399 ",$340 ,"122,221",49.90%,"20,444,278","$47,583 ","124,314",2.69,"12,804","20,201,432",25.90%,"146,642","12,165","1,567,650","$12,812 ",19,"1,683,140",14.40%,12.30%,1.50%
66.40%,"295,456,992",22.90%,"4,786,388",6.00%,"417,500",-0.20%,87.90%,61.70%,"$1,636 ",28.4,0.10%,"668,933",77.20%,14.00%,"289,183,546","27,937,381","5,296,715","5,326,970",2.20%,"795,129",24.40%,"318,266",6.50%,14.60%,60.70%,Illinois,1.90%,"55,518.93",$907 ,"12,830,632",7.10%,0.60%,12.50%,"5,427,549",65.60%,86.80%,"83,431,778",22.70%,7.40%,"311,684",14.70%,50.90%,"$173,800 ","$30,494 ",$574 ,"968,330",51.00%,"166,634,514","$57,574 ","1,006,885",2.63,"89,110","281,037,755",32.30%,"1,135,017","22,603","12,831,574","$12,942 ",231.1,"12,801,539",13.00%,17.00%,5.50%
69.00%,"81,173,422",23.80%,"2,501,937",6.40%,"162,798",2.30%,87.80%,79.60%,"$1,102 ",23.3,0.10%,"426,493",85.60%,4.80%,"113,315,432","13,076,602","2,795,541","2,854,546",2.20%,"405,090",24.80%,"145,116",6.70%,14.90%,59.00%,Indiana,2.00%,"35,826.11",$745 ,"6,483,802",9.70%,0.40%,13.00%,"2,660,503",63.90%,85.00%,"42,493,117",8.30%,9.40%,"61,252",9.70%,50.70%,"$124,200 ","$25,346 ",$378 ,"403,546",50.80%,"85,857,962","$49,255 ","412,543",2.55,"45,174","242,763,842",24.10%,"479,059","18,713","6,484,136","$13,133 ",181,"6,633,053",14.10%,6.80%,2.20%
71.50%,"62,318,301",23.30%,"1,236,409",6.40%,"82,345",2.90%,91.50%,86.20%,"$1,171 ",18.9,0.10%,"211,066",91.40%,4.70%,"55,079,743","5,468,687","1,336,417","1,380,162",1.70%,"236,561",23.90%,"80,952",6.60%,16.40%,63.30%,Iowa,1.80%,"55,857.13",$697 ,"3,046,355",7.90%,0.50%,14.90%,"1,338,418",67.60%,84.80%,"18,583,828",7.40%,5.00%,"14,707",3.70%,50.30%,"$129,200 ","$27,950 ",$434 ,"207,167",50.50%,"44,905,624","$53,183 ","217,779",2.42,"25,889","116,668,830",26.70%,"259,121","14,317","3,046,869","$14,607 ",54.5,"3,134,693",11.80%,5.80%,2.50%
66.70%,"60,226,324",24.60%,"1,113,472",6.70%,"77,194",1.90%,90.20%,76.30%,"$1,282 ",19.1,0.10%,"198,396",86.60%,6.90%,"51,259,676","4,873,411","1,233,215","1,259,864",1.00%,"204,562",25.50%,"74,526",7.20%,15.00%,61.60%,Kansas,2.90%,"81,758.72",$757 ,"2,853,118",8.60%,1.20%,13.20%,"1,189,876",66.30%,83.50%,"18,248,370",11.30%,10.10%,"26,127",6.20%,50.20%,"$132,000 ","$27,706 ",$455 ,"195,777",50.40%,"38,276,461","$52,205 ","203,401",2.53,"21,610","86,076,260",31.00%,"239,118","9,807","2,853,129","$13,263 ",34.9,"2,907,289",12.10%,11.60%,3.00%
67.20%,"71,745,899",22.80%,"1,708,499",6.20%,"106,011",2.20%,84.20%,85.00%,"$1,112 ",23.0,0.10%,"297,312",88.00%,3.40%,"63,741,066","7,500,115","1,927,164","1,965,556",2.90%,"296,155",23.60%,"91,845",6.50%,15.60%,54.90%,Kentucky,1.90%,"39,486.34",$675 ,"4,339,367",12.90%,0.30%,13.30%,"1,579,477",59.10%,84.70%,"26,264,745",5.10%,6.00%,"27,258",8.30%,50.70%,"$123,200 ","$24,063 ",$339 ,"280,835",50.80%,"54,869,978","$43,740 ","282,704",2.5,"33,208","129,284,438",22.30%,"331,546","12,714","4,339,344","$12,526 ",109.9,"4,436,974",18.50%,3.50%,1.50%
65.80%,"68,012,838",23.80%,"1,727,919",6.60%,"151,114",3.30%,83.40%,59.00%,"$1,200 ",25.1,0.10%,"281,989",63.20%,4.00%,"76,684,760","11,697,949","1,964,981","2,036,975",0.40%,"277,676",24.70%,"105,575",6.90%,14.40%,56.00%,Louisiana,1.60%,"43,203.90",$788 ,"4,533,372",11.00%,0.80%,12.30%,"1,724,973",60.40%,86.30%,"27,951,792",8.50%,11.90%,"126,100",32.60%,51.10%,"$144,100 ","$24,981 ",$317 ,"358,223",51.00%,"61,396,364","$45,047 ","354,460",2.6,"42,211","271,191,050",22.50%,"414,291","14,503","4,533,479","$13,342 ",104.9,"4,681,666",20.20%,5.00%,1.80%
71.20%,"12,961,262",19.10%,"553,284",4.90%,"42,067",0.20%,91.60%,93.50%,"$1,336 ",23.6,Z,"119,058",94.80%,3.50%,"20,413,159","2,901,347","721,830","730,705",1.60%,"131,322",20.70%,"40,801",5.20%,19.40%,59.90%,Maine,1.70%,"30,842.92",$777 ,"1,328,361",11.90%,0.70%,15.90%,"500,549",63.40%,85.90%,"10,297,043",6.60%,9.90%,"4,339",1.50%,51.00%,"$173,800 ","$27,655 ",$477 ,"113,012",51.10%,"21,521,714","$49,331 ","115,839",2.34,"15,689","16,044,543",29.00%,"139,570","4,010","1,328,364","$16,192 ",43.1,"1,331,479",12.50%,1.60%,1.20%
66.80%,"60,734,191",22.40%,"2,166,389",6.10%,"209,119",4.20%,89.40%,51.50%,"$1,951 ",32.3,0.10%,"403,900",59.30%,14.50%,"118,496,858","12,516,782","2,378,814","2,447,127",1.00%,"314,902",23.40%,"137,204",6.30%,14.60%,64.10%,Maryland,2.80%,"9,707.24","$1,230 ","5,773,552",7.10%,0.60%,12.30%,"2,239,817",67.90%,86.60%,"40,821,901",17.20%,7.00%,"203,394",30.70%,51.60%,"$286,900 ","$36,897 ",$582 ,"475,518",51.60%,"76,379,707","$74,551 ","462,232",2.67,"50,976","39,532,989",37.90%,"531,953","17,044","5,773,786","$12,980 ",594.8,"6,016,447",9.70%,9.80%,6.60%
62.10%,"123,904,370",20.20%,"2,549,721",5.30%,"199,210",4.00%,89.80%,73.00%,"$2,063 ",28.7,0.10%,"355,083",81.80%,15.50%,"198,026,611","17,508,975","2,808,254","2,858,026",2.60%,"499,959",21.70%,"175,225",5.60%,15.80%,63.40%,Massachusetts,2.30%,"7,800.06","$1,102 ","6,547,629",7.90%,0.50%,13.80%,"3,167,329",67.50%,87.10%,"63,583,090",22.50%,2.90%,"89,967",8.60%,51.50%,"$333,100 ","$36,895 ",$717 ,"514,298",51.60%,"92,915,380","$68,563 ","525,667",2.53,"58,339","81,927,799",40.50%,"607,664","16,288","6,547,813","$13,980 ",839.4,"6,811,779",10.40%,11.50%,6.70%
71.00%,"115,704,903",22.10%,"3,841,148",5.80%,"306,986",0.40%,89.60%,75.40%,"$1,257 ",24.2,Z,"626,722",79.60%,6.30%,"174,873,962","17,962,356","4,532,233","4,560,055",3.20%,"657,237",23.70%,"219,627",6.00%,16.20%,57.10%,Michigan,2.40%,"56,538.90",$783 ,"9,883,640",10.30%,0.70%,13.80%,"3,725,280",61.20%,85.30%,"63,018,786",9.20%,6.30%,"158,946",14.20%,50.80%,"$122,400 ","$26,607 ",$461 ,"700,254",50.90%,"119,302,046","$49,576 ","733,517",2.52,"71,861","238,892,383",26.90%,"834,087","20,408","9,884,129","$12,071 ",174.8,"9,928,300",15.00%,5.00%,3.10%
71.70%,"104,485,117",23.30%,"2,124,745",6.40%,"157,821",4.10%,92.40%,80.60%,"$1,490 ",23.1,0.10%,"342,388",85.00%,7.70%,"133,092,716","11,722,627","2,347,201","2,409,935",1.80%,"428,716",24.20%,"148,666",6.70%,15.10%,66.20%,Minnesota,2.40%,"79,626.74",$848 ,"5,303,925",7.10%,1.30%,12.90%,"2,612,314",70.00%,85.50%,"40,403,572",11.00%,4.80%,"47,302",6.20%,50.20%,"$186,200 ","$32,157 ",$479 ,"397,378",50.40%,"78,898,182","$61,492 ","419,628",2.49,"45,582","123,076,309",33.70%,"489,494","21,449","5,303,924","$14,667 ",66.6,"5,519,952",9.90%,5.20%,4.90%
68.40%,"28,302,952",24.10%,"1,096,593",6.30%,"89,159",0.70%,82.30%,56.90%,"$1,077 ",24.1,0.10%,"184,774",59.30%,2.30%,"33,948,151","6,999,175","1,274,719","1,307,441",1.60%,"155,094",25.50%,"58,662",7.10%,15.10%,53.70%,Mississippi,1.20%,"46,923.27",$717 ,"2,967,297",11.90%,0.60%,12.80%,"926,391",57.50%,86.10%,"16,630,587",3.90%,13.90%,"74,824",37.70%,51.50%,"$103,100 ","$21,057 ",$341 ,"211,955",51.40%,"37,053,190","$39,665 ","198,566",2.64,"26,789","66,441,608",20.70%,"235,454","6,886","2,968,103","$12,413 ",63.2,"2,988,726",20.80%,3.10%,1.10%
67.20%,"91,916,351",22.80%,"2,364,688",6.10%,"162,616",1.70%,88.40%,79.70%,"$1,210 ",23.2,0.10%,"451,342",83.20%,3.90%,"109,135,528","12,430,310","2,712,729","2,760,084",1.60%,"415,972",23.80%,"158,191",6.50%,16.10%,59.30%,Missouri,2.20%,"68,741.52",$746 ,"5,988,927",10.40%,0.60%,14.00%,"2,442,316",63.20%,83.90%,"40,089,316",6.00%,10.50%,"61,035",11.80%,50.90%,"$138,400 ","$26,259 ",$402 ,"402,091",51.00%,"90,546,581","$48,173 ","415,542",2.48,"49,217","111,535,362",27.10%,"491,606","18,997","5,988,928","$15,036 ",87.1,"6,093,000",14.00%,4.10%,2.00%
67.20%,"12,645,824",21.80%,"409,394",6.00%,"35,449",5.40%,92.80%,86.50%,"$1,294 ",18.1,0.10%,"90,000",89.20%,2.10%,"14,227,065","2,420,455","482,825","497,756",3.10%,"102,746",22.60%,"37,270",6.30%,17.70%,59.50%,Montana,2.70%,"145,545.80",$711 ,"989,415",9.10%,6.60%,14.80%,"375,041",63.60%,83.60%,"6,469,475",4.10%,9.80%,"5,578",0.60%,49.70%,"$193,500 ","$26,381 ",$387 ,"86,969",49.80%,"15,623,573","$47,169 ","93,393",2.41,"11,486","11,535,236",29.50%,"112,419","4,781","989,414","$15,544 ",6.8,"1,042,520",13.30%,3.60%,0.80%
66.20%,"42,618,995",24.80%,"736,613",7.00%,"51,936",4.40%,90.70%,79.60%,"$1,270 ",18.3,0.10%,"132,918",88.90%,6.60%,"36,967,924","3,094,498","796,793","827,156",2.30%,"144,122",25.10%,"53,719",7.20%,15.00%,65.20%,Nebraska,2.10%,"76,824.17",$726 ,"1,826,341",7.30%,1.40%,13.50%,"870,279",69.90%,83.70%,"12,869,418",10.80%,9.90%,"14,571",5.00%,50.20%,"$133,200 ","$27,882 ",$471 ,"131,518",50.40%,"30,470,717","$52,997 ","137,254",2.47,"16,693","57,499,177",29.30%,"164,089","8,078","1,826,334","$16,422 ",23.8,"1,907,116",11.40%,10.70%,2.50%
55.10%,"19,841,701",23.00%,"1,016,709",6.30%,"82,508",8.90%,85.10%,49.90%,"$1,442 ",23.9,0.80%,"220,332",75.10%,19.20%,"46,595,673","27,481,505","1,173,814","1,221,698",3.70%,"144,944",24.60%,"63,383",6.90%,15.00%,59.30%,Nevada,4.20%,"109,781.18",$973 ,"2,700,551",9.00%,1.60%,12.00%,"1,129,965",64.00%,78.80%,"13,928,514",30.00%,13.10%,"71,864",9.60%,49.90%,"$173,700 ","$26,541 ",$410 ,"205,980",49.50%,"38,234,170","$51,847 ","191,293",2.72,"23,049","14,719,141",23.00%,"227,156","17,952","2,700,691","$13,858 ",24.6,"2,940,058",13.80%,28.50%,8.70%
71.00%,"18,029,179",19.50%,"520,251",4.80%,"38,525",1.40%,92.30%,90.80%,"$1,870 ",26.9,0.10%,"106,827",93.80%,5.70%,"28,076,320","2,942,278","614,754","625,307",2.30%,"121,297",21.80%,"37,669",5.30%,17.00%,63.80%,New Hampshire,1.70%,"8,952.65","$1,000 ","1,316,470",8.50%,0.30%,13.50%,"576,424",68.20%,86.50%,"9,616,460",7.90%,7.10%,"6,111",1.50%,50.50%,"$237,300 ","$34,362 ",$747 ,"104,437",50.70%,"26,018,201","$66,779 ","108,817",2.47,"16,119","18,895,624",34.90%,"131,638","3,796","1,316,461","$19,700 ",147,"1,334,795",7.30%,3.50%,2.70%
64.50%,"288,467,844",22.20%,"3,189,486",5.80%,"252,944",1.70%,88.60%,55.80%,"$2,386 ",31.0,0.10%,"393,277",72.40%,21.70%,"209,072,015","19,673,558","3,553,562","3,604,409",0.90%,"533,808",23.50%,"230,961",6.20%,15.30%,60.60%,New Jersey,2.20%,"7,354.22","$1,192 ","8,791,894",6.60%,0.60%,13.50%,"3,558,619",65.90%,90.20%,"60,375,232",30.50%,9.20%,"237,242",15.00%,51.20%,"$315,900 ","$36,582 ",$973 ,"670,765",51.30%,"133,665,728","$72,093 ","707,975",2.73,"57,996","108,854,971",36.80%,"792,088","26,793","8,791,953","$15,079 ","1,195.50","8,944,469",10.40%,20.00%,9.80%
68.10%,"10,720,363",23.60%,"763,603",6.20%,"59,044",1.10%,84.20%,38.10%,"$1,227 ",21.6,0.20%,"164,157",82.60%,9.80%,"25,145,307","4,349,672","901,388","917,568",3.90%,"83,857",25.20%,"43,793",7.00%,16.50%,54.90%,New Mexico,2.50%,"121,298.15",$777 ,"2,059,179",10.10%,10.60%,13.20%,"626,284",59.10%,85.70%,"11,236,630",35.70%,10.80%,"60,622",2.50%,50.50%,"$160,300 ","$24,012 ",$327 ,"121,279",50.60%,"25,179,274","$44,963 ","128,693",2.67,"14,096","29,102,352",26.30%,"151,363","4,863","2,059,198","$12,073 ",17.00,"2,081,015",19.80%,48.50%,1.70%
53.60%,"341,734,970",21.20%,"7,262,279",5.90%,"725,709",1.90%,85.60%,55.80%,"$2,022 ",32.3,0.10%,"828,586",69.90%,22.50%,"513,083,321","49,285,508","8,108,103","8,231,687",1.80%,"1,248,304",22.30%,"540,298",6.00%,15.40%,58.70%,New York,2.50%,"47,126.40","$1,132 ","19,378,102",7.40%,1.00%,13.50%,"7,998,994",63.30%,89.10%,"155,666,053",30.40%,7.00%,"709,021",17.70%,51.40%,"$283,400 ","$33,236 ",$709 ,"1,685,636",51.60%,"251,167,736","$59,269 ","1,811,544",2.63,"137,532","148,879,931",34.20%,"2,008,988","33,711","19,378,110","$12,834 ",411.20,"19,745,289",14.70%,19.00%,8.90%
