Subtitle,"Product Code
nieuw",Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Wire stripper,20070,AS-Interface Special,4011391200708.0,Jokari AS-Interface Special Set,113.0
Accessoires,60175,End sleeves 0.75,4011391601758.0,"Jokari Adereindhuls grijs - 0,75mm (500st)",17.8
Cable knives Secura,10281,No. 28G,4011391102811.0,Jokari Kabelmes Secura Nr. 28G,15.25
Cable stripper,30180,"SE-Strip 1,5",4011391301801.0,"Jokari Kabelstripper SE/Strip 1,5",38.55
Cable knives,79028,Cable bracket No. 28,4011391790285.0,"Jokari Wisselbeugel 8 - 28mm O, systeem 4-70",14.65
Various models,59099,Spare-Set BK,,Jokari Onderdeel-Set BK,40.90000000000001
Micro Wire Stripper,40035,SWS-Plus 016,4011391400351.0,Jokari Micro Draadstripper SWS-Plus 016,27.1
Cable stripper,30120,No. 12 Universal,4011391301207.0,Jokari Kabelstripper Universeel No. 12,22.05
Cable knives,79050,Cable bracket No. 50,4011391790506.0,"Jokari Wisselbeugel 35 - 50mm O, systeem 4-70",16.75
Cable stripper,30161,PC-CAT,4011391301610.0,Jokari Kabelstripper PC-CAT,33.75
Cable knives Standard,19001,Spare Blade ,,Attention new Article No. (old 19000) ,3.15
Wire stripper,20050,Super 4 plus,4011391200500.0,Jokari Draadstripper Super 4 plus,21.4
Cable stripper,30810,LC-PUR,4011391308107.0,Jokari Kabelstripper LC-PUR,56.45
Cable knives Secura,10280,No. 28H,4011391102804.0,Jokari Kabelmes Secura Nr. 28H,15.25
Micro Wire Stripper,40045,SWS-Plus 020,4011391400450.0,Jokari Micro Draadstripper SWS-Plus 020,27.1
Micro Wire Stripper,40075,SWS-Plus 040,4011391400757.0,Jokari Micro Draadstripper SWS-Plus 040,27.1
Cable knives Secura,10270,No. 27,4011391102705.0,Jokari Kabelmes Secura Nr. 27,14.3
Micro Wire Stripper,40015,SWS-Plus 012,4011391400153.0,Jokari Micro Draadstripper SWS-Plus 012,27.1
Cable stripper,30800,Fibre Strip LC,4011391308008.0,Jokari Kabelstripper Fibre Strip LC,56.45
Cable knives Standard,10355,No. 35P,4011391103559.0,Jokari Kabelmes Nr. 35P,67.95
Cable knives Standard,19000,Spare Blade Set 3pcs.,4011391190009.0,Attention new Jokari vervangmesje EM per 3 stuks,9.45
Cable stripper,30140,No. 14 Flatcable,4011391301405.0,Jokari Kabelstripper Flatkabel No. 14,26.85
Cable stripper,30600,Secura Coaxi No.1,4011391306004.0,Jokari Kabelstripper Secura Coaxi No. 1,15.9
Micro Wire Stripper,40029,ESD-Plus 003,4011391400290.0,Jokari Micro Draadstripper ESD-Plus 003,45.5
Various models,60000,QUADRO Set,4011391600003.0,Jokari Stripper Quadro Set,293.5
Wire stripper,20030,Flat-Cable-Stripper,4011391200302.0,Jokari Draadstripper Fiat-cable-stripper,73.25
Cable stripper,30910,Locator Box,4011391309104.0,Jokari Kabelstripper Locator,27.15
