# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,1.85,2,0,"32, 9, 67"
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,1.8,2,1,"58, 42"
1,37,41740,BELUPO,0,6,0,3.19,0,6,1.75,0,0,"79, 81, 69"
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,1.97,0,0,"16, 36, 18"
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,2.05,0,0,"25, 17, 22, 63, 87"
1,40,41740,TOURS,0,7,0,4.18,0,1,1.75,0,0,"86, 92, 15"
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,1.57,1,1,"91, 59"
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,1.97,0,0,"9, 26, 48"
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,1.69,1,1,"12, 89"
1,47,41741,4,0,COVENTRY,0,3.72,1,4,1.82,1,1,6
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,2.12,1,1,"7, 89"
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,1.76,0,0,"21, 81, 94, 52, 64"
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,1.99,0,0,31
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,1.64,0,0,"93, 19, 89"
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,1.83,1,1,"89, 85"
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,2.14,1,1,0
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,1.86,1,1,"82, 30"
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,1.92,0,0,"24, 85, 34, 59, 76"
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,1.76,1,1,"82, 46"
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,1.98,0,0,"29, 64, 68"
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,2.14,1,1,0
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,2.44,1,1,41
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,1.67,0,0,"16, 25, 70"
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,1.86,0,1,"34, 10"
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,2.06,0,0,"37, 9, 68"
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,1.6,0,0,"82, 70, 88"
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,2.14,0,1,19
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,1.74,0,0,"20, 29, 13, 68, 2"
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,1.8,0,0,"30, 86, 13"
1,75,41747,2,0,TRANMERE,0,3.31,1,8,1.82,1,1,"78, 93"
1,76,41747,NIMES,0,5,0,3.53,1,4,1.98,1,1,67
1,77,41747,TROYES,0,7,0,3.48,0,5,1.68,0,0,"70, 20"
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,1.7,0,0,"37, 34,  62, 48"
1,79,41748,AC MILAN,0,4,0,3.39,0,11,1.65,0,0,"43, 84, 51"
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,1.47,1,1,"75, 86"
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,1.76,1,1,2
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,1.7,0,0,"11, 80, 18"
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,1.7,0,0,"49, 42, 2, 58"
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,1.7,1,1,63
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,2.12,0,0,"35, 74, 92, 59"
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,2.06,0,0,"27, 81"
1,90,41749,HORSENS,0,AB,0,3.79,1,13,1.75,1,1,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,1.76,0,0,"23, 54, 69, 59"
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,1.82,0,0,"48, 84, 63, 10, 24, 20"
1,96,41750,ROTHERHAM,0,8,0,3.68,1,4,1.75,1,1,79
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,1.79,0,0,"66, 52, 31, 56"
1,98,41750,ATHLONE,0,DUNDALK,0,5.32,1,2,1.6,1,1,94
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,1.9,0,0,"67, 84, 53"
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,1.79,0,0,"17, 58, 38"
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,2.02,0,0,"58, 32, 73, 48"
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,2.48,0,0,"62, 57, 6, 78, 26"
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,1.63,1,1,88
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,2.18,1,1,"94, 70"
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,2.0,0,0,"75, 84, 91, 53, 74"
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,2.04,0,0,"90, 34, 83"
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,1.74,0,1,"49, 59"
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,2.16,1,1,"39, 70"
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,1.86,0,0,"15, 6, 27, 45, 60"
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,1.47,0,0,"64, 62, 90, 50"
