original_title,title_length,production_companies
A Nightmare on Elm Street,25,New Line Cinema
A Perfect Getaway,17," Rogue, Davis Entertainment"
A Scanner Darkly,16," Detour Filmproduction,  Warner Independent Pictures (WIP), Thousand Words"
A Serious Man,13," Relativity Media,  Working Title Films,  Focus Features"
A Sound of Thunder,18," Crusader Entertainment, Epsilon Motion Pictures,  Dante Entertainment"
A Thousand Words,16, Varsity Pictures
A Very Harold & Kumar Christmas,31,"New Line Cinema,  Mandate Pictures"
A Walk Among the Tombstones,27,"Double Feature Films,  Jersey Films,  1984 Private Defense Contractors,  Exclusive Media Group"
A Walk to Remember,18,Pandora Pictures
A.I. Artificial Intelligence,28,DreamWorks SKG
AVP: Alien vs. Predator,23," Studio Babelsberg, Impact Pictures,  Twentieth Century Fox Film Corporation,  Stillking Films,  Davis Entertainment"
Abduction,9," Mango Farms,  Gotham Group"
About Last Night,16, Olive Bridge Entertainment
About Schmidt,13,New Line Cinema
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Abraham Productions,  Location Gourmet, Bazelevs Production"
Action Replayy,14," Hari Om Entertainment Co., PVR Cinemas,  Blockbuster Movie Entertainers"
Adaptation.,11," Intermedia,  Beverly Detroit"
Admission,9,Focus Features
Adventureland,13,Miramax Films
After Earth,11, Overbrook Entertainment
Agent Cody Banks,16,"Splendid Pictures,  Maverick Films"
Agent Cody Banks 2: Destination London,38," Metro-Goldwyn-Mayer (MGM), Splendid Pictures"
Agora,5," Canal+ EspaÃ±a,  Nimar Studios"
Akeelah and the Bee,19,"Lions Gate Films,  Out of the Blue... Entertainment,  2929 Productions"
Alex & Emma,11," Franchise Pictures,  Reiner-Greisman, Epsilon Motion Pictures"
Alexander,9,"France 3 CinÃ©ma,  Warner Bros.,  Intermedia Films,  Egmond Film & Television,  PathÃ© Renn Productions"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59," 21 Laps Entertainment,  The,  Jim Henson Company, Walt Disney Pictures"
Alfie,5, Patalex Productions
Alice in Wonderland,19," Roth Films,  Zanuck Company,  Tim Burton Productions, Walt Disney Pictures,  The"
Aliens in the Attic,19," Upstairs Canada Productions, Twentieth Century Fox Film Corporation,  New Upstairs Productions"
All About Steve,15," Fortis Films,  Dune Entertainment III"
All About the Benjamins,23,New Line Cinema
All Is Lost,11," Before the Door Pictures,  Treehouse Pictures,  FilmNation Entertainment"
All the King's Men,18,"Columbia Pictures Corporation,  VIP 4 Medienfonds,  Relativity Media,  Phoenix Pictures"
Almost Famous,13,Columbia Pictures
Aloha,5," RatPac Entertainment,  Regency Enterprises,  Sony Pictures Entertainment (SPE)"
Alone in the Dark,17," Brightlight Pictures,  Infogrames Entertainment,  Herold Productions"
Along Came Polly,16, Jersey Films
Along Came a Spider,19," David Brown Productions, Paramount Pictures,  Phase 1 Productions"
Alpha and Omega,15, Crest Animation Productions
Alvin and the Chipmunks,23,Dune Entertainment
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
American Dreamz,15,Universal Pictures
American Gangster,17," Film Rites,  Relativity Media"
American Hustle,15," Annapurna Pictures,  Atlas Entertainment"
American Outlaws,16, Morgan Creek Productions
American Pie 2,14," Zide-Perry Productions,  Liveplanet"
American Psycho,15," Edward R. Pressman Film, Lions Gate Films"
American Reunion,16,Universal Pictures
American Sniper,15," Malpaso Productions,  RatPac-Dune Entertainment"
American Wedding,16," Loumolo & Co.,  LivePlanet"
An Education,12,BBC Films
An Unfinished Life,18," Persistent Entertainment,  The Ladd Company,  Revolution Studios"
Anchorman 2: The Legend Continues,33," Apatow Productions, Paramount Pictures,  Gary Sanchez Productions"
Angel Eyes,10, Morgan Creek Productions
Angels & Demons,15," Imagine Entertainment,  Skylark Productions"
Anger Management,16," Happy Madison Productions,  Revolution Studios"
Annabelle,9,New Line Cinema
Annapolis,9,Touchstone Pictures
Annie,5,"Columbia Pictures,  Sony Pictures Entertainment (SPE)"
AntiTrust,9,Industry Entertainment
Antwone Fisher,14,Fox Searchlight
Apocalypto,10," Icon Entertainment International,  Touchstone Pictures"
Apollo 18,9,Bazelevs Production
Aquamarine,10,"Fox 2000 Pictures,  Storefront Pictures"
Arbitrage,9," Lucky Monkey Pictures,  Artina Films"
Are We There Yet?,17, Revolution Studios
Argo,4," Warner Bros.,  Smokehouse Pictures, GK Films"
Armored,7," Buckaroo Entertainment, Screen Gems,  Stars Road Entertainment,  Farah Films & Management"
Around the World in 80 Days,27," Babelsberg Film, Studio Babelsberg,  Mostow/Lieberman Productions"
Arthur,6,Warner Bros.
"As Above, So Below",18,Legendary Pictures
Assault on Precinct 13,22,"Rogue Pictures,  Liaison Films"
Astro Boy,9," Summit Entertainment,  Tezuka Production Company Ltd., The Weinstein Company"
Atlas Shrugged Part I,21,Atlas Productions
Atonement,9," Working Title Films,  Studio Canal, Universal Pictures"
Attack the Block,16," Studio Canal,  Film4"
August: Osage County,20," Smokehouse Pictures, Jean Doumanian Productions"
Austin Powers in Goldmember,27, Team Todd
Australia,9," ScreenWest,  Twentieth Century Fox Film Corporation"
Auto Focus,10,"Sony Pictures Classics,  Propaganda Films"
Avatar,6," Lightstorm Entertainment, Ingenious Film Partners,  Dune Entertainment"
Avengers: Age of Ultron,23,Marvel Studios
Awake,5,"The Weinstein Company,  GreeneStreet Films"
Babel,5," Media Rights Capital,  Anonymous Content"
Baby Mama,9, Michaels-Goldwyn
Babylon A.D.,12," CinÃ©CinÃ©ma, StudioCanal,  Babylon"
Bad Boys II,11, Don Simpson/Jerry Bruckheimer Films
Bad Company,11," Stillking Films, Jerry Bruckheimer Films"
Bad News Bears,14,Paramount Pictures
Bad Santa,9, Dimension Films (US version)
Baggage Claim,13,Sneak Preview Productions
Bandslam,8," Walden Media, Summit Entertainment"
Bangkok Dangerous,17," International Production Company, Virtual Studios,  Blue Star Pictures"
Banlieue 13,11," TF1 Films Production, Canal Plus"
Barbershop,10,Metro-Goldwyn-Mayer (MGM)
Barbershop 2:  Back in Business,31,Metro-Goldwyn-Mayer (MGM)
Barnyard,8, Paramount Animation
Basic,5,Intermedia Films
Basic Instinct 2,16,"Intermedia Films,  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,  Kanzaman"
Batman Begins,13," DC Entertainment,  Syncopy,  Legendary Pictures, DC Comics"
Battle of the Year,18,Screen Gems
Battle: Los Angeles,19," Original Film, Columbia Pictures,  Relativity Media"
Battleship,10," Bluegrass Films,  Film 44"
Be Cool,7," Nina Saxon Film Design,  Metro-Goldwyn-Mayer (MGM)"
Beastly,7, Storefront Films
Beauty Shop,11,Metro-Goldwyn-Mayer (MGM)
Because of Winn-Dixie,21,Twentieth Century Fox Film Corporation
Becoming Jane,13," Bueprint Pictures, Ecosse Films"
Bedazzled,9,"Twentieth Century Fox Film Corporation,  KirchMedia"
Bedtime Stories,15,"Walt Disney Pictures,  Gunn Films"
Bee Movie,9," Columbus 81 Productions,  DreamWorks Animation"
Before the Devil Knows You're Dead,34," Michael Cerenzie Productions, Capitol Films"
Begin Again,11,"Likely Story,  Sycamore Pictures,  Apatow Productions"
Behind Enemy Lines,18,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Belle,5,"Isle of Man Film,  DJ Films"
Beowulf,7," Paramount Animation, Paramount Pictures"
Beverly Hills Chihuahua,23,Walt Disney Pictures
Bewitched,9," Bewitched,  Red Wagon Entertainment, Columbia Pictures Corporation"
Big Eyes,8," Silverwood Films,  Tim Burton Productions"
Big Fish,8," Columbia Pictures Corporation, The Zanuck Company,  Jinks/Cohen Company"
Big Hero 6,10, Walt Disney Animation Studios
Big Miracle,11,Universal Pictures
Big Momma's House,17, Regency Enterprises
Big Momma's House 2,19," Firm Films,  Epsilon Motion Pictures,  Regency Enterprises"
"Big Mommas: Like Father, Like Son",33, New Regency Pictures
Big Trouble,11,Touchstone Pictures
Billy Elliot,12, StudioCanal
Birdman,7,"Worldview Entertainment,  Le Grisbi Productions"
Black Hawk Down,15, Revolution Studios
Black Mass,10," RatPac-Dune Entertainment,  Cross Creek Pictures, Infinitum Nihil,  Free State Pictures"
Black Nativity,14, Fox Searchlight
Black Swan,10,"Fox Searchlight Pictures,  Cross Creek Pictures"
Blackhat,8,"Universal Pictures,  Forward Pass"
Blade II,8,"New Line Cinema,  Amen Ra Films"
Blade: Trinity,14," Shawn Danielle Productions Ltd.,  Amen Ra Films, New Line Cinema,  Marvel Enterprises"
Blended,7, Karz Entertainment
Blood Diamond,13," Warner Bros.,  Lonely Film Productions GmbH & Co. KG.,  Virtual Studios, Bedford Falls Productions"
Blood Ties,10,"Wild Bunch,  Canal+"
Blood Work,10, Warner Bros. Pictures
BloodRayne,10,Boll KG
Blow,4,New Line Cinema
Blue Crush,10," Mikona Productions GmbH & Co. KG, Imagine Entertainment,  Universal Pictures,  Shutt/Jones Productions"
Blue Jasmine,12,Perdido Productions
Boat Trip,9,Motion Picture Corporation of America
Body of Lies,12," De Line Pictures,  Warner Bros., Scott Free Productions"
Boiler Room,11,New Line Cinema
Bolt,4, Walt Disney Animation Studios
Boogeyman,9," Screen Gems, Ghost House Pictures"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83, Four By Two Productions
Boys and Girls,14,Dimension Films
Brave,5," Pixar Animation Studios, Walt Disney Pictures"
Brick Mansions,14," CinÃ©+,  EuropaCorp, Canal+"
Brideshead Revisited,20," HanWay Films,  UK Film Council,  Ecosse Films, BBC Films,  2 Entertain"
Bridesmaids,11, Apatow Productions
Bridge of Spies,15," Marc Platt Productions,  Studio Babelsberg"
Bridge to Terabithia,20,"Walden Media,  Hal Lieberman Company,  Lauren Levine Productions Inc."
Bridget Jones's Diary,21," Studio Canal, Miramax Films,  Little Bird"
Bridget Jones: The Edge of Reason,33," Atlantic Television,  Studio Canal,  Working Title Films"
Bring It On,11,Beacon Communications
Brokeback Mountain,18, Alberta Film Entertainment
Broken City,11," 1984 Private Defense Contractors, Regency Enterprises"
Broken Flowers,14," Focus Features,  Five Roses"
Brooklyn,8,"Wildgaze Films,  Item 7,  Irish Film Board"
Brooklyn's Finest,17," Langley Productions,  Millennium Films,  Thunder Road Productions"
Brothers,8,Lionsgate
Bruce Almighty,14," Pit Bull Productions,  Shady Acres Entertainment, Universal Pictures"
Bullet to the Head,18," After Dark Films,  IM Global"
Burke & Hare,12," Aegis Film Fund, Ealing Studios,  Fragile Films"
Burlesque,9,Bedford Falls Productions
Burn After Reading,18," Working Title Films,  Focus Features, Mike Zoss Productions"
Calendar Girls,14,Harbour Pictures
Capitalism: A Love Story,24,The Weinstein Company
Capote,6," Province of British Columbia Production Services Tax Credit,  Eagle Vision Inc., Sony Pictures Classics,  Manitoba Film and Video Production Tax Credit"
Captain America: The First Avenger,34,Marvel Studios
Captain America: The Winter Soldier,35,Marvel Studios
Captain Phillips,16,Columbia Pictures
Captivity,9,"Foresight Unlimited,  Captivity Productions"
Carnage,7," Canal+,  CinÃ©CinÃ©ma,  Zanagar Films, Wild Bunch"
Carol,5,Killer Films
Cars,4, Pixar Animation Studios
Cars 2,6, Pixar Animation Studios
Case 39,7," Anonymous Content, Paramount Vantage,  Misher Films"
Casino Royale,13,Eon Productions
Cast Away,9," Playtone,  ImageMovers,  Twentieth Century Fox Film Corporation"
Catch Me If You Can,19, Splendid Pictures
Catch and Release,17,Columbia Pictures Corporation
Cats & Dogs,11, Warner Bros.
Cats & Dogs 2 : The Revenge of Kitty Galore,43,Village Roadshow Pictures
Catwoman,8," Frantic Films,  DiNovi Pictures,  Maple Shade Films, Village Roadshow Pictures"
Cellular,8,New Line Cinema
Centurion,9," Canal+,  Warner Bros."
Changeling,10," Relativity Media,  Malpaso Productions"
Chappie,7,"Columbia Pictures,  Media Rights Capital,  Genre Films"
Charlie St. Cloud,17," Marc Platt Productions, Universal Pictures"
Charlie and the Chocolate Factory,33," Plan B Entertainment,  Tim Burton Productions, Village Roadshow Pictures"
Charlie's Angels: Full Throttle,31," Flower Films (II), Columbia Pictures Corporation"
Cheaper by the Dozen,20,Twentieth Century Fox Film Corporation
Cheaper by the Dozen 2,22,Twentieth Century Fox Film Corporation
Chef,4,"Open Road Films,  Aldamisa Entertainment,  Kilburn Media"
Chicago,7," Producers Circle, Miramax Films"
Chicken Little,14,Walt Disney Pictures
Chicken Run,11," Aardman Animations,  PathÃ©"
Child 44,8, Scott Free Productions
Children of Men,15, Hit & Run Productions
Chloe,5,"StudioCanal,  Montecito Picture Company"
Chocolat,8, Fat Free
Cinderella,10,"Walt Disney Pictures,  Beagle Pug Films,  Genre Films"
Cinderella Man,14,"Miramax Films,  Universal Pictures,  Parkway Pictures (I),  Imagine Entertainment"
City By The Sea,15," Franchise Pictures,  Sea Breeze Productions Inc."
City of Ember,13,"Playtone,  Walden Media"
Clash of the Titans,19," Thunder Road Pictures,  Legendary Pictures, The Zanuck Company,  Warner Bros.,  Moving Picture Company (MPC)"
Clerks II,9,"The Weinstein Company,  View Askew Productions"
Click,5," Happy Madison Productions,  Columbia Pictures Corporation"
Clockstoppers,13," Nickelodeon Movies,  Valhalla Motion Pictures"
Closer,6,Columbia Pictures
Cloud Atlas,11,Anarchos Productions
Cloudy with a Chance of Meatballs 2,35,Columbia Pictures
Cloverfield,11, Bad Robot
Club Dread,10,"Fox Searchlight Pictures,  Coconut Pete Productions"
Coach Carter,12," MTV Films,  Tollin/Robbins Productions"
Cold Mountain,13," Castel Film Romania,  Mirage Enterprises, Miramax Films"
Collateral,10," DreamWorks SKG, Paramount Pictures"
Collateral Damage,17,"David Foster Productions,  Hacienda Productions"
Colombiana,10,"TF1 Films Production,  Canal+,  EuropaCorp"
Conan the Barbarian,19,"Dark Horse Entertainment,  Nu Image Films"
Concussion,10," The Shuman Company,  Scott Free Productions,  LStar Capital"
Confessions of a Dangerous Mind,31," Allied Filmmakers,  Mad Chance, Miramax Films"
Confessions of a Shopaholic,27,"Jerry Bruckheimer Films,  Touchstone Pictures"
Connie and Carla,16,Universal Pictures
Constantine,11," Lonely Film Productions GmbH & Co. KG.,  Branded Entertainment/Batfilm Productions, Village Roadshow Pictures"
Contagion,9,"Double Feature Films,  Participant Media,  Imagenation Abu Dhabi FZ,  Warner Bros."
Contraband,10," StudioCanal,  Leverage Management,  Closest to the Hole Productions"
Conviction,10,"Oceana Media Finance,  Pantheon Entertainment Corporation,  Omega Entertainment,  Innocence Productions"
Cop Out,7,Warner Bros.
Coraline,8," Laika Entertainment, Focus Features"
Corky Romano,12,"Robert Simonds Productions,  Touchstone Pictures"
Corpse Bride,12," Laika Entertainment,  Will Vinton Studios,  Tim Burton Productions, Tim Burton Animation Company"
Cosmopolis,10," Rai Cinema,  Prospero Pictures,  Alfama Films"
Country Strong,14,"Maguire Entertainment,  Sony Pictures Home Entertainment"
Couples Retreat,15," Wild West Picture Show Productions, Universal Pictures,  Stuber Productions"
Cowboys & Aliens,16," DreamWorks SKG, Imagine Entertainment,  Universal Pictures"
Coyote Ugly,11,Jerry Bruckheimer Films
Cradle 2 the Grave,18,Silver Pictures
Crank,5, GreeneStreet Films
Crank: High Voltage,19," Lionsgate, Lakeshore Entertainment"
Crash,5," Bull's Eye Entertainment,  Bob Yari Productions, Blackfriars Bridge Films"
Crazy Heart,11,Fox Searchlight Pictures
Crazy/Beautiful,15, Ufland
Creed,5,"New Line Cinema,  Warner Bros."
Crocodile Dundee in Los Angeles,31,"Bungalow Productions,  Silver Lion Films"
Curious George,14," Universal Animation Studios, Imagine Entertainment,  Universal Pictures"
Cursed,6,Craven-Maddalena Films
Daddy Day Care,14,"Columbia Pictures,  Davis Entertainment"
Daddy's Home,12,"Paramount Pictures,  Gary Sanchez Productions,  Good Universe"
Daddy's Little Girls,20," Tyler Perry Company, Lions Gate Films"
Dallas Buyers Club,18,"Universal Studios,  Truth Entertainment"
Dan in Real Life,16," Focus Features, Touchstone Pictures"
Dancer in the Dark,18," Zentropa Entertainments,  Arte, Fine Line Features,  Danmarks Radio (DR)"
Daredevil,9,Twentieth Century Fox Film Corporation
Dark Blue,9," Cosmic Pictures,  IM Filmproduktion,  Metro-Goldwyn-Mayer (MGM), United Artists"
Dark Shadows,12," Infinitum Nihil,  Warner Bros., Village Roadshow Pictures"
Dark Water,10,"Vertigo Entertainment,  Post No Bills Films,  Touchstone Pictures,  Pandemonium Productions"
Date Movie,10,Regency Enterprises
Dawn of the Dead,16," Toho-Towa,  Strike Entertainment, New Amsterdam Entertainment"
Dawn of the Planet of the Apes,30, TSG Entertainment
Daybreakers,11," Pictures in Paradise, Lionsgate,  Pacific Film and Television Commission,  Australian Film Finance Corporation (AFFC)"
Dead Silence,12," Twisted Pictures, Universal Pictures"
Death Race,10," Impact Pictures,  Scion Films,  Cruise/Wagner Productions"
Death Sentence,14,Twentieth Century Fox Film Corporation
Death at a Funeral,18,Parabolic Pictures
Deception,9," Seed Productions,  Dune Entertainment III, Rifkin-Eberts"
Defiance,8," Bedford Falls Company,  Defiance Productions"
Delivery Man,12,"DreamWorks SKG,  Touchstone Pictures"
Derailed,8,Miramax Films
Despicable Me,13,Universal Pictures
Deux frÃ¨res,12," TF1 Films Production,  Canal+,  Pathe"
Devil,5,"Universal Pictures,  Relativity Media"
Devil's Due,11,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Diana,5,"Ecosse Films,  Film i VÃ¤st"
Diary of a Wimpy Kid,20,Color Force
Diary of a Wimpy Kid: Dog Days,30,Fox 2000 Pictures
Diary of a Wimpy Kid: Rodrick Rules,35," Color Force, Fox 2000 Pictures"
Did You Hear About The Morgans?,31," Relativity Media, Columbia Pictures,  Castle Rock Entertainment"
Die Another Day,15,Eon Productions
Dinner for Schmucks,19," DreamWorks SKG, Paramount Pictures,  Reliance BIG Entertainment"
Disaster Movie,14," 3 in the Box, Grosvenor Park Media Ltd."
Disconnect,10," LD Entertainment, Lionsgate"
District 9,10,"WingNut Films,  Key Creatives"
Disturbia,9," Montecito Picture Company,  Cold Spring Pictures, Paramount Pictures,  The"
Divergent,9," Red Wagon Entertainment, Summit Entertainment"
DodgeBall: A True Underdog Story,32, Mediastream Vierte Film GmbH & Co. Vermarktungs KG
Dolphin Tale,12,Alcon Entertainment
Dolphin Tale 2,14," Boxing Cat Films,  Color Force"
Domino,6," Scott Free Productions,  Metropolitan Filmexport, New Line Cinema"
Don't Be Afraid of the Dark,27," Gran Via Productions,  Necropia,  Tequila Gang"
Don't Say a Word,16," Village Roadshow Pictures,  Kopelson Entertainment"
Doom,4," Stillking Films,  Babelsberg Film, Di Bonaventura Pictures"
Doomsday,8," Scion Films, Rogue Pictures"
Down with Love,14,"Regency Enterprises,  Epsilon Motion Pictures,  Jinks/Cohen Company"
Dracula 2000,12, Dimension Films
Dracula Untold,14," Fuji Television Network,  Legendary Pictures,  Michael De Luca Productions"
Drag Me to Hell,15," Mandate Pictures, Universal Pictures,  Curse Productions,  Ghost House Pictures"
Dragonfly,9," Spyglass Entertainment, Universal Pictures"
Dreamcatcher,12," WV Films II,  Castle Rock Entertainment"
Dreamgirls,10,"Paramount Pictures,  Laurence Mark Productions"
Dredd,5, Reliance BIG Entertainment
Drive,5," FilmDistrict,  Odd Lot Entertainment,  Motel Movies"
Drive Angry,11," Nu Image Films,  Millennium Films, Summit Entertainment"
Driven,6,"Epsilon Motion Pictures,  Trackform Film Productions"
Drumline,8,Fox 2000 Pictures
"Dude, Whereâ€™s My Car?",23,Twentieth Century Fox Film Corporation
Due Date,8," Green Hat Films,  Warner Bros."
Dumb and Dumber To,18," Red Granite Pictures, New Line Cinema"
Dungeons & Dragons,18," Silver Pictures,  Sweetpea Entertainment, New Line Cinema"
Duplicity,9," Laura Bickford Productions,  Relativity Media"
Dylan Dog: Dead of Night,24," Long Distance Films,  platinum studios, Hyde Park Films"
DÃ©jÃ  Vu,9," Scott Free Productions, Jerry Bruckheimer Films,  Touchstone Pictures"
Eagle Eye,9," Goldcrest Pictures, DreamWorks SKG"
Earth,5,BBC
Earth to Echo,13,Walt Disney Studios Motion Pictures
Eastern Promises,16,"BBC Films,  Astral Media,  Serendipity Point Films"
Easy A,6,Screen Gems
Eat Pray Love,13," Plan B Entertainment,  Red Om Films"
Edge of Darkness,16," GK Films, Icon Productions"
Eight Below,11," Spyglass Entertainment,  Vertigo Entertainment,  Kennedy/Marshall Company,  The"
Elektra,7, Marvel Enterprises
Elf,3,New Line Cinema
Elizabeth: The Golden Age,25, StudioCanal
Elizabethtown,13," KMP Film Invest,  Vinyl Films, Paramount Pictures"
Ella Enchanted,14,Miramax Films
Elysium,7," Alpha Core,  Sony Pictures Entertainment (SPE),  Media Rights Capital,  QED International"
Empire State,12," Cheetah Vision, Grindstone Entertainment Group"
Enchanted,9,"Walt Disney Pictures,  Andalasia Productions,  Right Coast Productions,  Josephson Entertainment"
End of Watch,12," Knightsbridge Entertainment,  Exclusive Media Group,  Hedge Fund Film Partners,  Crave Films"
Ender's Game,12,"Summit Entertainment,  Digital Domain"
Endless Love,12, Fake Empire
Enemy at the Gates,18," Swanford Films,  Little Bird"
Entourage,9, Closest to the Hole Productions
Epic Movie,10, Paul Schiff Productions
Equilibrium,11," Blue Tulip Productions, Dimension Films"
Eragon,6," Major Studio Partners,  Fox 2000 Pictures,  Twentieth Century Fox Film Corporation"
Erin Brockovich,15,Jersey Films
Escape Plan,11," Envision Entertainment, Summit Entertainment,  Emmett/Furla Films,  Atmosphere Entertainment MM"
Escape from Planet Earth,24," Weinstein Company,  The"
Eternal Sunshine of the Spotless Mind,37," This Is That Productions,  Focus Features"
EuroTrip,8," Blue Sea Productions, DreamWorks SKG"
Evan Almighty,13," Spyglass Entertainment,  Universal Pictures,  Shady Acres Entertainment"
Everest,7," Walden Media, Universal Pictures,  Working Title Films"
Everything Must Go,18," IM Global, Birdsong Pictures"
Everything is Illuminated,25," Telegraph Films, Big Beach Productions"
Evil Dead,9,"TriStar Pictures,  Ghost House Pictures"
Evolution,9,DreamWorks SKG
Ex Machina,10, Film4
Exit Wounds,11,NPV Entertainment
Exodus: Gods and Kings,22," Babieka,  Chernin Entertainment, Scott Free Productions,  Volcano Films"
Extract,7,Miramax Films
Extraordinary Measures,22, CBS Films
Extremely Loud & Incredibly Close,33,Paramount Pictures
Eye in the Sky,14,"Entertainment One,  Moonlighting Films"
Fahrenheit 9/11,15," Fellowship Adventure Group, BIM Distribuzione"
Failure to Launch,17," Scott Rudin Productions, Paramount Pictures"
Fair Game,9," Participant Media, River Road Entertainment"
Fantastic Four,14," Marvel Entertainment,  Moving Picture Company (MPC), Twentieth Century Fox Film Corporation,  Marv Films,  Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG"
Fantastic Mr. Fox,17," Indian Paintbrush,  American Empirical Pictures,  Twentieth Century Fox Animation,  Regency Enterprises, Twentieth Century Fox Film Corporation"
Far from Heaven,15,Clear Blue Sky Productions
Fast & Furious,14," Original Film,  Relativity Media"
Fast & Furious 6,16," Original Film,  One Race Productions,  Dentsu"
Fast Five,9,Universal Pictures
FearDotCom,10," Franchise Pictures,  DoRo Fiction Film, Milagro Films,  ApolloMedia Distribution"
Femme Fatale,12," Quinta Communications, Epsilon Motion Pictures"
Fever Pitch,11," Mars Media Beteiligungs,  Wildgaze Films,  Flower Films (II)"
Fifty Shades of Grey,20," Michael De Luca Productions,  Trigger Street Productions"
Final Destination,17," Zide-Perry Productions,  Hard Eight Pictures, New Line Cinema"
Final Destination 2,19, Zide-Perry Productions
Final Destination 3,19," Zide-Perry Productions, New Line Cinema,  Hard Eight Pictures"
Final Fantasy: The Spirits Within,33, Square USA
Finding Forrester,17, Finding Forrester Productions
Finding Nemo,12,"Walt Disney Pictures,  Disney Enterprises"
Finding Neverland,17," Film Colony, Miramax Films"
Fire with Fire,14, Paradox Entertainment
Firewall,8, Thunder Road Pictures
Flags of Our Fathers,20,"DreamWorks SKG,  Amblin Entertainment,  Warner Bros."
Flight of the Phoenix,21," Optional Pictures, Twentieth Century Fox Film Corporation"
Flightplan,10, Touchstone Pictures
Flushed Away,12,"Aardman Animations,  DreamWorks Animation"
Flyboys,7,Ingenious Film Partners
Focus,5, RatPac-Dune Entertainment
Fool's Gold,11, Warner Bros.
Footloose,9,Spyglass Entertainment
For Greater Glory - The True Story of Cristiada,47,Dos Corazones
Four Christmases,16," Spyglass Entertainment,  Type A Films,  Wild West Picture Show Productions"
Foxcatcher,10,"Likely Story,  Annapurna Pictures"
Frailty,7," David Kirschner Productions, Cinerenta Medienbeteiligungs KG,  American Entertainment Partners L.P."
Frankenweenie,13," Tim Burton Animation Company,  Tim Burton Productions"
Freaky Friday,13,Walt Disney Pictures
Fred Claus,10," Jessie Nelson Productions,  David Dobkin Productions"
Freddy vs. Jason,16,New Line Cinema
Freedom Writers,15,Double Feature Films
Frequency,9,New Line Cinema
Frida,5," Handprint Entertainment,  Lions Gate Films"
Friday After Next,17,New Line Cinema
Friday Night Lights,19," Imagine Entertainment,  Friday Night Lights LLC"
Friday the 13th,15,New Line Cinema
Friends with Benefits,21,"Castle Rock Entertainment,  Screen Gems"
Fright Night,12,Touchstone Pictures
From Hell,9,Twentieth Century Fox Film Corporation
From Justin to Kelly,20,20th Century Fox
Frozen,6,Walt Disney Pictures
