original_title,title_length,production_companies
The Girl Next Door,18, Epsilon Motion Pictures
Transformers: Age of Extinction,31, Platinum Dunes
Red Tails,9, Lucasfilm Ltd.
Dreamcatcher,12, WV Films II
Just Like Heaven,16,DreamWorks SKG
Suspect Zero,12, Lakeshore Entertainment
About a Boy,11,Universal Pictures
Sorority Row,12, Karz Entertainment
The Danish Girl,15, Taxshelter. be
Machine Gun Preacher,20, Relativity Media
The International,17, X-Filme Creative Pool
Season of the Witch,19, Relativity Media
The Day the Earth Stood Still,29, Dune Entertainment III
City of Ember,13,Playtone
War of the Worlds,17, DreamWorks SKG
Gangs of New York,17,Miramax Films
Scary Movie 2,13, Brad Grey Pictures
I Am Legend,11, Warner Bros.
The Fifth Estate,16, Reliance Entertainment
Mars Needs Moms,15,Walt Disney Animation Studios
Traffic,7,USA Films
Night at the Museum,19, Twentieth Century Fox Film Corporation
Brooklyn,8,Wildgaze Films
The Day After Tomorrow,22, Centropolis Entertainment
Unstoppable,11, Prospect Park
The Legend of Bagger Vance,26, Twentieth Century Fox Film Corporation
The Princess and the Frog,25, Walt Disney Animation Studios
London Boulevard,16,GK Films
Suspect Zero,12, Cruise/Wagner Productions
Machete Kills,13, AR Films
Meet the Robinsons,18, Walt Disney Animation Studios
Elysium,7, Alpha Core
Morning Glory,13, Goldcrest Pictures
Oculus,6, Blumhouse Productions
Shanghai Knights,16, Jackie Chan Films Limited
Secret Window,13, Mel's Cite du Cinema
End of Watch,12, Knightsbridge Entertainment
Alice in Wonderland,19, Roth Films
It's Complicated,16, Dentsu
Joy Ride,8, New Regency Pictures
Killer Elite,12, Open Road Films
Mad Max: Fury Road,18, Kennedy Miller Productions
Munich,6, Amblin Entertainment
Interstellar,12,Paramount Pictures
Stuck on You,12, Conundrum Entertainment
Hachi: A Dog's Tale,19,Grand Army Entertainment
Planet of the Apes,18,Twentieth Century Fox Film Corporation
Jimmy Neutron: Boy Genius,25, Universal Cartoon Studios
One for the Money,17,Lakeshore Entertainment
Outlander,9, VIP Medienfonds 4
Night at the Museum: Secret of the Tomb,39, 21 Laps Entertainment
Gigli,5, Casey Silver Productions
The Butler,10, Pam Williams Productions
American Wedding,16, Loumolo & Co.
Spotlight,9, Open Road Films
How to Lose Friends & Alienate People,37, Aramid Entertainment Fund
Metallica: Through the Never,28,Exclusive Media Group
The Perfect Game,16,HighRoad Entertainment
The Town,8,Legendary Pictures
Fantastic Mr. Fox,17, Indian Paintbrush
The League of Extraordinary Gentlemen,37,Twentieth Century Fox Film Corporation
Transformers: Dark of the Moon,30, Indochina Productions
Mandela: Long Walk to Freedom,29, Pathe
Monsters University,19,Walt Disney Pictures
Kingsman: The Secret Service,28, Marv Films
Evil Dead,9,TriStar Pictures
Avatar,6, Lightstorm Entertainment
Music and Lyrics,16, Reserve Room
City By The Sea,15, Franchise Pictures
The Rite,8, Mid Atlantic Films
The Contract,12, 3L Filmverleih
Rango,5, Nickelodeon Movies
"I, Frankenstein",15, Hopscotch Films
Coraline,8, Laika Entertainment
Aliens in the Attic,19, Upstairs Canada Productions
Predators,9, Davis Entertainment
Doom,4, Stillking Films
Promised Land,13, Sunday Night
The Smurfs 2,12, NeoReel
The Karate Kid,14, Overbrook Entertainment
War of the Worlds,17,Paramount Pictures
Seeking Justice,15,Endgame Entertainment
Spanglish,9,Gracie Films
RockNRolla,10, Warner Bros.
The Mist,8,Darkwoods Productions
The Cat's Meow,14, CP Medien AG
The Longest Yard,16, MTV Films
Devil's Due,11,Twentieth Century Fox Film Corporation
The Last Airbender,18, Blinding Edge Pictures
Cheaper by the Dozen,20,Twentieth Century Fox Film Corporation
La migliore offerta,19, Friuli Venezia Giulia Film Commission
Hart's War,10, Cheyenne Enterprises
Journey to the Center of the Earth,34, Walden Media
The Smurfs,10,Columbia Pictures
Thank You for Smoking,21,Fox Searchlight Pictures
Prisoners,9,Alcon Entertainment
Underworld,10,Lakeshore Entertainment
What to Expect When You're Expecting,36, Phoenix Pictures
Wild Target,11,Matador Pictures
Focus,5, RatPac-Dune Entertainment
Resident Evil: Afterlife,24, Constantin Film Produktion
The Break-Up,12, Wild West Picture Show Productions
The Three Musketeers,20,Impact Pictures
Flushed Away,12,Aardman Animations
Confessions of a Shopaholic,27,Jerry Bruckheimer Films
Fur: An Imaginary Portrait of Diane Arbus,41, Iron Film
The Water Diviner,17, Seven Group Holdings
The Giver,9,The Weinstein Company
Secret in Their Eyes,20, IM Global
Young Adult,11, Denver and Delilah Productions
Munich,6, Peninsula Films
Jack Ryan: Shadow Recruit,25, Mace Neufeld Productions
The Little Vampire,18,New Line Cinema
Beowulf,7, Paramount Animation
Argo,4, Warner Bros.
Pompeii,7, FilmDistrict
Oblivion,8, Radical Studios
The Martian,11, Mid Atlantic Films
Four Christmases,16, Spyglass Entertainment
Orphan,6, Studio Canal
Take the Lead,13, Tiara Blu Films
American Pie 2,14, Zide-Perry Productions
Minority Report,15, Twentieth Century Fox Film Corporation
Kick-Ass,8,Lions Gate
Dracula Untold,14, Fuji Television Network
The Grand Budapest Hotel,24, Scott Rudin Productions
The Chronicles of Narnia: Prince Caspian,40, Ozumi Films
WALLÂ·E,7, Pixar Animation Studios
It's Complicated,16,Universal Pictures
The Mexican,11, Pistolero Productions LLC
Adventureland,13,Miramax Films
Deux frÃ¨res,12, TF1 Films Production
All the King's Men,18,Columbia Pictures Corporation
Wrong Turn,10, Constantin Film Produktion
The Departed,12, Initial Entertainment Group (IEG)
50 First Dates,14, Flower Films (II)
Gulliver's Travels,18,Twentieth Century Fox Film Corporation
My Best Friend's Girl,21, New Wave Entertainment
Cloud Atlas,11,Anarchos Productions
The Social Network,18, Relativity Media
Insurgent,9,Summit Entertainment
Punisher: War Zone,18, Valhalla Motion Pictures
The Golden Compass,18, Ingenious Film Partners
Non-Stop,8, Canal+
Salt,4,Columbia Pictures
The Art of War,14, Morgan Creek Productions
Click,5, Happy Madison Productions
Machete,7,Dune Entertainment
Belle,5,Isle of Man Film
Dreamgirls,10,Paramount Pictures
Burlesque,9,Bedford Falls Productions
I Could Never Be Your Woman,27,Scott Rudin Productions
"As Above, So Below",18,Legendary Pictures
Maid in Manhattan,17, Shoelace Productions
Knocked Up,10,Universal Pictures
Daddy's Home,12,Paramount Pictures
21 Jump Street,14, Original Film
The Wolverine,13, Marvel Entertainment
The Musketeer,13, The
Awake,5,The Weinstein Company
Aloha,5, Regency Enterprises
Batman Begins,13, DC Entertainment
Boogeyman,9, Screen Gems
Godsend,7, 2929 Productions
The Monuments Men,17, Smokehouse Pictures
Due Date,8, Green Hat Films
War,3, Province of British Columbia Production Services Tax Credit
The Call,8, Apotheosis Media Group
The Cell,8, Caro-McLeod
The Wedding Planner,19, Prufrock Pictures
Evolution,9,DreamWorks SKG
Changeling,10, Relativity Media
The Others,10, Lucky Red
The Croods,10,DreamWorks Animation
Peter Pan,9,Columbia Pictures
Little Fockers,14, Relativity Media
Moonrise Kingdom,16, Indian Paintbrush
Along Came a Spider,19, David Brown Productions
The Reaping,11,Village Roadshow Pictures
Cowboys & Aliens,16, DreamWorks SKG
Red Dragon,10,Universal Pictures
The Guard,9, Prescience
The Martian,11, Scott Free Productions
Moulin Rouge!,13,Bazmark Films
Foxcatcher,10,Likely Story
The Last Legion,15,Ingenious Film Partners
Derailed,8,Miramax Films
Wild Target,11, Magic Light Pictures
One Day,7, Color Force
The Wedding Planner,19, Dee Gee Entertainment
Conviction,10,Oceana Media Finance
The Covenant,12,Screen Gems
Easy A,6,Screen Gems
Predestination,14,Screen Australia
Hellboy,7, Starlite Films
Vertical Limit,14,Columbia Pictures Corporation
Frankenweenie,13, Tim Burton Animation Company
Hoodwinked!,11, Blue Yonder Films
Charlie and the Chocolate Factory,33, Plan B Entertainment
The Road,8, Dimension Films
Enemy at the Gates,18, Little Bird
Pitch Perfect,13,Brownstone Productions
Eat Pray Love,13, Plan B Entertainment
The Hangover Part II,20, Living Films
Underworld: Rise of the Lycans,30,Lakeshore Entertainment
Lone Survivor,13, Herrick Entertainment
Hidalgo,7, Dune Films
The Mothman Prophecies,22,Lakeshore Entertainment
August: Osage County,20, Smokehouse Pictures
Trance,6, Decibel Films
Jimmy Neutron: Boy Genius,25, Paramount Animation
Atlas Shrugged Part I,21,Atlas Productions
The Holiday,11, Relativity Media
The Beach,9, Figment Films
Sin City: A Dame to Kill For,28, Demarest Films
Uptown Girls,12,GreeneStreet Films
My Bloody Valentine,19,Lionsgate
Hostage,7, Yari Film Group
Corky Romano,12,Robert Simonds Productions
Looney Tunes: Back in Action,28,Lonely Film Productions GmbH & Co. KG.
G.I. Joe: The Rise of Cobra,27, Hasbro
Red Tails,9,Twentieth Century Fox Film Corporation
Machete,7, Dune Entertainment III
The Ghost Writer,16, Runteam Ltd.
A History of Violence,21, DC Comics
Batman Begins,13, Syncopy
Stormbreaker,12,Isle of Man Film
The Adventures of Rocky & Bullwinkle,36, Tribeca Productions
Astro Boy,9, Summit Entertainment
Agora,5, Canal+ EspaÃ±a
The Invisible,13,Spyglass Entertainment
The Rocker,10,Fox Atomic
Fury,4,Columbia Pictures
The Mist,8, Dimension Films
Jem and the Holograms,21, Allspark Pictures
Skyline,7, Rat Entertainment
Peter Pan,9, Quinta Communications
Bad Company,11, Stillking Films
The Adventures of Tintin,24, WingNut Films
Coyote Ugly,11,Jerry Bruckheimer Films
The Wolverine,13,Twentieth Century Fox Film Corporation
Pathfinder,10, Phoenix Pictures
The Return,10, Rosey Film Productions LLC
Brokeback Mountain,18, Alberta Film Entertainment
The Dukes of Hazzard,20, WV Films III
Moms' Night Out,15, FourBoys Entertainment
Arbitrage,9, Lucky Monkey Pictures
Star Trek Into Darkness,23, Skydance Productions
Stardust,8, Ingenious Film Partners
Jack and Jill,13, Broken Road Productions
Intolerable Cruelty,19, Universal Pictures
Looney Tunes: Back in Action,28, Baltimore Spring Creek Productions
World Trade Center,18, Kernos Filmproduktionsgesellschaft & Company
13 Going On 30,14, Thirteen Productions
National Treasure: Book of Secrets,34, Sparkler Entertainment
Elizabethtown,13, KMP Film Invest
Dinner for Schmucks,19, DreamWorks SKG
The Devil Wears Prada,21, Peninsula Films
Zero Dark Thirty,16,Columbia Pictures
All Is Lost,11, Before the Door Pictures
The Game Plan,13, Mayhem Pictures
Devil,5,Universal Pictures
The Hunger Games: Mockingjay - Part 1,37, Color Force
Race to Witch Mountain,22, Gunn Films
Escape Plan,11, Envision Entertainment
The Scorpion King,17, World Wrestling Entertainment (WWE)
The Terminal,12, Amblin Entertainment
Miami Vice,10, Motion Picture ETA Produktionsgesellschaft
The Holiday,11,Columbia Pictures
Tears of the Sun,16, Cheyenne Enterprises
Rock of Ages,12,New Line Cinema
Million Dollar Arm,18,Walt Disney Pictures
Tooth Fairy,11, Dune Entertainment III
The Night Before,16, Good Universe
Lucy,4, Canal+
The League of Extraordinary Gentlemen,37, International Production Company
The Possession,14, North Box Productions
Hereafter,9,Amblin Entertainment
Freedom Writers,15,Double Feature Films
The Little Prince,17, Zippcast Films
Hardcore Henry,14,Bazelevs Production
Astro Boy,9, Tezuka Production Company Ltd.
Blended,7, Karz Entertainment
Clash of the Titans,19,The Zanuck Company
The Big Bounce,14, Taormina Productions
Just My Luck,12, New Regency Pictures
Bruce Almighty,14, Pit Bull Productions
Brave,5, Pixar Animation Studios
Eastern Promises,16,BBC Films
Sex Tape,8,Escape Artists
The Master,10,Ghoulardi Film Company
Around the World in 80 Days,27, Babelsberg Film
Sparkle,7, Phoenix Pictures
Punisher: War Zone,18, MHF Zweite Academy Film
Safe,4,Lawrence Bender Productions
Angel Eyes,10, Morgan Creek Productions
Vantage Point,13,Columbia Pictures
Escape from Planet Earth,24, Weinstein Company
The Marine,10,Twentieth Century Fox Film Corporation
Maleficent,10,Walt Disney Pictures
Showtime,8, NPV Entertainment
Ouija,5, Blumhouse Productions
The Heat,8, Big Screen Productions
The Fountain,12, New Regency Pictures
The Whole Ten Yards,19, MHF Zweite Academy Film
Once Upon a Time in Mexico,26, Dimension Films
Elizabethtown,13, Vinyl Films
Hope Springs,12, Metro-Goldwyn-Mayer (MGM)
Concussion,10, The Shuman Company
Hop,3, Illumination Entertainment
Suite FranÃ§aise,16, TF1 Droits Audiovisuels
The Taking of Pelham 1 2 3,26, Metro-Goldwyn-Mayer (MGM)
Dragonfly,9, Spyglass Entertainment
The King's Speech,17, UK Film Council
"Legally Blonde 2: Red, White & Blonde",37,Type A Films
Disturbia,9, Montecito Picture Company
Insomnia,8,Section Eight
Wrath of the Titans,19, Thunder Road Pictures
Ghost Rider,11, Relativity Media
Murder by Numbers,17, Schroeder Hoffman Productions
Sherlock Holmes: A Game of Shadows,34, Wigram Productions
Hulk,4, Good Machine
Dylan Dog: Dead of Night,24, Long Distance Films
The Hitchhiker's Guide to the Galaxy,36, Everyman Pictures
Sweeney Todd: The Demon Barber of Fleet Street,46, DreamWorks Pictures
The Road to El Dorado,21,DreamWorks Animation
The Eagle,9, Prime Focus
In Bruges,9, Focus Features
P.S. I Love You,15, Alcon Entertainment
Fantastic Mr. Fox,17, American Empirical Pictures
The Adventures of Rocky & Bullwinkle,36, KC Medien AG
Stealth,7, AFG Talons Productions
Swimming Pool,13, FidÃ©litÃ© Productions
Ocean's Twelve,14,Village Roadshow Pictures
Bullet to the Head,18, After Dark Films
Aliens in the Attic,19,Twentieth Century Fox Film Corporation
Get Him to the Greek,20, Spyglass Entertainment
Zack and Miri Make a Porno,26,Blue Askew
A Serious Man,13, Working Title Films
Broken City,11, 1984 Private Defense Contractors
The Expendables 3,17, Millennium Films
Son of God,10, LightWorkers Media
21 & Over,9,Relativity Media
Gone Baby Gone,14,Miramax Films
Training Day,12, WV Films II
The Pursuit of Happyness,24,Columbia Pictures Corporation
Behind Enemy Lines,18,Twentieth Century Fox Film Corporation
Disaster Movie,14, 3 in the Box
The Shaggy Dog,14, Boxing Cat Films
Scooby-Doo,10,Atlas Entertainment
Madagascar,10, DreamWorks Animation
Vacation,8,New Line Cinema
You Again,9, Frontier Pictures
The Big Short,13, Plan B Entertainment
Something's Gotta Give,22, Waverly Films
Hereafter,9, Warner Bros.
Dungeons & Dragons,18, Silver Pictures
Transsiberian,13,Lietuvos Kinostudija
The Skulls,10, Original Film
X-Men Origins: Wolverine,24, Dune Entertainment
What to Expect When You're Expecting,36, What to Expect Productions
White Chicks,12, Revolution Studios
The Machinist,13, Canal+ EspaÃ±a
Friends with Benefits,21,Castle Rock Entertainment
How to Lose a Guy in 10 Days,28,Paramount Pictures
The Little Prince,17, CityMation
End of Watch,12, Exclusive Media Group
How to Train Your Dragon 2,26, Mad Hatter Entertainment
Salt,4, Relativity Media
A Walk to Remember,18,Pandora Pictures
All the King's Men,18, VIP 4 Medienfonds
Sweeney Todd: The Demon Barber of Fleet Street,46,Warner Bros.
S.W.A.T.,8,Original Film
Street Fighter: The Legend of Chun-Li,37, Hyde Park Films
The Longest Ride,16,Fox 2000 Pictures
300: Rise of an Empire,22,Legendary Pictures
Dolphin Tale 2,14, Boxing Cat Films
The Maze Runner,15, Dayday Films
Man of Steel,12, Syncopy
Life as We Know It,18,Josephson Entertainment
The X Files: I Want to Believe,30, Crying Box Productions
Changeling,10, Malpaso Productions
The Express,11, IDEA Filmproduktions
The Ring,8,DreamWorks SKG
What Women Want,15, Centropolis Entertainment
Gone Girl,9,Twentieth Century Fox Film Corporation
Transsiberian,13, Canal+ EspaÃ±a
The Fast and the Furious,24, Original Film
Whisper,7, Province of British Columbia Production Services Tax Credit
The Guardian,12,Contrafilm
Unfaithful,10, Fox 2000 Pictures
Harry Potter and the Order of the Phoenix,41, Harry Potter Publishing Rights
The Conspirator,15,Wildwood Enterprises
Hearts in Atlantis,18,Castle Rock Entertainment
The Frozen Ground,17, K5 International
The Frozen Ground,17, Emmett/Furla Films
Catch and Release,17,Columbia Pictures Corporation
Dancer in the Dark,18, Zentropa Entertainments
