State,Median income_1999,Standard error_1999,Median income_2000,Standard error_2000,Median income_2001,Standard error_2001,Median income_2002,Standard error_2002,Median income_2003,Standard error_2003,Median income_2004,Standard error_2004,Median income_2005,Standard error_2005,Median income_2006,Standard error_2006,Median income_2007,Standard error_2007,Median income_2008,Standard error_2008,Median income_2009,Standard error_2009,Median income_2010,Standard error_2010,Median income_2011,Standard error_2011,Median income_2012,Standard error_2012,Median income_2013,Standard error_2013,Median income_2014,Standard error_2014,Median income_2015,Standard error_2015,Median income_2016,Standard error_2016,Median income_2017,Standard error_2017,Median income_2018,Standard error_2018,Median income_2019,Standard error_2019,Median income_2020,Standard error_2020
Georgia,61442.0,,63158.0,1253.0,62399.0,1573.0,61954.0,1597.0,59872.0,1381.0,56299.0,849.0,61021.0,1113.0,63504.0,1557.0,60873.0,1349.0,55712.0,1403.0,52415.0,1519.0,52489.0,2168.0,53025.0,2864.0,54352.0,1699.0,52302.0,4715.0,54236.0,2199.0,55468.0,1531.0,57738.0,1811.0,60206.0,2570.0,57542.0,2095.0,57335.0,1804.0,58952.0,2080.0
Hawaii,69358.0,,77696.0,1798.0,69526.0,1841.0,68251.0,1978.0,73128.0,1879.0,77259.0,2322.0,79171.0,1610.0,77823.0,2022.0,80122.0,2659.0,74144.0,1785.0,67301.0,2447.0,70837.0,3249.0,68105.0,2919.0,63548.0,2547.0,71493.0,4361.0,77951.0,2929.0,70486.0,3103.0,77807.0,2707.0,77692.0,2352.0,82578.0,3589.0,89105.0,3610.0,80729.0,2487.0
Idaho,55793.0,,56692.0,1797.0,56046.0,1416.0,54417.0,1617.0,59779.0,1385.0,60934.0,1905.0,58696.0,1666.0,59475.0,1689.0,61553.0,1616.0,57150.0,2026.0,56573.0,1529.0,55978.0,2224.0,54739.0,4023.0,54127.0,3584.0,53943.0,6104.0,58486.0,2815.0,56403.0,1377.0,61014.0,1360.0,63577.0,2534.0,60538.0,2479.0,66812.0,2179.0,66499.0,1961.0
Illinois,72204.0,,69433.0,1456.0,67668.0,1288.0,61624.0,1235.0,63702.0,1512.0,63296.0,1131.0,64306.0,1310.0,62638.0,1502.0,65710.0,1189.0,64181.0,1597.0,63940.0,1138.0,60354.0,1754.0,58405.0,1585.0,58437.0,1500.0,60031.0,3658.0,60103.0,1778.0,66006.0,2184.0,66215.0,1900.0,68224.0,2111.0,72307.0,2322.0,75328.0,2658.0,73753.0,2335.0
Indiana,63645.0,,61596.0,1023.0,59179.0,1389.0,59225.0,1079.0,59853.0,1353.0,58147.0,1581.0,56385.0,1462.0,58437.0,1591.0,59386.0,1571.0,56065.0,1428.0,53582.0,1312.0,54894.0,3061.0,51263.0,2663.0,52135.0,2018.0,55043.0,5017.0,52600.0,2127.0,56795.0,1838.0,60507.0,3103.0,62167.0,2139.0,61738.0,2059.0,67526.0,3151.0,66360.0,4086.0
Iowa,64050.0,,61786.0,1222.0,60054.0,1661.0,59227.0,1662.0,58385.0,1247.0,59606.0,2089.0,61784.0,1779.0,61937.0,1919.0,61207.0,1816.0,60430.0,1558.0,61342.0,1856.0,58317.0,1597.0,57923.0,2277.0,60362.0,2415.0,66953.0,6827.0,63271.0,3749.0,66489.0,3578.0,63743.0,2679.0,67033.0,5820.0,70836.0,3000.0,66879.0,4059.0,68469.0,3475.0
Kansas,58205.0,,61889.0,1761.0,60697.0,1634.0,61493.0,1511.0,62403.0,1871.0,56412.0,2403.0,55841.0,1309.0,58624.0,1611.0,60693.0,2259.0,57701.0,1699.0,54080.0,2162.0,54793.0,2161.0,53226.0,2249.0,56477.0,2047.0,53223.0,5004.0,58492.0,3133.0,59944.0,4076.0,61279.0,3525.0,61110.0,3060.0,65909.0,2089.0,74065.0,4383.0,72815.0,3671.0
Kentucky,52579.0,,54663.0,1278.0,56333.0,1479.0,53042.0,1261.0,52110.0,1209.0,48917.0,1673.0,48761.0,1193.0,50816.0,1353.0,49373.0,1516.0,49591.0,979.0,51597.0,1588.0,48904.0,3359.0,45970.0,2130.0,46406.0,2146.0,49950.0,4367.0,46828.0,1729.0,46311.0,2479.0,48938.0,2163.0,54221.0,1440.0,56237.0,3781.0,56357.0,2585.0,56525.0,2361.0
Louisiana,50890.0,,46302.0,1248.0,48836.0,1751.0,49068.0,1815.0,47272.0,1556.0,50042.0,1708.0,49475.0,1723.0,46959.0,1834.0,51702.0,1173.0,47681.0,1791.0,54946.0,2193.0,46758.0,3864.0,46895.0,2225.0,44146.0,1820.0,51671.0,2830.0,46412.0,2038.0,50173.0,2338.0,45515.0,1291.0,46360.0,1534.0,51514.0,1808.0,52352.0,1430.0,50935.0,1637.0
Maine,60565.0,,56172.0,1286.0,53658.0,1395.0,53173.0,1221.0,52359.0,1333.0,56773.0,1680.0,58360.0,1904.0,58740.0,2313.0,59938.0,1750.0,56918.0,1731.0,57448.0,2103.0,57027.0,2007.0,57316.0,2287.0,55523.0,2538.0,61167.0,4299.0,56594.0,2376.0,55455.0,2108.0,54857.0,3609.0,54555.0,2266.0,60471.0,5858.0,67377.0,5064.0,63440.0,3198.0
Maryland,81360.0,,82201.0,2110.0,78453.0,2421.0,81387.0,2210.0,73805.0,1725.0,78442.0,2324.0,80401.0,1962.0,81939.0,2060.0,82134.0,2079.0,76784.0,2132.0,77626.0,2025.0,76384.0,2733.0,79442.0,2451.0,81137.0,2091.0,77189.0,3306.0,83359.0,4676.0,80407.0,2941.0,79562.0,2795.0,85621.0,3856.0,88881.0,3434.0,96765.0,3325.0,94384.0,4208.0
Massachusetts,68580.0,,70472.0,2045.0,76581.0,2225.0,71933.0,1664.0,71888.0,1344.0,71458.0,2290.0,74429.0,2331.0,71208.0,2676.0,73165.0,2792.0,72697.0,2017.0,71805.0,2115.0,72497.0,2609.0,73025.0,3721.0,71898.0,4262.0,69594.0,5902.0,69116.0,2913.0,74143.0,3048.0,77951.0,3140.0,77324.0,3514.0,89007.0,2871.0,88802.0,2863.0,86725.0,6349.0
Michigan,71828.0,,68601.0,1651.0,66020.0,1272.0,61631.0,1609.0,63517.0,1340.0,58047.0,1179.0,61031.0,1216.0,62607.0,1243.0,61785.0,999.0,60004.0,1391.0,55625.0,1213.0,55057.0,2067.0,56377.0,2127.0,56491.0,1711.0,62959.0,1766.0,56917.0,1312.0,59221.0,2191.0,61582.0,2058.0,60929.0,2468.0,62312.0,1965.0,64920.0,1701.0,63829.0,3320.0
Minnesota,73307.0,,81773.0,2567.0,77209.0,1662.0,78811.0,1726.0,74523.0,1732.0,77070.0,1470.0,72035.0,1653.0,72342.0,1568.0,72658.0,2363.0,66195.0,1720.0,67835.0,1496.0,62250.0,1911.0,66690.0,2745.0,69796.0,1512.0,71592.0,4443.0,73596.0,3510.0,75093.0,3347.0,75742.0,4363.0,75944.0,3158.0,74031.0,3769.0,82443.0,3025.0,78461.0,3498.0
Mississippi,50616.0,,51699.0,2041.0,44204.0,1738.0,44558.0,1105.0,46173.0,1570.0,47743.0,1555.0,43681.0,1717.0,44700.0,2037.0,46654.0,1190.0,43924.0,1000.0,42423.0,1577.0,45401.0,3367.0,47393.0,2729.0,41385.0,1746.0,35992.0,3038.0,38876.0,1416.0,43743.0,1170.0,44332.0,1322.0,45872.0,2327.0,44100.0,2375.0,45346.0,3034.0,44966.0,2695.0
Missouri,64494.0,,67975.0,1789.0,60586.0,1765.0,61719.0,1550.0,61740.0,1234.0,57883.0,1474.0,57115.0,1314.0,57372.0,1804.0,57574.0,1382.0,55484.0,1381.0,58981.0,1929.0,54511.0,2566.0,52796.0,2488.0,56208.0,2306.0,51535.0,4601.0,61979.0,3316.0,64676.0,2848.0,59344.0,1854.0,60068.0,2757.0,63629.0,2517.0,61353.0,2969.0,61901.0,2594.0
Montana,48372.0,,49405.0,1509.0,47084.0,1080.0,50262.0,1749.0,48120.0,1505.0,46645.0,974.0,49577.0,1543.0,52901.0,897.0,54633.0,2126.0,51702.0,2126.0,48904.0,1212.0,49113.0,2197.0,46456.0,2348.0,50926.0,2897.0,48082.0,6618.0,55929.0,1946.0,56153.0,3209.0,61565.0,3107.0,62393.0,2734.0,59457.0,2965.0,60946.0,2322.0,56442.0,2479.0
Nebraska,60197.0,,62930.0,1534.0,63916.0,1636.0,61748.0,1498.0,62039.0,1843.0,60149.0,1830.0,63675.0,1923.0,61961.0,1918.0,61540.0,1726.0,61137.0,1511.0,59980.0,2004.0,62467.0,2095.0,64148.0,3106.0,58954.0,3048.0,64134.0,4693.0,62242.0,2467.0,66072.0,3209.0,64045.0,2889.0,62955.0,3007.0,69658.0,4054.0,73983.0,3300.0,72024.0,2409.0
Nevada,64615.0,,68972.0,1524.0,66542.0,1656.0,64867.0,1675.0,63746.0,2192.0,64844.0,1898.0,64055.0,2232.0,67285.0,1611.0,67652.0,1619.0,65977.0,3203.0,62204.0,1327.0,60916.0,2287.0,54260.0,3078.0,53462.0,2861.0,57704.0,3537.0,54586.0,2009.0,56823.0,2482.0,59791.0,2305.0,59714.0,3209.0,63771.0,2181.0,71791.0,3508.0,60956.0,2448.0
New Hampshire,71775.0,,76762.0,1874.0,75230.0,1054.0,79820.0,1860.0,78394.0,1840.0,78046.0,1819.0,75714.0,2692.0,79753.0,1903.0,84570.0,2310.0,79754.0,3861.0,77559.0,2245.0,79277.0,1964.0,75986.0,1905.0,76600.0,2512.0,76907.0,4415.0,80330.0,3560.0,82681.0,3845.0,82259.0,3142.0,78987.0,3211.0,83854.0,3499.0,87984.0,2755.0,88235.0,3325.0
New Jersey,77509.0,,75976.0,1494.0,75875.0,1367.0,78733.0,2316.0,79069.0,1443.0,75931.0,1762.0,84196.0,2999.0,87590.0,2547.0,75724.0,1825.0,78706.0,2768.0,78341.0,2321.0,74917.0,2907.0,71901.0,3493.0,75327.0,2214.0,70958.0,4968.0,71406.0,2947.0,74685.0,3422.0,73854.0,3093.0,77082.0,3167.0,76463.0,2933.0,88821.0,4119.0,85239.0,4164.0
New Mexico,50765.0,,52896.0,1881.0,48546.0,1814.0,51159.0,1531.0,49526.0,1611.0,54346.0,2176.0,51748.0,2259.0,51515.0,1618.0,55511.0,1845.0,50741.0,1664.0,52659.0,1807.0,53699.0,3588.0,48422.0,2484.0,49047.0,2561.0,44704.0,4906.0,51096.0,3625.0,49296.0,3152.0,52262.0,3194.0,50533.0,2079.0,49771.0,2270.0,53776.0,2224.0,50822.0,1732.0
New York,62321.0,,61414.0,876.0,61722.0,879.0,60550.0,837.0,60366.0,1230.0,61334.0,1088.0,62682.0,1099.0,62060.0,1273.0,61252.0,1149.0,60815.0,822.0,60731.0,724.0,59228.0,1570.0,58404.0,1160.0,53854.0,1790.0,55612.0,2523.0,59440.0,1949.0,63375.0,2409.0,66270.0,1516.0,65941.0,2210.0,69348.0,1775.0,72752.0,1721.0,68304.0,2384.0
North Carolina,58059.0,,57756.0,1215.0,55930.0,1394.0,52686.0,1033.0,52593.0,1328.0,55275.0,1115.0,55879.0,1281.0,51217.0,1049.0,54456.0,1342.0,51739.0,1020.0,50681.0,697.0,52147.0,2288.0,52141.0,1799.0,46933.0,1462.0,51573.0,3310.0,51203.0,1872.0,55500.0,1467.0,57993.0,1757.0,53160.0,1858.0,55014.0,1815.0,61922.0,1669.0,60266.0,1823.0
North Dakota,50904.0,,54257.0,1605.0,52458.0,1178.0,52231.0,1189.0,57011.0,1202.0,53876.0,1718.0,56060.0,1622.0,52826.0,1808.0,59076.0,1602.0,59815.0,1432.0,60560.0,2102.0,60685.0,2750.0,65007.0,3414.0,62987.0,2398.0,65836.0,3841.0,66466.0,3434.0,62730.0,3532.0,64918.0,2470.0,63237.0,1770.0,68555.0,3190.0,70905.0,3210.0,63657.0,2312.0
Ohio,61542.0,,64757.0,1103.0,61240.0,969.0,61586.0,1121.0,61398.0,1312.0,59144.0,1342.0,58732.0,1390.0,59072.0,815.0,61446.0,1358.0,56564.0,1022.0,55486.0,757.0,54593.0,1776.0,51497.0,1384.0,50121.0,1946.0,56482.0,2725.0,54333.0,1525.0,58235.0,2138.0,58232.0,2043.0,63112.0,1996.0,63533.0,2323.0,65470.0,3049.0,60110.0,1577.0
Oklahoma,50935.0,,48885.0,1069.0,52188.0,1011.0,52603.0,884.0,50651.0,1102.0,54418.0,1541.0,50018.0,1925.0,49983.0,2055.0,54084.0,1818.0,55572.0,1122.0,55484.0,1377.0,51282.0,2466.0,55888.0,2762.0,54675.0,3186.0,51378.0,3831.0,51657.0,3037.0,51435.0,2116.0,54950.0,1782.0,58084.0,3276.0,56112.0,2860.0,60138.0,2386.0,52341.0,1785.0
Oregon,63303.0,,64059.0,1411.0,60489.0,1102.0,60314.0,1234.0,58743.0,1361.0,56313.0,1444.0,58673.0,1848.0,60605.0,1797.0,62869.0,1698.0,62341.0,1656.0,59379.0,1988.0,60204.0,1791.0,59430.0,1854.0,58479.0,2632.0,54536.0,3213.0,64436.0,3281.0,66466.0,2594.0,63787.0,2828.0,68225.0,3016.0,71297.0,3768.0,75342.0,5746.0,76554.0,3465.0
Pennsylvania,58844.0,,63573.0,1061.0,63752.0,1060.0,61318.0,1147.0,60570.0,1098.0,60588.0,1427.0,61518.0,990.0,62388.0,1118.0,60618.0,1166.0,61949.0,710.0,58259.0,1133.0,57482.0,1794.0,57566.0,1954.0,58625.0,1587.0,61388.0,3268.0,60385.0,2480.0,65980.0,2433.0,65776.0,2196.0,66708.0,2907.0,66513.0,1685.0,71463.0,3266.0,70117.0,3524.0
Rhode Island,66576.0,,63604.0,1534.0,67011.0,1681.0,61201.0,1262.0,63079.0,1762.0,65848.0,2709.0,65749.0,1935.0,69157.0,2346.0,67843.0,2314.0,64165.0,2891.0,62446.0,1749.0,61419.0,2058.0,56555.0,2633.0,63324.0,2893.0,62687.0,4287.0,64171.0,4379.0,60858.0,3548.0,66368.0,3050.0,70105.0,4445.0,64186.0,3451.0,71027.0,5042.0,80012.0,3430.0
South Carolina,56825.0,,56630.0,1412.0,55306.0,1499.0,54557.0,1766.0,54286.0,1582.0,53150.0,1403.0,53453.0,1600.0,50986.0,1734.0,55332.0,1944.0,50805.0,1351.0,49707.0,1346.0,49611.0,1737.0,46233.0,1963.0,50150.0,2436.0,48485.0,2658.0,49173.0,2456.0,50652.0,2476.0,58610.0,3401.0,58047.0,2194.0,59215.0,2146.0,62803.0,1805.0,60097.0,2037.0
South Dakota,55837.0,,54979.0,1036.0,58141.0,1255.0,54645.0,1375.0,55758.0,1416.0,56468.0,1367.0,57334.0,1819.0,58463.0,2112.0,58091.0,1126.0,62188.0,1199.0,55422.0,1559.0,53958.0,2433.0,54467.0,2476.0,55813.0,1926.0,59448.0,3247.0,58064.0,3877.0,60163.0,2845.0,61969.0,3317.0,60078.0,3836.0,61296.0,2723.0,65057.0,3823.0,69787.0,4317.0
Tennessee,56918.0,,51393.0,1402.0,52443.0,1159.0,53429.0,1603.0,52938.0,1666.0,52299.0,1452.0,52358.0,1582.0,52371.0,972.0,51555.0,1397.0,47848.0,1459.0,49001.0,1195.0,45914.0,1496.0,48765.0,2948.0,48562.0,2719.0,48260.0,3823.0,47845.0,2546.0,51712.0,1866.0,55383.0,1496.0,58331.0,2283.0,57788.0,1486.0,57334.0,2801.0,54665.0,1803.0
Texas,60294.0,,58196.0,1183.0,59884.0,750.0,57929.0,812.0,55404.0,1075.0,56867.0,754.0,55037.0,558.0,55735.0,1066.0,57634.0,876.0,56029.0,812.0,57416.0,899.0,56235.0,1379.0,56571.0,1330.0,58649.0,1073.0,57215.0,1514.0,58964.0,1471.0,61701.0,1408.0,62720.0,1518.0,62613.0,1797.0,61628.0,1414.0,68286.0,1791.0,68093.0,1914.0
United States,63423.0,,63292.0,199.0,61889.0,189.0,61190.0,201.0,61113.0,265.0,60901.0,269.0,61553.0,206.0,62033.0,266.0,62865.0,175.0,60624.0,165.0,60200.0,258.0,58627.0,387.0,57732.0,290.0,57623.0,236.0,59640.0,728.0,58725.0,429.0,61748.0,351.0,63683.0,470.0,64806.0,354.0,65127.0,433.0,69560.0,557.0,67521.0,475.0
Utah,71767.0,,71673.0,1569.0,69384.0,2346.0,69056.0,1654.0,69518.0,1273.0,69881.0,1273.0,72829.0,1731.0,70305.0,2151.0,66990.0,1524.0,75369.0,1839.0,70738.0,1921.0,67461.0,2334.0,64006.0,1913.0,65895.0,3325.0,67945.0,1728.0,69370.0,3536.0,72392.0,2690.0,72789.0,2413.0,75310.0,2376.0,79443.0,2399.0,85578.0,3538.0,83670.0,2981.0
Vermont,64807.0,,59681.0,1388.0,59787.0,1384.0,62041.0,1198.0,61033.0,1378.0,65016.0,1745.0,67370.0,1739.0,66898.0,1629.0,59308.0,1750.0,61110.0,1183.0,63273.0,1739.0,66541.0,2673.0,59818.0,2315.0,62779.0,3422.0,72915.0,4466.0,66442.0,3391.0,65002.0,2865.0,65623.0,1471.0,67375.0,3308.0,72226.0,2422.0,75233.0,3123.0,66902.0,4046.0
Virginia,71211.0,,71090.0,1605.0,73633.0,1682.0,71610.0,1861.0,77288.0,2205.0,70252.0,1533.0,68977.0,1574.0,73510.0,2049.0,74039.0,1708.0,74703.0,1744.0,73169.0,1443.0,71822.0,2338.0,72222.0,2045.0,73001.0,2446.0,73354.0,3050.0,72404.0,3224.0,67178.0,2665.0,71678.0,2628.0,75282.0,3459.0,79529.0,3181.0,82328.0,3094.0,81947.0,3172.0
Washington,70868.0,,64099.0,1825.0,62273.0,1853.0,65192.0,1391.0,67025.0,1968.0,68578.0,1467.0,67293.0,1388.0,70427.0,1601.0,72686.0,2173.0,68251.0,2436.0,73038.0,1450.0,66821.0,2451.0,65571.0,2287.0,70239.0,2540.0,71145.0,3769.0,64647.0,2402.0,73468.0,3554.0,75841.0,2257.0,79638.0,3492.0,82184.0,3118.0,83483.0,2956.0,81083.0,3095.0
West Virginia,45658.0,,44332.0,972.0,43488.0,988.0,42361.0,1009.0,46222.0,1401.0,45844.0,1611.0,48424.0,1430.0,49444.0,1562.0,52676.0,1238.0,45790.0,1692.0,48968.0,1104.0,50894.0,2996.0,48237.0,2037.0,49192.0,3133.0,47935.0,3844.0,43288.0,2402.0,46789.0,3422.0,47843.0,2151.0,47932.0,1568.0,52132.0,1378.0,54376.0,3032.0,51615.0,2177.0
Wisconsin,71170.0,,67962.0,1435.0,66459.0,1646.0,66231.0,1365.0,65277.0,1380.0,62822.0,1837.0,59326.0,1565.0,66526.0,1475.0,64172.0,1302.0,61705.0,1027.0,61966.0,975.0,59906.0,1707.0,60044.0,2384.0,59952.0,1930.0,57571.0,2926.0,63566.0,2357.0,60556.0,1625.0,64522.0,1990.0,67001.0,3879.0,64560.0,2102.0,68196.0,2352.0,67094.0,4690.0
Wyoming,58050.0,,59733.0,1592.0,58212.0,1709.0,57372.0,1408.0,60037.0,1411.0,62362.0,1574.0,59416.0,2004.0,60540.0,1934.0,61002.0,1706.0,64281.0,1901.0,63457.0,2577.0,62107.0,2595.0,62871.0,2626.0,64959.0,3185.0,75061.0,4439.0,60950.0,2210.0,66565.0,2211.0,62378.0,3368.0,61073.0,3309.0,64467.0,4012.0,65947.0,3820.0,65108.0,2152.0
