Index,revenue,original_title,cast
1056,44806783,Red Dawn,"Chris Hemsworth,  Josh Hutcherson,  Isabel Lucas,  Adrianne Palicki,  Jeffrey Dean Morgan"
1057,54819301,The Three Stooges,"Sean Hayes,  Will Sasso,  Chris Diamantopoulos,  SofÃ­a Vergara,  Jane Lynch"
1058,114281051,Hope Springs,"Meryl Streep,  Steve Carell,  Tommy Lee Jones,  Jean Smart,  Marin Ireland"
1059,22044277,A Thousand Words,"Eddie Murphy,  Allison Janney,  Cliff Curtis,  Clark Duke,  Kerry Washington"
1060,30353232,Alex Cross,"Tyler Perry,  Rachel Nichols,  Jean Reno,  Matthew Fox,  Giancarlo Esposito"
1061,36893721,One for the Money,"Katherine Heigl,  John Leguizamo,  Debbie Reynolds,  Sherri Shepherd,  Patrick Fischler"
1062,59520298,Quartet,"Maggie Smith,  Tom Courtenay,  Billy Connolly,  Pauline Collins,  Michael Gambon"
1063,107139399,ParaNorman,"Kodi Smit-McPhee,  Tucker Albrizzi,  Jodelle Ferland,  Anna Kendrick,  Casey Affleck"
1064,8138788,Promised Land,"Matt Damon,  John Krasinski,  Frances McDormand,  Rosemarie DeWitt,  Lucas Black"
1065,77112176,Diary of a Wimpy Kid: Dog Days,"Devon Bostick,  Steve Zahn,  Peyton List,  Rachael Harris,  Zachary Gordon"
1066,9622846,For Greater Glory - The True Story of Cristiada,"Eva Longoria,  Andy GarcÃ­a,  Oscar Isaac,  Peter O'Toole,  RubÃ©n Blades"
1067,50365377,Red Tails,"Bryan Cranston,  David Oyelowo,  Cuba Gooding Jr.,  Daniela Ruah,  Terrence Howard"
1068,11417362,Fun Size,"Victoria Justice,  Jackson Nicoll,  Chelsea Handler,  Josh Pence,  Jane Levy"
1069,31083599,Premium Rush,"Joseph Gordon-Levitt,  Michael Shannon,  Dania Ramirez,  Jamie Chung,  WolÃ© Parks"
1070,13231461,The Words,"Bradley Cooper,  Zoe Saldana,  Jeremy Irons,  Dennis Quaid,  Olivia Wilde"
1071,142817992,Paranormal Activity 4,"Katie Featherston,  Kathryn Newton,  Matt Shively,  Brady Allen,  Sprague Grayden"
1072,8784318,On the Road,"Kristen Stewart,  Garrett Hedlund,  Sam Riley,  Kirsten Dunst,  Tom Sturridge"
1073,119772232,Parental Guidance,"Billy Crystal,  Bette Midler,  Marisa Tomei,  Tom Everett Scott,  Bailee Madison"
1074,96070507,Think Like a Man,"Michael Ealy,  Jerry Ferrara,  Meagan Good,  Regina Hall,  Kevin Hart"
1075,4636169,Fire with Fire,"Bruce Willis,  Josh Duhamel,  Rosario Dawson,  Vincent D'Onofrio,  50 Cent"
1076,9627492,The Apparition,"Ashley Greene,  Sebastian Stan,  Tom Felton,  Julianna Guill,  Luke Pasqualino"
1077,6063556,Cosmopolis,"Robert Pattinson,  Sarah Gadon,  Juliette Binoche,  Paul Giamatti,  Samantha Morton"
1078,240159255,Resident Evil: Retribution,"Milla Jovovich,  Sienna Guillory,  Michelle Rodriguez,  Aryana Engineer,  Li Bingbing"
1079,24637469,Sparkle,"Whitney Houston,  Cee Lo Green,  Derek Luke,  Mike Epps,  Carmen Ejogo"
1080,32726956,Katy Perry: Part of Me,"Katy Perry,  Russell Brand,  Shannon Woodward,  Rachael Markarian,  Mia Moretti"
