Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"Carnegie Mellon University, Australia",,,,,
Oral Roberts University,,,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,,
University of Delaware,,,,,
George Washington University,,,,,
New School (The),,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,,
"Devry University, Ft. Washington Campus",,,,,
University of San Francisco,,,,,
Niagara University,,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,,
"Pennsylvania State University, Harrisburg",,,,,
"Devry University, Fresno Campus",,,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,,
"University of Maryland, College Park",,,,,
"University of Phoenix, South Florida Campus, Plantation",,,,,
Dominican University,,,,,
"University of Hawaii, Hilo",,,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,,
American University,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Jacksonville Campus",,,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,,
University of Oregon,,,,,
Vanderbilt University,,,,,
"University of Phoenix, St. George Learning Center, St. George",,,,,
University of Baltimore,,,,,
"Devry University, Manhattan Center",,,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,,
University of Pittsburgh,,,,,
Alverno College,,,,,
"University of Colorado, Boulder",,,,,
Weber State University,,,,,
University of South Carolina,,,,,
Syracuse University,,,,,
"University of Phoenix, Boston Campus, Braintree",,,,,
Illinois Institute of Technology,,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,,
"Carnegie Mellon University, Australia",,,,,
Loma Linda University,,,,,
"City University of Seattle, Victoria",,,,,
"University of Colorado, Boulder",,,,,
"Devry University, Chicago Loop Center",,,,,
Emory University,,,,,
"University of Colorado, Boulder",,,,,
University of Pennsylvania,,,,,
New School (The),,,,,
Brandeis University,,,,,
University of Indianapolis,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,,
Widener University,,,,,
University of North Texas Health Science Center,,,,,
California Lutheran University,,,,,
Massachusetts Institute of Technology,,,,,
Johns Hopkins University,,,,,
University of Oregon,,,,,
Howard University,,,,,
"Adelphi University, Garden City",,,,,
"Devry University, Orlando North Center",,,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,,
"Stony Brook University, State University of New York (SUNY)",,,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,,
University of New Haven,,,,,
Syracuse University,,,,,
,School of Information Studies,,2,103,0
Boston College,,,,,
Johns Hopkins University,,,,,
Capital University,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Upper Iowa University,,,,,
University of the Pacific,,,,,
"University of North Carolina, Chapel Hill",,,,,
Capital University,,,,,
University of Pennsylvania,,,,,
,Graduate School of Education,5.0,,58,16
"Carnegie Mellon University, Greece",,,,,
Hofstra University,,,,,
Massachusetts Institute of Technology,,,,,
University of Virginia,,,,,
Pacific Lutheran University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,,
Columbia University,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,,
"University of Colorado, Boulder",,,,,
Boston University,,,,,
Monterey Institute of International Studies,,,,,
Lamar University,,,,,
Georgetown University,,,,,
University of Houston,,,,,
"City University of Seattle, Victoria",,,,,
Mississippi State University,,,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,,
Dartmouth College,,,,,
Boston College,,,,,
Pacific University,,,,,
Seton Hall University,,,,,
"Devry University, Orlando Campus",,,,,
Massachusetts Institute of Technology,,,,,
Regent University,,,,,
University of Connecticut,,,,,
Delaware State University,,,,,
"University of Texas, Brownsville",,,,,
Fairfield University,,,,,
Georgia State University,,,,,
"Devry University, San Jose Center",,,,,
University of Rhode Island,,,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,,
"University of Michigan, Dearborn",,,,,
Northern Arizona University,,,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,,
University of Pennsylvania,,,,,
Georgetown University,,,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,,
University of Cincinnati,,,,,
University of Texas Medical Branch,,,,,
"Devry University, Portland Campus",,,,,
"Wheaton College, Illinois",,,,,
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,,
"Devry University, Dayton Center",,,,,
University of Dallas,,,,,
"University of Colorado, Boulder",,,,,
"University of Massachusetts, Amherst",,,,,
"University of Phoenix, San Diego Campus, San Diego",,,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
George Washington University,,,,,
University of Arkansas For Medical Sciences,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Charlotte Campus",,,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,,
Lutheran School of Theology at Chicago,,,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,,
Vanderbilt University,,,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,,
Pace University,,,,,
University of Connecticut,,,,,
University of Pittsburgh,,,,,
University of Portland,,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,,
Mississippi State University,,,,,
University of Pittsburgh,,,,,
Loma Linda University,,,,,
"University of California, San Diego",,,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,,
Duke University,,,,,
"University of Alabama, Birmingham",,,,,
"City University of Seattle, Victoria",,,,,
University of Denver,,,,,
"Carnegie Mellon University, Japan",,,,,
Monterey Institute of International Studies,,,,,
Georgetown University,,,,,
"University of Michigan, Ann Arbor",,,,,
Trine University,,,,,
University of New Haven,,,,,
"University of Colorado, Boulder",,,,,
Rider University,,,,,
Georgia State University,,,,,
Seton Hall University,,,,,
Oregon Health & Science University,,,,,
"Texas A&M University, Commerce",,,,,
Massachusetts Institute of Technology,,,,,
New School (The),,,,,
"University of Michigan, Ann Arbor",,,,,
"Devry University, Irving Campus",,,,,
Ohio State University,,,,,
Massachusetts Institute of Technology,,,,,
Northeastern University,,,,,
"Indiana University, East",,,,,
New York University,,,,,
University of Houston,,,,,
Widener University,,,,,
"University of Alaska, Anchorage",,,,,
"Mercer University, Main Campus",,,,,
"University of Phoenix, Augusta Campus, Augusta",,,,,
University of Dallas,,,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,,
"University of Phoenix, Richmond Campus, Richmond",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Atlanta Cobb Galleria Center",,,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,,
College of Charleston,,,,,
University of Findlay,,,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,,
Seton Hall University,,,,,
"Auburn University, Auburn",,,,,
"Devry University, Merrillville Center",,,,,
Goshen College,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Seven Hills Campus",,,,,
Pepperdine University,,,,,
University of Houston,,,,,
Boise State University,,,,,
Washburn University,,,,,
Georgia State University,,,,,
Saint Vincent College,,,,,
"University of Massachusetts, Amherst",,,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,,
Kent State University,,,,,
"City University of Seattle, Vancouver, Canada",,,,,
Emory University,,,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,,
Shenandoah University,,,,,
Brandeis University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,,
"St. John's University, Queens",,,,,
George Washington University,,,,,
"University of Phoenix, Maryland Campus, Columbia",,,,,
Florida International University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,,
Brandeis University,,,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,,
Mississippi State University,,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,,
Yale University,,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,,
Duke University,,,,,
"University of Michigan, Ann Arbor",,,,,
Santa Clara University,,,,,
"Texas A&M University, Commerce",,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
Southern Arkansas University,,,,,
"Devry University, Southfield Campus",,,,,
"California State University, Fullerton",,,,,
University of Memphis,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Cleveland Campus, Independence",,,,,
Cornell University,,,,,
"University of Colorado, Boulder",,,,,
University of Texas Medical Branch,,,,,
"Devry University, Nashville Campus",,,,,
Fairleigh Dickinson University,,,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,,
Dartmouth College,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,,
Boston University,,,,,
"University of Wisconsin, Madison",,,,,
Boston University,,,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,,
University of Hartford,,,,,
University of Virginia,,,,,
University of Portland,,,,,
"University of Hawaii, Manoa",,,,,
Saint Louis University,,,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,,
San Francisco Art Institute,,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,,
University of Pittsburgh,,,,,
University of Kansas,,,,,
Fairfield University,,,,,
"Richmond, The American International University in London",,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Pittsburgh,,,,,
University of San Francisco,,,,,
Tufts University,,,,,
Kent State University,,,,,
"Devry University, Milwaukee Campus",,,,,
University of Miami,,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,,
Baldwin-Wallace College,,,,,
Columbia University,,,,,
"University of Phoenix, McAllen Campus, Allen",,,,,
University of Georgia,,,,,
Bellarmine University,,,,,
Georgia State University,,,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,,
Carnegie Mellon University,,,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,,
University of Rochester,,,,,
University of Delaware,,,,,
Illinois Institute of Technology,,,,,
"University of Missouri, Kansas City",,,,,
"California Baptist University, San Bernardino",,,,,
"University of Phoenix, Philadelphia Campus, Wayne",,,,,
George Washington University,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,,
"Arizona State University, Mesa",,,,,
"Temple University, Japan Campus",,,,,
Azusa Pacific University,,,,,
"City University of Seattle, Vancouver, Canada",,,,,
Tufts University,,,,,
"Devry University, Long Beach Campus",,,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,,
Columbia University,,,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,,
"Devry University, Memphis Campus",,,,,
Duke University,,,,,
"Devry University, Daly City Center",,,,,
University of Denver,,,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,,
"University of North Carolina, Charlotte",,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,,
Andrews University,,,,,
University of Oregon,,,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,,
"Devry University, Gurnee Center",,,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,,
Columbia Southern University,,,,,
"Devry University, Alahambra Center",,,,,
Loma Linda University,,,,,
"Purdue University, Calumet",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Decatur Campus",,,,,
Missouri University of Science and Technology,,,,,
York College of Pennsylvania,,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,,
"Devry University, Morrisville Campus",,,,,
University of Pennsylvania,,,,,
Union Graduate College,,,,,
University of Delaware,,,,,
University of San Francisco,,,,,
Doane College,,,,,
Capital University,,,,,
Kent State University,,,,,
College of William and Mary (The),,,,,
Goshen College,,,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,,
Loyola Marymount University,,,,,
"Devry University, Oxnard Center",,,,,
Houston Baptist University,,,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,,
Clark University,,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,,
University of Pittsburgh,,,,,
"Indiana University, Bloomington",,,,,
"Devry University, Phoenix Campus",,,,,
Carson-Newman College,,,,,
New York University,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Macon Learning Center, Macon",,,,,
"California State University, Fullerton",,,,,
"Devry University, Richardson Center",,,,,
University of Connecticut,,,,,
"University of Phoenix, Memphis Campus, Cordova",,,,,
University of Houston,,,,,
"University of Phoenix, Savannah Campus, Savannah",,,,,
University of Florida,,,,,
Harvard Business School,,,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,,
Massachusetts Institute of Technology,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,,
Northeastern University,,,,,
Fuller Theological Seminary,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Colorado, Boulder",,,,,
University of Houston,,,,,
"Wheaton College, Illinois",,,,,
"University of Colorado, Boulder",,,,,
Dartmouth College,,,,,
"Arizona State University, Phoenix",,,,,
University of Houston,,,,,
"University of Michigan, Ann Arbor",,,,,
"Devry University, Lynnwood Center",,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,,
Fordham University,,,,,
Harvard Business School,,,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, West Michigan Campus, Walker",,,,,
Montclair State University,,,,,
University of Oregon,,,,,
University of Portland,,,,,
University of Chicago,,,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,,
University of Houston,,,,,
Baylor College of Medicine,,,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,,
"Northwood University, Florida",,,,,
University of North Texas,,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,,
"Devry University, Chicago O'Hare Center",,,,,
University of Scranton,,,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,,
Massachusetts Institute of Technology,,,,,
Nova Southeastern University,,,,,
Regent University,,,,,
Massachusetts Institute of Technology,,,,,
University of Denver,,,,,
University of New Haven,,,,,
"California Baptist University, Chino",,,,,
Doane College,,,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,,
New School (The),,,,,
"Northwood University, Michigan",,,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,,
Dominican University,,,,,
University of Houston,,,,,
Massachusetts Institute of Technology,,,,,
"Long Island University, Post",,,,,
"Devry University, Colorado Springs Center",,,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,,
Doane College,,,,,
"Texas A&M University, College Station",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
University of Denver,,,,,
Luther Seminary,,,,,
"Texas A&M University, Commerce",,,,,
Doane College,,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
American University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,,
Johns Hopkins University,,,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,,
Virginia Polytechnic Institute and State University,,,,,
New York University,,,,,
"University of Wisconsin, Stout",,,,,
University of Baltimore,,,,,
Georgia State University,,,,,
University of Delaware,,,,,
Pace University,,,,,
"Devry University, Houston Campus",,,,,
"University of Texas, Austin",,,,,
University of Scranton,,,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,,
Georgetown University,,,,,
"University of Colorado, Boulder",,,,,
Bryn Mawr College,,,,,
"Devry University, San Diego Campus",,,,,
Northeastern University,,,,,
University of Houston,,,,,
Widener University,,,,,
University of Portland,,,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,,
"Devry University, Houston Galleria",,,,,
New York University,,,,,
"University of Phoenix, Louisville Learning Center, Louisville",,,,,
New School (The),,,,,
Columbia University,,,,,
"Devry University, Duluth (Gwinnett) Center",,,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,,
Marywood University,,,,,
Willamette University,,,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,,
Alverno College,,,,,
"University of Michigan, Dearborn",,,,,
"University of St. Thomas, Minneapolis",,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,,
Marywood University,,,,,
"University of Michigan, Ann Arbor",,,,,
University of South Dakota,,,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,,
"California Baptist University, Riverside",,,,,
"Devry University, Chicago Campus",,,,,
University of Houston,,,,,
Johns Hopkins University,,,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,,
"Devry University, Tampa Bay Campus",,,,,
Boston University,,,,,
Columbia University,,,,,
Texas Christian University,,,,,
"Devry University, Rego Park (Queens) Center",,,,,
"Devry University, Downers Grove Center",,,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,,
University of Central Arkansas,,,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,,
"Pennsylvania State University, Harrisburg",,,,,
Marywood University,,,,,
University of Florida,,,,,
University of Kansas,,,,,
Delaware State University,,,,,
College of William and Mary (The),,,,,
Cornell University,,,,,
Vanderbilt University,,,,,
Tulane University,,,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,,
University of Kentucky,,,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,,
"University of Phoenix, Springfield Campus, Springfield",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Colorado, Boulder",,,,,
University of Dallas,,,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,,
Pace University,,,,,
University of Delaware,,,,,
"Devry University, St. Louis Park Center",,,,,
Loma Linda University,,,,,
Florida Atlantic University,,,,,
"Devry University, Ft. Worth Center",,,,,
University of Findlay,,,,,
"Devry University, San Antonio Campus",,,,,
"University of Massachusetts, Boston",,,,,
"University of Maryland, Baltimore County",,,,,
University of Denver,,,,,
,School of Professional Psychology,5.0,,25,24
Kent State University,,,,,
"Auburn University, Auburn",,,,,
"California Baptist University, Beaumont",,,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,,
"Northwood University, Texas",,,,,
"Devry University, Pittsburgh Campus",,,,,
"University of Phoenix, Miami Learning Center, Miami",,,,,
American University,,,,,
University of Delaware,,,,,
Florida International University,,,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,,
"New York Institute of Technology, Manhattan",,,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,,
Framingham State University,,,,,
Johns Hopkins University,,,,,
University of Pittsburgh,,,,,
"University of Alaska, Fairbanks",,,,,
University of Virginia,,,,,
"University of Colorado, Boulder",,,,,
"City University of Seattle, University of International Business and Economics",,,,,
University of Puget Sound,,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,,
Tufts University,,,,,
"Richmond, The American International University in London",,,,,
Spring Hill College,,,,,
St. Mary's University,,,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,,
"University of Michigan, Ann Arbor",,,,,
"Devry University, Midtown Manhattan Campus",,,,,
New York University,,,,,
Columbia University,,,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,,
"Anderson University, Indiana",,,,,
"Devry University, Sherman Oaks Campus",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,,
Northeastern University,,,,,
Dominican University,,,,,
Rice University,,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,,
University of Arizona,,,,,
Virginia Polytechnic Institute and State University,,,,,
Johns Hopkins University,,,,,
"California Baptist University, Hesperia",,,,,
Clarkson University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,,
"University of Washington, Bothell",,,,,
American University,,,,,
Loma Linda University,,,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,,
University of Oregon,,,,,
"Devry University, King of Prussia Center",,,,,
Florida International University,,,,,
Midland Lutheran College,,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,,
"Arizona State University, Tempe",,,,,
"Devry University, Arlington (Crystal City) Campus",,,,,
"University of Michigan, Ann Arbor",,,,,
"City University of Seattle, Edmonton",,,,,
Illinois Institute of Technology,,,,,
"University of Phoenix, Omaha Campus, Omaha",,,,,
University of Pennsylvania,,,,,
"University of North Carolina, Wilmington",,,,,
Maryland Institute College of Art,,,,,
"University of Colorado, Denver",,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Massachusetts, Boston",,,,,
Johns Hopkins University,,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,,
Suffolk University,,,,,
Regent University,,,,,
Maryland Institute College of Art,,,,,
Widener University,,,,,
University of Delaware,,,,,
"University of Massachusetts, Amherst",,,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,,
Massachusetts Institute of Technology,,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
Massachusetts Institute of Technology,,,,,
Fuller Theological Seminary,,,,,
University of Delaware,,,,,
"Devry University, Sugar Land (Houston) Center",,,,,
"Colorado State University, Fort Collins",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,,
"Devry University, Bakersfield Center",,,,,
New York Medical College,,,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,,
"Devry University, Kansas City Campus",,,,,
"Pennsylvania State University, Harrisburg",,,,,
University of Virginia,,,,,
Maryland Institute College of Art,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"Devry University, Kansas City Downtown",,,,,
DePaul University,,,,,
New York Medical College,,,,,
University of New Haven,,,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,,
University of Puget Sound,,,,,
Lutheran School of Theology at Chicago,,,,,
Carnegie Mellon University,,,,,
"Devry University, Miramar Campus",,,,,
"Devry University, Mesa Center",,,,,
University of San Francisco,,,,,
Pepperdine University,,,,,
Milligan College,,,,,
University of Scranton,,,,,
"University of Phoenix, Austin Campus, Austin",,,,,
Virginia Polytechnic Institute and State University,,,,,
Alfred University,,,,,
University of New Haven,,,,,
"Auburn University, Auburn",,,,,
Kent State University,,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,,
Syracuse University,,,,,
Fairfield University,,,,,
Santa Clara University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,,
Brandeis University,,,,,
University of New Haven,,,,,
"University of Alabama, Tuscaloosa",,,,,
Emory University,,,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,,
"Devry University, Anaheim Center",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,,
"University of Phoenix, Concord Learning Center, Concord",,,,,
"Devry University, Miami Center",,,,,
Northeastern University,,,,,
Rhode Island School of Design,,,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,,
"Devry University, Tinley Park Campus",,,,,
Northeastern University,,,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,,
Alverno College,,,,,
