Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
,Graduate School of Journalism,8.5,,0
,Teacher's College,2.0,,0
,School of International and Public Affairs,2.0,,0
,Fu Foundation School of Engineering and Applied Science,,2,0
,11,2.0,,0
,Business School Master of Science Programs,,2,0
,Business School Doctoral Program,,2,0
Cornell University,,,,
,School of Hotel Administration,1.0,,0
Dartmouth College,,,,
,11,2.0,,25
,Tuck School of Business,2.0,,25
Davenport University,,,,
Delaware State University,,,,
,Master of Arts in Educational Leadership,,2,26
DePaul University,,,,
,College of Liberal Arts and Sciences,11.0,,27
"Devry University, Addison Campus",,,,
"Devry University, Alahambra Center",,,,
"Devry University, Alpharetta Campus",,,,
"Devry University, Anaheim Center",,,,
"Devry University, Arlington (Crystal City) Campus",,,,
"Devry University, Atlanta Cobb Galleria Center",,,,
"Devry University, Austin Campus",,,,
"Devry University, Bakersfield Center",,,,
"Devry University, Bellevue (Seattle) Center",,,,
"Devry University, Bethesda Center",,,,
"Devry University, Charlotte Campus",,,,
"Devry University, Cherry Hill Center",,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,
"Devry University, Chicago Campus",,,,
"Devry University, Chicago Loop Center",,,,
"Devry University, Chicago O'Hare Center",,,,
"Devry University, Cincinnati Campus",,,,
"Devry University, Colorado Springs Center",,,,
"Devry University, Colton (Inland-Empire) Center",,,,
"Devry University, Columbus Campus",,,,
"Devry University, Columbus North Center",,,,
"Devry University, Daly City Center",,,,
"Devry University, Dayton Center",,,,
"Devry University, Decatur Campus",,,,
"Devry University, Downers Grove Center",,,,
"Devry University, Duluth (Gwinnett) Center",,,,
"Devry University, Edina Campus",,,,
"Devry University, Elgin Center",,,,
"Devry University, Federal Way Campus",,,,
"Devry University, Fremont Campus",,,,
"Devry University, Fresno Campus",,,,
"Devry University, Ft. Lauderdale Center",,,,
"Devry University, Ft. Washington Campus",,,,
"Devry University, Ft. Worth Center",,,,
"Devry University, Glendale Center",,,,
"Devry University, Greenwood Village (Denver South) Center",,,,
"Devry University, Gurnee Center",,,,
"Devry University, Henderson Campus",,,,
"Devry University, Houston Campus",,,,
"Devry University, Houston Galleria",,,,
"Devry University, Indianapolis Center",,,,
"Devry University, Irving Campus",,,,
"Devry University, Jacksonville Campus",,,,
"Devry University, Kansas City Campus",,,,
"Devry University, Kansas City Downtown",,,,
"Devry University, King of Prussia Center",,,,
"Devry University, Long Beach Campus",,,,
"Devry University, Louisville Campus",,,,
"Devry University, Lynnwood Center",,,,
"Devry University, Manassas Center",,,,
"Devry University, Manhattan Center",,,,
"Devry University, Memphis Campus",,,,
"Devry University, Merrillville Center",,,,
"Devry University, Mesa Center",,,,
"Devry University, Miami Center",,,,
"Devry University, Midtown Manhattan Campus",,,,
"Devry University, Milwaukee Campus",,,,
"Devry University, Miramar Campus",,,,
"Devry University, Morrisville Campus",,,,
"Devry University, Naperville Center",,,,
"Devry University, Nashville Campus",,,,
"Devry University, North Brunswick Campus",,,,
"Devry University, Oakland Center",,,,
"Devry University, Oklahoma City Campus",,,,
"Devry University, Orlando Campus",,,,
"Devry University, Orlando North Center",,,,
"Devry University, Oxnard Center",,,,
"Devry University, Palmdale Center",,,,
"Devry University, Paramus Center",,,,
"Devry University, Philadelphia (Center City) Center",,,,
"Devry University, Phoenix Campus",,,,
"Devry University, Pittsburgh Campus",,,,
"Devry University, Pomona Campus",,,,
"Devry University, Portland Campus",,,,
"Devry University, Rego Park (Queens) Center",,,,
"Devry University, Richardson Center",,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,
"Devry University, San Antonio Campus",,,,
"Devry University, San Diego Campus",,,,
"Devry University, Sandy Campus",,,,
"Devry University, San Jose Center",,,,
"Devry University, Seven Hills Campus",,,,
"Devry University, Sherman Oaks Campus",,,,
"Devry University, Southfield Campus",,,,
"Devry University, St. Louis Campus",,,,
"Devry University, St. Louis Park Center",,,,
"Devry University, Stockbridge (Henry County) Center",,,,
"Devry University, Sugar Land (Houston) Center",,,,
"Devry University, Tampa Bay Campus",,,,
"Devry University, Tampa East Center",,,,
"Devry University, Tinley Park Campus",,,,
"Devry University, Waukesha Center",,,,
"Devry University, Westminster Campus",,,,
Doane College,,,,
,Master of Education- Educational Leadership,1.0,,37
,Master of Arts in Counseling,1.0,,37
,Master of Education- Curriculum and Development,1.0,,37
,Initial Program at the Advanced Level for Certification,1.0,,37
Dominican University,,,,
,Brennan School of Business,1.0,,27
,Graduate School of Library and Information Sciences,2.0,,27
,12,2.0,,27
Drew University,,,,
Drexel University,,,,
Duke University,,,,
,Nicholas School of the Environment,2.0,,31
,7,2.0,,31
,Sanford School of Public Policy,2.0,,31
Eastern University,,,,
,Campolo College Graduate/Professional Studies,0.0,,16
Emory University,,,,
,Goizueta School of Business,2.0,,28
,26,,2,28
Fairfield University,,,,
,Dolan School of Business Master of Business Administration,0.0,,38
,Graduate School of Education and Allied Professions,11.0,,38
Fairleigh Dickinson University,,,,
Florida Atlantic University,,,,
Florida International University,,,,
,28,0.0,,32
,School of Hospitality and Tourism Management,0.0,,32
,29,0.0,,32
Fordham University,,,,
,School of Social Service,2.0,,0
,15,2.0,0,0
Framingham State University,,,,
Fuller Theological Seminary,,,,
,Ph.D program,2.0,,9
Georgetown University,,,,
,McCourt School of Public Policy,5.0,,2
,McDonough Business School,11.0,,2
,Edmund Walsh School of Foreign Service,,2,2
,11,2.0,,2
George Washington University,,,,
,Columbian College of Arts and Sciences,1.0,3,2
,Graduate School of Human Development,1.0,3,2
,31,1.0,3,2
,School of Engineering and Applied Sciences,1.0,3,2
,Elliot School of International Affairs,2.0,"Master of Business Administration, MSIST and Ph.D. Programs in School of Business and Public Management (no subscore below 6.0)",2
,School of Public Health and Health Services,5.0,,2
Georgia State University,,,,
,Andrew Young School of Policy Studies,5.0,,28
,"Department of Modern and Classical Languages MA, French, German and Spanish",,2,28
,College Of Education,12.0,,28
,32,,4,28
,J. Mack Robinson College of Business,11.0,,28
,Institute of Public Health,,2,28
Golden Gate University,,,,
Gonzaga University,,,,
Goshen College,,,,
,MS Nursing,12.0,,3
Harvard Business School,,,,
,Master of Business Administration Programs,2.0,,7
Henderson State University,,,,
Hofstra University,,,,
Houston Baptist University,,,,
Howard University,,,,
Illinois Institute of Technology,,,,
,Stuart School of Business,,2,27
,36,5.0,,27
,College of Psychology,,2,27
Illinois State University,,,,
"Indiana University, Bloomington",,,,
"Indiana University, East",,,,
"Indiana University-Purdue University, Fort Wayne",,,,
,Richard Doermer School of Business and Management Sciences,0.0,,3
,Kelley School of Business,1.0,,3
Johns Hopkins University,,,,
,Carey Business School,2.0,,30
,7,2.0,,30
,Advanced Academic Programs,2.0,,30
,Bloomberg School of Public Health,2.0,,30
,School of Arts and Sciences-4610,2.0,,30
,School of Engineering-4610,5.0,,30
,School of Medicine (Ph.D.),2.0,,30
Kent State University,,,,
,The School of Library and Information Science,2.0,,10
,39,1.0,,10
,Master of Science in Financial Engineering,10.0,,10
,40,0.0,,10
Keuka College,,,,
Lake Erie College,,,,
Lamar University,,,,
Lewis & Clark College,,,,
Loma Linda University,,,,
,School of Allied Health Professions,0.0,,9
,7,0.0,,9
,43,0.0,,9
,School of Science and Technology,0.0,,9
,13,0.0,,9
,School of Religion,0.0,,9
,38,0.0,,9
"Long Island University, Post",,,,
Loyola Marymount University,,,,
Loyola University Chicago,,,,
Lutheran School of Theology at Chicago,,,,
,Master of Theology,,2,27
Luther Seminary,,,,
,44,2.0,,17
Manhattan School of Music,,,,
Maryland Institute College of Art,,,,
,Graphic Design,1.0,,30
,Rinehart School of Sculpture,,2,30
Marywood University,,,,
,Health Sciences,1.0,,16
,Psychology:,1.0,,16
,Communication Arts,1.0,,16
,Nutrition:,1.0,,16
,Business & Managerial Science,1.0,,16
Massachusetts Institute of Technology,,,,
,Technology and Policy Program,7.0,5,7
,System Design and Management,7.0,5,7
,Computational and Systems Biology,6.0,6,7
,Economics,5.0,6,7
,Supply Chain Management,,Contact school for score. IELTS only,7
,Linguistics & Philosophy,12.0,,7
,46,2.0,5,7
,Computation for Design and Optimization,2.0,5,7
,Department of Urban Studies/Planning,2.0,,7
,Civil and Environmental Engineering,,2,7
,Center for Real Estate,2.0,6,7
,Comparative Media Studies,2.0,5,7
,Materials Science and Engineering,1.0,5,7
,Nuclear Science & Engineering,2.0,,7
,Harvard-MIT Division of Health Sciences and Technology,2.0,IELTS strongly preferred,7
,Master of Engineering in Manufacturing,,Contact school for score (IELTS preferred),7
,Media Arts and Sciences,2.0,5,7
,Aeronautics and Astronautics,2.0,,7
,Electrical Engineering and Computer Science,11.0,6,7
,Mechanical Engineering,2.0,6,7
,Department of Architecture,2.0,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",7
,Engineering Systems Division,11.0,5,7
,Biological Engineering,2.0,5,7
,47,2.0,,7
,32,0.0,7,7
,"Departent of Earth, Atmospheric and Planetary Science",1.0,7,7
,Science Writing,11.0,,7
,26,2.0,7,7
,MIT-Woods Hole Oceanographic,1.0,,7
,Department of Mathematics,1.0,7,7
,Sloan School of Management,2.0,Ph.D. Program: 7.0,7
,Department of Brain/Cognitive Science,2.0,School of Science: (IELTS preferred),7
,"History, Anthropology and Sciences, Technology/Society",2.0,,7
,Operations Research,2.0,(IELTS preferred),7
,Microbiology,1.0,Interdisciplinary Programs: (7.0 preferred) (IELTS preferred),7
"Mercer University, Main Campus",,,,
Metropolitan State University,,,,
Michigan State University,,,,
Midland Lutheran College,,,,
Milligan College,,,,
Mills College,,,,
Minot State University,,,,
Mississippi State University,,,,
,28,0.0,"Department of Curriculum, Instruction, and Special Education (MA, Ph.D.)",40
,8,10.0,,40
,39,,2,40
Mississippi University for Women,28,2.0,,40
Missouri University of Science and Technology,,,,
Montclair State University,,,,
Monterey Institute of International Studies,,,,
,1,1.0,(two-year),9
,Advanced Entry Master of Business Administration,0.0,,9
New School (The),,,,
,General Studies,2.0,,0
,Master of Fine Arts Program in Creative Writing,2.0,,0
,"Milano School of International Affairs, Management, and Urban Policy",2.0,,0
,20,2.0,,0
"New York Institute of Technology, Manhattan",,,,
New York Medical College,,,,
,Doctor of Physical Therapy (DTP),2.0,,0
,Doctor of Public Health in Health Policy and Management (DrPH),9.0,,0
,"School of Health Sciences and Practice, Master in Public Health",2.0,,0
New York University,,,,
,"College of Dentistry, Advanced Programs for International Dentists",,Contact College of Dentistry for score,0
,Tisch School of the Arts,,2,0
,Robert F. Wagner Graduate School of Public Service,,2,0
,School of Professional and Continuing Studies,5.0,,0
,48,,4,0
,Silver School of Social Work,,4,0
,Gallatin School of Individualized Study,,4,0
Niagara University,,,,
Northeastern Illinois University,,,,
Northeastern University,,,,
,49,0.0,,7
,50,0.0,,7
,D'Amore-McKim School of Business,14.0,2,7
,Sciences in Marine Biology,0.0,,7
,Bouve College of Health Sciences,2.0,,7
,"College of Arts, Media & Design",5.0,,7
,School of Journalism,5.0,,7
,Master of Design for Sustainable Urban Environments (MDes),5.0,,7
Northern Arizona University,,,,
Northwestern Polytechnic University,,,,
Northwestern University,,,,
,Northwestern Engineering Master of Project Management (MPM),8.0,,27
,Medill Northwestern University - Graduate Admissions,5.0,"School of Journalism, Media, Integrated Marketing Communications",27
"Northwood University, Florida",,,,
"Northwood University, Michigan",,,,
"Northwood University, Texas",,,,
Nova Southeastern University,,,,
Ohio Dominican University,,,,
Ohio State University,,,,
,Master of Labor and Human Resources,11.0,8,10
,Master of Business Operational Excellence,9.0,8,10
Oral Roberts University,,,,
Oregon Health & Science University,,,,
Pace University,,,,
,Seidenberg School of Computer Science and Information Systems,6.0,,0
,Lienard School of Nursing,6.0,,0
,Pace University-Lenox Hill Hospital Physician Assistant Program,6.0,,0
,Lubin School of Business,6.0,9,0
,Dyson College of Arts and Sciences,6.0,,0
Pacific Lutheran University,,,,
Pacific University,,,,
,51,5.0,(no subscore below 7.0),36
Palo Alto University,,,,
"Pennsylvania State University, Harrisburg",,,,
,Master of Professional Studies in Engineering Management,12.0,,16
,52,12.0,,16
"Pennsylvania State University, University Park",,,,
Pepperdine University,,,,
,School of Public Policy,5.0,,9
"Purdue University, Calumet",,,,
Regent University,,,,
,15,5.0,,23
,School of Business & Leadership,5.0,,23
Rhode Island School of Design,,,,
Rice University,,,,
"Richmond, The American International University in London",,,,
,Master in Art History,,2,
Rider University,,,,
Rollins College,,,,
"Rutgers, The State University of New Jersey, Newark",,,,
Saint Louis University,,,,
Saint Vincent College,,,,
San Diego State University,,,,
San Francisco Art Institute,,,,
,Master of Art,7.0,,9
San Jose State University,,,,
Santa Clara University,,,,
,Leavey School of Business,5.0,,9
Seattle University,,,,
Seton Hall University,,,,
,Whitehead School of Diplomacy and International Relations,12.0,,13
,Master of Arts in Writing Popular Fiction,12.0,,16
,Art Therapy with Specialization in Counseling,5.0,,16
Shenandoah University,,,,
SIT Graduate Institute,,,,
Southern Arkansas University,,,,
Spring Hill College,,,,
"St. John's University, Queens",,,,
St. Mary's University,,,,
Stetson University,,,,
"Stony Brook University, State University of New York (SUNY)",,,,
Suffolk University,,,,
Syracuse University,,,,
,Smith College of Engineering and Computer Science,,2,0
,Whitman School of Management,5.0,,0
,School of Information Studies,,2,0
,College of Visual and Performing Arts,5.0,,0
,Maxwell School,5.0,,0
Temple University,,,,
"Temple University, Japan Campus",,,,
"Texas A&M University, College Station",,,,
,Mays Business School,6.0,,11
"Texas A&M University, Commerce",,,,
,53,4.0,,11
,Physics,4.0,,11
,54,4.0,,11
,Agricultural Education,4.0,Master of Education,11
,55,4.0,,11
,56,4.0,,11
,Biological Sciences,4.0,,11
"Texas A&M University, Kingsville",,,,
Texas Christian University,,,,
Trine University,,,,
Tufts University,,,,
,57,5.0,,7
,Fletcher School of Law and Diplomacy,5.0,,7
,Cummings School of Veterinary Medicine,,2,7
,"Graduate Arts, Sciences and Engineering",12.0,,7
Tulane University,,,,
,School of Public Health and Tropical Medicine,,2,42
Union Graduate College,,,,
"University of Alabama, Birmingham",,,,
"University of Alabama, Tuscaloosa",,,,
"University of Alaska, Anchorage",,,,
"University of Alaska, Fairbanks",,,,
University of Arizona,,,,
,Eller College of Management,2.0,2,5
"University of Arkansas, Fayetteville",,,,
University of Arkansas For Medical Sciences,,,,
University of Baltimore,,,,
,International MS in Health Systems,,2,30
,International MS in Applied Psychology,,2,30
"University of California, Berkeley",,,,
"University of California, Davis",,,,
"University of California, Irvine",,,,
"University of California, San Diego",,,,
,Rady School of Management,5.0,Master of Business Administration and Ph.D programs,9
University of Central Arkansas,,,,
University of Central Oklahoma,,,,
,39,,2,35
University of Chicago,,,,
University of Cincinnati,,,,
"University of Colorado, Boulder",,,,
,Journalism (Master's),5.0,,24
,Business (doctoral),7.0,,24
,Business (master's in accounting),12.0,,24
,47,5.0,,24
,"Technology, Media and Society (ATLAS)",5.0,,24
,60,3.0,,24
,Journalism (Doctoral),5.0,,24
,Ecology and Evolutionary Biology,6.0,,24
,Mechanical Engineering (Doctoral),5.0,,24
,54,6.0,,24
,Civil Engineering,5.0,,24
,"Molecular, Cellular, and Developmental Biology (MCDB)",5.0,,24
,Aerospace Engineering,12.0,,24
,Theater,12.0,,24
,56,12.0,,24
,Dance,12.0,,24
,Telecommunications,5.0,,24
,46,5.0,,24
,Environmental Studies,5.0,,24
,Electrical Engineering,5.0,,24
,Linguistics,12.0,,24
,Mechanical Engineering (Master's),12.0,,24
,53,5.0,,24
,Spanish,12.0,,24
,Engineering Management,7.0,,24
,MBA,5.0,,24
,Integrative Physiology,5.0,,24
"University of Colorado, Denver",,,,
University of Connecticut,,,,
,27,7.0,,38
,33,12.0,,38
University of Dallas,,,,
,1,12.0,,11
,MS/Master of Business Administration dual degree program,12.0,,11
University of Delaware,,,,
,16,,2,26
,3,,2,26
,College of Health Sciences,,2,26
,College of Education and Human Development,,2,26
,"College of Earth, Ocean and Environment",,2,26
,College of Agriculture and Natural Resources,,2,26
,Alfred Lerner College of Business and Economics,7.0,,26
,"Department of Health, Nutrition, and Exercise Sciences",7.0,Master's Degree (MS) Program In Human Nutrition,26
University of Denver,,,,
,University College,6.0,,24
,Morgridge College of Education,,2,24
,Graduate Tax Program,,2,24
,Korbel School of International Studies,,2,24
,School of Professional Psychology,5.0,,24
,Arts Humanities and Social Sciences,5.0,,24
,Daniels College of Business,5.0,,24
University of Findlay,,,,
,6,,2,10
University of Florida,,,,
,Warrington College of Business Administration,6.0,,32
University of Georgia,,,,
,J.M. Tull School of of Accounting,12.0,,28
University of Hartford,,,,
"University of Hawaii, Hilo",,,,
"University of Hawaii, Manoa",,,,
,1,5.0,10,44
University of Houston,,,,
,UH Law Center,5.0,,11
,College of Hotel Management,,2,11
,55,,2,11
,37,,2,11
,28,,2,11
,Cullen College of Engineering,,2,11
,College of Social Work,,2,11
,62,,2,11
,College of Natural Sciences,,2,11
,51,,2,11
,62,12.0,,11
"University of Houston, Victoria",,,,
,50,,2,11
University of Indianapolis,,,,
University of Iowa,,,,
,College of Dentistry,5.0,,45
University of Kansas,,,,
,0,6.0,no subscore below 5.5; provisional admissions (ESL required): 5.5 (no subsocre below 5.0),46
University of Kentucky,,,,
University of Louisville,,,,
"University of Maryland, Baltimore",,,,
"University of Maryland, Baltimore County",,,,
"University of Maryland, College Park",,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,
"University of Massachusetts, Amherst",,,,
,15,6.0,,7
,7,,2,7
"University of Massachusetts, Boston",,,,
,63,12.0,,7
,M.Ed. School of Counseling,,2,7
University of Memphis,,,,
University of Miami,,,,
"University of Michigan, Ann Arbor",,,,
,14,5.0,,4
,Ross School of Business,5.0,,4
,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,5.0,Chemical Engineering,4
,64,6.0,,4
,Rackham School of Graduate Studies,12.0,,4
,School of Information,5.0,,4
,42,12.0,,4
,Public Health,12.0,,4
,Taubman School - Architecture,5.0,,4
,Public Policy,12.0,,4
"University of Michigan, Dearborn",,,,
,6,12.0,,4
,"College of Arts, Sciences and Letters",6.0,,4
,College of Engineering and Computer Science,12.0,,4
"University of Minnesota, Twin Cities",,,,
,School of Journalism and Mass Communication,,2,17
,64,12.0,,17
,13,5.0,,17
"University of Missouri, Kansas City",,,,
"University of Nevada, Las Vegas",,,,
"University of Nevada, Reno",,,,
University of New Hampshire,,,,
University of New Haven,,,,
,M.S. Industrial Engineering,6.0,,38
,M.S. Engineering and Operations Management,6.0,,38
,Ph.D. Criminal Justice,7.0,,38
,M.S. Network Systems,6.0,,38
,M.S. Mechanical Engineering,6.0,,38
,M.S. in Cellular Molecular Biology,5.0,,38
,M.S. Electrical Engineering,6.0,,38
,M.S. Environmental Engineering,6.0,,38
,M.S. Computer Engineering,6.0,,38
"University of North Carolina, Chapel Hill",,,,
"University of North Carolina, Charlotte",,,,
"University of North Carolina, Wilmington",,,,
University of North Texas,,,,
University of North Texas Health Science Center,,,,
University of Notre Dame,,,,
University of Oklahoma,,,,
University of Oregon,,,,
,Lundquist College of Business,7.0,9,36
,28,,2,36
,3,,2,36
,School of Architecture and Allied Arts,,2,36
,School of Journalism and Education,,2,36
University of Pennsylvania,,,,
,Master of Biotechnology,7.0,,16
,Graduate School of Education,5.0,,16
,Annenberg School of Communications,,2,16
,Fels School of Government,,2,16
,Graduate Division of Arts & Sciences,12.0,,16
,Graduate School of Design,5.0,,16
,School of Social Policy and Practice,5.0,,16
,7,5.0,,16
,36,,7.5 suggested,16
,School of Engineering & Applied Science,,2,16
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,
"University of Phoenix, Augusta Campus, Augusta",,,,
"University of Phoenix, Austin Campus, Austin",,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,
"University of Phoenix, Boston Campus, Braintree",,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,
"University of Phoenix, Cleveland Campus, Independence",,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,
"University of Phoenix, Concord Learning Center, Concord",,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,
"University of Phoenix, Covington Learning Center, Covington",,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,
"University of Phoenix, Dallas Campus, Dallas",,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,
"University of Phoenix, Detroit Campus, Troy",,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,
"University of Phoenix, Flint Learning Center, Flint",,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,
