Subtitle,"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Bruto systeemprijs
Accessoires,29050,,EM-Set Super 4plus,,10.75
Micro Wire Stripper,40105,,SWS-Plus 080,4011391401051.0,27.1
Micro Wire Stripper,40027,,ESD-Plus 001,4011391400276.0,45.5
Micro Wire Stripper,40045,,SWS-Plus 020,4011391400450.0,27.1
Cable stripper,30110,,Top Coax Plus,4014915055921.0,
Cable stripper,30190,,"SE-Strip 2,5-6",4011391301900.0,38.55
Cable knives,79050,,Cable bracket No. 50,4011391790506.0,16.75
Cable knives Standard,10350,,No. 35 ,4011391103504.0,25.55
Various models,61000,,QUADRO bulk,4011391610002.0,260.55
Micro Wire Stripper,40115,,SWS-Plus 100,4011391401150.0,27.1
Wire stripper,20070,,AS-Interface Special,4011391200708.0,113.0
Cable knives Standard,19000,,Spare Blade Set 3pcs.,4011391190009.0,9.45
Cable stripper,30160,,PC-Strip,4011391301603.0,44.85
Accessoires,29070,,EM-Set AS-Interface,,35.75
Cable stripper,30155,,Secura No. 15,4011391301559.0,37.05
Various models,59099,,Spare-Set BK,,40.90000000000001
Cable stripper,30013,,CAN-Strip,4011391300132.0,164.10000000000005
Cable knives,79028,,Cable bracket No. 28,4011391790285.0,14.65
Micro Wire Stripper,40035,,SWS-Plus 016,4011391400351.0,27.1
Accessoires,60175,1000.0,End sleeves 0.75,4011391601758.0,17.8
Micro Wire Stripper,40065,,SWS-Plus 030,4011391400658.0,27.1
Cable stripper,30910,,Locator Box,4011391309104.0,27.15
Cable knives,79055,,Spare hook blade 4-70,,11.7
Wire stripper,20300,,Sensor Special,4011391203006.0,122.9
Wire stripper,20310,,Sensor Mini,4001391203105.0,122.9
Wire stripper,20450,,High Strip,4011391204506.0,74.85000000000002
Wire stripper,20255,,Outlet Special 55,4011391202559.0,88.9
