Index,date,group,quantity,unit_cogs
8623,2018-01-12,DAIRY_CHESSE,5,1.37
1817,2018-01-12,POULTRY,9,2.13
17334,2018-01-01,OCCASIONAL,4,0.93
4990,2018-01-03,CIGARETTES,15,0.57
139,2018-01-01,ALCOHOL,61,1.26
5987,2018-01-08,COFFEE TEA,2,3.72
6829,2018-01-03,DAIRY_CHESSE,51,1.78
7541,2018-01-06,DAIRY_CHESSE,3,1.49
14644,2018-01-12,GROATS_RICE_PASTA,26,0.74
12758,2018-01-05,GENERAL_FOOD,1,0.99
4056,2018-01-02,CHEWING_GUM_LOLIPOPS,37,0.46
10481,2018-01-10,DRINK_JUICE,5,1.63
15639,2018-01-08,ICE_CREAMS_FROZEN,19,1.49
8979,2018-01-02,DRINK_JUICE,1,0.92
18529,2018-01-09,SPICES,7,0.88
11638,2018-01-07,GENERAL,5,1.49
1069,2018-01-02,BREAD,2328,0.531254295532646
14968,2018-01-04,ICE_CREAMS_FROZEN,1,1.04
17375,2018-01-03,OCCASIONAL,1,5.74
21440,2018-01-02,VEGETABLES,11,1.1554545454545502
4246,2018-01-08,CHEWING_GUM_LOLIPOPS,2,0.36
12301,2018-01-02,GENERAL_FOOD,3,2.3
14386,2018-01-08,GROATS_RICE_PASTA,2,2.11
3968,2018-01-12,CHEMISTRY,2,3.49
5136,2018-01-05,CIGARETTES,4,3.8
23062,2018-01-08,ALCOHOL,4,7.86
7175,2018-01-05,DAIRY_CHESSE,4,1.24
8305,2018-01-10,DAIRY_CHESSE,4.105,11.7734470158343
11113,2018-01-11,POULTRY,0.425,15.294117647058801
20817,2018-01-11,SWEETS,22,0.7
19094,2018-01-03,SWEETS,2,4.9
19298,2018-01-04,SWEETS,13,0.6415384615384621
22854,2018-01-12,ALCOHOL,3,3.2
21804,2018-01-07,VEGETABLES,4.2,0.8785714285714291
15028,2018-01-04,ICE_CREAMS_FROZEN,1,6.63
8454,2018-01-11,DAIRY_CHESSE,5,1.37
15231,2018-01-06,ICE_CREAMS_FROZEN,1,3.91
9993,2018-01-08,DRINK_JUICE,2,1.99
8541,2018-01-12,DAIRY_CHESSE,14,1.39
21571,2018-01-04,VEGETABLES,0.22,4.5
8405,2018-01-11,DAIRY_CHESSE,2,2.8
10390,2018-01-10,DRINK_JUICE,6,0.94
21184,2018-01-06,TABLETS,1,7.11
15394,2018-01-07,ICE_CREAMS_FROZEN,2,7.0
2897,2018-01-07,CHEMISTRY,17,0.99
7744,2018-01-08,DAIRY_CHESSE,1,1.62
17951,2018-01-10,GENERAL_ITEMS,3,2.54
10454,2018-01-10,DRINK_JUICE,1,1.59
5408,2018-01-08,CIGARETTES,67,9.96
9580,2018-01-06,DRINK_JUICE,6,2.84666666666667
19998,2018-01-07,SWEETS,4,0.96
20909,2018-01-12,SWEETS,1,4.64
20222,2018-01-08,SWEETS,5,2.13
7297,2018-01-05,DAIRY_CHESSE,2,3.75
16726,2018-01-11,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,1,2.59
13926,2018-01-12,GENERAL_FOOD,7,1.59
3589,2018-01-11,CHEMISTRY,3,2.33
17339,2018-01-01,OCCASIONAL,1,0.98
10112,2018-01-08,DRINK_JUICE,10,1.16
12775,2018-01-05,GENERAL_FOOD,1,4.88
513,2018-01-06,ALCOHOL,3,2.63
21934,2018-01-08,VEGETABLES,112.387,1.27674909019727
12290,2018-01-02,GENERAL_FOOD,1,3.71
14958,2018-01-04,ICE_CREAMS_FROZEN,15,3.65
4594,2018-01-06,CHIPS_FLAKES,2,2.34
10269,2018-01-09,DRINK_JUICE,86,3.34
17438,2018-01-07,OCCASIONAL,2,0.53
3986,2018-01-12,CHEMISTRY,1,3.74
14593,2018-01-11,GROATS_RICE_PASTA,17,1.78882352941176
8340,2018-01-11,DAIRY_CHESSE,8,1.39
22270,2018-01-12,VEGETABLES,1,7.43
16020,2018-01-01,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,5,1.44
9885,2018-01-07,DRINK_JUICE,5,0.84
12664,2018-01-04,GENERAL_FOOD,7,1.17
209,2018-01-02,ALCOHOL,2,3.89
7278,2018-01-05,DAIRY_CHESSE,8,1.96
17175,2018-01-08,POULTRY,0.45,12.8666666666667
10550,2018-01-11,DRINK_JUICE,5,1.86
15873,2018-01-10,ICE_CREAMS_FROZEN,6,3.4
22907,2018-01-01,ALCOHOL,13,2.87
17685,2018-01-11,GENERAL_ITEMS,3,3.06
22490,2018-01-04,ALCOHOL,1,23.43
279,2018-01-03,ALCOHOL,8,1.81
13963,2018-01-12,GENERAL_FOOD,1.54,9.57792207792208
10050,2018-01-08,DRINK_JUICE,3,2.63
6801,2018-01-03,DAIRY_CHESSE,1,1.24
18301,2018-01-05,SPICES,1,2.4
121,2018-01-09,GENERAL_ITEMS,2,0.74
2139,2018-01-03,CHEMISTRY,4,1.47
16208,2018-01-04,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,60,1.27
18599,2018-01-10,SPICES,1,2.08
779,2018-01-09,ALCOHOL,76,1.82894736842105
13083,2018-01-07,GENERAL_FOOD,3,1.96
1016,2018-01-12,ALCOHOL,1,4.88
3610,2018-01-11,CHEMISTRY,2,2.09
13444,2018-01-09,GENERAL_FOOD,4,2.7
19629,2018-01-05,SWEETS,8,1.96
15982,2018-01-12,ICE_CREAMS_FROZEN,24,0.4925
13178,2018-01-07,GENERAL_FOOD,4,3.47
8513,2018-01-11,DAIRY_CHESSE,5,2.39
654,2018-01-08,ALCOHOL,9,4.07
8236,2018-01-10,DAIRY_CHESSE,27,1.47111111111111
21304,2018-01-11,TABLETS,2,7.985
22242,2018-01-12,VEGETABLES,6,1.8966666666666696
17513,2018-01-12,OCCASIONAL,78,1.07410256410256
8910,2018-01-02,DRINK_JUICE,1,0.99
3696,2018-01-11,CHEMISTRY,3,1.19
19297,2018-01-04,SWEETS,12,0.69
7977,2018-01-09,DAIRY_CHESSE,18,1.07
20476,2018-01-09,SWEETS,1,8.99
16451,2018-01-07,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,13,3.5561538461538498
18306,2018-01-05,SPICES,1,1.0
5035,2018-01-03,CIGARETTES,55,9.87272727272727
19712,2018-01-06,SWEETS,4,0.84
12677,2018-01-04,GENERAL_FOOD,7,1.09
103,2018-01-02,GENERAL_ITEMS,12,0.21
8399,2018-01-11,DAIRY_CHESSE,71,1.49591549295775
19548,2018-01-05,SWEETS,2,3.65
8654,2018-01-12,DAIRY_CHESSE,5,1.39
9314,2018-01-04,DRINK_JUICE,15,0.97
3640,2018-01-11,CHEMISTRY,2,0.06
8360,2018-01-11,DAIRY_CHESSE,4,2.04
19533,2018-01-05,SWEETS,10,0.99
3987,2018-01-12,CHEMISTRY,46,0.06
12302,2018-01-02,GENERAL_FOOD,2,0.91
5859,2018-01-04,COFFEE TEA,5,1.49
10806,2018-01-01,POULTRY,5.92,12.412162162162199
7996,2018-01-09,DAIRY_CHESSE,23,2.3
18844,2018-01-01,SWEETS,5,0.39
11043,2018-01-09,POULTRY,9,1.07
4844,2018-01-01,CIGARETTES,5,3.614
4150,2018-01-05,CHEWING_GUM_LOLIPOPS,1,0.16
10156,2018-01-09,DRINK_JUICE,20,1.25
14463,2018-01-09,GROATS_RICE_PASTA,1,3.56
9041,2018-01-03,DRINK_JUICE,24,1.21
6325,2018-01-10,COOKIES_BULK,0.3,17.0666666666667
12737,2018-01-05,GENERAL_FOOD,2,1.78
13105,2018-01-07,GENERAL_FOOD,32,0.93
9849,2018-01-07,DRINK_JUICE,18,3.0
18486,2018-01-08,SPICES,1,1.83
19435,2018-01-04,SWEETS,1,0.83
16736,2018-01-11,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,60,2.2880000000000003
16875,2018-01-02,GENERAL_ITEMS,1,2.96
7377,2018-01-06,DAIRY_CHESSE,1,3.62
9292,2018-01-04,DRINK_JUICE,12,0.55
21669,2018-01-05,VEGETABLES,64,1.6890625
21266,2018-01-10,TABLETS,1,9.66
15181,2018-01-05,ICE_CREAMS_FROZEN,19,2.35
4079,2018-01-03,CHEWING_GUM_LOLIPOPS,12,1.46
21102,2018-01-02,TABLETS,2,0.99
5375,2018-01-08,CIGARETTES,16,11.678125
22301,2018-01-01,ALCOHOL,52,5.57
5252,2018-01-06,CIGARETTES,273,0.55
9184,2018-01-04,DRINK_JUICE,40,0.72
12699,2018-01-04,GENERAL_FOOD,6,0.98
1902,2018-01-01,CHEMISTRY,1,1.09
16744,2018-01-11,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,4,1.31
18705,2018-01-12,SPICES,2,0.99
4256,2018-01-09,CHEWING_GUM_LOLIPOPS,12,1.26
6862,2018-01-03,DAIRY_CHESSE,3,2.39
19580,2018-01-05,SWEETS,6,0.74
15494,2018-01-07,ICE_CREAMS_FROZEN,34,1.2
3153,2018-01-08,CHEMISTRY,3,1.59
20174,2018-01-08,SWEETS,3,2.5
12241,2018-01-02,GENERAL_FOOD,1,6.69
14054,2018-01-01,GROATS_RICE_PASTA,1,4.02
2060,2018-01-02,CHEMISTRY,3,1.3
11936,2018-01-11,GENERAL,1,2.9
18601,2018-01-10,SPICES,1,0.6
22904,2018-01-01,ALCOHOL,2,7.86
18193,2018-01-03,SPICES,3,0.9
2153,2018-01-03,CHEMISTRY,1,5.49
18638,2018-01-10,SPICES,1,0.84
13172,2018-01-07,GENERAL_FOOD,2,2.9
1908,2018-01-01,CHEMISTRY,2,1.79
6763,2018-01-03,DAIRY_CHESSE,6,1.39
496,2018-01-06,ALCOHOL,20,2.18
1633,2018-01-06,POULTRY,1,2.81
10465,2018-01-10,DRINK_JUICE,4,1.16
19095,2018-01-03,SWEETS,1,5.3
14353,2018-01-07,GROATS_RICE_PASTA,8,1.49
9642,2018-01-06,DRINK_JUICE,6,1.27
9893,2018-01-07,DRINK_JUICE,7,0.83
12431,2018-01-03,GENERAL_FOOD,10,1.46
16639,2018-01-09,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,1,1.16
18617,2018-01-10,SPICES,2,0.26
4598,2018-01-06,CHIPS_FLAKES,1,2.93
14668,2018-01-01,ICE_CREAMS_FROZEN,3,3.64
2392,2018-01-04,CHEMISTRY,2,3.35
5938,2018-01-07,COFFEE TEA,1,2.81
9501,2018-01-05,DRINK_JUICE,12,0.78
7379,2018-01-06,DAIRY_CHESSE,2,5.71
5365,2018-01-08,CIGARETTES,47,10.3004255319149
14501,2018-01-10,GROATS_RICE_PASTA,3,2.11
9377,2018-01-05,DRINK_JUICE,8,1.12
9974,2018-01-08,DRINK_JUICE,12,0.93
21616,2018-01-04,VEGETABLES,4,3.55
6449,2018-01-01,DAIRY_CHESSE,16,3.52
18605,2018-01-10,SPICES,5,0.84
14786,2018-01-02,ICE_CREAMS_FROZEN,1,6.63
14081,2018-01-02,GROATS_RICE_PASTA,3,2.24333333333333
1254,2018-01-06,BREAD,23,3.02260869565217
15726,2018-01-09,ICE_CREAMS_FROZEN,1,1.2
21122,2018-01-03,TABLETS,2,4.1
19471,2018-01-05,SWEETS,4,0.69
10370,2018-01-10,DRINK_JUICE,7,0.81
12038,2018-01-12,GENERAL,2,3.5
22262,2018-01-12,VEGETABLES,8,3.0
19329,2018-01-04,SWEETS,2,3.2
18485,2018-01-08,SPICES,3,0.26
4539,2018-01-05,CHIPS_FLAKES,3,1.3
159,2018-01-01,ALCOHOL,6,1.57
15942,2018-01-11,ICE_CREAMS_FROZEN,1,3.47
21425,2018-01-02,VEGETABLES,29.59,5.43663399797229
11365,2018-01-03,GENERAL,1,1.83
14414,2018-01-08,GROATS_RICE_PASTA,15,1.19
2775,2018-01-06,CHEMISTRY,2,9.89
4716,2018-01-09,CHIPS_FLAKES,5,1.61
15464,2018-01-07,ICE_CREAMS_FROZEN,93,0.65
16501,2018-01-08,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,17,1.1805882352941202
22506,2018-01-05,ALCOHOL,195,3.05430769230769
9797,2018-01-07,DRINK_JUICE,1,4.25
7552,2018-01-06,DAIRY_CHESSE,2,1.19
18539,2018-01-09,SPICES,16,0.65
2827,2018-01-07,CHEMISTRY,4,3.28
598,2018-01-07,ALCOHOL,8,2.7075
19197,2018-01-03,SWEETS,12,1.09166666666667
13736,2018-01-11,GENERAL_FOOD,1.46,14.0
18967,2018-01-02,SWEETS,3,2.69
12505,2018-01-03,GENERAL_FOOD,7,9.5
13556,2018-01-10,GENERAL_FOOD,1,0.68
13045,2018-01-07,GENERAL_FOOD,1,1.68
14739,2018-01-02,ICE_CREAMS_FROZEN,1,3.02
22333,2018-01-02,ALCOHOL,77,3.2649350649350604
5130,2018-01-04,CIGARETTES,12,0.08
5439,2018-01-09,CIGARETTES,71,9.84169014084507
5671,2018-01-12,CIGARETTES,35,9.138
8375,2018-01-11,DAIRY_CHESSE,10,1.07
19224,2018-01-03,SWEETS,17,0.7052941176470591
7448,2018-01-06,DAIRY_CHESSE,12,1.87
5722,2018-01-01,COFFEE TEA,6,2.21
12907,2018-01-06,GENERAL_FOOD,7,2.15
21476,2018-01-03,VEGETABLES,2.5,1.584
3674,2018-01-11,CHEMISTRY,1,3.6
9736,2018-01-07,DRINK_JUICE,1,1.65
11607,2018-01-06,GENERAL,1,2.06
829,2018-01-10,ALCOHOL,13,2.62230769230769
8932,2018-01-02,DRINK_JUICE,10,0.81
1918,2018-01-01,CHEMISTRY,1,1.99
15545,2018-01-08,ICE_CREAMS_FROZEN,38,1.26
6241,2018-01-05,COOKIES_BULK,0.17,9.29411764705882
19150,2018-01-03,SWEETS,3,4.57
6056,2018-01-10,COFFEE TEA,3,1.12
2128,2018-01-02,CHEMISTRY,1,0.75
11398,2018-01-04,GENERAL,12,1.31
4142,2018-01-05,CHEWING_GUM_LOLIPOPS,1,0.65
16518,2018-01-08,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,4,2.53
3878,2018-01-12,CHEMISTRY,3,1.99
1543,2018-01-02,POULTRY,3,2.33
16096,2018-01-02,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,1,4.22
4633,2018-01-07,CHIPS_FLAKES,9,2.23
22853,2018-01-12,ALCOHOL,4,6.2
7546,2018-01-06,DAIRY_CHESSE,2,1.73
4748,2018-01-09,CHIPS_FLAKES,5,0.75
7071,2018-01-04,DAIRY_CHESSE,8,1.96
3826,2018-01-12,CHEMISTRY,1,7.75
13970,2018-01-12,GENERAL_FOOD,2,2.55
2652,2018-01-06,CHEMISTRY,3,1.78
2250,2018-01-03,CHEMISTRY,1,5.19
186,2018-01-02,ALCOHOL,2,2.45
5331,2018-01-07,CIGARETTES,47,9.85
16432,2018-01-07,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16,1.33
12299,2018-01-02,GENERAL_FOOD,6,1.57
20161,2018-01-08,SWEETS,1,9.52
14004,2018-01-12,GENERAL_FOOD,2,2.77
3052,2018-01-08,CHEMISTRY,1,1.55
5763,2018-01-02,COFFEE TEA,1,6.31
15628,2018-01-08,ICE_CREAMS_FROZEN,1,2.4
19191,2018-01-03,SWEETS,1,5.04
5670,2018-01-12,CIGARETTES,63,9.97460317460318
8987,2018-01-02,DRINK_JUICE,5,0.99
13086,2018-01-07,GENERAL_FOOD,1,0.99
21278,2018-01-10,TABLETS,2,4.1
5575,2018-01-11,CIGARETTES,6,11.371666666666698
4820,2018-01-12,CHIPS_FLAKES,13,2.23
17944,2018-01-09,GENERAL_ITEMS,2,2.35
9317,2018-01-04,DRINK_JUICE,56,0.74
4724,2018-01-09,CHIPS_FLAKES,4,2.77
16410,2018-01-07,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,7,1.49
651,2018-01-08,ALCOHOL,16,1.96
5253,2018-01-06,CIGARETTES,108,9.8587037037037
8843,2018-01-01,DRINK_JUICE,18,0.775555555555556
18965,2018-01-02,SWEETS,0.17,13.9411764705882
20939,2018-01-12,SWEETS,2,4.64
8604,2018-01-12,DAIRY_CHESSE,1,3.75
4480,2018-01-04,CHIPS_FLAKES,3,2.77
21235,2018-01-08,TABLETS,1,3.04
19241,2018-01-03,SWEETS,3,2.04
2023,2018-01-02,CHEMISTRY,2,1.65
12893,2018-01-06,GENERAL_FOOD,9,2.15
22169,2018-01-11,VEGETABLES,0.98,1.25510204081633
22733,2018-01-09,ALCOHOL,3,6.92
17919,2018-01-07,GENERAL_ITEMS,1,3.15
20521,2018-01-10,SWEETS,1,1.61
973,2018-01-12,ALCOHOL,3,4.07
15349,2018-01-06,ICE_CREAMS_FROZEN,7,2.35
10065,2018-01-08,DRINK_JUICE,1,1.55
6608,2018-01-02,DAIRY_CHESSE,4,2.15
1850,2018-01-01,CHEMISTRY,1,2.71
1143,2018-01-03,BREAD,3,3.71
13128,2018-01-07,GENERAL_FOOD,1,4.07
13796,2018-01-11,GENERAL_FOOD,5,0.95
14706,2018-01-01,ICE_CREAMS_FROZEN,1,4.41
6055,2018-01-10,COFFEE TEA,6,1.4
11793,2018-01-09,GENERAL,1,1.27
21181,2018-01-06,TABLETS,8,2.78
5554,2018-01-10,CIGARETTES,1,0.35
3639,2018-01-11,CHEMISTRY,1,0.68
5600,2018-01-11,CIGARETTES,1,9.86
21961,2018-01-09,VEGETABLES,26,2.63961538461538
13364,2018-01-08,GENERAL_FOOD,3,4.33
1112,2018-01-03,BREAD,218,0.7
2580,2018-01-05,CHEMISTRY,1,2.69
3487,2018-01-10,CHEMISTRY,2,2.13
11525,2018-01-05,GENERAL,6,2.15
2818,2018-01-07,CHEMISTRY,4,2.63
20253,2018-01-08,SWEETS,4,1.52
20711,2018-01-11,SWEETS,56,0.5805357142857139
13224,2018-01-08,GENERAL_FOOD,1,0.4
17278,2018-01-11,POULTRY,1.33,19.0075187969925
883,2018-01-10,ALCOHOL,1,4.88
3934,2018-01-12,CHEMISTRY,1,2.43
17531,2018-01-12,OCCASIONAL,2,1.75
15660,2018-01-08,ICE_CREAMS_FROZEN,1,7.39
12532,2018-01-03,GENERAL_FOOD,4,1.57
22013,2018-01-09,VEGETABLES,32.796,4.510611050128059
11928,2018-01-11,GENERAL,1,3.8
14175,2018-01-03,GROATS_RICE_PASTA,18,1.83
5018,2018-01-03,CIGARETTES,40,10.72525
15376,2018-01-06,ICE_CREAMS_FROZEN,118,0.44
17794,2018-01-12,GENERAL_ITEMS,1,3.94
1596,2018-01-04,POULTRY,1,1.72
1660,2018-01-07,POULTRY,7,1.12
3149,2018-01-08,CHEMISTRY,2,0.97
5599,2018-01-11,CIGARETTES,8,9.96
20502,2018-01-10,SWEETS,14,6.0
19296,2018-01-04,SWEETS,27,0.8085185185185179
19746,2018-01-06,SWEETS,1,2.29
1043,2018-01-01,BREAD,42.5,2.57152941176471
16655,2018-01-10,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,8,1.70375
17642,2018-01-08,GENERAL_ITEMS,70,1.34828571428571
6541,2018-01-01,DAIRY_CHESSE,2,2.81
4884,2018-01-01,CIGARETTES,12,9.55
1969,2018-01-01,CHEMISTRY,1,4.04
533,2018-01-06,ALCOHOL,1,1.95
18661,2018-01-11,SPICES,10,0.6
13407,2018-01-09,GENERAL_FOOD,4,2.59
7921,2018-01-08,DAIRY_CHESSE,2,3.71
15162,2018-01-05,ICE_CREAMS_FROZEN,19,1.35
17603,2018-01-05,GENERAL_ITEMS,2,2.81
3240,2018-01-09,CHEMISTRY,24,0.06
6651,2018-01-02,DAIRY_CHESSE,3,1.78
2811,2018-01-07,CHEMISTRY,1,4.19
17070,2018-01-05,POULTRY,1.67,16.251497005988
11562,2018-01-06,GENERAL,1,5.16
25,2018-01-03,GENERAL_ITEMS,1,10.99
6312,2018-01-09,COOKIES_BULK,1.31,12.259541984732802
6538,2018-01-01,DAIRY_CHESSE,5,1.18
198,2018-01-02,ALCOHOL,11,2.33
10761,2018-01-12,DRINK_JUICE,30,1.582
18437,2018-01-07,SPICES,2,1.96
7087,2018-01-04,DAIRY_CHESSE,8,1.36
7704,2018-01-07,DAIRY_CHESSE,7,1.59
9550,2018-01-06,DRINK_JUICE,10,1.27
8799,2018-01-01,DRINK_JUICE,8,1.66
21841,2018-01-07,VEGETABLES,17.05,1.83929618768328
10301,2018-01-09,DRINK_JUICE,1,0.79
3718,2018-01-11,CHEMISTRY,1,2.22
17284,2018-01-11,POULTRY,0.625,17.104
