Index,cast,revenue,original_title
982, Ellie Kemper,201585328,21 Jump Street
1071, Brady Allen,142817992,Paranormal Activity 4
994, Jason Statham,312573423,The Expendables 2
1076, Luke Pasqualino,9627492,The Apparition
1071, Matt Shively,142817992,Paranormal Activity 4
981, Chris Hemsworth,396600000,Snow White and the Huntsman
1034, Brian Blessed,118338361,The Pirates! In an Adventure with Scientists!
1009, Edward Norton,68263166,Moonrise Kingdom
1058, Marin Ireland,114281051,Hope Springs
970,Robert Downey Jr.,1519557910,The Avengers
1028, Kate Beckinsale,63100000,Contraband
1023,Adam Sandler,358375603,Hotel Transylvania
991, Elizabeth Banks,691210692,The Hunger Games
1049, Elizabeth Banks,12434778,People Like Us
976,Ian McKellen,1017003568,The Hobbit: An Unexpected Journey
1071,Katie Featherston,142817992,Paranormal Activity 4
1024, Michael PeÃ±a,48126384,End of Watch
1062, Tom Courtenay,59520298,Quartet
1078,Milla Jovovich,240159255,Resident Evil: Retribution
1033, Sami Gayle,2106557,Stolen
1052,Adelaide Clemens,52302796,Silent Hill: Revelation 3D
1009, Jared Gilman,68263166,Moonrise Kingdom
1068, Josh Pence,11417362,Fun Size
1033,Nicolas Cage,2106557,Stolen
996, Jonny Lee Miller,245527149,Dark Shadows
979, Denis Leary,752215857,The Amazing Spider-Man
987, Ewan McGregor,180274123,Lo imposible
1044, Taylor Kitsch,47000000,Savages
1000, Alex Pettyfer,167221571,Magic Mike
1019,Sam Worthington,301000000,Wrath of the Titans
1009, Kara Hayward,68263166,Moonrise Kingdom
1039, Lauren Ambrose,24159934,Wanderlust
1038, Maggie Grace,32204030,Lockout
1037, Maude Apatow,88058786,This Is 40
983, Gautam Belur,609016565,Life of Pi
1040, Mary Stockley,127730736,The Woman in Black
1020, Stephen Boss,140470746,Step Up Revolution
986, Richard Jenkins,218340595,Jack Reacher
1077,Robert Pattinson,6063556,Cosmopolis
979, Emma Stone,752215857,The Amazing Spider-Man
1056, Jeffrey Dean Morgan,44806783,Red Dawn
1029,Ben Stiller,746921274,Madagascar 3: Europe's Most Wanted
1080,Katy Perry,32726956,Katy Perry: Part of Me
1041,Charlie Tahan,81491068,Frankenweenie
1043, Brendan Gleeson,208076205,Safe House
1003, Sam Neill,196114570,The Vow
1035,Joaquin Phoenix,28258060,The Master
1029, Sacha Baron Cohen,746921274,Madagascar 3: Europe's Most Wanted
1077, Paul Giamatti,6063556,Cosmopolis
1024, David Harbour,48126384,End of Watch
1011, Tadanobu Asano,303025485,Battleship
1023, Kevin James,358375603,Hotel Transylvania
1039, Justin Theroux,24159934,Wanderlust
1005, James Hong,40346186,Safe
1070,Bradley Cooper,13231461,The Words
1051, Rob LaBelle,85446075,The Possession
988,John C. Reilly,471222889,Wreck-It Ralph
1005, Chris Sarandon,40346186,Safe
1040, Alisa Khazanova,127730736,The Woman in Black
1047,Drew Barrymore,24719215,Big Miracle
1006, Rufus Sewell,112265139,Abraham Lincoln: Vampire Hunter
1057, Will Sasso,54819301,The Three Stooges
1065,Devon Bostick,77112176,Diary of a Wimpy Kid: Dog Days
1008, Danny DeVito,348840316,The Lorax
1050, David Koechner,8493728,Piranha 3DD
977, Charlize Theron,403170142,Prometheus
1042,Adam Sandler,58058367,That's My Boy
1022, Gonzalo Menendez,81272766,Act of Valor
1004,Dwayne Johnson,355692760,Journey 2: The Mysterious Island
1058, Jean Smart,114281051,Hope Springs
1050, Matt Bush,8493728,Piranha 3DD
987, Tom Holland,180274123,Lo imposible
1073, Bailee Madison,119772232,Parental Guidance
983,Suraj Sharma,609016565,Life of Pi
1045, Ed Harris,46221189,Man on a Ledge
1021,Dane DeHaan,145000000,Chronicle
1073, Marisa Tomei,119772232,Parental Guidance
992, Kate Beckinsale,198802074,Total Recall
1041, Catherine O'Hara,81491068,Frankenweenie
1033, Danny Huston,2106557,Stolen
1008,Zac Efron,348840316,The Lorax
998, John Goodman,232324128,Argo
1027, Thomas Mann,100000000,Project X
1064, John Krasinski,8138788,Promised Land
978, Jacki Weaver,205738714,Silver Linings Playbook
975,Jeremy Renner,276572938,The Bourne Legacy
994,Sylvester Stallone,312573423,The Expendables 2
1078, Sienna Guillory,240159255,Resident Evil: Retribution
1040, CiarÃ¡n Hinds,127730736,The Woman in Black
975, Rachel Weisz,276572938,The Bourne Legacy
1007,Kirsten Dunst,8106475,Upside Down
978, Robert De Niro,205738714,Silver Linings Playbook
1045, Jamie Bell,46221189,Man on a Ledge
989, Brittany Snow,115350426,Pitch Perfect
1062, Michael Gambon,59520298,Quartet
1076, Tom Felton,9627492,The Apparition
1007, Jim Sturgess,8106475,Upside Down
984, Denis Leary,877244782,Ice Age: Continental Drift
1076, Julianna Guill,9627492,The Apparition
1037, Jason Segel,88058786,This Is 40
1017, Jason Clarke,132820716,Zero Dark Thirty
984, Ray Romano,877244782,Ice Age: Continental Drift
1027,Oliver Cooper,100000000,Project X
1007, Heidi Hawkins,8106475,Upside Down
989, Rebel Wilson,115350426,Pitch Perfect
1017,Jessica Chastain,132820716,Zero Dark Thirty
1037, Leslie Mann,88058786,This Is 40
1008, Taylor Swift,348840316,The Lorax
985, Joel McHale,549368315,Ted
1062, Pauline Collins,59520298,Quartet
1019, Edgar RamÃ­rez,301000000,Wrath of the Titans
1040, Sidney Johnston,127730736,The Woman in Black
1069, Jamie Chung,31083599,Premium Rush
971,Kate Beckinsale,132400000,Underworld: Awakening
981, Charlize Theron,396600000,Snow White and the Huntsman
1040,Daniel Radcliffe,127730736,The Woman in Black
1031, Brendan Gleeson,29657751,The Raven
1053,Brad Pitt,37930465,Killing Them Softly
1013,Julia Roberts,183018522,Mirror Mirror
1002, Isla Fisher,306941670,Rise of the Guardians
992,Colin Farrell,198802074,Total Recall
1019, Liam Neeson,301000000,Wrath of the Titans
1068,Victoria Justice,11417362,Fun Size
971, Michael Ealy,132400000,Underworld: Awakening
1063, Anna Kendrick,107139399,ParaNorman
1068, Chelsea Handler,11417362,Fun Size
1050,Danielle Panabaker,8493728,Piranha 3DD
1032, Alec Baldwin,59418613,Rock of Ages
991, Woody Harrelson,691210692,The Hunger Games
991, Josh Hutcherson,691210692,The Hunger Games
976, Andy Serkis,1017003568,The Hobbit: An Unexpected Journey
984, Seann William Scott,877244782,Ice Age: Continental Drift
1032, Julianne Hough,59418613,Rock of Ages
1051,Jeffrey Dean Morgan,85446075,The Possession
1013, Armie Hammer,183018522,Mirror Mirror
1002, Alec Baldwin,306941670,Rise of the Guardians
1003, Jessica Lange,196114570,The Vow
1037, Megan Fox,88058786,This Is 40
1015, Noah Segan,47042000,Looper
997,Logan Lerman,33400000,The Perks of Being a Wallflower
1023, Selena Gomez,358375603,Hotel Transylvania
1077, Sarah Gadon,6063556,Cosmopolis
1075,Bruce Willis,4636169,Fire with Fire
1010, Olivia Thirlby,41037742,Dredd
1066, RubÃ©n Blades,9622846,For Greater Glory - The True Story of Cristiada
990, Tommy Lee Jones,624026776,Men in Black 3
1060,Tyler Perry,30353232,Alex Cross
1046, Abbie Cornish,19422261,Seven Psychopaths
1033, Josh Lucas,2106557,Stolen
996, Jackie Earle Haley,245527149,Dark Shadows
1047, Dermot Mulroney,24719215,Big Miracle
1067, Cuba Gooding Jr.,50365377,Red Tails
989, Anna Camp,115350426,Pitch Perfect
1006, Mary Elizabeth Winstead,112265139,Abraham Lincoln: Vampire Hunter
1070, Zoe Saldana,13231461,The Words
1063, Jodelle Ferland,107139399,ParaNorman
1053, Scoot McNairy,37930465,Killing Them Softly
1049, Olivia Wilde,12434778,People Like Us
998, Bryan Cranston,232324128,Argo
1009, Bill Murray,68263166,Moonrise Kingdom
1064, Frances McDormand,8138788,Promised Land
985, Mila Kunis,549368315,Ted
1042, Eva Amurri Martino,58058367,That's My Boy
981,Kristen Stewart,396600000,Snow White and the Huntsman
981, Ian McShane,396600000,Snow White and the Huntsman
980, Emma Thompson,538983207,Brave
978, Jennifer Lawrence,205738714,Silver Linings Playbook
1071, Sprague Grayden,142817992,Paranormal Activity 4
1016, Elizabeth Reaser,829000000,The Twilight Saga: Breaking Dawn - Part 2
1030, Jessica Chastain,53676580,Lawless
993, Jim Sturgess,130482868,Cloud Atlas
1074, Kevin Hart,96070507,Think Like a Man
1028,Mark Wahlberg,63100000,Contraband
1055,Richard Gere,35485056,Arbitrage
1056, Josh Hutcherson,44806783,Red Dawn
1017, Joel Edgerton,132820716,Zero Dark Thirty
1008, Rob Riggle,348840316,The Lorax
1080, Russell Brand,32726956,Katy Perry: Part of Me
1020, Ryan Guzman,140470746,Step Up Revolution
1062,Maggie Smith,59520298,Quartet
979, Rhys Ifans,752215857,The Amazing Spider-Man
982, Brie Larson,201585328,21 Jump Street
1064,Matt Damon,8138788,Promised Land
1025, Jennifer Lopez,79700000,What to Expect When You're Expecting
982, Jonah Hill,201585328,21 Jump Street
995, Maggie Grace,376141306,Taken 2
977,Noomi Rapace,403170142,Prometheus
1060, Giancarlo Esposito,30353232,Alex Cross
1030, Mia Wasikowska,53676580,Lawless
1003, Scott Speedman,196114570,The Vow
1006,Benjamin Walker,112265139,Abraham Lincoln: Vampire Hunter
970, Mark Ruffalo,1519557910,The Avengers
1070, Dennis Quaid,13231461,The Words
1024, Anna Kendrick,48126384,End of Watch
990, Michael Stuhlbarg,624026776,Men in Black 3
1020,Kathryn McCormick,140470746,Step Up Revolution
1055, Susan Sarandon,35485056,Arbitrage
1033, Malin Ã…kerman,2106557,Stolen
1026, Sayed Badreya,179379533,The Dictator
993, Halle Berry,130482868,Cloud Atlas
985, Seth MacFarlane,549368315,Ted
1002, Jude Law,306941670,Rise of the Guardians
1072, Sam Riley,8784318,On the Road
987, Samuel Joslin,180274123,Lo imposible
1062, Billy Connolly,59520298,Quartet
1001, Jesse Williams,66486080,The Cabin in the Woods
975, Scott Glenn,276572938,The Bourne Legacy
1035, Amy Adams,28258060,The Master
1068, Jackson Nicoll,11417362,Fun Size
1026, Aasif Mandvi,179379533,The Dictator
1054, VerÃ³nica Echegui,16863583,The Cold Light of Day
1058,Meryl Streep,114281051,Hope Springs
982,Channing Tatum,201585328,21 Jump Street
1080, Shannon Woodward,32726956,Katy Perry: Part of Me
1030, Guy Pearce,53676580,Lawless
1036, Alison Brie,53909751,The Five-Year Engagement
1015,Joseph Gordon-Levitt,47042000,Looper
984, Chris Wedge,877244782,Ice Age: Continental Drift
1059, Kerry Washington,22044277,A Thousand Words
1074, Regina Hall,96070507,Think Like a Man
1052, Radha Mitchell,52302796,Silent Hill: Revelation 3D
1061, John Leguizamo,36893721,One for the Money
1080, Mia Moretti,32726956,Katy Perry: Part of Me
994, Arnold Schwarzenegger,312573423,The Expendables 2
