Index,revenue,original_title,cast
999,234989584,American Reunion," Chris Klein, Jason Biggs"
1000,167221571,Magic Mike," Cody Horn,  Alex Pettyfer"
1001,66486080,The Cabin in the Woods," Chris Hemsworth,  Fran Kranz, Kristen Connolly,  Jesse Williams"
1002,306941670,Rise of the Guardians,"Chris Pine,  Isla Fisher,  Alec Baldwin,  Jude Law"
1003,196114570,The Vow," Sam Neill,  Jessica Lange,  Scott Speedman"
1004,355692760,Journey 2: The Mysterious Island," Josh Hutcherson,  Kristin Davis, Dwayne Johnson"
1005,40346186,Safe," Robert John Burke,  James Hong,  Chris Sarandon"
1006,112265139,Abraham Lincoln: Vampire Hunter," Anthony Mackie,  Rufus Sewell,  Mary Elizabeth Winstead, Benjamin Walker"
1007,8106475,Upside Down," Timothy Spall, Kirsten Dunst,  Jim Sturgess,  Heidi Hawkins"
1008,348840316,The Lorax," Danny DeVito, Zac Efron,  Taylor Swift,  Rob Riggle"
1009,68263166,Moonrise Kingdom,"Bruce Willis,  Edward Norton,  Jared Gilman,  Kara Hayward,  Bill Murray"
1010,41037742,Dredd," Jason Cope,  Lena Headey,  Olivia Thirlby"
1011,303025485,Battleship," Brooklyn Decker,  Tadanobu Asano"
1012,441809770,Les MisÃ©rables," Russell Crowe, Hugh Jackman"
1013,183018522,Mirror Mirror," Martin Klebba, Julia Roberts,  Armie Hammer"
1014,284139100,John Carter," Mark Strong,  CiarÃ¡n Hinds"
1015,47042000,Looper," Noah Segan, Joseph Gordon-Levitt"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart,  Taylor Lautner,  Elizabeth Reaser"
1017,132820716,Zero Dark Thirty," Chris Pratt,  Jason Clarke, Jessica Chastain,  Joel Edgerton"
1018,33372606,Haywire," Channing Tatum, Gina Carano,  Michael Fassbender"
1019,301000000,Wrath of the Titans,"Sam Worthington,  Edgar RamÃ­rez,  Liam Neeson"
1020,140470746,Step Up Revolution," Jessica Guadix,  Megan Boone,  Stephen Boss,  Ryan Guzman, Kathryn McCormick"
1021,145000000,Chronicle," Anna Wood, Dane DeHaan"
1022,81272766,Act of Valor, Gonzalo Menendez
1023,358375603,Hotel Transylvania," David Spade,  Steve Buscemi, Adam Sandler,  Kevin James,  Selena Gomez"
1024,48126384,End of Watch," Natalie Martinez, Jake Gyllenhaal,  Michael PeÃ±a,  David Harbour,  Anna Kendrick"
1025,79700000,What to Expect When You're Expecting, Jennifer Lopez
1026,179379533,The Dictator,"Sacha Baron Cohen,  Megan Fox,  Sayed Badreya,  Aasif Mandvi"
1027,100000000,Project X," Dax Flame,  Thomas Mann, Oliver Cooper"
1028,63100000,Contraband," Kate Beckinsale, Mark Wahlberg"
1029,746921274,Madagascar 3: Europe's Most Wanted,"Ben Stiller,  Sacha Baron Cohen"
1030,53676580,Lawless,"Shia LaBeouf,  Jessica Chastain,  Mia Wasikowska,  Guy Pearce"
1031,29657751,The Raven," Alice Eve, John Cusack,  Brendan Gleeson"
1032,59418613,Rock of Ages," Diego Boneta,  Alec Baldwin,  Julianne Hough"
1033,2106557,Stolen," Sami Gayle, Nicolas Cage,  Danny Huston,  Josh Lucas,  Malin Ã…kerman"
1034,118338361,The Pirates! In an Adventure with Scientists!,"Hugh Grant,  Jeremy Piven,  Brian Blessed"
1035,28258060,The Master," Philip Seymour Hoffman, Joaquin Phoenix,  Amy Adams"
1036,53909751,The Five-Year Engagement,"Emily Blunt,  Rhys Ifans,  Alison Brie"
1037,88058786,This Is 40,"Paul Rudd,  Maude Apatow,  Jason Segel,  Leslie Mann,  Megan Fox"
1038,32204030,Lockout," Joseph Gilgun,  Peter Stormare,  Maggie Grace"
1039,24159934,Wanderlust," Lauren Ambrose,  Justin Theroux"
1040,127730736,The Woman in Black," Mary Stockley,  Alisa Khazanova,  CiarÃ¡n Hinds,  Sidney Johnston, Daniel Radcliffe"
1041,81491068,Frankenweenie," Martin Short, Charlie Tahan,  Catherine O'Hara"
1042,58058367,That's My Boy," Susan Sarandon,  Andy Samberg, Adam Sandler,  Eva Amurri Martino"
1043,208076205,Safe House, Brendan Gleeson
1044,47000000,Savages," Salma Hayek,  Benicio del Toro,  Taylor Kitsch"
1045,46221189,Man on a Ledge," Edward Burns, Sam Worthington,  Ed Harris,  Jamie Bell"
1046,19422261,Seven Psychopaths,"Colin Farrell,  Abbie Cornish"
1047,24719215,Big Miracle," John Krasinski,  Vinessa Shaw, Drew Barrymore,  Dermot Mulroney"
1048,3428048,Disconnect," Michael Nyqvist, Jason Bateman,  Paula Patton"
1049,12434778,People Like Us," Elizabeth Banks,  Olivia Wilde"
1050,8493728,Piranha 3DD," David Koechner,  Matt Bush, Danielle Panabaker"
1051,85446075,The Possession," Madison Davenport,  Kyra Sedgwick,  Rob LaBelle, Jeffrey Dean Morgan"
1052,52302796,Silent Hill: Revelation 3D," Carrie-Anne Moss, Adelaide Clemens,  Radha Mitchell"
1053,37930465,Killing Them Softly," James Gandolfini,  Ben Mendelsohn, Brad Pitt,  Scoot McNairy"
1054,16863583,The Cold Light of Day,"Henry Cavill,  Bruce Willis,  VerÃ³nica Echegui"
1055,35485056,Arbitrage," Tim Roth,  Monica Raymund, Richard Gere,  Susan Sarandon"
1056,44806783,Red Dawn," Isabel Lucas,  Jeffrey Dean Morgan,  Josh Hutcherson"
1057,54819301,The Three Stooges," SofÃ­a Vergara,  Jane Lynch, Sean Hayes,  Will Sasso"
1058,114281051,Hope Springs," Tommy Lee Jones,  Marin Ireland,  Jean Smart, Meryl Streep"
1059,22044277,A Thousand Words,"Eddie Murphy,  Clark Duke,  Kerry Washington"
1060,30353232,Alex Cross," Matthew Fox,  Rachel Nichols, Tyler Perry,  Giancarlo Esposito"
1061,36893721,One for the Money,"Katherine Heigl,  Sherri Shepherd,  John Leguizamo"
1062,59520298,Quartet," Tom Courtenay,  Michael Gambon,  Pauline Collins, Maggie Smith,  Billy Connolly"
1063,107139399,ParaNorman," Anna Kendrick,  Jodelle Ferland"
1064,8138788,Promised Land," Rosemarie DeWitt,  John Krasinski,  Frances McDormand, Matt Damon"
1065,77112176,Diary of a Wimpy Kid: Dog Days," Rachael Harris,  Peyton List,  Zachary Gordon,  Steve Zahn, Devon Bostick"
1066,9622846,For Greater Glory - The True Story of Cristiada," Oscar Isaac,  Peter O'Toole,  RubÃ©n Blades"
1067,50365377,Red Tails, Cuba Gooding Jr.
1068,11417362,Fun Size," Jane Levy,  Josh Pence, Victoria Justice,  Chelsea Handler,  Jackson Nicoll"
1069,31083599,Premium Rush,"Joseph Gordon-Levitt,  Dania Ramirez,  Jamie Chung"
1070,13231461,The Words," Olivia Wilde,  Jeremy Irons, Bradley Cooper,  Zoe Saldana,  Dennis Quaid"
1071,142817992,Paranormal Activity 4," Brady Allen,  Matt Shively, Katie Featherston,  Sprague Grayden"
1072,8784318,On the Road," Garrett Hedlund, Kristen Stewart,  Sam Riley"
1073,119772232,Parental Guidance,"Billy Crystal,  Bailee Madison,  Marisa Tomei"
1074,96070507,Think Like a Man," Jerry Ferrara,  Meagan Good,  Kevin Hart,  Regina Hall"
1075,4636169,Fire with Fire," Vincent D'Onofrio,  50 Cent,  Rosario Dawson, Bruce Willis"
1076,9627492,The Apparition," Luke Pasqualino,  Tom Felton,  Julianna Guill"
1077,6063556,Cosmopolis," Juliette Binoche,  Samantha Morton, Robert Pattinson,  Paul Giamatti,  Sarah Gadon"
1078,240159255,Resident Evil: Retribution," Aryana Engineer,  Michelle Rodriguez, Milla Jovovich,  Sienna Guillory"
1079,24637469,Sparkle," Mike Epps, Whitney Houston,  Cee Lo Green"
1080,32726956,Katy Perry: Part of Me," Rachael Markarian, Katy Perry,  Russell Brand,  Shannon Woodward,  Mia Moretti"
