Subtitle,Common Name (click for description),Moisture Requirement,Deer Resistant?
WILDFLOWERS - Meadows - Sun to Partial Shade,Common Milkweed,3.0,0.0
SHRUBS - Medium (3 - 6'),Black Huckleberry,4.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Wreath Goldenrod,0.0,1.0
GRASSES,Pennsylvania Sedge,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Late Boneset,0.0,0.0
TREES - Large (25 - 50+'),Northern Red Oak,0.0,1.0
FERNS,Marginal Wood Fern,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Purple Blazing Star,3.0,1.0
GRASSES,Indian Grass,0.0,0.0
TREES - Large (25 - 50+'),American Sycamore,2.0,1.0
SHRUBS - Medium (3 - 6'),Red Chokeberry,2.0,1.0
TREES - Large (25 - 50+'),Eastern Red Cedar,4.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Mitrewort,3.0,0.0
SHRUBS - Large (> 6'),Spicebush,2.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Black Cohosh,0.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Great Blue Lobelia,2.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Blue Wood Aster,0.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Spotted Joe-Pye,2.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Boneset,1.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Woodland Sunflower,4.0,0.0
SHRUBS - Small (< 3'),Steeplebush,5.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Rue Anemone,0.0,0.0
SHRUBS - Small (< 3'),Lowbush Blueberry,4.0,0.0
SHRUBS - Medium (3 - 6'),Hearts a'burstin,0.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Prickly Pear Cactus,7.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Blue False Indigo,3.0,0.0
SHRUBS - Large (> 6'),Bayberry,2.0,0.0
SHRUBS - Large (> 6'),Silky Dogwood,1.0,1.0
TREES - Small (< 25'),Redbud,0.0,1.0
GRASSES,Little Bluestem,4.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Golden Ragwort,2.0,0.0
SHRUBS - Large (> 6'),Serviceberry,0.0,1.0
GRASSES,Northern Sea Oats,3.0,0.0
FERNS,Lady Fern,2.0,0.0
AQUATIC PLANTS - Sun to Partial Shade,Fragrant Water-lily,1.0,0.0
