correction,misspell
ennui,ennuui
environmental," invermeantial, envireminakl"
error,"errara,  erro"
espresso,expresso
etiology,eitiology
eventually,evtually
everything,evething
exceed,excede
except,excpt
execution,excution
exercise,excercise
exhilaration,exhileration
existence," existance, egsistence"
explicitly,"expleyly,  explity"
extensions,extions
factorization,factontion
failure,failer
fantasia,phantasia
fantasy,famdasy
favour,faver
fax,faxe
festival,fistival
fiery,firey
flattering,flatterring
flux," flukse, fluk"
foresee,forsee
frustrating,frustartaion
function,fuction
generally,generly
gotten,gotton
government," gobernement,  gobernment, goberment"
graceful,gracefull
gradually,gradualy
grammar,grammer
guard,gaurd
guts,futs
happily,hapily
have,havne
height,heighth
hello," herlo, hallo"
help," hellp,  hlp, heellp"
higher,higer
hippopotamus,hippopotamous
horse,hourse
housing,houssing
however,"howaver,  howver"
humanity,humaniti
hyphen," hiphine,  hifine, hifin"
hypothesis,"hypotathes,  hypotathese"
hysterical,hystrical
illegitimate,illegitament
immanent,immenant
immediately,imediaetly
implements,implemtes
in_case,incase
in_depth,indepth
in_fact,infact
incomplete, incomplot
inconvenient,inconvenant
indent,ident
independent," indepnends,  independenent"
inefficient,inefficite
infamy,imfamy
influential,influencial
initial,inital
initialized," initized, initinized"
insidious,incedious
insistent,"insistant,  insistenet"
installation,instulation
intelligent," intellagant,  intellegent,  intelegnent,  intelegent,  intellegint,  inteligent,  intellgnt,  intelejent"
interested," intertesd, intertes"
interface,inerface
interpret,interpretate
interpreter,interpretter
inventions,enventions
irresistible,irresistable
irritable,irritible
isotope,isotrop
judgement,judgment
judgment,judgement
kilometer,lilometer
kilometre,lilometer
kipper,kippur
knowing,knawing
laser,luser
latest,latext
leave,leasve
lesion,liasion
liaison,liason
likely,likly
liquefy,liquify
losing,lossing
madness,maddness
maintenance,maintanence
majority,"majaerly,  majoraly"
marshal,marshall
masks,maks
maximum,maxium
media,midia
memento,momento
metaphysical,pataphysical
mike,mic
millennium,millenium
minimum,minum
miscellaneous,misilous
mischievous,mischievious
monkey,"minkay,  monkay"
more,mroe
mosaic,mosaik
moving,oving
naive,nieve
necessary,"neccessary,  necesser,  necesary"
neighbor,neighbour
neighbour,neighbor
no_one,noone
noticeably,noticably
nuzzled,nozled
obfuscate,obsfuscate
objects,objectsion
occasion,ocassion
occasionally,accosinly
occupied,occuppied
occurrence,occurence
octogenarian,octagenarian
old,olf
organize,"organise,  organiz"
oscilloscope,oscilascope
parameter,parametic
parameters," paranets, paramers"
pattern,patten
peremptory,preemptory
permissible,permissable
permissive,permmasivie
phone,fone
phonetic,funetik
picturesque,picaresque
playwright,playwrite
police,pollice
politician,polation
portray,protray
possible,possable
practical,practicle
pragmatism,pragmaticism
preceding,preceeding
precision," precios, precion"
prefixed,prefixt
prefixes,prefices
prerogative,perogative
privilege," priviledge, privielage"
problematic,proplematic
procedures,proceedures
pronunciation," pronisation,  pronounciation"
properly,properally
psychologist," psicolagest,  sicolagest, pscolgst"
pursued,presued
quiz,quoz
radius,radious
receive,recieve
recognize,reconise
recommend,reccomend
rectangle,rectangeles
recurring,reoccurring
redesign,redign
regardless,irregardless
repetition,repitition
replacement,replasments
resemblance,reseblence
respect,respct
respectfully,respecally
responsible,reposable
room,roon
roughly,rought
running,runnung
sacrilegious,sacreligious
safely,saftly
satisfy,satifly
scrabble,scrabdle
section,secion
segments,segements
seize,sieze
sense,sence
several,seferal
sherbet,sherbert
signal,singal
simplicity,cimplicity
simply,simplye
site,sitte
situation,situration
smile,smil
sneaked,snuck
sometimes,sometmes
sonic,soonec
specifically,specificialy
spell,spel
spoke,spoak
sponsored,sponsered
stomach,stumach
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
substitutions,"subisitions,  substations"
sugar,suger
superfluous,superfulous
supersede,supercede
swimwear,swim_wear
sylph,slyph
synchronization,syncorization
tattoos,tattos
team,tem
technically,techniquely
test,"tesst,  ttest"
tests,tets
that,taht
the," thw, teh"
theoretical," theridically, teridical"
theoretically,thredically
this,ths
throughout,thruout
titillate,titalate
tomorrow," tomorow, tommorrow"
tough,taff
tragedy,tradegy
trouble,trubbel
tunnel_like,tunnellike
turned,tured
two,teo
tyranny,tyrrany
unconstitutional,unconisitional
under_ladder,underladder
unfortunately," unfortally,  unfortunently"
unintelligible,unentelegible
unnatural," unnaturral,  unaturral, unatourral"
uranium,uranisium
utmost,upmost
version,verison
vinaigrette,vinagarette
volley,volye
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
want,mant
ward,whard
warlord,warloord
wasting,wadting
weaken,wicken
weird,wierd
what,whaaat
wimp,whimp
won't,wan't
writing,writting
yield,yeild
your,youe
