Title,Distributor(s),Release date (United States),Budget (in millions),Box office gross(North America),Box office gross(Opening weekend (North America)),Box office gross(Other territories),Box office gross(Worldwide)
Spider-Man,Sony Pictures,"May 3, 2002",$139,"$403,706,375","$114,844,116","$418,002,176","$821,708,551"
Spider-Man 2,Sony Pictures,"June 30, 2004",$200,"$373,585,825","$88,156,227","$410,180,516","$783,766,341"
Spider-Man 3,Sony Pictures,"May 4, 2007",$258,"$336,530,303","$151,116,516","$554,341,323","$890,871,626"
The Amazing Spider-Man,Sony Pictures,"July 3, 2012",$230,"$262,030,663","$62,004,688","$495,900,000","$757,930,663"
The Amazing Spider-Man 2,Sony Pictures,"May 2, 2014",$255,"$202,853,933","$91,608,337","$506,128,390","$708,982,323"
The Avengers,Walt Disney Studios Motion Pictures,"May 4, 2012",$220,"$623,357,910","$207,438,708","$895,455,078","$1,518,812,988"
The Incredible Hulk,Universal Pictures,"June 13, 2008",$150,"$134,806,913","$55,414,050","$128,620,638","$263,427,551"
The Punisher,Lionsgate Films,"April 16, 2004",$33,"$33,810,189","$13,834,527","$20,889,916","$54,700,105"
The Wolverine,20th Century Fox,"July 26, 2013",$120,"$132,550,960","$53,113,752","$282,271,394","$414,828,246"
Thor,Paramount Pictures,"May 6, 2011",$150,"$181,030,624","$65,723,338","$268,295,994","$449,326,618"
Thor: The Dark World,Walt Disney Studios Motion Pictures,"November 8, 2013",$170,"$206,362,140","$85,737,841","$438,209,262","$644,571,402"
X-Men,20th Century Fox,"July 14, 2000",$75,"$157,299,717","$54,471,475","$139,039,810","$296,339,527"
X-Men Origins: Wolverine,20th Century Fox,"May 1, 2009",$150,"$179,883,157","$85,058,003","$193,179,707","$373,062,864"
X-Men: Apocalypse,20th Century Fox,"May 27, 2016",$178,"$155,442,489","$65,769,562","$388,492,298","$543,934,787"
X-Men: Days of Future Past,20th Century Fox,"May 23, 2014",$200,"$233,921,534","$90,823,660","$513,941,241","$747,862,775"
X-Men: First Class,20th Century Fox,"June 3, 2011",$160,"$146,408,305","$55,101,604","$207,215,819","$353,624,124"
X-Men: The Last Stand,20th Century Fox,"May 26, 2006",$210,"$234,362,462","$102,750,665","$224,997,093","$459,359,555"
X2,20th Century Fox,"May 2, 2003",$110,"$214,949,694","$85,558,731","$192,761,855","$407,711,549"
