Latitude,Country,Index,City,Longitude
-24.79,BR,133,castro,-50.01
9.18,VN,262,ca mau,105.15
46.43,RO,338,asau,26.4
-34.65,AR,340,moron,-58.62
7.38,NG,263,yaan,8.57
16.08,IN,339,chilakalurupet,80.17
48.41,UA,492,obodivka,29.25
25.05,PK,560,jiwani,61.74
26.89,NP,480,birin,88.07
54.02,CA,177,vanderhoof,-124.02
65.82,RU,514,turukhansk,87.98
-28.45,ZA,274,upington,21.26
43.28,FR,505,la pena,5.52
27.18,EG,10,asyut,31.18
62.58,NO,122,roald,6.13
-1.8,EC,555,montalvo,-79.33
-2.5,BR,129,fonte boa,-66.27
39.17,IT,561,carbonia,8.52
-4.05,CD,89,mangai,19.53
-20.23,NC,448,poum,164.02
-3.67,PG,351,namatanai,152.43
21.32,US,434,ewa beach,-158.01
-53.15,CL,6,punta arenas,-70.92
-25.55,BR,223,foz do iguacu,-54.59
40.82,US,377,ashland,-82.27
28.75,US,182,florida,-82.5
7.42,LK,330,kalmunai,81.82
40.5,IT,495,matera,16.42
-41.15,AR,251,san carlos de bariloche,-71.31
18.74,NE,474,arlit,7.39
44.17,KZ,78,shieli,66.75
60.92,GL,117,narsaq,-46.05
4.93,GF,285,cayenne,-52.33
53.62,RU,460,barguzin,109.62
44.5,RU,488,divnomorskoye,38.14
33.02,US,515,summerville,-80.18
11.0,PH,4,dingle,122.67
43.15,US,184,rochester,-77.62
50.69,CA,352,lillooet,-121.94
-19.98,MU,219,cap malheureux,57.61
47.67,US,573,redmond,-122.12
-33.04,CL,436,valparaiso,-71.63
-0.6,MV,58,hithadhoo,73.08
-26.65,,185,luderitz,15.16
-21.15,AU,235,mackay,149.2
48.59,KZ,49,shubarshi,57.19
-21.64,BR,124,sao joao da barra,-41.05
12.22,PH,345,alugan,125.48
60.72,CA,101,whitehorse,-135.05
4.88,GH,144,takoradi,-1.76
57.79,US,2,kodiak,-152.41
65.58,RU,256,lavrentiya,-171.0
40.67,TR,410,bolu,31.58
69.7,RU,180,pevek,170.31
45.02,US,420,saint anthony,-93.22
6.62,MV,458,kulhudhuffushi,73.07
34.98,JP,134,niimi,133.47
27.98,MX,320,guerrero negro,-114.06
63.84,IS,171,grindavik,-22.43
57.05,US,349,sitka,-135.33
-5.38,CD,238,kongolo,27.0
-20.34,MU,208,bambous virieux,57.76
-7.95,ID,259,bambanglipuro,110.28
-15.43,PE,248,acari,-74.62
49.2,CN,581,hailar,119.7
5.88,LR,428,buchanan,-10.05
21.53,IN,301,deogarh,84.73
5.72,CF,422,sibut,19.07
68.12,NO,497,gravdal,13.5
52.11,CA,379,swan river,-101.27
-17.53,PF,477,tiarei,-149.33
3.07,KI,67,butaritari,172.79
25.29,QA,445,doha,51.53
-41.41,NZ,415,waipawa,175.52
-17.69,BR,145,capelinha,-42.52
59.7,RU,35,nikolskoye,30.79
78.22,SJ,82,longyearbyen,15.64
-23.07,BR,453,cunha,-44.96
-4.39,BR,106,borba,-59.59
-3.46,ID,444,kaili,120.21
-15.33,ZM,566,chongwe,28.68
53.41,GB,228,liverpool,-2.98
14.35,PH,281,san pedro,121.02
-34.42,ZA,40,hermanus,19.23
-26.82,AR,449,tucuman,-65.22
30.44,AF,467,mirabad,61.84
36.29,US,375,elizabeth city,-76.25
37.67,ES,466,lorca,-1.7
-16.84,MZ,478,mocuba,36.99
51.26,CA,246,moose factory,-80.61
27.37,NP,564,khandbari,87.2
43.91,KZ,357,zhanakorgan,67.25
-33.01,AR,470,gualeguaychu,-58.52
-35.66,AR,542,general pico,-63.76
25.81,PK,394,uthal,66.62
40.59,US,509,redding,-122.39
-21.21,CK,79,avarua,-159.78
-0.03,ID,432,pontianak,109.33
40.22,CN,131,changping,116.22
9.33,VE,215,villa bruzual,-69.12
64.9,RU,163,leshukonskoye,45.76
-6.88,ID,213,labuhan,112.21
14.3,YE,563,yarim,44.38
14.92,CV,498,praia,-23.51
48.96,FR,404,villepinte,2.53
18.03,JM,485,black river,-77.85
62.67,RU,165,khandyga,135.6
70.47,CA,150,clyde river,-68.59
1.64,CG,510,impfondo,18.07
44.25,US,504,cadillac,-85.4
32.69,IR,222,dehloran,47.27
-13.68,MG,44,ambanja,48.45
31.37,CN,5,yicheng,119.87
-8.61,ID,136,ruteng,120.47
35.13,JP,54,katsuura,140.3
47.67,CA,187,torbay,-52.73
61.99,GL,305,paamiut,-49.67
-37.62,CL,20,lebu,-73.65
-22.96,,181,walvis bay,14.51
69.45,CA,12,tuktoyaktuk,-133.04
40.52,TJ,225,buston,69.33
58.35,SE,287,uddevalla,11.94
-22.12,,162,henties bay,14.28
12.18,PH,90,san policarpo,125.51
40.6,US,296,fortuna,-124.16
57.81,RU,503,ostrovskoye,42.24
7.77,VE,500,san cristobal,-72.22
-23.12,PF,11,rikitea,-134.97
-28.24,BR,72,imbituba,-48.67
17.08,PH,234,dicabisagan,122.42
-43.3,AR,534,rawson,-65.1
3.98,CM,24,abong mbang,13.18
56.55,RU,537,novozavidovskiy,36.43
-22.67,NC,23,vao,167.48
64.54,RU,429,arkhangelsk,40.54
37.1,US,250,saint george,-113.58
11.5,DJ,513,jibuti,42.5
61.6,NO,292,floro,5.03
18.47,PH,363,davila,120.58
42.25,US,324,broome,-75.83
56.45,RU,496,ayan,138.17
64.84,US,209,fairbanks,-147.72
-42.78,AU,55,new norfolk,147.06
-21.2,BR,423,itaperuna,-41.89
-1.63,BR,553,sao miguel do guama,-47.48
51.62,IE,412,clonakilty,-8.87
-16.07,VU,218,norsup,167.38
10.57,IN,319,kavaratti,72.64
65.09,NO,569,terrak,12.37
17.52,MX,378,petatlan,-101.27
-16.48,PF,139,faanui,-151.75
41.32,AL,311,durres,19.44
60.82,CA,261,hay river,-115.8
-46.28,NZ,193,kaitangata,169.85
1.98,UG,178,apac,32.54
-13.2,MG,519,ambilobe,49.05
62.49,SE,280,timra,17.33
22.93,OM,173,nizwa,57.53
41.12,CN,289,aksu,80.26
16.52,MX,380,benemerito de las americas,-90.64
-35.17,NZ,334,ahipara,173.17
-20.73,AU,157,mount isa,139.5
50.68,RU,192,severo-kurilsk,156.12
46.68,MN,383,baruun-urt,113.28
47.53,KZ,254,dossor,52.98
65.61,GL,21,tasiilaq,-37.64
52.78,RU,103,ushumun,126.53
34.73,US,84,madison,-86.57
14.43,TH,329,soeng sang,102.46
41.71,US,580,yarmouth,-70.23
-38.27,AU,359,codrington,141.97
62.0,RU,490,churapcha,132.43
-28.87,LS,381,hlotse,28.05
69.38,RU,212,leningradskiy,178.42
67.67,NO,360,sorland,12.69
46.62,IT,571,lasa,10.7
39.01,US,584,black forest,-104.7
2.18,CD,142,bumba,22.47
64.38,RU,15,provideniya,-173.3
71.92,RU,196,saskylakh,114.08
66.83,RU,229,yar-sale,70.83
-34.48,UY,396,rocha,-54.33
-23.86,MZ,176,inhambane,35.38
19.22,MX,370,miraflores,-98.81
49.78,CA,438,chapais,-74.85
43.41,US,230,north bend,-124.22
13.93,ER,406,edd,41.69
50.7,CA,318,port hardy,-127.42
-29.95,CL,528,coquimbo,-71.34
35.91,CN,125,zhoucheng,116.31
-41.07,AU,100,burnie,145.92
8.2,GY,532,mabaruma,-59.78
8.12,VE,201,ciudad bolivar,-63.55
60.14,GL,393,nanortalik,-45.24
72.79,GL,46,upernavik,-56.15
27.63,IN,207,ziro,93.83
67.47,RU,559,tazovskiy,78.7
64.5,US,85,nome,-165.41
63.75,CA,282,iqaluit,-68.51
69.49,RU,413,talnakh,88.4
12.63,IN,92,mamallapuram,80.17
-10.41,BR,232,piacabucu,-36.43
-5.2,BR,314,touros,-35.46
-7.33,PE,77,contamana,-75.02
-20.7,BR,202,oliveira,-44.83
32.45,US,385,abilene,-99.73
6.98,ET,159,mizan teferi,35.58
61.28,RU,99,yerbogachen,108.01
-1.83,BR,127,cururupu,-44.87
61.36,RU,391,sovetskiy,63.58
60.73,RU,574,lensk,114.93
-34.0,ZA,194,kruisfontein,24.73
6.3,LR,476,monrovia,-10.8
62.67,RU,199,borogontsy,131.17
16.45,HN,353,savannah bight,-85.85
-18.37,BO,443,poopo,-66.97
-10.07,PE,242,huarmey,-78.15
-46.19,NZ,80,mataura,168.86
22.57,OM,431,sur,59.53
54.77,CA,533,flin flon,-101.86
-13.7,PE,189,pisco,-76.22
59.12,RU,572,palana,159.97
69.41,RU,283,dudinka,86.18
54.39,RU,493,babynino,35.73
56.67,RU,107,neryungri,124.65
-34.73,AU,333,port lincoln,135.87
2.43,MY,459,mersing,103.84
-37.96,NZ,203,whakatane,176.99
18.1,MX,25,reforma,-91.02
-0.74,EC,8,puerto ayora,-90.35
70.63,RU,154,chokurdakh,147.92
-8.84,AO,579,luanda,13.23
38.92,JP,64,ichinoseki,141.13
20.45,PH,401,basco,121.97
37.35,US,130,cortez,-108.59
71.04,NO,271,mehamn,27.85
-19.67,BW,538,nokaneng,22.27
-37.83,AU,175,mount gambier,140.77
-9.66,ID,252,waingapu,120.26
-46.13,NZ,279,tuatapere,167.68
-21.36,RE,356,saint-philippe,55.77
-3.8,ID,169,bengkulu,102.27
58.55,RU,350,kirovo-chepetsk,50.04
22.4,CU,435,santa clara,-79.97
63.66,NO,22,beian,9.57
-34.53,ZA,59,bredasdorp,20.04
24.83,MX,419,durango,-104.83
63.05,RU,433,beringovskiy,179.32
42.6,US,7,albany,-73.97
16.06,GP,362,vieux-habitants,-61.77
8.0,PH,368,marawi,124.29
55.07,CA,418,valleyview,-117.29
50.3,RU,52,kholtoson,103.31
-24.53,MZ,361,chokwe,32.98
23.52,IN,132,galiakot,74.0
-30.18,BR,66,cidreira,-50.21
57.8,RU,463,tigil,158.67
49.98,MN,486,ulaangom,92.07
13.22,BB,26,bathsheba,-59.52
-20.21,MU,28,quatre cocos,57.76
-21.22,MG,366,mananjary,48.33
36.62,US,97,orange cove,-119.31
33.19,US,508,avera,-82.53
36.43,US,456,woodward,-99.39
58.69,RU,336,kodinsk,99.18
-19.52,MG,243,miandrivazo,45.47
-33.93,ZA,29,cape town,18.42
8.3,SS,137,ler,30.14
43.74,RU,376,olga,135.29
43.8,CN,264,urumqi,87.6
2.38,CM,348,ambam,11.28
64.75,RU,541,anadyr,177.48
10.15,CR,191,nicoya,-85.45
12.45,NG,190,birnin kebbi,4.2
23.45,MX,399,todos santos,-110.22
37.13,GR,146,lakkion,26.85
3.87,CO,114,inirida,-67.92
-6.32,PG,374,panguna,155.48
64.57,RU,372,ust-nera,143.2
51.9,RU,210,domna,113.16
45.17,IT,73,mantua,10.78
41.14,US,96,westport,-73.36
42.8,CN,186,hami,93.45
