Index,Latitude,City,Country
530,-6.22,kieta,PG
270,47.89,khor,RU
117,60.92,narsaq,GL
510,1.64,impfondo,CG
264,43.8,urumqi,CN
173,22.93,nizwa,OM
485,18.03,black river,JM
185,-26.65,luderitz,
194,-34.0,kruisfontein,ZA
219,-19.98,cap malheureux,MU
280,62.49,timra,SE
410,40.67,bolu,TR
191,10.15,nicoya,CR
497,68.12,gravdal,NO
374,-6.32,panguna,PG
429,64.54,arkhangelsk,RU
290,41.87,toktogul,KG
135,60.38,teya,RU
560,25.05,jiwani,PK
73,45.17,mantua,IT
385,32.45,abilene,US
539,63.44,vestmannaeyjar,IS
568,17.02,salalah,OM
188,71.69,tiksi,RU
227,34.64,lompoc,US
122,62.58,roald,NO
498,14.92,praia,CV
142,2.18,bumba,CD
333,-34.73,port lincoln,AU
172,48.68,atasu,KZ
304,-19.76,esmeraldas,BR
101,60.72,whitehorse,CA
563,14.3,yarim,YE
390,60.05,gornopravdinsk,RU
431,22.57,sur,OM
147,17.78,letpadan,MM
182,28.75,florida,US
575,43.06,oktyabrskoye,RU
262,9.18,ca mau,VN
33,-8.26,conceicao do araguaia,BR
215,9.33,villa bruzual,VE
337,8.08,ouadda,CF
521,-34.68,kiama,AU
256,65.58,lavrentiya,RU
294,47.91,ulaanbaatar,MN
119,44.08,millau,FR
404,48.96,villepinte,FR
501,46.82,sainte-thecle,CA
220,2.04,mogadishu,SO
18,-14.27,sicuani,PE
14,62.46,yellowknife,CA
522,-12.7,camacari,BR
99,61.28,yerbogachen,RU
27,-15.2,namibe,AO
26,13.22,bathsheba,BB
564,27.37,khandbari,NP
31,-15.82,itapirapua,BR
