Day,Local Time,Dir,Temp/ Feels Like,Humidity,Pressure,Cloud Amount,Precip Amount,Weather
Sun 16 Jul,19:00,E,83 / 80°F,44%,1019 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,07:00,NNW,81 / 80°F,56%,1013 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,07:00,WSW,83 / 80°F,46%,1020 mb,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,01:00,E,76 / 78°F,68%,1017 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 4% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,80 / 80°F,45%,1020 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 1% Most Significant Cloud Type: medium 13%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,22:00,SSE,73 / 77°F,64%,1018 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 2% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,16:00,E,94 / 99°F,46%,1015 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 3% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,13:00,NE,88 / 90°F,49%,1011 mb,Low level cloud: 0% Mid level cloud: 15% High level cloud: 0% Most Significant Cloud Type: medium 14%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,ENE,84 / 85°F,63%,1011 mb,Low level cloud: 0% Mid level cloud: 29% High level cloud: 2% Most Significant Cloud Type: medium 28%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
,04:00,E,71 / 71°F,83%,1011 mb,Low level cloud: 0% Mid level cloud: 28% High level cloud: 0% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,22:00,NE,70 / 70°F,65%,1021 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
