Account Name,Contract Start Date,Membership Category,Membership Level,Website
Manjeet Oil Products,42339.0,12,2.0,
Ruchi Infrastructure Ltd.,42339.0,12,2.0,
Aman Spinning Mills,41395.0,7,2.0,
Riaz Textile Mills Pvt. Ltd,42248.0,7,2.0,
NSL Textile Ltd.,40360.0,4,2.0,
SEL Manufacturing Co. Ltd.,41030.0,7,2.0,
HuNan LouXing Textile Ltd.,42522.0,7,2.0,
"Jiangsu Donghua Textile Co., Ltd",41974.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Ghazi Fabrics International Ltd.,41091.0,4,2.0,
Ring Shine Textiles Ltd.,42186.0,6,3.0,
Zahidjee Textile Mills Limited,42736.0,4,2.0,www.zahidjee.com.pk
Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,7,2.0,
Saiham Textile Mills Ltd,42767.0,7,2.0,www.saihamtextile.com
Kongkiat Textile,42370.0,7,2.0,
Jiangsu Liangji Group Co. Ltd.,41609.0,4,2.0,
"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",41579.0,7,2.0,
"Fujian Changle Changyuan Textile Co.,Ltd",42522.0,7,2.0,
"Changzhou Hengji Textile Co., Ltd",42156.0,4,2.0,
Delta Spinners Ltd,42583.0,7,2.0,
"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,7,2.0,
J.K. Spinning Mills Ltd,42309.0,7,2.0,
Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,4,2.0,
"Yancheng Xue Er Textile co., Ltd",42491.0,7,2.0,
Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,41000.0,7,2.0,
Internet Tekstil San. ve Tic. A.S.,41913.0,4,2.0,
Sree Lalitha Parameswari Spinning Mills Pvt Ltd,42095.0,7,2.0,
Vaibhav Laxmi Export Pvt. Ltd.,40848.0,12,2.0,
"CVS Distributor Co., Ltd.",42156.0,10,3.0,
Meezan Enterprises Pvt. Ltd.,42705.0,12,2.0,
Weiqiao Textile Co. Ltd.,41821.0,4,2.0,
Techno Spinning Mills Ltd.,42036.0,7,2.0,
"Loeb & Company, Inc.",42614.0,12,2.0,
"Foshan Xindongpo Textile Co., Ltd",42522.0,7,2.0,
Metco Textile Pvt. Ltd.,41640.0,7,2.0,
Lotus Integrated Tex Park Ltd (Melange Unit),42491.0,7,2.0,
Mafatlal Industries Ltd,40756.0,7,2.0,
"XianYang China Resources Textiles Co.,Ltd",42248.0,4,2.0,
Masood Textile Mills Ltd.,42036.0,4,2.0,
Damodar Industries Limited,41821.0,7,2.0,
Nishat Mills,40725.0,4,2.0,
RKS Cotton Pvt Ltd,42644.0,12,2.0,
"Jingzhou Aoda Textile Co., Ltd",42767.0,,2.0,
Glossy Impex Pvt Ltd,42705.0,12,2.0,www.glossy.in
Jiangsu Lugang Science & Technology Co. Ltd.,41640.0,4,2.0,
Besler Tekstil San. Tic. A.S,42370.0,7,2.0,
Organi Mark (Pty) Ltd,42675.0,12,2.0,www.organimark.co.za
Civil Society,,,,
Suppliers and Manufacturers,,,,
Manufacturas Kaltex SA de CV,42370.0,4,2.0,
"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,2.0,
R Group,42217.0,9,3.0,
Selcuk Iplik San. ve Tic. A.S.,42705.0,4,2.0,www.selcukgroup.com
Shakthi Knitting Ltd,42370.0,6,3.0,
Bhalchandram Clothing Ltd (Lahoti Group),42248.0,12,2.0,
Guangzhou Kangjian Textile and Clothing Co Ltd,42036.0,6,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Kalpataruvu Spinning Mills Ltd,42736.0,7,2.0,
"Ningbo Zhongxin Wool Textile Group Co.,Ltd",42036.0,7,2.0,
Siddiqsons Ltd.,41030.0,4,2.0,
Al Rahim Textile Industries,42430.0,6,3.0,
Top Star Textiles,40756.0,6,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
"Kuang-You Enterprise Co.,Ltd",42217.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Jiangyin Kangni Textiles Co.,Ltd.",42491.0,7,2.0,
PT Lucky Print Abadi,42705.0,5,3.0,www.luckytex.com
Vertical Knits SA DE CV,42186.0,6,3.0,
Asia Composite Mills Ltd,42309.0,7,2.0,
"Wuxi JHT Homewares Co.,Ltd",41974.0,9,2.0,
"JiangYin  BeiYe Textile Co.,Ltd",42156.0,7,2.0,
Shanghai Lianfeng Textile & Garment Co. Ltd.,42064.0,4,2.0,
Texhong Textile Group Ltd.,41609.0,7,2.0,
RMT Textile Mills Ltd.,41883.0,7,2.0,
Pak Kuwait Textiles Limited,42614.0,7,2.0,
Shandong Binzhou Nongxi Cotton Professional Cooperative,42461.0,12,0.0,
Chenduran Cotspin (India) Pvt Ltd,42767.0,7,2.0,
Yiwu Hengsheng Textile Co. Ltd,42522.0,7,2.0,
Becri - Malhas e Confeccoes S. A.,42217.0,9,3.0,
"Zhonghua Group Co. ,Ltd",41944.0,7,2.0,
Berto Industria Tessile SRL,41091.0,6,3.0,
Aarti International Ltd.,41671.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Thats It Sweater Ltd,42583.0,9,3.0,
"Jiaozuo Haihua Textile Co.,Ltd",42186.0,7,2.0,
Kohinoor Mills Ltd,42036.0,6,3.0,
Engelhart CTP (Singapore) Pte Ltd,42036.0,12,2.0,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Maibom Textilvertriebs GmbH,42552.0,6,3.0,
"Sichuan Tian Yi Textiles Co.,Ltd",42156.0,7,2.0,
"Kyungbang Vietnam Co., Ltd",42675.0,7,2.0,Kyungbangvn.com
AA Coarse Spun Ltd,42552.0,7,2.0,
"Hubei Jinghua Textile Group Co.,Ltd",42430.0,7,2.0,
Shujabad Weaving Mills Ltd,42095.0,6,2.0,
Innovative Textiles Ltd,42552.0,4,2.0,
Vardhman Polytex,41760.0,7,2.0,
Palani Vijay Cottspin Pvt Ltd,42064.0,7,2.0,
Antonio de Almeida & Filhos Texteis SA,42705.0,7,2.0,www.moretextilegroup.com
Dongguan UPW Ltd,41944.0,7,2.0,
Spectrum International Pvt. Ltd.,41426.0,12,2.0,
Tianli Spinning (Mauritius) Co. Ltd.,42095.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Synthesis Home Textiles Pvt Ltd,42186.0,9,3.0,
K.P.R Mill Ltd.,41671.0,4,2.0,
Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),41091.0,7,2.0,
Sri Jayajothi & Co Ltd,42491.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
GRV Spintex Pvt Ltd,42430.0,7,2.0,
Bafna Ginning & Pressing Pvt Ltd,42156.0,12,2.0,
Sutlej Textiles & Industries Ltd.,41974.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Haining Bafang Weaving Co.,Ltd.",41974.0,4,2.0,
Chenniappa Yarn Spinners Pvt Ltd,42736.0,7,2.0,www.chenniappa.com
Shijiazhuang Changshan Hengxin Textile Co. Ltd.,41760.0,7,2.0,
Erve Buying,42736.0,Sourcing Agent,3.0,www.erve.com
Novetex Textiles Ltd.,41821.0,7,2.0,
Zahra Textile,42583.0,7,2.0,
Dakota Industrial Co. Ltd.,41244.0,9,3.0,
Klopman International SRL,42491.0,6,3.0,
Arif Knitspin Ltd,42522.0,7,2.0,
Bari Textile Mills Pvt Ltd.,42736.0,9,3.0,
AB Cotspin India Ltd,42248.0,4,2.0,
RCMA Asia Pte Limited,42461.0,12,2.0,
"DNM Textile for Spinning, Weaving and Dyeing",41487.0,4,2.0,
Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,41609.0,7,2.0,
"Jiangsu Xin Nong Xin Textile Co., Ltd",42705.0,12,2.0,2014
Sportking India Ltd.,41030.0,7,2.0,
Sitaram Spinners Private Limited,41821.0,7,2.0,
Yesim Tekstil San. ve Tic. A.S.,41153.0,4,2.0,
Plummy Fashions Limited,42278.0,6,3.0,
Socota Textile and Clothing Division,42248.0,6,3.0,
Mandhana Industries Ltd.,41244.0,6,3.0,
Al - Karam Towel Industries (Pvt.) Ltd.,42705.0,6,3.0,www.alkaramtowelindustries.com
"Yixing Lucky Textiles Group Co., Ltd",42491.0,6,2.0,
Gokhan Tekstil San ve Tic A.S,42736.0,4,2.0,www.gokhan.com.tr
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Tongxiang Yunsheng Textile Co.,Ltd",42583.0,4,2.0,
"Zhejiang Shengfu Trading Co., Ltd",42522.0,12,2.0,
Kallam Spinning Mills Ltd,42339.0,7,2.0,
"Hunan Huihua Anjiang Textile Co.,Ltd",42675.0,,2.0,
Balavigna Weaving Mills Pvt Ltd,42705.0,6,3.0,www.balavignaorganic.com
PT Bitratex Industries,42491.0,7,2.0,
Brastex S/A,42736.0,4,2.0,www.gso.br/brastex/index.htm
"Turbo Yarn, S.A. de C.V.",42675.0,7,2.0,www.turboyarn.com.mx
Ekoten Tekstil,41609.0,6,3.0,
"Zouping Tongda Textile Co., Ltd.",42430.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
WCT Holding,42248.0,12,2.0,
Shreedhar Cotsyn Private Ltd.,41821.0,12,2.0,
Qingdao York Fashion Manufacture,41456.0,9,2.0,
Luoyang White Horse Group Co.Ltd.,42036.0,4,2.0,
Reha Tekstil Dis Ticaret ve San A.S,42522.0,9,3.0,
PT Kewalram Indonesia,42339.0,7,2.0,
Pee Vee Textiles Ltd,42156.0,4,2.0,
Retailers and Brands,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Jiangsu New Jinlan Textile Apparel Co. Ltd.,41579.0,4,2.0,
RMP Fab Sourcing Pvt Ltd,42309.0,6,3.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
United Spinning Mills (Pvt) Ltd.,42705.0,7,2.0,
KKP Spinning Mills,41518.0,7,2.0,
Civil Society,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
SVA Syntex Pvt Ltd,42736.0,7,2.0,
Ahuja Cotspin Pvt. Ltd.,42217.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
"Shaanxi Qinyuan Textile Co.,Ltd",42614.0,4,2.0,
"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,4,2.0,
Sadirlar Alliance Tekstil A.S,42736.0,6,3.0,www.satekstil.com.tr
"Shangqiu Huifeng Cotton Industry Co., Ltd.",42736.0,7,2.0,www.hfmianye.com
Lucky Knits (Pvt.) Ltd,42430.0,9,3.0,
Minateks,41609.0,7,2.0,
Ravv Tekstil,42156.0,9,3.0,
Master Textile Mills Ltd.,41153.0,4,2.0,
Ipek Tekstil ve Dis Tic. A.S,42339.0,7,2.0,
Eastman Exports Global Clothing,40878.0,4,2.0,
"MCM Industrias Texteis, S.A.",42339.0,4,2.0,
Anita's Textiles Ltd,42217.0,6,2.0,
Mem Tekstil Sanayi ve Ticaret A.S,42156.0,4,2.0,
Syed Spinning & Cotton Mills Ltd.,42461.0,7,2.0,
Jiaxing Qiuxin Textile Co. Ltd.,41487.0,7,2.0,
Paramount Textile Ltd.,42156.0,6,3.0,
"TongXiang YiDe Textile Co.,Ltd.",42644.0,,2.0,www.yidegroup.cn
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Textil Santanderina, S.A.",41974.0,4,2.0,
Kikani Enterprises Pvt Ltd,42278.0,10,3.0,
Cone Denim,42156.0,4,2.0,
Green House Ltd,41974.0,7,2.0,
"Xindadong Textiles(VIETNAM)Co.,Ltd",42064.0,7,2.0,
Ramatex Pvt. Ltd.,41091.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
S Raja Exports,40848.0,12,2.0,
Shandong Dashing Cashmere Products Co.ltd,42644.0,,2.0,
H.A.Fibres Pvt Ltd,42125.0,7,2.0,
Heinrich Otto K.-G.,42736.0,8,3.0,www.heinrichotto.com
Aarthi A1 Traders,41395.0,9,2.0,
Badsha Textiles Ltd,42309.0,7,2.0,
Welspun India Limited,41821.0,4,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Culimeta - Saveguard Ltd.,42614.0,7,2.0,www.culimeta-saveguard.com
Adim Tekstil San. ve Tic. A.S.,42095.0,7,2.0,
Pride Manufacturing de R.L.,42705.0,4,2.0,www.grupokarimsyarn.com
Sri Karpagam Mills India Pvt Ltd,42430.0,7,2.0,
Glencore Agriculture B.V.,42036.0,12,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
PT. Spinmill Indah Industry,42736.0,7,2.0,
Gillanders Arbuthnot & Co. Ltd,42248.0,7,2.0,
PT. Embee Plumbon Tekstil,42675.0,7,2.0,www.embeetex.com
"Zhejiang Lucky Bird Textile Co.,Ltd",41944.0,7,2.0,
Grospinz Fabz Limited,41883.0,7,2.0,
Gohar Textile Mills (Pvt) Ltd.,41974.0,7,2.0,
Om India Trading Company Pvt Ltd,42795.0,12,2.0,www.indiatradingco.com
S T Cottex Exports Pvt Ltd,42278.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Alpine Knits India Pvt. Ltd.,41671.0,7,2.0,
BSB Spinning Mills Ltd,42491.0,7,2.0,
Shri Vallabh Pittie Industries Ltd,42705.0,7,2.0,www.pittie.com
Kardem Tekstil San. ve Tic. AS,41791.0,9,2.0,
Kikani International Pvt Ltd,42461.0,10,3.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Dabiruddin Spinning Mills Ltd,42736.0,7,2.0,www.salmagroup.com.bd
Pahartali Textile & Hosiery Mills,41730.0,7,2.0,
Sapphire Group,41306.0,4,2.0,
Rajapalayam Mills Limited,41913.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Sri Sivajothi Spinning Mills Pvt Ltd,42736.0,7,2.0,
"PiZhou Yinchao Textile Co.,Ltd",42491.0,4,2.0,
PT Indo-Rama Synthetics TBK.,42339.0,4,2.0,
Theni Guru Krishna Textile Mills Pvt Ltd,42705.0,4,2.0,www.atktextiles.com
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Bajwa Spinning Mills (Pvt) Limited,42430.0,7,2.0,
Prem Textiles International Pvt Ltd,42736.0,4,2.0,www.premtextiles.com
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Jolly Enterprise,42461.0,12,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Matam Fibre Mills Ltd,42552.0,7,2.0,
"Xiajin County Ruixin Textile Co.,Ltd",42430.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Vikrant International Pvt. Ltd.,41883.0,12,2.0,
"Yancheng Haicheng Cotton Industry Co.,Ltd",42186.0,7,2.0,
Anhui Huamao Textile Co. Ltd.,41671.0,4,2.0,
Spintex Swaziland (Pty) Ltd.,42614.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Ningbo Shenzhou Knitting Co.,Ltd",42064.0,5,2.0,
"Suwan Spinning & Weaving Co., Ltd.",42370.0,4,2.0,
Shanghai Textile Raw Materials Corporation,42278.0,12,2.0,
Narendra Cotton Ginning & Pressing Co. Pvt. Ltd.,41883.0,5,2.0,
Dadasons Pvt. Ltd.,42736.0,12,2.0,www.dadasons.com
Thien Nam Investment and Development Joint Stock Company,42583.0,7,2.0,
Winsome Textile Industries Ltd.,40360.0,7,2.0,
"Ningbo Yu Tai  Thread Industrial Co.,Ltd",42491.0,7,2.0,
NZ Textile Ltd,42278.0,7,2.0,
"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,4,2.0,
Cotton Distributors Incorporated,41699.0,12,2.0,
"Black Peony Textile Co.,Ltd",41426.0,4,2.0,
Iris Fabrics Ltd,42491.0,6,3.0,
Super Sales India Ltd,42736.0,7,2.0,www.supersales.co.in
"Nantong Huaqiang Cloth Co.,Ltd",41913.0,4,2.0,
Gapsan Tekstil San. ve Tic. A.S.,42522.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
PT Kahatex,41640.0,4,2.0,
"Suzhou Flying Fashions Co., Ltd",42736.0,,2.0,
Vallabh Textiles Company Ltd,42736.0,4,2.0,www.vtcl.co.in
His Tekstil Sanayi ve Ticaret Ltd Sti,42767.0,7,2.0,www.histekstil.com.tr
Sri Vaarri Spinning Mills,41974.0,7,2.0,
Comfort Group,41760.0,4,2.0,
"Linqing Sanhe Textiles Group Co., Ltd.",42278.0,9,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Mundotextil - Industrial Texteis, SA",42644.0,5,3.0,http://www.mundotextil.pt/
Cargill,41214.0,12,2.0,
Bhaskar Industries Pvt. Ltd.,41671.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Jiangsu Huabao Textile Group,41579.0,7,2.0,
"Tejidos Royo, S.L.",41456.0,5,2.0,www.royotextile.com
Kautilya Industries Pvt Ltd,42614.0,4,2.0,
"Xiajin county tianrun textile co., Ltd",42430.0,7,2.0,
"Shanghai Met Imp.&Exp.Co.,Ltd.",42156.0,4,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Santuk Tekstil San ve Tic A.S,42339.0,9,3.0,
Sri Velayudhaswamy Spinning Mills Pvt Ltd.,42036.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Naveena Exports Ltd.,40513.0,4,2.0,
Cetinkaya Mensucat San ve Tic A.S,42430.0,4,2.0,
Producer Organisation,,,,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Kedarnath Ginning Pvt Ltd,42370.0,12,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Zafer Tekstil San. ve Tic. A.S.,42036.0,7,2.0,
Zhejiang Changshan Textile Co.Ltd.,42186.0,7,2.0,
"Rugao Ruxing Textile Co.,Ltd",42156.0,4,2.0,
Sitex-Swift,42036.0,4,2.0,
Davas Tekstil Sanayi Ticaret A.S,42644.0,7,2.0,www.davastekstil.com
Huafu Top Dyed Melange Yarn Co. Ltd.,40664.0,7,2.0,
Dalian Shenzhou Textiles Co. Ltd. Group,41030.0,7,2.0,
"Wahoo(Changshu) Imp&Exp Co., Ltd",41883.0,12,2.0,
Thapar Group / JCT Ltd.,41153.0,7,2.0,
Tavex Europe S.L.,42430.0,4,2.0,
"Tainan Spinning  Co., Ltd",42430.0,7,2.0,
"Shananxi Changrong Textile Co.,Ltd",42278.0,7,2.0,
"Sunvim Group Co., Ltd  No. 2 Towel Company",42095.0,9,2.0,
FM Denim Co Ltd,42217.0,4,2.0,
Indigo Textile (Pvt) Ltd,42036.0,7,2.0,
Mahima Fibres Pvt. Ltd.,41609.0,7,2.0,
Veritas Tekstil Konf Paz San Tic A.S,42430.0,9,3.0,
Civil Society,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Sorabh Traders,41883.0,12,2.0,
Rasi Tex (India) Pvt Ltd,42064.0,7,2.0,
Mehmud Industries Pvt Ltd,42552.0,7,2.0,
Foshan Deyingjia Textile Company CT,41487.0,6,2.0,
Turpan Esquel Textile Company Limited,42552.0,7,2.0,
Arik Bey Tekstil,41030.0,4,2.0,
Tirumala Cotton And Agro Products Pvt Ltd,42705.0,7,2.0,
Weifang Chang Hao Textile Co. Ltd.,41821.0,7,2.0,
VRA Cotton Mills Pvt Ltd,42064.0,12,2.0,
"Ilshin Vietnam Co., Ltd",42705.0,4,2.0,www.ilshinvn.com
Malwa Industries Ltd.,40787.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Rana Polycot Ltd,42370.0,7,2.0,
Maritas Tekstil San. ve Tic. A.S.,41913.0,4,2.0,
Prilla 2000 (Pty) Ltd.,42036.0,7,2.0,
Nantong Tangsheng Textile Co. LTD,42614.0,4,2.0,
Shahbaz Garments Pvt. Ltd.,42339.0,7,2.0,
Compagnie Malienne pour le developpement des textiles (CMDT),41730.0,11,2.0,
DML World Trade Pvt Ltd,42705.0,12,2.0,www.dmlgroup.in
Sindh Agro Industries,41730.0,12,2.0,
TCE Vina Denim Joint Stock Company,42401.0,6,3.0,
Youth Spinning Mills Ltd,42461.0,7,2.0,
Dok-San Denizli Dokuma San. ve Tic. A.S.,42430.0,9,3.0,
Sintex Industries Ltd (Yarn Division),42491.0,7,2.0,
Winnitex,40756.0,4,2.0,
Societe de Developpement et des Fibres Textiles (SODEFITEX),41730.0,11,2.0,
Nithin Textiles Pvt. Ltd.,42125.0,7,2.0,
Deniz Tekstil San. ve Tic. A.S.,41030.0,4,2.0,
Garg Acrylics Ltd.,41000.0,7,2.0,
SMM Textiles Ltd,42522.0,7,2.0,
"Zhejiang Zhuoyi Textile Co.,Ltd",41974.0,7,2.0,
Jeyavishnu Spintex Pvt Ltd,42736.0,7,2.0,
Sunrise Textile Group,40878.0,4,2.0,
Faisal Fabrics Ltd.,42248.0,6,3.0,
Crescent Textile Mills Ltd,42064.0,7,2.0,
Bossa,40878.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
C.A. Textile Mills (Pvt) Ltd,41944.0,7,2.0,
Kamal Ltd.,42036.0,9,2.0,
Rajasthan Textile Mills,42491.0,7,2.0,
Naheed Composite Textile Mills Limited,41821.0,7,2.0,
Subarna Textile,42491.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Anhui Hanlian Textile co.,Ltd",42491.0,7,2.0,
Shandong Linqing China Resources Textiles Co. Ltd.,41883.0,7,2.0,
Formosa Industries Corporation,42522.0,7,2.0,
"Dengzhou Yongtai Textile Co.,Ltd.",42370.0,4,2.0,
Rajvir Industries Ltd.,40360.0,7,2.0,
Jaideep India Pvt Ltd,42522.0,7,2.0,
KAM International,41699.0,9,2.0,
Suryalakshmi Cotton Mills Ltd.,41640.0,7,2.0,
Arvind Ltd.,40513.0,4,2.0,
M M Yarns Pvt Ltd,42491.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Erdem Tekstil,41579.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
"Qingdao Jifa Shengbao Textile Co., Ltd",42125.0,7,2.0,
Maharaja Shree Umaid Mills Ltd,42370.0,7,2.0,
XPCC No.5 Cotton&Linen Corp,42156.0,12,2.0,
KKP Textiles Ltd.,41944.0,7,2.0,
Shree Siddhivinayak Cotspin Pvt Ltd,42705.0,7,2.0,www.sscotspin.com
GRG Cotspin Pvt Ltd,42705.0,7,2.0,www.grggroup.in
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Mocotex S.A.,42036.0,11,2.0,
Nantong Dafuhao Textile Technology Co. Ltd.,41760.0,7,2.0,
Rajapalayam Textile Ltd,42614.0,7,2.0,
Jiangsu Yulun Textile Group Ltd.,41579.0,4,2.0,
Liberty Knitwear Ltd,42522.0,9,3.0,
Yunus Textile Mills Ltd.,41821.0,7,2.0,
Gul Ahmed Textile Mills,40848.0,4,2.0,
Artistic Milliners,40725.0,4,2.0,
Phenix Spinning Pvt Ltd,42705.0,7,2.0,www.phenixspinning.com
Sagar Manufacturers Pvt Ltd,42705.0,7,2.0,www.sagarmanufacturers.com
Bannari Amman Spinning Mills Ltd.,41730.0,7,2.0,
GTN Industries/GTN Engineering (India) Ltd.,40940.0,4,2.0,
Machiyara Group,41487.0,9,2.0,
"ZheJiang XinMian Textile Co.,Ltd",41944.0,7,2.0,
UTAH Spinning Mills Limited,41913.0,7,2.0,
"Jining Delong Textile Co.,Ltd",42095.0,4,2.0,
Yonca Iplik Ticaret A.S,42461.0,7,2.0,
Pacific Best Ltd,42675.0,8,3.0,
Henan Pingmian Textile Group,41487.0,4,2.0,
Technocraft Industries Limited,41974.0,7,2.0,
Purbani Group,42125.0,7,2.0,
Orta Anadolu Tic.ve San. Isletmesi T.A.S,40664.0,4,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,12,2.0,
Retailers and Brands,,,,
C&A AG,42248.0,3,0.0,www.c-and-a.com
Suppliers and Manufacturers,,,,
"Yixing Jin Yu Textile Co., Ltd",42705.0,,2.0,www.qfc.cn/company/d408466/
Civil Society,,,,
Suppliers and Manufacturers,,,,
Kikani Exports Pvt Ltd,42767.0,4,2.0,www.kikaniexports.com
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Yunus Tekstil,42217.0,4,2.0,
Wuxi Jingwei Textile Technology Test Co. Ltd.,41579.0,7,2.0,
Nantong Shuanglian,41518.0,7,2.0,
"Dezhou Yuanji Textile Co., Ltd",42064.0,6,2.0,
"Tung Ho Textile Co.,Ltd",42675.0,7,2.0,www.tungho.com.tw
Tulip Towel Industries (Pvt) Ltd.,42705.0,9,3.0,www.tuliptowel.com.pk
"Silver Composite Textile Mills Ltd (Unit-3, Textile)",42522.0,6,3.0,
Chiem Patana Textiles Co. Ltd.,41760.0,4,2.0,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Associate Members,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
CFT Pietro Masserini Spa,42736.0,7,2.0,www.cftmasserini.com
Shahi Exports Pvt. Ltd.,41944.0,4,2.0,
