Subtitle,Account Name,Contract Start Date,Membership Category,Membership Level,Website
Suppliers and Manufacturers,NSL Textile Ltd.,40360.0,4,2.0,
Suppliers and Manufacturers,SEL Manufacturing Co. Ltd.,41030.0,7,2.0,
Suppliers and Manufacturers,HuNan LouXing Textile Ltd.,42522.0,7,2.0,
Suppliers and Manufacturers,"Jiangsu Donghua Textile Co., Ltd",41974.0,7,2.0,
Suppliers and Manufacturers,Zaber & Zubair Fabrics Ltd.,41579.0,4,2.0,
Retailers and Brands,Fat Face Ltd.,42675.0,3,0.0,www.fatface.com
Suppliers and Manufacturers,Diamond International Co. Ltd.,42309.0,7,2.0,
Civil Society,Reviving Green Revolution (RGR) Cell,42036.0,1,0.0,www.rgrcell.org
Suppliers and Manufacturers,"Nanpi Huayu Cotton Industry Co.,Ltd",42248.0,7,2.0,
Retailers and Brands,Gap Inc.,42430.0,3,0.0,www.gapinc.com
Suppliers and Manufacturers,Ghazi Fabrics International Ltd.,41091.0,4,2.0,
Suppliers and Manufacturers,Ring Shine Textiles Ltd.,42186.0,6,3.0,
Suppliers and Manufacturers,Zahidjee Textile Mills Limited,42736.0,4,2.0,www.zahidjee.com.pk
Suppliers and Manufacturers,Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,7,2.0,
Suppliers and Manufacturers,Saiham Textile Mills Ltd,42767.0,7,2.0,www.saihamtextile.com
Suppliers and Manufacturers,Kongkiat Textile,42370.0,7,2.0,
Suppliers and Manufacturers,Jiangsu Liangji Group Co. Ltd.,41609.0,4,2.0,
Suppliers and Manufacturers,"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",41579.0,7,2.0,
Suppliers and Manufacturers,"Fujian Changle Changyuan Textile Co.,Ltd",42522.0,7,2.0,
Suppliers and Manufacturers,"Changzhou Hengji Textile Co., Ltd",42156.0,4,2.0,
Suppliers and Manufacturers,Delta Spinners Ltd,42583.0,7,2.0,
Suppliers and Manufacturers,"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,7,2.0,
Suppliers and Manufacturers,J.K. Spinning Mills Ltd,42309.0,7,2.0,
Suppliers and Manufacturers,Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,4,2.0,
Suppliers and Manufacturers,"Yancheng Xue Er Textile co., Ltd",42491.0,7,2.0,
Suppliers and Manufacturers,Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,41000.0,7,2.0,
Suppliers and Manufacturers,Internet Tekstil San. ve Tic. A.S.,41913.0,4,2.0,
Suppliers and Manufacturers,Sree Lalitha Parameswari Spinning Mills Pvt Ltd,42095.0,7,2.0,
Suppliers and Manufacturers,Vaibhav Laxmi Export Pvt. Ltd.,40848.0,12,2.0,
Suppliers and Manufacturers,"CVS Distributor Co., Ltd.",42156.0,10,3.0,
Suppliers and Manufacturers,Meezan Enterprises Pvt. Ltd.,42705.0,12,2.0,
Suppliers and Manufacturers,Weiqiao Textile Co. Ltd.,41821.0,4,2.0,
Suppliers and Manufacturers,Techno Spinning Mills Ltd.,42036.0,7,2.0,
Suppliers and Manufacturers,"Loeb & Company, Inc.",42614.0,12,2.0,
Suppliers and Manufacturers,"Foshan Xindongpo Textile Co., Ltd",42522.0,7,2.0,
Suppliers and Manufacturers,Metco Textile Pvt. Ltd.,41640.0,7,2.0,
Suppliers and Manufacturers,Lotus Integrated Tex Park Ltd (Melange Unit),42491.0,7,2.0,
Suppliers and Manufacturers,Mafatlal Industries Ltd,40756.0,7,2.0,
Suppliers and Manufacturers,"XianYang China Resources Textiles Co.,Ltd",42248.0,4,2.0,
Suppliers and Manufacturers,Masood Textile Mills Ltd.,42036.0,4,2.0,
Suppliers and Manufacturers,Damodar Industries Limited,41821.0,7,2.0,
Suppliers and Manufacturers,Nishat Mills,40725.0,4,2.0,
Suppliers and Manufacturers,RKS Cotton Pvt Ltd,42644.0,12,2.0,
Suppliers and Manufacturers,"Jingzhou Aoda Textile Co., Ltd",42767.0,,2.0,
Suppliers and Manufacturers,Glossy Impex Pvt Ltd,42705.0,12,2.0,www.glossy.in
Suppliers and Manufacturers,Jiangsu Lugang Science & Technology Co. Ltd.,41640.0,4,2.0,
Suppliers and Manufacturers,Besler Tekstil San. Tic. A.S,42370.0,7,2.0,
Suppliers and Manufacturers,Organi Mark (Pty) Ltd,42675.0,12,2.0,www.organimark.co.za
Suppliers and Manufacturers,Sanko Tekstil,40634.0,4,2.0,
Civil Society,Ambuja Cement Foundation,40575.0,1,0.0,www.ambujacementfoundation.org
Suppliers and Manufacturers,Manufacturas Kaltex SA de CV,42370.0,4,2.0,
Suppliers and Manufacturers,"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,2.0,
Suppliers and Manufacturers,R Group,42217.0,9,3.0,
Suppliers and Manufacturers,Selcuk Iplik San. ve Tic. A.S.,42705.0,4,2.0,www.selcukgroup.com
Suppliers and Manufacturers,Shakthi Knitting Ltd,42370.0,6,3.0,
Suppliers and Manufacturers,Bhalchandram Clothing Ltd (Lahoti Group),42248.0,12,2.0,
Suppliers and Manufacturers,Guangzhou Kangjian Textile and Clothing Co Ltd,42036.0,6,2.0,
Suppliers and Manufacturers,DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,42736.0,7,2.0,www.dvstekstil.com
Retailers and Brands,Tom Tailor GmbH,42583.0,3,0.0,www.tom-tailor.com
Suppliers and Manufacturers,Kalpataruvu Spinning Mills Ltd,42736.0,7,2.0,
Suppliers and Manufacturers,"Ningbo Zhongxin Wool Textile Group Co.,Ltd",42036.0,7,2.0,
Suppliers and Manufacturers,Siddiqsons Ltd.,41030.0,4,2.0,
Suppliers and Manufacturers,Al Rahim Textile Industries,42430.0,6,3.0,
Suppliers and Manufacturers,Top Star Textiles,40756.0,6,2.0,
Suppliers and Manufacturers,Nahar Group of Companies,41000.0,7,2.0,
Civil Society,Organization for Social Development Initiatives,40787.0,1,0.0,www.osdi.org
Suppliers and Manufacturers,"Kuang-You Enterprise Co.,Ltd",42217.0,7,2.0,
Suppliers and Manufacturers,PT Pacific Texindo Industry,42552.0,7,2.0,
Producer Organisation,Kashtkar Development Organisation,40634.0,2,0.0,
Suppliers and Manufacturers,"Jiangyin Kangni Textiles Co.,Ltd.",42491.0,7,2.0,
Suppliers and Manufacturers,PT Lucky Print Abadi,42705.0,5,3.0,www.luckytex.com
Suppliers and Manufacturers,Vertical Knits SA DE CV,42186.0,6,3.0,
Suppliers and Manufacturers,Asia Composite Mills Ltd,42309.0,7,2.0,
Suppliers and Manufacturers,"Wuxi JHT Homewares Co.,Ltd",41974.0,9,2.0,
Suppliers and Manufacturers,"JiangYin  BeiYe Textile Co.,Ltd",42156.0,7,2.0,
Suppliers and Manufacturers,Shanghai Lianfeng Textile & Garment Co. Ltd.,42064.0,4,2.0,
Suppliers and Manufacturers,Texhong Textile Group Ltd.,41609.0,7,2.0,
Suppliers and Manufacturers,RMT Textile Mills Ltd.,41883.0,7,2.0,
Suppliers and Manufacturers,Pak Kuwait Textiles Limited,42614.0,7,2.0,
Suppliers and Manufacturers,Shandong Binzhou Nongxi Cotton Professional Cooperative,42461.0,12,0.0,
Suppliers and Manufacturers,Chenduran Cotspin (India) Pvt Ltd,42767.0,7,2.0,
Suppliers and Manufacturers,Yiwu Hengsheng Textile Co. Ltd,42522.0,7,2.0,
Suppliers and Manufacturers,Becri - Malhas e Confeccoes S. A.,42217.0,9,3.0,
Suppliers and Manufacturers,"Zhonghua Group Co. ,Ltd",41944.0,7,2.0,
Suppliers and Manufacturers,Berto Industria Tessile SRL,41091.0,6,3.0,
Suppliers and Manufacturers,Aarti International Ltd.,41671.0,7,2.0,
Suppliers and Manufacturers,Mittapalli Spinners Ltd,42705.0,7,2.0,www.mittapallispinners.com
Producer Organisation,Staple Cotton Cooperative Association,42614.0,2,0.0,www.staplcotn.com
Suppliers and Manufacturers,Thats It Sweater Ltd,42583.0,9,3.0,
Suppliers and Manufacturers,"Jiaozuo Haihua Textile Co.,Ltd",42186.0,7,2.0,
Suppliers and Manufacturers,Kohinoor Mills Ltd,42036.0,6,3.0,
Suppliers and Manufacturers,Engelhart CTP (Singapore) Pte Ltd,42036.0,12,2.0,
Suppliers and Manufacturers,Mei Sheng Textiles Vietnam Co. Ltd.,42705.0,4,2.0,
Associate Members,United States Fashion Industry Association (USFIA),42278.0,0,0.0,www.usfashionindustry.com
Suppliers and Manufacturers,Maibom Textilvertriebs GmbH,42552.0,6,3.0,
Suppliers and Manufacturers,"Sichuan Tian Yi Textiles Co.,Ltd",42156.0,7,2.0,
Suppliers and Manufacturers,"Kyungbang Vietnam Co., Ltd",42675.0,7,2.0,Kyungbangvn.com
Suppliers and Manufacturers,AA Coarse Spun Ltd,42552.0,7,2.0,
Suppliers and Manufacturers,"Hubei Jinghua Textile Group Co.,Ltd",42430.0,7,2.0,
Suppliers and Manufacturers,Shujabad Weaving Mills Ltd,42095.0,6,2.0,
Suppliers and Manufacturers,Innovative Textiles Ltd,42552.0,4,2.0,
Suppliers and Manufacturers,Vardhman Polytex,41760.0,7,2.0,
Suppliers and Manufacturers,Palani Vijay Cottspin Pvt Ltd,42064.0,7,2.0,
Suppliers and Manufacturers,Antonio de Almeida & Filhos Texteis SA,42705.0,7,2.0,www.moretextilegroup.com
Suppliers and Manufacturers,Dongguan UPW Ltd,41944.0,7,2.0,
Suppliers and Manufacturers,Spectrum International Pvt. Ltd.,41426.0,12,2.0,
Suppliers and Manufacturers,Tianli Spinning (Mauritius) Co. Ltd.,42095.0,7,2.0,
Suppliers and Manufacturers,Globex Agency,42339.0,7,2.0,
Civil Society,Lok Sanjh Foundation,41579.0,1,0.0,www.loksanjh.org
Suppliers and Manufacturers,Synthesis Home Textiles Pvt Ltd,42186.0,9,3.0,
Suppliers and Manufacturers,K.P.R Mill Ltd.,41671.0,4,2.0,
Suppliers and Manufacturers,Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),41091.0,7,2.0,
Suppliers and Manufacturers,Sri Jayajothi & Co Ltd,42491.0,7,2.0,
Suppliers and Manufacturers,Karsu Tekstil,42125.0,4,2.0,
Retailers and Brands,Madewell Inc.,42491.0,3,0.0,madewell.com
Suppliers and Manufacturers,GRV Spintex Pvt Ltd,42430.0,7,2.0,
Suppliers and Manufacturers,Bafna Ginning & Pressing Pvt Ltd,42156.0,12,2.0,
Suppliers and Manufacturers,Sutlej Textiles & Industries Ltd.,41974.0,7,2.0,
Suppliers and Manufacturers,Abishek Industries Ltd./ Trident,40544.0,4,2.0,
Producer Organisation,XPCC No.6 Cotton&Linen Corp,42217.0,2,0.0,
Suppliers and Manufacturers,"Haining Bafang Weaving Co.,Ltd.",41974.0,4,2.0,
Suppliers and Manufacturers,Chenniappa Yarn Spinners Pvt Ltd,42736.0,7,2.0,www.chenniappa.com
Suppliers and Manufacturers,Shijiazhuang Changshan Hengxin Textile Co. Ltd.,41760.0,7,2.0,
Suppliers and Manufacturers,Erve Buying,42736.0,Sourcing Agent,3.0,www.erve.com
Suppliers and Manufacturers,Novetex Textiles Ltd.,41821.0,7,2.0,
Suppliers and Manufacturers,Zahra Textile,42583.0,7,2.0,
Suppliers and Manufacturers,Dakota Industrial Co. Ltd.,41244.0,9,3.0,
Suppliers and Manufacturers,Klopman International SRL,42491.0,6,3.0,
Suppliers and Manufacturers,Arif Knitspin Ltd,42522.0,7,2.0,
Suppliers and Manufacturers,Bari Textile Mills Pvt Ltd.,42736.0,9,3.0,
Suppliers and Manufacturers,AB Cotspin India Ltd,42248.0,4,2.0,
Suppliers and Manufacturers,RCMA Asia Pte Limited,42461.0,12,2.0,
Suppliers and Manufacturers,"DNM Textile for Spinning, Weaving and Dyeing",41487.0,4,2.0,
Suppliers and Manufacturers,Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,41609.0,7,2.0,
Suppliers and Manufacturers,"Jiangsu Xin Nong Xin Textile Co., Ltd",42705.0,12,2.0,2014
Suppliers and Manufacturers,Sportking India Ltd.,41030.0,7,2.0,
Suppliers and Manufacturers,Sitaram Spinners Private Limited,41821.0,7,2.0,
Suppliers and Manufacturers,Yesim Tekstil San. ve Tic. A.S.,41153.0,4,2.0,
Suppliers and Manufacturers,Plummy Fashions Limited,42278.0,6,3.0,
Suppliers and Manufacturers,Socota Textile and Clothing Division,42248.0,6,3.0,
Suppliers and Manufacturers,Mandhana Industries Ltd.,41244.0,6,3.0,
Suppliers and Manufacturers,Al - Karam Towel Industries (Pvt.) Ltd.,42705.0,6,3.0,www.alkaramtowelindustries.com
Suppliers and Manufacturers,"Yixing Lucky Textiles Group Co., Ltd",42491.0,6,2.0,
Suppliers and Manufacturers,Gokhan Tekstil San ve Tic A.S,42736.0,4,2.0,www.gokhan.com.tr
Suppliers and Manufacturers,Umar Spinning Mills Pvt Ltd,42036.0,7,2.0,
Producer Organisation,Akesu Jintian Farm Co. Ltd.,41244.0,2,0.0,
Suppliers and Manufacturers,"Tongxiang Yunsheng Textile Co.,Ltd",42583.0,4,2.0,
Suppliers and Manufacturers,"Zhejiang Shengfu Trading Co., Ltd",42522.0,12,2.0,
Suppliers and Manufacturers,Kallam Spinning Mills Ltd,42339.0,7,2.0,
Suppliers and Manufacturers,"Hunan Huihua Anjiang Textile Co.,Ltd",42675.0,,2.0,
Suppliers and Manufacturers,Balavigna Weaving Mills Pvt Ltd,42705.0,6,3.0,www.balavignaorganic.com
Suppliers and Manufacturers,PT Bitratex Industries,42491.0,7,2.0,
Suppliers and Manufacturers,Brastex S/A,42736.0,4,2.0,www.gso.br/brastex/index.htm
Suppliers and Manufacturers,"Turbo Yarn, S.A. de C.V.",42675.0,7,2.0,www.turboyarn.com.mx
Suppliers and Manufacturers,Ekoten Tekstil,41609.0,6,3.0,
Suppliers and Manufacturers,"Zouping Tongda Textile Co., Ltd.",42430.0,7,2.0,
Suppliers and Manufacturers,Dezhou Huayuan Eco-Technology Co.,41334.0,7,2.0,
Retailers and Brands,IC Group,41640.0,3,0.0,www.ICGroup.net
Suppliers and Manufacturers,WCT Holding,42248.0,12,2.0,
Suppliers and Manufacturers,Shreedhar Cotsyn Private Ltd.,41821.0,12,2.0,
Suppliers and Manufacturers,Qingdao York Fashion Manufacture,41456.0,9,2.0,
Suppliers and Manufacturers,Luoyang White Horse Group Co.Ltd.,42036.0,4,2.0,
Suppliers and Manufacturers,Reha Tekstil Dis Ticaret ve San A.S,42522.0,9,3.0,
Suppliers and Manufacturers,PT Kewalram Indonesia,42339.0,7,2.0,
Suppliers and Manufacturers,Pee Vee Textiles Ltd,42156.0,4,2.0,
Suppliers and Manufacturers,"Changyi Huachen Yuesheng Textile Co.,Ltd",42339.0,7,2.0,
Retailers and Brands,Coop,42522.0,3,1.0,www.coop.ch
Civil Society,We Care Society,41395.0,1,0.0,www.wcs.org.in
Suppliers and Manufacturers,PT Argo Pantes TBK,42430.0,4,2.0,
Civil Society,Community Action For Rural Development Society,41913.0,1,0.0,cardanj.org
Suppliers and Manufacturers,Jiangsu New Jinlan Textile Apparel Co. Ltd.,41579.0,4,2.0,
Suppliers and Manufacturers,RMP Fab Sourcing Pvt Ltd,42309.0,6,3.0,
Suppliers and Manufacturers,Sangeeth Textiles Pvt Ltd,42309.0,7,2.0,
Retailers and Brands,No Ordinary Designer Label ltd (Ted Baker),42461.0,3,0.0,www.tedbaker.com
Suppliers and Manufacturers,United Spinning Mills (Pvt) Ltd.,42705.0,7,2.0,
Suppliers and Manufacturers,KKP Spinning Mills,41518.0,7,2.0,
Suppliers and Manufacturers,"Shandong Lichang Textile Science and Technology Co.,Ltd",41944.0,4,2.0,
Civil Society,Farmer Association For Rural Management (FARM),42552.0,1,0.0,www.farmgujarat.com
Producer Organisation,Farmers Associates of Pakistan,40179.0,2,0.0,www.farmersassociates.com
Suppliers and Manufacturers,SVA Syntex Pvt Ltd,42736.0,7,2.0,
Suppliers and Manufacturers,Ahuja Cotspin Pvt. Ltd.,42217.0,7,2.0,
Suppliers and Manufacturers,Isil Tekstil San. ve Tic. Ltd. Sti.,42036.0,4,2.0,
Civil Society,Kamalnayan Jamnalal Bajaj Foundation,42461.0,1,0.0,www.bajajfoundation.org
Suppliers and Manufacturers,"Shaanxi Qinyuan Textile Co.,Ltd",42614.0,4,2.0,
Suppliers and Manufacturers,"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,4,2.0,
Suppliers and Manufacturers,Sadirlar Alliance Tekstil A.S,42736.0,6,3.0,www.satekstil.com.tr
Suppliers and Manufacturers,"Shangqiu Huifeng Cotton Industry Co., Ltd.",42736.0,7,2.0,www.hfmianye.com
Suppliers and Manufacturers,Lucky Knits (Pvt.) Ltd,42430.0,9,3.0,
Suppliers and Manufacturers,Minateks,41609.0,7,2.0,
Suppliers and Manufacturers,Ravv Tekstil,42156.0,9,3.0,
Suppliers and Manufacturers,Master Textile Mills Ltd.,41153.0,4,2.0,
Suppliers and Manufacturers,Ipek Tekstil ve Dis Tic. A.S,42339.0,7,2.0,
Suppliers and Manufacturers,Eastman Exports Global Clothing,40878.0,4,2.0,
Suppliers and Manufacturers,"MCM Industrias Texteis, S.A.",42339.0,4,2.0,
Suppliers and Manufacturers,Anita's Textiles Ltd,42217.0,6,2.0,
Suppliers and Manufacturers,Mem Tekstil Sanayi ve Ticaret A.S,42156.0,4,2.0,
Suppliers and Manufacturers,Syed Spinning & Cotton Mills Ltd.,42461.0,7,2.0,
Suppliers and Manufacturers,Jiaxing Qiuxin Textile Co. Ltd.,41487.0,7,2.0,
Suppliers and Manufacturers,Paramount Textile Ltd.,42156.0,6,3.0,
Suppliers and Manufacturers,"TongXiang YiDe Textile Co.,Ltd.",42644.0,,2.0,www.yidegroup.cn
Suppliers and Manufacturers,Zorluteks Tekstil,40756.0,9,2.0,
Retailers and Brands,Woolworths Holdings Limited,41821.0,3,0.0,www.woolworthsholdings.co.za
Suppliers and Manufacturers,"Textil Santanderina, S.A.",41974.0,4,2.0,
Suppliers and Manufacturers,Kikani Enterprises Pvt Ltd,42278.0,10,3.0,
Suppliers and Manufacturers,Cone Denim,42156.0,4,2.0,
Suppliers and Manufacturers,Green House Ltd,41974.0,7,2.0,
Suppliers and Manufacturers,"Xindadong Textiles(VIETNAM)Co.,Ltd",42064.0,7,2.0,
Suppliers and Manufacturers,Ramatex Pvt. Ltd.,41091.0,4,2.0,
Suppliers and Manufacturers,Sarmangal Synthetics Pvt Ltd,42767.0,7,2.0,www.sarmangal.com
Retailers and Brands,Thomas Pink Ltd.,42036.0,3,0.0,www.thomaspink.com
Suppliers and Manufacturers,S Raja Exports,40848.0,12,2.0,
Suppliers and Manufacturers,Shandong Dashing Cashmere Products Co.ltd,42644.0,,2.0,
Suppliers and Manufacturers,H.A.Fibres Pvt Ltd,42125.0,7,2.0,
Suppliers and Manufacturers,Heinrich Otto K.-G.,42736.0,8,3.0,www.heinrichotto.com
Suppliers and Manufacturers,Aarthi A1 Traders,41395.0,9,2.0,
Suppliers and Manufacturers,Badsha Textiles Ltd,42309.0,7,2.0,
Suppliers and Manufacturers,Welspun India Limited,41821.0,4,2.0,
Suppliers and Manufacturers,"Saigon Joubo Textile Co., Ltd.",42614.0,4,2.0,
Producer Organisation,"Xinjiang West Yinli Cotton(Group) Co.,Ltd",42125.0,2,0.0,www.westcotton.com
Suppliers and Manufacturers,Culimeta - Saveguard Ltd.,42614.0,7,2.0,www.culimeta-saveguard.com
Suppliers and Manufacturers,Adim Tekstil San. ve Tic. A.S.,42095.0,7,2.0,
Suppliers and Manufacturers,Pride Manufacturing de R.L.,42705.0,4,2.0,www.grupokarimsyarn.com
Suppliers and Manufacturers,Sri Karpagam Mills India Pvt Ltd,42430.0,7,2.0,
Suppliers and Manufacturers,Glencore Agriculture B.V.,42036.0,12,2.0,
Suppliers and Manufacturers,IFC,41456.0,Financial Institutions,0.0,www.ifc.org
Retailers and Brands,Ralph Lauren Corporation,42491.0,3,1.0,www.ralphlauren.com
Suppliers and Manufacturers,PT. Spinmill Indah Industry,42736.0,7,2.0,
Suppliers and Manufacturers,Gillanders Arbuthnot & Co. Ltd,42248.0,7,2.0,
Suppliers and Manufacturers,PT. Embee Plumbon Tekstil,42675.0,7,2.0,www.embeetex.com
Suppliers and Manufacturers,"Zhejiang Lucky Bird Textile Co.,Ltd",41944.0,7,2.0,
Suppliers and Manufacturers,Grospinz Fabz Limited,41883.0,7,2.0,
Suppliers and Manufacturers,Gohar Textile Mills (Pvt) Ltd.,41974.0,7,2.0,
Suppliers and Manufacturers,Om India Trading Company Pvt Ltd,42795.0,12,2.0,www.indiatradingco.com
Suppliers and Manufacturers,S T Cottex Exports Pvt Ltd,42278.0,7,2.0,
Suppliers and Manufacturers,"Siyu Group Co.,Ltd",42339.0,12,2.0,
Civil Society,Action For Food Production (AFPRO),40360.0,1,0.0,www.afpro.org
Suppliers and Manufacturers,Alpine Knits India Pvt. Ltd.,41671.0,7,2.0,
Suppliers and Manufacturers,BSB Spinning Mills Ltd,42491.0,7,2.0,
Suppliers and Manufacturers,Shri Vallabh Pittie Industries Ltd,42705.0,7,2.0,www.pittie.com
Suppliers and Manufacturers,Kardem Tekstil San. ve Tic. AS,41791.0,9,2.0,
Suppliers and Manufacturers,Kikani International Pvt Ltd,42461.0,10,3.0,
Suppliers and Manufacturers,Al-Muqeet Textiles (Private) Limited,42125.0,7,2.0,
Retailers and Brands,PUMA SE,42370.0,3,0.0,www.puma.com
Suppliers and Manufacturers,Dabiruddin Spinning Mills Ltd,42736.0,7,2.0,www.salmagroup.com.bd
Suppliers and Manufacturers,Pahartali Textile & Hosiery Mills,41730.0,7,2.0,
Suppliers and Manufacturers,Sapphire Group,41306.0,4,2.0,
Suppliers and Manufacturers,Rajapalayam Mills Limited,41913.0,7,2.0,
Suppliers and Manufacturers,Zephyr Textiles Ltd.,42767.0,,3.0,
Civil Society,Iyi Pamuk Uygulamalari Dernegi IPUD (Good Cotton Practices Assocation),41730.0,1,0.0,www.iyipamuk.org.tr
Suppliers and Manufacturers,Sri Sivajothi Spinning Mills Pvt Ltd,42736.0,7,2.0,
Suppliers and Manufacturers,"PiZhou Yinchao Textile Co.,Ltd",42491.0,4,2.0,
Suppliers and Manufacturers,PT Indo-Rama Synthetics TBK.,42339.0,4,2.0,
Suppliers and Manufacturers,Theni Guru Krishna Textile Mills Pvt Ltd,42705.0,4,2.0,www.atktextiles.com
Suppliers and Manufacturers,Raghukaushal Textile Pvt Ltd,42491.0,Garment Manufacturer,3.0,
Producer Organisation,Xinjiang Luthai Fengshou Cotton Industry Co. Ltd.,41244.0,2,0.0,www.ltfsmy.com
Suppliers and Manufacturers,Bajwa Spinning Mills (Pvt) Limited,42430.0,7,2.0,
Suppliers and Manufacturers,Prem Textiles International Pvt Ltd,42736.0,4,2.0,www.premtextiles.com
Suppliers and Manufacturers,"Yangzhou Yitai Textile CO.,LTD.",42795.0,7,2.0,
Producer Organisation,Better Farmer Organization (BFO),41821.0,2,0.0,
Suppliers and Manufacturers,Jolly Enterprise,42461.0,12,2.0,
Suppliers and Manufacturers,Bussa Tekstil ve Enerji Ltd.Sti,42644.0,12,2.0,www.bussatekstil.com
Retailers and Brands,Tesco Clothing,40360.0,3,0.0,www.tesco.com
Suppliers and Manufacturers,Matam Fibre Mills Ltd,42552.0,7,2.0,
Suppliers and Manufacturers,"Xiajin County Ruixin Textile Co.,Ltd",42430.0,7,2.0,
Suppliers and Manufacturers,"Tai Yuen Textile Co.,Ltd",41913.0,4,2.0,
Civil Society,Alliance for Water Stewardship (AWS),42675.0,1,0.0,www.allianceforwaterstewardship.org
Suppliers and Manufacturers,Vikrant International Pvt. Ltd.,41883.0,12,2.0,
Suppliers and Manufacturers,"Yancheng Haicheng Cotton Industry Co.,Ltd",42186.0,7,2.0,
Suppliers and Manufacturers,Anhui Huamao Textile Co. Ltd.,41671.0,4,2.0,
