original_title,production_companies
Brooklyn," Parallel Film Productions,  Item 7,  Irish Film Board, Wildgaze Films"
Brooklyn's Finest," Millennium Films, Nu Image Films,  Langley Productions,  Thunder Road Productions,  Fuqua Films"
Brothers,"Lionsgate,  Michael De Luca Productions,  Sighvatsson Films,  Palomar Pictures (II),  Relativity Media"
Bruce Almighty," Pit Bull Productions, Universal Pictures,  Shady Acres Entertainment,  Spyglass Entertainment"
Bullet to the Head," Silver Reel,  IM Global,  Automatik Entertainment, Dark Castle Entertainment,  After Dark Films"
Burke & Hare," Quickfire Films,  Fragile Films,  Prescience,  Aegis Film Fund, Ealing Studios"
Burlesque,Bedford Falls Productions
Burn After Reading,"Mike Zoss Productions,  Working Title Films,  Relativity Media,  Studio Canal,  Focus Features"
Burnt," PeaPie Films, Double Feature Films,  3 Arts Entertainment"
Cake,"Echo Films,  We're Not Brothers Productions,  Cinelou Films"
Calendar Girls," Touchstone Pictures, Harbour Pictures"
Capitalism: A Love Story," Paramount Vantage, The Weinstein Company"
Capote," Eagle Vision Inc.,  Cooper's Town Productions,  Manitoba Film and Video Production Tax Credit, Sony Pictures Classics,  Province of British Columbia Production Services Tax Credit"
Captain America: The First Avenger,Marvel Studios
Captain America: The Winter Soldier,Marvel Studios
Captain Phillips,Columbia Pictures
Captivity," Captivity Productions, Foresight Unlimited,  RAMCO"
Carnage," Constantin Film Produktion,  Cin̩Cin̩ma,  Zanagar Films, Wild Bunch,  Canal+"
Carol,"Killer Films,  Film4,  Number 9 Films"
Carrie," Metro-Goldwyn-Mayer (MGM), Screen Gems,  Misher Films"
Cars,"Walt Disney Pictures,  Pixar Animation Studios"
Cars 2,"Walt Disney Pictures,  Pixar Animation Studios"
Case 39," Anonymous Content, Paramount Vantage,  Case 39 Productions,  Misher Films"
Casino Royale,Eon Productions
Cast Away," Playtone,  Twentieth Century Fox Film Corporation,  ImageMovers, DreamWorks SKG"
Catch Me If You Can," Splendid Pictures,  Kemp Company, DreamWorks SKG"
Catch and Release,"Columbia Pictures Corporation,  Relativity Media"
Cats & Dogs," Zide-Perry Productions,  Warner Bros.,  Mad Chance,  NPV Entertainment, Village Roadshow Pictures"
Cats & Dogs 2 : The Revenge of Kitty Galore,Village Roadshow Pictures
Catwoman," Warner Bros.,  Maple Shade Films,  Frantic Films, Village Roadshow Pictures,  DiNovi Pictures"
Cellular,New Line Cinema
Centurion," Canal+, Path̩ Pictures International,  Warner Bros.,  UK Film Council,  Celador Films"
Changeling," Relativity Media, Imagine Entertainment,  Malpaso Productions"
Changing Lanes,Paramount Pictures
Chappie," Genre Films,  Sony Pictures Entertainment (SPE), Columbia Pictures,  Media Rights Capital,  Alpha Core"
Charlie St. Cloud," Relativity Media,  Marc Platt Productions, Universal Pictures"
Charlie Wilson's War,"Universal Pictures,  Participant Productions,  Playtone Production"
Charlie and the Chocolate Factory," The Zanuck Company, Village Roadshow Pictures,  Plan B Entertainment,  Tim Burton Productions,  Warner Bros."
Charlie's Angels,Columbia Pictures
Charlie's Angels: Full Throttle," Flower Films (II),  Tall Trees Productions, Columbia Pictures Corporation,  Wonderland Sound and Vision"
Cheaper by the Dozen," Robert Simonds Productions, Twentieth Century Fox Film Corporation"
Cheaper by the Dozen 2,Twentieth Century Fox Film Corporation
Chef," Aldamisa Entertainment,  Kilburn Media, Open Road Films,  Fetisov Teterin Films"
Chicago," Producers Circle, Miramax Films,  Storyline Entertainment"
Chicken Little," Walt Disney Feature Animation, Walt Disney Pictures"
Chicken Run," DreamWorks Animation,  Path̩,  Aardman Animations, DreamWorks SKG"
Child 44," Scott Free Productions,  Worldview Entertainment, Summit Entertainment"
Children of Men," Strike Entertainment, Universal Pictures,  Hit & Run Productions"
Chloe," Montecito Picture Company,  Outpost Studios,  The, StudioCanal"
Chocolat,"Miramax Films,  David Brown Productions,  Fat Free"
Chronicle," Davis Entertainment,  Adam Schroeder Productions, Twentieth Century Fox Film Corporation,  Dune Entertainment"
Cinderella,"Walt Disney Pictures,  Genre Films,  Beagle Pug Films,  Allison Shearmur Productions"
Cinderella Man," Imagine Entertainment,  Universal Pictures,  Touchstone Pictures,  Parkway Pictures (I), Miramax Films"
Cirque du Freak: The Vampire's Assistant,Universal Pictures
City By The Sea,"Warner Bros. Pictures,  Sea Breeze Productions Inc.,  Epsilon Motion Pictures,  Brad Grey Pictures,  Franchise Pictures"
City of Ember,"Playtone,  Walden Media"
Clash of the Titans," Thunder Road Pictures, The Zanuck Company,  Warner Bros.,  Moving Picture Company (MPC),  Legendary Pictures"
Clerks II," View Askew Productions, The Weinstein Company"
Click," Columbia Pictures Corporation,  Happy Madison Productions,  Revolution Studios, Original Film"
Clockstoppers," Valhalla Motion Pictures, Paramount Pictures,  Nickelodeon Movies"
Closer,Columbia Pictures
Cloud Atlas," ARD Degeto Film,  Ascension Pictures, Anarchos Productions,  X-Filme Creative Pool,  Cloud Atlas Productions"
Cloudy with a Chance of Meatballs,"Columbia Pictures,  Sony Pictures Animation"
Cloudy with a Chance of Meatballs 2," Sony, Columbia Pictures"
Cloverfield,"Paramount Pictures,  Bad Robot"
Club Dread," Coconut Pete Productions, Fox Searchlight Pictures,  Broken Lizard Industries"
Coach Carter," MTV Films,  Tollin/Robbins Productions, Paramount Pictures"
Cold Mountain," Mirage Enterprises,  Cattleya, Miramax Films,  Bona Fide Productions,  Castel Film Romania"
Collateral," DreamWorks SKG, Paramount Pictures,  Parkes/MacDonald Productions,  Edge City"
Collateral Damage," Bel Air Entertainment, David Foster Productions,  Hacienda Productions,  Warner Bros."
Colombiana," Canal+,  Grive Productions,  Cin̩Cin̩ma, TF1 Films Production,  EuropaCorp"
Conan the Barbarian," Paradox Entertainment,  Nu Image Films, Dark Horse Entertainment,  Nimar Studios,  Millennium Films"
Concussion," The Cantillon Company,  The Shuman Company, Village Roadshow Pictures,  Scott Free Productions,  LStar Capital"
Confessions of a Dangerous Mind,"Miramax Films,  Mad Chance,  Allied Filmmakers"
Confessions of a Shopaholic,"Jerry Bruckheimer Films,  Touchstone Pictures"
Confessions of a Teenage Drama Queen,Walt Disney Pictures
Connie and Carla,Universal Pictures
Constantine," DC Comics,  Donners' Company,  Branded Entertainment/Batfilm Productions,  Lonely Film Productions GmbH & Co. KG., Village Roadshow Pictures"
Contagion," Regency Enterprises,  Imagenation Abu Dhabi FZ,  Warner Bros.,  Participant Media, Double Feature Films"
Contraband," Leverage Management,  StudioCanal, Universal Pictures,  Relativity Media,  Closest to the Hole Productions"
Conviction," Omega Entertainment, Oceana Media Finance,  Innocence Productions,  Pantheon Entertainment Corporation,  Prescience"
Cop Out,Warner Bros.
Coraline," Laika Entertainment, Focus Features"
Corky Romano," Touchstone Pictures, Robert Simonds Productions"
Corpse Bride," Tim Burton Productions,  Warner Bros., Tim Burton Animation Company,  Will Vinton Studios,  Laika Entertainment"
Cosmopolis," T̩l̩film Canada,  Alfama Films,  Rai Cinema, France 2 Cin̩ma,  Prospero Pictures"
Country Strong," Sony Pictures Home Entertainment,  Screen Gems, Maguire Entertainment"
Couples Retreat," Relativity Media, Universal Pictures,  Stuber Productions,  Wild West Picture Show Productions"
Cowboys & Aliens," Universal Pictures,  Reliance Entertainment, Imagine Entertainment,  DreamWorks SKG,  platinum studios"
Coyote Ugly,"Jerry Bruckheimer Films,  Touchstone Pictures"
Cradle 2 the Grave,"Silver Pictures,  Warner Bros."
Crank," Lakeshore Entertainment,  Radical Media,  GreeneStreet Films, Lions Gate Films"
Crank: High Voltage," Lionsgate, Lakeshore Entertainment,  Radical Media"
Crash," Bull's Eye Entertainment,  ApolloProScreen Filmproduktion,  Yari Film Group, Blackfriars Bridge Films,  Bob Yari Productions"
Crazy Heart,"Fox Searchlight Pictures,  Informant Media,  Butcher's Run Films"
"Crazy, Stupid, Love.",Warner Bros.
Crazy/Beautiful," Ufland, Touchstone Pictures"
