original_title,production_companies
Big Momma's House 2, Epsilon Motion Pictures
The Forgotten, Visual Arts Entertainment
The Mexican, Lawrence Bender Productions
Fast & Furious, Dentsu Inc.
Elektra, Marvel Enterprises
8 Mile, Mikona Productions GmbH & Co. KG
Burn After Reading,Mike Zoss Productions
Domino, Scott Free Productions
American Pie 2, Liveplanet
Horrible Bosses 2,New Line Cinema
The Pursuit of Happyness, Overbrook Entertainment
The Holiday, Universal Pictures
21 Grams, Y Productions
The Majestic, Darkwoods Productions
Step Up 3D,Summit Entertainment
Collateral Damage, Bel Air Entertainment
Promised Land, Media Farm
Oblivion, Monolith Pictures (III)
Assault on Precinct 13, Biscayne Pictures
Love the Coopers, Groundswell Productions
Saw IV, Twisted Pictures
Dancer in the Dark, SVT Drama
Empire State, Cheetah Vision
Resident Evil, Constantin Film Produktion
Dead Silence, Twisted Pictures
Ex Machina, Film4
"I Love You, Man", Bernard Gayle Productions
The Four Feathers, Dune Films
The Hours, Scott Rudin Productions
xXx: State of the Union, Revolution Studios
Disaster Movie,Grosvenor Park Media Ltd.
Premium Rush,Pariah Entertainment Group
Interstellar,Paramount Pictures
Fantastic Four, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG
Elektra,Twentieth Century Fox Film Corporation
Mirror Mirror,Relativity Media
The Last Airbender, The
Moonrise Kingdom, American Empirical Pictures
Itâ€™s a Boy Girl Thing, Icon Entertainment International
Taking Lives, Atmosphere Entertainment MM
Open Range, Touchstone Pictures
The Boat That Rocked, Portobello Studios
The Art of War,Amen Ra Films
Abraham Lincoln: Vampire Hunter, Location Gourmet
Marie Antoinette, Tohokushinsha Film
Black Snake Moan,Paramount Classics
The Strangers,Rogue Pictures
Poltergeist, TSG Entertainment
The Mortal Instruments: City of Bones, Mr. Smith Productions
The Last Exorcism Part II, CBS Films
Sparkle,TriStar Pictures
The Hundred-Foot Journey, Participant Media
The Hangover, IFP Westcoast Erste
Cheaper by the Dozen, Robert Simonds Productions
Selma, Celador Films
Radio, Tollin/Robbins Productions
Resident Evil: Retribution,Davis-Films
Blade II, LLC
The Order, Baumgarten Merims Productions
50 First Dates, Happy Madison Productions
Happy Feet, Kennedy Miller Productions
The Grey,Scott Free Productions
Secret in Their Eyes,Ingenious Media
Goal!: The Dream Begins, Milkshake Films
Chappie, Genre Films
The Heat, Big Screen Productions
Hardcore Henry, Versus Pictures
The Mist, Dimension Films
Paranormal Activity: The Ghost Dimension,Paramount Pictures
You Again, Frontier Pictures
A Knight's Tale, Finestkind
Johnson Family Vacation, Hallway Pictures
The Hangover,Legendary Pictures
Jurassic Park III,Universal Studios
Vantage Point, Original Film
Vampires Suck, Regency Enterprises
Twilight, Temple Hill Entertainment
Fred Claus, David Dobkin Productions
Munich, Alliance Atlantis Communications
Daybreakers, Australian Film Finance Corporation (AFFC)
Bad Boys II, Don Simpson/Jerry Bruckheimer Films
We Are Marshall, Thunder Road Pictures
9,Focus Films
Chloe, Montecito Picture Company
Tropic Thunder, Internationale Filmproduktion Stella-del-Sud Second
The Adjustment Bureau, Gambit Pictures
"I, Robot",Twentieth Century Fox Film Corporation
Fever Pitch,Fox 2000 Pictures
The Man from U.N.C.L.E., RatPac-Dune Entertainment
The Green Hornet,Original Film
Hall Pass, Conundrum Entertainment
Mortdecai, Huayi Brothers Media
Love Happens, Relativity Media
Intolerable Cruelty, Universal Pictures
300, Warner Bros.
Mamma Mia!, Littlestar
Pixels, Happy Madison Productions
Cake,Echo Films
She's Out of My League, Mosaic
V for Vendetta, Anarchos Productions
When a Stranger Calls,Davis Entertainment
Burke & Hare, Quickfire Films
Dolphin Tale,Alcon Entertainment
1408,Dimension Films
Law Abiding Citizen, Warp Films
The Last King of Scotland,Fox Searchlight Pictures
Night at the Museum: Secret of the Tomb, TSG Entertainment
Fun Size, Anonymous Content
Firewall,Village Roadshow Pictures
RoboCop,Columbia Pictures
Life as We Know It,Josephson Entertainment
Becoming Jane, 2 Entertain
Identity Thief,Stuber Productions
The Prestige, Syncopy
Disturbia, Montecito Picture Company
City By The Sea,Warner Bros. Pictures
Domino, Metropolitan Filmexport
The Other Woman,Twentieth Century Fox Film Corporation
Justin Bieber: Never Say Never, Magical Elves Productions
Wanted, Marc Platt Productions
"Dude, Whereâ€™s My Car?", Alcon Entertainment
Keeping the Faith, Triple Threat Talent
Burn After Reading, Working Title Films
Hugo,Paramount Pictures
22 Jump Street, Cannell Studios
Jupiter Ascending, Warner Bros.
The Eye,Paramount Vantage
Real Steel, Touchstone Pictures
Click, Columbia Pictures Corporation
The Rover,Porchlight Films
Transporter 2, TF 1 Film Productions
Gulliver's Travels, Dune Entertainment
The Constant Gardener, UK Film Council
The Chronicles of Narnia: Prince Caspian,Walt Disney
What Women Want, Wind Dancer Productions
Hannibal Rising, ETIC Films
Cowboys & Aliens, Universal Pictures
Stay Alive, Endgame Entertainment
Contagion, Regency Enterprises
Big Eyes,The Weinstein Company
The Musketeer, ApolloMedia Distribution
The Artist, uFilm
Super 8,Paramount Pictures
Chloe, Outpost Studios
Fantastic Four, Constantin Film Produktion
Hannibal Rising,Ingenious Film Partners
Guardians of the Galaxy, Revolution Sun Studios
RED, Di Bonaventura Pictures
Cast Away, Playtone
Brothers,Lionsgate
Almost Famous, DreamWorks Pictures
The 6th Day, Phoenix Pictures
Yes Man,The Zanuck Company
In the Land of Women, Land Films Inc.
Enchanted, Right Coast Productions
Trainwreck,Universal Pictures
Alexander, Egmond Film & Television
Taken 3, EuropaCorp
Arbitrage,Lionsgate
Possession, Baltimore Spring Creek Productions
National Treasure: Book of Secrets, Junction Entertainment
The Da Vinci Code, Imagine Entertainment
Thirteen Days,New Line Cinema
Dancer in the Dark,Fine Line Features
A Most Violent Year, FilmNation Entertainment
Sparkle, Stage 6 Films
The Order,Twentieth Century Fox Film Corporation
Escape Plan,Summit Entertainment
The Hundred-Foot Journey, Reliance Entertainment
Nightcrawler, Sierra / Affinity
What Women Want, Icon Entertainment International
Year One,Columbia Pictures
I Could Never Be Your Woman, I Could Never Ltd.
The Danish Girl, Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique
Love & Other Drugs, Dune Entertainment
Minority Report, Amblin Entertainment
"You, Me and Dupree", Kaplan/Perrone Entertainment
Old School, The Montecito Picture Company
AntiTrust,Industry Entertainment
The Mortal Instruments: City of Bones, Don Carmody Productions
Hostage,Miramax Films
My Week with Marilyn, The Weinstein Company
Master and Commander: The Far Side of the World,Universal Pictures
Zookeeper, Metro-Goldwyn-Mayer (MGM)
The Village, Touchstone Pictures
The Lord of the Rings: The Two Towers, New Line Cinema
Men in Black II,Columbia Pictures
The Martian, Mid Atlantic Films
Romeo Must Die, Warner Bros.
War, Province of British Columbia Production Services Tax Credit
Cake, We're Not Brothers Productions
London Boulevard, Projection Pictures
Hachi: A Dog's Tale, Hachiko
Spanglish, Columbia Pictures Corporation
The Amazing Spider-Man, Laura Ziskin Productions
Bride Wars, Fox 2000 Pictures
Mr. Brooks, Element Films
Tooth Fairy, Twentieth Century Fox
Seventh Son, Moving Picture Company (MPC)
Diary of a Wimpy Kid: Rodrick Rules,Fox 2000 Pictures
Love & Other Drugs, Fox 2000 Pictures
Predestination, Wolfhound Pictures
Goosebumps, Scholastic Entertainment
Jeepers Creepers 2,United Artists
Street Fighter: The Legend of Chun-Li,Twentieth Century Fox Film Corporation
Mr. Deeds, Columbia Pictures Corporation
White Noise,Universal Pictures
Night at the Museum: Battle of the Smithsonian,Twentieth Century Fox Film Corporation
Paranormal Activity 3, Room 101
Creed, Warner Bros.
The Fighter,Paramount Pictures
The Words,Serenade Films
The Perks of Being a Wallflower,Summit Entertainment
Hotel Rwanda, Endgame Entertainment
The Matrix Reloaded, Silver Pictures
The Reaping,Village Roadshow Pictures
When a Stranger Calls, Screen Gems
Grudge Match, Warner Bros.
The Dark Knight, Legendary Pictures
Concussion, The Cantillon Company
Life of Pi, Ingenious Media
Philomena,BBC Films
Adaptation., Intermedia
Space Cowboys, Clipsal Films
Hancock, Weed Road Pictures
The Girl Next Door,Regency Enterprises
Bullet to the Head, Silver Reel
The SpongeBob Movie: Sponge Out of Water, Disruption Entertainment
Harry Potter and the Goblet of Fire,Patalex IV Productions Limited
Soul Surfer, Brookwell-McNamara Entertainment
King Kong, Big Primate Pictures
Lilo & Stitch,Walt Disney Pictures
Drive Angry, Saturn Films
Surrogates, Wintergreen Productions
Constantine, DC Comics
Cloud Atlas, ARD Degeto Film
Fright Night,Touchstone Pictures
Revolutionary Road, Scott Rudin Productions
A Nightmare on Elm Street, Platinum Dunes
The Others, Canal Plus
The Hills Have Eyes, Major Studio Partners
Killing Them Softly, Annapurna Pictures
Surrogates, Mandeville Films
Taken 3,Twentieth Century Fox Film Corporation
Uptown Girls, Metro-Goldwyn-Mayer (MGM)
50/50,Summit Entertainment
X-Men, Marvel Enterprises
Reign Over Me, Relativity Media
Me and Orson Welles,Isle of Man Film
Bedazzled, Regency Enterprises
Stealth,Laura Ziskin Productions
The Tourist, GK Films
Spartan, Linson Entertainment
Joy Ride, New Regency Pictures
Ghost Rider: Spirit of Vengeance, Hyde Park Entertainment
Hot Pursuit,New Line Cinema
The Kingdom, Forward Pass
Seventh Son,Legendary Pictures
Equilibrium, Blue Tulip Productions
Boiler Room,New Line Cinema
Burke & Hare, Fragile Films
The Best Exotic Marigold Hotel,Participant Media
Hellboy II: The Golden Army, Relativity Media
Blue Crush, Shutt/Jones Productions
Escape from Planet Earth, Mainframe Entertainment
The Water Horse, Ecosse Films
Shoot 'Em Up,New Line Cinema
Killing Them Softly, Inferno Entertainment
Catch Me If You Can, Splendid Pictures
Salt, Wintergreen Productions
Beowulf,Paramount Pictures
Ninja Assassin, Legendary Pictures
Hostage, Cheyenne Enterprises
The Hoax, Bob Yari Productions
"I, Frankenstein", Sidney Kimmel Entertainment
North Country, Participant Media
Movie 43,Greenestreet Films
The Ides of March,Appian Way
"Good Night, and Good Luck.",Warner Independent Pictures (WIP)
DodgeBall: A True Underdog Story, Red Hour Films
The Last Airbender, Industrial Light & Magic (ILM)
Dancer in the Dark, Zentropa Entertainments
Crazy Heart,Fox Searchlight Pictures
Man of the Year, Morgan Creek Productions
Land of the Lost, Sid & Marty Krofft Pictures
Horrible Bosses, Rat Entertainment
Out of Time, Metro-Goldwyn-Mayer (MGM)
Grown Ups, Relativity Media
Dumb and Dumber To, Universal Pictures
Night at the Museum: Battle of the Smithsonian, Museum Canada Productions
Ray,Universal Pictures
House of Wax,Village Roadshow Pictures
Love & Basketball,40 Acres & A Mule Filmworks
The Darkest Hour, The Jacobson Company
EuroTrip,DreamWorks SKG
Exodus: Gods and Kings, Babieka
Inglourious Basterds, Zehnte Babelsberg
Punisher: War Zone, SGF Entertainment
Brideshead Revisited, 2 Entertain
The Twilight Saga: New Moon, Maverick Films
Edge of Darkness, BBC Films
Agent Cody Banks 2: Destination London, Madacy Entertainment
Edge of Darkness, GK Films
World War Z,Paramount Pictures
The Brothers Bloom,The Weinstein Company
The Sisterhood of the Traveling Pants, Alloy Entertainment
The Mexican, Pistolero Productions LLC
The Day After Tomorrow,Lions Gate Films
Paranormal Activity: The Marked Ones,Blumhouse Productions
Taking Lives, Warner Bros.
No Good Deed, Screen Gems
Contagion, Imagenation Abu Dhabi FZ
A Christmas Carol, ImageMovers
I Am Legend, Weed Road Pictures
Armored,Screen Gems
Return to Never Land,Walt Disney Pictures
Enemy at the Gates, Little Bird
Defiance, Pistachio Pictures
The Cell, Avery Pix
Equilibrium,Dimension Films
A Thousand Words,Paramount Pictures
Godsend,Lions Gate Films
What's Your Number?,Regency Enterprises
War, Lionsgate
The Whole Nine Yards, Morgan Creek Productions
Brideshead Revisited, HanWay Films
Keeping the Faith,Spyglass Entertainment
Transsiberian,Lietuvos Kinostudija
The Nanny Diaries,The Weinstein Company
The Smurfs 2, Kerner Entertainment Company
Mud, Everest Entertainment
Scary Movie 2, Dimension Films
Doom, Stillking Films
Gangster Squad, Lin Pictures
Freedomland, Revolution Studios
Deux frÃ¨res, TF1 Films Production
The Lone Ranger, Jerry Bruckheimer Films
The Little Prince,Onyx Films
Concussion, The Shuman Company
Boat Trip,Motion Picture Corporation of America
Drive, Motel Movies
Dark Water, Post No Bills Films
White Noise, The Movie Network (TMN)
Endless Love, Fake Empire
A Cinderella Story, Clifford Werber Productions
IndigÃ¨nes,Tessalit Productions
Rambo, Nu Image Films
Monsters University,Walt Disney Pictures
The Grudge, Colombia Pictures
"Alexander and the Terrible, Horrible, No Good, Very Bad Day", 21 Laps Entertainment
My Life in Ruins,Fox Searchlight Pictures
Never Let Me Go,Fox Searchlight Pictures
Mystic River,Village Roadshow Pictures
21 Jump Street,Columbia Pictures
The Skeleton Key, MFPV Film
Moms' Night Out, Pure Flix Entertainment
The Dilemma, Spyglass Entertainment
Apocalypto,Icon Productions
Safe, Automatik Entertainment
The Princess Diaries,Walt Disney Pictures
Transformers: Revenge of the Fallen, Di Bonaventura Pictures
Out of Time,Original Film
Alex & Emma,Epsilon Motion Pictures
The Mummy: Tomb of the Dragon Emperor, China Film Co-Production Corporation
The Gift, Ahimsa Films
Unknown,Studio Babelsberg
Unfaithful, Fox 2000 Pictures
Spy Kids 2: Island of Lost Dreams,Dimension Films
Centurion, Canal+
Confessions of a Dangerous Mind,Miramax Films
Orphan, Don Carmody Productions
All About Steve, Dune Entertainment III
Southpaw, Riche-Ludwig Productions
Step Brothers,Columbia Pictures
Frailty,Cinerenta Medienbeteiligungs KG
We Own the Night, Industry Entertainment
The Amazing Spider-Man 2, Avi Arad Productions
K-19: The Widowmaker, Intermedia Films
The Constant Gardener, Scion Films
The Return, Rosey Film Productions LLC
Killer Joe, Picture Perfect (I)
Paranoia, IM Global
A Knight's Tale, Escape Artists
The Wrestler,Saturn Films
The Big Bounce,Warner Bros. Pictures
The Devil Wears Prada, Fox 2000 Pictures
The Shaggy Dog,Walt Disney Pictures
The Mummy: Tomb of the Dragon Emperor, Alphaville Films
The Revenant, New Regency Pictures
Flight of the Phoenix,Twentieth Century Fox Film Corporation
Upside Down, Transfilm
Mama, Toma 78
The Twilight Saga: New Moon, Imprint Entertainment
The Dressmaker, Apollo Media
Dredd, IM Global
The Incredible Hulk, Valhalla Motion Pictures
The Legend of Hercules,Millennium Films
The Men Who Stare at Goats,BBC Films
Punisher: War Zone, MHF Zweite Academy Film
The Lone Ranger, Infinitum Nihil
Killer Joe,Voltage pictures
My Best Friend's Girl, Terra Firma Films
The Social Network, Scott Rudin Productions
Predators,Twentieth Century Fox Film Corporation
The Bourne Legacy, Dentsu
Piranha 3D, Atmosphere Entertainment MM
Johnson Family Vacation,Fox Searchlight Pictures
What's Your Number?, Contrafilm
Wrath of the Titans, Thunder Road Pictures
The Love Guru,Paramount Pictures
Diary of a Wimpy Kid,Color Force
There Will Be Blood,Miramax Films
Hannibal, Dino De Laurentiis Company
Atonement, Working Title Films
What Happens in Vegas, 21 Laps Entertainment
X-Men: Days of Future Past, Marvel Entertainment
Master and Commander: The Far Side of the World, Twentieth Century Fox Film Corporation
MacGruber,Relativity Media
The Great Gatsby, A&E Television Networks
Sucker Punch, Cruel and Unusual Films
Planet of the Apes, The
Justin Bieber: Never Say Never, Scooter Braun Films
Corpse Bride, Tim Burton Productions
Pitch Perfect,Brownstone Productions
The Passion of the Christ,Icon Productions
The Break-Up, Wild West Picture Show Productions
Mirrors,Regency Enterprises
Valiant, Scanbox
Silent Hill, Davis-Films
The Forgotten,Revolution Studios
"Me, Myself & Irene",Twentieth Century Fox Film Corporation
Hope Springs, Management 360
X-Men Origins: Wolverine, Twentieth Century Fox Film Corporation
Transformers, Platinum Dunes
The Phantom of the Opera, Really Useful Films
Whiteout, Dark Castle Entertainment
Ã†on Flux, Valhalla Motion Pictures
Barnyard, Nickelodeon Movies
Red Riding Hood, Random Films
Ghost Rider,Columbia Pictures Corporation
The Return,Rogue Pictures
Aliens in the Attic, Upstairs Canada Productions
Land of the Dead, Romero-Grunwald Productions
Pandorum,Impact Pictures
Bridge of Spies, Studio Babelsberg
The Hangover Part III, Green Hat Films
Memento, Team Todd
Unstoppable, Firm Films
Vanilla Sky,Paramount Pictures
Spring Breakers, Radar Pictures
Spy Game,Universal Pictures
Captivity, Captivity Productions
Runaway Jury, New Regency Pictures
King Kong, Universal Pictures
Anchorman: The Legend of Ron Burgundy,Apatow Productions
Connie and Carla,Universal Pictures
My Soul to Take, Rogue
The Perfect Guy,Screen Gems
Flyboys, Electric Entertainment
From Hell,Twentieth Century Fox Film Corporation
District 9, Canadian Film or Video Production Tax Credit (CPTC)
2012,Columbia Pictures
The Brothers Grimm, Mosaic Media Group
Hitman, Daybreak Productions
The Bourne Identity, Hypnotic
Riddick, Riddick Canada Productions
Gnomeo & Juliet,Starz Animation
The Grudge,Ghost House Pictures
Paddington,The Weinstein Company
The Fourth Kind, Focus Films
The Unborn, Platinum Dunes
Taken, TPS Star
Fun Size, Nickelodeon Movies
A Sound of Thunder, Baldwin Entertainment Group
28 Weeks Later,DNA Films
Ladder 49, Fantail Films Inc.
Open Range, Beacon Pictures
Mulholland Drive, Canal+
Daddy's Home, Good Universe
Changing Lanes,Paramount Pictures
The Game Plan,Walt Disney Pictures
Concussion,Village Roadshow Pictures
Fast & Furious 6, Relativity Media
The Lake House,Village Roadshow Pictures
National Lampoonâ€™s Van Wilder, Artisan Entertainment
The Adjustment Bureau, Electric Shepherd Productions
Harry Potter and the Deathly Hallows: Part 2, Moving Picture Company (MPC)
Wanderlust, Apatow Productions
The Patriot,Centropolis Entertainment
Ocean's Twelve, Warner Bros.
Race to Witch Mountain,Walt Disney Pictures
Jason X, Crystal Lake Entertainment
Our Brand Is Crisis,Participant Media
Broken City, 1984 Private Defense Contractors
The Transporter, Canal+
Live Free or Die Hard,Ingenious Film Partners
The Sisterhood of the Traveling Pants, Alcon Entertainment
The Great Gatsby, Bazmark Films
X-Men: First Class, Ingenious Media
Spy Kids, Troublemaker Studios
Monkeybone,20th Century Fox
Hereafter, Kennedy/Marshall Company
Runner Runner,20th Century Fox
Cinderella,Walt Disney Pictures
Get Carter, The Canton Company
A Most Violent Year, Washington Square Films
Sky Captain and the World of Tomorrow, Riff Raff Film Productions
The Score,Paramount Pictures
My Bloody Valentine,Lionsgate
Man on a Ledge,Summit Entertainment
Furry Vengeance, Imagenation Abu Dhabi FZ
Abduction, Vertigo Entertainment
Ghost Ship,Village Roadshow Pictures
Marley & Me, Dune Entertainment III
Fury, Crave Films
Space Chimps, Odyssey Entertainment
Final Destination 2, Zide-Perry Productions
The Rookie, 98 MPH Productions
Post Grad, Fox Atomic
Hot Pursuit, Metro-Goldwyn-Mayer (MGM)
No Strings Attached,Paramount Pictures
Red Dragon,Universal Pictures
Ouija, Platinum Dunes
Priest, Stars Road Entertainment
Hellboy II: The Golden Army, Lawrence Gordon Productions
Hachi: A Dog's Tale, Inferno Distribution
Driven, Mel's Cite du Cinema
Hotel Transylvania, Sony Pictures Animation
Into the Woods, Lucamar Productions
The Guardian, Firm Films
The Purge: Anarchy, Platinum Dunes
Cosmopolis, TÃ©lÃ©film Canada
Hide and Seek, MBC Beteiligungs Filmproduktion
Dead Silence, Evolution Entertainment
Leap Year, BenderSpink
Zookeeper,Columbia Pictures
Daddy's Home, Gary Sanchez Productions
Captain Phillips,Columbia Pictures
Mr. Brooks,Tig Productions
Ice Age: Continental Drift, Twentieth Century Fox Animation
The Artist,France 3 CinÃ©ma
Final Destination 2,New Line Cinema
Planet of the Apes, Zanuck Company
Brokeback Mountain, Focus Features
Role Models, WideAwake
The Descendants, Ad Hominem Enterprises
Silver Linings Playbook,The Weinstein Company
The Last Legion, Zephyr Films
Fun Size, Fake Empire
Click, Happy Madison Productions
Machete, Dune Entertainment III
Saw 3D,Lionsgate
The Expendables 3, Millennium Films
The Box,Media Rights Capital
Sanctum, Wayfare Entertainment
Stormbreaker,Isle of Man Film
The Skulls, Original Film
House of the Dead, Mindfire Entertainment
Rock Star, Bel Air Entertainment
Coach Carter, MTV Films
Norbit, Tollin/Robbins Productions
Django Unchained, The Weinstein Company
Dirty Dancing: Havana Nights, Lions Gate Films
Insurgent, Red Wagon Entertainment
Hardball, Nides/McCormick Productions
47 Ronin, H2F Entertainment
Shanghai Knights, All Knight Productions
"Yours, Mine & Ours", O.N.C. Entertainment
Eagle Eye,DreamWorks SKG
Righteous Kill, InVenture Entertainment
Fur: An Imaginary Portrait of Diane Arbus,River Road Entertainment
Final Fantasy: The Spirits Within, Square USA
Step Up 2: The Streets, Offspring Entertainment
The Grand Seduction, Morag Loves Company
In Bruges, Film4
Gran Torino, Double Nickel Entertainment
Mindhunters,Avenue Pictures Productions
FearDotCom,Milagro Films
Unstoppable, Millbrook Farm Productions
Finding Forrester,Fountainbridge Films
Mr. Brooks, Relativity Media
Legend of the Guardians: The Owls of Ga'Hoole, Animal Logic
Tomcats, Revolution Studios
Dinner for Schmucks, Everyman Pictures
Good Luck Chuck,Lionsgate
Nanny McPhee, Three Strange Angels
A.I. Artificial Intelligence, Stanley Kubrick Productions
Perfume: The Story of a Murderer, Nouvelles Ã‰ditions de Films (NEF)
Rules of Engagement, Munich Film Partners & Company (MFP) ROE Production
How to Train Your Dragon, Vertigo Entertainment
Role Models,Universal Pictures
Suite FranÃ§aise, Alliance Films
Captain America: The First Avenger,Marvel Studios
Miss Congeniality, Fortis Films
The Big Bounce, Material
Eat Pray Love,Columbia Pictures
Space Chimps, Starz Animation
Oblivion,Universal Pictures
Mission: Impossible - Ghost Protocol, Bad Robot
A Good Day to Die Hard, Big Screen Productions
The Sentinel,Twentieth Century Fox Film Corporation
Brooklyn, Parallel Film Productions
Traffic, Initial Entertainment Group (IEG)
Stealth, Original Film
San Andreas, Village Roadshow Pictures
The Man from U.N.C.L.E., Warner Bros.
Battleship,Universal Pictures
Secret Window, Pariah Entertainment Group
The Happening,Spyglass Entertainment
Halloween: Resurrection,Dimension Films
Sherlock Holmes: A Game of Shadows, Lin Pictures
Hidalgo, Dune Films
Julie & Julia,Columbia Pictures
X-Men Origins: Wolverine, Donners' Company
Repo Men, Dentsu
Guess Who, Regency Enterprises
Mad Max: Fury Road, Kennedy Miller Productions
Underworld: Awakening, Screen Gems
A Walk in the Woods, Route One Films
Cosmopolis, Alfama Films
Abraham Lincoln: Vampire Hunter, Abraham Productions
Take Me Home Tonight,Imagine Entertainment
Four Brothers, Di Bonaventura Pictures
Awake,The Weinstein Company
Shrek 2, Pacific Data Images (PDI)
Insidious: Chapter 3,Sony Pictures
Doom, Reaper Productions
G.I. Joe: The Rise of Cobra, Spyglass Entertainment
You Don't Mess With the Zohan,Columbia Pictures
Percy Jackson & the Olympians: The Lightning Thief, Fox 2000 Pictures
Moonrise Kingdom, Moonrise
Legend, Anton Capital Entertainment (ACE)
Transsiberian, Scout Productions
The Chronicles of Narnia: Prince Caspian, Walden Media
Bangkok Dangerous,Virtual Studios
In the Heart of the Sea, Spring Creek Productions
Megamind,DreamWorks Animation
What to Expect When You're Expecting,Alcon Entertainment
Brooklyn, Item 7
Ghosts of Mars, Animationwerks
In the Valley of Elah, Warner Independent Pictures (WIP)
The X Files: I Want to Believe, Dune Entertainment III
The Constant Gardener, Focus Features
Two Weeks Notice,Village Roadshow Pictures
Did You Hear About The Morgans?, Relativity Media
No Escape, Brothers Dowdle Productions
Safe, 87Eleven
I Know Who Killed Me, 360 Pictures
Hancock,Columbia Pictures
Arbitrage, Treehouse Pictures
Delivery Man,DreamWorks SKG
Water for Elephants, Big Screen Productions
The Dukes of Hazzard, WV Films III
World Trade Center, Double Feature Films
The Hobbit: The Battle of the Five Armies, Metro-Goldwyn-Mayer (MGM)
The Devil Wears Prada, Major Studio Partners
The Ides of March, Cross Creek Pictures
Big Momma's House 2, Regency Enterprises
Bruce Almighty,Universal Pictures
The Iron Lady, DJ Films
A.I. Artificial Intelligence, Amblin Entertainment
I Could Never Be Your Woman,Scott Rudin Productions
Johnson Family Vacation, Bird and a Bear Entertainment
Spanglish,Gracie Films
The Host, Open Road Films
Unknown, TF1 Films Production
The Cat's Meow, Dan Films
Stone, Mimran Schur Pictures
Blood Diamond, Virtual Studios
AntiTrust, Epsilon Motion Pictures
Around the World in 80 Days, Walden Media
Wanted, Bazelevs Production
Spring Breakers,RabbitBandini Productions
The Kingdom, FilmWorks
Beowulf, Shangri-La Entertainment
Sinister 2,Alliance Films
Welcome Home Roscoe Jenkins,Universal Pictures
Meet the Spartans, New Regency Pictures
Case 39, Anonymous Content
Joy Ride, Bad Robot
The Curious Case of Benjamin Button, Warner Bros.
Rendition, MID Foundation
Along Came a Spider, AZL Productions KG
Red Planet, The Canton Company
Under the Skin, FilmNation Entertainment
The Maze Runner, Twentieth Century Fox Film Corporation
The Chronicles of Riddick, Primal Foe Productions
Around the World in 80 Days, Babelsberg Film
Metallica: Through the Never, Picturehouse Entertainment
Kingsman: The Secret Service, Marv Films
The Last Witch Hunter, One Race Films
Haywire, Relativity Media
The SpongeBob SquarePants Movie, Nickelodeon Movies
Men in Black II, Columbia Pictures Corporation
Blood Ties, Mars Distribution
Harry Potter and the Prisoner of Azkaban, P of A Productions Limited
The Kid,Walt Disney Pictures
Daddy Day Care, Davis Entertainment
The Frozen Ground, K5 International
Troy, Nimar Studios
Night at the Museum: Secret of the Tomb, 21 Laps Entertainment
War, Fierce Entertainment
Alone in the Dark, Lionsgate
Charlie St. Cloud, Relativity Media
Drive, FilmDistrict
On the Road,American Zoetrope
The Fourth Kind, Gold Circle Films
The Four Feathers,Paramount Pictures
Contraband, Leverage Management
Stardust,Paramount Pictures
