"Persons in poverty, percent","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Building permits, 2016","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Land area in square miles, 2010","All firms, 2012","Population, Census, April 1, 2010","Total nonemployer establishments, 2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Nonveteran-owned firms, 2012","Two or More Races, percent, July 1, 2016,  (V2016)","Housing units, April 1, 2010","Median household income (in 2015 dollars), 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Nonminority-owned firms, 2012","Persons  without health insurance, under age 65 years, percent","Total employment, 2015","Veteran-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Persons per household, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Owner-occupied housing unit rate, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employer establishments, 2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Women-owned firms, 2012","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Median gross rent, 2011-2015","Total retail sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Men-owned firms, 2012","Total employment, percent change, 2014-2015","Female persons, percent, April 1, 2010","Total retail sales per capita, 2012","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons under 5 years, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Total accommodation and food services sales, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Population per square mile, 2010","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Total annual payroll, 2015 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Median selected monthly owner costs -without a mortgage, 2011-2015","Households, 2011-2015","Population estimates, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)",Fact,"Veterans, 2011-2015","Minority-owned firms, 2012"
9.30%,17.70%,"537,114","1,360,301","3,369",5.00%,"6,422.63","118,454","1,360,301","104,707",26.8,"$2,270 ","101,334",23.70%,"519,508","$69,515 ",6.40%,"38,510",4.20%,"523,677","11,148",2.20%,21.60%,D,3.02,37.70%,56.90%,22.10%,25.80%,14.30%,"31,915",91.00%,6.50%,"44,453",17.10%,"$1,438 ","18,901,745","8,136,947","60,409",0.90%,49.90%,"$13,576 ","$29,822 ",6.40%,49.80%,10.40%,"9,536,706","9,607,982",211.8,10.20%,"22,068,393",25.20%,61.50%,22.30%,$505 ,"450,572","1,428,557",30.80%,85.10%,58.80%,0.40%,Hawaii,"110,238","74,208"
14.40%,6.10%,"700,825","1,567,650","12,165",7.40%,"82,643.12","146,642","1,567,582","122,221",20.2,"$1,189 ","124,314",2.40%,"667,796","$47,583 ",6.80%,"130,973",11.80%,"546,524","12,804",0.80%,26.00%,"20,201,432",2.69,1.50%,68.90%,82.40%,93.30%,12.40%,"44,757",89.50%,9.00%,"45,121",15.10%,$743 ,"20,444,278","7,895,614","70,438",3.00%,49.90%,"$12,812 ","$23,399 ",7.80%,49.90%,12.30%,"2,680,225","17,906,012",19,0.20%,"21,119,617",10.60%,62.60%,27.40%,$340 ,"589,320","1,683,140",25.90%,82.40%,56.80%,1.80%,Idaho,"119,711","10,592"
13.00%,14.00%,"5,326,970","12,831,574","22,603",-0.20%,"55,518.93","1,135,017","12,830,632","968,330",28.4,"$1,636 ","1,006,885",1.90%,"5,296,715","$57,574 ",6.00%,"795,129",7.40%,"5,427,549","89,110",14.70%,22.90%,"281,037,755",2.63,5.50%,66.40%,61.70%,77.20%,12.50%,"318,266",87.90%,7.10%,"417,500",14.60%,$907 ,"166,634,514","83,431,778","609,648",2.20%,51.00%,"$12,942 ","$30,494 ",6.50%,50.90%,17.00%,"27,937,381","295,456,992",231.1,0.10%,"289,183,546",22.70%,65.60%,24.40%,$574 ,"4,786,388","12,801,539",32.30%,86.80%,60.70%,0.60%,Illinois,"668,933","311,684"
14.10%,4.80%,"2,854,546","6,484,136","18,713",2.30%,"35,826.11","479,059","6,483,802","403,546",23.3,"$1,102 ","412,543",2.00%,"2,795,541","$49,255 ",6.40%,"405,090",9.40%,"2,660,503","45,174",9.70%,23.80%,"242,763,842",2.55,2.20%,69.00%,79.60%,85.60%,13.00%,"145,116",87.80%,9.70%,"162,798",14.90%,$745 ,"85,857,962","42,493,117","253,533",2.20%,50.80%,"$13,133 ","$25,346 ",6.70%,50.70%,6.80%,"13,076,602","81,173,422",181,0.10%,"113,315,432",8.30%,63.90%,24.80%,$378 ,"2,501,937","6,633,053",24.10%,85.00%,59.00%,0.40%,Indiana,"426,493","61,252"
11.80%,4.70%,"1,380,162","3,046,869","14,317",2.90%,"55,857.13","259,121","3,046,355","207,167",18.9,"$1,171 ","217,779",1.80%,"1,336,417","$53,183 ",6.40%,"236,561",5.00%,"1,338,418","25,889",3.70%,23.30%,"116,668,830",2.42,2.50%,71.50%,86.20%,91.40%,14.90%,"80,952",91.50%,7.90%,"82,345",16.40%,$697 ,"44,905,624","18,583,828","135,382",1.70%,50.50%,"$14,607 ","$27,950 ",6.60%,50.30%,5.80%,"5,468,687","62,318,301",54.5,0.10%,"55,079,743",7.40%,67.60%,23.90%,$434 ,"1,236,409","3,134,693",26.70%,84.80%,63.30%,0.50%,Iowa,"211,066","14,707"
12.10%,6.90%,"1,259,864","2,853,129","9,807",1.90%,"81,758.72","239,118","2,853,118","195,777",19.1,"$1,282 ","203,401",2.90%,"1,233,215","$52,205 ",6.70%,"204,562",10.10%,"1,189,876","21,610",6.20%,24.60%,"86,076,260",2.53,3.00%,66.70%,76.30%,86.60%,13.20%,"74,526",90.20%,8.60%,"77,194",15.00%,$757 ,"38,276,461","18,248,370","125,169",1.00%,50.40%,"$13,263 ","$27,706 ",7.20%,50.20%,11.60%,"4,873,411","60,226,324",34.9,0.10%,"51,259,676",11.30%,66.30%,25.50%,$455 ,"1,113,472","2,907,289",31.00%,83.50%,61.60%,1.20%,Kansas,"198,396","26,127"
18.50%,3.40%,"1,965,556","4,339,344","12,714",2.20%,"39,486.34","331,546","4,339,367","280,835",23.0,"$1,112 ","282,704",1.90%,"1,927,164","$43,740 ",6.20%,"296,155",6.00%,"1,579,477","33,208",8.30%,22.80%,"129,284,438",2.5,1.50%,67.20%,85.00%,88.00%,13.30%,"91,845",84.20%,12.90%,"106,011",15.60%,$675 ,"54,869,978","26,264,745","184,154",2.90%,50.80%,"$12,526 ","$24,063 ",6.50%,50.70%,3.50%,"7,500,115","71,745,899",109.9,0.10%,"63,741,066",5.10%,59.10%,23.60%,$339 ,"1,708,499","4,436,974",22.30%,84.70%,54.90%,0.30%,Kentucky,"297,312","27,258"
20.20%,4.00%,"2,036,975","4,533,479","14,503",3.30%,"43,203.90","414,291","4,533,372","358,223",25.1,"$1,200 ","354,460",1.60%,"1,964,981","$45,047 ",6.60%,"277,676",11.90%,"1,724,973","42,211",32.60%,23.80%,"271,191,050",2.6,1.80%,65.80%,59.00%,63.20%,12.30%,"105,575",83.40%,11.00%,"151,114",14.40%,$788 ,"61,396,364","27,951,792","215,111",0.40%,51.00%,"$13,342 ","$24,981 ",6.90%,51.10%,5.00%,"11,697,949","68,012,838",104.9,0.10%,"76,684,760",8.50%,60.40%,24.70%,$317 ,"1,727,919","4,681,666",22.50%,86.30%,56.00%,0.80%,Louisiana,"281,989","126,100"
12.50%,3.50%,"730,705","1,328,364","4,010",0.20%,"30,842.92","139,570","1,328,361","113,012",23.6,"$1,336 ","115,839",1.70%,"721,830","$49,331 ",4.90%,"131,322",9.90%,"500,549","15,689",1.50%,19.10%,"16,044,543",2.34,1.20%,71.20%,93.50%,94.80%,15.90%,"40,801",91.60%,11.90%,"42,067",19.40%,$777 ,"21,521,714","10,297,043","79,243",1.60%,51.10%,"$16,192 ","$27,655 ",5.20%,51.00%,1.60%,"2,901,347","12,961,262",43.1,Z,"20,413,159",6.60%,63.40%,20.70%,$477 ,"553,284","1,331,479",29.00%,85.90%,59.90%,0.70%,Maine,"119,058","4,339"
9.70%,14.50%,"2,447,127","5,773,786","17,044",4.20%,"9,707.24","531,953","5,773,552","475,518",32.3,"$1,951 ","462,232",2.80%,"2,378,814","$74,551 ",6.10%,"314,902",7.00%,"2,239,817","50,976",30.70%,22.40%,"39,532,989",2.67,6.60%,66.80%,51.50%,59.30%,12.30%,"137,204",89.40%,7.10%,"209,119",14.60%,"$1,230 ","76,379,707","40,821,901","276,630",1.00%,51.60%,"$12,980 ","$36,897 ",6.30%,51.60%,9.80%,"12,516,782","60,734,191",594.8,0.10%,"118,496,858",17.20%,67.90%,23.40%,$582 ,"2,166,389","6,016,447",37.90%,86.60%,64.10%,0.60%,Maryland,"403,900","203,394"
10.40%,15.50%,"2,858,026","6,547,813","16,288",4.00%,"7,800.06","607,664","6,547,629","514,298",28.7,"$2,063 ","525,667",2.30%,"2,808,254","$68,563 ",5.30%,"499,959",2.90%,"3,167,329","58,339",8.60%,20.20%,"81,927,799",2.53,6.70%,62.10%,73.00%,81.80%,13.80%,"175,225",89.80%,7.90%,"199,210",15.80%,"$1,102 ","92,915,380","63,583,090","357,158",2.60%,51.60%,"$13,980 ","$36,895 ",5.60%,51.50%,11.50%,"17,508,975","123,904,370",839.4,0.10%,"198,026,611",22.50%,67.50%,21.70%,$717 ,"2,549,721","6,811,779",40.50%,87.10%,63.40%,0.50%,Massachusetts,"355,083","89,967"
15.00%,6.30%,"4,560,055","9,884,129","20,408",0.40%,"56,538.90","834,087","9,883,640","700,254",24.2,"$1,257 ","733,517",2.40%,"4,532,233","$49,576 ",5.80%,"657,237",6.30%,"3,725,280","71,861",14.20%,22.10%,"238,892,383",2.52,3.10%,71.00%,75.40%,79.60%,13.80%,"219,627",89.60%,10.30%,"306,986",16.20%,$783 ,"119,302,046","63,018,786","446,128",3.20%,50.90%,"$12,071 ","$26,607 ",6.00%,50.80%,5.00%,"17,962,356","115,704,903",174.8,Z,"174,873,962",9.20%,61.20%,23.70%,$461 ,"3,841,148","9,928,300",26.90%,85.30%,57.10%,0.70%,Michigan,"626,722","158,946"
9.90%,7.70%,"2,409,935","5,303,924","21,449",4.10%,"79,626.74","489,494","5,303,925","397,378",23.1,"$1,490 ","419,628",2.40%,"2,347,201","$61,492 ",6.40%,"428,716",4.80%,"2,612,314","45,582",6.20%,23.30%,"123,076,309",2.49,4.90%,71.70%,80.60%,85.00%,12.90%,"148,666",92.40%,7.10%,"157,821",15.10%,$848 ,"78,898,182","40,403,572","268,710",1.80%,50.40%,"$14,667 ","$32,157 ",6.70%,50.20%,5.20%,"11,722,627","104,485,117",66.6,0.10%,"133,092,716",11.00%,70.00%,24.20%,$479 ,"2,124,745","5,519,952",33.70%,85.50%,66.20%,1.30%,Minnesota,"342,388","47,302"
20.80%,2.30%,"1,307,441","2,968,103","6,886",0.70%,"46,923.27","235,454","2,967,297","211,955",24.1,"$1,077 ","198,566",1.20%,"1,274,719","$39,665 ",6.30%,"155,094",13.90%,"926,391","26,789",37.70%,24.10%,"66,441,608",2.64,1.10%,68.40%,56.90%,59.30%,12.80%,"58,662",82.30%,11.90%,"89,159",15.10%,$717 ,"37,053,190","16,630,587","125,079",1.60%,51.40%,"$12,413 ","$21,057 ",7.10%,51.50%,3.10%,"6,999,175","28,302,952",63.2,0.10%,"33,948,151",3.90%,57.50%,25.50%,$341 ,"1,096,593","2,988,726",20.70%,86.10%,53.70%,0.60%,Mississippi,"184,774","74,824"
14.00%,3.90%,"2,760,084","5,988,928","18,997",1.70%,"68,741.52","491,606","5,988,927","402,091",23.2,"$1,210 ","415,542",2.20%,"2,712,729","$48,173 ",6.10%,"415,972",10.50%,"2,442,316","49,217",11.80%,22.80%,"111,535,362",2.48,2.00%,67.20%,79.70%,83.20%,14.00%,"158,191",88.40%,10.40%,"162,616",16.10%,$746 ,"90,546,581","40,089,316","257,948",1.60%,51.00%,"$15,036 ","$26,259 ",6.50%,50.90%,4.10%,"12,430,310","91,916,351",87.1,0.10%,"109,135,528",6.00%,63.20%,23.80%,$402 ,"2,364,688","6,093,000",27.10%,83.90%,59.30%,0.60%,Missouri,"451,342","61,035"
13.30%,2.10%,"497,756","989,414","4,781",5.40%,"145,545.80","112,419","989,415","86,969",18.1,"$1,294 ","93,393",2.70%,"482,825","$47,169 ",6.00%,"102,746",9.80%,"375,041","11,486",0.60%,21.80%,"11,535,236",2.41,0.80%,67.20%,86.50%,89.20%,14.80%,"37,270",92.80%,9.10%,"35,449",17.70%,$711 ,"15,623,573","6,469,475","55,913",3.10%,49.80%,"$15,544 ","$26,381 ",6.30%,49.70%,3.60%,"2,420,455","12,645,824",6.8,0.10%,"14,227,065",4.10%,63.60%,22.60%,$387 ,"409,394","1,042,520",29.50%,83.60%,59.50%,6.60%,Montana,"90,000","5,578"
11.40%,6.60%,"827,156","1,826,334","8,078",4.40%,"76,824.17","164,089","1,826,341","131,518",18.3,"$1,270 ","137,254",2.10%,"796,793","$52,997 ",7.00%,"144,122",9.90%,"870,279","16,693",5.00%,24.80%,"57,499,177",2.47,2.50%,66.20%,79.60%,88.90%,13.50%,"53,719",90.70%,7.30%,"51,936",15.00%,$726 ,"30,470,717","12,869,418","83,696",2.30%,50.40%,"$16,422 ","$27,882 ",7.20%,50.20%,10.70%,"3,094,498","42,618,995",23.8,0.10%,"36,967,924",10.80%,69.90%,25.10%,$471 ,"736,613","1,907,116",29.30%,83.70%,65.20%,1.40%,Nebraska,"132,918","14,571"
13.80%,19.20%,"1,221,698","2,700,691","17,952",8.90%,"109,781.18","227,156","2,700,551","205,980",23.9,"$1,442 ","191,293",4.20%,"1,173,814","$51,847 ",6.30%,"144,944",13.10%,"1,129,965","23,049",9.60%,23.00%,"14,719,141",2.72,8.70%,55.10%,49.90%,75.10%,12.00%,"63,383",85.10%,9.00%,"82,508",15.00%,$973 ,"38,234,170","13,928,514","114,057",3.70%,49.50%,"$13,858 ","$26,541 ",6.90%,49.90%,28.50%,"27,481,505","19,841,701",24.6,0.80%,"46,595,673",30.00%,64.00%,24.60%,$410 ,"1,016,709","2,940,058",23.00%,78.80%,59.30%,1.60%,Nevada,"220,332","71,864"
7.30%,5.70%,"625,307","1,316,461","3,796",1.40%,"8,952.65","131,638","1,316,470","104,437",26.9,"$1,870 ","108,817",1.70%,"614,754","$66,779 ",4.80%,"121,297",7.10%,"576,424","16,119",1.50%,19.50%,"18,895,624",2.47,2.70%,71.00%,90.80%,93.80%,13.50%,"37,669",92.30%,8.50%,"38,525",17.00%,"$1,000 ","26,018,201","9,616,460","76,716",2.30%,50.70%,"$19,700 ","$34,362 ",5.30%,50.50%,3.50%,"2,942,278","18,029,179",147,0.10%,"28,076,320",7.90%,68.20%,21.80%,$747 ,"520,251","1,334,795",34.90%,86.50%,63.80%,0.30%,New Hampshire,"106,827","6,111"
10.40%,21.70%,"3,604,409","8,791,953","26,793",1.70%,"7,354.22","792,088","8,791,894","670,765",31.0,"$2,386 ","707,975",2.20%,"3,553,562","$72,093 ",5.80%,"533,808",9.20%,"3,558,619","57,996",15.00%,22.20%,"108,854,971",2.73,9.80%,64.50%,55.80%,72.40%,13.50%,"230,961",88.60%,6.60%,"252,944",15.30%,"$1,192 ","133,665,728","60,375,232","464,592",0.90%,51.30%,"$15,079 ","$36,582 ",6.20%,51.20%,20.00%,"19,673,558","288,467,844","1,195.50",0.10%,"209,072,015",30.50%,65.90%,23.50%,$973 ,"3,189,486","8,944,469",36.80%,90.20%,60.60%,0.60%,New Jersey,"393,277","237,242"
19.80%,9.80%,"917,568","2,059,198","4,863",1.10%,"121,298.15","151,363","2,059,179","121,279",21.6,"$1,227 ","128,693",2.50%,"901,388","$44,963 ",6.20%,"83,857",10.80%,"626,284","14,096",2.50%,23.60%,"29,102,352",2.67,1.70%,68.10%,38.10%,82.60%,13.20%,"43,793",84.20%,10.10%,"59,044",16.50%,$777 ,"25,179,274","11,236,630","71,132",3.90%,50.60%,"$12,073 ","$24,012 ",7.00%,50.50%,48.50%,"4,349,672","10,720,363",17.00,0.20%,"25,145,307",35.70%,59.10%,25.20%,$327 ,"763,603","2,081,015",26.30%,85.70%,54.90%,10.60%,New Mexico,"164,157","60,622"
14.70%,22.50%,"8,231,687","19,378,110","33,711",1.90%,"47,126.40","2,008,988","19,378,102","1,685,636",32.3,"$2,022 ","1,811,544",2.50%,"8,108,103","$59,269 ",5.90%,"1,248,304",7.00%,"7,998,994","137,532",17.70%,21.20%,"148,879,931",2.63,8.90%,53.60%,55.80%,69.90%,13.50%,"540,298",85.60%,7.40%,"725,709",15.40%,"$1,132 ","251,167,736","155,666,053","1,139,910",1.80%,51.60%,"$12,834 ","$33,236 ",6.00%,51.40%,19.00%,"49,285,508","341,734,970",411.20,0.10%,"513,083,321",30.40%,63.30%,22.30%,$709 ,"7,262,279","19,745,289",34.20%,89.10%,58.70%,1.00%,New York,"828,586","709,021"
15.40%,7.70%,"4,540,498","9,535,688","60,550",6.40%,"48,617.91","805,985","9,535,483","722,639",23.9,"$1,248 ","684,743",2.20%,"4,327,528","$46,868 ",6.00%,"603,182",12.20%,"3,670,284","86,571",22.20%,22.70%,"202,344,646",2.54,2.90%,65.10%,63.50%,71.00%,12.90%,"223,209",85.80%,9.60%,"287,058",15.50%,$797 ,"120,691,007","55,227,505","435,677",3.10%,51.30%,"$12,376 ","$25,920 ",6.60%,51.40%,9.20%,"18,622,258","105,275,586",196.10,0.10%,"164,936,258",11.20%,61.80%,23.90%,$373 ,"3,775,581","10,146,788",28.40%,84.70%,57.70%,1.60%,North Carolina,"696,119","183,380"
