Index,date,group,name,unit_cogs
16497,2018-01-08,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,KONCENTRAT DAWTONA 200G SLOIK,1.30857142857143
17503,2018-01-11,OCCASIONAL,GAZ DO ZAPALNICZEK 90 ML,1.64
6329,2018-01-10,COOKIES_BULK,CUKIERKI MIESZ KRAKOWSKA WAWEL,16.9051094890511
5350,2018-01-07,CIGARETTES,TYTON PS BLAC,10.83
20572,2018-01-10,SWEETS,GOFRY SEZAM 100 G,2.24
16,2018-01-03,GENERAL_ITEMS,BAMBINO SZAMPON 400 ML,6.29
2466,2018-01-05,CHEMISTRY,E PLYN DO PLUKANIA 1 L SATYNA,4.49
21017,2018-01-12,SWEETS,PIERNIK DESIMO NADZ.200G,1.57
19797,2018-01-06,SWEETS,PRINCE POLO MINI CLASIC,0.4525581395348839
5663,2018-01-12,CIGARETTES,PAP PS GOLD,9.5421052631579
21010,2018-01-12,SWEETS,ORZECH LASKOWY 80 G,2.32
14576,2018-01-11,GROATS_RICE_PASTA,MAKARON CZANIECKI NITECZKA WALCOW. 500GR,4.08
254,2018-01-03,ALCOHOL,PIWO HARNAS 0_5L BUTELKA,1.23
16107,2018-01-02,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PUDL KETCHUP PIKANTNY 480G,3.21666666666667
9832,2018-01-07,DRINK_JUICE,NAP TYMBARK 0_5 ,10.0
21824,2018-01-07,VEGETABLES,KT KOPEREK ZIELONY CI?TY,0.9590566037735848
540,2018-01-06,ALCOHOL,PIWO ZA WSZELKA CENE 0_5 L,5.72
18903,2018-01-01,SWEETS,SPRAY GRENADE,4.11
19933,2018-01-07,SWEETS,HERBATNIKI PETIT BEURRE 220G KRAKUSKI,1.78
15246,2018-01-06,ICE_CREAMS_FROZEN,LODY BIG MILK STRACIAT,1.39
1608,2018-01-05,POULTRY,PAPRYKARZ SZCZEC.AGRICO 156G,1.57
8376,2018-01-11,DAIRY_CHESSE,DESER CZARUS 150GR Z MALINAMI,1.24
2152,2018-01-03,CHEMISTRY,BREF KULKI BLU AKTIV,5.49
14528,2018-01-10,GROATS_RICE_PASTA,MAKARON POL MLYN 500 G SWIDEREK DURUM,3.49
12785,2018-01-05,GENERAL_FOOD,PAPIER TOALETOWY 8 2W MEA,3.19
2957,2018-01-07,CHEMISTRY,WORKI NA SMIECI 60 L 16 SZT,2.17
12188,2018-01-01,GENERAL_FOOD,WIN BUDYN MALINOWY 60GR,0.75
21290,2018-01-11,TABLETS,TABLETKI APAP 6SZT,2.78
1159,2018-01-04,BREAD,C CHLEB WIEJSKI 0.6,2.5
19191,2018-01-03,SWEETS,LALECZKA,5.04
22047,2018-01-10,VEGETABLES,KT CEBULA WCZESNA,1.26315789473684
7338,2018-01-05,DAIRY_CHESSE,SERNICZEK TRUSKAWKOWY 150 G,1.37
8524,2018-01-12,DAIRY_CHESSE,ALMETTE ZIOLOWY 150G SEREK,3.08
10562,2018-01-11,DRINK_JUICE,NAP TYMBARK 1 L JAB/BRZOSKW,1.94
8426,2018-01-11,DAIRY_CHESSE,JOGURT MLEKOVITA TY_GRECKI 400 G,1.85
14304,2018-01-06,GROATS_RICE_PASTA,MAKA WROCLAWSKA BASIA 1 KG,1.93
17386,2018-01-03,OCCASIONAL,ZAPALNICZKA ZAROWA,1.8
15004,2018-01-04,ICE_CREAMS_FROZEN,LODY SOLO,1.35
12648,2018-01-04,GENERAL_FOOD,S SERNIK,9.5
16368,2018-01-06,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PALUSZKI LAJKONIK TRAY SLONE 200G,2.81
1510,2018-01-01,POULTRY,ROLNIK SELER WYBORNY 370G,2.19
22970,2018-01-04,ALCOHOL,WINO FRESCO ROZOWE P/SL,7.04
17951,2018-01-10,GENERAL_ITEMS,PODKOLANOWKI 2,2.54
22127,2018-01-11,VEGETABLES,KT CEBUL CZERWONNA MODRA,1.57489300998573
6422,2018-01-01,DAIRY_CHESSE,DA DANONKI TRUSKAWE 4X50G,2.76
10390,2018-01-10,DRINK_JUICE,NAP JURAJSKA ORANZADA 1_25 GAZ CZERW,0.94
1992,2018-01-01,CHEMISTRY,ZAROWKA 75,1.34
3632,2018-01-11,CHEMISTRY,GUMA ORBIT 5 LIST.,0.88
22029,2018-01-09,VEGETABLES,SOCZEWICA 425 G,1.83
3367,2018-01-09,CHEMISTRY,ZESZYT 16 K KRATKE,0.38
5972,2018-01-08,COFFEE TEA,CAPPUCCINO CZEKOLADOWE MOKATE 110GR,2.39
5762,2018-01-02,COFFEE TEA,JACOBS CRONAT GOLD 250G,8.78
2898,2018-01-07,CHEMISTRY,PLASTRY FAMILI,3.5
21405,2018-01-02,VEGETABLES,KT CEBULA,0.5718921842603439
4136,2018-01-05,CHEWING_GUM_LOLIPOPS,GUMA ORBIT BAG WINTERFRESH,2.25
13020,2018-01-06,GENERAL_FOOD,WIN SOS PIECZARKOWY 34G,1.02
18617,2018-01-10,SPICES,KAMIS PROSZEK DO PIECZENIA 30 G,0.26
11367,2018-01-03,GENERAL,WIN BUDYN CZEKOL DO CIAST 40 G,0.74
5759,2018-01-02,COFFEE TEA,HERBATA TETLAY 25 EX,1.76
13095,2018-01-07,GENERAL_FOOD,KUCHAREK 200 G,1.83
21113,2018-01-03,TABLETS,TABLETKI GRIPEX CNTROL 12,6.88
22865,2018-01-12,ALCOHOL,NAP SPIR ZO?ADKOWA GORZKA 0_1 36%,4.16
11050,2018-01-09,POULTRY,SLEDZIK NA RAZ 100G PIKANTNY,1.57
13346,2018-01-08,GENERAL_FOOD,WIN POMYSL NA SPAG.PO BOLONSKU,1.68
8347,2018-01-11,DAIRY_CHESSE,BAKOMA POLSKIE SMAK 120 G LESNYCH,0.76
2138,2018-01-03,CHEMISTRY,BARWNIKI DO JAJ HIT,0.65
150,2018-01-01,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,1.68
13803,2018-01-11,GENERAL_FOOD,SUROWKA KUBEK,2.13
9395,2018-01-05,DRINK_JUICE,NAP COCA COLA 1L,2.38125
2876,2018-01-07,CHEMISTRY,PAPIER DO PIECZENIA 6M,1.54
12978,2018-01-06,GENERAL_FOOD,SMIETANA CREMONA 200G,2.39
11365,2018-01-03,GENERAL,WAFLE SUNNY GRAHAM 60 G,1.83
9248,2018-01-04,DRINK_JUICE,NAP TIGER 0_25 PUSZKA MAX,1.49
3996,2018-01-12,CHEMISTRY,ZMYWAK KUCHENNY MALY 1 SZT,0.18
21573,2018-01-04,VEGETABLES,KT OGOREK GRUNTOWY,6.85106382978724
1198,2018-01-05,BREAD,C CHLEB WIEJSKI 0.6,2.5
7039,2018-01-04,DAIRY_CHESSE,JOGOBELA 150 G 0 %,0.99
17468,2018-01-09,OCCASIONAL,CHUSTECZKA HIGIENICZNA,0.17
13461,2018-01-09,GENERAL_FOOD,PIECZARKA CA?A 156 G S?ON.OGROD,2.65
16315,2018-01-05,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,SLEDZ WIEJSKI EKSTRA W OLEJU 800G BECZKA,10.89
23042,2018-01-07,ALCOHOL,WINO FRESCO ROZOWE P/SL,7.04
17117,2018-01-06,POULTRY,METKA ?OSOSIOWA,11.0
18659,2018-01-11,SPICES,FASOLA BIALA  500 G,4.93
14060,2018-01-01,GROATS_RICE_PASTA,MAKARON LUBELLA MUSZELKA DROBNA,2.4
19037,2018-01-02,SWEETS,PETITKI LUBISIE Z CZEK 30 G,0.65
15258,2018-01-06,ICE_CREAMS_FROZEN,LODY GRAND,2.08
12585,2018-01-04,GENERAL_FOOD,CYKORIA SNIEZKA 60 G,1.09
17683,2018-01-11,GENERAL_ITEMS,MARGARYNA NIEZB?DNA Z MAS?EM 500G,1.87
18135,2018-01-03,SPICES,APPETITA IMBIR MIELONY,0.99
420,2018-01-05,ALCOHOL,PIWO REDDS BIANCO 0_5 L PUSZKA,2.72
11253,2018-01-02,GENERAL,GOLARKA VENUS 2 SZT,2.04
16172,2018-01-03,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PUDL KETCHUP LAGODNY 480 G,3.24
6849,2018-01-03,DAIRY_CHESSE,HOCHL.SZYNKA 100G BLOK TOPIONY,1.644
8178,2018-01-10,DAIRY_CHESSE,CZARNKOW SEREK HOMO 125 CZEKOLADA,1.22
9362,2018-01-05,DRINK_JUICE,KUBUS GO 0_3 ML JAB?KO 100%,1.18
18654,2018-01-11,SPICES,CYKORIA PAPRYKA SLODKA,0.77
3157,2018-01-08,CHEMISTRY,WKLADKI PANTY SOFT DEO 20,2.25
4816,2018-01-12,CHIPS_FLAKES,LAYS FROMAGE 140 G,3.85
2420,2018-01-04,CHEMISTRY,WORKI NA SMIECI 60L *15 SZT Z TASMA,2.87
1360,2018-01-09,BREAD,PACZEK/JAGODZIANKA,1.36090909090909
14143,2018-01-03,GROATS_RICE_PASTA,MAK ZLOTY LAN SWIDERKI 500 G,1.09
9018,2018-01-03,DRINK_JUICE,KUBUS GO 0_33 JA+BAN+MARCZ,1.21
1673,2018-01-07,POULTRY,SUROWKI WIELOWARZYWNE GRZESKOWIAK,5.0304502753482305
20992,2018-01-12,SWEETS,LODY CIEPLE DUZE 24,0.8476190476190479
19806,2018-01-06,SWEETS,RAFFAELLO 150G,7.13
12875,2018-01-06,GENERAL_FOOD,AMINO B?YSK_PIECZARKOWA,1.01
23089,2018-01-09,ALCOHOL,WINO FRESCO 750 ML ROZOWE MUS. PÓL/SLOD,7.89
13451,2018-01-09,GENERAL_FOOD,OCET 0_5L 10% PEGAZ,1.164375
15213,2018-01-05,ICE_CREAMS_FROZEN,ZABAWKA Z CUKIERKAMI,1.6
5951,2018-01-07,COFFEE TEA,JACOBS KRONUNG 100G MIELONA,3.72
7621,2018-01-07,DAIRY_CHESSE,HOCHL SMIETANKOW 100 G TOPIONY,1.65
17803,2018-01-03,GENERAL_ITEMS,POMPKA ORANGE 5 ZL,3.87
18602,2018-01-10,SPICES,GALEO KMINEK 12 G,0.65
12868,2018-01-05,GENERAL_FOOD,ZUPA VIFON TAJSKA,0.98
2933,2018-01-07,CHEMISTRY,SZAM FAMILJNY NIEBIESKI 0_5L,2.99
7111,2018-01-04,DAIRY_CHESSE,SER MLEKPOL SALAMI ZOLTY PLASTRY,2.34
766,2018-01-09,ALCOHOL,PIWO LECH  MOITO 0_5 L B/ZW,1.91
4381,2018-01-01,CHIPS_FLAKES,STAR CHIPS BEKON 130 G,2.23
20365,2018-01-09,SWEETS,KINDER PINGUI CARAMEL 30 G,1.37
719,2018-01-08,ALCOHOL,PIWO WARKA RADLER 0_5 L BUT.,1.86
22390,2018-01-02,ALCOHOL,WODKA ZUBRÓWKA BIA?A 0_7 L,20.99
7665,2018-01-07,DAIRY_CHESSE,MLEKO LACIATE 2%1L,1.95
12527,2018-01-03,GENERAL_FOOD,SZPARAGI KONSERWOWE 212ML ROLNIK,5.63
4618,2018-01-07,CHIPS_FLAKES,CHRUPKI PODUSZKI 150 G MIKUS,2.34
21898,2018-01-08,VEGETABLES,KT FASOLA ZÓLTA,5.236947791164661
22412,2018-01-03,ALCOHOL,NAP SPIR ZOLADKOWA GORZKA 36% 0_5L,17.45
9811,2018-01-07,DRINK_JUICE,NAP MIRINDA MANDARIN 1 L,2.15
21279,2018-01-10,TABLETS,TABLETKI STREPSILIS 12 SZT,8.07
660,2018-01-08,ALCOHOL,PIWO KASZTELAN 0_5 BUTELKA,1.63
8644,2018-01-12,DAIRY_CHESSE,SER SMAZONY 200G KOWALEW,3.45
2906,2018-01-07,CHEMISTRY,PLYN UNIWERSALNY AJAX 1 L,3.79
3342,2018-01-09,CHEMISTRY,SZCZOT_D/Z?B_MAXI CLEAN 40 MEDIUM DUO,3.58
18702,2018-01-12,SPICES,AMONIAK 40 G MARSYL,0.64
14293,2018-01-06,GROATS_RICE_PASTA,MAK ZLOTY LAN 500G  PENE,1.02
6118,2018-01-11,COFFEE TEA,KAWA WOSEBA GOLD 250G,4.65
2709,2018-01-06,CHEMISTRY,PAPIER TOALETOWY VELVET 8+2,5.39
14161,2018-01-03,GROATS_RICE_PASTA,MAKARON GOLIARD 400G NITKA,2.4
12483,2018-01-03,GENERAL_FOOD,OGORKI MALOSOLNE  LUZ,16.0
22668,2018-01-08,ALCOHOL,WHISKY HIGHLANDER 0_5 L,17.62
1870,2018-01-01,CHEMISTRY,E PLYN DO PLUKANIA 1 L,4.59
85,2018-01-11,GENERAL_ITEMS,ODSWIEZACZ SZYSZKA ZAPAS,3.6
5998,2018-01-08,COFFEE TEA,KAWA TCHIBO BLU 250 G,4.41
22876,2018-01-12,ALCOHOL,WODKA CZYSTA DE LUXE 0_5 L,13.62
3799,2018-01-12,CHEMISTRY,BREF 4-FORMULA,3.39
10196,2018-01-09,DRINK_JUICE,NAP HOOP COLA 2L,1.87
16401,2018-01-07,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,CHRZAN TARTY 160G VICTUS,1.27
12345,2018-01-02,GENERAL_FOOD,WIN POMYSL NA SPAG.PO BOLONSKU,2.12
14027,2018-01-01,GROATS_RICE_PASTA,KASZA JAGLANA 400 G,2.43
9275,2018-01-04,DRINK_JUICE,NAP ZBYSZKO TONIC 1_75 L GAZ,1.84
2860,2018-01-07,CHEMISTRY,MYDLO LUKSJA 90 G GLICERIN,0.99
10876,2018-01-03,POULTRY,SLEDZIK NA RAZ  100G LISNER Z CEBULKA,1.65
14041,2018-01-01,GROATS_RICE_PASTA,MAKA KOSZALINSKA  STOISLAW 1KG,1.72
7897,2018-01-08,DAIRY_CHESSE,SER LOWICKI,15.006928406466503
22035,2018-01-09,VEGETABLES,ZAPIEKANKA Z PIECZARKA 220 G,3.55
21205,2018-01-07,TABLETS,TABLETKI APAP EXTRA 10SZT,6.0
4826,2018-01-12,CHIPS_FLAKES,PALUSZKI LAJKONIK CEBULOWE 150 G,2.46
6917,2018-01-03,DAIRY_CHESSE,SER PULAWSKI/GOUDA/CAMELOT,16.5581395348837
7207,2018-01-05,DAIRY_CHESSE,GOS.MLEKO UHT 2% 0_5L GOSTYN,1.49
13327,2018-01-08,GENERAL_FOOD,SUROWKA KUBEK,2.13
2202,2018-01-03,CHEMISTRY,NIVEA SZAMPON DIAMOND 250 ML,6.99
6918,2018-01-03,DAIRY_CHESSE,SER RYCKI /RADAMER/CYGANSKI/JAGRAMER,16.5
21565,2018-01-04,VEGETABLES,KT KAPUSTA BIALA KG,0.476656797995901
707,2018-01-08,ALCOHOL,PIWO SROGIE LANIE 0_5 L B/BEZWROT,4.89
1799,2018-01-11,POULTRY,PROFI PASZTET Z PIECZARKAMI 250GR,2.59
723,2018-01-08,ALCOHOL,PIWO WARKA RADLER O% 0_5 B/Z,1.86
9530,2018-01-05,DRINK_JUICE,ZBYSZKO 3 GREJPFRUTY 1_5 GAZ,1.86
21032,2018-01-12,SWEETS,SONATA LODY CIEPLE 9 SZT,5.2
13173,2018-01-07,GENERAL_FOOD,WIN POMYSL NA RYBE NA SOS KOPERKOWY,2.19
21557,2018-01-04,VEGETABLES,KT CZOSNEK POLSKI,0.88
11523,2018-01-05,GENERAL,WIN KISIEL MALINA Z IMBIREM 36 G,0.98
13151,2018-01-07,GENERAL_FOOD,SP KURCZAK W GALARECIE,4.09
13507,2018-01-09,GENERAL_FOOD,WIN BUDYN SMIETANKOWY 60G,0.82
435,2018-01-05,ALCOHOL,PIWO TYSKIE 0_5 L BUT.NIEPAST.,1.95
10093,2018-01-08,DRINK_JUICE,WODA CISOWIANKA N/G 0_7 SPORT,1.18
6221,2018-01-04,COOKIES_BULK,CHRUSCIKI /PACZKI LUZ,13.646706586826301
6002,2018-01-08,COFFEE TEA,KAWA WOSEBA RODZINNA 80G,1.45692307692308
9256,2018-01-04,DRINK_JUICE,NAP TYMBARK 0_25L  JABLKO-MIETA,0.81
7744,2018-01-08,DAIRY_CHESSE,BAKOMA TWIST 250 G LESNE,1.62
11876,2018-01-10,GENERAL,MARCHEW Z GROSZKIEM+KUKURYDZA  470 G SLO,1.915
16076,2018-01-02,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,KASZKA NESTLE ML.RYZ.5 OWOCOW 230G,7.43
13420,2018-01-09,GENERAL_FOOD,KNOR NUDLE POMIDOROWA PIKANTNA 63 G,1.68
6645,2018-01-02,DAIRY_CHESSE,HOCHL.SER TOP EMENTALER 100G BLOK,1.66
13024,2018-01-06,GENERAL_FOOD,WIN ZUPA ZUREK 49 G,1.18
16360,2018-01-06,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,MUSZTARDA PIEKIELNNA 200G PEGAZ,1.35
2334,2018-01-04,CHEMISTRY,HELP 1 L UNIWERSALNY,2.81
16614,2018-01-09,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PIWO PERLA EKSPORT 0_5L BUT.BEZZWROTNA,1.76
21092,2018-01-02,TABLETS,TABLETKI IBUM 7 SZT,4.09
17037,2018-01-04,POULTRY,KIE?BASA MYSLIWSKA KG,20.36
15637,2018-01-08,ICE_CREAMS_FROZEN,LODY ROZEK MLYNARCZYK,1.0
17334,2018-01-01,OCCASIONAL,BATERIE ALKAICZ  LR 3,0.93
7225,2018-01-05,DAIRY_CHESSE,HOCH TWAR.KANAPKOWY SZCZYPIOREK 130G,1.64
3445,2018-01-10,CHEMISTRY,KREDKI SWIECACE 12 SZT,1.04
11439,2018-01-04,GENERAL,WIN MAJONEZ 300 G,3.75
11713,2018-01-08,GENERAL,FASOLA BIALA 400G SLON.OGROD,1.57888888888889
23038,2018-01-07,ALCOHOL,WINO ELSOL CZ/PÓ?S? 0_75 L,14.0
18655,2018-01-11,SPICES,CYKORIA PRZYPRAWA DO PIERNIKA,0.87
13920,2018-01-12,GENERAL_FOOD,KUCHAREK 200 G,1.47
22235,2018-01-12,VEGETABLES,KT POMARANCZA SIATKA,2.68
2503,2018-01-05,CHEMISTRY,MOLA PAPIER BIALY 8,4.22
14643,2018-01-12,GROATS_RICE_PASTA,MAKARON TRADYCYJNY 250 G KLUSECZKI,1.76
2221,2018-01-03,CHEMISTRY,PERSIL DUO-CAPS 32 SZT,0.758947368421053
15787,2018-01-09,ICE_CREAMS_FROZEN,SZPINAK 450G NORDIS.,3.38
14723,2018-01-01,ICE_CREAMS_FROZEN,ZAPIEKANKA Z SZYNKA 190 G,2.46
21138,2018-01-04,TABLETS,TABLETKI IBUPROM 10SZT,4.75
16164,2018-01-03,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PAPRYKA KONS.SLONECZNY OGROD 650G,2.87
7175,2018-01-05,DAIRY_CHESSE,BAKOMA PREMIUM 140  G TRUKAWKA,1.24
16014,2018-01-01,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,KNORR NUDLE SER W ZIOLACH,1.66
17177,2018-01-08,POULTRY,KIE?BASA TYROLSKA 1 KG,7.90909090909091
13369,2018-01-09,GENERAL_FOOD,AMINO BLYSK GULASZOWA 61G,1.01
5140,2018-01-05,CIGARETTES,PAP CAMEL,11.64
14553,2018-01-11,GROATS_RICE_PASTA,MAK SULMA MUSZELKA 100% DURUM,2.3
2754,2018-01-06,CHEMISTRY,SZAMPON ZE SKRZYPEM 240 ML EVA NATURE,2.69
8088,2018-01-09,DAIRY_CHESSE,SER KIELBASKA MLEKOVITA KREMOWY 100G,1.29
6515,2018-01-01,DAIRY_CHESSE,SER BRIE TUREK NATURALNY 125G,3.49
20273,2018-01-09,SWEETS,ANDRUTY 20 G,0.79
16815,2018-01-12,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,KETCHUP LAGODNY 250G TORTEX,2.09
3689,2018-01-11,CHEMISTRY,PAPIER TOAL.ALMUSSO 6 SZT,5.19
11875,2018-01-10,GENERAL,MAKA KASZTANOWA 200G,8.44
6761,2018-01-03,DAIRY_CHESSE,ALMETTE ZIOLOWY 150G SEREK,2.99
21649,2018-01-05,VEGETABLES,KT KOPER ZIELONY DO OGURKOW,1.2
18519,2018-01-08,SPICES,PRZYPRAWA DO RYB CYKORIA 40 G,0.82
13593,2018-01-10,GENERAL_FOOD,KNORR SOS SEROWY 34 G,3.38
18258,2018-01-04,SPICES,WIN KOSTKA MIESNA 60G,1.21
11887,2018-01-10,GENERAL,PLATKI FITNESS 225 G FRUITS,3.47
5015,2018-01-03,CIGARETTES,PAP MOCNE 20,10.8490816326531
2550,2018-01-05,CHEMISTRY,PLYN  AJAX 1L KWIATY NIEBIESKI,3.89
14370,2018-01-07,GROATS_RICE_PASTA,RYZ SONKO  4X100G,1.78
14986,2018-01-04,ICE_CREAMS_FROZEN,LODY ROZEK,1.0
8510,2018-01-11,DAIRY_CHESSE,TWAROG SREMSKI CHUDY 250GR,2.4625
3956,2018-01-12,CHEMISTRY,SZAMPON Z CZARNA RZEPA 240 ML EVA NATURE,2.69
1550,2018-01-03,POULTRY,KAMIS PRZYPRAWA DO RYB 20 G,1.82
12472,2018-01-03,GENERAL_FOOD,O SEREK WIEJSKI 200G,1.45
2496,2018-01-05,CHEMISTRY,LUDWIK D/NACZYN 0_5 L MIETA,2.34
18248,2018-01-04,SPICES,PRYMAT KUCHAREK 75G,0.89
16165,2018-01-03,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PAPRYKARZ SZCZECINSKI DEGA 250G,2.03
18246,2018-01-04,SPICES,PRYMAT GRILL PIKANTNT 20G,0.82
8273,2018-01-10,DAIRY_CHESSE,SER EDAMSKI  LUZ,19.741935483871
17281,2018-01-11,POULTRY,KIE?BASKI PYSZNE KG,18.6026200873362
9843,2018-01-07,DRINK_JUICE,NAP TYMBARK 1 L OWOC GRANATU,2.46
11063,2018-01-10,POULTRY,LARUS MAKRELA W GALARECIE  160 G,4.01
11452,2018-01-05,GENERAL,CZEK.ALPEN GOLD 90G TRUS.,2.13
17740,2018-01-02,GENERAL_ITEMS,KARMA PEDRIGE 100 G JUNIOR,1.13
7590,2018-01-07,DAIRY_CHESSE,DA FANTAZJA WISNIA 122G,1.28
5145,2018-01-05,CIGARETTES,PAP CHESTERFILD RED,10.4528571428571
7880,2018-01-08,DAIRY_CHESSE,PALUSZKI BESKIDZKIE 250 G DELIKAT,2.05
14055,2018-01-01,GROATS_RICE_PASTA,MAKARON CZANIECKI NITKA WALCOWANA 500G,3.98
18255,2018-01-04,SPICES,RODZYNKI 100GR SULTANSKIE HELIO,1.49
6839,2018-01-03,DAIRY_CHESSE,HOCHL KANAPKOWY CZOSNEK ZIOLA 130 G,1.64
6078,2018-01-10,COFFEE TEA,LIPTON HERB ZIELONA CITRUS 25 EX,3.71
14523,2018-01-10,GROATS_RICE_PASTA,MAKARON CZANIECKI RYZOWY 250 G,2.32
20468,2018-01-09,SWEETS,WAFLE SUCHE OWAL 130 G,2.07
662,2018-01-08,ALCOHOL,PIWO KOZEL 0_5 L B/ZW CERNY,1.67
8363,2018-01-11,DAIRY_CHESSE,DA DANIO JAGODA 140 G,1.39
19207,2018-01-03,SWEETS,MILKA CZEKOLADA BAKALIE 100G,2.84
2939,2018-01-07,CHEMISTRY,SZCZOTECZKA DO RAK Z RACZKA,1.69
7354,2018-01-05,DAIRY_CHESSE,TWAROG SREMSKI CHUDY 250GR,2.45
17126,2018-01-06,POULTRY,POLEDWICA SOPOLCKA KG,18.396551724137897
3109,2018-01-08,CHEMISTRY,PODPASKI NATURELLA CLASSIC NORMAL 10,2.32
16552,2018-01-08,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,WINO CARLO ROSSI BIALE WYTR.10_5% 0_75L,12.89
8909,2018-01-02,DRINK_JUICE,NAP HELLENA YOO 1_25 L GAZ,1.31
2077,2018-01-02,CHEMISTRY,PERSIL 280 G COLD,3.49
2983,2018-01-08,CHEMISTRY,BREF 4-FORMULA LEMON,2.79
17991,2018-01-12,GENERAL_ITEMS,RAJSTOPY GATTA 15 DEN,1.4
490,2018-01-06,ALCOHOL,PIWO LECH 0_5 L ORANGE  PUSZKA,2.3
19687,2018-01-06,SWEETS,CIASTKA KOWOLKA BABECZKI SUCHE,14.7586206896552
11916,2018-01-11,GENERAL,AMINO BLYSK BARSZCZ CZERW Z MAJERANKIEM,0.948
14837,2018-01-03,ICE_CREAMS_FROZEN,LODY JAK DAWNIEJ 900 ML TRU+TYRAM,11.18
11803,2018-01-09,GENERAL,MAKA RYZOWA 500 G,3.67
18808,2018-01-01,SWEETS,CIASTKA KRAKUSKI FLORIANKI 171G,2.87375
2015,2018-01-02,CHEMISTRY,BREF 4-FORMULA LEMON,2.65
15913,2018-01-11,ICE_CREAMS_FROZEN,MARCHEW KOSTKA 450G NORDIS,2.62
853,2018-01-10,ALCOHOL,PIWO LOM?A MIODOWE 0_5 L B/BEZW,2.25
8412,2018-01-11,DAIRY_CHESSE,HOCHL.SZYNKA 100G BLOK TOPIONY,1.71266666666667
13625,2018-01-10,GENERAL_FOOD,POMIDORY CA?E 400 G SLONECZ.OGROD,1.5833333333333302
19117,2018-01-03,SWEETS,BOMBONIERA GALARETKA W CZEK 190 G,4.14
19635,2018-01-05,SWEETS,WEDEL PAWELEK ADVOCAT 45G,1.05
5107,2018-01-04,CIGARETTES,PAP RGD  MINT,9.96
13602,2018-01-10,GENERAL_FOOD,MAK.LUBELLA SWIDEREK DUZY 20,2.69
10587,2018-01-11,DRINK_JUICE,PUDL SOK POMIDOROWY 300 G,1.7218181818181797
3693,2018-01-11,CHEMISTRY,PASTA COLODENT JUNIOR 56 G,2.13
17224,2018-01-09,POULTRY,PASZTET BOROWIKOWY/GRZYBOWY KG,7.4782608695652195
17750,2018-01-05,GENERAL_ITEMS,KARMA MR DOG SUPREM 500G,2.15
