Account Name,Contract Start Date,Membership Category,Membership Level,Website
"Wuxi JHT Homewares Co.,Ltd",41974.0,9,2.0,
Omax Cotspin,41091.0,7,2.0,
Navjyot International Trading Pvt. Ltd.,41122.0,12,2.0,
Ring Shine Textiles Ltd.,42186.0,6,3.0,
Sunny Trexim Pvt Ltd,40940.0,12,2.0,
Zahra Textile,42583.0,7,2.0,
Calik Group,41334.0,4,2.0,
Associate Members,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Tongxiang Chengnan Silk Spinning Co.,Ltd",42217.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Damodar Industries Limited,41821.0,7,2.0,
"Jiangyin Qiangli Textile Co.,Ltd",42675.0,7,2.0,
Fazal Industries,42614.0,5,3.0,
"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,11,3.0,
Nagina Group of Industries,41122.0,4,2.0,
Filasa-Fiacao Armando Silva Antunes S.A.,42064.0,4,2.0,
Siddiqsons Ltd.,41030.0,4,2.0,
Prem Textiles International Pvt Ltd,42736.0,4,2.0,www.premtextiles.com
Sandipkumar Dharmendrakumar,42309.0,12,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Aastha Spintex Pvt Ltd,42278.0,7,2.0,
Hebei Ningfang Group Co. Ltd.,41579.0,4,2.0,
Shristi Cotspin Pvt Ltd,42736.0,4,2.0,www.shristicotspinn.in
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Anita's Textiles Ltd,42217.0,6,2.0,
Imteks Giyim San. ve Tic. A.S.,41244.0,5,3.0,
Gill & Co Pvt. Ltd.,42430.0,12,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
S Raja Exports,40848.0,12,2.0,
Dok-San Denizli Dokuma San. ve Tic. A.S.,42430.0,9,3.0,
Din Textile Mills,40940.0,7,2.0,
Ar-Al Tekstil San. ve Tic. A.S.,42430.0,4,2.0,
MARS Textile Ltd,42461.0,7,2.0,
Maral Overseas,41518.0,4,2.0,
Yiwu Hengsheng Textile Co. Ltd,42522.0,7,2.0,
Shandong Binzhou Nongxi Cotton Professional Cooperative,42461.0,12,0.0,
Mem Tekstil Sanayi ve Ticaret A.S,42156.0,4,2.0,
Polo Composite Knit Industry Ltd,42522.0,9,3.0,
Zafer Tekstil San. ve Tic. A.S.,42036.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Maritas Tekstil San. ve Tic. A.S.,41913.0,4,2.0,
Bossa,40878.0,4,2.0,
Cetinkaya Mensucat San ve Tic A.S,42430.0,4,2.0,
Crescent Bahuman Ltd.,40513.0,4,2.0,
"Zhejiang Shengfu Trading Co., Ltd",42522.0,12,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Qingdao Textile Group Fabric Co. Ltd.,41821.0,4,2.0,
Camay Garments Factory Ltd.,42644.0,9,2.0,
Tintex Textiles S.A.,42339.0,9,3.0,
Ambica Cotseeds Ltd,42736.0,12,2.0,www.vcottonexport.com
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Jiangsu Donghua Textile Co., Ltd",41974.0,7,2.0,
"Hubei Jinghua Textile Group Co.,Ltd",42430.0,7,2.0,
Comfort Group,41760.0,4,2.0,
"PiZhou Yinchao Textile Co.,Ltd",42491.0,4,2.0,
SMM Textiles Ltd,42522.0,7,2.0,
Krishna Traders,42125.0,12,2.0,
Viyellatex Group,40940.0,7,2.0,
Sudiva Spinners Pvt. Ltd.,41579.0,7,2.0,
"Zouping County Sanli Textile Co., Ltd.",42491.0,7,2.0,
"Mirafios Sociedade, FIacao e Tecidos Lda",42705.0,7,2.0,www.mirafios.pt
Akshara Spinning Mills Pvt Ltd,41974.0,7,2.0,
"Suqian City Ke Xin Textile Co., Ltd.",42614.0,7,2.0,
"Tung Ho Textile Co.,Ltd",42675.0,7,2.0,www.tungho.com.tw
Pacific Best Ltd,42675.0,8,3.0,
Narteks Tekstil San. ve Tic. A.S.,41699.0,4,2.0,
Nagreeka Exports Ltd.,41030.0,7,2.0,
Orta Anadolu Tic.ve San. Isletmesi T.A.S,40664.0,4,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
RMT Textile Mills Ltd.,41883.0,7,2.0,
Sharmanji Yarns Pvt. Ltd.,42186.0,7,2.0,
Kikani International Pvt Ltd,42461.0,10,3.0,
Mekotex Pvt. Ltd.,41699.0,7,2.0,
Sintex Industries Ltd (Yarn Division),42491.0,7,2.0,
Plexus,41122.0,12,2.0,
Novetex Textiles Ltd.,41821.0,7,2.0,
Al Karam Group,41306.0,4,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Kipas Mensucat,40544.0,4,2.0,
Kalpataruvu Spinning Mills Ltd,42736.0,7,2.0,
Rajapalayam Textile Ltd,42614.0,7,2.0,
PT Easterntex,42248.0,4,2.0,
Exportadora TSA S.A. de C.V.,42675.0,4,2.0,www.hilasal.com.sv
Gapsan Tekstil San. ve Tic. A.S.,42522.0,7,2.0,
AKH Knitting & Dyeing Ltd,42583.0,9,3.0,
United Spinning Mills (Pvt) Ltd.,42705.0,7,2.0,
Lingxian Hengyu Textiles Co.Ltd,42522.0,7,2.0,
"Foshan Xindongpo Textile Co., Ltd",42522.0,7,2.0,
Retailers and Brands,,,,
Adidas Group,40179.0,3,0.0,www.adidas-group.com
Suppliers and Manufacturers,,,,
Anhui Huamao Textile Co. Ltd.,41671.0,4,2.0,
"Xinfang Group Co.,Ltd",42156.0,4,2.0,
Prabhu Spinning Mills Pvt. Ltd.,42036.0,7,2.0,
Shujabad Weaving Mills Ltd,42095.0,6,2.0,
Shahi Exports Pvt. Ltd.,41944.0,4,2.0,
Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,41000.0,7,2.0,
Bhalchandram Clothing Ltd (Lahoti Group),42248.0,12,2.0,
Balsuyu Mensucat San. ve Tic. A.S.,41609.0,7,2.0,
Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,12,2.0,
Dezhou Huayuan Eco-Technology Co.,41334.0,7,2.0,
Shreedhar Cotsyn Private Ltd.,41821.0,12,2.0,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Nazar Tekstil San. Tic. A.S.,42248.0,7,2.0,
"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,4,2.0,
Sri Shanmugavel Mills Pvt. Ltd.,41699.0,7,2.0,
"Xinjiang Litai Silk Road Investment  Co., LTD",42644.0,7,2.0,www. jinshengroup.com
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Ravali Spinners Pvt Ltd,42064.0,7,2.0,
K G Denim Ltd,42705.0,6,3.0,www.kgdenim.com
Buhler Group,42339.0,7,2.0,
PT Indo-Rama Synthetics TBK.,42339.0,4,2.0,
Sutlej Textiles & Industries Ltd.,41974.0,7,2.0,
Panasian Impve Pvt Ltd,42736.0,12,2.0,www.panasian.co.in
Wuxi Jingwei Textile Technology Test Co. Ltd.,41579.0,7,2.0,
Milan Ginning Pressing Pvt. Ltd.,41821.0,12,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Rubenis Klima San. Tic. A.S.,42095.0,7,2.0,
Machiyara Group,41487.0,9,2.0,
Jiangsu Liangji Group Co. Ltd.,41609.0,4,2.0,
Jiangsu Huabao Textile Group,41579.0,7,2.0,
"Jiangsu Jin Wang Textile Co., Ltd.",42795.0,,2.0,
Sarmangal Synthetics Pvt Ltd,42767.0,7,2.0,www.sarmangal.com
Ayabe Co. Ltd,42491.0,7,2.0,
Impress-Newtex Composite Textiles Ltd,42339.0,5,3.0,
Kikani Exports Pvt Ltd,42767.0,4,2.0,www.kikaniexports.com
Vardhman Polytex,41760.0,7,2.0,
Elkins Tradelink Ltd.,42217.0,12,2.0,
Civil Society,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Iskur Tekstil Enerji Tic. ve San. A.S.,41000.0,4,2.0,
Artistic Fabric and Garment Industries (Pvt.) Ltd,40878.0,4,2.0,
PT Lucky Print Abadi,42705.0,5,3.0,www.luckytex.com
Tusa Ring Isletmeleri Sanayi ve Ticaret A.S.,41671.0,7,3.0,
"Nanpi Huayu Cotton Industry Co.,Ltd",42248.0,7,2.0,
Metco Textile Pvt. Ltd.,41640.0,7,2.0,
Beyteks Tekstil San. ve Tic. A.S.,41579.0,4,2.0,
Thiagarajar Mills Pvt. Ltd.,41821.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Jiangsu Sunshine Textile Co.,Ltd",41791.0,4,2.0,
Morarjee Textiles Limited,42036.0,7,2.0,
AA Coarse Spun Ltd,42552.0,7,2.0,
"Sanyang textile co., LTD",42583.0,4,2.0,
Heinrich Otto K.-G.,42736.0,8,3.0,www.heinrichotto.com
Zorluteks Tekstil,40756.0,9,2.0,
Topkapi Iplik San. ve Tic. A.S.,40940.0,7,2.0,
"Shandong  Hengtai Textile Co.,Ltd",42217.0,7,2.0,
"Yancheng Haicheng Cotton Industry Co.,Ltd",42186.0,7,2.0,
"Shananxi Changrong Textile Co.,Ltd",42278.0,7,2.0,
"Hebei Spring Textiles  Co., Ltd",41913.0,7,2.0,
Jyotirmaye Textiles Pvt Ltd,42522.0,7,2.0,
Zibo Yinshilai Textile Co. Ltd.,41671.0,9,2.0,
"ChangShu Cotton Textile Co.,Ltd",42491.0,4,2.0,
Tavex Europe S.L.,42430.0,4,2.0,
VRA Cotton Mills Pvt Ltd,42064.0,12,2.0,
Biteks Iplik Sanayi ve Ticaret A.S,42491.0,7,2.0,
Premier Tex Products Private Ltd.,41974.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Textufil S.A. de C.V.,42552.0,4,2.0,
Gohar Textile Mills (Pvt) Ltd.,41974.0,7,2.0,
Tianli Spinning (Mauritius) Co. Ltd.,42095.0,7,2.0,
M M Yarns Pvt Ltd,42491.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Brastex S/A,42736.0,4,2.0,www.gso.br/brastex/index.htm
"Black Peony Group Import &Export  Co.,Ltd.",42795.0,,2.0,www.blackpeony.com
Indus Group of Companies,41122.0,4,2.0,
SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),41671.0,4,2.0,
Wearit Global Ltd,42309.0,7,2.0,
"Dong- Il Vietnam Co., Ltd",42644.0,7,2.0,www.dong-il.com
Ayka Textile,41334.0,4,2.0,
Prince Group,42614.0,7,2.0,
"Jiangsu Xinguang Textile Co.,Ltd",42036.0,4,2.0,
"Jiangsu Sinocot International Trade Co., Ltd",42064.0,12,2.0,
Glencore Agriculture B.V.,42036.0,12,2.0,
Mahmud Group,41456.0,4,2.0,
Masood Textile Mills Ltd.,42036.0,4,2.0,
BST Textile Mills Pvt Ltd,42278.0,7,2.0,
Aadhi Vinayaga Spinners,42736.0,7,2.0,
"Shandong Dahai Synthetic Fiber Co., Ltd",41699.0,4,2.0,
"Shandong Huajie Textile Co.,Ltd",42248.0,7,2.0,
Sambandam Siva Textiles Pvt. Ltd.,42036.0,7,2.0,
Zhangjiagang City Haoran Textile Co. Ltd.,41821.0,7,2.0,
Rajapalayam Mills Limited,41913.0,7,2.0,
L. S. Mills Ltd.,42461.0,7,2.0,
Far Group,42736.0,5,2.0,www.fargroupbd.com
Tirumala Cotton And Agro Products Pvt Ltd,42705.0,7,2.0,
Sri Jayakrishna Textiles,42491.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Gemma Knits (Thailand) Co., Ltd.",42705.0,6,3.0,
Glossy Impex Pvt Ltd,42705.0,12,2.0,www.glossy.in
"Ningbo Zhongxin Wool Textile Group Co.,Ltd",42036.0,7,2.0,
Chenduran Cotspin (India) Pvt Ltd,42767.0,7,2.0,
"Zhejiang Huahong Top Dyed Melange Yarn Co., Ltd",42036.0,7,2.0,
Erve Buying,42736.0,Sourcing Agent,3.0,www.erve.com
Zhejiang Saintyear Textile Co. Ltd.,41122.0,6,3.0,
Grospinz Fabz Limited,41883.0,7,2.0,
Adamjee Enterprises,41944.0,9,3.0,
Cofco Agri Ltd.,42430.0,12,2.0,
Aarvee Denims And Exports Limited,41974.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
ETF Tekstil,40725.0,9,3.0,
Shri Cheran Synthetics India Ltd,42430.0,7,2.0,
"Rugao Ruxing Textile Co.,Ltd",42156.0,4,2.0,
Santista Work Solution S.A.,42036.0,4,2.0,
