Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,,
Boston College,,,,,
University of Houston,,,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,,
Brandeis University,,,,,
Stetson University,,,,,
"University of Phoenix, South Florida Campus, Plantation",,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,,
Fordham University,,,,,
"Devry University, Atlanta Cobb Galleria Center",,,,,
"University of Colorado, Boulder",,,,,
"University of Massachusetts, Amherst",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,,
Boston University,,,,,
University of Virginia,,,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,,
"University of California, San Diego",,,,,
Maryland Institute College of Art,,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,,
"University of Alaska, Anchorage",,,,,
George Washington University,,,,,
"Carnegie Mellon University, Portugal",,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,,
"Texas A&M University, Commerce",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
University of the Pacific,,,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,,
"Texas A&M University, Commerce",,,,,
American University,,,,,
University of New Hampshire,,,,,
Widener University,,,,,
University of Pittsburgh,,,,,
Ohio Dominican University,,,,,
"University of Alabama, Birmingham",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Minnesota, Twin Cities",,,,,
University of Houston,,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
Boise State University,,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,,
Northeastern University,,,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,,
Missouri University of Science and Technology,,,,,
"Devry University, Decatur Campus",,,,,
"Texas A&M University, College Station",,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,,
Vanderbilt University,,,,,
"University of Michigan, Ann Arbor",,,,,
University of Denver,,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,,
"Devry University, Dayton Center",,,,,
University of Rhode Island,,,,,
"Pennsylvania State University, Harrisburg",,,,,
St. Mary's University,,,,,
Georgia State University,,,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,,
Chapman University,,,,,
Doane College,,,,,
"University of Phoenix, Savannah Campus, Savannah",,,,,
"California Baptist University, San Bernardino",,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Omaha Campus, Omaha",,,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,,
Rider University,,,,,
Rollins College,,,,,
"University of Michigan, Ann Arbor",,,,,
"Devry University, Lynnwood Center",,,,,
University of Pittsburgh,,,,,
Syracuse University,,,,,
University of New Haven,,,,,
"Devry University, Kansas City Campus",,,,,
Kent State University,,,,,
University of Rochester,,,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,,
New York Medical College,,,,,
Seton Hall University,,,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,,
Spring Hill College,,,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,,
University of Pennsylvania,,,,,
"Devry University, St. Louis Park Center",,,,,
"University of North Carolina, Chapel Hill",,,,,
"University of Colorado, Boulder",,,,,
Johns Hopkins University,,,,,
Montclair State University,,,,,
University of Portland,,,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,,
University of New Haven,,,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,,
"City University of Seattle, University of International Business and Economics",,,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,,
"Long Island University, Post",,,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,,
Loma Linda University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Cornell University,,,,,
"Devry University, Philadelphia (Center City) Center",,,,,
"Wheaton College, Illinois",,,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,,
Columbia University,,,,,
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,,
"Devry University, Chicago Loop Center",,,,,
"Richmond, The American International University in London",,,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,,
University of Virginia,,,,,
New York University,,,,,
"Auburn University, Auburn",,,,,
University of New Haven,,,,,
Alverno College,,,,,
Kent State University,,,,,
"Auburn University, Auburn",,,,,
University of Delaware,,,,,
"University of Phoenix, Whichita Campus, Whichita",,,,,
University of Pittsburgh,,,,,
,Swanson School of Engineering,12.0,,17,16
"University of Phoenix, Miramar Learning Center, Miramar",,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
"University of Michigan, Ann Arbor",,,,,
Upper Iowa University,,,,,
"Texas A&M University, Commerce",,,,,
Mississippi State University,,,,,
New York University,,,,,
"Devry University, Oklahoma City Campus",,,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,,
"University of Phoenix, Madison Campus, Madison",,,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,,
University of Houston,,,,,
University of Oregon,,,,,
Seton Hall University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,,
"Carnegie Mellon University, Australia",,,,,
University of Florida,,,,,
"Devry University, Bakersfield Center",,,,,
"Devry University, Columbus North Center",,,,,
Pacific University,,,,,
Capital University,,,,,
Columbia University,,,,,
University of Dallas,,,,,
Delaware State University,,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,,
University of San Francisco,,,,,
University of Delaware,,,,,
Southern Arkansas University,,,,,
"Devry University, Colton (Inland-Empire) Center",,,,,
Pepperdine University,,,,,
"Devry University, Tampa East Center",,,,,
"University of Michigan, Dearborn",,,,,
New York University,,,,,
Goshen College,,,,,
University of Denver,,,,,
Massachusetts Institute of Technology,,,,,
Fordham University,,,,,
Columbia University,,,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,,
University of Baltimore,,,,,
Boston College,,,,,
University of Houston,,,,,
Lutheran School of Theology at Chicago,,,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,,
Saint Vincent College,,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,,
University of Delaware,,,,,
University of Pittsburgh,,,,,
New York University,,,,,
University of Oregon,,,,,
Massachusetts Institute of Technology,,,,,
Northeastern University,,,,,
Santa Clara University,,,,,
University of Pennsylvania,,,,,
George Washington University,,,,,
Golden Gate University,,,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,,
Rhode Island School of Design,,,,,
Georgia State University,,,,,
"Indiana University, Bloomington",,,,,
University of Iowa,,,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,,
Capital University,,,,,
Delaware State University,,,,,
Columbia University,,,,,
Alverno College,,,,,
Vanderbilt University,,,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,,
"University of Colorado, Boulder",,,,,
Temple University,,,,,
New York Medical College,,,,,
New School (The),,,,,
"Devry University, Houston Campus",,,,,
"Devry University, Federal Way Campus",,,,,
"Rutgers, The State University of New Jersey, Newark",,,,,
Emory University,,,,,
"University of Michigan, Ann Arbor",,,,,
Virginia Polytechnic Institute and State University,,,,,
Bellarmine University,,,,,
Duke University,,,,,
University of Houston,,,,,
"Devry University, Cherry Hill Center",,,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,,
"University of Michigan, Dearborn",,,,,
Shenandoah University,,,,,
University of Rochester,,,,,
Pace University,,,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,,
Wesleyan University,,,,,
Marywood University,,,,,
San Francisco Art Institute,,,,,
Framingham State University,,,,,
University of San Francisco,,,,,
University of Puget Sound,,,,,
Massachusetts Institute of Technology,,,,,
University of Scranton,,,,,
Loma Linda University,,,,,
Georgia State University,,,,,
Dominican University,,,,,
"Devry University, Miami Center",,,,,
University of Virginia,,,,,
Duke University,,,,,
"University of California, San Diego",,,,,
Virginia Polytechnic Institute and State University,,,,,
Clarkson University,,,,,
Kent State University,,,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,,
"Wheaton College, Illinois",,,,,
Johns Hopkins University,,,,,
Davenport University,,,,,
"Devry University, King of Prussia Center",,,,,
"University of Phoenix, Macon Learning Center, Macon",,,,,
"Devry University, Ft. Worth Center",,,,,
"University of Colorado, Boulder",,,,,
Ohio State University,,,,,
"University of Colorado, Boulder",,,,,
Georgetown University,,,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,,
University of Scranton,,,,,
"Devry University, Pomona Campus",,,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,,
Fairfield University,,,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,,
University of San Francisco,,,,,
Mississippi State University,,,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,,
"University of North Carolina, Wilmington",,,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,,
University of Connecticut,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Austin Campus",,,,,
"Arizona State University, Phoenix",,,,,
"Devry University, Kansas City Downtown",,,,,
"University of Colorado, Boulder",,,,,
Johns Hopkins University,,,,,
University of Denver,,,,,
Gonzaga University,,,,,
Azusa Pacific University,,,,,
University of Pennsylvania,,,,,
University of Memphis,,,,,
Dartmouth College,,,,,
Eastern University,,,,,
"Texas A&M University, Kingsville",,,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,,
"Devry University, Miramar Campus",,,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,,
San Diego State University,,,,,
"Texas A&M University, Commerce",,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,,
"University of Colorado, Boulder",,,,,
Massachusetts Institute of Technology,,,,,
Georgia State University,,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,,
Loyola Marymount University,,,,,
Brandeis University,,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,,
New York University,,,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,,
Massachusetts Institute of Technology,,,,,
Palo Alto University,,,,,
"Devry University, Daly City Center",,,,,
University of North Texas,,,,,
Monterey Institute of International Studies,,,,,
"University of Minnesota, Twin Cities",,,,,
Seton Hall University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,,
University of Pittsburgh,,,,,
Doane College,,,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,,
"Devry University, Orlando North Center",,,,,
Nova Southeastern University,,,,,
"University of Phoenix, Austin Campus, Austin",,,,,
Johns Hopkins University,,,,,
"Devry University, Indianapolis Center",,,,,
Tufts University,,,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,,
College of William and Mary (The),,,,,
"University of Phoenix, Cleveland Campus, Independence",,,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,,
Texas Christian University,,,,,
"Stony Brook University, State University of New York (SUNY)",,,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,,
"Devry University, Orlando Campus",,,,,
University of Florida,,,,,
University of Denver,,,,,
"Devry University, San Jose Center",,,,,
Arkansas Tech University,,,,,
DePaul University,,,,,
Fuller Theological Seminary,,,,,
"University of California, Irvine",,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,,
Metropolitan State University,,,,,
"Devry University, Rego Park (Queens) Center",,,,,
Boston University,,,,,
"University of Colorado, Boulder",,,,,
"University of Nevada, Reno",,,,,
Northeastern University,,,,,
University of San Francisco,,,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,,
University of Pittsburgh,,,,,
Northeastern Illinois University,,,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,,
Massachusetts Institute of Technology,,,,,
University of Kansas,,,,,
