Index,popularity,budget,original_title,release_year,genres
39,3.227329,11000000,Brooklyn,2015,"Romance, Drama"
40,3.2027189999999996,28000000,Straight Outta Compton,2015,"Drama, Music"
41,3.080505,90000000,The Last Witch Hunter,2015,"Adventure, Action, Fantasy"
42,3.0795220000000003,30000000,Steve Jobs,2015,"Drama, History"
43,3.0534209999999997,75000000,The Man from U.N.C.L.E.,2015,"Adventure, Comedy, Action"
44,3.025852,25000000,The Age of Adaline,2015,"Drama, Romance, Fantasy"
45,3.023253,10000000,Hardcore Henry,2015,"Action, Science Fiction, Adventure"
46,2.976436,135000000,Home,2015,"Comedy, Family, Fantasy, Science Fiction, Animation"
47,2.968254,12000000,Paper Towns,2015,"Drama, Romance, Mystery"
48,2.93234,30000000,Wild Card,2015,"Drama, Crime, Thriller"
49,2.8851259999999996,4000000,The Lobster,2015,"Drama, Romance, Comedy, Science Fiction, Thriller"
50,2.883233,11800000,Carol,2015,"Drama, Romance"
51,2.8148020000000002,35000000,The Intern,2015,Comedy
52,2.7980169999999998,55000000,Everest,2015,"Drama, Adventure"
53,2.793297,60000000,Joy,2015,"Comedy, Drama"
54,2.6144990000000004,105000000,Point Break,2015,"Crime, Action, Thriller"
55,2.584264,20000000,Burnt,2015,Drama
56,2.578919,26000000,Self/less,2015,"Mystery, Science Fiction, Thriller"
57,2.575711,60000000,Mortdecai,2015,"Comedy, Adventure"
58,2.557859,15000000,The Danish Girl,2015,Drama
59,2.5507470000000003,70000000,Blackhat,2015,"Crime, Mystery, Drama, Action, Thriller"
60,2.487849,30000000,Sicario,2015,"Crime, Mystery, Drama, Thriller, Action"
61,2.4870419999999998,120000001,Fantastic Four,2015,"Action, Adventure, Science Fiction"
62,2.46449,3500000,The Witch,2015,"Horror, Mystery"
63,2.404473,65000000,Spy,2015,"Action, Comedy, Crime"
64,2.395366,50100000,Focus,2015,"Comedy, Drama, Romance, Crime"
65,2.354654,35000000,Hitman: Agent 47,2015,"Thriller, Crime, Action"
66,2.345821,100000000,In the Heart of the Sea,2015,"History, Drama, Adventure, Thriller, Action"
67,2.331636,20000000,Survivor,2015,"Action, Crime, Thriller"
68,2.3315669999999997,35000000,Creed,2015,Drama
69,2.31767,35000000,Trainwreck,2015,Comedy
70,2.29573,13000000,Eye in the Sky,2015,"War, Thriller, Drama"
71,2.28135,25000000,Legend,2015,"Thriller, Crime"
72,2.2720439999999997,0,Beyond the Reach,2015,Thriller
73,2.234573,150000000,Pan,2015,"Fantasy, Adventure, Family"
74,2.165433,0,Mythica: The Darkspore,2015,"Fantasy, Action, Adventure"
75,2.141506,0,Me and Earl and the Dying Girl,2015,"Comedy, Drama"
76,2.140199,99000000,The Peanuts Movie,2015,"Comedy, Family, Animation, Adventure"
77,2.121884,35000000,Concussion,2015,Drama
78,2.096273,25000000,The Night Before,2015,Comedy
79,2.0809349999999998,2500000,Knock Knock,2015,"Horror, Thriller, Drama"
80,2.070708,34000000,The Longest Ride,2015,"Drama, Romance"
81,2.060162,80000000,Hotel Transylvania 2,2015,"Family, Animation, Comedy"
82,2.055572,17000000,Love the Coopers,2015,"Comedy, Family"
83,2.049886,35000000,The Walk,2015,"Adventure, Thriller, Drama"
84,2.0266509999999998,11000000,Tracers,2015,"Drama, Action, Crime"
85,2.000338,31000000,Vacation,2015,"Adventure, Comedy"
86,1.984529,35000000,Poltergeist,2015,"Thriller, Horror"
87,1.9800389999999999,4000000,Maggie,2015,Horror
88,1.9597650000000002,0,Equals,2015,"Science Fiction, Romance, Drama"
89,1.95632,50000000,Child 44,2015,"Thriller, Crime"
90,1.926739,5000000,The Gift,2015,"Thriller, Mystery"
91,1.904898,50000000,Daddy's Home,2015,Comedy
92,1.876037,0,Mythica: The Necromancer,2015,"Action, Adventure, Fantasy"
93,1.872696,10000000,Vice,2015,"Action, Adventure, Thriller, Science Fiction"
94,1.865007,64000000,The Little Prince,2015,"Animation, Adventure, Fantasy"
95,1.841779,0,Alvin and the Chipmunks: The Road Chip,2015,"Animation, Family, Comedy, Adventure"
96,1.82313,11930000,The Dressmaker,2015,Drama
97,1.758618,8500000,The DUFF,2015,"Romance, Comedy"
98,1.742286,10000000,Sinister 2,2015,Horror
99,1.73518,30000000,Paul Blart: Mall Cop 2,2015,"Comedy, Adventure, Action, Family"
100,1.7247119999999998,0,Frozen Fever,2015,"Family, Animation, Adventure"
101,1.661789,0,High-Rise,2015,"Science Fiction, Drama, Action"
102,1.6510779999999998,4000000,The Boy Next Door,2015,Thriller
103,1.646664,0,Spooks: The Greater Good,2015,"Action, Thriller"
104,1.532997,30000000,Entourage,2015,Comedy
105,1.5100959999999999,23000000,The Wedding Ringer,2015,Comedy
106,1.499614,15000000,Scouts Guide to the Zombie Apocalypse,2015,"Horror, Comedy"
107,1.495112,5000000,The Visit,2015,"Horror, Thriller"
108,1.4832459999999998,53000000,Black Mass,2015,"Drama, Crime"
109,1.449072,8900000,Heist,2015,"Action, Thriller, Crime"
110,1.448002,15000000,Krampus,2015,"Horror, Fantasy, Comedy"
111,1.443406,20000000,Dark Places,2015,"Mystery, Drama, Thriller"
112,1.41239,5000000,No Escape,2015,"Action, Thriller"
113,1.40805,700000,Dope,2015,"Comedy, Drama, Crime"
114,1.3882510000000001,28000000,American Ultra,2015,"Comedy, Action"
115,1.388032,11000000,Woman in Gold,2015,Drama
116,1.38032,0,The Scorpion King: The Lost Throne,2015,"Adventure, Action, Fantasy"
117,1.3766049999999999,30000000,Sisters,2015,Comedy
118,1.360926,12000000,Project Almanac,2015,"Science Fiction, Thriller"
119,1.360827,0,Absolutely Anything,2015,"Science Fiction, Comedy"
120,1.3558219999999999,25000000,The Transporter Refueled,2015,"Thriller, Crime, Action"
121,1.345982,55000000,Crimson Peak,2015,"Drama, Horror, Fantasy, Thriller, Mystery"
122,1.342839,0,Everly,2015,"Action, Thriller"
123,1.338481,14800000,Magic Mike XXL,2015,"Comedy, Drama, Music"
124,1.338322,10000000,Paranormal Activity: The Ghost Dimension,2015,"Thriller, Horror"
125,1.329702,0,Slow West,2015,"Thriller, Romance, Western"
126,1.316239,15000000,Trumbo,2015,Drama
127,1.315266,19500000,Secret in Their Eyes,2015,"Mystery, Crime, Drama"
128,1.29314,0,Mistress America,2015,Comedy
129,1.291013,74000000,The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Family"
130,1.284541,0,True Story,2015,"Mystery, Drama, Crime"
131,1.278928,20000000,Max,2015,"Drama, Family, Adventure"
132,1.25358,0,Shaun the Sheep Movie,2015,"Family, Adventure, Animation, Comedy"
133,1.251681,11000000,Louder Than Bombs,2015,Drama
134,1.2452239999999999,0,A Perfect Day,2015,"Comedy, Drama"
135,1.225325,40000000,The Gunman,2015,"Crime, Drama, Action"
136,1.191138,1000000,Unfriended,2015,"Horror, Thriller"
137,1.178831,35000000,Hot Pursuit,2015,"Crime, Comedy, Action"
138,1.1647239999999999,10000000,Insidious: Chapter 3,2015,"Horror, Thriller, Drama"
139,1.161812,0,Z for Zachariah,2015,"Thriller, Drama, Science Fiction"
140,1.144808,0,Dragonheart 3: The Sorcerer's Curse,2015,"Action, Adventure, Fantasy"
141,1.142518,6000000,The Lady in the Van,2015,"Comedy, Drama"
142,1.138395,40000000,Victor Frankenstein,2015,"Science Fiction, Drama, Thriller"
143,1.128081,0,Brothers of the Wind,2015,"Adventure, Family, Drama"
144,1.1252389999999999,8000000,Anomalisa,2015,"Drama, Romance, Animation, Comedy"
145,1.0733489999999999,1800000,Bone Tomahawk,2015,"Western, Drama, Horror, Adventure"
146,1.065888,0,Regression,2015,"Mystery, Horror, Thriller"
147,1.0630549999999999,0,Pawn Sacrifice,2015,Drama
148,1.046518,0,The Man Who Knew Infinity,2015,Drama
149,1.041922,20000000,Momentum,2015,"Thriller, Action"
150,1.03839,2000000,The Diary of a Teenage Girl,2015,"Romance, Drama"
151,1.036825,0,Pay the Ghost,2015,"Horror, Thriller"
152,1.02762,0,The Voices,2015,"Comedy, Thriller, Horror, Crime"
153,1.021441,0,Last Knights,2015,"Action, Adventure"
154,1.0084739999999999,12000000,Il racconto dei racconti,2015,"Fantasy, Horror, Romance"
155,1.0070540000000001,11000000,Irrational Man,2015,"Drama, Mystery"
156,0.973316,15000000,Queen of the Desert,2015,"History, Drama"
157,0.956096,18000000,Ricki and the Flash,2015,"Music, Drama, Comedy"
158,0.9536469999999999,0,Miss You Already,2015,"Drama, Romance, Comedy"
159,0.953046,630019,Kung Fury,2015,"Action, Comedy, Science Fiction, Fantasy"
160,0.950793,12000000,The Perfect Guy,2015,"Drama, Thriller"
161,0.9384319999999999,0,A Bigger Splash,2015,"Thriller, Drama, Crime, Mystery"
162,0.9376200000000001,10000000,While We're Young,2015,"Comedy, Drama"
163,0.9273389999999999,40000000,Get Hard,2015,Comedy
164,0.91704,0,Kidnapping Mr. Heineken,2015,"Drama, Crime, Thriller, Action"
165,0.913085,60000000,The Ridiculous 6,2015,"Comedy, Western"
166,0.90686,0,Kill Me Three Times,2015,"Thriller, Comedy"
167,0.9060360000000001,25000000,The 33,2015,"History, Drama"
168,0.8982959999999999,14000000,Suffragette,2015,"Drama, History"
169,0.8944770000000001,0,45 Years,2015,Drama
170,0.8809379999999999,6000000,We Are Your Friends,2015,"Music, Drama, Romance"
171,0.880268,0,Barely Lethal,2015,"Adventure, Comedy, Action"
172,0.874641,0,Macbeth,2015,"War, Drama, History"
173,0.872149,0,Extraction,2015,"Thriller, Action"
174,0.8611790000000001,0,Jenny's Wedding,2015,"Comedy, Drama"
175,0.848748,0,Descendants,2015,"Action, Music, Family, Comedy, Adventure"
176,0.843174,0,Tumbledown,2015,"Comedy, Romance, Music"
177,0.842202,0,Far from the Madding Crowd,2015,"Romance, Drama"
178,0.8369409999999999,0,The End of the Tour,2015,Drama
179,0.8324870000000001,10000000,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama"
180,0.829111,20000000,Little Boy,2015,"Comedy, War, Drama"
181,0.821443,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015,"Action, Animation, Adventure, Family"
182,0.820691,0,Remember,2015,"Thriller, Drama"
183,0.814206,37000000,Aloha,2015,"Comedy, Adventure, Romance"
184,0.813893,26000000,Accidental Love,2015,"Romance, Comedy"
185,0.810667,0,Halo: The Fall of Reach,2015,"Animation, Science Fiction, Action"
186,0.795762,28000000,Our Brand Is Crisis,2015,"Drama, Comedy"
187,0.792471,0,Into the Forest,2015,"Science Fiction, Drama"
188,0.7879689999999999,0,The Invitation,2015,Thriller
189,0.781809,0,The Benefactor,2015,Drama
190,0.7739090000000001,0,Open Season: Scared Silly,2015,"Adventure, Animation, Comedy, Family"
191,0.77107,0,Cop Car,2015,Thriller
192,0.768138,0,Mojave,2015,Thriller
193,0.758133,0,Sleeping with Other People,2015,Comedy
194,0.747541,11000000,Forsaken,2015,"Western, Drama"
195,0.738404,0,Amy,2015,"Music, Documentary"
196,0.7299,0,Madame Bovary,2015,Drama
197,0.719407,0,The Hallow,2015,"Fantasy, Horror"
198,0.7141310000000001,0,Barbie in Princess Power,2015,"Animation, Family"
199,0.7073550000000001,0,Howl,2015,Horror
200,0.706023,7000000,Freeheld,2015,"Romance, Drama"
201,0.7013699999999999,0,Man Up,2015,"Romance, Comedy"
202,0.699932,3000000,Love,2015,"Drama, Romance"
203,0.69957,9600000,Truth,2015,Drama
204,0.696184,0,Return to Sender,2015,Thriller
205,0.690479,10000000,Danny Collins,2015,"Comedy, Music, Drama"
206,0.6895789999999999,15000000,Rock the Kasbah,2015,"Music, War, Comedy"
207,0.689571,2240000,Fathers and Daughters,2015,Drama
208,0.6737920000000001,1000000,"Hello, My Name Is Doris",2015,"Drama, Comedy, Romance"
209,0.669351,13000000,The Vatican Tapes,2015,"Horror, Thriller"
210,0.661471,8000000,99 Homes,2015,Drama
211,0.6611630000000001,14000000,Hot Tub Time Machine 2,2015,Comedy
212,0.654335,0,Knight of Cups,2015,"Romance, Drama"
213,0.654046,4000000,Manglehorn,2015,Drama
214,0.649628,0,Mississippi Grind,2015,Drama
215,0.644786,0,400 Days,2015,"Mystery, Science Fiction, Thriller"
216,0.640151,0,Lava,2015,"Family, Animation, Comedy, Music, Fantasy"
217,0.6385569999999999,0,Air,2015,"Thriller, Science Fiction"
218,0.633608,0,Riot,2015,Action
219,0.6295609999999999,0,Septembers of Shiraz,2015,"Drama, Thriller"
220,0.607124,0,Every Thing Will Be Fine,2015,Drama
221,0.606113,0,Extinction,2015,"Drama, Science Fiction, Horror"
222,0.604928,0,The Childhood of a Leader,2015,"Horror, Mystery, Drama"
223,0.602165,8000000,A Walk in the Woods,2015,"Drama, Comedy, Adventure"
224,0.599751,0,Clown,2015,Horror
225,0.599655,3300000,The Lazarus Effect,2015,"Thriller, Horror"
226,0.589472,0,Batman vs. Robin,2015,"Action, Animation, Adventure"
227,0.586735,8000000,Careful What You Wish For,2015,Thriller
229,0.577814,35000000,Unfinished Business,2015,Comedy
230,0.5707439999999999,2000000,Lost River,2015,"Thriller, Fantasy"
231,0.569443,0,Cobain: Montage of Heck,2015,"Music, Documentary"
232,0.561032,0,Hyena Road,2015,"Drama, War"
233,0.5607439999999999,7000000,Criminal Activities,2015,"Thriller, Drama, Crime"
234,0.560423,12000000,Life,2015,Drama
235,0.553238,0,"McFarland, USA",2015,Drama
236,0.5485869999999999,0,Backtrack,2015,"Mystery, Horror"
237,0.5478270000000001,0,X+Y,2015,Drama
238,0.546458,3000000,Home Sweet Hell,2015,"Drama, Comedy"
239,0.542568,6000000,Ooops! Noah is Gone...,2015,"Animation, Comedy, Adventure"
240,0.5327,0,The Unspoken,2015,"Horror, Thriller"
241,0.532239,0,Hot Girls Wanted,2015,Documentary
242,0.532205,100000,The Gallows,2015,"Horror, Thriller"
243,0.52985,0,Dirty Weekend,2015,"Drama, Comedy"
244,0.527957,0,I Spit on Your Grave III: Vengeance is Mine,2015,"Thriller, Horror"
245,0.526642,0,Experimenter,2015,"History, Drama"
246,0.524315,10000000,By the Sea,2015,"Romance, Drama"
247,0.52025,0,Woodlawn,2015,Drama
248,0.516954,0,The Hollow,2015,"Horror, TV Movie"
249,0.515401,0,Visions,2015,"Thriller, Horror"
250,0.514735,0,Beyond the Mask,2015,Action
251,0.513386,0,I Am Here,2015,"Thriller, Drama"
252,0.50732,0,Wild Horses,2015,"Drama, Crime"
253,0.5048279999999999,0,Pressure,2015,"Drama, Thriller"
254,0.5024890000000001,0,Hidden,2015,"Thriller, Horror"
255,0.49726499999999996,0,Hell & Back,2015,"Fantasy, Animation, Comedy"
256,0.48635100000000003,21000000,Robot Overlords,2015,"Science Fiction, Action, Adventure"
257,0.482422,0,The Man with the Iron Fists 2,2015,Action
258,0.47784,0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,2015,"Animation, Family, Action, Adventure"
260,0.475473,0,Spare Parts,2015,"Action, Drama, Family"
261,0.474788,0,The World Made Straight,2015,Drama
262,0.47462600000000005,0,Last Shift,2015,"Horror, Thriller"
263,0.473344,0,Frankenstein,2015,"Thriller, Horror"
264,0.471393,0,Cartel Land,2015,"Drama, Documentary"
265,0.471091,20000000,Superfast!,2015,Comedy
266,0.470991,0,Moonwalkers,2015,Comedy
267,0.470124,0,Chi-Raq,2015,"Drama, Comedy, Crime, Music"
268,0.467556,5300000,Bad Asses on the Bayou,2015,"Comedy, Action"
269,0.465707,0,Strange Magic,2015,"Animation, Family, Fantasy, Music"
270,0.46208999999999995,9000000,Black or White,2015,Drama
271,0.45959700000000003,0,Dead Rising,2015,"Science Fiction, Horror"
272,0.454151,0,Deathgasm,2015,"Horror, Comedy"
273,0.45293900000000004,0,Justice League: Gods and Monsters,2015,"Animation, Action, Fantasy"
274,0.45087200000000005,13000000,I Saw the Light,2015,"Drama, Music"
275,0.45016000000000006,0,Good Kill,2015,"Thriller, Drama, Action"
276,0.44426499999999997,0,Southbound,2015,"Fantasy, Horror, Thriller, Science Fiction"
277,0.444193,0,Star Trek: Renegades,2015,"Action, Science Fiction, Adventure, Fantasy"
278,0.443525,0,The Boy,2015,"Thriller, Drama, Horror"
279,0.44283500000000003,0,Riley's First Date?,2015,"Animation, Family"
280,0.44242700000000007,0,The Program,2015,Drama
281,0.442067,0,Lila & Eve,2015,"Drama, Thriller"
282,0.441882,0,The Final Girls,2015,"Horror, Comedy"
283,0.441402,0,He Never Died,2015,"Thriller, Comedy, Drama, Horror"
284,0.43959799999999993,0,A Very Murray Christmas,2015,"Music, Comedy"
285,0.438409,0,Kill Your Friends,2015,"Comedy, Thriller, Crime"
286,0.43708800000000003,0,Battle For SkyArk,2015,"Action, Family, Science Fiction, Adventure"
287,0.43558199999999997,5000000,Jem and the Holograms,2015,"Fantasy, Adventure, Drama, Music"
288,0.43307299999999993,0,The Adderall Diaries,2015,"Drama, Thriller, Action"
289,0.429892,10000000,Grizzly,2015,"Thriller, Horror, Action"
290,0.427116,0,Where to Invade Next,2015,Documentary
291,0.424813,6000000,Beasts of No Nation,2015,"War, Drama"
292,0.42316099999999995,0,A Christmas Horror Story,2015,Horror
293,0.42178999999999994,0,Sunset Song,2015,Drama
294,0.429756,0,Synchronicity,2015,"Science Fiction, Thriller, Mystery"
296,0.415041,0,The Pack,2015,"Horror, Thriller"
297,0.41491300000000003,3000000,Demonic,2015,"Horror, Thriller"
299,0.41287700000000005,0,The Legend of Barney Thomson,2015,"Drama, Comedy, Thriller"
300,0.41250299999999995,1000000,The Duke of Burgundy,2015,Drama
301,0.40969799999999995,0,88,2015,"Thriller, Action"
302,0.405095,0,The Girl in the Book,2015,Drama
303,0.404511,0,Avengers Grimm,2015,"Adventure, Fantasy, Action"
304,0.40223600000000004,447524,The D Train,2015,"Comedy, Drama"
305,0.250209,0,The Lion Guard: Return of the Roar,2015,"Family, TV Movie, Animation"
306,0.399947,0,A Royal Night Out,2015,"Drama, Romance, Thriller"
307,0.398982,0,Parallels,2015,"Science Fiction, Action"
308,0.396791,0,Born to Be Blue,2015,"Drama, Music"
309,0.394466,1950000,The Marine 4: Moving Target,2015,"Action, Thriller"
310,0.393642,0,Tales of Halloween,2015,Horror
311,0.39356599999999997,1000000,Blunt Force Trauma,2015,"Adventure, Action"
312,0.391326,0,Operator,2015,"Thriller, Drama, Action"
313,0.386529,0,The Human Centipede 3 (Final Sequence),2015,Horror
314,0.38340599999999997,0,Spring,2015,"Horror, Romance, Science Fiction"
315,0.383183,0,The Intruders,2015,Thriller
316,0.382997,0,We Are Still Here,2015,Horror
317,0.7128899999999999,0,Monster High: Haunted,2015,"Family, Animation, Fantasy"
318,0.378836,0,3-Headed Shark Attack,2015,"Action, Horror, Science Fiction"
319,0.37668,0,Navy Seals vs. Zombies,2015,"Action, Horror"
320,0.411416,0,Wrecker,2015,"Action, Thriller, Horror"
321,0.37485300000000005,0,The Escort,2015,"Comedy, Romance"
322,0.37288899999999997,0,Martyrs,2015,"Drama, Horror, Thriller"
323,0.371145,0,Uncanny,2015,"Science Fiction, Thriller, Drama"
324,0.370148,0,Bad Hair Day,2015,"Adventure, Comedy, TV Movie"
325,0.369529,5000000,Area 51,2015,"Horror, Science Fiction, Thriller"
326,0.369108,0,San Andreas Quake,2015,"Science Fiction, TV Movie, Action"
327,0.36817,6000000,The Runner,2015,Drama
329,0.36743400000000004,0,Partisan,2015,"Drama, Thriller"
330,0.36603,4400000,R.L. Stine's Monsterville: The Cabinet of Souls,2015,"Horror, Comedy"
331,0.36590100000000003,10000000,Strangerland,2015,"Thriller, Drama"
332,0.329164,0,Ashby,2015,"Comedy, Drama, Romance"
333,0.35982600000000003,0,Beautiful & Twisted,2015,"Drama, Crime, Thriller"
334,0.35765399999999997,0,Ronaldo,2015,Documentary
335,0.357614,0,Going Clear: Scientology and the Prison of Belief,2015,Documentary
336,0.357567,0,Zipper,2015,"Drama, Thriller"
337,0.35651900000000003,0,War Pigs,2015,"War, Action"
338,0.354624,0,Turbo Kid,2015,"Adventure, Comedy, Science Fiction, Action"
339,0.350858,0,Barbie in Rock 'N Royals,2015,"Music, Animation, Family"
340,0.350599,0,Circle,2015,"Science Fiction, Thriller, Drama, Horror"
341,0.348306,0,Monkey Kingdom,2015,"Animation, Documentary"
342,0.34779699999999997,0,Joe Dirt 2: Beautiful Loser,2015,Comedy
343,0.344994,0,Minions: The Competition,2015,Animation
344,0.344549,0,I'll See You in My Dreams,2015,"Drama, Comedy"
345,0.34253,0,Jesse Stone: Lost in Paradise,2015,"TV Movie, Crime, Drama, Mystery"
346,0.5740310000000001,0,Steve Jobs: The Man in the Machine,2015,Documentary
347,0.33929699999999996,0,Babysitter's Black Book,2015,"TV Movie, Drama"
348,0.5114310000000001,0,The Ones Below,2015,Thriller
349,0.336453,0,Tremors 5: Bloodlines,2015,"Action, Science Fiction, Horror"
350,0.336107,2000000,Captive,2015,"Crime, Thriller, Drama"
351,0.335941,0,Terminus,2015,"Science Fiction, Thriller, Fantasy"
352,0.333656,0,Andron,2015,"Action, Science Fiction"
353,0.332921,0,How to Plan an Orgy in a Small Town,2015,Comedy
354,0.330968,0,Freaks of Nature,2015,"Science Fiction, Comedy, Horror"
355,0.330484,0,Reversal,2015,"Thriller, Horror"
356,0.329776,0,Batman Unlimited: Monster Mayhem,2015,"Animation, Action, Family"
357,0.32910900000000004,27000000,The Lovers,2015,"Science Fiction, Action, Adventure, Romance"
358,0.327373,0,Holding the Man,2015,Drama
359,0.32706599999999997,0,Harbinger Down,2015,"Science Fiction, Horror"
360,0.32705,0,Batman Unlimited: Animal Instincts,2015,"Family, Action, Animation"
361,0.324666,0,Entertainment,2015,"Drama, Comedy"
362,0.324515,0,Meadowland,2015,Drama
363,0.324,0,The Stanford Prison Experiment,2015,"Drama, Thriller"
364,0.39018800000000003,0,The Girl King,2015,"History, Drama, Romance"
365,0.322653,0,Bessie,2015,"Drama, TV Movie, Music"
366,0.32264,0,The Atticus Institute,2015,Horror
367,0.30035,0,The Hoarder,2015,"Horror, Thriller"
368,0.318459,0,I Smile Back,2015,Drama
369,0.315196,0,Oddball,2015,"Family, Adventure"
371,0.422901,0,Sanjay's Super Team,2015,Animation
372,0.307395,0,Learning to Drive,2015,"Comedy, Romance, Drama"
373,0.30591599999999997,0,Christmas Eve,2015,"Comedy, Romance"
375,0.30134299999999997,0,Sharknado 3: Oh Hell No!,2015,"Science Fiction, TV Movie, Horror"
376,0.300128,0,12 Rounds 3: Lockdown,2015,"Action, Thriller"
377,0.198522,0,Hitting the Apex,2015,Documentary
378,0.299427,0,Club Life,2015,Drama
379,0.298861,0,Cleveland Abduction,2015,"Drama, Crime"
380,0.29875100000000004,5000000,90 Minutes in Heaven,2015,Drama
381,0.298628,0,Lavalantula,2015,"Horror, Science Fiction, TV Movie"
383,0.40436300000000003,3500000,Justice League: Throne of Atlantis,2015,"Animation, Science Fiction, Adventure, Action"
384,0.26500999999999997,0,Lady Chatterley's Lover,2015,"Romance, Drama"
385,0.292437,0,The Wicked Within,2015,Horror
386,0.291244,0,Bridgend,2015,Drama
387,0.29042399999999996,0,Backcountry,2015,"Horror, Thriller, Drama"
389,0.288598,500000,Ratter,2015,"Drama, Horror, Thriller"
390,0.309811,0,An Inspector Calls,2015,"Drama, Thriller, Mystery"
391,0.28626599999999996,0,The Survivalist,2015,"Drama, Thriller, Science Fiction"
392,0.28336999999999996,0,Don't Grow Up,2015,Horror
394,0.282237,0,No Stranger Than Love,2015,"Romance, Comedy"
395,0.280878,0,The Hive,2015,"Horror, Science Fiction, Thriller"
396,0.27858299999999997,0,Back in Time,2015,"Documentary, Family, History"
397,0.277844,0,Nina Forever,2015,"Romance, Comedy, Horror"
398,0.277613,0,Some Kind Of Hate,2015,Horror
399,0.277035,1000000,The Dead Room,2015,"Horror, Thriller"
400,0.272995,0,Condemned,2015,Horror
402,0.270786,0,The Sand,2015,"Science Fiction, Horror"
403,0.171829,0,Digging for Fire,2015,Drama
405,0.261932,0,From the Dark,2015,Horror
406,0.26171700000000003,20000000,My All American,2015,Drama
407,0.26004499999999997,0,Hangman,2015,Thriller
408,0.202673,0,Larry Gaye: Renegade Male Flight Attendant,2015,Comedy
409,0.259794,600000,Grandma,2015,"Drama, Comedy"
411,0.256542,0,Summer Camp,2015,Horror
412,0.256286,0,Backmask,2015,"Horror, Thriller"
413,0.255458,0,Already Tomorrow in Hong Kong,2015,"Romance, Comedy"
416,0.248964,0,Curve,2015,"Horror, Thriller"
417,0.24828000000000003,7500000,Pound of Flesh,2015,Action
418,0.24759499999999998,0,Cyberbully,2015,"Drama, Thriller"
419,0.24758899999999998,0,Final Girl,2015,"Drama, Thriller, Action"
420,0.24742600000000003,0,He Named Me Malala,2015,Documentary
