Index,popularity,budget,original_title,genres,release_year
1111,0.203043,0,The Frame,Drama,2014
8008,0.560348,0,Christine,Drama,1983
6266,0.857834,19000000,The Exorcism of Emily Rose,Crime,2005
4969,1.6619110000000001,40000000,Johnny English,Action,2003
9189,1.69108,70000000,The Abyss,Adventure,1989
7282,0.36795,0,Jeremiah Johnson,Action,1972
3420,1.4810159999999999,57000000,Ghost Rider: Spirit of Vengeance,Thriller,2011
2776,0.318067,0,Princess of Thieves,Action,2001
1507,0.713022,4500000,Life During Wartime,Comedy,2009
6559,3.206696,12000000,Step Up,Romance,2006
7360,0.201964,0,Shogun Assassin,Adventure,1980
9991,1.125794,0,The Witches,Adventure,1990
3942,1.297822,11000000,A Walk to Remember,Family,2002
4929,0.158021,0,The Comedy,Drama,2012
8926,0.37483,0,The Entity,Horror,1982
2104,0.534678,0,The Whistleblower,Drama,2010
9995,1.003423,0,Stephen King's It,Mystery,1990
6766,0.36191100000000004,0,Ultimate Avengers,Action,2006
9041,0.607687,25000000,Great Expectations,Comedy,1998
9553,0.20545300000000002,23000000,Tequila Sunrise,Romance,1988
1722,0.292324,23000000,ChÃ©ri,Comedy,2009
5668,0.469146,0,Breakout,Action,2013
4429,1.272721,25000000,The Lucky One,Romance,2012
8395,0.502896,0,Endless Love,Romance,1981
754,1.111485,0,Playing It Cool,Comedy,2014
6149,0.31762199999999996,0,Gotcha!,Comedy,1985
3014,0.630893,2000000,Vals Im Bashir,Drama,2008
9458,1.182453,20000000,The Dead Pool,Thriller,1988
8419,0.251658,5000000,Nighthawks,Crime,1981
916,0.46087,0,Bad Country,Crime,2014
3568,0.564107,0,Carjacked,Action,2011
826,0.7057,0,Feast,Comedy,2014
7228,0.145065,3000000,We Don't Live Here Anymore,Romance,2004
10759,1.198849,300000,Halloween,Horror,1978
4395,1.814197,79000000,Journey 2: The Mysterious Island,Science Fiction,2012
4501,0.665792,26350000,Lay the Favorite,Drama,2012
5449,2.196946,61000000,2 Guns,Crime,2013
7698,0.227352,0,Teeth,Comedy,2007
474,0.193323,0,Results,Comedy,2015
10395,0.143989,0,12:01,Thriller,1993
1605,0.430617,7000000,Mother and Child,Romance,2009
8945,0.197996,0,The Beastmaster,Fantasy,1982
9369,0.379975,0,K2,Action,1991
4233,0.590765,28000000,Thumbelina,Drama,1994
10537,0.356864,111000,Henry: Portrait of a Serial Killer,Crime,1986
45,3.023253,10000000,Hardcore Henry,Action,2015
10186,0.40979399999999994,0,The Eagle Has Landed,Adventure,1976
2927,1.300453,20000000,Never Back Down,Drama,2008
8250,1.283709,35000000,Under Siege,Action,1992
2781,0.318495,13000000,Birthday Girl,Thriller,2001
7560,0.482716,0,Reservation Road,Thriller,2007
5764,0.319972,0,The Dyatlov Pass Incident,Thriller,2013
6283,0.737768,35000000,Guess Who,Romance,2005
8476,1.255866,65000000,The Long Kiss Goodnight,Action,1996
10003,0.6444479999999999,38000000,Another 48 Hrs.,Drama,1990
5097,0.36744,75000000,Hollywood Homicide,Comedy,2003
4986,1.412067,60000000,The Core,Thriller,2003
5315,0.5305439999999999,60000000,Fire Down Below,Thriller,1997
10441,0.9200940000000001,4000000,Charade,Comedy,1963
4110,0.24191,0,The Truth About Charlie,Thriller,2002
6698,0.5694229999999999,12000000,Running with Scissors,Comedy,2006
6775,0.350497,0,Rest Stop,Horror,2006
2473,0.637814,27000000,Lake Placid,Horror,1999
5996,0.39024699999999996,0,Mystery Road,Mystery,2013
493,0.168354,0,A Deadly Adoption,Thriller,2015
275,0.45016000000000006,0,Good Kill,Thriller,2015
5987,0.09954400000000001,0,Snow Bride,Family,2013
4697,0.283371,0,The Legend of Mor'du,Family,2012
4010,0.581487,40000000,City By The Sea,Thriller,2002
3322,0.089104,10000000,Incendiary,Thriller,2008
5233,3.153414,90000000,Men in Black,Action,1997
5202,0.121449,0,Saw,Crime,2003
256,0.48635100000000003,21000000,Robot Overlords,Science Fiction,2015
3764,0.22973400000000002,0,The Suite Life Movie,Drama,2011
4233,0.590765,28000000,Thumbelina,Animation,1994
8083,1.5526659999999999,52000000,Casino,Drama,1995
2367,0.087585,0,Gasland,Documentary,2010
1993,1.078211,30000000,The Next Three Days,Romance,2010
2601,0.145004,0,In Dreams,Drama,1999
6948,0.040915,1000000,Special,Drama,2006
2639,2.9185659999999998,60000000,Shrek,Family,2001
1529,0.606857,9000000,Leaves of Grass,Crime,2009
6652,0.751428,0,Leroy & Stitch,Family,2006
4564,0.48576,25000000,Dark Tide,Drama,2012
6792,0.30746,0,Sweeney Todd,Horror,2006
10053,0.30899899999999997,0,Class of 1999,Science Fiction,1990
1252,0.067359,0,CÃ¡sese quien pueda,Romance,2014
8201,0.28734299999999996,0,Operation Dumbo Drop,Comedy,1995
5330,0.42734300000000003,0,The Shining,TV Movie,1997
4996,1.103879,0,Atlantis: Milo's Return,Animation,2003
2649,1.925281,52500000,Moulin Rouge!,Music,2001
3764,0.22973400000000002,0,The Suite Life Movie,TV Movie,2011
2031,0.82289,38000000,Life as We Know It,Comedy,2010
3714,0.286905,6965576,PrÃ©sumÃ© coupable,Drama,2011
9677,0.25337600000000005,0,Red's Dream,Animation,1987
9041,0.607687,25000000,Great Expectations,Drama,1998
8678,1.2295049999999998,62000000,U-571,War,2000
2157,0.407787,0,Titanic II,Thriller,2010
6,8.654359,155000000,Terminator Genisys,Action,2015
482,0.13631,9500000,Re-Kill,Horror,2015
10485,0.995618,0,Short Circuit,Science Fiction,1986
10244,0.885824,30000000,Carlito's Way,Thriller,1993
9834,0.201765,0,The Sunshine Boys,Comedy,1975
420,0.24742600000000003,0,He Named Me Malala,Documentary,2015
8148,0.5264850000000001,42000000,Strange Days,Science Fiction,1995
7924,0.504848,25000000,City Heat,Crime,1984
4655,0.33164499999999997,0,Game Change,Drama,2012
3082,0.432911,10000000,Gong fu guan lan,Comedy,2008
10435,0.054863,0,Who's That Knocking at My Door,Drama,1967
3028,0.58326,20000000,The Burning Plain,Drama,2008
2027,0.8391069999999999,30000000,Cop Out,Comedy,2010
964,0.510296,0,Young Ones,Action,2014
7400,2.1945259999999998,15000000,Into the Wild,Drama,2007
9126,0.23041999999999999,0,The Second Arrival,Action,1998
1617,0.416013,0,Exam,Mystery,2009
1037,0.289102,0,The Canal,Thriller,2014
2029,0.827664,500000,Monsters,Drama,2010
2570,0.238749,15000000,Eye of the Beholder,Drama,1999
10363,0.20979499999999998,0,Sing si lip yan,Comedy,1993
9891,0.37197600000000003,0,Murder Ahoy,Mystery,1964
1090,0.43327299999999996,0,The Well,Horror,2014
9526,0.317301,0,Mystic Pizza,Romance,1988
4218,0.7624920000000001,0,The Land Before Time II: The Great Valley Adventure,Animation,1994
1351,0.375967,14000000,Exorcist II: The Heretic,Thriller,1977
1464,0.9675520000000001,0,Wrong Turn 3: Left for Dead,Horror,2009
6088,1.299275,3000000,A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,1985
4032,0.49788999999999994,13500000,Far from Heaven,Romance,2002
2297,0.195641,0,Territories,Horror,2010
2030,0.826116,0,The Way,Comedy,2010
1019,0.304992,0,John Doe: Vigilante,Thriller,2014
4163,0.095114,0,Plots with a View,Romance,2002
8177,0.3856,0,Village of the Damned,Thriller,1995
4424,1.3270620000000002,0,Anna Karenina,Drama,2012
4311,0.266651,0,S.F.W.,Comedy,1994
10595,1.549139,7000000,Live and Let Die,Thriller,1973
1244,0.082565,0,The Guvnors,Thriller,2014
4167,0.079351,0,Deuces Wild,Crime,2002
2717,0.5658770000000001,32000000,Hardball,Comedy,2001
2348,0.191889,1100000,Beyond the Black Rainbow,Science Fiction,2010
1925,3.74884,80000000,The Expendables,Action,2010
1393,3.7449559999999997,30000000,District 9,Thriller,2009
2824,0.205873,0,The Body,Mystery,2001
9092,0.577579,75000000,Soldier,Action,1998
8595,0.346432,15000000,Bio-Dome,Comedy,1996
1674,0.35320300000000004,8000000,New in Town,Romance,2009
1164,0.165741,0,Jamie Marks Is Dead,Thriller,2014
1710,0.303296,0,The New Daughter,Thriller,2009
7606,0.402329,0,Firehouse Dog,Adventure,2007
2261,0.22912399999999997,0,Exorcismus,Foreign,2010
4854,0.11391400000000002,0,Tim and Eric's Billion Dollar Movie,Comedy,2012
6538,0.04264,0,Return of the Living Dead: Necropolis,Horror,2005
7138,0.37604899999999997,0,Cruel Intentions 3,Thriller,2004
9819,0.451933,0,Black Moon,Fantasy,1975
8503,0.7489640000000001,0,Barb Wire,Science Fiction,1996
9731,0.569422,7700000,Where Eagles Dare,War,1968
9461,1.1155979999999999,70000000,Who Framed Roger Rabbit,Comedy,1988
4132,0.185041,40000000,Big Trouble,Action,2002
6119,0.5872729999999999,25000000,The Jewel of the Nile,Adventure,1985
5795,0.290095,0,Adult World,Comedy,2013
7838,0.593218,0,The Amityville Horror,Thriller,1979
3397,2.2343,130000000,The Adventures of Tintin,Mystery,2011
229,0.577814,35000000,Unfinished Business,Comedy,2015
7665,0.267233,16000000,The Darjeeling Limited,Adventure,2007
8980,1.7869130000000002,35000000,Species II,Action,1998
5252,1.307058,17000000,I Know What You Did Last Summer,Horror,1997
1165,0.16369,0,The Device,Horror,2014
3656,0.37824,500000,Marvel One-Shot: The Consultant,Fantasy,2011
10694,0.484904,0,Ten Little Indians,Drama,1965
2033,0.802711,3200000,Beginners,Romance,2010
10427,0.109398,65000,Spider Baby,Science Fiction,1967
5487,1.40572,55000000,Captain Phillips,Drama,2013
3465,1.052549,0,A Cinderella Story: Once Upon a Song,Family,2011
7273,0.599109,3500000,Frenzy,Mystery,1972
1463,0.967776,50000000,The Boat That Rocked,Comedy,2009
9525,0.319332,22000000,Gorillas in the Mist,Drama,1988
4201,0.983841,15000000,The Crow,Action,1994
7638,0.320907,67000000,The Last Legion,Fantasy,2007
5847,0.226483,0,Madly Madagascar,Comedy,2013
3541,0.659941,0,Marley & Me: The Puppy Years,Adventure,2011
950,0.6698069999999999,0,A Long Way Down,Drama,2014
865,0.5718439999999999,0,You're Not You,Drama,2014
8619,0.254728,0,Eddie,Comedy,1996
10850,0.20247300000000001,0,Harper,Action,1966
6983,1.9112060000000002,116000000,The Aviator,Drama,2004
913,0.46628400000000003,0,Cloud 9,TV Movie,2014
5085,0.413383,0,In America,Drama,2003
8535,0.5375770000000001,67000000,Last Man Standing,Crime,1996
4382,2.5710990000000002,75000000,The Hunger Games,Science Fiction,2012
7571,0.464192,0,Return to House on Haunted Hill,Thriller,2007
5833,0.238632,5000000,The Last Exorcism Part II,Thriller,2013
1387,6.098027,70000000,Inglourious Basterds,Drama,2009
737,1.375493,0,Marvel One-Shot: All Hail the King,Thriller,2014
239,0.542568,6000000,Ooops! Noah is Gone...,Animation,2015
1992,1.084894,8000000,It's Kind of a Funny Story,Comedy,2010
4439,1.157127,35000000,Stolen,Thriller,2012
10758,1.210324,55000000,Superman,Science Fiction,1978
5471,1.6531639999999999,50000000,Planes,Family,2013
1412,1.826169,40000000,Fantastic Mr. Fox,Animation,2009
9450,2.1506819999999998,18000000,Big,Romance,1988
5244,1.929641,53000000,Anastasia,Animation,1997
5726,0.361298,6500000,Death Race: Inferno,Science Fiction,2013
10278,0.6130939999999999,8000000,Much Ado About Nothing,Romance,1993
2013,0.9196350000000001,20000000,Let Me In,Drama,2010
3648,0.39689800000000003,20000000,The Resident,Thriller,2011
1668,0.360935,0,Possession,Romance,2009
3727,0.273056,0,DC Showcase: Catwoman,Action,2011
8685,1.104427,26000000,Boiler Room,Crime,2000
10543,0.32409899999999997,0,Heartburn,Drama,1986
3475,1.004841,49900000,Your Highness,Fantasy,2011
9125,0.231134,0,Babylon 5: In the Beginning,Adventure,1998
10735,0.39668600000000004,0,"Hello, Dolly!",Comedy,1969
58,2.557859,15000000,The Danish Girl,Drama,2015
1796,0.284873,0,Feast III: The Happy Finish,Horror,2009
122,1.342839,0,Everly,Action,2015
6429,0.280055,0,Reeker,Horror,2005
1187,0.140245,0,Whitey: United States of America v. James J. Bulger,Documentary,2014
3309,0.10378,0,The Clique,Comedy,2008
1733,0.278387,75,Wanted,Action,2009
5253,1.272247,57000000,The Devil's Advocate,Thriller,1997
5445,2.604638,200000000,World War Z,Science Fiction,2013
2180,0.348945,7000000,Cyrus,Drama,2010
584,0.190385,0,The Phoenix Incident,Science Fiction,2015
4070,0.357389,9000000,Igby Goes Down,Comedy,2002
3012,0.633135,5000000,Joy Ride 2: Dead Ahead,Crime,2008
10619,0.240731,0,The Last Detail,Drama,1973
8457,4.480733,75000000,Independence Day,Science Fiction,1996
2424,1.72385,42000000,Notting Hill,Comedy,1999
2594,0.166168,10000000,Resurrection,Drama,1999
1585,0.47668699999999997,3500000,Defendor,Action,2009
5483,1.432796,135000000,The Croods,Fantasy,2013
1601,0.44144399999999995,19000000,Friday the 13th,Horror,2009
7411,1.862295,160000000,Shrek the Third,Family,2007
10425,0.11434200000000001,3500000,A Countess from Hong Kong,Comedy,1967
9032,0.680245,30000000,I'll Be Home for Christmas,Family,1998
5674,0.457768,10000000,Jimmy P.,Drama,2013
9079,0.404482,60000000,Holy Man,Comedy,1998
4481,0.7778689999999999,30000000,Hope Springs,Romance,2012
6621,0.956715,0,The Pink Panther,Crime,2006
1089,0.129935,0,Where Hope Grows,Drama,2014
9112,0.276165,0,Senseless,Comedy,1998
6961,0.001115,0,Khosla Ka Ghosla!,Comedy,2006
2950,0.9783129999999999,2900000,Felon,Crime,2008
7868,0.16432,0,Hanover Street,Romance,1979
4054,0.41480500000000003,0,The Count of Monte Cristo,Drama,2002
9840,0.162767,0,Rooster Cogburn,Western,1975
8457,4.480733,75000000,Independence Day,Action,1996
403,0.171829,0,Digging for Fire,Drama,2015
230,0.5707439999999999,2000000,Lost River,Thriller,2015
899,0.49127299999999996,5000000,13 Sins,Thriller,2014
4603,0.409718,20000000,Fire with Fire,Action,2012
10112,0.9002450000000001,6000000,West Side Story,Drama,1961
3463,1.055533,35000000,Something Borrowed,Comedy,2011
2802,0.263042,75000000,Monkeybone,Animation,2001
8813,0.209396,60000000,What Planet Are You From?,Romance,2000
2830,0.254157,0,Shrek in the Swamp Karaoke Dance Party,Music,2001
59,2.5507470000000003,70000000,Blackhat,Crime,2015
7331,0.42284700000000003,0,Bronco Billy,Western,1980
17,5.5731839999999995,130000000,Ant-Man,Action,2015
10448,0.50154,0,Lord of the Flies,Foreign,1963
6761,0.370019,0,Everyone's Hero,Animation,2006
4311,0.266651,0,S.F.W.,Drama,1994
1409,1.874759,0,The Pink Panther 2,Mystery,2009
733,1.3987129999999999,10000000,Big Eyes,Drama,2014
10189,0.377579,0,Silver Streak,Romance,1976
2890,2.188028,85000000,Hellboy II: The Golden Army,Fantasy,2008
3257,0.168979,5000000,Bottle Shock,Drama,2008
9259,0.360554,0,The Package,Crime,1989
8978,1.855981,70000000,The Prince of Egypt,Drama,1998
3228,0.22223,4300000,Dark Floors,Fantasy,2008
7896,0.9739,4500000,Police Academy,Comedy,1984
1033,0.290104,0,V/H/S: Viral,Horror,2014
678,2.721864,55000000,Paddington,Comedy,2014
462,0.20435599999999998,0,Don Verdean,Comedy,2015
363,0.324,0,The Stanford Prison Experiment,Drama,2015
8876,0.059043,0,State and Main,Comedy,2000
10748,0.141056,0,Hercules in New York,Adventure,1969
6207,1.78595,26000000,The 40 Year Old Virgin,Comedy,2005
9642,0.405361,0,Harry and the Hendersons,Fantasy,1987
706,1.904422,100000000,Transcendence,Thriller,2014
3441,1.2120030000000002,7000000,Catch .44,Action,2011
3656,0.37824,500000,Marvel One-Shot: The Consultant,Science Fiction,2011
6135,0.386036,0,A Chorus Line,Drama,1985
8158,0.469383,0,Bushwhacked,Family,1995
9047,0.562005,6000000,Sliding Doors,Fantasy,1998
7535,0.544916,12000000,Trick 'r Treat,Thriller,2007
7982,0.11825799999999999,0,Beat Street,Family,1984
2431,1.320079,80000000,Analyze This,Crime,1999
9259,0.360554,0,The Package,Drama,1989
3931,1.694723,48000000,Panic Room,Drama,2002
2971,0.822759,60000000,Righteous Kill,Crime,2008
7153,0.316254,0,Le conseguenze dell'amore,Drama,2004
3706,0.296065,8000000,Hidden 3D,Thriller,2011
1675,0.348842,25000000,Me and Orson Welles,Drama,2009
5323,0.471278,35000000,Smilla's Sense of Snow,Mystery,1997
2645,2.179727,115000000,Lara Croft: Tomb Raider,Fantasy,2001
3532,0.688697,27000000,Spy Kids: All the Time in the World,Comedy,2011
8209,0.269228,0,Jury Duty,Thriller,1995
4457,0.9842559999999999,0,The First Time,Drama,2012
5373,0.261797,0,Nowhere,Drama,1997
10777,0.43921000000000004,11,F.I.S.T.,Drama,1978
1936,2.162441,100000000,The Tourist,Thriller,2010
10087,0.09399600000000001,0,Almost an Angel,Comedy,1990
1180,0.148877,0,Listen Up Philip,Comedy,2014
7860,0.159632,2700000,The Black Stallion,Adventure,1979
3584,0.509793,0,Martha Marcy May Marlene,Drama,2011
49,2.8851259999999996,4000000,The Lobster,Drama,2015
9024,0.767289,0,Quest for Camelot,Family,1998
9964,0.142949,0,Punishment Park,Drama,1971
4052,0.426888,12000000,The House on Turk Street,Thriller,2002
6782,0.33058200000000004,13000000,Infamous,Drama,2006
7962,0.215846,0,A Soldier's Story,Mystery,1984
10452,0.3104,0,Hud,Action,1963
8332,0.269621,0,Wuthering Heights,Drama,1992
1425,1.416811,0,Tinker Bell and the Lost Treasure,Adventure,2009
9435,0.1523,13000000,Mannequin Two: On the Move,Science Fiction,1991
2807,0.24935700000000002,0,Attila,Action,2001
9512,0.370575,30000000,Midnight Run,Adventure,1988
2887,2.349544,150000000,The Incredible Hulk,Action,2008
4005,0.609595,7000000,Interstate 60,Mystery,2002
3733,0.263908,134005,Snow Flower and the Secret Fan,Drama,2011
8534,0.541018,0,The Substitute,Thriller,1996
2695,0.718104,0,The Hole,Thriller,2001
9024,0.767289,0,Quest for Camelot,Fantasy,1998
5759,0.32656199999999996,2500000,Hell Baby,Horror,2013
4978,1.5694350000000001,95000000,Lara Croft Tomb Raider: The Cradle of Life,Fantasy,2003
10325,0.362595,0,Six Degrees of Separation,Drama,1993
10353,0.512054,0,Warlock: The Armageddon,Fantasy,1993
8642,0.239002,0,Crossworlds,Science Fiction,1996
1641,0.393762,10000000,The Devil's Tomb,Horror,2009
10320,0.323442,0,Sharpe's Rifles,Adventure,1993
8236,0.114996,0,Forget Paris,Drama,1995
2578,0.20768000000000003,23000000,Animal Farm,Comedy,1999
4526,0.58808,10000000,Seeking a Friend for the End of the World,Comedy,2012
7175,0.267871,0,Frankenfish,Comedy,2004
3020,0.6067,60000000,The Tale of Despereaux,Animation,2008
10663,0.318475,0,Santa Claus Is Comin' to Town,Fantasy,1970
8596,0.3383,0,My Fellow Americans,Comedy,1996
1654,0.377372,0,The Thaw,Horror,2009
10500,0.669137,15000000,Heartbreak Ridge,War,1986
8125,0.705828,8,The Prophecy,Thriller,1995
4190,1.353693,62000000,Clear and Present Danger,Action,1994
93,1.872696,10000000,Vice,Action,2015
6247,1.053307,88000000,Cinderella Man,Drama,2005
5778,0.305357,0,The Reluctant Fundamentalist,Thriller,2013
8486,0.9754729999999999,92000000,Twister,Drama,1996
6857,0.5339659999999999,20000000,School for Scoundrels,Drama,2006
2223,0.27868899999999996,0,Road Train,Thriller,2010
4471,0.836457,15000000,Killing Them Softly,Crime,2012
6115,0.6198170000000001,0,Pale Rider,Romance,1985
5145,0.248133,6800000,Shade,Thriller,2003
9905,0.182922,3000000,The Night of the Iguana,Romance,1964
4335,0.278638,0,The Puppet Masters,Thriller,1994
882,0.539017,5000000,Reach Me,Drama,2014
1991,1.107358,45000000,The Ghost Writer,Thriller,2010
10340,0.29896,0,Matinee,Drama,1993
9562,0.177816,0,Return of the Killer Tomatoes!,Horror,1988
6325,0.548181,0,Imagine Me & You,Drama,2005
1490,0.7967609999999999,40000000,Ninja Assassin,Thriller,2009
4555,0.494655,5000000,Girl in Progress,Comedy,2012
7543,0.528177,0,Hot Rod,Action,2007
5204,0.10846300000000002,0,Final Flight of the Osiris,Action,2003
10767,0.581236,0,Game of Death,Crime,1978
4204,0.951117,0,Miracle on 34th Street,Fantasy,1994
9223,0.480969,0,Turner & Hooch,Crime,1989
9638,0.447184,10000000,Cherry 2000,Science Fiction,1987
8196,0.31364699999999995,0,Kicking and Screaming,Drama,1995
5554,0.9046639999999999,0,Vehicle 19,Thriller,2013
6653,0.750786,35000000,The Nativity Story,Drama,2006
2542,0.301697,0,Rogue Trader,Foreign,1999
4304,0.278598,0,Bad Girls,Comedy,1994
2735,0.472538,72000000,The Majestic,Drama,2001
4603,0.409718,20000000,Fire with Fire,Thriller,2012
1453,1.075405,4500000,After.Life,Thriller,2009
4820,0.35902199999999995,0,Interview with a Hitman,Thriller,2012
8256,1.014049,23000000,Universal Soldier,Science Fiction,1992
1249,0.135675,0,Jailbait,Crime,2014
3375,4.9551300000000005,380000000,Pirates of the Caribbean: On Stranger Tides,Adventure,2011
2856,0.126065,5000000,Made,Comedy,2001
1226,0.09733,0,Delirium,Fantasy,2014
2810,0.239869,11000000,Corky Romano,Crime,2001
9191,1.362379,55000000,Tango & Cash,Adventure,1989
774,0.9565819999999999,0,Testament of Youth,History,2014
10782,0.33519699999999997,10000000,The Wild Geese,Thriller,1978
3708,0.29530100000000004,0,The Phantom of the Opera at the Royal Albert Hall,Music,2011
5428,4.877927,100000000,The Wolf of Wall Street,Comedy,2013
5070,0.457107,0,National Security,Comedy,2003
3313,0.12131600000000001,0,Hush,Foreign,2008
3664,0.548602,4000000,Red State,Thriller,2011
4689,0.292387,0,Le Guetteur,Crime,2012
7182,0.251389,0,Fat Albert,Comedy,2004
981,0.34388,10,Plastic,Comedy,2014
3418,1.488615,170000000,Hugo,Family,2011
1148,0.179072,0,Northern Soul,Drama,2014
269,0.465707,0,Strange Magic,Animation,2015
10528,0.40021799999999996,3000000,A Room with a View,Drama,1986
6301,0.6638609999999999,45000000,Kicking & Screaming,Romance,2005
7784,0.10488800000000001,0,Return of the Ghostbusters,Science Fiction,2007
4823,0.144297,0,The Summit,Documentary,2012
5976,0.113051,0,House of Versace,TV Movie,2013
3209,0.245327,0,House,Drama,2008
3998,0.682409,38000000,Enough,Drama,2002
22,4.907832,110000000,San Andreas,Action,2015
8733,0.558581,0,The Yards,Drama,2000
5810,0.275012,5000000,Enemies Closer,Action,2013
7202,0.201053,0,Back to Gaya,Animation,2004
8146,0.538475,11000000,Canadian Bacon,Action,1995
6626,0.920528,40000000,Big Momma's House 2,Crime,2006
10291,0.519349,32000000,Alive,Action,1993
2156,0.23283,0,Superman/Shazam!: The Return of Black Adam,Animation,2010
3059,0.481188,12000000,Quarantine,Horror,2008
7176,0.266804,5000000,Riding the Bullet,Drama,2004
6163,0.22565,0,My Science Project,Science Fiction,1985
8670,1.767681,70000000,What Women Want,Romance,2000
2750,0.427146,15000000,Buffalo Soldiers,Comedy,2001
2949,0.988883,0,Wild Child,Family,2008
1359,0.28016599999999997,0,Black Sunday,Drama,1977
5044,0.576335,52000000,Bulletproof Monk,Comedy,2003
8123,0.7434850000000001,0,Balto,Animation,1995
4882,0.07928099999999999,0,Jurassic Shark,Action,2012
3803,0.250308,0,The Pool Boys,Comedy,2011
7750,0.150269,15000000,Angel,Drama,2007
10023,0.45993199999999995,7000000,Dark Angel,Science Fiction,1990
10845,0.230873,0,Carry On Cowboy,Comedy,1966
568,0.088912,0,VANish,Action,2015
6925,0.078983,12000000,For Your Consideration,Comedy,2006
8157,0.47311400000000003,0,Total Eclipse,Drama,1995
1460,1.0180049999999998,22000000,The Informant!,Crime,2009
349,0.336453,0,Tremors 5: Bloodlines,Action,2015
1502,0.729008,0,The Haunting in Connecticut,Thriller,2009
1053,0.26952800000000005,0,Kajaki,War,2014
4809,0.12306099999999999,0,"Peace, Love & Misunderstanding",Romance,2012
287,0.43558199999999997,5000000,Jem and the Holograms,Fantasy,2015
10655,0.3881,0,Ryan's Daughter,Romance,1970
3601,0.482368,10000000,Killer Joe,Drama,2011
6276,0.784909,7000000,"Good Night, and Good Luck.",History,2005
8581,0.383389,0,Stealing Beauty,Drama,1996
7378,0.090285,0,The Octagon,Thriller,1980
3349,0.042151999999999995,0,The Horribly Slow Murderer with the Extremely Inefficient Weapon,Horror,2008
9662,0.45783100000000004,0,Suspect,Crime,1987
688,2.493306,12000000,Drive Hard,Action,2014
663,3.4891059999999996,145000000,How to Train Your Dragon 2,Comedy,2014
7845,0.473733,0,The Villain,Western,1979
