original_title,title_length,production_companies
Pirates of the Caribbean: At World's End,40, Second Mate Productions
Sky Captain and the World of Tomorrow,37,Paramount Pictures
Delivery Man,12,DreamWorks SKG
I'm Not There.,14, Rising Star
Diary of a Wimpy Kid: Rodrick Rules,35, Color Force
Rocky Balboa,12, Revolution Studios
Seventh Son,11, Thunder Road Pictures
Begin Again,11, Exclusive Media Group
The Grand Budapest Hotel,24, Scott Rudin Productions
Run All Night,13,Vertigo Entertainment
An Unfinished Life,18, Revolution Studios
Pan,3,Warner Bros.
White Chicks,12, Revolution Studios
The Pirates! In an Adventure with Scientists!,45,Columbia Pictures
The Brothers Grimm,18, Mosaic Media Group
Exodus: Gods and Kings,22, Chernin Entertainment
Crossroads,10, MTV Films
Stardust,8, Marv Films
TRON: Legacy,12, Prana Studios
Agent Cody Banks,16, Dylan Sellers Productions
The Game Plan,13,Walt Disney Pictures
The Girl Next Door,18,Regency Enterprises
White Chicks,12,Columbia Pictures
Bullet to the Head,18,Dark Castle Entertainment
A Guy Thing,11, David Ladd Films
Big Miracle,11, Working Title Films
Soul Surfer,11, Affirm Films
Wall Street: Money Never Sleeps,31, Dune Entertainment
Inside Out,10, Walt Disney Studios Motion Pictures
The Big Wedding,15,Millenium Films
Coraline,8,Focus Features
The Transporter,15, EuropaCorp
Snatch,6, SKA Films
Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´,20,Art Pictures Studio
Star Trek Into Darkness,23, Kurtzman/Orci
Parental Guidance,17, Chernin Entertainment
Zero Dark Thirty,16, Annapurna Pictures
Dinner for Schmucks,19, Reliance BIG Entertainment
Run Fatboy Run,14, Material Entertainment
The Purge: Anarchy,18, 5150 Action
The Jacket,10,Section Eight
The Scorpion King,17,Universal Pictures
Upside Down,11, Studio 37
Kill Bill: Vol. 2,17, A Band Apart
Valentine's Day,15, Rice Films
Foxcatcher,10,Likely Story
The Incredibles,15,Walt Disney Pictures
House of the Dead,17, Mindfire Entertainment
Space Chimps,12, Odyssey Entertainment
The Hurt Locker,15, Grosvenor Park Media Ltd.
Shanghai Knights,16, Birnbaum / Barber Productions
Disturbia,9, Cold Spring Pictures
Bride Wars,10,Dune Entertainment
K-19: The Widowmaker,20,Paramount Pictures
Seabiscuit,10, Spyglass Entertainment
About Schmidt,13,New Line Cinema
Love in the Time of Cholera,27,New Line Cinema
What Lies Beneath,17,DreamWorks SKG
The Constant Gardener,21, Scion Films
Gridiron Gang,13,Columbia Pictures
Godzilla,8,Toho Company
Spring Breakers,15, Pop Films
AntiTrust,9, Metro-Goldwyn-Mayer (MGM)
Catch Me If You Can,19, Kemp Company
Eye in the Sky,14, Raindog Films
The Twilight Saga: Breaking Dawn - Part 1,41, Total Entertainment
Lions for Lambs,15, Andell Entertainment
The Internship,14, TSG Entertainment
Abandon,7, Spyglass Entertainment
Apollo 18,9, Dimension Films
A Sound of Thunder,18, Crusader Entertainment
The Constant Gardener,21, Focus Features
RockNRolla,10,StudioCanal
Knight and Day,14, Regency Enterprises
The Lego Movie,14,Village Roadshow Pictures
The Debt,8, Pioneer Pictures
Fantastic Mr. Fox,17, American Empirical Pictures
Robots,6, Twentieth Century Fox Animation
Fast & Furious,14, Original Film
Kiss of the Dragon,18, Immortal Entertainment
The Last Airbender,18, Nickelodeon Movies
Red Planet,10, Warner Bros.
The Green Hornet,16, Reliance BIG Entertainment
Zodiac,6, Warner Bros.
The Mortal Instruments: City of Bones,37, Mr. Smith Productions
The Core,8, David Foster Productions
People Like Us,14,DreamWorks SKG
Freddy vs. Jason,16, Cecchi Gori Group Tiger Cinematografica
Insurgent,9,Summit Entertainment
Bangkok Dangerous,17,Virtual Studios
47 Ronin,8, Moving Picture Company (MPC)
Room,4, No Trace Camping
You Don't Mess With the Zohan,29, Sony Pictures Releasing
The Gambler,11, Winkler Films
Need for Speed,14, Electronic Arts
Mamma Mia!,10, Internationale Filmproduktion Richter
The Fountain,12,Regency Enterprises
The Butterfly Effect,20, FilmEngine
Diana,5,Ecosse Films
Cinderella,10, Genre Films
I Could Never Be Your Woman,27, I Could Never Ltd.
The Ides of March,17, Exclusive Media Group
The Good Shepherd,17, American Zoetrope
Freedom Writers,15, Kernos Filmproduktionsgesellschaft & Company
Man of Steel,12,Legendary Pictures
The Longest Yard,16,Paramount Pictures
Turbo,5,DreamWorks Animation
Unbreakable,11, Touchstone Pictures
Deception,9, Seed Productions
RockNRolla,10, Dark Castle Entertainment
Country Strong,14, Screen Gems
The Hours,9,Paramount Pictures
RoboCop,7, Strike Entertainment
Machete,7, Troublemaker Studios
The Water Horse,15, Ecosse Films
Dylan Dog: Dead of Night,24, Long Distance Films
Blue Crush,10, Mikona Productions GmbH & Co. KG
Ocean's Twelve,14, WV Films III
Mirror Mirror,13, Yucaipa Films
The Lake House,14, Sound for Film
The Invention of Lying,22,Media Rights Capital
The Blind Side,14,Alcon Entertainment
The Rite,8, Contrafilm
Derailed,8, Di Bonaventura Pictures
There Will Be Blood,19, Ghoulardi Film Company
Fast & Furious,14,Universal Pictures
Eat Pray Love,13, Plan B Entertainment
The Expendables 3,17, Millennium Films
Rat Race,8, Alphaville Films
Sparkle,7, Stage 6 Films
Traffic,7, Initial Entertainment Group (IEG)
Miami Vice,10, Metropolis Films
The Skeleton Key,16, Daniel Bobker Productions
Beowulf,7,Paramount Pictures
Sweet November,14, Warner Bros.
The Cave,8, Screen Gems
The Mortal Instruments: City of Bones,37, Don Carmody Productions
Frailty,7, David Kirschner Productions
Poltergeist,11, Vertigo Entertainment
Yogi Bear,9, Picnic Basket
Pitch Perfect 2,15, Brownstone Productions
The Others,10,Cruise/Wagner Productions
The Expendables 3,17, Nu Image Films
Curious George,14, Universal Pictures
Colombiana,10,TF1 Films Production
Boys and Girls,14,Dimension Films
St. Vincent,11, Goldenlight Films
Titan A.E.,10,Twentieth Century Fox Film Corporation
All About Steve,15, Fox 2000 Pictures
National Treasure,17,Walt Disney Pictures
Saw V,5, Twisted Pictures
The 40 Year Old Virgin,22,Universal Pictures
The Whole Ten Yards,19, Franchise Pictures
The Guardian,12, Firm Films
Need for Speed,14,DreamWorks SKG
Final Destination 3,19,New Line Cinema
The Intern,10,Waverly Films
Endless Love,12, Fake Empire
Memoirs of a Geisha,19, Red Wagon Productions
The Devil Wears Prada,21, Fox 2000 Pictures
Savages,7,Ixtlan
Signs,5, The
Bad Company,11, Stillking Films
The Hundred-Foot Journey,24,Amblin Entertainment
War Horse,9, Reliance Entertainment
Paul,4, Big Talk Productions
A History of Violence,21, DC Comics
Godzilla,8, Legendary Pictures
Jem and the Holograms,21, Allspark Pictures
Silent Hill,11,Silent Hill DCP Inc.
Vantage Point,13,Columbia Pictures
Transformers: Revenge of the Fallen,35, Amblin Entertainment
An Unfinished Life,18, The Ladd Company
Into the Storm,14, Village Roadshow Pictures
The Time Machine,16,DreamWorks SKG
Lucy,4, Canal+
Trance,6, PathÃ©
Mindhunters,11, Intermedia Films
Wedding Crashers,16, Avery Pix
Star Trek,9, Bad Robot
3:10 to Yuma,12, Relativity Media
G.I. Joe: The Rise of Cobra,27, Spyglass Entertainment
The Bucket List,15, Zadan / Meron Productions
Chloe,5, Montecito Picture Company
Legend of the Guardians: The Owls of Ga'Hoole,45, Warner Bros.
The Hunger Games: Catching Fire,31,Lionsgate
The Pyramid,11,Fox International Productions
Jennifer's Body,15,Dune Entertainment
The Master,10, The Weinstein Company
Into the Woods,14, Lucamar Productions
Whiteout,8, Canadian Film or Video Production Tax Credit (CPTC)
Epic Movie,10, Regency Enterprises
A Walk Among the Tombstones,27, 1984 Private Defense Contractors
National Treasure,17, Jerry Bruckheimer Films
Into the Wild,13, Into the Wild
Red Eye,7, BenderSpink
The Karate Kid,14, Jerry Weintraub Productions
Space Cowboys,13, Mad Chance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",62,Walt Disney
Walk the Line,13, Mars Media Beteiligungs
The Secret Life of Bees,23,Fox Searchlight Pictures
Green Lantern,13, Warner Bros.
Non-Stop,8, Canal+
Pearl Harbor,12, Touchstone Pictures
Scary Movie 2,13,Gold/Miller Productions
Jason X,7, Crystal Lake Entertainment
Get Carter,10, Warner Bros.
Taken 3,7, CinÃ©+
The Last Legion,15, Quinta Communications
The Dark Knight,15, Syncopy
Unfaithful,10,Regency Enterprises
Bright Star,11, Australian Film Finance Corporation (AFFC)
Cold Mountain,13, Mirage Enterprises
Grudge Match,12,Gerber Pictures
Atonement,9,Universal Pictures
Life of Pi,10, Fox 2000 Pictures
Horrible Bosses 2,17, BenderSpink
Wrong Turn,10,Summit Entertainment
Mission: Impossible III,23,Paramount Pictures
Just My Luck,12, Cheyenne Enterprises
How to Lose Friends & Alienate People,37, Lipsync Productions
No Reservations,15, Warner Bros.
Twisted,7, Intertainment AG
Million Dollar Baby,19,Lakeshore Entertainment
Sahara,6, Baldwin Entertainment Group
High Fidelity,13, Touchstone Pictures
Suite FranÃ§aise,16, Canal+
The Grey,8, Inferno Distribution
The Invasion,12, Warner Bros.
Big Hero 6,10,Walt Disney Pictures
The Monuments Men,17, Studio Babelsberg
"I, Frankenstein",15, Sidney Kimmel Entertainment
The Skulls,10, Cranium Films
The Stepford Wives,18,Paramount Pictures
Eat Pray Love,13, Red Om Films
Memento,7, I Remember Productions
The Heat,8, Ingenious Media
Centurion,9, Canal+
Shrek,5, DreamWorks Animation
John Tucker Must Die,20, Landscape Entertainment
The Happening,13,Spyglass Entertainment
Hellboy,7,Revolution Studios
X2,2, XM2 Productions
Watchmen,8, Warner Bros.
The League of Extraordinary Gentlemen,37, JD Productions
Frequency,9,New Line Cinema
Cast Away,9, Twentieth Century Fox Film Corporation
Cop Out,7,Warner Bros.
Never Let Me Go,15, DNA Films
Lord of War,11,Saturn Films
K-19: The Widowmaker,20, New Regency Pictures
The Fault in Our Stars,22,Fox 2000 Pictures
Dirty Dancing: Havana Nights,28, Artisan Entertainment
Spider-Man 2,12, Marvel Enterprises
Superbad,8,Columbia Pictures
Out Cold,8, Touchstone Pictures
Focus,5,Kramer & Sigman Films
Femme Fatale,12, Quinta Communications
Woman in Gold,13, Origin Pictures
Swing Vote,10,Touchstone Pictures
Brave,5,Walt Disney Pictures
The Place Beyond the Pines,26,Sidney Kimmel Entertainment
Grudge Match,12, Warner Bros.
Something Borrowed,18,Alcon Entertainment
The Monuments Men,17, Smokehouse Pictures
Happy Feet,10, Kingdom Feature Productions
Quarantine,10, Andale Pictures
Sabotage,8,Open Road Films
Coraline,8, Laika Entertainment
All About the Benjamins,23,New Line Cinema
Insomnia,8, Witt/Thomas Productions
The Peanuts Movie,17, Twentieth Century Fox Animation
When a Stranger Calls,21, Screen Gems
Spy Game,8, Beacon Communications
Wedding Crashers,16, Tapestry Films
Escape Plan,11, Emmett/Furla Films
Unstoppable,11, Millbrook Farm Productions
Star Trek Into Darkness,23, Skydance Productions
Juno,4,Fox Searchlight Pictures
Arbitrage,9, Green Room Films
30 Days of Night,16, HorrorFlix
Goal!: The Dream Begins,23, Milkshake Films
Eight Below,11,Walt Disney Pictures
Fantastic Four,14, Marvel Entertainment
Little Fockers,14, Relativity Media
Ice Age: The Meltdown,21,Blue Sky Studios
Terminator Salvation,20, Wonderland Sound and Vision
Love & Other Drugs,18,Bedford Falls Productions
The Chronicles of Narnia: Prince Caspian,40, Walden Media
The Big Year,12, Fox 2000 Pictures
Get Him to the Greek,20, Spyglass Entertainment
Role Models,11, Relativity Media
Watchmen,8, Lawrence Gordon Productions
Reign of Fire,13, Touchstone Pictures
Sunshine,8, Ingenious Film Partners
K-PAX,5,Intermedia Films
The Possession,14, North Box Productions
A Walk Among the Tombstones,27, Exclusive Media Group
Abraham Lincoln: Vampire Hunter,31, Location Gourmet
Blended,7, Gulfstream Pictures
What If,7, No Trace Camping
How the Grinch Stole Christmas,30,Imagine Entertainment
Stolen,6, Nu Image Films
Magic Mike,10, Extension 765
Eagle Eye,9, KMP Film Invest
21 Jump Street,14,Columbia Pictures
Hitch,5, Overbrook Entertainment
The Gift,8, Ahimsa Films
The Adventures of Rocky & Bullwinkle,36, KC Medien AG
A Serious Man,13, Focus Features
Flags of Our Fathers,20, Malpaso Productions
Cast Away,9, Playtone
The Roommate,12, Screen Gems
Cosmopolis,10, Alfama Films
Sahara,6, Desertlands Entertainment
Broken City,11, New Regency Pictures
Legend of the Guardians: The Owls of Ga'Hoole,45,Village Roadshow Pictures
The Secret Life of Walter Mitty,31,New Line Cinema
Apocalypto,10,Icon Productions
Unfinished Business,19, New Regency Pictures
The Artist,10, Jouror Productions
Ice Age,7, Twentieth Century Fox Animation
Burke & Hare,12, Quickfire Films
Happy Feet,10,Village Roadshow Pictures
Eragon,6,Ingenious Film Partners
The Village,11, Blinding Edge Pictures
Blackhat,8,Universal Pictures
Gulliver's Travels,18, Dune Entertainment III
Annie,5, Sony Pictures Entertainment (SPE)
Tomorrowland,12, A113
G-Force,7, Whamaphram Productions
Angels & Demons,15,Columbia Pictures
Grown Ups,9,Columbia Pictures
Minority Report,15, Twentieth Century Fox Film Corporation
The In Crowd,12,Warner Bros. Pictures
Intolerable Cruelty,19, Alphaville Productions
Swordfish,9, NPV Entertainment
Stranger Than Fiction,21, Three Strange Angels
Planes: Fire & Rescue,21, DisneyToon Studios
The Cabin in the Woods,22,Lionsgate
Transformers: Dark of the Moon,30, Hasbro
Dirty Dancing: Havana Nights,28, Lawrence Bender Productions
An Unfinished Life,18, Initial Entertainment Group (IEG)
Bridge of Spies,15, Fox 2000 Pictures
Apocalypto,10, Touchstone Pictures
Baby Boy,8,Columbia Pictures
Charlie Wilson's War,20, Participant Productions
The Adventures of Pluto Nash,28,Village Roadshow Pictures
Woman in Gold,13,BBC Films
Quarantine,10,Vertigo Entertainment
The Terminal,12,DreamWorks SKG
Taxi,4,Twentieth Century Fox Film Corporation
Fantastic Four,14, Constantin Film Produktion
Centurion,9, Celador Films
Deception,9, Dune Entertainment III
Night at the Museum,19, 21 Laps Entertainment
The East,8,Scott Free Productions
Gangs of New York,17, Initial Entertainment Group (IEG)
Sicario,7, Thunder Road Pictures
Big Momma's House 2,19, Firm Films
The Hunger Games: Mockingjay - Part 2,37, Lionsgate
Ghost Ship,10, NPV Entertainment
Gravity,7,Warner Bros.
Hot Tub Time Machine,20, Metro-Goldwyn-Mayer (MGM)
Transformers,12,Paramount Pictures
Catch Me If You Can,19, Splendid Pictures
The Whole Nine Yards,20, Nine Yards Productions
Harry Potter and the Deathly Hallows: Part 2,44, Heyday Films
Mandela: Long Walk to Freedom,29, Origin Pictures
Whatever It Takes,17,Columbia Pictures Corporation
Night at the Museum,19, Twentieth Century Fox Film Corporation
Blended,7,Happy Madison Productions
Secret Window,13, Pariah Entertainment Group
Deux frÃ¨res,12, TF1 Films Production
Cursed,6, Outerbanks Entertainment
22 Jump Street,14, Media Rights Capital
The Last Witch Hunter,21, Goldmann Pictures
Drag Me to Hell,15, Buckaroo Entertainment
The Whole Ten Yards,19, MHF Zweite Academy Film
Michael Clayton,15,Castle Rock Entertainment
Safe House,10, Relativity Media
Dylan Dog: Dead of Night,24, platinum studios
Hannibal,8,Universal Pictures
Sherlock Holmes,15, Internationale Filmproduktion Blackbird Dritte
Dawn of the Dead,16,New Amsterdam Entertainment
Spy Kids 2: Island of Lost Dreams,33,Dimension Films
Halloween II,12,Dimension Films
Summer Catch,12, Warner Bros.
Street Fighter: The Legend of Chun-Li,37,Twentieth Century Fox Film Corporation
Bringing Down The House,23,Hyde Park Films
Windtalkers,11, Metro-Goldwyn-Mayer (MGM)
The Mexican,11, Newmarket Capital Group
Alvin and the Chipmunks,23, Regency Enterprises
Capote,6, Eagle Vision Inc.
Piranha 3D,10, Chako Film Company
The Number 23,13,New Line Cinema
Creed,5, Metro-Goldwyn-Mayer (MGM)
Into the Wild,13, River Road Entertainment
No Country for Old Men,22, Scott Rudin Productions
Max Payne,9, Firm Films
Snitch,6, Exclusive Media Group
X-Men: The Last Stand,21,20th Century Fox
Unknown,7, TF1 Films Production
AntiTrust,9, Epsilon Motion Pictures
Brokeback Mountain,18, Focus Features
Fire with Fire,14, Paradox Entertainment
Highlander: Endgame,19,Davis-Panzer Productions
Contraband,10, Closest to the Hole Productions
House of the Dead,17, Brightlight Pictures
A Lot Like Love,15, Touchstone Pictures
Blow,4,New Line Cinema
Safe Haven,10, Relativity Media
Flyboys,7, Flyboys Films
Ice Age: Continental Drift,26, Twentieth Century Fox Animation
Predestination,14, Wolfhound Pictures
Man on Fire,11, Epsilon Motion Pictures
The Hobbit: The Desolation of Smaug,35, New Line Cinema
Click,5, Happy Madison Productions
The Break-Up,12, Mosaic Media Group
Trainwreck,10, Dentsu
Hotel Rwanda,12, Endgame Entertainment
The Simpsons Movie,18, Twentieth Century Fox Film Corporation
He's Just Not That Into You,27, Internationale Filmproduktion Blackswan
Shrek the Third,15,DreamWorks Animation
Brothers,8, Michael De Luca Productions
Wrath of the Titans,19, Warner Bros.
Pitch Perfect 2,15,Universal Pictures
Cinderella,10, Allison Shearmur Productions
8 Mile,6, Mikona Productions GmbH & Co. KG
Percy Jackson: Sea of Monsters,30, Dune Entertainment
Poseidon,8,Virtual Studios
Mamma Mia!,10, Littlestar
Superbad,8, Apatow Productions
Last Vegas,10, CBS Films
Ice Age,7, Blue Sky Studios
The Twilight Saga: Eclipse,26, Sunswept Entertainment
The Princess Diaries,20,Walt Disney Pictures
Cars 2,6, Pixar Animation Studios
Ray,3,Universal Pictures
Joy Ride,8, New Regency Pictures
The SpongeBob Movie: Sponge Out of Water,40, United Plankton Pictures
Minions,7, Illumination Entertainment
The Lego Movie,14, Lin Pictures
Percy Jackson & the Olympians: The Lightning Thief,50, 1492 Pictures
Driven,6, Mel's Cite du Cinema
The Hangover Part III,21,Legendary Pictures
Traffic,7, The
We Are Marshall,15,Legendary Pictures
The Forbidden Kingdom,21,Casey Silver Productions
Bright Star,11, PathÃ© Renn Productions
Lions for Lambs,15, Wildwood Enterprises
Brick Mansions,14, D8
For Greater Glory - The True Story of Cristiada,47,Dos Corazones
The Glass House,15,Original Film
The Fountain,12, Warner Bros.
Alone in the Dark,17, Herold Productions
Grown Ups 2,11, Sony Pictures Entertainment (SPE)
The Twilight Saga: New Moon,27,Summit Entertainment
Stormbreaker,12, The
End of Watch,12,Emmett/Furla Films
The Smurfs 2,12, Sony Pictures Animation
How Do You Know,15, Road Rebel
Unbreakable,11,Limited Edition Productions Inc.
The Big Short,13, Plan B Entertainment
Shaft,5,Paramount Pictures
Red Planet,10, NPV Entertainment
Mulholland Drive,16, Babbo Inc.
Over the Hedge,14, DreamWorks Animation
The Good Shepherd,17, Morgan Creek Productions
Fast & Furious 6,16,Universal Pictures
Lady in the Water,17,Legendary Pictures
Marmaduke,9,Twentieth Century Fox Film Corporation
Basic Instinct 2,16, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
Bad Boys II,11,Columbia Pictures Corporation
Tears of the Sun,16, Cheyenne Enterprises
The Dictator,12,Paramount Pictures
Prince of Persia: The Sands of Time,35, Jerry Bruckheimer Films
Hoodwinked!,11, Blue Yonder Films
Bangkok Dangerous,17, Blue Star Pictures
The Purge: Anarchy,18, Platinum Dunes
Paycheck,8, Lion Rock Productions
Katy Perry: Part of Me,22, MTV Films
Endless Love,12,Universal Pictures
Rock of Ages,12,New Line Cinema
