original_title,title_length,production_companies
A Thousand Words,16," Saturn Films,  Varsity Pictures,  DreamWorks SKG, Paramount Pictures"
A Very Harold & Kumar Christmas,31," Mandate Pictures, New Line Cinema"
A Walk Among the Tombstones,27," 1984 Private Defense Contractors,  Exclusive Media Group, Double Feature Films,  Jersey Films,  Cross Creek Pictures"
A Walk in the Woods,19," Route One Films, Wildwood Enterprises"
A Walk to Remember,18,"Pandora Pictures,  Warner Bros."
A.I. Artificial Intelligence,28," Amblin Entertainment, DreamWorks SKG,  Stanley Kubrick Productions,  Warner Bros."
AVP: Alien vs. Predator,23," Studio Babelsberg,  Davis Entertainment, Impact Pictures,  Twentieth Century Fox Film Corporation,  Stillking Films"
Abandon,7," Spyglass Entertainment,  Touchstone Pictures, Paramount Pictures"
Abduction,9," Vertigo Entertainment,  Mango Farms, Lions Gate Films,  Tailor Made,  Gotham Group"
About Last Night,16," Rainforest Films,  Olive Bridge Entertainment,  Inc., Screen Gems"
About Schmidt,13,"New Line Cinema,  Avery Pix"
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Location Gourmet, Bazelevs Production,  Abraham Productions,  Tim Burton Productions"
Accepted,8," Shady Acres Entertainment, Universal Pictures"
Act of Valor,12," Bandito Brothers, Relativity Media"
Action Replayy,14," Blockbuster Movie Entertainers,  Hari Om Entertainment Co., PVR Cinemas"
Adaptation.,11," Clinica Estetico,  Propaganda Films,  Intermedia,  Beverly Detroit, Columbia Pictures"
Admission,9,Focus Features
Adventureland,13,"Miramax Films,  Sidney Kimmel Entertainment,  This Is That Productions"
After Earth,11," Blinding Edge Pictures, Columbia Pictures,  Overbrook Entertainment"
Agent Cody Banks,16," Dylan Sellers Productions,  Maverick Films,  Metro-Goldwyn-Mayer (MGM), Splendid Pictures,  Madacy Entertainment"
Agent Cody Banks 2: Destination London,38,"Splendid Pictures,  Madacy Entertainment,  Maverick Films,  Metro-Goldwyn-Mayer (MGM),  Dylan Sellers Productions"
Agora,5,"HimenÃ³ptero,  Nimar Studios,  Telecinco Cinema,  Canal+ EspaÃ±a,  Mod Producciones"
Akeelah and the Bee,19," 2929 Productions,  Cinema Gypsy Productions,  Out of the Blue... Entertainment, Lions Gate Films,  Starbucks Entertainment"
Albert Nobbs,12,Chrysalis Films
Alex & Emma,11,"Epsilon Motion Pictures,  Franchise Pictures,  Reiner-Greisman,  Escape Artists"
Alex Cross,10,Summit Entertainment
Alexander,9," Warner Bros.,  PathÃ© Renn Productions,  Intermedia Films,  Egmond Film & Television, France 3 CinÃ©ma"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59,"Walt Disney Pictures,  Jim Henson Company,  The,  21 Laps Entertainment"
Alfie,5," Patalex Productions, Paramount Pictures"
Ali,3,Columbia Pictures Corporation
Alice in Wonderland,19," Tim Burton Productions,  Zanuck Company,  Team Todd,  Roth Films, Walt Disney Pictures,  The"
Aliens in the Attic,19," Upstairs Canada Productions,  Josephson Entertainment, Twentieth Century Fox Film Corporation,  Regency Enterprises,  New Upstairs Productions"
All About Steve,15," Radar Pictures,  Fox 2000 Pictures, Dune Entertainment,  Dune Entertainment III,  Fortis Films"
All About the Benjamins,23,New Line Cinema
All Is Lost,11," Washington Square Films, Sudden Storm Productions,  FilmNation Entertainment,  Treehouse Pictures,  Before the Door Pictures"
All the King's Men,18," Phoenix Pictures,  Relativity Media,  VIP 4 Medienfonds, Columbia Pictures Corporation,  Rising Star"
Almost Famous,13," Vinyl Films,  DreamWorks Pictures, Columbia Pictures"
Aloha,5," Vinyl Films,  Sony Pictures Entertainment (SPE), Columbia Pictures,  Regency Enterprises,  RatPac Entertainment"
Alone in the Dark,17," Herold Productions,  Lionsgate,  Infogrames Entertainment, Boll Kino Beteiligungs GmbH & Co. KG,  Brightlight Pictures"
Along Came Polly,16," Loofah Productions,  Jersey Films, Universal Pictures"
Along Came a Spider,19," MFP Munich Film Partners,  David Brown Productions,  Phase 1 Productions, Paramount Pictures,  AZL Productions KG"
Alpha and Omega,15,"Lions Gate Family Entertainment,  Relativity Media,  Crest Animation Productions"
Alvin and the Chipmunks,23," Regency Enterprises,  Bagdasarian Productions,  Fox 2000 Pictures, Dune Entertainment"
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
Alvin and the Chipmunks: The Squeakquel,39," Fox 2000 Pictures, Regency Enterprises,  Bagdasarian Productions"
American Dreamz,15,"Universal Pictures,  Depth of Field"
American Gangster,17," Scott Free Productions,  Relativity Media, Imagine Entertainment,  Film Rites,  Universal Pictures"
American Hustle,15," Atlas Entertainment, Columbia Pictures,  Annapurna Pictures"
American Outlaws,16," Morgan Creek Productions, Warner Bros. Pictures"
American Pie 2,14," Zide-Perry Productions,  Liveplanet, Universal Pictures"
American Psycho,15,"Lions Gate Films,  Muse Productions,  Edward R. Pressman Film"
American Reunion,16,Universal Pictures
American Sniper,15," Warner Bros.,  RatPac-Dune Entertainment,  Malpaso Productions,  Mad Chance Productions, Village Roadshow Pictures"
American Wedding,16," Zide-Perry Productions,  Loumolo & Co.,  LivePlanet, Universal Pictures"
An Education,12,BBC Films
An Unfinished Life,18," Revolution Studios,  The Ladd Company,  Initial Entertainment Group (IEG),  Persistent Entertainment, Miramax Films"
Anchorman 2: The Legend Continues,33," Apatow Productions, Paramount Pictures,  Gary Sanchez Productions"
Anchorman: The Legend of Ron Burgundy,37,Apatow Productions
Angel Eyes,10," Morgan Creek Productions, Warner Bros. Pictures,  Franchise Pictures"
Angels & Demons,15,"Columbia Pictures,  Imagine Entertainment,  Skylark Productions,  Panorama Films"
Anger Management,16," Happy Madison Productions, Columbia Pictures,  Revolution Studios"
Annabelle,9," The Safran Company, New Line Cinema,  Evergreen Media Group,  RatPac-Dune Entertainment"
Annapolis,9,Touchstone Pictures
Annie,5," Sony Pictures Entertainment (SPE),  Overbrook Entertainment, Columbia Pictures"
Ant-Man,7,Marvel Studios
AntiTrust,9," Metro-Goldwyn-Mayer (MGM),  Epsilon Motion Pictures, Industry Entertainment,  Hyde Park Films"
Antwone Fisher,14,Fox Searchlight
Apocalypto,10,"Icon Productions,  Touchstone Pictures,  Icon Entertainment International"
Apollo 18,9," Dimension Films,  Bekmambetov Projects Ltd., Bazelevs Production"
Aquamarine,10,"Fox 2000 Pictures,  Storefront Pictures"
Arbitrage,9," Lucky Monkey Pictures,  Green Room Films,  Artina Films, Lionsgate,  Treehouse Pictures"
Are We There Yet?,17,"Columbia Pictures,  Revolution Studios,  Cube Vision"
Argo,4," Warner Bros.,  Smokehouse Pictures, GK Films"
Armored,7,"Screen Gems,  Buckaroo Entertainment,  Stars Road Entertainment,  Farah Films & Management"
Around the World in 80 Days,27,"Studio Babelsberg,  Mostow/Lieberman Productions,  80 Days Productions,  Walden Media,  Babelsberg Film"
Arthur,6,Warner Bros.
"As Above, So Below",18,Legendary Pictures
Assault on Precinct 13,22,"Rogue Pictures,  Why Not Productions,  Liaison Films,  Biscayne Pictures"
Astro Boy,9," Tezuka Production Company Ltd., The Weinstein Company,  Summit Entertainment,  Imagi Animation Studios"
Atlantis: The Lost Empire,25,"Walt Disney Pictures,  Walt Disney Feature Animation"
Atlas Shrugged Part I,21,Atlas Productions
Atonement,9,"Universal Pictures,  Working Title Films,  Studio Canal,  Relativity Media"
Attack the Block,16," Film4,  Studio Canal, UK Film Council"
August Rush,11,"Warner Bros.,  CJ Entertainment,  Southpaw Entertainment"
August: Osage County,20," Smokehouse Pictures, Jean Doumanian Productions"
Austin Powers in Goldmember,27,"New Line Cinema,  Gratitude International,  Moving Pictures,  Team Todd,  Eric's Boy"
Australia,9,"Bazmark Films,  Twentieth Century Fox Film Corporation,  Dune Entertainment III,  ScreenWest,  Ingenious Film Partners"
Auto Focus,10,"Sony Pictures Classics,  Propaganda Films,  Good Machine"
Avatar,6," Twentieth Century Fox Film Corporation, Ingenious Film Partners,  Lightstorm Entertainment,  Dune Entertainment"
Avengers: Age of Ultron,23," Revolution Sun Studios,  Prime Focus, Marvel Studios"
Awake,5," GreeneStreet Films,  Open City Films, The Weinstein Company"
Babel,5," Media Rights Capital,  Anonymous Content,  Central Films, Paramount Vantage"
Baby Boy,8,Columbia Pictures
Baby Mama,9,"Relativity Media,  Michaels-Goldwyn"
Babylon A.D.,12," CinÃ©CinÃ©ma,  Babylon,  M6 Films,  Canal+, StudioCanal"
Bad Boys II,11,"Columbia Pictures Corporation,  Don Simpson/Jerry Bruckheimer Films"
Bad Company,11," Stillking Films, Jerry Bruckheimer Films,  Touchstone Pictures"
Bad News Bears,14,Paramount Pictures
Bad Santa,9," Dimension Films (US version), Columbia Pictures"
Bad Teacher,11," Mosaic Media Group, Columbia Pictures"
Baggage Claim,13,Sneak Preview Productions
Bandits,7," Epsilon Motion Pictures,  Metro-Goldwyn-Mayer (MGM),  Empire Pictures, Cheyenne Enterprises,  Hyde Park Entertainment"
Bandslam,8," Walden Media, Summit Entertainment,  Goldsmith-Thomas Productions"
Bangkok Dangerous,17,"Virtual Studios,  Blue Star Pictures,  Saturn Films,  Initial Entertainment Group,  International Production Company"
Banlieue 13,11,"Canal Plus,  EuropaCorp,  TF1 Films Production"
Barbershop,10,Metro-Goldwyn-Mayer (MGM)
Barbershop 2:  Back in Business,31,Metro-Goldwyn-Mayer (MGM)
Barney's Version,16,Serendipity Point Films
Barnyard,8," Nickelodeon Movies,  Paramount Animation, Paramount Pictures"
Basic,5,"Intermedia Films,  Krane Entertainment"
Basic Instinct 2,16," IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,  Kanzaman,  C-2 Pictures, Intermedia Films"
Batman Begins,13," Legendary Pictures,  Warner Bros., DC Comics,  DC Entertainment,  Syncopy"
Battle of the Year,18,Screen Gems
Battle: Los Angeles,19," Relativity Media,  Original Film, Columbia Pictures"
Battleship,10," Film 44,  Bluegrass Films,  Hasbro, Universal Pictures"
Be Cool,7," Jersey Films,  Nina Saxon Film Design, Double Feature Films,  Metro-Goldwyn-Mayer (MGM)"
Beastly,7,"CBS Films,  Storefront Films,  Mel's Cite du Cinema"
Beauty Shop,11,Metro-Goldwyn-Mayer (MGM)
Because of Winn-Dixie,21,Twentieth Century Fox Film Corporation
Becoming Jane,13," Bueprint Pictures,  2 Entertain, Ecosse Films"
Bedazzled,9," KirchMedia, Twentieth Century Fox Film Corporation,  Regency Enterprises"
Bedtime Stories,15," Gunn Films, Walt Disney Pictures,  Happy Madison Productions"
Bee Movie,9," DreamWorks Animation,  Columbus 81 Productions, Pacific Data Images (PDI)"
Before the Devil Knows You're Dead,34," Michael Cerenzie Productions,  Funky Buddha Productions,  Unity Productions, Capitol Films,  Linsefilm"
Begin Again,11," Exclusive Media Group,  Sycamore Pictures, Likely Story,  Apatow Productions"
Behind Enemy Lines,18,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Behind the Candelabra,21,HBO Films
Belle,5,"Isle of Man Film,  DJ Films,  British Film Institute (BFI),  Metrol Technology,  Pinewood Studios"
Beowulf,7,"Paramount Pictures,  Paramount Animation,  ImageMovers,  Shangri-La Entertainment"
Beverly Hills Chihuahua,23,Walt Disney Pictures
Bewitched,9,"Columbia Pictures Corporation,  Red Wagon Entertainment,  Bewitched"
Big Eyes,8," Electric City Entertainment,  Silverwood Films, The Weinstein Company,  Tim Burton Productions"
Big Fat Liar,12,Universal Pictures
Big Fish,8," Columbia Pictures Corporation,  Jinks/Cohen Company,  Tim Burton Productions, The Zanuck Company"
Big Hero 6,10,"Walt Disney Pictures,  Walt Disney Animation Studios"
Big Miracle,11," Working Title Films,  Anonymous Content, Universal Pictures"
Big Momma's House,17," Regency Enterprises, Twentieth Century Fox Film Corporation"
Big Momma's House 2,19," Firm Films, Twentieth Century Fox Film Corporation,  Deep River Productions,  Regency Enterprises,  Epsilon Motion Pictures"
"Big Mommas: Like Father, Like Son",33," New Regency Pictures,  The Collective Studios,  Runteldat Entertainment,  Regency Enterprises, Twentieth Century Fox Film Corporation"
Big Trouble,11,Touchstone Pictures
Billy Elliot,12," Working Title Films,  Tiger Aspect Productions,  Arts Council of England,  StudioCanal, BBC Films"
Birdman,7," M Productions,  New Regency Pictures,  TSG Entertainment,  Le Grisbi Productions, Worldview Entertainment"
Black Christmas,15,Dimension Films
Black Hawk Down,15," Scott Free Productions, Jerry Bruckheimer Films,  Revolution Studios"
Black Mass,10," Cross Creek Pictures,  RatPac-Dune Entertainment, Infinitum Nihil,  Head Gear Films,  Free State Pictures"
Black Nativity,14,"Fox Searchlight Pictures,  Fox Searchlight"
Black Snake Moan,16,Paramount Classics
Black Swan,10," Cross Creek Pictures,  Dune Entertainment,  Protozoa Pictures, Fox Searchlight Pictures"
Black or White,14,Treehouse Pictures
Blackhat,8," Forward Pass, Universal Pictures,  Legendary Pictures"
Blade II,8," Imaginary Forces,  Amen Ra Films,  Marvel Entertainment, New Line Cinema,  Milk & Honey,  LLC"
Blade: Trinity,14," Marvel Enterprises,  Imaginary Forces,  Shawn Danielle Productions Ltd.,  Amen Ra Films, New Line Cinema"
Blended,7," Gulfstream Pictures, Happy Madison Productions,  Karz Entertainment,  Warner Bros."
Blood Diamond,13," Lonely Film Productions GmbH & Co. KG.,  Spring Creek Productions,  Warner Bros.,  Virtual Studios, Bedford Falls Productions"
Blood Ties,10,"Wild Bunch,  Canal+,  LGM Productions,  Mars Distribution,  Les Productions du TrÃ©sor"
Blood Work,10," Warner Bros. Pictures, Malpaso Productions"
BloodRayne,10,Boll KG
Blow,4,New Line Cinema
Blue Crush,10," Mikona Productions GmbH & Co. KG,  Shutt/Jones Productions,  Universal Pictures, Imagine Entertainment"
Blue Jasmine,12,Perdido Productions
Boat Trip,9,"Motion Picture Corporation of America,  Artisan Entertainment"
Body of Lies,12," De Line Pictures, Scott Free Productions,  Warner Bros."
Boiler Room,11,New Line Cinema
Bolt,4,"Walt Disney Pictures,  Walt Disney Animation Studios"
Bones,5,New Line Cinema
Boogeyman,9," Senator International,  Pacific Renaissance Pictures Ltd., Ghost House Pictures,  Screen Gems"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83," Four By Two Productions, Twentieth Century Fox Film Corporation"
Boys and Girls,14,Dimension Films
Brave,5,"Walt Disney Pictures,  Pixar Animation Studios"
Brick Mansions,14," D8, Canal+,  CinÃ©+,  EuropaCorp"
Bride Wars,10,"Dune Entertainment,  Regency Enterprises,  Fox 2000 Pictures,  Dune Entertainment III,  New Regency Pictures"
Brideshead Revisited,20," UK Film Council,  Ecosse Films,  HanWay Films,  2 Entertain, BBC Films"
Bridesmaids,11,"Universal Pictures,  Relativity Media,  Apatow Productions"
Bridge of Spies,15," Fox 2000 Pictures, DreamWorks SKG,  Amblin Entertainment,  Marc Platt Productions,  Studio Babelsberg"
Bridge to Terabithia,20," Hal Lieberman Company,  Lauren Levine Productions Inc., Walden Media"
Bridget Jones's Diary,21," Studio Canal,  Working Title Films,  Little Bird,  Universal Pictures, Miramax Films"
Bridget Jones: The Edge of Reason,33," Universal Pictures, Miramax Films,  Working Title Films,  Studio Canal,  Atlantic Television"
Bright Star,11," Australian Film Finance Corporation (AFFC),  PathÃ© Renn Productions,  UK Film Council,  Screen Australia, BBC Films"
Bring It On,11,Beacon Communications
Bringing Down The House,23,"Hyde Park Films,  Touchstone Pictures"
Brokeback Mountain,18," Focus Features,  Good Machine,  Alberta Film Entertainment, River Road Entertainment"
Broken City,11," New Regency Pictures, Regency Enterprises,  Closest to the Hole Productions,  Inferno International,  1984 Private Defense Contractors"
Broken Flowers,14,"Bac Films,  Five Roses,  Focus Features"
Brooklyn,8," Item 7, Wildgaze Films,  Parallel Film Productions,  Irish Film Board"
Brooklyn's Finest,17," Fuqua Films,  Langley Productions, Nu Image Films,  Millennium Films,  Thunder Road Productions"
Brothers,8," Michael De Luca Productions,  Palomar Pictures (II), Lionsgate,  Relativity Media,  Sighvatsson Films"
Bruce Almighty,14,"Universal Pictures,  Pit Bull Productions,  Spyglass Entertainment,  Shady Acres Entertainment"
Bullet to the Head,18,"Dark Castle Entertainment,  Automatik Entertainment,  IM Global,  After Dark Films,  Silver Reel"
Burke & Hare,12," Quickfire Films,  Prescience,  Aegis Film Fund,  Fragile Films, Ealing Studios"
Burlesque,9,Bedford Falls Productions
Burn After Reading,18," Working Title Films, Mike Zoss Productions,  Focus Features,  Relativity Media,  Studio Canal"
Burnt,5,"Double Feature Films,  PeaPie Films,  3 Arts Entertainment"
Cake,4," We're Not Brothers Productions, Echo Films,  Cinelou Films"
Calendar Girls,14,"Harbour Pictures,  Touchstone Pictures"
Capitalism: A Love Story,24,"The Weinstein Company,  Paramount Vantage"
Capote,6," Eagle Vision Inc.,  Province of British Columbia Production Services Tax Credit,  Cooper's Town Productions, Sony Pictures Classics,  Manitoba Film and Video Production Tax Credit"
Captain America: The First Avenger,34,Marvel Studios
Captain America: The Winter Soldier,35,Marvel Studios
Captain Phillips,16,Columbia Pictures
Captivity,9," RAMCO, Foresight Unlimited,  Captivity Productions"
Carnage,7," CinÃ©CinÃ©ma, Wild Bunch,  Constantin Film Produktion,  Canal+,  Zanagar Films"
Carol,5,"Killer Films,  Film4,  Number 9 Films"
Carrie,6,"Screen Gems,  Metro-Goldwyn-Mayer (MGM),  Misher Films"
Cars,4,"Walt Disney Pictures,  Pixar Animation Studios"
Cars 2,6," Pixar Animation Studios, Walt Disney Pictures"
Case 39,7,"Paramount Vantage,  Anonymous Content,  Misher Films,  Case 39 Productions"
Casino Royale,13,Eon Productions
Cast Away,9," Twentieth Century Fox Film Corporation,  Playtone,  ImageMovers, DreamWorks SKG"
Catch Me If You Can,19," Kemp Company,  Splendid Pictures, DreamWorks SKG"
Catch and Release,17,"Columbia Pictures Corporation,  Relativity Media"
Cats & Dogs,11," NPV Entertainment, Village Roadshow Pictures,  Zide-Perry Productions,  Mad Chance,  Warner Bros."
Cats & Dogs 2 : The Revenge of Kitty Galore,43,Village Roadshow Pictures
Catwoman,8," DiNovi Pictures,  Warner Bros.,  Maple Shade Films, Village Roadshow Pictures,  Frantic Films"
Cellular,8,New Line Cinema
Centurion,9," Canal+,  Celador Films, PathÃ© Pictures International,  UK Film Council,  Warner Bros."
Changeling,10," Malpaso Productions, Imagine Entertainment,  Relativity Media"
Changing Lanes,14,Paramount Pictures
Chappie,7," Genre Films,  Media Rights Capital,  Alpha Core, Columbia Pictures,  Sony Pictures Entertainment (SPE)"
Charlie St. Cloud,17," Relativity Media,  Marc Platt Productions, Universal Pictures"
Charlie Wilson's War,20," Participant Productions, Universal Pictures,  Playtone Production"
Charlie and the Chocolate Factory,33," Warner Bros.,  Plan B Entertainment, Village Roadshow Pictures,  Tim Burton Productions,  The Zanuck Company"
Charlie's Angels,16,Columbia Pictures
Charlie's Angels: Full Throttle,31," Flower Films (II), Columbia Pictures Corporation,  Tall Trees Productions,  Wonderland Sound and Vision"
Cheaper by the Dozen,20," Robert Simonds Productions, Twentieth Century Fox Film Corporation"
Cheaper by the Dozen 2,22,Twentieth Century Fox Film Corporation
Chef,4,"Open Road Films,  Aldamisa Entertainment,  Fetisov Teterin Films,  Kilburn Media"
Chicago,7," Producers Circle, Miramax Films,  Storyline Entertainment"
Chicken Little,14," Walt Disney Feature Animation, Walt Disney Pictures"
Chicken Run,11,"DreamWorks SKG,  PathÃ©,  DreamWorks Animation,  Aardman Animations"
Child 44,8," Scott Free Productions, Summit Entertainment,  Worldview Entertainment"
Children of Men,15," Strike Entertainment,  Hit & Run Productions, Universal Pictures"
Chloe,5," Montecito Picture Company, StudioCanal,  Outpost Studios,  The"
Chocolat,8," Fat Free,  David Brown Productions, Miramax Films"
Chronicle,9," Davis Entertainment, Twentieth Century Fox Film Corporation,  Adam Schroeder Productions,  Dune Entertainment"
Cinderella,10," Genre Films,  Allison Shearmur Productions, Walt Disney Pictures,  Beagle Pug Films"
Cinderella Man,14," Touchstone Pictures,  Imagine Entertainment,  Parkway Pictures (I),  Universal Pictures, Miramax Films"
Cirque du Freak: The Vampire's Assistant,40,Universal Pictures
City By The Sea,15," Sea Breeze Productions Inc.,  Brad Grey Pictures, Warner Bros. Pictures,  Epsilon Motion Pictures,  Franchise Pictures"
City of Ember,13," Walden Media, Playtone"
Clash of the Titans,19," Moving Picture Company (MPC),  Thunder Road Pictures,  Legendary Pictures,  Warner Bros., The Zanuck Company"
Clerks II,9,"The Weinstein Company,  View Askew Productions"
Click,5," Columbia Pictures Corporation,  Happy Madison Productions, Original Film,  Revolution Studios"
Clockstoppers,13," Nickelodeon Movies, Paramount Pictures,  Valhalla Motion Pictures"
Closer,6,Columbia Pictures
Cloud Atlas,11," X-Filme Creative Pool,  Ascension Pictures,  Cloud Atlas Productions, Anarchos Productions,  ARD Degeto Film"
Cloudy with a Chance of Meatballs,33,"Columbia Pictures,  Sony Pictures Animation"
Cloudy with a Chance of Meatballs 2,35,"Columbia Pictures,  Sony"
Cloverfield,11," Bad Robot, Paramount Pictures"
Club Dread,10," Coconut Pete Productions,  Broken Lizard Industries, Fox Searchlight Pictures"
Coach Carter,12,"Paramount Pictures,  MTV Films,  Tollin/Robbins Productions"
Cold Mountain,13," Castel Film Romania,  Mirage Enterprises, Miramax Films,  Bona Fide Productions,  Cattleya"
Collateral,10," Edge City, Paramount Pictures,  Parkes/MacDonald Productions,  DreamWorks SKG"
Collateral Damage,17," Warner Bros., David Foster Productions,  Hacienda Productions,  Bel Air Entertainment"
Colombiana,10,"TF1 Films Production,  EuropaCorp,  Grive Productions,  CinÃ©CinÃ©ma,  Canal+"
Conan the Barbarian,19," Paradox Entertainment, Dark Horse Entertainment,  Millennium Films,  Nimar Studios,  Nu Image Films"
Concussion,10," The Cantillon Company,  Scott Free Productions, Village Roadshow Pictures,  LStar Capital,  The Shuman Company"
Confessions of a Dangerous Mind,31," Allied Filmmakers,  Mad Chance, Miramax Films"
Confessions of a Shopaholic,27,"Jerry Bruckheimer Films,  Touchstone Pictures"
Confessions of a Teenage Drama Queen,36,Walt Disney Pictures
Connie and Carla,16,Universal Pictures
Constantine,11," Donners' Company,  Branded Entertainment/Batfilm Productions,  DC Comics, Village Roadshow Pictures,  Lonely Film Productions GmbH & Co. KG."
Contagion,9," Participant Media,  Regency Enterprises,  Warner Bros., Double Feature Films,  Imagenation Abu Dhabi FZ"
Contraband,10," Closest to the Hole Productions,  Leverage Management,  Relativity Media, Universal Pictures,  StudioCanal"
Conviction,10," Pantheon Entertainment Corporation,  Prescience,  Innocence Productions, Oceana Media Finance,  Omega Entertainment"
Cop Out,7,Warner Bros.
