name,pop
Bushwick South,72101
 Little Italy,42742
 Rosebank,24048
Van Cortlandt Village,50607
 etc,0
West Concourse,39557
Crotona Park East,20277
Park Slope,67649
West Brighton,17370
Crotona Park East,18072
 New Brighton,33551
Mariner's Harbor,27957
Kingsbridge Heights,33286
 Ocean Parkway,36937
Annadale,27770
 Sunnyside,63271
Crown Heights South,42370
Midwood,55440
Highbridge,33844
 Long Island City,20030
Spuyten Duyvil,30161
Kingsbridge Heights,32496
Forest Hills,83728
Hudson Yards,70150
Glen Oaks,22571
 Boerum Hill,34495
 Eltingville,26376
park,1662
 Arverne,36885
 Eltingville,27770
 Manhattn Bch,64596
Turtle Bay,51231
Highbridge,37727
 Clifton,19834
Williamsbridge,61321
park,93
East New York (Pennsylvania Ave),27624
 cemetery,1906
 Rockwy Prk,26711
 Gowanus,67263
 Jamaica Hills,38675
DUMBO,34495
Chinatown,52375
Melrose South,33195
 Long Island City,21104
Stapleton,24048
 Melrose,37865
Charleston,18332
 Morris Park,29250
 Kips Bay,48419
West Brighton,17750
Murray Hill,53009
Flatlands,66726
Brighton Beach,35244
 Coney Island,31965
Woodside,45099
North Side,45774
 Bathgate,28149
 New Brighton,32154
 Little Italy,36757
North Corona,47156
 Bruckner,35137
 cemetery,1849
East Flushing,26982
Upper West Side,132378
Stuyvesant Town,21049
Glendale,32496
 Travis,39597
 Prince's Bay,26376
Murray Hill,48419
Manhattanville,24772
Belmont,27378
 Edgemere,31645
Rosedale,25502
Lenox Hill,80771
Ocean Parkway South,20556
Elmhurst,88427
 Coney Island,34267
 Graniteville,31474
 Bathgate,31078
Lower East Side,72957
 City Island,26583
Cypress Hills,48961
Bushwick North,56093
 Brookville,20132
Hammels,31645
Marble Hill,49087
Battery Park City,20088
 South Beach,23017
 St. George,33551
 Ravenswood,21104
Dyker Heights,42419
 Woodrow,18894
West Village,66880
 Silver Lake,16784
Hammels,36885
East New York,91958
Eastchester,35422
Flatlands,64762
Bensonhurst West,84640
Clinton Hill,33292
Old Town,24835
Jamaica Estates,25480
Spuyten Duyvil,29872
 Bloomfield,39309
East Village,41746
Pomonok,34034
Melrose South,39214
Greenpoint,37821
Carroll Gardens,38353
East New York,83275
East Harlem North,57148
Upper East Side,63664
 Fox Hills,22460
 Cooper Village,19101
Fordham South,28262
Bensonhurst West,88727
Hunts Point,25142
 Castle Hill,53686
 Mott Haven North,33195
 Bay Terrace,21751
 Wakefield,43583
 East Midtown,49737
Carroll Gardens,38327
Rossville,20763
 Union Square,70150
SoHo,42742
 Belle Harbor,26711
Prospect Lefferts Gardens,67459
 Red Hook,38353
Astoria,78793
East Harlem North,58019
 Fox Hills,19834
Todt Hill,30762
 Downtown Brklyn,30847
 Howard Beach,28121
Hunters Point,61947
Lindenwood,28121
Queensboro Hill,20800
 Pelham Gardens,28510
Springfield Gardens South,20132
New Brighton,16784
 cemetery,7
Murray Hill,51739
Bay Ridge,79371
Hollis,20747
park,540
Soundview,35634
Canarsie,83693
 Olinville,57420
Douglas Manor,24739
Hamilton Heights,48520
Cambria Heights,18677
Jamaica,53751
Eastchester,34517
Manhattanville,22950
 South Beach,24835
St. Albans,48593
 Farragut,50355
Central Harlem North,75282
 Melrose,29797
Sunset Park East,72340
Upper West Side,136954
 West Maspeth,63271
Forest Hills,85046
 City Line,48961
Co,40676
 Manhattan,1662
 Ft. Wadsworth,15238
Borough Park,106357
Westerleigh,23790
 Ravenswood,20030
 Gerritsen Beach,64518
 West Maspeth,61947
 Gowanus,67649
 Chelsea,70150
 Gerritsen Beach,64596
 Belle Harbor,28018
park,1906
 Huguenot,27770
Kensington,36937
 Flat Iron,55839
 Arverne,31645
Midtown,28630
Soundview,35137
Windsor Terrace,20988
 Bayside Hills,44371
 Fordham North,54415
Douglas Manor,24356
 Riverdale,28013
 Op City,40676
 Bayswater,48344
Prospect Lefferts Gardens,70300
 etc,436
Lincoln Square,61489
 Clason Point,53686
Brooklyn Heights,22887
Madison,38917
 Queens,1785
West Village,68483
 Utopia,17373
park,7
Pelham Parkway,30073
 Carnegie Hill,63664
East Tremont,43423
New Springville,39309
Queens Village,57704
Far Rockaway,48344
Hamilton Heights,50555
Queensbridge,20030
 Bronx River,34542
 Cobble Hill,22548
 Bay Terrace,22731
Sunset Park West,54041
Far Rockaway,50058
 Brooklyn,418
Bellerose,24464
Arden Heights,25238
Yorkville,77942
 Bayswater,50058
 Floral Park,22571
 Country Club,27140
DUMBO,30847
East Elmhurst,23150
 Heartland Villg,30714
Grymes Hill,22460
South Jamaica,38894
 Bronx,1906
Springfield Gardens North,25441
 Queens,436
Parkchester,29821
Bath Beach,28572
 Hillcrest,34034
 cemetery,436
Westchester,27248
 Midland Beach,21896
 Holliswood,26061
Hunts Point,27204
 Polo Grounds,75282
Mount Hope,51807
Annadale,26376
Jamaica,51849
 South Side,45774
Hudson Yards,55839
 Port Ivory,27957
Seagate,31965
Greenpoint,34719
 Fieldston,28013
East Flushing,26516
Baisley Park,34603
 Farragut,56033
 Chelsea,55839
Bellerose,25287
Gramercy,27988
Ft. Totten,21751
New Springville,39597
Cambria Heights,20944
Great Kills,41680
East Concourse,62284
 Morris Heights,54335
Prospect Heights,19655
Rugby,57934
Queens Village,52504
Stapleton,26453
College Point,24275
 Lower Manhattan,20088
Central Harlem South,39075
Ocean Hill,30067
Maspeth,30516
Kew Gardens Hills,37479
Rego Park,28260
 Remsen Village,57934
Clinton Hill,34791
 Hillcrest,31734
Van Cortlandt Village,50100
Laurelton,26375
 Port Morris,52413
Mott Haven,49030
 Harding Park,53686
 etc,1662
Brownsville,58300
 Emersn Hill,30762
Oakland Gardens,27873
 Downtown Brklyn,34495
Flatbush,110875
Richmond Hill,62985
 Little Neck,24356
Van Nest,27135
University Heights,54335
Jackson Heights,113327
Airport,0
West New Brighton,32154
 Woodrow,20763
Bedford,70713
Allerton,28903
Queensbridge,21104
 Port Morris,49030
 Broad Chnl,26711
Auburndale,20201
Bayside,43808
West New Brighton,33551
South Ozone Park,78906
 Columbia Street,38327
 TriBeCa,42742
Woodside,43846
Schuylerville,44167
 Clason Point,50753
Jamaica Estates,26061
 Arrochar,15238
 Red Hook,38327
Bedford Park,54415
Williamsburg,32926
West Concourse,39282
Kew Gardens,23278
 cemetery,1785
Queensboro Hill,19309
 New Hyde Park,22426
Jackson Heights,108152
Middle Village,37629
Great Kills,40720
 Wingate,67459
 Sunnyside,61947
Stuyvesant Heights,61827
 Arrochar,16079
 Holliswood,25480
Laurelton,24453
Belmont,25967
Bushwick North,57138
Yorkville,76768
East Concourse,58961
 Howard Beach,26148
SoHo,36757
Crown Heights North,103462
 Country Club,26583
 Pelham Gardens,28903
Fort Greene,28335
Kensington,36891
 Cooper Village,21049
Clinton,40595
Central Harlem South,43383
Claremont,31078
 Graniteville,27957
Brighton Beach,35547
 Morris Park,27135
 Brookville,18950
 Roosevelt Island,80771
 Jamaica Hills,39138
Old Astoria,28847
 Maspeth,24338
Soundview,53686
 Flat Iron,70150
 Bronx River,35011
Steinway,53604
 Rockwy Prk,28018
Woodlawn,43583
Murray Hill,50742
Elmhurst,25521
Oakwood,22049
 Oakwood Beach,22049
Rosedale,25063
Auburndale,19996
Park Slope,67263
Crown Heights South,39670
Charleston,23313
Cypress Hills,49223
Springfield Gardens South,18950
East Williamsburg,34158
Gravesend,29436
