Account Name,Membership Category,Membership Level,Website
Brastex S/A,4,2.0,www.gso.br/brastex/index.htm
PT Lucky Print Abadi,5,3.0,www.luckytex.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Prasuna Vamsikrishna Spinning Mills Pvt Ltd,7,2.0,
Karacasu Tekstil,7,2.0,
"XianYang China Resources Textiles Co.,Ltd",4,2.0,
"Hunan Dongxin Group Co.,Ltd",4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Davas Tekstil Sanayi Ticaret A.S,7,2.0,www.davastekstil.com
Kardem Tekstil San. ve Tic. AS,9,2.0,
Camay Garments Factory Ltd.,9,2.0,
Hursan Havlu Uretim San. TIC.A.S.,9,2.0,
Kedarnath Ginning Pvt Ltd,12,2.0,
Sarmangal Synthetics Pvt Ltd,7,2.0,www.sarmangal.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shujabad Weaving Mills Ltd,6,2.0,
Imka Iplik Tekstil Isl San ve Tic A.S,4,2.0,www.imkaiplik.com
Zephyr Textiles Ltd.,,3.0,
Pacific Best Ltd,8,3.0,
Gadoon Textile Mills Ltd.,7,2.0,
Xingtai H & J Textile Co. Ltd. (BlueDaimond),4,2.0,
HuNan LouXing Textile Ltd.,7,2.0,
Textiles Camones S. A.,5,3.0,www.textilescamones.com
"Dezhou Yuanji Textile Co., Ltd",6,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Polo Composite Knit Industry Ltd,9,3.0,
Dadasons Pvt. Ltd.,12,2.0,www.dadasons.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Vardhman Polytex,7,2.0,
Retailers and Brands,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Qingdao York Fashion Manufacture,9,2.0,
"Henan  Xinye Textile Co.,Ltd.",4,2.0,
Uspar Tekstil San. ve Tic. A.S.,4,2.0,
Super Sales India Ltd,7,2.0,www.supersales.co.in
"Zhengzhou Chenglin Textile Co.,Ltd",4,2.0,
Nan Yang Haiyong Textile Enterprises Limited,7,2.0,
Sandhya Spinning Mill Ltd,7,2.0,
Balavigna Weaving Mills Pvt Ltd,6,3.0,www.balavignaorganic.com
Spintex Swaziland (Pty) Ltd.,7,2.0,
Mr. Fabrics ( Pvt. ) LTD.,6,3.0,
Al Rahim Textile Industries,6,3.0,
Faisal Fabrics Ltd.,6,3.0,
Buhler Group,7,2.0,
Wuxi Jingwei Textile Technology Test Co. Ltd.,7,2.0,
Sutlej Textiles & Industries Ltd.,7,2.0,
KKP Textiles Ltd.,7,2.0,
Thats It Sweater Ltd,9,3.0,
Berto Industria Tessile SRL,6,3.0,
Hantex,4,2.0,
Aastha Spintex Pvt Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Silver Composite Textile Mills Ltd (Unit-3, Textile)",6,3.0,
Kamal Textile Mills Ltd.,9,3.0,
DD Cotton Pvt Ltd,12,2.0,www.ddcotton.com
"Ningbo Huadong Xufeng Textile Co.,Ltd",7,2.0,
"Textil Santanderina, S.A.",4,2.0,
K K Fibers,12,2.0,
Eveready Spinning Mills Pvt. Ltd.,7,2.0,
Suraj Cotton Mills Limited,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Ningbo Yu Tai  Thread Industrial Co.,Ltd",7,2.0,
Thapar Group / JCT Ltd.,7,2.0,
M/S Seeds & Grains India Pvt. Ltd.,12,2.0,
UTAH Spinning Mills Limited,7,2.0,
Addchance Ltd.,4,2.0,
Kalpataruvu Spinning Mills Ltd,7,2.0,
Bros Eastern,7,2.0,
R Group,9,3.0,
Arvind Dyeing & Bleaching Mills Pvt Ltd,7,2.0,
Gohar Textile Mills (Pvt) Ltd.,7,2.0,
Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,7,2.0,
Grupo Mundifios,12,2.0,
Minateks,7,2.0,
Nantong Shuanglian,7,2.0,
Al Karam Group,4,2.0,
Maritas Tekstil San. ve Tic. A.S.,4,2.0,
"Taicang Longxin Textile Co.,Ltd",7,2.0,
Jeyavishnu Spintex Pvt Ltd,7,2.0,
"Xinjiang Litai Silk Road Investment  Co., LTD",7,2.0,www. jinshengroup.com
Siruvani Yarns,7,2.0,
Square Corporation,Non-lint Trader,3.0,www.square-corp.com
Associate Members,,,
Suppliers and Manufacturers,,,
Orta Anadolu Tic.ve San. Isletmesi T.A.S,4,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
"Jiangsu Guotai Int'l Group Guomao Co., Ltd",10,2.0,
Vaibhav Laxmi Export Pvt. Ltd.,12,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Ruchi Infrastructure Ltd.,12,2.0,
Narendra Cotton Ginning & Pressing Co. Pvt. Ltd.,5,2.0,
"Zhejiang Shengfu Trading Co., Ltd",12,2.0,
Purbani Group,7,2.0,
SM Spinning Mills Ltd,7,2.0,
Delta Spinners Ltd,7,2.0,
Jiangsu Guotai Huasheng Industrial Co. Ltd.,4,2.0,
Nantong Tongzhou Jianghua Textile Company Ltd.,7,2.0,
M.Y Bari Mills Pvt Ltd,5,3.0,www.barimills.com.pk
Sintex Industries Ltd (Yarn Division),7,2.0,
Formosa Industries Corporation,7,2.0,
Adwaith Textiles Ltd,7,2.0,
Thermax Group,4,2.0,
Sichuan Zorluteks Yinhua Co. Ltd.,4,2.0,
"Ningbo Zhongxin Wool Textile Group Co.,Ltd",7,2.0,
Sanjana Rotor Spin Ltd,7,2.0,
Artistic Denim Mills Ltd.,4,2.0,
Garg Acrylics Ltd.,7,2.0,
Mambo Commodities,12,2.0,
"Tongxiang Yunsheng Textile Co.,Ltd",4,2.0,
RSWM Group,4,2.0,
Kamal Yarn Ltd.,7,2.0,
Arif Knitspin Ltd,7,2.0,
"JiangYin  BeiYe Textile Co.,Ltd",7,2.0,
Burteks Tekstil San ve Tic A.S,4,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Akshara Spinning Mills Pvt Ltd,7,2.0,
Sudiva Spinners Pvt. Ltd.,7,2.0,
Machiyara Group,9,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shri Vallabh Pittie Industries Ltd,7,2.0,www.pittie.com
Ugurlular Tekstil San Tic A.S,7,2.0,
Bulut Tekstil San. ve Tic. Ltd. Sti.,7,2.0,
Sindh Agro Industries,12,2.0,
Anwara Mannan Textile Mills Limited,7,2.0,
"HuBei SenYu Textile Technological Co.,Ltd",7,2.0,
Sandipkumar Dharmendrakumar,12,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Outpace Spinning Mills,7,2.0,
SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
BST Textile Mills Pvt Ltd,7,2.0,
Pratibha Syntex Ltd.,4,2.0,
DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,7,2.0,www.dvstekstil.com
"Turbo Yarn, S.A. de C.V.",7,2.0,www.turboyarn.com.mx
"Siyu Group Co.,Ltd",12,2.0,
Gillanders Arbuthnot & Co. Ltd,7,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
"Foshan Xindongpo Textile Co., Ltd",7,2.0,
Jytx Textile Co. Ltd.,4,2.0,
"Jining Delong Textile Co.,Ltd",4,2.0,
Balsuyu Mensucat San. ve Tic. A.S.,7,2.0,
Omax Cotspin,7,2.0,
Isil Tekstil San. ve Tic. Ltd. Sti.,4,2.0,
Kikani Enterprises Pvt Ltd,10,3.0,
Retailers and Brands,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
TATA Group of Industries,7,2.0,
Anita's Textiles Ltd,6,2.0,
"Kyungbang Vietnam Co., Ltd",7,2.0,Kyungbangvn.com
Dong Guan Texwinca Textile& Garment  Ltd,4,2.0,
Salona Cotspin Ltd,7,2.0,www.salonagroup.com
"Changzhou Yingjie Environmental Technology Co., Ltd",4,2.0,
Skywin Spinning Pvt Ltd,7,2.0,www.skywinspinning.com
Crescent Fibres Limited,7,2.0,
Associate Members,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Lotus Integrated Tex Park Ltd (Melange Unit),7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Cotlink International,12,2.0,www.cotlinkcom.pk
Louis Dreyfus Company,12,2.0,www.ldcom.com
"Jiangsu Sinocot International Trade Co., Ltd",12,2.0,
Kallam Spinning Mills Ltd,7,2.0,
Anhui Huamao Textile Co. Ltd.,4,2.0,
Shandong Huitong Textile Co. Ltd.,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
CRC Textile Mills Ltd,7,2.0,
Damodar Industries Limited,7,2.0,
Prabhu Spinning Mills Pvt. Ltd.,7,2.0,
"Suqian City Ke Xin Textile Co., Ltd.",7,2.0,
Faisal Asad Textile Mills Ltd.,7,2.0,
Iris Fabrics Ltd,6,3.0,
"Changzhou Qunda Textile Co. Ltd., Jiangsu Daoda Textile Technology Co. Ltd.",7,2.0,
WestPoint Home LLC,4,2.0,
"Mirafios Sociedade, FIacao e Tecidos Lda",7,2.0,www.mirafios.pt
PT Kurabo Manunggal Textile Industries (Kumatex),4,2.0,www.kumatex.com
"Shangqiu Huifeng Cotton Industry Co., Ltd.",7,2.0,www.hfmianye.com
Thien Nam Investment and Development Joint Stock Company,7,2.0,
Shiva Texyarn Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Syed Spinning & Cotton Mills Ltd.,7,2.0,
Meezan Enterprises Pvt. Ltd.,12,2.0,
SVA Syntex Pvt Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jiangsu Yulun Textile Group Ltd.,4,2.0,
TCE Vina Denim Joint Stock Company,6,3.0,
Tavex Europe S.L.,4,2.0,
Menderes,7,2.0,
Interloop Ltd.,4,2.0,
T C Terrytex Ltd,5,3.0,www.tctl.in
Faircot SA,12,2.0,www.faircot.ch
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Keer Group Co., Ltd",4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Lucky Textile Mills Ltd.,9,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
PT Bitratex Industries,7,2.0,
"Shandong  Hengtai Textile Co.,Ltd",7,2.0,
B. K. S. Textiles Pvt Ltd,6,3.0,
Pioneer Knitwears (BD) Ltd,6,3.0,
Ahmad Hassan Textile Mills Ltd.,7,2.0,
Chenniappa Yarn Spinners Pvt Ltd,7,2.0,www.chenniappa.com
Retailers and Brands,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
J.K. Spinning Mills Ltd,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Beirholms VÃ¦verier A/S. (Creadore),9,3.0,
Matam Fibre Mills Ltd,7,2.0,
Premier Tex Products Private Ltd.,7,2.0,
"Shaanxi Qinyuan Textile Co.,Ltd",4,2.0,
Silteks Tekstil San Tic A.S,7,2.0,
Saiham Textile Mills Ltd,7,2.0,www.saihamtextile.com
Olam International Ltd.,12,2.0,
PT. Spinmill Indah Industry,7,2.0,
Shahbaz Garments Pvt. Ltd.,7,2.0,
Orimpex Tekstil,9,3.0,
Alpine Knits India Pvt. Ltd.,7,2.0,
Denim de L'Ile,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Gokhan Tekstil San ve Tic A.S,4,2.0,www.gokhan.com.tr
"Zhonghua Group Co. ,Ltd",7,2.0,
"Chonbang Co, Ltd",4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Jess Smith & Sons Cotton, LLC",12,2.0,
Jiangsu Gtig Hubo Co. Ltd.,4,2.0,
Maral Overseas,4,2.0,
"Fugou Chang Mao Textile Co., Ltd.",4,2.0,
Ekoten Tekstil,6,3.0,
Retailers and Brands,,,
DECATHLON SA,3,0.0,www.natimeo.com
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Phenix Spinning Pvt Ltd,7,2.0,www.phenixspinning.com
Retailers and Brands,,,
Hennes & Mauritz AB,3,0.0,www.hm.com
Suppliers and Manufacturers,,,
Wearit Global Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Badsha Textiles Ltd,7,2.0,
"Jiangyin Qiangli Textile Co.,Ltd",7,2.0,
"Suzhou Flying Fashions Co., Ltd",,2.0,
Mem Tekstil Sanayi ve Ticaret A.S,4,2.0,
Spot Tekstil San. ve Tic.,5,2.0,
Jyotirmaye Textiles Pvt Ltd,7,2.0,
Radiant Textiles Limited,7,2.0,
Adim Tekstil San. ve Tic. A.S.,7,2.0,
"Jiangsu Xinguang Textile Co.,Ltd",4,2.0,
Kautilya Industries Pvt Ltd,4,2.0,
Azgard Nine Ltd,4,2.0,
Indus Group of Companies,4,2.0,
Aadhi Vinayaga Spinners,7,2.0,
Jaideep India Pvt Ltd,7,2.0,
Tianli Spinning (Mauritius) Co. Ltd.,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Danyang City Yongtai Textile CO., LTD",4,2.0,
Bhuvneswari Cotspin India Pvt Ltd,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Sangam (India) Limited,7,2.0,
PT Indo-Rama Synthetics TBK.,4,2.0,
G C Threads Pvt Ltd,7,2.0,www.gcthreads.com
Hussain Textile Corporation,10,3.0,
FunTees a Division of Delta Apparel,5,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jiangsu Liangji Group Co. Ltd.,4,2.0,
Compagnie Malienne pour le developpement des textiles (CMDT),11,2.0,
Olimpias Group srl,6,3.0,www.olimpias.com
Siddiqsons Ltd.,4,2.0,
"FuQing HaiAn Shoes Materials CO.,Ltd.",,2.0,
"Rugao Ruxing Textile Co.,Ltd",4,2.0,
Selcuk Iplik San. ve Tic. A.S.,4,2.0,www.selcukgroup.com
Shijiazhuang Changshan Hengxin Textile Co. Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
SAF Mensucat  San. ve Tic. A.S.,4,2.0,
Alps Industries Ltd.,4,2.0,
"Jiangsu Jin Wang Textile Co., Ltd.",,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,7,2.0,
Shandong Dashing Cashmere Products Co.ltd,,2.0,
Pahartali Textile & Hosiery Mills,7,2.0,
"Tongxiang Chengnan Silk Spinning Co.,Ltd",7,2.0,
Finteks Tekstil ve Hali San Ltd Sti,9,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Yonca Iplik Ticaret A.S,7,2.0,
Globex Agency,7,2.0,
Matesa Tekstil Sanayi ve Ticaret A.S.,4,2.0,
"ZheJiang XinMian Textile Co.,Ltd",7,2.0,
S. A. Aanandan Spinning Mills Pvt. Ltd.,7,2.0,
Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jiangsu Huabao Textile Group,7,2.0,
S T Cottex Exports Pvt Ltd,7,2.0,
Dongguan UPW Ltd,7,2.0,
BSB Spinning Mills Ltd,7,2.0,
Tintex Textiles S.A.,9,3.0,
Israq Spinning Mills Ltd.,7,2.0,
Blue Line Project S.R.L.,9,3.0,
Kongkiat Textile,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Huafang Co.,Ltd",6,3.0,
"Mundotextil - Industrial Texteis, SA",5,3.0,http://www.mundotextil.pt/
"Changzhou Jiekai Textile Co.,Ltd",7,2.0,
Grateful Textiles Co. Ltd.,6,3.0,
Winsome Yarns Ltd.,7,2.0,
Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,7,2.0,
Kaynak Iplik San Ve TIC A.S.,4,2.0,
Culimeta - Saveguard Ltd.,7,2.0,www.culimeta-saveguard.com
Naveena Group of Industries,4,2.0,
Tonrose Ltd,9,2.0,www.tonrose.co.uk
Civil Society,,,
Suppliers and Manufacturers,,,
GRV Spintex Pvt Ltd,7,2.0,
"Siam Kurabo Co., Ltd",7,2.0,
Deniz Tekstil San. ve Tic. A.S.,4,2.0,
Shristi Cotspin Pvt Ltd,4,2.0,www.shristicotspinn.in
"Changzhou Hengji Textile Co., Ltd",4,2.0,
Producer Organisation,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Rajby Textiles (Pvt) Ltd,6,3.0,
Exportadora TSA S.A. de C.V.,4,2.0,www.hilasal.com.sv
Mega Yarn Dyeing Mills Ltd,6,3.0,www.megayarn.com
Saiham Cotton Mills Ltd.,7,2.0,
Retailers and Brands,,,
WE Europe BV,3,0.0,www.wefashion.com
Suppliers and Manufacturers,,,
Zahra Textile,7,2.0,
Murat Yapi Tekstil San.Tic.A.S,7,2.0,
"Shanghai Met Imp.&Exp.Co.,Ltd.",4,2.0,
"Hubei Yinhe Textile Co.,Ltd",7,2.0,
"Dong- Il Vietnam Co., Ltd",7,2.0,www.dong-il.com
Aarthi A1 Traders,9,2.0,
"Sunrise Spinning( Vietnam) Co.,Ltd",,2.0,
Sorabh Traders,12,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Subarna Textile,7,2.0,
Ghazi Fabrics International Ltd.,4,2.0,
KAM International,9,2.0,
Soktas Tekstil Sanayi ve Ticaret A.S.,4,2.0,
Ming Tai Textiles Ltd,4,2.0,
"Haining Bafang Weaving Co.,Ltd.",4,2.0,
Zorluteks Tekstil,9,2.0,
Cetinkaya Mensucat San ve Tic A.S,4,2.0,
"Jiangsu Sanfangxiang Industrial Stock Co.,Ltd",4,2.0,
Modasan Tekstil San. ve Tic. A.S.,7,2.0,
Square Textiles Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Umar Spinning Mills Pvt Ltd,7,2.0,
"Black Peony Group Import &Export  Co.,Ltd.",,2.0,www.blackpeony.com
Bafna Ginning & Pressing Pvt Ltd,12,2.0,
Sri Karpagam Mills India Pvt Ltd,7,2.0,
Yunus Tekstil,4,2.0,
Ensar Tekstil San. ve Tic. A.S.,4,2.0,
Kohinoor Mills Ltd,6,3.0,
Nahar Group of Companies,7,2.0,
"Fujian Gelier  Printing & Dyeing Co., Ltd.",4,2.0,
Prilla 2000 (Pty) Ltd.,7,2.0,
The Delta Spinning Mills Ltd,7,2.0,
Aggressive Textrade Pvt Ltd,12,2.0,www.atplcotton.com
Asia Composite Mills Ltd,7,2.0,
MARS Textile Ltd,7,2.0,
Dabiruddin Spinning Mills Ltd,7,2.0,www.salmagroup.com.bd
Civil Society,,,
Suppliers and Manufacturers,,,
Far Eastern Industries (WuXi) Ltd.,7,2.0,
Kikani Exports Pvt Ltd,4,2.0,www.kikaniexports.com
"Zhejiang Huahong Top Dyed Melange Yarn Co., Ltd",7,2.0,
"Ilshin Spinning Co., Ltd - Korea",7,2.0,www.ilshin.kr
Civil Society,,,
Suppliers and Manufacturers,,,
Viyellatex Group,7,2.0,
Gul Ahmed Textile Mills,4,2.0,
"Bengbu Huawan Textile Co., Ltd",4,2.0,
Marfani Denim Mills,4,2.0,
Paramount Textile Ltd.,6,3.0,
Rajapalayam Textile Ltd,7,2.0,
Civil Society,,,
Dilasa Janvikas Foundation,1,0.0,www.dilasango.org
Suppliers and Manufacturers,,,
Din Textile Mills,7,2.0,
Paul Reinhart AG,12,2.0,
"JiangSu GTIG Eastar Co,Ltd",10,2.0,
"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",6,2.0,www.fzztfz.com
Narteks Tekstil San. ve Tic. A.S.,4,2.0,
Internet Tekstil San. ve Tic. A.S.,4,2.0,
"Xiajin County Ruixin Textile Co.,Ltd",7,2.0,
Reedisha Blended Yarn Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Tusa Ring Isletmeleri Sanayi ve Ticaret A.S.,7,3.0,
Eastman Exports Global Clothing,4,2.0,
"Tejidos Royo, S.L.",5,2.0,www.royotextile.com
Civil Society,,,
MYKAPS (MYRADA Kaveri Pradeshika Samsthe),1,0.0,www.mykaps.in
Suppliers and Manufacturers,,,
Shandong Linqing China Resources Textiles Co. Ltd.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Rajvir Industries Ltd.,7,2.0,
"Ilshin Vietnam Co., Ltd",4,2.0,www.ilshinvn.com
Paddockâ€™s Jeans Ltd,9,3.0,
Ecom Agroindustrial Corp. Ltd.,12,2.0,
Ginni Filaments Ltd.,7,2.0,
Sister Denim Composite Ltd,6,3.0,www.thermaxgroup.com
GRG Cotspin Pvt Ltd,7,2.0,www.grggroup.in
Nantong Tangsheng Textile Co. LTD,4,2.0,
Maharaja Shree Umaid Mills Ltd,7,2.0,
Bhaskar Industries Pvt. Ltd.,7,2.0,
Glencore Agriculture B.V.,12,2.0,
Ramatex Pvt. Ltd.,4,2.0,
Suryalakshmi Cotton Mills Ltd.,7,2.0,
"Yixing Lucky Textiles Group Co., Ltd",6,2.0,
Ar-Al Tekstil San. ve Tic. A.S.,4,2.0,
"Jiangyin Tianyi Woolen Co.,Ltd",7,2.0,
Alok Industries Ltd.,4,2.0,
Pagmat A.S.,7,2.0,
Jiangsu New Jinlan Textile Apparel Co. Ltd.,4,2.0,
Eastern Garments (Pvt.) Limited,6,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Singhal Spintex Pvt. Ltd.,7,2.0,
Producer Organisation,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
PT Kewalram Indonesia,7,2.0,
Liberty Knitwear Ltd,9,3.0,
Viswateja Spinning Mills Pvt Ltd,7,2.0,
Satia Synthetics Ltd,7,2.0,
Navjyot International Trading Pvt. Ltd.,12,2.0,
Bimeco Garnhandel,10,3.0,
Santaram Spinners Ltd.,12,2.0,
"Wuhan Yudahua Textlie And Garment Group Co., Ltd.",4,2.0,http://www.yudahua.com.cn/
ACS Textiles (Bangladesh) Ltd.,9,3.0,
Beyteks Tekstil San. ve Tic. A.S.,4,2.0,
Abishek Industries Ltd./ Trident,4,2.0,
Engelhart CTP (Singapore) Pte Ltd,12,2.0,
"Anhui Hanlian Textile co.,Ltd",7,2.0,
J.K Spinning Mills Ltd,7,2.0,
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
RCMA Asia Pte Limited,12,2.0,
PT. Embee Plumbon Tekstil,7,2.0,www.embeetex.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Nantong Dafuhao Textile Technology Co. Ltd.,7,2.0,
Ayabe Co. Ltd,7,2.0,
"Jiangsu Guotai International Group Guohua Corp.,Ltd",4,2.0,
"ChangShu Cotton Textile Co.,Ltd",4,2.0,
Winnitex,4,2.0,
Hebi Chaoge Cotton Yarn Co. Ltd.,7,2.0,
Shangtex YuFeng,7,2.0,
FM Denim Co Ltd,4,2.0,
Markwell Spinning Pvt Ltd,7,2.0,www.markwellspinning.com
Gimatex Industries Pvt. Ltd.,7,2.0,
"DNM Textile for Spinning, Weaving and Dyeing",4,2.0,
Cotton Distributors Incorporated,12,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Yancheng Haicheng Cotton Industry Co.,Ltd",7,2.0,
Fiasul Industria de Fios LTDA,7,2.0,www.fiasul.com.br
Civil Society,,,
Suppliers and Manufacturers,,,
Umer Group,4,2.0,
K G Denim Ltd,6,3.0,www.kgdenim.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
CHTC Dayao Textile Co. Ltd.,10,2.0,
Envoy Textiles Ltd,7,2.0,www.envoytextiles.com
Henan Pingmian Textile Group,4,2.0,
Ahuja Cotspin Pvt. Ltd.,7,2.0,
Shree Shihorikrupa Cotton Co,12,2.0,
"Jiangsu Donghua Textile Co., Ltd",7,2.0,
Al - Karam Towel Industries (Pvt.) Ltd.,6,3.0,www.alkaramtowelindustries.com
Spectrum International Pvt. Ltd.,12,2.0,
Iskur Tekstil Enerji Tic. ve San. A.S.,4,2.0,
Civil Society,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Nagina Group of Industries,4,2.0,
VRA Cotton Mills Pvt Ltd,12,2.0,
"Zouping Tongda Textile Co., Ltd.",7,2.0,
"Xinjiang Ruisheng Textile Co.,Ltd",7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Far Group,5,2.0,www.fargroupbd.com
