Subtitle,Account Name,Membership Category,Membership Level,Website
Suppliers and Manufacturers,Shivdhara Spinners & Spinners Pvt Ltd,7,2.0,www.shivdharagroup.com
Suppliers and Manufacturers,Becri - Malhas e Confeccoes S. A.,9,3.0,
Suppliers and Manufacturers,"Sociedade Algodoeira do Niassa JFS, SARL",11,3.0,
Suppliers and Manufacturers,S Raja Exports,12,2.0,
Suppliers and Manufacturers,CFT Pietro Masserini Spa,7,2.0,www.cftmasserini.com
Suppliers and Manufacturers,Sree Santosh Garments,5,3.0,
Suppliers and Manufacturers,Adamjee Enterprises,9,3.0,
Suppliers and Manufacturers,Weifang Lantian Textile Co. Ltd.,4,2.0,
Retailers and Brands,Varner Retail AS,3,0.0,www.varner.com
Suppliers and Manufacturers,"Nantong Huaqiang Cloth Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Rajasthan Textile Mills,7,2.0,
Suppliers and Manufacturers,Jihua 3542 Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Senthilkumar Textile Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Gapsan Tekstil San. ve Tic. A.S.,7,2.0,
Retailers and Brands,IC Group,3,0.0,www.ICGroup.net
Suppliers and Manufacturers,Dhruv Cotton Processing Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,N M Exports,9,3.0,
Suppliers and Manufacturers,Sitaram Spinners Private Limited,7,2.0,
Suppliers and Manufacturers,Nitin Spinners Limited,7,2.0,
Suppliers and Manufacturers,Hebei Ningfang Group Co. Ltd.,4,2.0,
Suppliers and Manufacturers,"Kuk Il Spinning Co., Ltd",7,2.0,
Suppliers and Manufacturers,Loftex Industries Ltd.,,2.0,www.loftex.com.cn
Suppliers and Manufacturers,Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),7,2.0,
Suppliers and Manufacturers,Cargill,12,2.0,
Suppliers and Manufacturers,"Shaoxing Dafa Cloth Trade Co., Ltd",6,3.0,
Suppliers and Manufacturers,Grospinz Fabz Limited,7,2.0,
Suppliers and Manufacturers,SANAM (Sociedade Algodoeira de Namialo),11,2.0,
Retailers and Brands,New Look Retailers Ltd.,3,0.0,www.newlookgroup.com
Suppliers and Manufacturers,Lagnam Spintex Private Limited,7,2.0,
Suppliers and Manufacturers,Mocotex S.A.,11,2.0,
Suppliers and Manufacturers,Anandi Entreprises,12,2.0,
Suppliers and Manufacturers,Pee Vee Textiles Ltd,4,2.0,
Suppliers and Manufacturers,Shri Dhanalakshmi Spintex Pvt Ltd,7,2.0,www.shridhanalakshmi.com
Suppliers and Manufacturers,"Loeb & Company, Inc.",12,2.0,
Suppliers and Manufacturers,"Sanyang textile co., LTD",4,2.0,
Retailers and Brands,Sainsburys Supermarkets Ltd.,3,0.0,www.sainsburys.co.uk.
Suppliers and Manufacturers,Brastex S/A,4,2.0,www.gso.br/brastex/index.htm
Suppliers and Manufacturers,PT Lucky Print Abadi,5,3.0,www.luckytex.com
Suppliers and Manufacturers,Cone Denim,4,2.0,
Retailers and Brands,Ellos AB,3,0.0,www.ellos.se
Suppliers and Manufacturers,Prasuna Vamsikrishna Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Karacasu Tekstil,7,2.0,
Suppliers and Manufacturers,"XianYang China Resources Textiles Co.,Ltd",4,2.0,
Suppliers and Manufacturers,"Hunan Dongxin Group Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Plummy Fashions Limited,6,3.0,
Retailers and Brands,Magellan,3,0.0,www.bonoboplanet.com
Suppliers and Manufacturers,Davas Tekstil Sanayi Ticaret A.S,7,2.0,www.davastekstil.com
Suppliers and Manufacturers,Kardem Tekstil San. ve Tic. AS,9,2.0,
Suppliers and Manufacturers,Camay Garments Factory Ltd.,9,2.0,
Suppliers and Manufacturers,Hursan Havlu Uretim San. TIC.A.S.,9,2.0,
Suppliers and Manufacturers,Kedarnath Ginning Pvt Ltd,12,2.0,
Suppliers and Manufacturers,Sarmangal Synthetics Pvt Ltd,7,2.0,www.sarmangal.com
Suppliers and Manufacturers,Yunus Textile Mills Ltd.,7,2.0,
Retailers and Brands,Ralph Lauren Corporation,3,1.0,www.ralphlauren.com
Suppliers and Manufacturers,Shujabad Weaving Mills Ltd,6,2.0,
Suppliers and Manufacturers,Imka Iplik Tekstil Isl San ve Tic A.S,4,2.0,www.imkaiplik.com
Suppliers and Manufacturers,Zephyr Textiles Ltd.,,3.0,
Suppliers and Manufacturers,Pacific Best Ltd,8,3.0,
Suppliers and Manufacturers,Gadoon Textile Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Xingtai H & J Textile Co. Ltd. (BlueDaimond),4,2.0,
Suppliers and Manufacturers,HuNan LouXing Textile Ltd.,7,2.0,
Suppliers and Manufacturers,Textiles Camones S. A.,5,3.0,www.textilescamones.com
Suppliers and Manufacturers,"Dezhou Yuanji Textile Co., Ltd",6,2.0,
Suppliers and Manufacturers,Masood Textile Mills Ltd.,4,2.0,
Producer Organisation,Binzhou Cotton Association,2,0.0,
Suppliers and Manufacturers,Polo Composite Knit Industry Ltd,9,3.0,
Suppliers and Manufacturers,Dadasons Pvt. Ltd.,12,2.0,www.dadasons.com
Suppliers and Manufacturers,Ucak Tekstil Turizm A.S.,4,2.0,
Producer Organisation,Rural Sunshine Social Welfare Organization Daharki  (RSSWO),2,0.0,
Suppliers and Manufacturers,Vardhman Polytex,7,2.0,
Suppliers and Manufacturers,Bombay Rayon Fashions,7,2.0,
Retailers and Brands,Esprit Europe Services GmbH,3,0.0,www.esprit.com
Producer Organisation,Israel Cotton Production and Marketing Board Ltd. (ICB),2,0.0,www.cotton.co.il
Suppliers and Manufacturers,Qingdao York Fashion Manufacture,9,2.0,
Suppliers and Manufacturers,"Henan  Xinye Textile Co.,Ltd.",4,2.0,
Suppliers and Manufacturers,Uspar Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Super Sales India Ltd,7,2.0,www.supersales.co.in
Suppliers and Manufacturers,"Zhengzhou Chenglin Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Nan Yang Haiyong Textile Enterprises Limited,7,2.0,
Suppliers and Manufacturers,Sandhya Spinning Mill Ltd,7,2.0,
Suppliers and Manufacturers,Balavigna Weaving Mills Pvt Ltd,6,3.0,www.balavignaorganic.com
Suppliers and Manufacturers,Spintex Swaziland (Pty) Ltd.,7,2.0,
Suppliers and Manufacturers,Mr. Fabrics ( Pvt. ) LTD.,6,3.0,
Suppliers and Manufacturers,Al Rahim Textile Industries,6,3.0,
Suppliers and Manufacturers,Faisal Fabrics Ltd.,6,3.0,
Suppliers and Manufacturers,Buhler Group,7,2.0,
Suppliers and Manufacturers,Wuxi Jingwei Textile Technology Test Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Sutlej Textiles & Industries Ltd.,7,2.0,
Suppliers and Manufacturers,KKP Textiles Ltd.,7,2.0,
Suppliers and Manufacturers,Thats It Sweater Ltd,9,3.0,
Suppliers and Manufacturers,Berto Industria Tessile SRL,6,3.0,
Suppliers and Manufacturers,Hantex,4,2.0,
Suppliers and Manufacturers,Aastha Spintex Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Ilsan Tekstil San. Ve Tic A.S.,4,2.0,
Producer Organisation,Xinjiang Luthai Fengshou Cotton Industry Co. Ltd.,2,0.0,www.ltfsmy.com
Suppliers and Manufacturers,"Silver Composite Textile Mills Ltd (Unit-3, Textile)",6,3.0,
Suppliers and Manufacturers,Kamal Textile Mills Ltd.,9,3.0,
Suppliers and Manufacturers,DD Cotton Pvt Ltd,12,2.0,www.ddcotton.com
Suppliers and Manufacturers,"Ningbo Huadong Xufeng Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,"Textil Santanderina, S.A.",4,2.0,
Suppliers and Manufacturers,K K Fibers,12,2.0,
Suppliers and Manufacturers,Eveready Spinning Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Suraj Cotton Mills Limited,4,2.0,
Suppliers and Manufacturers,L. S. Mills Ltd.,7,2.0,
Retailers and Brands,HEMA B.V.,3,0.0,www.hema.nl
Suppliers and Manufacturers,"Ningbo Yu Tai  Thread Industrial Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Thapar Group / JCT Ltd.,7,2.0,
Suppliers and Manufacturers,M/S Seeds & Grains India Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,UTAH Spinning Mills Limited,7,2.0,
Suppliers and Manufacturers,Addchance Ltd.,4,2.0,
Suppliers and Manufacturers,Kalpataruvu Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Bros Eastern,7,2.0,
Suppliers and Manufacturers,R Group,9,3.0,
Suppliers and Manufacturers,Arvind Dyeing & Bleaching Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Gohar Textile Mills (Pvt) Ltd.,7,2.0,
Suppliers and Manufacturers,Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,7,2.0,
Suppliers and Manufacturers,Grupo Mundifios,12,2.0,
Suppliers and Manufacturers,Minateks,7,2.0,
Suppliers and Manufacturers,Nantong Shuanglian,7,2.0,
Suppliers and Manufacturers,Al Karam Group,4,2.0,
Suppliers and Manufacturers,Maritas Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,"Taicang Longxin Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Jeyavishnu Spintex Pvt Ltd,7,2.0,
Suppliers and Manufacturers,"Xinjiang Litai Silk Road Investment  Co., LTD",7,2.0,www. jinshengroup.com
Suppliers and Manufacturers,Siruvani Yarns,7,2.0,
Suppliers and Manufacturers,Square Corporation,Non-lint Trader,3.0,www.square-corp.com
Suppliers and Manufacturers,"Tainan Spinning  Co., Ltd",7,2.0,
Associate Members,United States Fashion Industry Association (USFIA),0,0.0,www.usfashionindustry.com
Suppliers and Manufacturers,Orta Anadolu Tic.ve San. Isletmesi T.A.S,4,2.0,
Suppliers and Manufacturers,"Jiangyin Kangni Textiles Co.,Ltd.",7,2.0,
Associate Members,Cotton Incorporated,0,0.0,www.cottoninc.com
Suppliers and Manufacturers,"Jiangsu Guotai Int'l Group Guomao Co., Ltd",10,2.0,
Suppliers and Manufacturers,Vaibhav Laxmi Export Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,Super Spinning Mills,7,2.0,
Producer Organisation,Marriam Rural Welfare Organization (MRWO),2,0.0,
Suppliers and Manufacturers,Ruchi Infrastructure Ltd.,12,2.0,
Suppliers and Manufacturers,Narendra Cotton Ginning & Pressing Co. Pvt. Ltd.,5,2.0,
Suppliers and Manufacturers,"Zhejiang Shengfu Trading Co., Ltd",12,2.0,
Suppliers and Manufacturers,Purbani Group,7,2.0,
Suppliers and Manufacturers,SM Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Delta Spinners Ltd,7,2.0,
Suppliers and Manufacturers,Jiangsu Guotai Huasheng Industrial Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Nantong Tongzhou Jianghua Textile Company Ltd.,7,2.0,
Suppliers and Manufacturers,M.Y Bari Mills Pvt Ltd,5,3.0,www.barimills.com.pk
Suppliers and Manufacturers,Sintex Industries Ltd (Yarn Division),7,2.0,
Suppliers and Manufacturers,Formosa Industries Corporation,7,2.0,
Suppliers and Manufacturers,Adwaith Textiles Ltd,7,2.0,
Suppliers and Manufacturers,Thermax Group,4,2.0,
Suppliers and Manufacturers,Sichuan Zorluteks Yinhua Co. Ltd.,4,2.0,
Suppliers and Manufacturers,"Ningbo Zhongxin Wool Textile Group Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Sanjana Rotor Spin Ltd,7,2.0,
Suppliers and Manufacturers,Artistic Denim Mills Ltd.,4,2.0,
Suppliers and Manufacturers,Garg Acrylics Ltd.,7,2.0,
Suppliers and Manufacturers,Mambo Commodities,12,2.0,
Suppliers and Manufacturers,"Tongxiang Yunsheng Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,RSWM Group,4,2.0,
Suppliers and Manufacturers,Kamal Yarn Ltd.,7,2.0,
Suppliers and Manufacturers,Arif Knitspin Ltd,7,2.0,
Suppliers and Manufacturers,"JiangYin  BeiYe Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Burteks Tekstil San ve Tic A.S,4,2.0,
Suppliers and Manufacturers,Naheed Composite Textile Mills Limited,7,2.0,
Producer Organisation,Indus Farmers Welfare Association (IFWA) Ghotki.,2,0.0,
Suppliers and Manufacturers,Eurotex Industries & Exports Ltd,12,2.0,
Civil Society,Solidaridad,1,0.0,www.solidaridad.nl
Suppliers and Manufacturers,Akshara Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Sudiva Spinners Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Machiyara Group,9,2.0,
Suppliers and Manufacturers,Mittapalli Spinners Ltd,7,2.0,www.mittapallispinners.com
Retailers and Brands,Fat Face Ltd.,3,0.0,www.fatface.com
Suppliers and Manufacturers,Shri Vallabh Pittie Industries Ltd,7,2.0,www.pittie.com
Suppliers and Manufacturers,Ugurlular Tekstil San Tic A.S,7,2.0,
Suppliers and Manufacturers,Bulut Tekstil San. ve Tic. Ltd. Sti.,7,2.0,
Suppliers and Manufacturers,Sindh Agro Industries,12,2.0,
Suppliers and Manufacturers,Anwara Mannan Textile Mills Limited,7,2.0,
Suppliers and Manufacturers,"HuBei SenYu Textile Technological Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Sandipkumar Dharmendrakumar,12,2.0,
Suppliers and Manufacturers,Ningbo Seduno Group Co. Ltd.,9,3.0,
Producer Organisation,Sustainable Agriculture Farmer's Welfare Organization (SAFWO),2,0.0,
Suppliers and Manufacturers,Foshan Deyingjia Textile Company CT,6,2.0,
Civil Society,Alliance for Water Stewardship (AWS),1,0.0,www.allianceforwaterstewardship.org
Suppliers and Manufacturers,"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",4,2.0,
Civil Society,Community Action For Rural Development Society,1,0.0,cardanj.org
Suppliers and Manufacturers,Outpace Spinning Mills,7,2.0,
Suppliers and Manufacturers,SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),4,2.0,
Suppliers and Manufacturers,Turpan Esquel Textile Company Limited,7,2.0,
Civil Society,Ambuja Cement Foundation,1,0.0,www.ambujacementfoundation.org
Suppliers and Manufacturers,BST Textile Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Pratibha Syntex Ltd.,4,2.0,
Suppliers and Manufacturers,DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,7,2.0,www.dvstekstil.com
Suppliers and Manufacturers,"Turbo Yarn, S.A. de C.V.",7,2.0,www.turboyarn.com.mx
Suppliers and Manufacturers,"Siyu Group Co.,Ltd",12,2.0,
Suppliers and Manufacturers,Gillanders Arbuthnot & Co. Ltd,7,2.0,
Suppliers and Manufacturers,Sambandam Siva Textiles Pvt. Ltd.,7,2.0,
Associate Members,SGS S.A.,0,0.0,www.fibres.sgs.com
Suppliers and Manufacturers,"Foshan Xindongpo Textile Co., Ltd",7,2.0,
Suppliers and Manufacturers,Jytx Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,"Jining Delong Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Balsuyu Mensucat San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,Omax Cotspin,7,2.0,
Suppliers and Manufacturers,Isil Tekstil San. ve Tic. Ltd. Sti.,4,2.0,
Suppliers and Manufacturers,Kikani Enterprises Pvt Ltd,10,3.0,
Suppliers and Manufacturers,Nantong Textile Group Co. Ltd.,7,2.0,
Retailers and Brands,Hemtex AB,3,0.0,www.hemtex.com
Producer Organisation,Calcot Ltd.,2,0.0,www.calcot.com
Suppliers and Manufacturers,TATA Group of Industries,7,2.0,
Suppliers and Manufacturers,Anita's Textiles Ltd,6,2.0,
Suppliers and Manufacturers,"Kyungbang Vietnam Co., Ltd",7,2.0,Kyungbangvn.com
Suppliers and Manufacturers,Dong Guan Texwinca Textile& Garment  Ltd,4,2.0,
Suppliers and Manufacturers,Salona Cotspin Ltd,7,2.0,www.salonagroup.com
Suppliers and Manufacturers,"Changzhou Yingjie Environmental Technology Co., Ltd",4,2.0,
Suppliers and Manufacturers,Skywin Spinning Pvt Ltd,7,2.0,www.skywinspinning.com
Suppliers and Manufacturers,Crescent Fibres Limited,7,2.0,
Suppliers and Manufacturers,Ravv Tekstil,9,3.0,
Associate Members,Cotton Connect,0,0.0,www.cottonconnect.org
Producer Organisation,Staple Cotton Cooperative Association,2,0.0,www.staplcotn.com
Suppliers and Manufacturers,Lotus Integrated Tex Park Ltd (Melange Unit),7,2.0,
Suppliers and Manufacturers,Akij Textile Mills Ltd,4,2.0,
Retailers and Brands,ANN Inc.,3,0.0,www.anninc.com
Suppliers and Manufacturers,Cotlink International,12,2.0,www.cotlinkcom.pk
Suppliers and Manufacturers,Louis Dreyfus Company,12,2.0,www.ldcom.com
Suppliers and Manufacturers,"Jiangsu Sinocot International Trade Co., Ltd",12,2.0,
Suppliers and Manufacturers,Kallam Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Anhui Huamao Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Shandong Huitong Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Zaber & Zubair Fabrics Ltd.,4,2.0,
Civil Society,Coastal Salinity Prevention Cell,1,0.0,www.cspc.org.in
Suppliers and Manufacturers,CRC Textile Mills Ltd,7,2.0,
Suppliers and Manufacturers,Damodar Industries Limited,7,2.0,
Suppliers and Manufacturers,Prabhu Spinning Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,"Suqian City Ke Xin Textile Co., Ltd.",7,2.0,
Suppliers and Manufacturers,Faisal Asad Textile Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Iris Fabrics Ltd,6,3.0,
Suppliers and Manufacturers,"Changzhou Qunda Textile Co. Ltd., Jiangsu Daoda Textile Technology Co. Ltd.",7,2.0,
Suppliers and Manufacturers,WestPoint Home LLC,4,2.0,
Suppliers and Manufacturers,"Mirafios Sociedade, FIacao e Tecidos Lda",7,2.0,www.mirafios.pt
Suppliers and Manufacturers,PT Kurabo Manunggal Textile Industries (Kumatex),4,2.0,www.kumatex.com
Suppliers and Manufacturers,"Shangqiu Huifeng Cotton Industry Co., Ltd.",7,2.0,www.hfmianye.com
Suppliers and Manufacturers,Thien Nam Investment and Development Joint Stock Company,7,2.0,
Suppliers and Manufacturers,Shiva Texyarn Ltd,7,2.0,
Suppliers and Manufacturers,"MCM Industrias Texteis, S.A.",4,2.0,
Retailers and Brands,Waitrose Ltd.,3,0.0,www.waitrose.com
Suppliers and Manufacturers,Syed Spinning & Cotton Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Meezan Enterprises Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,SVA Syntex Pvt Ltd,7,2.0,
Suppliers and Manufacturers,S. B. T. Apparels Pvt Ltd,4,2.0,
Retailers and Brands,Cotton On Group,3,0.0,www.cottonongroup.com.au
Suppliers and Manufacturers,Jiangsu Yulun Textile Group Ltd.,4,2.0,
Suppliers and Manufacturers,TCE Vina Denim Joint Stock Company,6,3.0,
Suppliers and Manufacturers,Tavex Europe S.L.,4,2.0,
Suppliers and Manufacturers,Menderes,7,2.0,
Suppliers and Manufacturers,Interloop Ltd.,4,2.0,
Suppliers and Manufacturers,T C Terrytex Ltd,5,3.0,www.tctl.in
Suppliers and Manufacturers,Faircot SA,12,2.0,www.faircot.ch
Suppliers and Manufacturers,Diamond International Co. Ltd.,7,2.0,
Retailers and Brands,RNB,3,0.0,www.rnb.se
Suppliers and Manufacturers,"TongXiang YiDe Textile Co.,Ltd.",,2.0,www.yidegroup.cn
Producer Organisation,Cotton Australia Ltd.,2,0.0,www.cottonaustralia.com.au
Suppliers and Manufacturers,"Keer Group Co., Ltd",4,2.0,
Suppliers and Manufacturers,Prem Textiles International Pvt Ltd,4,2.0,www.premtextiles.com
Retailers and Brands,Bestseller,3,0.0,www.bestseller.com
Suppliers and Manufacturers,Lucky Textile Mills Ltd.,9,2.0,
Suppliers and Manufacturers,US Denim Mills Pvt. Ltd.,6,2.0,
Producer Organisation,Auscott Ltd.,2,0.0,www.auscott.com.au
Suppliers and Manufacturers,"Dengzhou Yongtai Textile Co.,Ltd.",4,2.0,
Producer Organisation,Tameer-O-Tarqqi Welfare Organization,2,0.0,
Suppliers and Manufacturers,PT Bitratex Industries,7,2.0,
Suppliers and Manufacturers,"Shandong  Hengtai Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,B. K. S. Textiles Pvt Ltd,6,3.0,
Suppliers and Manufacturers,Pioneer Knitwears (BD) Ltd,6,3.0,
Suppliers and Manufacturers,Ahmad Hassan Textile Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Chenniappa Yarn Spinners Pvt Ltd,7,2.0,www.chenniappa.com
Suppliers and Manufacturers,Agrograin Ltd Sucursal Uruguay,12,2.0,
Retailers and Brands,"American Eagle Outfitters, Inc.",3,0.0,www.ae.com
Producer Organisation,Sooraj Development Organization,2,0.0,
Suppliers and Manufacturers,J.K. Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Cocamar Cooperativa Agroindustrial,7,2.0,www.cocamar.com.br
Civil Society,Vrutti,1,0.0,www.vrutti.org
Suppliers and Manufacturers,Beirholms VÃ¦verier A/S. (Creadore),9,3.0,
Suppliers and Manufacturers,Matam Fibre Mills Ltd,7,2.0,
Suppliers and Manufacturers,Premier Tex Products Private Ltd.,7,2.0,
Suppliers and Manufacturers,"Shaanxi Qinyuan Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Silteks Tekstil San Tic A.S,7,2.0,
Suppliers and Manufacturers,Saiham Textile Mills Ltd,7,2.0,www.saihamtextile.com
Suppliers and Manufacturers,Olam International Ltd.,12,2.0,
Suppliers and Manufacturers,PT. Spinmill Indah Industry,7,2.0,
Suppliers and Manufacturers,Shahbaz Garments Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Orimpex Tekstil,9,3.0,
Suppliers and Manufacturers,Alpine Knits India Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Denim de L'Ile,4,2.0,
Suppliers and Manufacturers,Reedisha Spinning Ltd,7,2.0,
Retailers and Brands,Lindex AB,3,0.0,www.lindex.com
Suppliers and Manufacturers,Gokhan Tekstil San ve Tic A.S,4,2.0,www.gokhan.com.tr
Suppliers and Manufacturers,"Zhonghua Group Co. ,Ltd",7,2.0,
Suppliers and Manufacturers,"Chonbang Co, Ltd",4,2.0,
Suppliers and Manufacturers,Dongguang Yiming Textile Co.Ltd,4,2.0,
Civil Society,Dalmia Bharat Foundation,1,0.0,www.dalmiabharatfoundation.org
Suppliers and Manufacturers,"Jess Smith & Sons Cotton, LLC",12,2.0,
Suppliers and Manufacturers,Jiangsu Gtig Hubo Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Maral Overseas,4,2.0,
Suppliers and Manufacturers,"Fugou Chang Mao Textile Co., Ltd.",4,2.0,
Suppliers and Manufacturers,Ekoten Tekstil,6,3.0,
Suppliers and Manufacturers,Saif Textile Mills,7,2.0,
Retailers and Brands,DECATHLON SA,3,0.0,www.natimeo.com
Retailers and Brands,Levi Strauss & Co.,3,0.0,www.levistrauss.com
Suppliers and Manufacturers,Artistic Fabric and Garment Industries (Pvt.) Ltd,4,2.0,
Retailers and Brands,Gina Tricot AB,3,0.0,www.ginatricot.com
Suppliers and Manufacturers,Phenix Spinning Pvt Ltd,7,2.0,www.phenixspinning.com
Suppliers and Manufacturers,Fazal Industries,5,3.0,
Retailers and Brands,Hennes & Mauritz AB,3,0.0,www.hm.com
Retailers and Brands,Adidas Group,3,0.0,www.adidas-group.com
Suppliers and Manufacturers,Wearit Global Ltd,7,2.0,
Suppliers and Manufacturers,"Xiajin county tianrun textile co., Ltd",7,2.0,
Producer Organisation,AProCA (Association des Producteurs de Coton Africains),2,0.0,
Suppliers and Manufacturers,Badsha Textiles Ltd,7,2.0,
Suppliers and Manufacturers,"Jiangyin Qiangli Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,"Suzhou Flying Fashions Co., Ltd",,2.0,
Suppliers and Manufacturers,Mem Tekstil Sanayi ve Ticaret A.S,4,2.0,
Suppliers and Manufacturers,Spot Tekstil San. ve Tic.,5,2.0,
Suppliers and Manufacturers,Jyotirmaye Textiles Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Radiant Textiles Limited,7,2.0,
Suppliers and Manufacturers,Adim Tekstil San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,"Jiangsu Xinguang Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Kautilya Industries Pvt Ltd,4,2.0,
Suppliers and Manufacturers,Azgard Nine Ltd,4,2.0,
Suppliers and Manufacturers,Indus Group of Companies,4,2.0,
Suppliers and Manufacturers,Aadhi Vinayaga Spinners,7,2.0,
Suppliers and Manufacturers,Jaideep India Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Tianli Spinning (Mauritius) Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Nisar Spinning Mills Pvt Ltd,7,2.0,
Civil Society,Kamalnayan Jamnalal Bajaj Foundation,1,0.0,www.bajajfoundation.org
Suppliers and Manufacturers,"Danyang City Yongtai Textile CO., LTD",4,2.0,
Suppliers and Manufacturers,Bhuvneswari Cotspin India Pvt Ltd,4,2.0,
Suppliers and Manufacturers,Basil Commodities Pvt. Ltd. (Basil Group),12,2.0,
Civil Society,Rural Education and Economic Development Society,1,0.0,www.reedpakistan.org
Suppliers and Manufacturers,Soorty Enterprises (Pvt.) Ltd.,4,2.0,
