brand,categories
19,"2995.0, 4031.0, 4135.0, 2872.0, 3639.0, 2858.0, 3967.0, 2796.0, 3967.0, 3639.0, 2995.0, 3310.0, 3345.0, 4031.0, 2995.0, 3424.0, 2790.0, 3971.0, 1986.0, 3970.0, 2995.0, 2872.0, 4096.0, 2979.0, 4180.0, 3903.0, 4180.0, 4173.0, 3972.0, 2005.0, 3424.0, 4173.0, 3941.0, 3934.0, 3985.0, 3985.0, 1793.0, 3266.0, 705.0, 2334.0, 3310.0, 1083.0, 4031.0, 3967.0, 2011.0, 4031.0, 3310.0, 3900.0, 3310.0, 3817.0, 4030.0, 4031.0, 4096.0, 4262.0, 3970.0, 3310.0, 4202.0, 4171.0, 3970.0, 3971.0, 1083.0, 99.0, 3310.0, 3916.0, 2995.0, 2790.0, 3934.0, 3971.0, 3424.0, 2870.0, 1610.0, 3424.0, 3310.0, 3310.0, 3971.0, 3934.0, 2325.0, 3941.0, 2378.0, 3002.0, 2995.0, 3934.0, 2325.0, 3934.0, 3310.0, 2872.0, 3817.0, 3941.0, 3310.0, 4030.0, 3310.0, 3424.0, 3934.0, 629.0, 4030.0, 2995.0, 4031.0, 3970.0, 2370.0, 1041.0, 2995.0, 2979.0, 2699.0, 3970.0, 3310.0, 1041.0, 4030.0, 3934.0, 3516.0, 3967.0, 3424.0, 3424.0, 1083.0, 4031.0, 3971.0, 3972.0, 139.0, 4030.0, 4030.0, 3970.0, 2635.0, 870.0, 3901.0, 3934.0, 3310.0, 667.0, 2995.0, 177.0, 2995.0, 3985.0, 1091.0, 1091.0, 1091.0, 3310.0, 3310.0, 3970.0, 3971.0, 3934.0, 3310.0, 3970.0, 1083.0, 3914.0, 4030.0, 3970.0, 4031.0, 702.0, 3639.0, 955.0, 4171.0, 3985.0, 3934.0, 3639.0, 3424.0, 4180.0, 3934.0, 2995.0, 3728.0, 3654.0, 3670.0, 1610.0, 3934.0, 3817.0"
20,"1560.0, 3639.0, 585.0, 3639.0, 1664.0, 1807.0, 3259.0, 794.0, 4045.0, 3916.0, 3934.0, 1000.0, 3985.0, 585.0, 4030.0, 3960.0, 997.0, 141.0, 978.0, 3971.0, 3625.0, 2609.0, 3915.0, 3916.0, 1000.0, 2902.0, 2226.0, 3017.0, 1501.0, 3639.0, 1000.0, 2023.0, 4063.0, 3745.0, 997.0, 3934.0, 585.0, 562.0, 3914.0, 3259.0, 2995.0, 1000.0, 1000.0, 1913.0, 794.0, 1793.0, 4029.0, 2389.0, 3960.0, 585.0, 3259.0, 1000.0, 4030.0, 4030.0, 278.0, 562.0, 1701.0, 1055.0, 2382.0, NaN, 2995.0, 2995.0, 997.0, 1459.0, 585.0, 1664.0, 1390.0, 806.0, 3654.0, 2839.0, 568.0, 1212.0, 568.0, 3525.0, 3927.0, 3934.0, 2331.0, 3654.0, 2995.0, 1000.0, 3639.0, 4030.0, 3497.0, 2995.0, 3985.0, 585.0, 3985.0, 2995.0, 2005.0, 2995.0, 3927.0, 3654.0, 3985.0, 585.0, 997.0, 2005.0, 2995.0, 4030.0, 4117.0, 3639.0, 3960.0, 4030.0, 3259.0, 585.0, 1701.0, 585.0, 794.0, 1906.0, 2384.0, 1849.0, 997.0, 1813.0, 574.0, 4030.0, 88.0, 1000.0, 2382.0, 3960.0, 3960.0, 1849.0, 21.0, 1560.0, 3941.0, 1813.0, 3670.0, 3639.0, 585.0, 2902.0, 1212.0, 2005.0"
21,1772.0
22,"536.0, 536.0"
23,"2942.0, 2709.0, 1916.0, 2942.0, 2473.0, 781.0, 35.0, 580.0, 2942.0, 3916.0, 2629.0, 1301.0, 2136.0, 2942.0, 2942.0, 1807.0, 3961.0, 274.0, 1225.0, 1807.0, 1807.0, 1807.0, 2473.0, 813.0, 274.0"
24,385.0
25,"1365.0, 3224.0, NaN, NaN, 2962.0, 1365.0, 3911.0, 3900.0, 3901.0, 1349.0, 1365.0, 2198.0, 2690.0, 3916.0, 3902.0, 2700.0, 3072.0, 3072.0, 2700.0, 2700.0, 1349.0, 1365.0, 2690.0"
26,1045.0
27,"NaN, NaN, 779.0, 2473.0, 2473.0, 914.0"
28,"3914.0, 871.0, 1807.0, 218.0, 3916.0"
29,"2049.0, 880.0, 880.0, 3981.0, 2049.0"
31,"1980.0, 1980.0"
32,"450.0, NaN, 907.0, NaN, 3214.0, 3262.0"
33,"74.0, 74.0, 4109.0, 4109.0, NaN"
34,"1980.0, 1980.0, 4016.0, 3900.0, 2797.0, 327.0, 3910.0, 931.0, 1980.0, 2797.0, 1980.0, 3986.0"
35,"1807.0, 3903.0, 1402.0, 327.0, 3900.0, 2464.0, 3901.0, NaN, 4002.0, 3775.0, NaN, 156.0"
36,"975.0, 274.0, 136.0"
37,"NaN, 524.0, NaN, NaN, 300.0, 524.0, NaN, 524.0, NaN, NaN, NaN, 524.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 524.0, NaN, 524.0, 3613.0, 2445.0, NaN, NaN, NaN, NaN, NaN, NaN, 524.0, NaN, 300.0, NaN, NaN"
38,"482.0, NaN, 2709.0, NaN, 482.0, 482.0, 1763.0, 482.0, 2709.0, 482.0, 2620.0, 2620.0, 482.0"
39,"163.0, NaN, NaN, 3291.0, 3378.0, 2091.0, 1100.0, NaN, NaN, NaN, NaN, 163.0, NaN, 2632.0, NaN, NaN, 3262.0"
40,"3907.0, 3942.0, 2209.0, 3948.0, 3910.0, 2658.0, 3900.0, 2658.0, 2658.0, 2658.0, 1920.0, 3903.0, 1920.0, 1980.0, 3910.0, 2203.0"
41,NaN
42,"1244.0, 1244.0, 721.0, 759.0, 3625.0, 721.0, 178.0, 759.0"
43,"90.0, 2259.0, 3514.0, 476.0, 2738.0, 4026.0, 2104.0, 30.0, 3268.0, 3499.0, 4094.0, NaN, 2104.0, 30.0, 476.0, 1350.0, 1251.0, 169.0, 3668.0, 2731.0, 4028.0, 30.0, 30.0, 747.0, 3140.0, 4020.0, 3047.0, 3499.0, 3936.0, 3946.0, 3051.0, 327.0, 3268.0, 2556.0, 2547.0, 3945.0, 2547.0, 4111.0, 4027.0, 3668.0, 3935.0, 2104.0, 3767.0, 2508.0, 476.0, 3937.0, 2951.0, 3937.0, 3936.0, 2738.0, 3767.0, 3625.0, 3946.0, 30.0, 3946.0, 3625.0, 2973.0, 2872.0, 2547.0, 846.0, 3268.0, 3668.0, 3047.0, 3284.0, 3514.0, 2897.0, 2389.0, 3625.0, 3514.0, 3268.0, 4094.0, 2547.0, 4112.0, 3047.0, 90.0, 3514.0, 3047.0, 1827.0, 2389.0, 3625.0, 3413.0, 2872.0, 2612.0, 2897.0, 169.0, 3901.0, 327.0, 3945.0, 2389.0, 30.0, 4166.0, 614.0, 507.0, 3920.0, 30.0, 747.0, 1060.0, 30.0, 169.0, 3935.0, 2104.0, 3413.0, 3935.0, 4028.0, 3221.0, 614.0, 327.0, 1879.0, 2738.0, 747.0, 30.0, 4112.0, 2259.0, 2738.0, 3937.0, 3937.0, 2738.0, 47.0, 3935.0, 2259.0"
44,NaN
45,"4086.0, 4029.0, 3907.0, 557.0, 1000.0, 585.0, 1849.0, 2005.0, 4243.0, 74.0, 715.0, 4243.0, 536.0, 390.0, 2005.0, 74.0, 3973.0, 3905.0, 281.0, 2005.0, 74.0, 2995.0, 3960.0, 2005.0, 74.0, 74.0, 4156.0, 1772.0, 1775.0, 1000.0, 3963.0, 3964.0, 78.0, 3024.0, 3939.0, 2209.0, 81.0, 669.0, 3228.0, 926.0, 545.0, 2209.0, 3964.0, 2209.0, 81.0, 669.0, 1775.0, 3973.0, 3090.0, 1000.0, 1479.0, 4133.0, 1772.0, 3964.0, 78.0, 4073.0, 3964.0, 3024.0, 1032.0, 74.0, 3910.0, 3916.0, 4136.0, 2005.0, 3948.0, 4086.0, 3948.0, 81.0, 74.0, 219.0, 4068.0, 3901.0, 1000.0"
46,"3916.0, 1348.0, 2097.0, 2097.0, 3724.0, 2097.0, 1311.0, 2097.0, 3548.0, 2097.0, 2097.0, 3201.0, 2722.0"
47,"3903.0, 3900.0, 1138.0, 3910.0, 3901.0"
48,NaN
50,"3240.0, 390.0, 3901.0, 1708.0, 3901.0, 3900.0, 954.0, 3910.0, 4093.0, 2207.0, 2443.0, 1798.0, 480.0, 3910.0, 803.0, 3900.0, 2872.0, 2872.0, 3910.0, 1796.0, 3173.0, 3903.0, 3625.0, 545.0, 2473.0, 3958.0, 3963.0, 394.0, 1708.0, 3307.0, 414.0, 1225.0, 3902.0, 3959.0, 3897.0, 2512.0, 1124.0, 414.0, 3128.0, 390.0, 1032.0, 3900.0, 536.0"
51,"3944.0, 3986.0, 3902.0, 30.0, 3937.0, 2104.0, 3946.0, 2104.0"
52,"2470.0, 1114.0, 614.0, 922.0, 3911.0, 3810.0, 3916.0, NaN, 614.0, 3910.0, 278.0, 390.0, NaN, 1479.0, 2167.0, 74.0, NaN, 585.0, 1055.0, 3960.0, 3960.0, 3900.0, 585.0, 3927.0, 1114.0, 2979.0, 2598.0, 2979.0, 2731.0, 3911.0, NaN, 3960.0, 1573.0, 3986.0, 1055.0, 2226.0, 1479.0, 3138.0"
53,"3024.0, 3903.0, 1920.0, 3529.0, 3915.0, 3574.0, 3901.0, 226.0, 3900.0, 2619.0, 3910.0, 3595.0, 3901.0, 1505.0, 3900.0, 3431.0, 4054.0, 3005.0, 1657.0, 1920.0, 3911.0, 3901.0, 3903.0, 3561.0, 1073.0, 3911.0, 3900.0, 2919.0, 3901.0, 3574.0, 464.0, 1193.0, 1749.0, 2919.0"
54,"1164.0, 411.0, NaN, 277.0, 1138.0, 870.0"
55,"3767.0, 1675.0, 1807.0, 1560.0, 2470.0, 1807.0, 2402.0, 1920.0, 1675.0, 1560.0, 2797.0, 1849.0, 3923.0, 3599.0, 2402.0, 1066.0, 1675.0"
56,"NaN, NaN"
57,"2839.0, 3394.0, 1501.0"
58,"1780.0, 3599.0, 3701.0, 846.0"
59,"2973.0, 421.0, 300.0, NaN, NaN, NaN, 2749.0, NaN"
60,"NaN, 2325.0"
61,"3906.0, 3906.0, 1554.0, 1554.0, 1554.0, 3906.0, 1554.0, 3906.0, 3906.0, 3906.0, 3906.0, 3393.0, 1554.0"
62,"1000.0, 981.0, 3424.0, 4029.0, NaN, 2136.0, 3810.0, 981.0, 160.0, 2032.0, NaN, 981.0, 1920.0, NaN, 2005.0, 2005.0, 1000.0, NaN, NaN, NaN, 981.0, 4029.0, NaN, NaN, 4029.0, NaN, NaN, 1926.0, 1980.0, 2464.0, NaN, 3903.0, 4029.0, 3810.0, 4045.0, 1965.0, 667.0, 3497.0, 2320.0, 1350.0, NaN, 4068.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 870.0, NaN, NaN, 1849.0, NaN, NaN, 160.0, NaN, 1350.0, 2884.0, NaN, 3799.0, 3745.0, 74.0"
64,1373.0
65,"694.0, 3429.0, 3902.0, 3444.0, 3903.0, 3910.0, 3900.0, 3902.0, 3910.0"
66,NaN
68,"3916.0, 1807.0, 1980.0, 2519.0, 308.0, 2519.0, 3916.0, 2464.0, 189.0, 1463.0, 2075.0, 179.0, 163.0, 914.0, 2243.0, 3916.0, 2642.0, 2519.0, 2519.0, 1075.0, 2473.0, 3916.0, 3916.0, 274.0, 2519.0, 2658.0, 975.0, 3916.0, 3916.0, 1807.0, 2519.0, 3916.0, 3916.0"
69,"862.0, 2035.0"
70,"3911.0, 3903.0, 3901.0, 789.0, 3900.0, 855.0, 3905.0, 847.0, 2890.0, 3902.0, 2384.0, 3910.0, 347.0, 3902.0"
71,"3548.0, 2578.0, 2097.0, NaN, 1306.0, 2578.0, 2578.0, 1163.0, 3171.0, 1311.0, 3201.0, 1348.0, 1311.0, 3724.0, 2578.0, 1348.0, 2578.0, 2578.0, 2097.0, 3548.0, 1348.0, 1348.0, 2097.0, 1348.0"
72,"1365.0, 3072.0, 1349.0, 1349.0, 1365.0, 3072.0, NaN, 3072.0"
73,"2690.0, 3910.0, 1760.0, 1569.0, 2690.0, 3903.0, 3224.0, 2690.0, 2586.0, 2690.0, 3914.0, 3224.0, 2116.0, 3224.0, 3224.0, 2116.0, 3224.0, 701.0, 3224.0, 3156.0, 1697.0, 3224.0, 3901.0, 3224.0, 3224.0, 1898.0, 2690.0, 3224.0, 1569.0, 2116.0, 3914.0, 2690.0, 2690.0, 2116.0, 2116.0, 1763.0, 2690.0, 3224.0, 3915.0, 3156.0, 2116.0, 3903.0, 4019.0, 3224.0, 2690.0, 3224.0, 2690.0, 3224.0, 3224.0, 2690.0, 2116.0, 3224.0, 2690.0, 2586.0, 3910.0, 2116.0, 2690.0, 2690.0, 3915.0, 2116.0"
74,"536.0, NaN, 2136.0, 1121.0, 4021.0, 263.0, 1361.0, 327.0, 4002.0, 3168.0, 2473.0, 327.0, 4021.0, 3903.0, NaN, 263.0, 1807.0, 3718.0, 4002.0, NaN, 2176.0, 3128.0, 2136.0, 1807.0, NaN, NaN, 3903.0, 327.0, 3903.0, NaN, 1807.0, 3903.0, NaN, 327.0, 274.0, 4002.0, NaN"
75,"NaN, 2136.0, NaN, NaN, 2136.0, 2136.0, 2136.0, 1849.0, NaN, 3929.0, 2136.0, 2136.0, NaN, 2136.0, NaN, 2136.0, 2136.0, NaN, 2136.0, NaN, 2136.0, NaN, NaN, NaN, 2136.0, 3930.0, 2136.0, NaN, 2136.0, NaN, 3930.0, 2136.0, NaN, 1910.0, 2136.0, 3360.0, 2136.0, 2136.0, NaN, NaN, 2136.0, 2136.0, 57.0, 2136.0, 2136.0, NaN, 2136.0, 2136.0, 2136.0, NaN, 2136.0, NaN, 2136.0, 2136.0, 2402.0, 2136.0, NaN"
76,"NaN, NaN, 1504.0"
77,"1711.0, 3228.0, NaN, 775.0, NaN, 3905.0, 1711.0, NaN, 1807.0, 3575.0, NaN, NaN, 3901.0, 146.0, 2470.0, NaN, 1807.0, 163.0, 3900.0, 2473.0, 1807.0, 547.0, NaN, NaN, 1865.0, 3903.0, 755.0, NaN, 3903.0, 3613.0, 1772.0, 601.0, 2469.0, 1772.0, 1807.0, 3907.0, NaN, 146.0, 557.0, 1138.0, 3502.0, 3168.0, 3910.0, 1138.0, NaN, NaN, NaN, 396.0, 3911.0, 3910.0, 1800.0, 3903.0, 3910.0, 1807.0, 263.0, 3874.0, 1505.0, 1807.0, 3901.0, NaN, NaN, 2256.0, 3262.0, 4229.0, NaN, NaN, 1608.0, 158.0, 2469.0, 3042.0, 1608.0, NaN, 3903.0, 1807.0, 862.0, NaN, 1998.0, NaN, NaN, 1807.0, NaN, 3910.0, 2616.0, NaN, 2176.0, 3902.0, NaN, 3928.0, 3905.0, 3900.0, 1807.0, 1998.0, NaN, 1361.0, 3128.0, 3902.0, 3910.0, 1980.0, 3902.0, 3900.0, 3903.0, NaN, 1225.0, 3424.0, NaN, NaN, NaN, 3900.0, NaN, 1608.0, NaN, 3825.0, 3941.0, NaN"
