"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
CIS,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44539.0,6,ENG 101-A0ZH,58,3,1,1,1,1,64,1.0,43696.0,43814.0
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
44777.0,,TA 195-A001,Special Projects Theatre Arts,0,4,1,1,4,9,2.0,43696.0,43814.0
ART ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
45366.0,2,BIO 137-A003,26,4,2,0,0,18,25,2.0,43696.0,43814.0
PHILOSOPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
44418.0,,ELT 120-A0L1,52,,2,5,36,47,52,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
44758.0,,FYE 100-A003,61,1,6,19,23,ATC231,51,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44552.0,1,BIO 120-A001,24,3,2,15,17,19,24,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44394.0,9,MAT 150-A001,73,3,0,0,0,61,81,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44802.0,9,MAT 126-A0M1,69,3,0,0,0,63,85,2.0,43696.0,43814.0
POLITICAL SCIENCE,,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ART ,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
