"Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, July 1, 2016,  (V2016)","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Nonveteran-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Owner-occupied housing unit rate, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Median gross rent, 2011-2015","Total nonemployer establishments, 2015","Two or More Races, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Veterans, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Total employment, percent change, 2014-2015","Population estimates, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Foreign born persons, percent, 2011-2015","Persons 65 years and over, percent, April 1, 2010","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent,  July 1, 2016,  (V2016)",Fact,"Housing units, April 1, 2010","Persons  without health insurance, under age 65 years, percent","Population per square mile, 2010","Median value of owner-occupied housing units, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Nonminority-owned firms, 2012","Men-owned firms, 2012","Population estimates base, April 1, 2010,  (V2016)","Land area in square miles, 2010","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Median household income (in 2015 dollars), 2011-2015","Building permits, 2016","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Minority-owned firms, 2012","Persons in poverty, percent","Veteran-owned firms, 2012","Total employment, 2015","Population, Census, April 1, 2010","Women-owned firms, 2012","Persons per household, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Total annual payroll, 2015 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","All firms, 2012","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Total employer establishments, 2015","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","With a disability, under age 65 years, percent, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Households, 2011-2015"
27.00%,64.60%,24.60%,"$26,747 ",6.30%,3.70%,"66,219",2.00%,0.10%,16.9,68.10%,6.50%,$655 ,"64,006",2.30%,7.30%,"6,211,731","63,742",9.00%,"$16,550 ",1.60%,"865,454",1.50%,"$1,210 ",3.00%,14.30%,7.10%,16.00%,South Dakota,"363,438",10.30%,10.70,"$140,500 ","383,838","74,228","42,418","814,195","75,811.00",82.50%,"$50,957 ","5,686",68.60%,$433 ,"4,101",13.30%,"8,604","353,540","814,180","23,722",2.45,90.90%,24.90%,"13,812,997","16,882,647","81,314",83.40%,"26,511","20,411,059","13,791,827","1,873,699",8.40%,85.20%,50.00%,49.60%,"330,858"
23.00%,59.30%,23.00%,"$26,541 ",8.90%,28.50%,"191,293",9.60%,0.80%,23.9,55.10%,30.00%,$973 ,"205,980",4.20%,6.90%,"13,928,514","220,332",1.60%,"$13,858 ",3.70%,"2,940,058",8.70%,"$1,442 ",19.20%,12.00%,6.30%,15.00%,Nevada,"1,173,814",13.10%,24.6,"$173,700 ","1,221,698","144,944","114,057","2,700,691","109,781.18",49.90%,"$51,847 ","17,952",64.00%,$410 ,"71,864",13.80%,"23,049","1,129,965","2,700,551","82,508",2.72,85.10%,24.60%,"46,595,673","14,719,141","227,156",78.80%,"63,383","19,841,701","38,234,170","27,481,505",9.00%,75.10%,49.50%,49.90%,"1,016,709"
33.70%,66.20%,23.30%,"$32,157 ",4.10%,5.20%,"419,628",6.20%,0.10%,23.1,71.70%,11.00%,$848 ,"397,378",2.40%,6.70%,"40,403,572","342,388",1.30%,"$14,667 ",1.80%,"5,519,952",4.90%,"$1,490 ",7.70%,12.90%,6.40%,15.10%,Minnesota,"2,347,201",4.80%,66.6,"$186,200 ","2,409,935","428,716","268,710","5,303,924","79,626.74",80.60%,"$61,492 ","21,449",70.00%,$479 ,"47,302",9.90%,"45,582","2,612,314","5,303,925","157,821",2.49,92.40%,24.20%,"133,092,716","123,076,309","489,494",85.50%,"148,666","104,485,117","78,898,182","11,722,627",7.10%,85.00%,50.40%,50.20%,"2,124,745"
26.70%,63.30%,23.30%,"$27,950 ",2.90%,5.80%,"217,779",3.70%,0.10%,18.9,71.50%,7.40%,$697 ,"207,167",1.80%,6.60%,"18,583,828","211,066",0.50%,"$14,607 ",1.70%,"3,134,693",2.50%,"$1,171 ",4.70%,14.90%,6.40%,16.40%,Iowa,"1,336,417",5.00%,54.5,"$129,200 ","1,380,162","236,561","135,382","3,046,869","55,857.13",86.20%,"$53,183 ","14,317",67.60%,$434 ,"14,707",11.80%,"25,889","1,338,418","3,046,355","82,345",2.42,91.50%,23.90%,"55,079,743","116,668,830","259,121",84.80%,"80,952","62,318,301","44,905,624","5,468,687",7.90%,91.40%,50.50%,50.30%,"1,236,409"
31.40%,57.20%,23.20%,"$30,318 ",5.40%,38.90%,"3,176,341",6.50%,0.50%,28.0,54.30%,43.90%,"$1,255 ","3,206,958",3.80%,6.80%,"248,953,592","1,777,410",1.70%,"$12,665 ",3.50%,"39,250,017",14.80%,"$2,155 ",27.00%,11.40%,6.30%,13.60%,California,"13,680,081",8.30%,239.1,"$385,500 ","14,060,525","1,819,107","1,852,580","37,254,522","155,779.22",37.70%,"$61,818 ","102,350",63.10%,$500 ,"1,619,857",14.30%,"252,377","14,325,377","37,253,956","1,320,085",2.96,81.80%,25.00%,"856,954,246","512,303,164","3,548,449",85.20%,"908,120","666,652,186","481,800,461","90,830,372",6.80%,72.70%,50.30%,50.30%,"12,717,801"
26.90%,57.10%,22.10%,"$26,607 ",0.40%,5.00%,"733,517",14.20%,Z,24.2,71.00%,9.20%,$783 ,"700,254",2.40%,6.00%,"63,018,786","626,722",0.70%,"$12,071 ",3.20%,"9,928,300",3.10%,"$1,257 ",6.30%,13.80%,5.80%,16.20%,Michigan,"4,532,233",6.30%,174.8,"$122,400 ","4,560,055","657,237","446,128","9,884,129","56,538.90",75.40%,"$49,576 ","20,408",61.20%,$461 ,"158,946",15.00%,"71,861","3,725,280","9,883,640","306,986",2.52,89.60%,23.70%,"174,873,962","238,892,383","834,087",85.30%,"219,627","115,704,903","119,302,046","17,962,356",10.30%,79.60%,50.90%,50.80%,"3,841,148"
25.80%,56.20%,22.10%,"$24,604 ",7.30%,5.50%,"303,137",27.50%,0.10%,23.9,68.60%,6.90%,$790 ,"329,431",1.80%,6.50%,"22,941,292","378,959",0.50%,"$12,298 ",2.80%,"4,961,119",1.60%,"$1,183 ",4.80%,13.70%,5.90%,16.70%,South Carolina,"2,137,683",11.90%,153.90,"$139,900 ","2,236,153","276,269","202,446","4,625,410","30,060.70",63.90%,"$45,483 ","32,165",60.10%,$347 ,"83,233",15.30%,"47,987","1,662,251","4,625,364","131,856",2.56,85.60%,23.40%,"66,120,263","99,160,840","367,726",84.70%,"103,973","45,520,900","58,093,824","9,763,818",10.30%,68.50%,51.40%,51.50%,"1,815,094"
25.70%,62.70%,23.70%,"$29,803 ",3.90%,10.00%,"51,353",1.30%,0.10%,18.3,69.10%,7.10%,$789 ,"48,140",2.10%,7.10%,"3,291,478","48,505",2.70%,"$16,388 ",FN,"585,501",1.00%,"$1,348 ",3.60%,12.40%,6.50%,15.00%,Wyoming,"261,868",13.40%,5.8,"$194,800 ","270,600","55,397","30,039","563,767","97,093.14",84.10%,"$58,840 ","1,727",67.70%,$386 ,"4,077",11.30%,"6,470","219,881","563,626","19,344",2.49,92.30%,24.00%,"10,094,010","10,783,794","62,427",81.90%,"21,040","5,597,891","9,446,043","1,644,844",8.50%,92.80%,49.00%,48.90%,"226,865"
36.30%,60.80%,22.20%,"$34,152 ",5.10%,9.10%,"548,439",19.80%,0.10%,27.9,66.20%,15.40%,"$1,116 ","576,446",2.90%,6.40%,"47,705,003","706,539",0.50%,"$13,438 ",1.20%,"8,411,808",6.60%,"$1,711 ",11.70%,12.20%,6.10%,14.60%,Virginia,"3,364,939",10.10%,202.6,"$245,000 ","3,491,054","450,109","353,012","8,001,041","39,490.09",62.40%,"$65,015 ","31,132",64.70%,$433 ,"185,043",11.00%,"76,434","3,198,718","8,001,024","236,290",2.62,88.30%,23.20%,"165,788,897","96,389,872","653,193",84.40%,"197,384","86,613,641","110,002,385","17,795,901",7.70%,70.00%,50.90%,50.80%,"3,062,783"
27.50%,54.50%,23.50%,"$25,848 ",8.40%,30.90%,"427,582",4.90%,0.30%,24.8,62.80%,26.90%,$913 ,"451,951",2.80%,7.10%,"37,055,881","505,794",5.40%,"$12,927 ",2.40%,"6,931,071",3.40%,"$1,343 ",13.50%,13.80%,6.30%,16.90%,Arizona,"2,844,526",11.90%,56.3,"$167,500 ","2,961,003","344,981","245,243","6,392,301","113,594.08",55.50%,"$50,255 ","35,578",59.30%,$380 ,"135,313",16.40%,"46,780","2,295,186","6,392,017","182,425",2.69,86.00%,25.50%,"102,671,393","51,243,473","499,926",81.30%,"136,352","69,437,272","84,716,542","13,996,635",8.20%,83.30%,50.30%,50.30%,"2,412,212"
37.90%,64.10%,22.40%,"$36,897 ",4.20%,9.80%,"462,232",30.70%,0.10%,32.3,66.80%,17.20%,"$1,230 ","475,518",2.80%,6.30%,"40,821,901","403,900",0.60%,"$12,980 ",1.00%,"6,016,447",6.60%,"$1,951 ",14.50%,12.30%,6.10%,14.60%,Maryland,"2,378,814",7.00%,594.8,"$286,900 ","2,447,127","314,902","276,630","5,773,786","9,707.24",51.50%,"$74,551 ","17,044",67.90%,$582 ,"203,394",9.70%,"50,976","2,239,817","5,773,552","209,119",2.67,89.40%,23.40%,"118,496,858","39,532,989","531,953",86.60%,"137,204","60,734,191","76,379,707","12,516,782",7.10%,59.30%,51.60%,51.60%,"2,166,389"
36.80%,60.60%,22.20%,"$36,582 ",1.70%,20.00%,"707,975",15.00%,0.10%,31.0,64.50%,30.50%,"$1,192 ","670,765",2.20%,6.20%,"60,375,232","393,277",0.60%,"$15,079 ",0.90%,"8,944,469",9.80%,"$2,386 ",21.70%,13.50%,5.80%,15.30%,New Jersey,"3,553,562",9.20%,"1,195.50","$315,900 ","3,604,409","533,808","464,592","8,791,953","7,354.22",55.80%,"$72,093 ","26,793",65.90%,$973 ,"237,242",10.40%,"57,996","3,558,619","8,791,894","252,944",2.73,88.60%,23.50%,"209,072,015","108,854,971","792,088",90.20%,"230,961","288,467,844","133,665,728","19,673,558",6.60%,72.40%,51.30%,51.20%,"3,189,486"
34.90%,63.80%,19.50%,"$34,362 ",1.40%,3.50%,"108,817",1.50%,0.10%,26.9,71.00%,7.90%,"$1,000 ","104,437",1.70%,5.30%,"9,616,460","106,827",0.30%,"$19,700 ",2.30%,"1,334,795",2.70%,"$1,870 ",5.70%,13.50%,4.80%,17.00%,New Hampshire,"614,754",7.10%,147,"$237,300 ","625,307","121,297","76,716","1,316,461","8,952.65",90.80%,"$66,779 ","3,796",68.20%,$747 ,"6,111",7.30%,"16,119","576,424","1,316,470","38,525",2.47,92.30%,21.80%,"28,076,320","18,895,624","131,638",86.50%,"37,669","18,029,179","26,018,201","2,942,278",8.50%,93.80%,50.70%,50.50%,"520,251"
27.80%,63.50%,22.30%,"$28,340 ",1.60%,6.70%,"370,755",6.60%,0.10%,21.9,67.30%,8.70%,$776 ,"341,935",1.90%,6.30%,"40,680,625","381,940",1.10%,"$13,656 ",2.20%,"5,778,708",2.80%,"$1,402 ",4.80%,13.70%,5.80%,16.10%,Wisconsin,"2,624,358",6.20%,105,"$165,800 ","2,668,444","379,934","236,252","5,687,289","54,157.80",81.70%,"$53,357 ","19,274",67.10%,$532 ,"40,507",11.80%,"39,830","2,503,532","5,686,986","133,859",2.43,91.00%,23.60%,"112,406,494","177,728,926","432,980",85.80%,"139,500","77,066,883","78,201,822","10,303,256",8.20%,87.50%,50.40%,50.30%,"2,299,107"
24.90%,56.30%,22.60%,"$25,227 ",4.80%,5.20%,"469,392",17.10%,0.10%,24.5,66.80%,6.90%,$764 ,"495,703",1.90%,6.40%,"42,383,683","462,414",0.40%,"$14,194 ",2.20%,"6,651,194",1.80%,"$1,181 ",4.80%,13.40%,6.10%,15.70%,Tennessee,"2,812,133",10.60%,153.90,"$142,100 ","2,919,671","434,025","302,249","6,346,298","41,234.90",74.20%,"$45,219 ","36,157",61.00%,$359 ,"105,234",15.80%,"59,379","2,507,205","6,346,105","195,694",2.53,85.50%,23.60%,"110,481,280","139,960,482","550,453",84.70%,"133,344","111,718,421","91,641,605","12,499,013",11.20%,78.70%,51.30%,51.20%,"2,504,556"
31.10%,59.50%,30.20%,"$24,686 ",10.40%,13.80%,"219,807",1.40%,1.00%,21.6,69.50%,14.70%,$887 ,"216,280",2.50%,9.50%,"14,521,857","134,332",1.60%,"$13,317 ",4.90%,"3,051,217",2.50%,"$1,428 ",8.40%,9.00%,8.30%,10.50%,Utah,"979,709",9.70%,33.6,"$215,900 ","1,054,164","218,826","132,163","2,763,888","82,169.62",78.80%,"$60,727 ","22,662",67.70%,$388 ,"24,423",10.20%,"18,754","1,203,954","2,763,885","76,269",3.15,91.20%,31.50%,"51,453,266","50,046,429","251,419",82.90%,"75,463","30,927,885","38,024,486","4,789,281",6.60%,91.10%,49.80%,49.70%,"906,292"
19.20%,49.20%,20.50%,"$23,450 ",-1.20%,1.50%,"94,960",3.60%,Z,25.6,72.50%,2.50%,$643 ,"88,136",1.70%,5.60%,"12,259,395","150,021",0.20%,"$12,201 ",-1.70%,"1,831,102",0.80%,$966 ,1.50%,16.00%,5.50%,18.80%,West Virginia,"881,917",6.50%,77.1,"$103,800 ","886,640","104,785","63,112","1,853,011","24,038.21",92.30%,"$41,751 ","2,544",53.90%,$293 ,"5,777",17.90%,"12,912","565,435","1,852,994","39,065",2.43,85.00%,20.90%,"22,159,084","24,553,072","114,435",88.20%,"36,993","14,295,437","22,637,923","4,036,333",14.40%,93.60%,50.70%,50.50%,"740,890"
30.80%,58.80%,21.60%,"$29,822 ",5.00%,10.40%,"101,334",2.20%,10.20%,26.8,56.90%,25.20%,"$1,438 ","104,707",23.70%,6.40%,"8,136,947","110,238",0.40%,"$13,576 ",0.90%,"1,428,557",37.70%,"$2,270 ",17.70%,14.30%,6.40%,17.10%,Hawaii,"519,508",4.20%,211.8,"$515,300 ","537,114","38,510","60,409","1,360,301","6,422.63",22.10%,"$69,515 ","3,369",61.50%,$505 ,"74,208",9.30%,"11,148","523,677","1,360,301","44,453",3.02,91.00%,22.30%,"22,068,393",D,"118,454",85.10%,"31,915","9,607,982","18,901,745","9,536,706",6.50%,25.80%,49.90%,49.80%,"450,572"
