63.30%,67.20%,71.20%,65.80%,71.20%,66.20%,60.10%,66.70%,68.10%,67.00%,68.10%,55.10%,71.70%,71.50%,54.30%,71.00%,68.60%,69.10%,66.20%,62.80%,66.80%,64.50%,71.00%,67.30%,66.80%,69.50%,72.50%,56.90%
13.60%,4.10%,6.60%,8.50%,12.90%,10.80%,21.40%,11.30%,35.70%,21.90%,6.50%,30.00%,11.00%,7.40%,43.90%,9.20%,6.90%,7.10%,15.40%,26.90%,17.20%,30.50%,7.90%,8.70%,6.90%,14.70%,2.50%,25.20%
$879 ,$711 ,$777 ,$788 ,"$1,018 ",$726 ,$925 ,$757 ,$777 ,"$1,075 ",$655 ,$973 ,$848 ,$697 ,"$1,255 ",$783 ,$790 ,$789 ,"$1,116 ",$913 ,"$1,230 ","$1,192 ","$1,000 ",$776 ,$764 ,$887 ,$643 ,"$1,438 "
"870,897","86,969","113,012","358,223","60,734","131,518","76,747","195,777","121,279","272,809","64,006","205,980","397,378","207,167","3,206,958","700,254","329,431","48,140","576,446","451,951","475,518","670,765","104,437","341,935","495,703","216,280","88,136","104,707"
2.10%,2.70%,1.70%,1.60%,2.60%,2.10%,2.70%,2.90%,2.50%,2.30%,2.30%,4.20%,2.40%,1.80%,3.80%,2.40%,1.80%,2.10%,2.90%,2.80%,2.80%,2.20%,1.70%,1.90%,1.90%,2.50%,1.70%,23.70%
7.10%,6.30%,5.20%,6.90%,6.20%,7.20%,5.50%,7.20%,7.00%,5.70%,7.30%,6.90%,6.70%,6.60%,6.80%,6.00%,6.50%,7.10%,6.40%,7.10%,6.30%,6.20%,5.30%,6.30%,6.40%,9.50%,5.60%,6.40%
"51,800,643","6,469,475","10,297,043","27,951,792","7,003,251","12,869,418","8,223,005","18,248,370","11,236,630","29,573,119","6,211,731","13,928,514","40,403,572","18,583,828","248,953,592","63,018,786","22,941,292","3,291,478","47,705,003","37,055,881","40,821,901","60,375,232","9,616,460","40,680,625","42,383,683","14,521,857","12,259,395","8,136,947"
"670,617","90,000","119,058","281,989","71,213","132,918","66,076","198,396","164,157","199,331","63,742","220,332","342,388","211,066","1,777,410","626,722","378,959","48,505","706,539","505,794","403,900","393,277","106,827","381,940","462,414","134,332","150,021","110,238"
0.50%,6.60%,0.70%,0.80%,0.60%,1.40%,1.00%,1.20%,10.60%,0.50%,9.00%,1.60%,1.30%,0.50%,1.70%,0.70%,0.50%,2.70%,0.50%,5.40%,0.60%,0.60%,0.30%,1.10%,0.40%,1.60%,0.20%,0.40%
"$12,077 ","$15,544 ","$16,192 ","$13,342 ","$15,763 ","$16,422 ","$11,486 ","$13,263 ","$12,073 ","$14,381 ","$16,550 ","$13,858 ","$14,667 ","$14,607 ","$12,665 ","$12,071 ","$12,298 ","$16,388 ","$13,438 ","$12,927 ","$12,980 ","$15,079 ","$19,700 ","$13,656 ","$14,194 ","$13,317 ","$12,201 ","$13,576 "
4.00%,3.10%,1.60%,0.40%,1.50%,2.30%,1.00%,1.00%,3.90%,1.20%,1.60%,3.70%,1.80%,1.70%,3.50%,3.20%,2.80%,FN,1.20%,2.40%,1.00%,0.90%,2.30%,2.20%,2.20%,4.90%,-1.70%,0.90%
"10,310,371","1,042,520","1,331,479","4,681,666","952,065","1,907,116","1,056,426","2,907,289","2,081,015","3,576,452","865,454","2,940,058","5,519,952","3,134,693","39,250,017","9,928,300","4,961,119","585,501","8,411,808","6,931,071","6,016,447","8,944,469","1,334,795","5,778,708","6,651,194","3,051,217","1,831,102","1,428,557"
4.10%,0.80%,1.20%,1.80%,4.00%,2.50%,3.60%,3.00%,1.70%,4.70%,1.50%,8.70%,4.90%,2.50%,14.80%,3.10%,1.60%,1.00%,6.60%,3.40%,6.60%,9.80%,2.70%,2.80%,1.80%,2.50%,0.80%,37.70%
"$1,346 ","$1,294 ","$1,336 ","$1,200 ","$1,537 ","$1,270 ","$1,815 ","$1,282 ","$1,227 ","$2,067 ","$1,210 ","$1,442 ","$1,490 ","$1,171 ","$2,155 ","$1,257 ","$1,183 ","$1,348 ","$1,711 ","$1,343 ","$1,951 ","$2,386 ","$1,870 ","$1,402 ","$1,181 ","$1,428 ",$966 ,"$2,270 "
9.80%,2.10%,3.50%,4.00%,8.70%,6.60%,13.30%,6.90%,9.80%,13.90%,3.00%,19.20%,7.70%,4.70%,27.00%,6.30%,4.80%,3.60%,11.70%,13.50%,14.50%,21.70%,5.70%,4.80%,4.80%,8.40%,1.50%,17.70%
10.70%,14.80%,15.90%,12.30%,14.40%,13.50%,14.40%,13.20%,13.20%,14.20%,14.30%,12.00%,12.90%,14.90%,11.40%,13.80%,13.70%,12.40%,12.20%,13.80%,12.30%,13.50%,13.50%,13.70%,13.40%,9.00%,16.00%,14.30%
6.40%,6.00%,4.90%,6.60%,5.80%,7.00%,5.20%,6.70%,6.20%,5.20%,7.10%,6.30%,6.40%,6.40%,6.30%,5.80%,5.90%,6.50%,6.10%,6.30%,6.10%,5.80%,4.80%,5.80%,6.10%,8.30%,5.50%,6.40%
13.10%,17.70%,19.40%,14.40%,17.50%,15.00%,16.50%,15.00%,16.50%,16.10%,16.00%,15.00%,15.10%,16.40%,13.60%,16.20%,16.70%,15.00%,14.60%,16.90%,14.60%,15.30%,17.00%,16.10%,15.70%,10.50%,18.80%,17.10%
Georgia,Montana,Maine,Louisiana,Delaware,Nebraska,Rhode Island,Kansas,New Mexico,Connecticut,South Dakota,Nevada,Minnesota,Iowa,California,Michigan,South Carolina,Wyoming,Virginia,Arizona,Maryland,New Jersey,New Hampshire,Wisconsin,Tennessee,Utah,West Virginia,Hawaii
"4,088,801","482,825","721,830","1,964,981","405,885","796,793","463,388","1,233,215","901,388","1,487,891","363,438","1,173,814","2,347,201","1,336,417","13,680,081","4,532,233","2,137,683","261,868","3,364,939","2,844,526","2,378,814","3,553,562","614,754","2,624,358","2,812,133","979,709","881,917","519,508"
14.80%,9.80%,9.90%,11.90%,6.60%,9.90%,5.10%,10.10%,10.80%,5.70%,10.30%,13.10%,4.80%,5.00%,8.30%,6.30%,11.90%,13.40%,10.10%,11.90%,7.00%,9.20%,7.10%,6.20%,10.60%,9.70%,6.50%,4.20%
168.4,6.8,43.1,104.9,460.8,23.8,"1,018.10",34.9,17.00,738.1,10.70,24.6,66.6,54.5,239.1,174.8,153.90,5.8,202.6,56.3,594.8,"1,195.50",147,105,153.90,33.6,77.1,211.8
"$148,100 ","$193,500 ","$173,800 ","$144,100 ","$231,500 ","$133,200 ","$238,000 ","$132,000 ","$160,300 ","$270,500 ","$140,500 ","$173,700 ","$186,200 ","$129,200 ","$385,500 ","$122,400 ","$139,900 ","$194,800 ","$245,000 ","$167,500 ","$286,900 ","$315,900 ","$237,300 ","$165,800 ","$142,100 ","$215,900 ","$103,800 ","$515,300 "
"4,218,776","497,756","730,705","2,036,975","426,149","827,156","462,589","1,259,864","917,568","1,499,116","383,838","1,221,698","2,409,935","1,380,162","14,060,525","4,560,055","2,236,153","270,600","3,491,054","2,961,003","2,447,127","3,604,409","625,307","2,668,444","2,919,671","1,054,164","886,640","537,114"
"538,893","102,746","131,322","277,676","54,782","144,122","77,042","204,562","83,857","259,614","74,228","144,944","428,716","236,561","1,819,107","657,237","276,269","55,397","450,109","344,981","314,902","533,808","121,297","379,934","434,025","218,826","104,785","38,510"
"480,578","55,913","79,243","215,111","38,328","83,696","54,651","125,169","71,132","187,845","42,418","114,057","268,710","135,382","1,852,580","446,128","202,446","30,039","353,012","245,243","276,630","464,592","76,716","236,252","302,249","132,163","63,112","60,409"
"9,688,680","989,414","1,328,364","4,533,479","897,936","1,826,334","1,052,940","2,853,129","2,059,198","3,574,114","814,195","2,700,691","5,303,924","3,046,869","37,254,522","9,884,129","4,625,410","563,767","8,001,041","6,392,301","5,773,786","8,791,953","1,316,461","5,687,289","6,346,298","2,763,888","1,853,011","1,360,301"
"57,513.49","145,545.80","30,842.92","43,203.90","1,948.54","76,824.17","1,033.81","81,758.72","121,298.15","4,842.36","75,811.00","109,781.18","79,626.74","55,857.13","155,779.22","56,538.90","30,060.70","97,093.14","39,490.09","113,594.08","9,707.24","7,354.22","8,952.65","54,157.80","41,234.90","82,169.62","24,038.21","6,422.63"
53.40%,86.50%,93.50%,59.00%,62.90%,79.60%,73.30%,76.30%,38.10%,67.70%,82.50%,49.90%,80.60%,86.20%,37.70%,75.40%,63.90%,84.10%,62.40%,55.50%,51.50%,55.80%,90.80%,81.70%,74.20%,78.80%,92.30%,22.10%
"$49,620 ","$47,169 ","$49,331 ","$45,047 ","$60,509 ","$52,997 ","$56,852 ","$52,205 ","$44,963 ","$70,331 ","$50,957 ","$51,847 ","$61,492 ","$53,183 ","$61,818 ","$49,576 ","$45,483 ","$58,840 ","$65,015 ","$50,255 ","$74,551 ","$72,093 ","$66,779 ","$53,357 ","$45,219 ","$60,727 ","$41,751 ","$69,515 "
"51,675","4,781","4,010","14,503","5,804","8,078","1,226","9,807","4,863","5,504","5,686","17,952","21,449","14,317","102,350","20,408","32,165","1,727","31,132","35,578","17,044","26,793","3,796","19,274","36,157","22,662","2,544","3,369"
62.30%,63.60%,63.40%,60.40%,63.10%,69.90%,65.50%,66.30%,59.10%,67.20%,68.60%,64.00%,70.00%,67.60%,63.10%,61.20%,60.10%,67.70%,64.70%,59.30%,67.90%,65.90%,68.20%,67.10%,61.00%,67.70%,53.90%,61.50%
$392 ,$387 ,$477 ,$317 ,$445 ,$471 ,$682 ,$455 ,$327 ,$833 ,$433 ,$410 ,$479 ,$434 ,$500 ,$461 ,$347 ,$386 ,$433 ,$380 ,$582 ,$973 ,$747 ,$532 ,$359 ,$388 ,$293 ,$505 
"371,588","5,578","4,339","126,100","14,440","14,571","14,737","26,127","60,622","56,113","4,101","71,864","47,302","14,707","1,619,857","158,946","83,233","4,077","185,043","135,313","203,394","237,242","6,111","40,507","105,234","24,423","5,777","74,208"
16.00%,13.30%,12.50%,20.20%,11.70%,11.40%,12.80%,12.10%,19.80%,9.80%,13.30%,13.80%,9.90%,11.80%,14.30%,15.00%,15.30%,11.30%,11.00%,16.40%,9.70%,10.40%,7.30%,11.80%,15.80%,10.20%,17.90%,9.30%
"96,787","11,486","15,689","42,211","7,206","16,693","9,904","21,610","14,096","31,056","8,604","23,049","45,582","25,889","252,377","71,861","47,987","6,470","76,434","46,780","50,976","57,996","16,119","39,830","59,379","18,754","12,912","11,148"
"3,692,490","375,041","500,549","1,724,973","397,385","870,279","425,748","1,189,876","626,284","1,503,102","353,540","1,129,965","2,612,314","1,338,418","14,325,377","3,725,280","1,662,251","219,881","3,198,718","2,295,186","2,239,817","3,558,619","576,424","2,503,532","2,507,205","1,203,954","565,435","523,677"
"9,687,653","989,415","1,328,361","4,533,372","897,934","1,826,341","1,052,567","2,853,118","2,059,179","3,574,097","814,180","2,700,551","5,303,925","3,046,355","37,253,956","9,883,640","4,625,364","563,626","8,001,024","6,392,017","5,773,552","8,791,894","1,316,470","5,686,986","6,346,105","2,763,885","1,852,994","1,360,301"
"376,506","35,449","42,067","151,114","23,964","51,936","30,484","77,194","59,044","106,678","23,722","82,508","157,821","82,345","1,320,085","306,986","131,856","19,344","236,290","182,425","209,119","252,944","38,525","133,859","195,694","76,269","39,065","44,453"
2.73,2.41,2.34,2.6,2.62,2.47,2.46,2.53,2.67,2.57,2.45,2.72,2.49,2.42,2.96,2.52,2.56,2.49,2.62,2.69,2.67,2.73,2.47,2.43,2.53,3.15,2.43,3.02
85.40%,92.80%,91.60%,83.40%,88.40%,90.70%,86.20%,90.20%,84.20%,89.90%,90.90%,85.10%,92.40%,91.50%,81.80%,89.60%,85.60%,92.30%,88.30%,86.00%,89.40%,88.60%,92.30%,91.00%,85.50%,91.20%,85.00%,91.00%
25.70%,22.60%,20.70%,24.70%,22.90%,25.10%,21.30%,25.50%,25.20%,22.90%,24.90%,24.60%,24.20%,23.90%,25.00%,23.70%,23.40%,24.00%,23.20%,25.50%,23.40%,23.50%,21.80%,23.60%,23.60%,31.50%,20.90%,22.30%
"174,839,354","14,227,065","20,413,159","76,684,760","21,305,227","36,967,924","19,704,826","51,259,676","25,145,307","92,555,072","13,812,997","46,595,673","133,092,716","55,079,743","856,954,246","174,873,962","66,120,263","10,094,010","165,788,897","102,671,393","118,496,858","209,072,015","28,076,320","112,406,494","110,481,280","51,453,266","22,159,084","22,068,393"
"155,836,792","11,535,236","16,044,543","271,191,050","22,597,384","57,499,177","11,262,158","86,076,260","29,102,352","55,160,095","16,882,647","14,719,141","123,076,309","116,668,830","512,303,164","238,892,383","99,160,840","10,783,794","96,389,872","51,243,473","39,532,989","108,854,971","18,895,624","177,728,926","139,960,482","50,046,429","24,553,072",D
"929,864","112,419","139,570","414,291","73,418","164,089","94,642","239,118","151,363","326,693","81,314","227,156","489,494","259,121","3,548,449","834,087","367,726","62,427","653,193","499,926","531,953","792,088","131,638","432,980","550,453","251,419","114,435","118,454"
84.00%,83.60%,85.90%,86.30%,86.60%,83.70%,86.60%,83.50%,85.70%,87.80%,83.40%,78.80%,85.50%,84.80%,85.20%,85.30%,84.70%,81.90%,84.40%,81.30%,86.60%,90.20%,86.50%,85.80%,84.70%,82.90%,88.20%,85.10%
"224,593","37,270","40,801","105,575","24,852","53,719","28,387","74,526","43,793","89,232","26,511","63,383","148,666","80,952","908,120","219,627","103,973","21,040","197,384","136,352","137,204","230,961","37,669","139,500","133,344","75,463","36,993","31,915"
"143,645,290","12,645,824","12,961,262","68,012,838","5,628,914","42,618,995","22,310,389","60,226,324","10,720,363","161,962,244","20,411,059","19,841,701","104,485,117","62,318,301","666,652,186","115,704,903","45,520,900","5,597,891","86,613,641","69,437,272","60,734,191","288,467,844","18,029,179","77,066,883","111,718,421","30,927,885","14,295,437","9,607,982"
"119,801,495","15,623,573","21,521,714","61,396,364","14,456,001","30,470,717","12,063,865","38,276,461","25,179,274","51,632,467","13,791,827","38,234,170","78,898,182","44,905,624","481,800,461","119,302,046","58,093,824","9,446,043","110,002,385","84,716,542","76,379,707","133,665,728","26,018,201","78,201,822","91,641,605","38,024,486","22,637,923","18,901,745"
"18,976,611","2,420,455","2,901,347","11,697,949","2,148,437","3,094,498","2,481,314","4,873,411","4,349,672","9,542,068","1,873,699","27,481,505","11,722,627","5,468,687","90,830,372","17,962,356","9,763,818","1,644,844","17,795,901","13,996,635","12,516,782","19,673,558","2,942,278","10,303,256","12,499,013","4,789,281","4,036,333","9,536,706"
8.80%,9.10%,11.90%,11.00%,8.50%,7.30%,8.90%,8.60%,10.10%,7.10%,8.40%,9.00%,7.10%,7.90%,6.80%,10.30%,10.30%,8.50%,7.70%,8.20%,7.10%,6.60%,8.50%,8.20%,11.20%,6.60%,14.40%,6.50%
61.20%,89.20%,94.80%,63.20%,70.10%,88.90%,84.40%,86.60%,82.60%,80.60%,85.20%,75.10%,85.00%,91.40%,72.70%,79.60%,68.50%,92.80%,70.00%,83.30%,59.30%,72.40%,93.80%,87.50%,78.70%,91.10%,93.60%,25.80%
51.20%,49.80%,51.10%,51.00%,51.60%,50.40%,51.70%,50.40%,50.60%,51.30%,50.00%,49.50%,50.40%,50.50%,50.30%,50.90%,51.40%,49.00%,50.90%,50.30%,51.60%,51.30%,50.70%,50.40%,51.30%,49.80%,50.70%,49.90%
51.30%,49.70%,51.00%,51.10%,51.60%,50.20%,51.40%,50.20%,50.50%,51.20%,49.60%,49.90%,50.20%,50.30%,50.30%,50.80%,51.50%,48.90%,50.80%,50.30%,51.60%,51.20%,50.50%,50.30%,51.20%,49.70%,50.50%,49.80%
"3,574,362","409,394","553,284","1,727,919","344,022","736,613","410,602","1,113,472","763,603","1,352,583","330,858","1,016,709","2,124,745","1,236,409","12,717,801","3,841,148","1,815,094","226,865","3,062,783","2,412,212","2,166,389","3,189,486","520,251","2,299,107","2,504,556","906,292","740,890","450,572"
