name,pop
East Tremont,39280
Washington Heights North,73457
 Arrochar,16079
 Baychester,35422
 Flushing Heights,34034
 Ocean Parkway,36937
 Arlington,27957
Crown Heights South,39670
 Manhattan,1662
East New York (Pennsylvania Ave),27624
park,436
 Queens,436
 Utopia,17812
St. Albans,48593
Soundview,50753
Upper East Side,63664
 Bronx,540
 Bathgate,28149
 Gerritsen Beach,64518
Eastchester,34517
Soundview,35137
East Flushing,26516
 TriBeCa,36757
 Red Hook,38353
Hunters Point,61947
New Springville,39597
 Wakefield,42483
Queens Village,52504
 Fordham North,54415
West Brighton,17370
Hamilton Heights,48520
Far Rockaway,48344
New Brighton,17525
Murray Hill,48419
Oakwood,22266
 Floral Park,22571
Grasmere,15238
Grymes Hill,19834
Rosedale,25502
Bensonhurst West,88727
 West Maspeth,61947
 Little Neck,24356
Woodlawn,42483
Crotona Park East,20277
 Bayside Hills,43808
Douglas Manor,24356
Rosedale,25063
Ozone Park,21376
 Inwood,46746
Rugby,57934
 Belle Harbor,26711
South Jamaica,35181
Hollis,20269
 Woodrow,18894
Middle Village,37929
Laurelton,26375
Washington Heights South,84438
Ocean Parkway South,20556
 Lighthse Hill,30762
Springfield Gardens South,20132
Glendale,31071
Lower East Side,72258
Pomonok,31734
Jamaica Estates,26061
 Little Italy,42742
 Jamaica Hills,38675
 Melrose,29797
Breezy Point,28018
park,93
 Concourse Village,62284
 Arverne,31645
 Silver Lake,16784
 Cobble Hill,22548
Ocean Hill,30067
 Sunnyside,61947
 Emersn Hill,30714
 Maspeth,25521
 Boerum Hill,30847
Homecrest,44316
 Long Island City,20030
 Howard Beach,26148
East Harlem South,56899
Kew Gardens Hills,37479
South Ozone Park,78906
Breezy Point,26711
Battery Park City,20088
East Flatbush,50355
Old Town,24835
 Midtown South,25807
Elmhurst,87972
 Castle Hill,50753
 Rosebank,24048
Elmhurst,24338
Pelham Bay,26583
Schuylerville,43712
 South Beach,24835
Arden Heights,25238
Spuyten Duyvil,30161
Lincoln Square,55239
Van Cortlandt Village,50100
Starrett City,13354
 Staten Island,0
 Westchester Square,27135
East Concourse,58961
Hollis,20747
 Marine Park,42940
 Edgewater Park,44167
park,1906
 Marine Park,45231
Crown Heights North,103462
Central Harlem North,75282
 Clason Point,53686
 Op City,43752
 Harding Park,50753
Port Richmond,18042
Bath Beach,28572
 Bruckner,35137
 Fox Hills,22460
 Morris Park,29250
 etc,0
 Bay Terrace,22731
 Columbia Street,38327
Upper West Side,136954
Crotona Park East,18072
Midtown,28630
Fort Greene,28335
 Red Hook,38327
Pelham Bay,27140
 Clason Point,50753
Battery Park City,39699
Queensboro Hill,19309
Park Slope,67263
Washington Heights South,93671
Belmont,27378
Middle Village,37629
Rugby,55326
Hudson Yards,55839
Williamsbridge,57420
Brownsville,58300
Allerton,28510
Highbridge,37727
Clinton Hill,34791
Midwood,55440
Charleston,23313
Glen Oaks,22426
 Belle Harbor,28018
 Edgewater Park,43712
 Bayswater,48344
 Brookville,20132
Canarsie,83693
 Ft. Wadsworth,16079
Brighton Beach,35547
Murray Hill,50742
Mount Hope,52649
 St. George,32154
 New Hyde Park,22426
Co,43752
 Downtown Brklyn,34495
 Kingsbridge,30161
 cemetery,0
Bushwick North,57138
 Wakefield,43583
Richmond Hill,62982
 Morris Heights,54335
 Civic Center,42742
 etc,1785
Astoria,78793
 Bruckner,35634
Eastchester,35422
Cambria Heights,20944
Steinway,47534
 cemetery,1785
 Gerritsen Beach,64596
 Eltingville,27770
 Manhattan,1849
 Farragut,56033
Melrose South,39214
 Vinegar Hill,34495
 Broad Chnl,26711
North Corona,52037
East Harlem North,58019
Westerleigh,23790
Sunset Park East,72340
 Carnegie Hill,63664
Erasmus,31392
 Cooper Village,21049
 Heartland Villg,30762
 Melrose,37865
Borough Park,106357
South Jamaica,38894
Kew Gardens,23278
Pelham Parkway,30073
Sunset Park West,52312
Upper West Side,132378
Williamsburg,32926
Airport,0
 Bayswater,50058
 Manhattn Bch,64518
Morrisania,37865
 Clearview,22731
 Brookville,18950
 Remsen Village,57934
 etc,1906
Norwood,40817
 cemetery,540
Bath Beach,29931
East Village,41746
DUMBO,34495
Woodlawn,43583
Bushwick South,64617
Stuyvesant Heights,63504
 Midland Beach,21896
Ocean Hill,31935
Rossville,20763
Marble Hill,49087
Van Nest,29250
 Morris Park,27135
Bensonhurst East,62978
Old Astoria,28847
 City Line,48961
New Dorp,21896
 Coney Island,31965
 Midland Beach,20242
Lenox Hill,80771
Maspeth,28916
Kensington,36937
 Union Square,55839
 Maspeth,24338
 Howard Beach,28121
 Travis,39597
 Country Club,26583
Woodside,45099
East New York (Pennsylvania Ave),29343
Hunters Point,63271
 Oakwood Beach,22266
 etc,436
 Remsen Village,55326
 Pelham Gardens,28903
Crown Heights North,103169
Sunset Park East,66150
 Port Ivory,27957
 cemetery,1906
Cambria Heights,18677
 Douglaston,24356
Kew Gardens Hills,36052
Turtle Bay,49737
Kingsbridge Heights,33286
West Concourse,39282
Greenpoint,37821
Marble Hill,46746
Stuyvesant Town,19101
Ozone Park,21052
Van Nest,27135
 Bay Terrace,21751
Greenpoint,34719
Briarwood,39138
Pelham Parkway,30006
Great Kills,40720
North Side,45774
Elmhurst,25521
 Clifton,19834
Prospect Heights,19849
Brooklyn Heights,22548
Westchester,27248
Bensonhurst West,84640
 Holliswood,26061
 etc,540
 Lower Manhattan,20088
Crown Heights South,42370
Woodside,43846
West Farms,35011
Brighton Beach,35244
Longwood,26196
Dyker Heights,39332
Prospect Lefferts Gardens,70300
 Bloomfield,39597
 Bloomfield,39309
 Jamaica Hills,39138
Bensonhurst East,58566
Whitestone,31356
Allerton,28903
 Gowanus,67649
 Broad Chnl,28018
 Long Island City,21104
Central Harlem South,39075
 Throgs Neck,44167
 Brooklyn,418
 Heartland Villg,30714
College Point,21407
North Side,40130
 Richmond Valley,23313
Homecrest,45679
East Village,44136
 Ravenswood,20030
Queens Village,57704
SoHo,36757
Flushing,72008
Manhattanville,22950
Spuyten Duyvil,29872
Auburndale,19996
 Hillcrest,34034
Soundview,35634
Yorkville,76768
Bayside,43808
 Chelsea,55839
 Richmond Valley,18332
Mott Haven,52413
 etc,1662
Ridgewood,69317
West Concourse,39557
Bellerose,25287
Todt Hill,30762
Flatlands,66726
 Port Morris,52413
 Brooklyn,93
Soundview,53686
 City Island,26583
Queensboro Hill,20800
East Williamsburg,31878
Mount Hope,51807
Steinway,53604
Baisley Park,34603
Bushwick North,56093
North Riverdale,28013
 etc,1849
Bellerose,24464
 TriBeCa,42742
Fresh Meadows,17373
North Corona,47156
Carroll Gardens,38353
 New Hyde Park,22571
 Bronx River,34542
Queensbridge,20030
Fordham South,26880
Seagate,34267
Briarwood,38675
Windsor Terrace,20988
park,1662
 Arverne,36885
East Elmhurst,23150
Lincoln Square,61489
East Elmhurst,21183
park,540
 Huguenot,27770
East Harlem North,57148
 Mill Basin,45231
 City Line,49223
Fresh Meadows,17812
 Roosevelt Island,80771
Bay Ridge,80539
 Harding Park,53686
 Riverdale,28013
Douglas Manor,24739
Central Harlem North,70016
Kew Gardens,23888
Madison,38917
Lindenwood,26148
Flushing,69362
 Arrochar,15238
 Queens,1785
 Graniteville,27957
 Bergen Beach,45231
Whitestone,30773
East Flatbush,56033
Morningside Heights,54208
 Bronx River,35011
Yorkville,77942
Sunset Park West,54041
 Kips Bay,48419
Lenox Hill,76631
Kensington,36891
 Ft. Wadsworth,15238
 Wingate,70300
Queensbridge,21104
 Woodrow,20763
Pomonok,34034
 Little Italy,36757
Oakwood,22049
 Boerum Hill,34495
Laurelton,24453
 Manhattn Bch,64596
 Columbia Street,38353
St. Albans,50046
East Tremont,43423
Morrisania,29797
Williamsbridge,61321
Bedford Park,54415
 Bathgate,31078
