pop,name
31935,Ocean Hill
31965,"Seagate,  Coney Island"
32154,"West New Brighton,  New Brighton,  St. George"
32496,"Glendale, Kingsbridge Heights"
32926,Williamsburg
33195,"Melrose South,  Mott Haven North"
33286,Kingsbridge Heights
33292,Clinton Hill
33551," St. George, West New Brighton,  New Brighton"
33844,Highbridge
34034," Flushing Heights,  Hillcrest, Pomonok"
34158,East Williamsburg
34267," Coney Island, Seagate"
34309,Bronxdale
34495," Downtown Brklyn,  Vinegar Hill, DUMBO,  Boerum Hill"
34517," Baychester,  Edenwald, Eastchester"
34542,"West Farms,  Bronx River"
34603,Baisley Park
34719,Greenpoint
34791,Clinton Hill
35011,"West Farms,  Bronx River"
35137,"Soundview,  Bruckner"
35181,South Jamaica
35244,Brighton Beach
35422," Edenwald,  Baychester, Eastchester"
35538,Bronxdale
35547,Brighton Beach
35634," Bruckner, Soundview"
35729,Baisley Park
36052,Kew Gardens Hills
36757," Civic Center,  TriBeCa, SoHo,  Little Italy"
36885," Edgemere, Hammels,  Arverne"
36891," Ocean Parkway, Kensington"
36937," Ocean Parkway, Kensington"
37479,Kew Gardens Hills
37629,Middle Village
37727,Highbridge
37821,Greenpoint
37865," Melrose, Morrisania"
37929,Middle Village
38327,"Carroll Gardens,  Columbia Street,  Red Hook"
38353," Red Hook, Carroll Gardens,  Columbia Street"
38675," Jamaica Hills, Briarwood"
38894,South Jamaica
38917,Madison
39075,Central Harlem South
39076,Madison
39138,"Briarwood,  Jamaica Hills"
39214,Melrose South
39280,East Tremont
39282,West Concourse
39309," Travis, New Springville,  Bloomfield"
39332,Dyker Heights
39557,West Concourse
39597,"New Springville,  Travis,  Bloomfield"
39670,Crown Heights South
39699," Lower Manhattan, Battery Park City"
40130," South Side, North Side"
40494,Norwood
40595,Clinton
40676,"Co,  Op City"
40720,Great Kills
40817,Norwood
41680,Great Kills
41746,East Village
42370,Crown Heights South
42419,Dyker Heights
42483," Wakefield, Woodlawn"
42742,"SoHo,  Little Italy,  Civic Center,  TriBeCa"
42940,"Georgetown,  Bergen Beach,  Mill Basin,  Marine Park"
43383,Central Harlem South
43423,East Tremont
43583," Wakefield, Woodlawn"
43712," Throgs Neck, Schuylerville,  Edgewater Park"
43752," Op City, Co"
43808," Bayside Hills, Bayside"
43846,Woodside
44136,East Village
44167,"Schuylerville,  Edgewater Park,  Throgs Neck"
44316,Homecrest
44371,Bayside
45099,Woodside
45231,"Georgetown,  Marine Park,  Mill Basin,  Bergen Beach"
45679,Homecrest
45774," South Side, North Side"
45884,Clinton
46746," Inwood, Marble Hill"
47156,North Corona
47534,Steinway
47844,Chinatown
48344,"Far Rockaway,  Bayswater"
48419,"Murray Hill,  Kips Bay"
48520,Hamilton Heights
48593,St. Albans
48961,"Cypress Hills,  City Line"
49030,"Mott Haven,  Port Morris"
49087," Inwood, Marble Hill"
49223,"Cypress Hills,  City Line"
49737," East Midtown, Turtle Bay"
50046,St. Albans
50058,"Far Rockaway,  Bayswater"
50100,Van Cortlandt Village
50355," Farragut, East Flatbush"
50555,Hamilton Heights
50607,Van Cortlandt Village
50742," Kips Bay, Murray Hill"
50753,"Soundview,  Castle Hill,  Harding Park,  Clason Point"
51231,"Turtle Bay,  East Midtown"
51739,Murray Hill
51807,Mount Hope
51849,Jamaica
52037,North Corona
52082,Corona
52312,Sunset Park West
52375,Chinatown
52413,"Mott Haven,  Port Morris"
52504,Queens Village
52649,Mount Hope
53009,Murray Hill
53604,Steinway
53686," Castle Hill,  Clason Point, Soundview,  Harding Park"
53751,Jamaica
54041,Sunset Park West
54149,Woodhaven
54188," Morris Heights, University Heights"
54208,Morningside Heights
54335,"University Heights,  Morris Heights"
54415," Fordham North, Bedford Park"
55239,Lincoln Square
55326,"Rugby,  Remsen Village"
55329," Fordham North, Bedford Park"
55440,Midwood
55839," Flat Iron, Hudson Yards,  Union Square,  Chelsea"
55929,Morningside Heights
56033," Farragut, East Flatbush"
56093,Bushwick North
56674,Woodhaven
56899,East Harlem South
57138,Bushwick North
57148,East Harlem North
57420," Olinville, Williamsbridge"
57658,Corona
57704,Queens Village
57902,East Harlem South
57934,"Rugby,  Remsen Village"
58019,East Harlem North
58300,Brownsville
58566,Bensonhurst East
58961," Concourse Village, East Concourse"
59099,Brownsville
59227,Bedford
61207,"Upper East Side,  Carnegie Hill"
61321," Olinville, Williamsbridge"
61489,Lincoln Square
61827,Stuyvesant Heights
61947,"Hunters Point,  West Maspeth,  Sunnyside"
62284,"East Concourse,  Concourse Village"
62978,Bensonhurst East
62982,Richmond Hill
62985,Richmond Hill
63271," West Maspeth,  Sunnyside, Hunters Point"
63504,Stuyvesant Heights
63664,"Upper East Side,  Carnegie Hill"
64518,"Sheepshead Bay,  Gerritsen Beach,  Manhattn Bch"
64596,"Sheepshead Bay,  Gerritsen Beach,  Manhattn Bch"
64617,Bushwick South
64762,Flatlands
66150,Sunset Park East
66726,Flatlands
66880,West Village
67136,Washington Heights North
67263," Gowanus, Park Slope"
67459,"Prospect Lefferts Gardens,  Wingate"
67649,"Park Slope,  Gowanus"
69317,Ridgewood
69362,Flushing
69455,Ridgewood
70016,Central Harlem North
70150," Union Square,  Chelsea,  Flat Iron, Hudson Yards"
70300,"Prospect Lefferts Gardens,  Wingate"
70713,Bedford
72008,Flushing
72101,Bushwick South
72258,Lower East Side
72340,Sunset Park East
73457,Washington Heights North
75282," Polo Grounds, Central Harlem North"
75878,South Ozone Park
76631," Roosevelt Island, Lenox Hill"
76768,Yorkville
77942,Yorkville
78793,Astoria
78906,South Ozone Park
80539,Bay Ridge
80771,"Lenox Hill,  Roosevelt Island"
83275,East New York
83693,Canarsie
84438,Washington Heights South
84640,Bensonhurst West
85046,Forest Hills
85058,Canarsie
87972,Elmhurst
88427,Elmhurst
88727,Bensonhurst West
89122,Astoria
91958,East New York
93671,Washington Heights South
101055,Borough Park
103169,Crown Heights North
103462,Crown Heights North
105804,Flatbush
106357,Borough Park
108152,Jackson Heights
110875,Flatbush
132378,Upper West Side
136954,Upper West Side
