popularity,release_date,title,year,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
12.709000000000001,4/20/1935,The Bride of Frankenstein,1935,26138,75, Sci-Fi,7.8,43673,4.36,4
16.755,3/5/1998,The Thin Red Line,1998,120863,170, War,7.6,173275,36.4,3
6.466,7/17/2015,Bajrangi Bhaijaan,2015,3863552,163,Action,8.0,72511,8.18,7
11.982999999999999,3/23/1940,Rebecca,1940,32976,130, Mystery,8.1,124454,4.36,3
8.037,4/13/1955,Rififi,1955,48021,118, Thriller,8.1,29143,0.06,4
308.244,4/25/2018,Avengers: Infinity War,2018,4154756,149, Sci-Fi,8.4,841860,678.82,4
16.253,1/12/1989,When Harry Met Sally...,1989,98635,95, Romance,7.6,196612,92.82,1
16.826,6/20/1974,Chinatown,1974,71315,130, Thriller,8.1,295543,6.91,6
39.491,7/19/2017,Dunkirk,2017,5013056,106, History,7.8,558627,188.37,7
13.285,11/1/2013,Philomena,2013,2431286,98, Comedy,7.6,94372,37.71,11
14.511,1/25/1970,Patton,1970,66206,172,Biography,7.9,93939,61.7,1
108.69,8/26/2016,Your Name.,2016,5311514,106, Fantasy,8.4,197768,5.02,8
12.527000000000001,10/6/1950,All About Eve,1950,42192,138,Drama,8.2,120998,0.01,10
91.80799999999999,10/17/2010,Harry Potter and the Deathly Hallows: Part 1,2010,926084,146, Fantasy,7.7,481336,295.98,10
14.388,2/7/1986,Hannah and Her Sisters,1986,91167,107,Comedy,7.9,67359,40.08,2
35.865,12/20/1997,Life Is Beautiful,1997,118799,116,Comedy,8.6,626485,57.6,12
9.908999999999999,10/31/1962,What Ever Happened to Baby Jane?,1962,56687,134, Thriller,8.1,50256,4.05,10
18.011,9/15/2000,Almost Famous,2000,181875,122,Adventure,7.9,253459,32.53,9
13.370999999999999,11/10/2006,The Return,2003,376968,110,Drama,8.0,42584,0.5,11
28.961,3/19/2004,Dawn of the Dead,1978,77402,127,Action,7.9,111713,5.1,3
10.564,3/17/1959,Rio Bravo,1959,53221,141, Drama,8.0,56480,12.54,3
7.432,5/15/1991,The Double Life of Véronique,1991,101765,98, Music,7.8,42692,2.0,5
25.004,7/18/1986,Aliens,1986,90605,137,Action,8.3,654722,85.16,7
47.667,12/9/1983,Scarface,1983,86250,170, Drama,8.3,744303,45.6,12
42.68,3/20/2014,Captain America: The Winter Soldier,2014,1843866,136, Sci-Fi,7.7,739484,259.77,3
13.963,12/25/1993,Batman: Mask of the Phantasm,1993,106364,76,Animation,7.8,43875,5.62,12
25.004,7/18/1986,Aliens,1986,90605,137, Sci-Fi,8.3,654722,85.16,7
26.074,12/5/1990,Edward Scissorhands,1990,99487,105, Romance,7.9,448672,56.36,12
7.452999999999999,11/9/2005,Joyeux Noel,2005,424205,116,Drama,7.7,28046,1.05,11
12.34,6/22/1954,On the Waterfront,1954,47296,108, Drama,8.1,142663,9.6,6
14.024000000000001,10/11/1957,The Bridge on the River Kwai,1957,50212,161, War,8.1,204166,44.91,10
14.144,3/4/2004,Hotel Rwanda,2004,395169,121,Biography,8.1,335236,23.53,3
23.47,10/19/2006,The Prestige,2006,482571,130, Mystery,8.5,1195533,53.09,10
12.584000000000001,6/2/2005,Cinderella Man,2005,352248,144,Biography,8.0,176588,61.65,6
21.869,10/15/2004,3-Iron,2004,423866,88, Romance,8.0,50787,0.24,10
8.943,10/13/1989,Crimes and Misdemeanors,1989,97123,104,Comedy,7.9,54826,18.25,10
38.889,10/3/2018,A Star Is Born,2018,1517451,136,Drama,7.6,337111,215.29,10
16.096,12/25/2003,Big Fish,2003,319061,125, Drama,8.0,416297,66.26,12
283.647,9/4/2020,Mulan,1998,120762,88, Family,7.6,257887,120.62,9
16.096,12/25/2003,Big Fish,2003,319061,125, Fantasy,8.0,416297,66.26,12
27.193,8/13/2015,Straight Outta Compton,2015,1398426,147,Biography,7.8,179785,161.2,8
15.113,9/14/2007,Eastern Promises,2007,765443,100,Action,7.6,228461,17.11,9
9.058,10/25/1967,Le Samouraï,1967,62229,101,Crime,8.1,45674,0.04,10
11.136,6/27/1951,Strangers on a Train,1951,44079,101, Thriller,7.9,123640,7.63,6
15.14,7/14/1982,Pink Floyd: The Wall,1982,84503,95,Drama,8.1,76287,22.24,7
14.364,8/1/1991,Barton Fink,1991,101410,116,Comedy,7.7,113545,6.15,8
43.495,9/10/1994,Pulp Fiction,1994,110912,154, Drama,8.9,1834079,107.93,9
16.029,11/26/1942,Casablanca,1942,34583,102,Drama,8.5,524034,1.02,11
29.134,11/9/2017,Paddington 2,2017,4468740,103,Adventure,7.8,62103,40.44,11
14.671,1/1/2006,The Fall,2006,460791,117, Fantasy,7.9,107469,2.28,1
16.843,10/23/1940,The Great Dictator,1940,32553,125, Drama,8.4,203999,0.29,10
17.307000000000002,8/3/2017,Wind River,2017,5362988,107, Mystery,7.7,207679,33.8,8
15.704,3/6/1987,Lethal Weapon,1987,93409,109,Action,7.6,237559,65.21,3
34.846,9/22/1995,Se7en,1995,114369,127,Crime,8.6,1452269,100.13,9
83.932,10/24/2014,Big Hero 6,2014,2245084,102, Adventure,7.8,412390,222.53,10
85.611,10/30/1999,Toy Story 2,1999,120363,92,Animation,7.9,529319,245.85,10
79.87899999999999,7/13/2018,Mission: Impossible - Fallout,2018,4912910,147, Thriller,7.7,292713,220.16,7
14.100999999999999,6/22/1970,Kelly's Heroes,1970,65938,144,Adventure,7.6,45426,1.38,6
29.388,9/17/2002,The Pianist,2002,253474,150,Biography,8.5,733324,32.57,9
12.696,5/19/2003,Dogville,2003,276919,178, Drama,8.0,138366,1.53,5
127.979,5/31/2004,Harry Potter and the Prisoner of Azkaban,2004,304141,142,Adventure,7.9,554899,249.36,5
20.954,3/27/2014,The Raid 2,2014,2265171,150,Action,8.0,114597,2.63,3
13.514000000000001,12/25/1926,The General,1926,17925,67, Comedy,8.1,81525,1.03,12
35.205999999999996,9/22/2017,Only the Brave,2017,3829920,134,Action,7.6,58818,18.34,9
11.213,12/24/1925,Battleship Potemkin,1925,15648,66, History,8.0,53306,0.05,12
11.935,5/31/1979,The Muppet Movie,1979,79588,95,Adventure,7.6,32927,76.66,5
163.5,11/13/2019,Ford v Ferrari,2019,1950186,152, Drama,8.1,295983,117.62,11
41.133,7/30/2014,Guardians of the Galaxy,2014,2015381,121, Adventure,8.0,1047165,333.18,7
6.5760000000000005,5/26/1976,The Tenant,1976,74811,126,Drama,7.7,40064,1.92,5
4.976,8/26/2010,In a Better World,2010,1340107,118, Romance,7.6,38550,1.01,8
11.557,3/3/1998,Run Lola Run,1998,130827,80, Drama,7.6,188676,7.27,3
8.882,12/18/2014,PK,2014,2338151,153, Drama,8.1,163763,10.62,12
62.695,7/19/2008,Ponyo,2008,876563,101, Comedy,7.7,126134,15.09,7
38.768,11/20/2009,The Blind Side,2009,878804,129, Sport,7.6,294479,255.96,11
16.2,6/2/2018,Shoplifters,2018,8075192,121, Drama,7.9,63563,3.31,6
48.988,7/15/2010,Inception,2010,1375666,148,Action,8.8,2076678,292.58,7
11.868,7/20/2001,Hedwig and the Angry Inch,2001,248845,95, Drama,7.7,32022,3.03,7
40.079,12/10/1999,The Green Mile,1999,120689,189, Fantasy,8.6,1153309,136.8,12
14.001,9/24/1993,Dazed and Confused,1993,106677,102,Comedy,7.6,166243,7.99,9
16.621,6/12/2009,Moon,2009,1182345,97, Sci-Fi,7.9,335936,5.01,6
8.311,10/15/2008,Frost/Nixon,2008,870111,122, History,7.7,103547,18.59,10
28.663,6/7/1985,The Goonies,1985,89218,114,Adventure,7.8,245473,61.5,6
8.824,3/5/1998,"Lock, Stock and Two Smoking Barrels",1998,120735,107,Action,8.2,536919,3.9,3
40.26,12/25/2012,Django Unchained,2012,1853728,165, Western,8.4,1364478,162.81,12
19.086,12/18/2008,Seven Pounds,2008,814314,123,Drama,7.6,287376,69.95,12
8.577,11/27/2003,Kal Ho Naa Ho,2003,347304,186, Drama,8.0,63612,1.79,11
14.126,4/7/1974,The Conversation,1974,71360,113,Drama,7.8,99195,4.42,4
13.684000000000001,4/9/1932,Scarface,1983,86250,170,Crime,8.3,744303,45.6,4
14.890999999999998,11/14/1980,Raging Bull,1980,81398,129, Drama,8.2,323101,23.38,11
51.475,5/23/1980,The Shining,1980,81505,146,Drama,8.4,902404,44.02,5
9.816,5/27/1987,The Last Emperor,1987,93389,163, Drama,7.7,94780,43.98,5
15.695,3/6/1996,Primal Fear,1996,117381,129,Crime,7.7,190641,56.12,3
127.979,5/31/2004,Harry Potter and the Prisoner of Azkaban,2004,304141,142, Family,7.9,554899,249.36,5
35.205999999999996,9/22/2017,Only the Brave,2017,3829920,134, Drama,7.6,58818,18.34,9
7.236000000000001,9/13/2012,Barfi!,2012,2082197,151, Drama,8.1,75936,2.8,9
9.882,10/11/1944,Laura,1944,37008,88, Mystery,8.0,42864,4.36,10
31.162,7/24/1998,Saving Private Ryan,1998,120815,169,Drama,8.6,1241046,216.54,7
8.317,2/13/1972,Cabaret,1972,68327,124, Musical,7.8,48507,42.77,2
19.871,8/7/1992,Unforgiven,1992,105695,130,Drama,8.2,377255,101.16,8
6.789,5/16/2003,Evil,2003,338309,113,Drama,7.8,35745,0.02,5
13.165,9/7/2008,The Wrestler,2008,1125849,109, Sport,7.9,289940,26.24,9
103.35600000000001,7/12/2019,The Lion King,1994,110357,88, Adventure,8.5,946319,422.78,7
11.84,5/31/1995,La Haine,1995,113247,98,Crime,8.1,151269,0.31,5
34.111999999999995,10/25/2012,Skyfall,2012,1074638,143, Adventure,7.7,631848,304.36,10
8.833,9/15/1972,The Discreet Charm of the Bourgeoisie,1972,68361,102,Comedy,7.9,38922,0.2,9
12.452,12/17/1957,Witness for the Prosecution,1957,51201,116, Mystery,8.4,109544,8.18,12
16.253,1/12/1989,When Harry Met Sally...,1989,98635,95,Comedy,7.6,196612,92.82,1
9.882,10/11/1944,Laura,1944,37008,88,Drama,8.0,42864,4.36,10
13.645,8/21/2014,Wild Tales,2014,3011894,122,Comedy,8.1,178119,3.11,8
15.94,1/1/2003,Saw,2004,387564,103, Mystery,7.6,380061,56.0,1
15.159,10/26/2005,Match Point,2005,416320,124, Thriller,7.6,206754,23.09,10
53.199,8/18/2009,Inglourious Basterds,2009,361748,153, War,8.3,1274250,120.54,8
8.745,12/13/1973,Amarcord,1973,71129,123,Comedy,7.9,40022,0.29,12
37.801,11/14/2006,Casino Royale,2006,381061,144,Action,8.0,583691,167.45,11
12.582,1/7/1952,The African Queen,1951,43265,105, Romance,7.7,71711,0.54,1
20.16,10/5/2001,Training Day,2001,139654,122, Drama,7.7,392180,76.63,10
20.258,3/15/1933,King Kong,1933,24216,100, Sci-Fi,7.9,79280,10.0,3
18.222,7/25/1997,Perfect Blue,1997,156887,81, Crime,8.0,58830,0.78,7
33.442,10/23/2014,Nightcrawler,2014,2872718,117, Drama,7.9,469095,32.38,10
10.652000000000001,10/8/2011,The Artist,2011,1655442,100, Drama,7.9,231136,44.67,10
15.679,11/30/1990,Misery,1990,100157,107, Thriller,7.8,185542,61.28,11
15.185,1/16/2009,Notorious,1946,38787,102, Film-Noir,7.9,92566,10.46,1
8.722000000000001,6/19/1987,Withnail & I,1987,94336,107,Comedy,7.7,40521,1.54,6
29.343000000000004,3/5/2009,Watchmen,2009,409459,162, Mystery,7.6,502170,107.51,3
69.562,10/24/2018,Bohemian Rhapsody,2018,1727824,134,Biography,8.0,454332,216.43,10
20.814,12/14/2011,The Girl with the Dragon Tattoo,2011,1568346,158, Drama,7.8,424947,102.52,12
12.092,2/19/1999,October Sky,1999,132477,108, Drama,7.8,83121,32.48,2
283.647,9/4/2020,Mulan,1998,120762,88,Animation,7.6,257887,120.62,9
11.487,1/26/1994,Three Colors: White,1994,111507,92, Drama,7.6,64852,1.46,1
14.595999999999998,10/19/2001,Waking Life,2001,243017,99,Animation,7.8,60828,2.89,10
17.113,10/10/2013,Captain Phillips,2013,1535109,134, Biography,7.8,422693,107.1,10
15.562000000000001,8/17/1973,Enter the Dragon,1973,70034,102, Crime,7.7,96958,25.0,8
16.276,9/6/2014,Song of the Sea,2014,1865505,93, Adventure,8.1,52056,0.86,9
11.675999999999998,9/20/1986,Down by Law,1986,90967,107, Crime,7.8,47991,1.44,9
26.243000000000002,6/17/2011,Drive,2011,780504,100,Crime,7.8,573717,35.06,6
21.234,11/14/2013,Oldboy,2003,364569,120, Mystery,8.4,517789,0.71,11
15.419,5/25/1975,Monty Python and the Holy Grail,1975,71853,91, Comedy,8.2,502250,1.23,5
11.213,12/24/1925,Battleship Potemkin,1925,15648,66,Drama,8.0,53306,0.05,12
16.98,10/13/1960,Spartacus,1960,54331,197, Biography,7.9,124685,30.0,10
25.978,4/7/2016,The Jungle Book,1967,61852,78, Family,7.6,166957,141.84,4
11.703,10/20/1983,The Right Stuff,1983,86197,193, Biography,7.8,56361,21.5,10
12.293,9/25/1962,The Longest Day,1962,56197,178,Action,7.8,52221,39.1,9
11.136,6/27/1951,Strangers on a Train,1951,44079,101,Crime,7.9,123640,7.63,6
13.864,12/23/1995,Dead Man,1995,112817,121,Adventure,7.6,90712,1.04,12
20.529,1/16/2015,Ex Machina,2014,470752,108, Sci-Fi,7.7,475952,25.44,1
14.339,9/21/1975,Dog Day Afternoon,1975,72890,125, Drama,8.0,236463,50.0,9
13.870999999999999,5/11/2011,Midnight in Paris,2011,1605783,94,Comedy,7.7,389478,56.82,5
152.609,5/30/2019,Parasite,2019,6751668,132, Drama,8.6,565186,53.37,5
14.953,7/14/1971,Dirty Harry,1971,66999,102,Action,7.7,143759,35.9,7
11.527999999999999,9/5/1993,Short Cuts,1993,108122,188, Drama,7.7,42360,6.11,9
31.054000000000002,12/23/2009,Sherlock Holmes,2009,988045,128,Action,7.6,584560,209.03,12
17.934,3/11/2016,Sing Street,2016,3544112,106,Comedy,7.9,85475,3.24,3
18.632,9/10/2005,Brokeback Mountain,2005,388795,134,Drama,7.7,324194,83.04,9
15.338,11/18/1992,Malcolm X,1992,104797,202,Biography,7.7,86352,48.17,11
8.435,12/15/1961,The Innocents,1961,55018,100,Horror,7.8,27109,2.62,12
17.867,5/2/2003,Memories of Murder,2003,353969,132, Drama,8.1,141095,0.01,5
54.919,11/25/1992,Aladdin,1992,103639,90, Adventure,8.0,374928,217.35,11
9.43,11/2/1984,The Killing Fields,1984,87553,141, History,7.8,51774,34.7,11
10.77,5/15/1973,The Day of the Jackal,1973,69947,143, Drama,7.8,37620,16.06,5
11.347999999999999,1/12/2006,The Last King of Scotland,2006,455590,123,Biography,7.7,175834,17.61,1
33.304,6/25/1982,The Thing,1982,84787,109, Sci-Fi,8.1,372672,13.78,6
58.691,6/16/2010,Toy Story 3,2010,435761,103, Adventure,8.2,759809,415.0,6
12.594000000000001,6/20/1963,The Great Escape,1963,57115,172,Adventure,8.2,225492,12.1,6
38.677,9/17/2015,Sicario,2015,3397884,121, Crime,7.6,373067,46.89,9
44.924,10/18/1967,The Jungle Book,1967,61852,78,Animation,7.6,166957,141.84,10
15.09,8/25/2000,Vampire Hunter D: Bloodlust,2000,216651,103, Fantasy,7.7,29288,0.15,8
9.475,9/29/2004,Dead Man's Shoes,2004,419677,90, Drama,7.6,49863,0.01,9
18.378,12/11/1962,Lawrence of Arabia,1962,56172,228,Adventure,8.3,269092,44.82,12
15.533,12/21/1967,The Graduate,1967,61722,106,Comedy,8.0,254430,104.95,12
11.815,7/20/1991,Only Yesterday,1991,102587,118, Drama,7.6,27326,0.45,7
13.873,12/12/1993,In the Name of the Father,1993,107207,133, Crime,8.1,157518,25.01,12
15.800999999999998,7/6/2000,"Crouching Tiger, Hidden Dragon",2000,190332,120, Adventure,7.8,253875,128.08,7
85.14399999999999,4/30/2008,Iron Man,2008,371746,126, Adventure,7.9,943286,318.41,4
308.244,4/25/2018,Avengers: Infinity War,2018,4154756,149, Adventure,8.4,841860,678.82,4
12.360999999999999,7/14/1976,The Outlaw Josey Wales,1976,75029,135,Western,7.8,65868,31.8,7
14.557,9/25/1987,The Princess Bride,1987,93779,98,Adventure,8.0,395093,30.86,9
18.085,9/2/1978,Dawn of the Dead,1978,77402,127, Horror,7.9,111713,5.1,9
13.937000000000001,12/25/1973,The Sting,1973,70735,129, Drama,8.3,242352,159.6,12
12.270999999999999,2/1/1991,The Silence of the Lambs,1991,102926,118, Thriller,8.6,1276668,130.74,2
13.468,8/23/1984,"Paris, Texas",1984,87884,145,Drama,8.1,91911,2.18,8
22.293000000000003,10/3/2013,Gravity,2013,1454468,91, Sci-Fi,7.7,771110,274.09,10
8.372,11/5/1997,Fireworks,1997,119250,103,Crime,7.8,27838,0.23,11
61.802,12/18/2002,The Lord of the Rings: The Two Towers,2002,167261,179, Drama,8.7,1491230,342.55,12
6.79,9/23/2011,Once Upon a Time in Anatolia,2011,1827487,157,Crime,7.9,42268,0.14,9
46.706,2/18/2008,Taken,2008,936501,90, Thriller,7.8,565869,145.0,2
34.716,12/10/2016,Hidden Figures,2016,4846340,127,Biography,7.8,202017,169.61,12
34.716,12/10/2016,Hidden Figures,2016,4846340,127, Drama,7.8,202017,169.61,12
9.147,5/24/1996,Secrets & Lies,1996,117589,136, Drama,8.0,37747,13.42,5
13.465,3/29/1965,The Sound of Music,1965,59742,172,Biography,8.0,207723,163.21,3
13.405999999999999,6/16/1980,The Blues Brothers,1980,80455,133, Comedy,7.9,183777,57.23,6
10.583,11/18/1994,Miracle on 34th Street,1947,39628,96,Comedy,7.9,41731,2.65,11
9.117,4/11/1995,Underground,1995,114787,167,Comedy,8.1,55352,0.17,4
14.595999999999998,10/19/2001,Waking Life,2001,243017,99, Drama,7.8,60828,2.89,10
19.41,12/19/1986,Platoon,1986,91763,120,Drama,8.1,382482,138.53,12
15.843,12/15/1939,Gone with the Wind,1939,31381,238, Romance,8.1,291071,198.68,12
28.563000000000002,8/17/2011,The Skin I Live In,2011,1189073,120,Drama,7.6,139536,3.19,8
12.824000000000002,9/13/1994,Clerks,1994,109445,92,Comedy,7.7,211762,3.15,9
7.992999999999999,1/12/1940,The Shop Around the Corner,1940,33045,99, Romance,8.1,28581,0.2,1
25.892,10/5/2006,The Departed,2006,407887,151, Thriller,8.5,1194986,132.38,10
13.655,9/6/2010,The King's Speech,2010,1504320,118,Biography,8.0,641448,138.8,9
33.442,10/23/2014,Nightcrawler,2014,2872718,117,Crime,7.9,469095,32.38,10
39.352,12/9/2006,300,2006,416449,117, Drama,7.6,734499,210.61,12
17.927,2/11/1993,Groundhog Day,1993,107048,101, Fantasy,8.0,581574,70.91,2
59.148,6/9/2015,Inside Out,2015,2096673,95, Comedy,8.1,620023,356.46,6
81.71,12/6/2018,Spider-Man: Into the Spider-Verse,2018,4633694,117,Animation,8.4,379677,190.24,12
17.803,9/17/1999,The Hurricane,1999,174856,146, Sport,7.6,91835,50.67,9
38.483000000000004,6/25/2004,The Notebook,2004,332280,123,Drama,7.8,522647,81.0,6
17.701,1/30/2008,Changeling,2008,824747,141,Biography,7.7,239880,35.74,1
21.098000000000003,12/22/2000,Cast Away,2000,162222,143, Drama,7.8,526513,233.63,12
25.801,7/25/2001,Planet of the Apes,1968,63442,112, Sci-Fi,8.0,165487,33.4,7
20.112000000000002,1/24/2019,Serenity,2005,379786,119, Adventure,7.8,283761,25.51,1
85.852,12/25/2019,1917,2019,8579674,119, Thriller,8.3,434617,159.23,12
10.581,4/17/1924,Sherlock Jr.,1924,15324,45, Romance,8.2,42333,0.98,4
15.09,8/25/2000,Vampire Hunter D: Bloodlust,2000,216651,103, Action,7.7,29288,0.15,8
28.592,12/11/2015,The Big Short,2015,1596363,130, Drama,7.8,367533,70.26,12
12.382,8/2/1967,In the Heat of the Night,1967,61811,110, Drama,7.9,68075,24.38,8
9.144,11/3/1971,Fiddler on the Roof,1971,67093,181, Musical,8.0,39629,80.5,11
62.695,7/19/2008,Ponyo,2008,876563,101,Animation,7.7,126134,15.09,7
9.625,7/30/1972,Deliverance,1972,68473,109, Drama,7.7,99009,7.06,7
17.986,2/9/1979,The Warriors,1979,80120,92, Crime,7.6,94194,22.49,2
16.682000000000002,7/19/1995,The Usual Suspects,1995,114814,106, Mystery,8.5,994865,23.34,7
16.198,5/12/2008,Slumdog Millionaire,2008,1010048,120,Drama,8.0,800749,141.32,5
16.621,6/12/2009,Moon,2009,1182345,97,Drama,7.9,335936,5.01,6
11.509,10/16/1998,Happiness,1998,147612,134, Drama,7.7,66538,2.81,10
11.267000000000001,3/10/1999,The Insider,1999,140352,157,Biography,7.8,160387,28.97,3
66.327,7/16/2008,The Dark Knight,2008,468569,152,Action,9.0,2312777,534.86,7
11.562000000000001,9/24/2014,Leviathan,2014,2802154,140, Drama,7.6,49601,1.09,9
15.064,6/30/1995,Apollo 13,1995,112384,140, History,7.6,270306,173.84,6
48.218,3/10/2010,How to Train Your Dragon,2010,892769,98, Adventure,8.1,669262,217.58,3
13.282,8/13/2009,The Secret in Their Eyes,2009,1305806,129, Mystery,8.2,194013,6.39,8
17.803,9/17/1999,The Hurricane,1999,174856,146, Drama,7.6,91835,50.67,9
13.107000000000001,8/9/2007,Stardust,2007,486655,127, Fantasy,7.6,255676,38.63,8
11.84,5/31/1995,La Haine,1995,113247,98, Drama,8.1,151269,0.31,5
21.701999999999998,3/30/1990,Dances with Wolves,1990,99348,181, Western,8.0,241089,184.21,3
29.638,7/19/2014,When Marnie Was There,2014,3398268,103,Animation,7.7,33134,0.77,7
16.427,10/4/1968,Night of the Living Dead,1968,63350,96,Horror,7.9,116897,0.09,10
13.222000000000001,8/9/2019,The Peanut Butter Falcon,2019,4364194,97,Adventure,7.6,67952,13.12,8
27.256999999999998,12/15/1995,Heat,1995,113277,170, Drama,8.2,579952,67.44,12
13.177,6/1/1985,Ran,1985,89881,162, War,8.2,113074,4.14,6
81.71,12/6/2018,Spider-Man: Into the Spider-Verse,2018,4633694,117, Action,8.4,379677,190.24,12
13.062000000000001,2/8/2008,In Bruges,2008,780536,107,Comedy,7.9,391378,7.76,2
50.278999999999996,10/9/1993,The Nightmare Before Christmas,1993,107688,76, Fantasy,8.0,300917,75.08,10
47.657,11/2/2011,The Intouchables,2011,1675434,112,Biography,8.5,764640,13.18,11
22.539,1/22/2004,The Butterfly Effect,2004,289879,113,Drama,7.6,452599,57.94,1
14.557,9/25/1987,The Princess Bride,1987,93779,98, Family,8.0,395093,30.86,9
12.219000000000001,4/4/1976,All the President's Men,1976,74119,138, History,7.9,103676,70.6,4
38.691,10/26/1984,The Terminator,1984,88247,107,Action,8.0,801360,38.4,10
19.167,4/10/1957,12 Angry Men,1957,50083,96, Drama,9.0,693432,4.36,4
14.849,8/12/2010,I Saw the Devil,2010,1588170,144, Crime,7.8,111925,0.13,8
136.114,4/25/2012,The Avengers,2012,848228,143, Adventure,8.0,1264481,623.28,4
10.27,3/29/2002,Sympathy for Mr. Vengeance,2002,310775,129, Thriller,7.6,62876,0.05,3
15.562000000000001,3/30/1958,Touch of Evil,1958,52311,95, Film-Noir,8.0,98629,2.24,3
12.3,12/19/1979,Being There,1979,78841,130,Comedy,8.0,65837,30.18,12
12.177,9/13/1985,After Hours,1985,88680,97, Drama,7.7,60101,10.6,9
12.582,1/7/1952,The African Queen,1951,43265,105,Adventure,7.7,71711,0.54,1
14.342,7/2/1980,Airplane!,1980,80339,88,Comedy,7.7,215597,83.4,7
21.412,8/11/2017,Naked,1993,107653,132, Drama,7.8,34789,1.77,8
52.985,10/1/2004,Saw,2004,387564,103,Horror,7.6,380061,56.0,10
9.352,12/11/1998,Rushmore,1998,128445,93,Comedy,7.7,169685,17.11,12
21.818,9/2/2013,Rush,2013,1979320,123, Biography,8.1,434359,26.95,9
83.932,10/24/2014,Big Hero 6,2014,2245084,102, Action,7.8,412390,222.53,10
9.728,5/17/1987,Wings of Desire,1987,93191,128,Drama,8.0,65061,3.33,5
8.622,6/11/1969,True Grit,2010,1403865,110, Western,7.6,312868,171.24,6
14.595,8/31/1949,The Third Man,1949,41959,93,Film-Noir,8.1,159282,0.45,8
103.35600000000001,7/12/2019,The Lion King,1994,110357,88, Drama,8.5,946319,422.78,7
61.802,12/18/2002,The Lord of the Rings: The Two Towers,2002,167261,179, Adventure,8.7,1491230,342.55,12
11.21,8/23/1946,The Big Sleep,1946,38355,114, Film-Noir,7.9,78982,6.54,8
25.169,2/26/2014,The Grand Budapest Hotel,2014,2278388,99, Crime,8.1,711445,59.1,2
42.047,3/30/1999,The Matrix,1999,133093,136,Action,8.7,1683677,171.48,3
29.388,9/17/2002,The Pianist,2002,253474,150, Drama,8.5,733324,32.57,9
12.192,3/5/2003,21 Grams,2003,315733,124, Thriller,7.6,225037,16.29,3
82.85,12/25/2013,The Wolf of Wall Street,2013,993846,180,Biography,8.2,1196714,116.9,12
17.329,10/16/2020,Rebecca,1940,32976,130, Mystery,8.1,124454,4.36,10
15.338,11/18/1992,Malcolm X,1992,104797,202, Drama,7.7,86352,48.17,11
10.197000000000001,1/26/2008,Let the Right One In,2008,1139797,114, Fantasy,7.9,205995,2.12,1
