name,pop
Williamsbridge,57420
Homecrest,44316
 Huguenot,26376
Bay Ridge,79371
 Little Italy,42742
Spuyten Duyvil,30161
 Riverdale,27860
Whitestone,30773
West Brighton,17370
 Gerritsen Beach,64596
Stapleton,26453
Soundview,35137
 Mott Haven North,39214
 cemetery,540
SoHo,42742
Melrose South,39214
Crown Heights South,42370
 Arverne,36885
 cemetery,418
West New Brighton,33551
Carroll Gardens,38327
Fordham South,26880
Central Harlem North,70016
 Farragut,56033
 Arrochar,16079
Clinton,40595
 Sunnyside,61947
St. Albans,48593
 Cooper Village,21049
 cemetery,0
 Olinville,61321
Cypress Hills,48961
 Little Italy,36757
Jamaica Estates,26061
 Unionport,27248
Queensbridge,21104
Rossville,18894
 Richmond Valley,23313
Crotona Park East,18072
 etc,1785
Upper East Side,61207
 Queens,1785
Greenpoint,37821
 Marine Park,42940
Westchester,25768
Bellerose,25287
Eastchester,35422
 etc,7
 Bayside Hills,43808
Washington Heights South,93671
Murray Hill,50742
Ocean Parkway South,20556
Flatlands,64762
SoHo,36757
 Hillcrest,31734
 Farragut,50355
 Downtown Brklyn,30847
Annadale,26376
 Belle Harbor,26711
Astoria,78793
 Bayswater,48344
Melrose South,33195
Brooklyn Heights,22887
Flatlands,66726
East Harlem North,57148
 Emersn Hill,30714
Bushwick South,64617
 Midland Beach,20242
East Flatbush,50355
 Clason Point,50753
Richmond Hill,62982
Park Slope,67649
Hunters Point,61947
 Baychester,34517
Arden Heights,24996
Fort Greene,26079
Astoria,89122
 Fox Hills,19834
 Clearview,21751
Lindenwood,26148
East Flushing,26516
Lower East Side,72258
Soundview,35634
 etc,93
 Inwood,49087
East Harlem South,57902
Lower East Side,72957
 Wakefield,43583
Bayside,44371
 Floral Park,22571
 Fox Hills,22460
Lincoln Square,61489
Bath Beach,28572
Hunts Point,27204
 Manhattn Bch,64596
New Springville,39597
 Arlington,31474
 Midtown South,25807
 Columbia Street,38327
Mariner's Harbor,27957
Rego Park,28260
Turtle Bay,49737
Eastchester,34517
 Prince's Bay,26376
Yorkville,76768
 Tottenville,18332
College Point,21407
 Broad Chnl,28018
West Farms,34542
Turtle Bay,51231
Rosedale,25063
Brooklyn Heights,22548
 Woodrow,18894
Longwood,26196
New Dorp,21896
 New Brighton,33551
Clinton,45884
 Coney Island,34267
Clinton Hill,33292
Oakwood,22266
Corona,57658
Midwood,52835
Prospect Lefferts Gardens,67459
Starrett City,13354
University Heights,54335
Bronxdale,35538
 New Hyde Park,22571
 Marine Park,45231
Queens Village,52504
 etc,1662
 Westchester Square,27135
 Dongan Hills,24835
East New York (Pennsylvania Ave),29343
Bedford Park,54415
Queensboro Hill,20800
 Wingate,70300
Port Richmond,18042
Schuylerville,43712
 Belle Harbor,28018
Crown Heights South,39670
 South Side,45774
Auburndale,20201
Georgetown,45231
Murray Hill,51739
Glen Oaks,22426
 Bayswater,50058
 Maspeth,25521
Morningside Heights,55929
Canarsie,83693
 Brookville,20132
Ridgewood,69455
Bedford,59227
 Carnegie Hill,61207
Charleston,18332
East Williamsburg,34158
Stuyvesant Heights,61827
 Manhattan,1849
East Harlem South,56899
 South Beach,24835
 Oakwood Beach,22266
Ocean Hill,31935
 etc,540
Mott Haven,52413
park,0
Borough Park,101055
Co,43752
Brownsville,59099
New Dorp,20242
 Midtown South,28630
Park Slope,67263
Pomonok,31734
Mount Hope,51807
Fordham South,28262
 Midland Beach,21896
Crown Heights North,103462
Stuyvesant Town,21049
Gravesend,29257
Whitestone,31356
 Red Hook,38327
Borough Park,106357
Bay Ridge,80539
Old Astoria,28847
 Bathgate,31078
Rikers Island,11091
Bensonhurst West,88727
Oakland Gardens,27873
 Staten Island,7
Rugby,55326
 Unionport,25768
Georgetown,42940
Springfield Gardens South,18950
Carroll Gardens,38353
Hollis,20269
Brighton Beach,35244
 Downtown Brklyn,34495
West Village,68483
Windsor Terrace,20779
 Maspeth,24338
Jackson Heights,113327
Glen Oaks,22571
park,436
Jackson Heights,108152
 Clifton,22460
 Edgemere,31645
 Silver Lake,16784
Ozone Park,21052
 Boerum Hill,30847
 Mill Basin,45231
 Vinegar Hill,30847
East Flushing,26982
Sunset Park East,66150
 cemetery,436
Midwood,55440
 Gowanus,67263
Crown Heights North,103169
 etc,436
Soundview,53686
Bath Beach,29931
East Concourse,58961
Crotona Park East,20277
 Chelsea,55839
 City Island,26583
Ocean Hill,30067
St. Albans,50046
Prospect Heights,19849
 Throgs Neck,43712
 Oakwood Beach,22049
 East Midtown,49737
Corona,52082
 Silver Lake,17525
 Staten Island,0
 Bloomfield,39597
 Bergen Beach,42940
 Remsen Village,55326
Sunset Park West,52312
Bedford,70713
 City Line,49223
Stuyvesant Heights,63504
 Edenwald,34517
Maspeth,28916
 Jamaica Hills,38675
Woodlawn,42483
 Boerum Hill,34495
 Ravenswood,21104
Woodside,45099
Breezy Point,28018
Highbridge,33844
Battery Park City,20088
Forest Hills,83728
 Richmond Valley,18332
Madison,38917
Cypress Hills,49223
Bushwick North,57138
Flatbush,110875
West Concourse,39557
Greenpoint,34719
Airport,0
 New Brighton,32154
Dyker Heights,39332
 Olinville,57420
 Mott Haven North,33195
 City Line,48961
Elmhurst,87972
Great Kills,41680
Flushing,69362
Rossville,20763
Schuylerville,44167
 Vinegar Hill,34495
Upper East Side,63664
Grasmere,15238
 Roosevelt Island,80771
 Riverdale,28013
Briarwood,38675
 Union Square,55839
Queensboro Hill,19309
 etc,418
Gramercy,26184
Old Town,24835
Sunset Park West,54041
Maspeth,30516
 Port Ivory,27957
Hamilton Heights,48520
Breezy Point,26711
Windsor Terrace,20988
Grymes Hill,19834
North Riverdale,27860
Grymes Hill,22460
Port Richmond,20191
 Queens,436
park,1906
Elmhurst,88427
 Cooper Village,19101
Bushwick North,56093
 Heartland Villg,30714
Jamaica Estates,25480
 Kingsbridge,30161
Hunts Point,25142
 Chelsea,70150
 Clason Point,53686
Lindenwood,28121
Mott Haven,49030
Elmhurst,25521
Williamsbridge,61321
Flatbush,105804
East New York,91958
 Port Morris,52413
Washington Heights North,67136
Van Nest,27135
Kensington,36891
New Brighton,17525
 etc,1906
 Edgemere,36885
Hammels,36885
Sheepshead Bay,64518
Laurelton,24453
Belmont,25967
 Graniteville,27957
Queens Village,57704
Kew Gardens Hills,37479
 Union Square,70150
 TriBeCa,42742
 Country Club,27140
Hamilton Heights,50555
 Port Morris,49030
Cambria Heights,18677
Manhattanville,24772
 Sunnyside,63271
 Concourse Village,58961
 Gerritsen Beach,64518
 Baychester,35422
Kew Gardens,23888
East Village,41746
 Coney Island,31965
Bensonhurst West,84640
Bensonhurst East,58566
 Bay Terrace,21751
Queensbridge,20030
Morrisania,37865
Ozone Park,21376
East Tremont,43423
Steinway,53604
Sunset Park East,72340
Williamsburg,32269
 Tottenville,23313
Rego Park,29404
East Flatbush,56033
Kensington,36937
Springfield Gardens North,25441
 Douglaston,24356
 Howard Beach,28121
 Rosebank,26453
 Hillcrest,34034
South Ozone Park,78906
Chinatown,47844
 Melrose,29797
East Elmhurst,23150
 Brookville,18950
 Polo Grounds,75282
 Travis,39597
 Bay Terrace,22731
Kingsbridge Heights,33286
Brighton Beach,35547
 Travis,39309
West New Brighton,32154
New Brighton,16784
Middle Village,37929
park,540
Springfield Gardens South,20132
Soundview,50753
Claremont,31078
 Mill Basin,42940
Clinton Hill,34791
 Polo Grounds,70016
Claremont,28149
Belmont,27378
East New York,83275
West Brighton,17750
Murray Hill,53009
Flushing,72008
 Remsen Village,57934
Gravesend,29436
Laurelton,26375
 Red Hook,38353
Gramercy,27988
 Wingate,67459
Far Rockaway,50058
 Arverne,31645
 Civic Center,42742
Richmond Hill,62985
Parkchester,29821
 Pelham Gardens,28903
 Fieldston,28013
 Lower Manhattan,39699
Todt Hill,30762
Battery Park City,39699
West Concourse,39282
Glendale,31071
Westchester,27248
East Village,44136
Morningside Heights,54208
Kew Gardens Hills,36052
Fresh Meadows,17373
Yorkville,77942
 Kips Bay,48419
 Cobble Hill,22887
Oakland Gardens,28237
 Concourse Village,62284
park,1662
Fresh Meadows,17812
New Springville,39309
 Ocean Parkway,36937
 Cobble Hill,22548
Ridgewood,69317
 Floral Park,22426
West Village,66880
 Roosevelt Island,76631
 Country Club,26583
 Graniteville,31474
 Little Neck,24739
 Brooklyn,93
Central Harlem North,75282
Highbridge,37727
 Manhattn Bch,64518
Bronxdale,34309
Bellerose,24464
 Eltingville,27770
Kingsbridge Heights,32496
park,1849
Woodhaven,54149
 etc,0
Bedford Park,55329
 Inwood,46746
Spuyten Duyvil,29872
Mariner's Harbor,31474
 cemetery,1849
South Jamaica,35181
 cemetery,1785
Canarsie,85058
 Op City,40676
Briarwood,39138
Great Kills,40720
 Bronx,540
 Arrochar,15238
Hudson Yards,70150
Washington Heights South,84438
Midtown,25807
 Ft. Wadsworth,16079
South Jamaica,38894
 Bayside Hills,44371
Chinatown,52375
 Brooklyn,418
 Long Island City,21104
East Elmhurst,21183
Van Cortlandt Village,50100
 cemetery,7
Lincoln Square,55239
 Civic Center,36757
 Clearview,22731
Rosedale,25502
Stapleton,24048
 New Hyde Park,22426
Madison,39076
Bushwick South,72101
Lenox Hill,76631
Hunters Point,63271
 Rockwy Prk,28018
 Ravenswood,20030
East Concourse,62284
 Bathgate,28149
 Bronx River,34542
 Fordham North,54415
 Op City,43752
 Ft. Wadsworth,15238
 East Midtown,51231
Westerleigh,23790
Manhattanville,22950
 Manhattan,1662
 Edgewater Park,44167
Longwood,23082
Fort Greene,28335
East Williamsburg,31878
Upper West Side,132378
 Lighthse Hill,30714
 Utopia,17812
 Eltingville,26376
park,1785
Oakwood,22049
 Clifton,19834
 Emersn Hill,30762
 South Side,40130
Ft. Totten,22731
 Castle Hill,53686
 Fordham North,55329
Douglas Manor,24739
Allerton,28510
 Bronx,1906
 Edenwald,35422
 Flat Iron,55839
Norwood,40817
Stuyvesant Town,19101
 Throgs Neck,44167
 Harding Park,53686
West Farms,35011
Midtown,28630
Pelham Bay,27140
Brownsville,58300
Upper West Side,136954
Pelham Bay,26583
 Broad Chnl,26711
Norwood,40494
 Morris Park,27135
 etc,1849
 Flushing Heights,31734
Seagate,31965
Todt Hill,30714
 Bloomfield,39309
 Fieldston,27860
Charleston,23313
Woodlawn,43583
Pelham Parkway,30073
 Prince's Bay,27770
Pomonok,34034
 Utopia,17373
Elmhurst,24338
Far Rockaway,48344
Forest Hills,85046
 Carnegie Hill,63664
University Heights,54188
Airport,0
 Dongan Hills,23017
Mount Hope,52649
Auburndale,19996
Steinway,47534
 Castle Hill,50753
Van Cortlandt Village,50607
Homecrest,45679
 Rockwy Prk,26711
 cemetery,93
Springfield Gardens North,25409
 Douglaston,24739
Sheepshead Bay,64596
 Kingsbridge,29872
Baisley Park,35729
Bensonhurst East,62978
 Lower Manhattan,20088
