id,title,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4
605,The Matrix Revolutions,saving the world,artificial intelligence,man vs machine,flying,philosophy
606,Out of Africa,dancing,train station,denmark,fire,cemetery
607,Men in Black,secret identity,sun glasses,undercover,space marine,illegal immigration
608,Men in Black II,saving the world,secret identity,sun glasses,undercover,space marine
609,Poltergeist,medium,ghostbuster,poltergeist,haunted house,dying and death
612,Munich,paris,assassination,israel,hotel room,1970s
613,Downfall,berlin,poison,dictator,clerk,ideology
615,The Passion of the Christ,christianity,jewry,roman empire,jesus christ,suffering
616,The Last Samurai,japan,war crimes,sense of guilt,swordplay,general
617,Wild Things,upper class,poison,sailboat,rape,sexual abuse
619,The Bodyguard,sister sister relationship,anonymous letter,diva,bodyguard,oscar award
621,Grease,flying car,street gang,running,graduation,musical
622,The Ninth Gate,new york,obsession,passion for collection,southern france,mephisto
627,Trainspotting,london england,alcohol,sex,based on novel,drug addiction
628,Interview with the Vampire,paris,san francisco,vampire,plantation,pity
629,The Usual Suspects,law,relatives,theft,criminal,criminal mastermind
630,The Wizard of Oz,witch,adolescence,based on novel,secret identity,clock
634,Bridget Jones's Diary,holiday,london england,england,alcohol,sex
639,When Harry Met Sally...,new york,wife husband relationship,restaurant,platonic love,orgasm
640,Catch Me If You Can,con man,biography,fbi agent,overhead camera shot,attempted jailbreak
641,Requiem for a Dream,drug addiction,junkie,heroin,speed,diet
642,Butch Cassidy and the Sundance Kid,wyoming,historical figure,loot sharing,,
644,A.I. Artificial Intelligence,artificial intelligence,prophecy,prostitute,android,loss of mother
646,Dr. No,london england,england,assassination,spy,casino
650,Boyz n the Hood,street gang,black people,rap music,hip-hop,street war
652,Troy,brother brother relationship,adultery,mythology,beauty,trojan war
654,On the Waterfront,murder,suspense,union,dock,longshoreman
657,From Russia with Love,venice,london england,terror,england,assassination
658,Goldfinger,secret organization,secret intelligence service,nuclear radiation,fort knox,aston martin
660,Thunderball,paris,florida,fighter pilot,sanatorium,secret organization
663,Saw IV,ice,victim,pain,games,psychopath
664,Twister,wife husband relationship,tornado,twister,oklahoma,metereologist
666,Central Station,brazilian,brazil,rio de janeiro,letter,wilderness
667,You Only Live Twice,london england,japan,england,assassination,helicopter
668,On Her Majesty's Secret Service,london england,suicide,england,switzerland,secret identity
670,Oldboy,sushi restaurant,rage and hate,notebook,daughter,hostility
671,Harry Potter and the Philosopher's Stone,witch,christmas party,magic,cutting the cord,halloween
672,Harry Potter and the Chamber of Secrets,flying car,witch,magic,cutting the cord,child hero
673,Harry Potter and the Prisoner of Azkaban,flying,traitor,magic,cutting the cord,child hero
674,Harry Potter and the Goblet of Fire,magic,dying and death,broom,sorcerer's apprentice,school of witchcraft
675,Harry Potter and the Order of the Phoenix,prophecy,witch,loss of lover,magic,cutting the cord
676,Pearl Harbor,nurse,patriotism,hawaii,world war ii,pilot
679,Aliens,android,extraterrestrial technology,space marine,spaceman,cryogenics
680,Pulp Fiction,transporter,brothel,drug dealer,boxer,massage
681,Diamonds Are Forever,spy,fight,secret organization,satellite,secret agent
682,The Man with the Golden Gun,london england,england,martial arts,assassin,exotic island
686,Contact,based on novel,nasa,new mexico,extraterrestrial technology,prime number
687,Dead Man Walking,prison,rape,socially deprived family,penalty,death penalty
688,The Bridges of Madison County,farewell,adultery,love at first sight,photographer,wife husband relationship
691,The Spy Who Loved Me,london england,submarine,england,assassination,spy
692,Pink Flamingos,gay,trailer park,pop culture,drug dealer,heroin
693,Meet the Fockers,cia,parents kids relationship,florida,anti-authoritarian upbringing,jew
694,The Shining,hotel,isolation,hotelier,colorado,maze
698,Moonraker,venice,mass murder,space marine,space suit,marcus square
699,For Your Eyes Only,london england,submarine,england,sea,assassin
700,Octopussy,atomic bomb,eastern block,crocodile,secret intelligence service,kgb
702,A Streetcar Named Desire,southern usa,rape,sister sister relationship,loss of sense of reality,brother-in-law
703,Annie Hall,narration,neurosis,comedian,job interview,love
704,A Hard Day's Night,adolescence,culture clash,press conference,behind the scenes,police chase
707,A View to a Kill,paris,london england,france,england,san francisco
708,The Living Daylights,london england,smuggling of arms,prison,england,assassination
709,Licence to Kill,corruption,florida,secret identity,liberation of prisoners,drug traffic
710,GoldenEye,cuba,falsely accused,secret identity,computer virus,secret base
711,Finding Forrester,upper class,brother brother relationship,scotland,poetry,based on novel
712,Four Weddings and a Funeral,upper class,love at first sight,wedding vows,marriage proposal,yuppie
713,The Piano,love triangle,scotland,mother,adultery,sexuality
714,Tomorrow Never Dies,london england,england,spy,china,news broadcast
744,Top Gun,lovesickness,loss of lover,fighter pilot,self-discovery,pilot
745,The Sixth Sense,child abuse,sense of guilt,loss of child,confidence,psychology
746,The Last Emperor,buddhism,japan,suicide,china,suicide attempt
747,Shaun of the Dead,record collection,flower,cheese,pub,surrey
752,V for Vendetta,detective,vatican,fascism,satanism,fascist
754,Face/Off,undercover,mexican standoff,biological weapon,face transplant,rage and hate
755,From Dusk Till Dawn,dancing,brother brother relationship,sexual obsession,showdown,sheriff
756,Fantasia,orchestra,classical music,musical segments,,
762,Monty Python and the Holy Grail,holy grail,monk,scotland yard,swordplay,camelot
764,The Evil Dead,falsely accused,beheading,audio tape,log cabin,chain saw
765,Evil Dead II,deer,blood splatter,tape recorder,chainsaw,spirit
766,Army of Darkness,prophecy,witch,swordplay,supermarket,castle
767,Harry Potter and the Half-Blood Prince,witch,magic,broom,school of witchcraft,wizardry
768,From Hell,loss of family,drug addiction,jack the ripper,,
769,GoodFellas,prison,based on novel,florida,1970s,mass murder
770,Gone with the Wind,life and death,civil war,southern usa,loss of child,marriage proposal
771,Home Alone,holiday,burglar,home invasion,mischief,booby trap
772,Home Alone 2: Lost in New York,holiday,new york,new york city,christmas,
773,Little Miss Sunshine,california,brother sister relationship,wife husband relationship,family's daily life,oscar award
782,Gattaca,paraplegic,suicide attempt,cheating,dna,spaceman
783,Gandhi,muslim,indian lead,demonstration,world war ii,imprisonment
786,Almost Famous,hotel room,san diego,drug addiction,stewardess,overdose
787,Mr. & Mrs. Smith,bomb,assassin,secret identity,secret,assault rifle
788,Mrs. Doubtfire,san francisco,parents kids relationship,restaurant,nanny,mask
790,The Fog,prophecy,sea,beach,gold,small town
792,Platoon,famous score,hero,mine,vietnam war,village
794,The Omen,monk,prophecy,ambassador,nanny,rottweiler
795,City of Angels,suicide,angel,life and death,desperation,operation
796,Cruel Intentions,upper class,sexual obsession,sex,bet,sadistic
801,"Good Morning, Vietnam",rock and roll,radio station,war crimes,entertainer,explosive
802,Lolita,sexual obsession,hotel,depression,loss of mother,small town
805,Rosemary's Baby,anti-christ,contemporary setting,laundry,occult,demonic possession
807,Se7en,self-fulfilling prophecy,detective,s.w.a.t.,drug dealer,evisceration
808,Shrek,magic,liberation,lordship,castle,robin hood
809,Shrek 2,prison,magic,liberation,honeymoon,parents-in-law
810,Shrek the Third,ambush,sadness,stage,liberation of prisoners,island
811,Silent Running,space marine,sunlight,plants,space travel,saturn
812,Aladdin,magic,musical,cartoon,princess,love
813,Airplane!,chicago,alcohol,cataclysm,guitar,medicine
816,Austin Powers: International Man of Mystery,android,undercover,missile,group therapy,airplane
817,Austin Powers: The Spy Who Shagged Me,saving the world,moon,submarine,clone,spy
818,Austin Powers in Goldmember,saving the world,submarine,brother brother relationship,clone,spy
819,Sleepers,child abuse,sadistic,sexual abuse,pastor,repayment
820,JFK,assassination,cia,homophobia,new orleans,vietnam war
821,Judgment at Nuremberg,judge,concentration camp,world war ii,nazis,court case
824,Moulin Rouge!,duke,musical,writer's block,music,terminal illness
826,The Bridge on the River Kwai,japan,resistance,japanese,river,prisoners of war
834,Underworld: Evolution,budapest,key,vampire,light,werewolf
837,Videodrome,suicide,tv show,hallucination,tv station,radio presenter
838,American Graffiti,farewell,rock and roll,robbery,love at first sight,car race
840,Close Encounters of the Third Kind,indiana,obsession,extraterrestrial technology,evacuation,blackout
841,Dune,prophecy,witch,monster,telepathy,atomic bomb
844,2046,free love,hotel,lovesickness,sexuality,kung fu
846,The X Files,bomb,helicopter,secret,obsession,extraterrestrial technology
848,Dragonslayer,secret identity,self sacrifice,magic,virgin,solar eclipse
849,Krull,kingdom,lightsaber,cult favorite,dead body,magical object
850,A Christmas Story,holiday,nostalgia,young boy,bb gun,essay
853,Enemy at the Gates,winter,sniper,world war ii,stalingrad,
854,The Mask,dual identity,bank,mockery,green,balloon
855,Black Hawk Down,prisoners of war,wound,somalia,warlord,famine
857,Saving Private Ryan,war crimes,self sacrifice,war veteran,world war ii,war ship
859,Dangerous Liaisons,lovesickness,sexuality,cheating,cynic,ladykiller
860,WarGames,video game,artificial intelligence,fbi,cold war,hacker
861,Total Recall,oxygen,falsely accused,resistance,mars,double life
862,Toy Story,jealousy,toy,boy,friendship,friends
863,Toy Story 2,museum,prosecution,identity crisis,airplane,flea market
864,Cool Runnings,winter,trainer,olympic games,jamaica,training camp
865,The Running Man,prison,chase,hunting human beings,game show,dystopia
866,Finding Neverland,london england,scotland,parents kids relationship,becoming an adult,fantasy
868,Tsotsi,slum,baby,fight,nudity,leader
869,Planet of the Apes,gorilla,space marine,space suit,revolution,chimp
872,Singin' in the Rain,fan,morning,musical,talkie,partner
873,The Color Purple,prison,africa,southern usa,rape,black people
874,A Man for All Seasons,england,pope,beheading,death penalty,thomas more
879,Hook,flying,swordplay,sword,fantasy,peter pan
881,A Few Good Men,suicide,underdog,suspicion of murder,court case,navy
887,The Best Years of Our Lives,usa,post traumatic stress  disorder,war veteran,world war ii,rehabilitation
888,The Flintstones,manager,jealousy,bad mother-in-law,adoption,family's daily life
889,The Flintstones in Viva Rock Vegas,waitress,marriage proposal,flirt,stone age,best friend
905,Pandora's Box,london england,casino,irony,forbidden love,loss of husband
907,Doctor Zhivago,love triangle,nurse,suicide attempt,loss of family,world war i
913,The Thomas Crown Affair,martinique,claude monet,famous painting,glider,insurance agent
920,Cars,car race,car journey,village and town,auto,route 66
921,Cinderella Man,transporter,netherlands,world cup,socially deprived family,family's daily life
924,Dawn of the Dead,refugee,mass murder,habor,car journey,department store
925,Do the Right Thing,black people,italo-american,police brutality,sun glasses,culture clash
