id,title,cast_0,cast_1,cast_2
179,The Interpreter,Nicole Kidman,Sean Penn,Catherine Keener
180,Minority Report,Tom Cruise,Colin Farrell,Samantha Morton
182,The Good German,George Clooney,Cate Blanchett,Tobey Maguire
184,Jackie Brown,Pam Grier,Samuel L. Jackson,Robert Forster
186,Lucky Number Slevin,Josh Hartnett,Bruce Willis,Lucy Liu
187,Sin City,Jessica Alba,Devon Aoki,Clive Owen
189,Sin City: A Dame to Kill For,Mickey Rourke,Jessica Alba,Josh Brolin
193,Star Trek: Generations,Patrick Stewart,Jonathan Frakes,Brent Spiner
194,Amélie,Audrey Tautou,Mathieu Kassovitz,Rufus
196,Back to the Future Part III,Michael J. Fox,Christopher Lloyd,Mary Steenburgen
197,Braveheart,Mel Gibson,Catherine McCormack,Sophie Marceau
199,Star Trek: First Contact,Patrick Stewart,Jonathan Frakes,Brent Spiner
200,Star Trek: Insurrection,Patrick Stewart,Jonathan Frakes,Brent Spiner
201,Star Trek: Nemesis,Patrick Stewart,Jonathan Frakes,Brent Spiner
203,Mean Streets,Harvey Keitel,Robert De Niro,David Proval
205,Hotel Rwanda,Don Cheadle,Sophie Okonedo,Nick Nolte
207,Dead Poets Society,Robin Williams,Ethan Hawke,Robert Sean Leonard
214,Saw III,Tobin Bell,Shawnee Smith,Angus Macfadyen
215,Saw II,Tobin Bell,Shawnee Smith,Donnie Wahlberg
217,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,Cate Blanchett,Shia LaBeouf
218,The Terminator,Arnold Schwarzenegger,Michael Biehn,Linda Hamilton
219,Volver,Penélope Cruz,Carmen Maura,Lola Dueñas
223,Rebecca,Laurence Olivier,Joan Fontaine,George Sanders
226,Boys Don't Cry,Hilary Swank,Chloë Sevigny,Peter Sarsgaard
227,The Outsiders,Matt Dillon,Ralph Macchio,C. Thomas Howell
231,Syriana,George Clooney,Matt Damon,Jeffrey Wright
235,Stand by Me,Wil Wheaton,River Phoenix,Corey Feldman
238,The Godfather,Marlon Brando,Al Pacino,James Caan
239,Some Like It Hot,Marilyn Monroe,Tony Curtis,Jack Lemmon
240,The Godfather: Part II,Al Pacino,Robert Duvall,Diane Keaton
242,The Godfather: Part III,Al Pacino,Diane Keaton,Andy García
243,High Fidelity,John Cusack,Iben Hjejle,Todd Louiso
245,About a Boy,Hugh Grant,Nicholas Hoult,Toni Collette
248,Pocketful of Miracles,Glenn Ford,Bette Davis,Hope Lange
251,Ghost,Patrick Swayze,Demi Moore,Whoopi Goldberg
252,Willy Wonka & the Chocolate Factory,Gene Wilder,Jack Albertson,Peter Ostrum
253,Live and Let Die,Roger Moore,Yaphet Kotto,Jane Seymour
254,King Kong,Naomi Watts,Jack Black,Adrien Brody
257,Oliver Twist,Barney Clark,Ben Kingsley,Jamie Foreman
261,Cat on a Hot Tin Roof,Elizabeth Taylor,Paul Newman,Burl Ives
268,Batman,Jack Nicholson,Michael Keaton,Kim Basinger
272,Batman Begins,Christian Bale,Michael Caine,Liam Neeson
274,The Silence of the Lambs,Jodie Foster,Anthony Hopkins,Scott Glenn
277,Underworld,Kate Beckinsale,Scott Speedman,Michael Sheen
278,The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton
279,Amadeus,F. Murray Abraham,Tom Hulce,Elizabeth Berridge
280,Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Robert Patrick
284,The Apartment,Jack Lemmon,Shirley MacLaine,Fred MacMurray
285,Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Keira Knightley
288,High Noon,Gary Cooper,Grace Kelly,Thomas Mitchell
289,Casablanca,Humphrey Bogart,Ingrid Bergman,Paul Henreid
291,Riding Giants,Jeff Clark,Darrick Doerner,Laird Hamilton
292,Dave Chappelle's Block Party,Dave Chappelle,Erykah Badu,Common
296,Terminator 3: Rise of the Machines,Arnold Schwarzenegger,Nick Stahl,Claire Danes
297,Meet Joe Black,Brad Pitt,Anthony Hopkins,Claire Forlani
298,Ocean's Thirteen,George Clooney,Brad Pitt,Matt Damon
302,Swimming Pool,Charlotte Rampling,Ludivine Sagnier,Charles Dance
306,Beverly Hills Cop III,Eddie Murphy,Judge Reinhold,Héctor Elizondo
309,The Celebration,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen
310,Bruce Almighty,Jim Carrey,Jennifer Aniston,Philip Baker Hall
311,Once Upon a Time in America,Robert De Niro,James Woods,Elizabeth McGovern
314,Catwoman,Halle Berry,Benjamin Bratt,Sharon Stone
319,True Romance,Christian Slater,Patricia Arquette,Michael Rapaport
320,Insomnia,Al Pacino,Robin Williams,Hilary Swank
321,Mambo Italiano,Luke Kirby,Ginette Reno,Paul Sorvino
322,Mystic River,Sean Penn,Tim Robbins,Kevin Bacon
326,Snakes on a Plane,Samuel L. Jackson,Julianna Margulies,Kenan Thompson
327,Brother,Takeshi Kitano,Omar Epps,Claude Maki
329,Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum
330,The Lost World: Jurassic Park,Jeff Goldblum,Julianne Moore,Pete Postlethwaite
331,Jurassic Park III,Sam Neill,William H. Macy,Téa Leoni
332,Inspector Gadget,Matthew Broderick,Rupert Everett,Joely Fisher
334,Magnolia,Julianne Moore,William H. Macy,John C. Reilly
335,Once Upon a Time in the West,Henry Fonda,Claudia Cardinale,Jason Robards
338,"Good bye, Lenin!",Daniel Brühl,Katrin Sass,Chulpan Khamatova
342,Summer Storm,Robert Stadlober,Kostja Ullmann,Alicja Bachleda-Curuś
345,Eyes Wide Shut,Tom Cruise,Nicole Kidman,Madison Eginton
346,Seven Samurai,Toshirō Mifune,Takashi Shimura,Yoshio Inaba
348,Alien,Tom Skerritt,Sigourney Weaver,Veronica Cartwright
350,The Devil Wears Prada,Meryl Streep,Anne Hathaway,Emily Blunt
364,Batman Returns,Michael Keaton,Danny DeVito,Michelle Pfeiffer
377,A Nightmare on Elm Street,John Saxon,Ronee Blakley,Heather Langenkamp
380,Rain Man,Dustin Hoffman,Tom Cruise,Valeria Golino
387,Das Boot,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann
388,Inside Man,Denzel Washington,Clive Owen,Jodie Foster
389,12 Angry Men,Henry Fonda,Martin Balsam,John Fiedler
391,A Fistful of Dollars,Clint Eastwood,Marianne Koch,Gian Maria Volonté
392,Chocolat,Juliette Binoche,Alfred Molina,Johnny Depp
393,Kill Bill: Vol. 2,Uma Thurman,David Carradine,Daryl Hannah
395,AVP: Alien vs. Predator,Sanaa Lathan,Raoul Bova,Ewen Bremner
398,Capote,Philip Seymour Hoffman,Allie Mickelson,Craig Archibald
400,Things to Do in Denver When You're Dead,Andy García,Christopher Lloyd,William Forsythe
401,Garden State,Zach Braff,Natalie Portman,Ian Holm
403,Driving Miss Daisy,Morgan Freeman,Jessica Tandy,Dan Aykroyd
404,The Straight Story,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz
408,Snow White and the Seven Dwarfs,Adriana Caselotti,Lucille La Verne,Harry Stockwell
409,The English Patient,Ralph Fiennes,Juliette Binoche,Willem Dafoe
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley,Anna Popplewell,Skandar Keynes
414,Batman Forever,Val Kilmer,Tommy Lee Jones,Jim Carrey
415,Batman & Robin,George Clooney,Chris O'Donnell,Arnold Schwarzenegger
421,The Life Aquatic with Steve Zissou,Bill Murray,Anjelica Huston,Cate Blanchett
423,The Pianist,Adrien Brody,Thomas Kretschmann,Frank Finlay
424,Schindler's List,Liam Neeson,Ben Kingsley,Ralph Fiennes
425,Ice Age,Ray Romano,John Leguizamo,Denis Leary
429,"The Good, the Bad and the Ugly",Eli Wallach,Clint Eastwood,Lee Van Cleef
431,Cube,Nicole de Boer,Nicky Guadagni,David Hewlett
433,Mary Poppins,Julie Andrews,Dick Van Dyke,David Tomlinson
435,The Day After Tomorrow,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum
436,Maria Full of Grace,Catalina Sandino Moreno,Guilied Lopez,Yenny Paola Vega
440,Aliens vs Predator: Requiem,Steven Pasquale,Reiko Aylesworth,John Ortiz
451,Leaving Las Vegas,Nicolas Cage,Elisabeth Shue,Julian Sands
453,A Beautiful Mind,Russell Crowe,Ed Harris,Jennifer Connelly
454,Romeo + Juliet,Leonardo DiCaprio,Claire Danes,John Leguizamo
455,Bend It Like Beckham,Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers
462,Erin Brockovich,Julia Roberts,Albert Finney,Aaron Eckhart
464,As It Is in Heaven,Michael Nyqvist,Frida Hallgren,Helen Sjöholm
468,My Own Private Idaho,River Phoenix,Keanu Reeves,James Russo
470,21 Grams,Sean Penn,Naomi Watts,Benicio del Toro
473,Pi,Sean Gullette,Mark Margolis,Ben Shenkman
479,Shaft,Samuel L. Jackson,Jeffrey Wright,Christian Bale
480,Monsoon Wedding,Naseeruddin Shah,Lillete Dubey,Vijay Raaz
489,Good Will Hunting,Robin Williams,Matt Damon,Ben Affleck
492,Being John Malkovich,John Cusack,Cameron Diaz,Catherine Keener
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen,Ken Davitian,Luenell
497,The Green Mile,Tom Hanks,Michael Clarke Duncan,David Morse
500,Reservoir Dogs,Harvey Keitel,Tim Roth,Michael Madsen
503,Poseidon,Kurt Russell,Richard Dreyfuss,Josh Lucas
504,Monster,Charlize Theron,Christina Ricci,Bruce Dern
507,Killing Zoe,Eric Stoltz,Julie Delpy,Jean-Hugues Anglade
508,Love Actually,Keira Knightley,Heike Makatsch,Emma Thompson
509,Notting Hill,Julia Roberts,Hugh Grant,Gina McKee
510,One Flew Over the Cuckoo's Nest,Jack Nicholson,Louise Fletcher,Danny DeVito
512,Scoop,Scarlett Johansson,Hugh Jackman,Woody Allen
522,Ed Wood,Johnny Depp,Martin Landau,Sarah Jessica Parker
524,Casino,Robert De Niro,Sharon Stone,Joe Pesci
525,The Blues Brothers,Dan Aykroyd,John Belushi,James Brown
526,Ladyhawke,Matthew Broderick,Rutger Hauer,Michelle Pfeiffer
533,The Curse of the Were-Rabbit,Peter Sallis,Helena Bonham Carter,Ralph Fiennes
534,Terminator Salvation,Christian Bale,Sam Worthington,Anton Yelchin
535,Flashdance,Jennifer Beals,Michael Nouri,Lilia Skala
539,Psycho,Anthony Perkins,Vera Miles,John Gavin
540,D.E.B.S.,Sara Foster,Meagan Good,Jordana Brewster
542,The Crime of Padre Amaro,Gael García Bernal,Ana Claudia Talancón,Sancho Gracia
544,There's Something About Mary,Cameron Diaz,Ben Stiller,Matt Dillon
546,Transamerica,Felicity Huffman,Kevin Zegers,Elizabeth Peña
547,The Horse Whisperer,Robert Redford,Kristin Scott Thomas,Sam Neill
549,Basquiat,Jeffrey Wright,David Bowie,Dennis Hopper
550,Fight Club,Edward Norton,Brad Pitt,Meat Loaf
557,Spider-Man,Tobey Maguire,Willem Dafoe,Kirsten Dunst
558,Spider-Man 2,Tobey Maguire,Kirsten Dunst,James Franco
559,Spider-Man 3,Tobey Maguire,Kirsten Dunst,James Franco
562,Die Hard,Bruce Willis,Alan Rickman,Alexander Godunov
563,Starship Troopers,Casper Van Dien,Dina Meyer,Denise Richards
568,Apollo 13,Tom Hanks,Bill Paxton,Kevin Bacon
573,Frenzy,Jon Finch,Alec McCowen,Barry Foster
576,The Wild Bunch,William Holden,Ernest Borgnine,Robert Ryan
577,To Die For,Nicole Kidman,Matt Dillon,Joaquin Phoenix
578,Jaws,Roy Scheider,Robert Shaw,Richard Dreyfuss
579,Jaws 2,Roy Scheider,Lorraine Gary,Murray Hamilton
580,Jaws: The Revenge,Lorraine Gary,Lance Guest,Mario Van Peebles
581,Dances with Wolves,Kevin Costner,Mary McDonnell,Graham Greene
582,The Lives of Others,Martina Gedeck,Ulrich Mühe,Sebastian Koch
584,2 Fast 2 Furious,Paul Walker,Tyrese Gibson,Eva Mendes
585,"Monsters, Inc.",John Goodman,Billy Crystal,Mary Gibbs
586,Wag the Dog,Dustin Hoffman,Robert De Niro,Anne Heche
587,Big Fish,Ewan McGregor,Albert Finney,Billy Crudup
588,Silent Hill,Radha Mitchell,Sean Bean,Laurie Holden
590,The Hours,Nicole Kidman,Julianne Moore,Meryl Streep
591,The Da Vinci Code,Tom Hanks,Audrey Tautou,Ian McKellen
592,The Conversation,Gene Hackman,John Cazale,Frederic Forrest
593,Solaris,Donatas Banionis,Natalya Bondarchuk,Jüri Järvet
594,The Terminal,Tom Hanks,Catherine Zeta-Jones,Stanley Tucci
595,To Kill a Mockingbird,Gregory Peck,Brock Peters,James Anderson
597,Titanic,Kate Winslet,Leonardo DiCaprio,Frances Fisher
598,City of God,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen
601,E.T. the Extra-Terrestrial,Henry Thomas,Drew Barrymore,Robert MacNaughton
602,Independence Day,Will Smith,Bill Pullman,Jeff Goldblum
603,The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
604,The Matrix Reloaded,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
605,The Matrix Revolutions,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
606,Out of Africa,Meryl Streep,Robert Redford,Klaus Maria Brandauer
607,Men in Black,Tommy Lee Jones,Will Smith,Linda Fiorentino
608,Men in Black II,Tommy Lee Jones,Will Smith,Rip Torn
609,Poltergeist,Craig T. Nelson,JoBeth Williams,Beatrice Straight
612,Munich,Eric Bana,Daniel Craig,Ciarán Hinds
613,Downfall,Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch
615,The Passion of the Christ,Jim Caviezel,Maia Morgenstern,Monica Bellucci
616,The Last Samurai,Tom Cruise,Ken Watanabe,William Atherton
617,Wild Things,Matt Dillon,Kevin Bacon,Denise Richards
619,The Bodyguard,Whitney Houston,Kevin Costner,Michele Lamar Richards
621,Grease,John Travolta,Olivia Newton-John,Stockard Channing
622,The Ninth Gate,Johnny Depp,Frank Langella,Lena Olin
627,Trainspotting,Ewan McGregor,Ewen Bremner,Jonny Lee Miller
628,Interview with the Vampire,Brad Pitt,Tom Cruise,Kirsten Dunst
629,The Usual Suspects,Stephen Baldwin,Gabriel Byrne,Chazz Palminteri
630,The Wizard of Oz,Judy Garland,Frank Morgan,Ray Bolger
634,Bridget Jones's Diary,Renée Zellweger,Colin Firth,Hugh Grant
639,When Harry Met Sally...,Meg Ryan,Billy Crystal,Carrie Fisher
640,Catch Me If You Can,Leonardo DiCaprio,Tom Hanks,Christopher Walken
641,Requiem for a Dream,Ellen Burstyn,Jared Leto,Jennifer Connelly
642,Butch Cassidy and the Sundance Kid,Paul Newman,Robert Redford,Katharine Ross
644,A.I. Artificial Intelligence,Haley Joel Osment,Frances O'Connor,Sam Robards
646,Dr. No,Sean Connery,Ursula Andress,Joseph Wiseman
650,Boyz n the Hood,Laurence Fishburne,Cuba Gooding Jr.,Ice Cube
652,Troy,Brad Pitt,Orlando Bloom,Eric Bana
654,On the Waterfront,Marlon Brando,Karl Malden,Lee J. Cobb
657,From Russia with Love,Sean Connery,Daniela Bianchi,Pedro Armendáriz
658,Goldfinger,Sean Connery,Honor Blackman,Gert Fröbe
660,Thunderball,Sean Connery,Claudine Auger,Adolfo Celi
663,Saw IV,Tobin Bell,Scott Patterson,Costas Mandylor
664,Twister,Helen Hunt,Bill Paxton,Cary Elwes
666,Central Station,Fernanda Montenegro,Marília Pêra,Vinícius de Oliveira
667,You Only Live Twice,Sean Connery,Akiko Wakabayashi,Karin Dor
668,On Her Majesty's Secret Service,George Lazenby,Diana Rigg,Telly Savalas
670,Oldboy,Choi Min-sik,Yoo Ji-tae,Kang Hye-jung
671,Harry Potter and the Philosopher's Stone,Daniel Radcliffe,Rupert Grint,Emma Watson
672,Harry Potter and the Chamber of Secrets,Daniel Radcliffe,Rupert Grint,Emma Watson
673,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,Rupert Grint,Emma Watson
674,Harry Potter and the Goblet of Fire,Daniel Radcliffe,Rupert Grint,Emma Watson
675,Harry Potter and the Order of the Phoenix,Daniel Radcliffe,Rupert Grint,Emma Watson
676,Pearl Harbor,Ben Affleck,Josh Hartnett,Kate Beckinsale
679,Aliens,Sigourney Weaver,Michael Biehn,James Remar
680,Pulp Fiction,John Travolta,Samuel L. Jackson,Uma Thurman
681,Diamonds Are Forever,Sean Connery,Jill St. John,Charles Gray
682,The Man with the Golden Gun,Roger Moore,Christopher Lee,Britt Ekland
686,Contact,Jodie Foster,Matthew McConaughey,James Woods
687,Dead Man Walking,Susan Sarandon,Sean Penn,Robert Prosky
688,The Bridges of Madison County,Meryl Streep,Clint Eastwood,Annie Corley
691,The Spy Who Loved Me,Roger Moore,Barbara Bach,Curd Jürgens
692,Pink Flamingos,Divine,David Lochary,Mary Vivian Pearce
693,Meet the Fockers,Ben Stiller,Teri Polo,Robert De Niro
694,The Shining,Jack Nicholson,Shelley Duvall,Danny Lloyd
698,Moonraker,Roger Moore,Lois Chiles,Michael Lonsdale
699,For Your Eyes Only,Roger Moore,Carole Bouquet,Chaim Topol
700,Octopussy,Roger Moore,Maud Adams,Louis Jourdan
702,A Streetcar Named Desire,Vivien Leigh,Marlon Brando,Kim Hunter
703,Annie Hall,Woody Allen,Diane Keaton,Tony Roberts
704,A Hard Day's Night,John Lennon,Paul McCartney,George Harrison
707,A View to a Kill,Roger Moore,Christopher Walken,Tanya Roberts
708,The Living Daylights,Timothy Dalton,Maryam d'Abo,Jeroen Krabbé
709,Licence to Kill,Timothy Dalton,Carey Lowell,Robert Davi
710,GoldenEye,Pierce Brosnan,Sean Bean,Izabella Scorupco
711,Finding Forrester,Sean Connery,Rob Brown,F. Murray Abraham
712,Four Weddings and a Funeral,Hugh Grant,Andie MacDowell,James Fleet
713,The Piano,Holly Hunter,Harvey Keitel,Sam Neill
714,Tomorrow Never Dies,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh
744,Top Gun,Tom Cruise,Kelly McGillis,Val Kilmer
745,The Sixth Sense,Bruce Willis,Toni Collette,Olivia Williams
746,The Last Emperor,John Lone,Peter O'Toole,Joan Chen
747,Shaun of the Dead,Simon Pegg,Nick Frost,Kate Ashfield
752,V for Vendetta,Natalie Portman,Hugo Weaving,Stephen Rea
754,Face/Off,John Travolta,Nicolas Cage,Joan Allen
755,From Dusk Till Dawn,George Clooney,Quentin Tarantino,Harvey Keitel
756,Fantasia,Deems Taylor,Walt Disney,Julietta Novis
762,Monty Python and the Holy Grail,Graham Chapman,John Cleese,Terry Gilliam
764,The Evil Dead,Bruce Campbell,Ellen Sandweiss,Richard DeManincor
765,Evil Dead II,Bruce Campbell,Sarah Berry,Dan Hicks
766,Army of Darkness,Bruce Campbell,Embeth Davidtz,Marcus Gilbert
767,Harry Potter and the Half-Blood Prince,Daniel Radcliffe,Rupert Grint,Emma Watson
768,From Hell,Johnny Depp,Heather Graham,Ian Holm
769,GoodFellas,Robert De Niro,Ray Liotta,Joe Pesci
770,Gone with the Wind,Vivien Leigh,Clark Gable,Olivia de Havilland
771,Home Alone,Macaulay Culkin,Joe Pesci,Daniel Stern
772,Home Alone 2: Lost in New York,Macaulay Culkin,Joe Pesci,Catherine O'Hara
773,Little Miss Sunshine,Greg Kinnear,Toni Collette,Steve Carell
782,Gattaca,Ethan Hawke,Jude Law,Gore Vidal
783,Gandhi,Ben Kingsley,Candice Bergen,Edward Fox
786,Almost Famous,Kate Hudson,Billy Crudup,Frances McDormand
787,Mr. & Mrs. Smith,Angelina Jolie,Brad Pitt,Vince Vaughn
788,Mrs. Doubtfire,Robin Williams,Sally Field,Pierce Brosnan
790,The Fog,Adrienne Barbeau,Jamie Lee Curtis,Janet Leigh
792,Platoon,Tom Berenger,Charlie Sheen,Willem Dafoe
794,The Omen,Gregory Peck,Lee Remick,David Warner
795,City of Angels,Nicolas Cage,Meg Ryan,Andre Braugher
796,Cruel Intentions,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon
801,"Good Morning, Vietnam",Robin Williams,Forest Whitaker,Tung Thanh Tran
802,Lolita,James Mason,Sue Lyon,Shelley Winters
805,Rosemary's Baby,Mia Farrow,John Cassavetes,Ruth Gordon
807,Se7en,Brad Pitt,Morgan Freeman,Gwyneth Paltrow
808,Shrek,Mike Myers,Eddie Murphy,Cameron Diaz
809,Shrek 2,Mike Myers,Eddie Murphy,Cameron Diaz
810,Shrek the Third,Mike Myers,Eddie Murphy,Cameron Diaz
811,Silent Running,Bruce Dern,Cliff Potts,Ron Rifkin
812,Aladdin,Scott Weinger,Robin Williams,Linda Larkin
813,Airplane!,Robert Hays,Julie Hagerty,Kareem Abdul-Jabbar
816,Austin Powers: International Man of Mystery,Mike Myers,Elizabeth Hurley,Michael York
817,Austin Powers: The Spy Who Shagged Me,Mike Myers,Heather Graham,Michael York
818,Austin Powers in Goldmember,Mike Myers,Beyoncé Knowles,Seth Green
819,Sleepers,Robert De Niro,Brad Pitt,Kevin Bacon
820,JFK,Kevin Costner,Tommy Lee Jones,Gary Oldman
821,Judgment at Nuremberg,Spencer Tracy,Burt Lancaster,Richard Widmark
824,Moulin Rouge!,Nicole Kidman,Ewan McGregor,John Leguizamo
826,The Bridge on the River Kwai,William Holden,Alec Guinness,Jack Hawkins
834,Underworld: Evolution,Kate Beckinsale,Scott Speedman,Tony Curran
837,Videodrome,James Woods,Sonja Smits,Deborah Harry
838,American Graffiti,Richard Dreyfuss,Ron Howard,Paul Le Mat
