"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44525.0,7,ENG 101-A0H3,61,3,2,0,0,53,65,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CIS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
44504.0,,WLD 140-A001,Gas Metal Arc Welding,2,2,10:20 AM,4,58,110,2.0,43696.0,43814.0
NURSING,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
45082.0,,ENG 100-A0HZ,60,2,1,1,1,1,66,1.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
44741.0,,NSG 230-A0C1,89,,1,1,1,4,97,2.0,43696.0,43814.0
CRIMINAL JUSTICE,,,,,,,,,,,,
CIS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
46368.0,,EMS 235-A003,59,2,3,15,12,52,62,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
55312.0,,7,15,2,7,0,10,10,7,2.0,43696.0,43814.0
RELIGIOUS STUDIES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44608.0,,BIO 135-A0ZL,27,,1,1,1,1,23,1.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44545.0,7,ENG 101-A006,61,3,0,14,21,39,48,2.0,43696.0,43814.0
MUSIC,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44939.0,0,ENG 190-A001,Intro to Dystopian Literature,3,2,0,0,36,64,2.0,43696.0,43814.0
HISTORY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
44690.0,6,PSY 223-A0Z2,96,3,1,1,1,1,103,1.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45429.0,10,MAT 141-A0Z1,74,3,1,1,1,1,89,1.0,43696.0,43814.0
MUSIC,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
44678.0,6,PSY 110-A003,94,3,0,19,23,19,52,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44576.0,0,ENG 161-A0Z1,Intro to Literature,3,1,1,1,1,68,1.0,43696.0,43814.0
NURSING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
55363.0,,4,13,2,9,10,11,6,7,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BLUEPRINT READING ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44449.0,,BIO 225-A0L2,31,,2,25,17,25,33,2.0,43696.0,43814.0
THEATRE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
