unit_cogs,name,quantity,Index,group
3.62,PIEROGI Z KAPUS/GRZYB.400GR GRZESKOWIAK,4,1662,POULTRY
2.25,POWIDLA SLIWKA SLON.OGROD 290G,3,13121,GENERAL_FOOD
3.05,ALMETTE SMIETANKOWY 150G,7,7947,DAIRY_CHESSE
1.21,KUBUS MAR.BRZOS.JAB.0_33L,7,9366,DRINK_JUICE
0.84,ZELKI SERDUSZKA 80 G,8,7360,DAIRY_CHESSE
18.3162790697674,KIE?BASKI PYSZNE KG,1.075,17213,POULTRY
1.276,KUBUS WATERRR MALINA 0_5L,10,10643,DRINK_JUICE
2.99172984148863,KT JABLKO CZERWONE,72.55,21815,VEGETABLES
1.29,BERLISO 180 G +20 G CZEKOL,3,11704,GENERAL
1.74148936170213,KT POR MLODA NA SZT,47,21751,VEGETABLES
2.07,NAP CAPRIO SOCZYSTE CZERW.WINOGRONO 1_75,1,8893,DRINK_JUICE
0.44,WODA AQA 1_5 L N/G,25,14719,ICE_CREAMS_FROZEN
0.37,REKLAMOWKA Z UCHWYTEM,120,3124,CHEMISTRY
11.64,PAP CAMEL,11,5066,CIGARETTES
0.776863905325444,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA,169,16363,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
0.98,BAKOMA JOGURT NATURALNY 150 G,9,8531,DAIRY_CHESSE
0.92,WODA MUSZYNIANKA 0_6 L PLUS,1,8979,DRINK_JUICE
2.29,JAJKO Z NIESPODZ FCB,3,19004,SWEETS
13.897435897435901,PALUSZKI RYBNE  LUZ,0.39,15356,ICE_CREAMS_FROZEN
1.34,MAR ZWYKLA 250G KRUSZWICA,63,17656,GENERAL_ITEMS
2.359,GOFRY SLODKIE 100 G,10,20350,SWEETS
1.57,POPCORN  SOLONY 90 G HELIO,5,12029,GENERAL
19.0,CIASTKA GRZYBEK W CZEKOLADZIE,0.09,6258,COOKIES_BULK
1.46,WIN GALARETKA PRZEZROCZYSTA 71 G,2,11907,GENERAL
3.611875,KT KALAFIOR,32,22218,VEGETABLES
3.25,JAJKO BARBIE,1,17488,OCCASIONAL
20.77,WODKA KRUPNIK PREMIUM 0_7 L,4,22310,ALCOHOL
0.686875,GOPL FIGORKA PLASKA 30 G,96,20766,SWEETS
0.825,WODA CISOWIANKA 1_5 L N/GAZ.,24,16119,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
2.9992857142857097,GOS.MLEKO ZAGESZCZ.NIE/S?.Z MAGNEZEM 500,14,7215,DAIRY_CHESSE
3.99,KARMA PEDIGREE ADULT WOL/DR 500 G,2,17751,GENERAL_ITEMS
0.59,ZMYWAK KUCZENNY Z UCHWYTEM,1,2785,CHEMISTRY
3.29,SZNURA VITA LUNCH GRECKI 240 G,1,11303,GENERAL
0.74,NAP AQA 1_5 GAZ CYTR+MIETA,3,8884,DRINK_JUICE
2.55571428571429,SER MLEKPOL KROLEWSKI Z KOLNA 150G PLAS,14,7903,DAIRY_CHESSE
1.78,RYZ SONKO  4X100G,16,14425,GROATS_RICE_PASTA
4.33,E DO PLUKANIA ELEGANCE PERFUM 0_9 L,1,2168,CHEMISTRY
9.10666666666667,PAP PS 66 BLUE 20,12,5591,CIGARETTES
10.0941666666667,PAP PS BLACK 100,12,5529,CIGARETTES
3.85,POMPKA SIMPLUS 5 ZL,511,17797,GENERAL_ITEMS
0.72,CHRUPKI KUKUR. CELKA 70GR OPAK 25 SZT,50,20911,SWEETS
0.91,GALEO PRZYPRAWA DO TZATZIKI,2,18476,SPICES
3.56,S CHLEB KROJONY 1KG,1,1365,BREAD
1.01,AMINO B?YSK_PIECZARKOWA,1,13695,GENERAL_FOOD
1.41,AMINO SOS PIECZENIOWY CIEMNY 38GR,2,13039,GENERAL_FOOD
2.13,KETCHUP LAGODNY 470 G TORTEX,6,16078,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
0.37,ORANZADA W PROSZKU SUPER,9,19974,SWEETS
14.17,SPIRYTUS 0_2 L 95%,1,22420,ALCOHOL
1.96,WAFLE TORTOWE 160 G,8,20243,SWEETS
3.5,WARZYWA NA PETELNIE Z ZIEMNIAKAMI 500G,3,14800,ICE_CREAMS_FROZEN
13.48,WINO CARLO ROSSI ROZOWE P/WYT.9_5% 0_75L,1,16117,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
2.28,JAJKO Z NIESPODZIANKA,71,20360,SWEETS
2.844,CIASTKA KRAKUSKI SERDUSZKA 171 G,5,19333,SWEETS
3.15,CATERING HAMBURGER 225G Z AMERYK.,2,8709,GENERAL_ITEMS
0.72,PRYMAT PIETRUSZKA NATKA,4,18118,SPICES
2.55,PIWO BYCZE 0_5 L B/ZWROT,3,897,ALCOHOL
3.4,COSTA JABLKOWA 2L,4,9729,DRINK_JUICE
2.43,WEDEL CZEKOL.WISNIOWA 100 G,5,20027,SWEETS
0.52,WAFLE GORALKI ARACHID 42 G,19,20021,SWEETS
1.76,MARCO-POLO LUBCZYK LISC 40 G,2,18179,SPICES
1.39,CYKORIA PRZYPRAWA DO KONSERW OGORKOW 45G,5,18400,SPICES
3.28,PUDL KETCHUP PIKANTNY 480 G,1,11285,GENERAL
6.14,SZPARAGI 330 G KIER,1,11364,GENERAL
1.9140740740740705,DESER MONTE 150 G CZEKOL,27,12240,GENERAL_FOOD
17.0497237569061,CIASTKA GERARD PRYNCYPA?KI CZE.DES.1_3KG,0.905,6346,COOKIES_BULK
3.99,AJAX  PROSZEK DO CZYSZCZENIA 450 G,1,2295,CHEMISTRY
0.36,ZELKI KROKODYLE/MISKI NA SZT,2,4246,CHEWING_GUM_LOLIPOPS
8.14,NAP SPIR ZOLADKOWA GORZKA Z MIETA 0_2L,4,22291,ALCOHOL
2.93,KALENDARZ ADWENTOWY,3,20974,SWEETS
12.56,PAP MARLBORO  GOLD,39,5577,CIGARETTES
0.3,ZUPA BLYSKAWICZNA WOLOWINA 60 G,3,18768,SPICES
2.59,KAKAO PUCHATEK 150G,2,13892,GENERAL_FOOD
1.17,VEGETA 75G,7,12664,GENERAL_FOOD
2.35,WAFLE KWADRAT DESER 120 G,15,20024,SWEETS
8.98,MAKARON MUSZLA  BARONIA 500G,1,14266,GROATS_RICE_PASTA
2.79,CHUSTECZKI CHIGIENICZNE 100+50 GRATIS,4,2311,CHEMISTRY
0.92,ZAPALNICZKA KOLOR,17,5055,CIGARETTES
1.99,PODGRZEWACZ ZAPACHOWY 10 SZT,1,3918,CHEMISTRY
4.74,COLGATE SZCZOTECZKA ZIG ZAG,3,3008,CHEMISTRY
3.05,VITAFIZZ WIT C,1,11758,GENERAL
1.4,NAP OSHEE 0_75  BLU,12,10398,DRINK_JUICE
1.84,WODA ZYWIEC 1_5 L N/GAZ TRUSKA,1,10470,DRINK_JUICE
2.505,E PROSZEK 300 G COLOR,2,2029,CHEMISTRY
3.0958823529411803,NAP SPIR ABSOLWENT SLIWKA 0_1,238,22651,ALCOHOL
2.09,REX 300 G 3*KOLOR,2,3324,CHEMISTRY
1.31,NAP HELLENA YOO 1_25 L GAZ,3,8909,DRINK_JUICE
1.46,GUMA ORBIT SPERMINT DRAZE,11,4050,CHEWING_GUM_LOLIPOPS
1.27,ZOOT GALARETKA 175 G TRUSK.,3,8331,DAIRY_CHESSE
1.77, PATYCZKI BELLA 200,4,2969,CHEMISTRY
3.05,VITAFIZZ MAGNEZ,3,21218,TABLETS
10.2564102564103,CUKIERKI ROSEN ZELKI LUZ,0.39,6246,COOKIES_BULK
10.63,PRIMA 500G NIEBIESKA,3,5862,COFFEE TEA
0.791666666666667,BATERIA R3 WARTA ALKAICZNA,30,11772,GENERAL
1.42666666666667,NAP OSHE 0_75 ZERO MULTI,42,17473,OCCASIONAL
1.19,MENTOS RAINBOW 37_5 G,2,19957,SWEETS
1.31,KNORR G K OGORKOWA Z GRZANKAMI,4,13742,GENERAL_FOOD
1.46,MAR PALMA BIELMAR 250G Z MURZYNKIEM,12,17585,GENERAL_ITEMS
0.85,WODA ZYWIEC 0_5L GAZ,3,9709,DRINK_JUICE
1.99,CHUSTECZKI NASACZ.DO DZIECI 72 SZT,1,2807,CHEMISTRY
2.47868665420087,KT SELER LUZ,31.553,22008,VEGETABLES
0.99,JOGOBELLA 150G SPECJAL,22,7248,DAIRY_CHESSE
1.0,DELECTA AROMAT ARAKOWY,4,11381,GENERAL
1.12,NAP VERONI 1 L LIFE POMAR. GAZ,2,9656,DRINK_JUICE
2.61294117647059,M CHLEB RUSTYKALNY,25.5,1359,BREAD
2.67,SOS BOLONSKI  SLOIK DAWT 550G,2,12517,GENERAL_FOOD
1.11428571428571,CHRUPKI STAR ORZECH  58 G,21,19318,SWEETS
7.24,HERBATA EXP.100T.AKBAR,1,5751,COFFEE TEA
6.63,PIZZA 380 G Z SZYNKA,3,14873,ICE_CREAMS_FROZEN
6.49,WISNIE DRYLOWANE 450G ADMAT,1,15205,ICE_CREAMS_FROZEN
5.2,MIGDALY KRESTO 100G,1,16091,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
1.6,MARCO-POLO ZILA  KURCZAKA Z SOLA MOR. 35,1,18303,SPICES
0.35,LIZAK POP Z GUMA,31,4213,CHEWING_GUM_LOLIPOPS
3.2,SKORUPKA OGORKI KONSERWOWE 900G,11,21690,VEGETABLES
3.2649350649350604,NAP SPIR CYTRYNOWKA 0_1 30%,77,22333,ALCOHOL
0.93,KULE RUMOWE,18,20152,SWEETS
9.55,PAP ROTHMANSY CLICK LINK,2,5116,CIGARETTES
1.59,SER TOP ZLOTY EMENTALER SERTOP,2,8115,DAIRY_CHESSE
9.86,PAP RGD BLU,1,5600,CIGARETTES
1.20333333333333,KNORR G K OGORKOWA Z GRZANKAMI,3,12611,GENERAL_FOOD
1.68,KNORR NUDLE CEBULOWE Z SEREM,9,11467,GENERAL
16.74,WODKA BOLS 0_5 L,1,22875,ALCOHOL
2.47,POP CORN SOLONY 90 G FELIX,1,20420,SWEETS
0.73,WODA CISOWIANKA 0_5 N/G,22,8829,DRINK_JUICE
1.35,LODY ROZEK MIX,1,14993,ICE_CREAMS_FROZEN
0.7,C BULKA SEROWA,206,1189,BREAD
17.48,WHISKY HIGHLANDER 0_5 L,1,22768,ALCOHOL
2.9,GROSZEK PTYSIOWY 100G,1,11631,GENERAL
9.78,PAP PS 66 BLUE 20,27,5325,CIGARETTES
9.72310969116081,KASZANKA KG,1.878,17232,POULTRY
0.85125,PRINCE POLO XXL MLECZNE,8,20836,SWEETS
3.85,LAYS PAPRYKA 140 G,4,4577,CHIPS_FLAKES
1.0,LODY ROZEK MLYNARCZYK,2,15843,ICE_CREAMS_FROZEN
2.41,WODA 5 L N/G PRIMAVERA +1 L GRATIS,9,10730,DRINK_JUICE
7.67,NAP SPIR SOPLICA Z PIGWA 0_2 32%,4,22967,ALCOHOL
1.16,MILKA CZEK.NADZ 37 G,3,20396,SWEETS
0.906153846153846,KT RZODKIEWKA PECZEK,13,21753,VEGETABLES
0.74,NAP AQA 1_5 L N/G TRUSKAWKA,13,9384,DRINK_JUICE
2.39,LODY GRZESKI 110 ML,20,14933,ICE_CREAMS_FROZEN
16.7,NAP SPIR SOPLICA WISNIOWA 0_5 L,3,22465,ALCOHOL
3.84,CLIN 500 ML Z ROSPL APPLA,3,2630,CHEMISTRY
14.5204460966543,KIE?BASA ZIELONOGÓRSKA KG,1.345,17180,POULTRY
2.24,WEDEL CZEK GORZKA 100G,5,19267,SWEETS
1.6666666666666698,KT POMIDOR POLSKI POLNY,245.64,21840,VEGETABLES
12.8,WODKA 1906 0_5L 40% LUBLIN,4,22772,ALCOHOL
1.55,ZELATYNA Z PRZYPR.CYKORIA,11,12695,GENERAL_FOOD
2.13,SUROWKA KUBEK,2,12826,GENERAL_FOOD
0.51,LIZAK NIM 2,1,19952,SWEETS
1.17833333333333,PROFI PASZTET Z POMIDOREM 131G,42,1701,POULTRY
7.4367816091954015,DELFINKI RYBNE PANIER.LUZ,0.87,10850,POULTRY
0.866,WODA CISOWIANKA 1_5 L LEKKI GAZ,10,9120,DRINK_JUICE
3.21,SPRAYS FUNY,1,17128,POULTRY
9.85869565217391,P SLEDZ A LA MATIAS LUZ,0.92,10871,POULTRY
2.9,BREF 4-FORMULA,4,2148,CHEMISTRY
1.9,WODA ZYWIEC 1_5 N/G BRZOSKW_,6,10752,DRINK_JUICE
1.77,NAP VERONI 400 ML ENERGI GUARANA,1,10263,DRINK_JUICE
1.05,WEDEL PAWELEK ADVOCAT 45G,16,20249,SWEETS
1.18,WIN ZUPA ZUREK 49 G,2,13530,GENERAL_FOOD
2.7,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,10,791,ALCOHOL
10.72,PAP WEST JCE COOL BLEND CI?KIE,4,5548,CIGARETTES
20.067226890756306,CZEKOLADKI NADZIEWANE LUZ,1.19,20938,SWEETS
2.18,WIN POMYS? NA RYBE PO GRECKU 42 G,1,13014,GENERAL_FOOD
0.14,CUKIER WANILIOWY ZIOLOPEX,4,18397,SPICES
11.18,LODY BRACI KORAL 900 Z CIASTECZKAMI,3,15553,ICE_CREAMS_FROZEN
1.05,CHRUPKI ARACHIDOWE 70 G,3,4709,CHIPS_FLAKES
19.1052631578947,SZYNKA CHLEBOWA KG,1.33,17015,POULTRY
2.0713375796178304,S CHLEB PSZENNY 0_25KG,78.5,1136,BREAD
1.32,PRAZYNKI ZIEMNIACZANE 70G,4,4650,CHIPS_FLAKES
2.3,WIN  SOS BOLONSKI ITALIANO 46G,3,12333,GENERAL_FOOD
2.78,PIWO BOJAN TRADYCYJNE 0_5 B/ZWR,2,13293,GENERAL_FOOD
7.2,SEKRET NATURY ZESTAW 6 HERBAT OWOCOWYCH,1,19052,SWEETS
3.84,NAP SPIR SOPLICA 0_1 MIRABELKA,5,22405,ALCOHOL
4.99,SOMAT MACHINE 1_5KG,1,2252,CHEMISTRY
2.24,GOFRY KOKOS 100,6,19527,SWEETS
2.04,SER PLASRTY Z SZYNKA 130G LACTIMA,1,8473,DAIRY_CHESSE
9.527586206896553,PAP PS MINT LINK,58,4889,CIGARETTES
2.62,SYROP MALINA 440 ML SPIZARNIA,8,19428,SWEETS
12.466898954703801,KIE?BASA WIOSENNA KG,2.87,17041,POULTRY
2.65,PIECZARKA CA?A 156 G S?ON.OGROD,2,13772,GENERAL_FOOD
0.7,GALEO ZIOLA PROWANSALSKIE 10GR,7,18546,SPICES
5.78,TRAKTOR Z CUKIERKAMI,2,2591,CHEMISTRY
1.23,WIN GALARETKA POMARANCZOWA 75 G,5,13340,GENERAL_FOOD
2.72,KT BROKUL,5,21629,VEGETABLES
1.48,ZBYSZKO 3 LIMONKI 1_5L GAZ,18,9910,DRINK_JUICE
6.48,KREM NUTELLA 230 G,3,19552,SWEETS
1.0,BANKI MYDLANE,4,11918,GENERAL
1.5,PIWO EB 0_5 L B/ZWR,19,312,ALCOHOL
0.8837068965517241,KT PIETRUSZKA ZIELONA NATKA,116,22155,VEGETABLES
0.99,AMINO BLYSK OGÓRKOWA 61 G,4,8339,DAIRY_CHESSE
2.07,WAFLE SUCHE OWAL 130 G,5,20242,SWEETS
0.92,KAMIS PIEPRZ CZAR /MIELONY,7,18616,SPICES
1.56,HOCHL SMIETANKOW 100 G TOPIONY,6,8220,DAIRY_CHESSE
2.12,PIANKA HARIBO SMERF 100G,4,15661,ICE_CREAMS_FROZEN
5.93,CHUSTECZKI DO KOLOROW 10 SZT,1,3811,CHEMISTRY
3.75,TUNCZYK ORKA W SOSIE WLASNYM 170 G,2,1597,POULTRY
9.78,PAP PS RED 20,33,5106,CIGARETTES
2.31,NAP 7 UP LEMON 0_5 L,8,9758,DRINK_JUICE
1.72,MAKA WROCLAWSKA 1KG STOISLAW,10,14098,GROATS_RICE_PASTA
9.27906976744186,SERDELKI Z DROBIEM,0.43,13132,GENERAL_FOOD
0.7185714285714291,GALEO PAPRYKA SLODKA 16 G,7,18147,SPICES
0.84,NAP COCOLA 0_2 PUSZKA,17,9590,DRINK_JUICE
0.77,KT KIWI,18,21821,VEGETABLES
16.2266666666667,NAP SPIR SOPLICA WISNIOWA 0_5 L,3,22616,ALCOHOL
2.28,CUKIERKI NIMM2 ZUJKI,1,6376,COOKIES_BULK
1.74,PROFI SZYNKA MIELONA 110G,8,1648,POULTRY
4.75,MAKARON EXQUISIT 500G,1,14524,GROATS_RICE_PASTA
8.08,LODY CASSATE 550 ML NORDIS,8,15409,ICE_CREAMS_FROZEN
2.52898550724638,KT ZIEMNIAK WCZESNY KG,8.28,21519,VEGETABLES
0.68,PIANKA TWISTER,1,20822,SWEETS
2.55,TWAROG POLTLUSTY SREMSKI 250G,25,7545,DAIRY_CHESSE
1.83777777777778,P PASTELLA JAJECZNA ZE SZCZYPIORKIEM,9,11037,POULTRY
1.39,WAFLE DESSINO MLECZNE 160GR,1,20854,SWEETS
0.8476635514018691,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA,107,16600,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
1.01,MAR NIEZBEDNA KOSTKA 250GR,28,8611,DAIRY_CHESSE
0.88,KT CZOSNEK POLSKI,36,21557,VEGETABLES
1.39,HELP 300 G WHITE,1,3032,CHEMISTRY
1.99,REKAWICE GUMOWE 7_5,1,3939,CHEMISTRY
0.794,GALARETKA TRUS. GELLWE 79G,5,13564,GENERAL_FOOD
0.55,PAP PAPIEROSY NA SZT,31,5177,CIGARETTES
1.35,CUKIERKI WERTHERS ORIGINAL 75GR,3,19512,SWEETS
2.23,STAR CHIPS 130 G PAPRYKA,8,4771,CHIPS_FLAKES
1.69,WIREK PROSZEK 600G,1,3560,CHEMISTRY
4.64,CIASTKA MILKA SENSATIONS 156 G,1,20098,SWEETS
5.6737783895388905,KT PAPRYKA CZERWONA/ZOLTA,14.53,21831,VEGETABLES
0.400468384074942,KT ZIEMNIAK WCZESNY KG,8.54,21381,VEGETABLES
3.5,SMAK MAK WIEPRZOWINKA W GALARECIE 200G,1,12974,GENERAL_FOOD
7.86,SZAMPAN DORATO BIALY 0_75L,1,23084,ALCOHOL
2.23016949152542,S CHLEB KROJONY 0_6KG,29.5,1134,BREAD
2.81,CIASTKA JEZYKI CAFE 140 G,5,20091,SWEETS
4.38,MARCHEW MINI CALA -NORDIS,1,22252,VEGETABLES
1.4475,KONCENTRAT DAWTONA 200G SLOIK,32,16083,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
11.9038461538462,JAJKA CUKROWE Z NADZIENIEM .LUZ,0.52,19373,SWEETS
0.79,WIN BUDYN WANILIOWY 60G,1,13992,GENERAL_FOOD
2.55,PIWO BYCZE 0_5 L B/ZWROT,47,467,ALCOHOL
2.62,MAK SULMA NITKA SPAGHETTI 500G,5,14239,GROATS_RICE_PASTA
1.275,KUBUS MUS BANAN 0_1 L,16,9939,DRINK_JUICE
1.79,TWAROG PRESIDENT ZE SZCZYPIORKIEM,1,7547,DAIRY_CHESSE
1.29,KNORR LISC LAUROWY Z TURCJI 5 G,3,18367,SPICES
1.65785714285714,HOCHL.ZIOLA 100G BLOK TOPIONY,14,7434,DAIRY_CHESSE
9.14,PAP ROTHMANS BLU LINK,19,5541,CIGARETTES
4.73,KAWA TCHIBO BLU 250 G,2,5721,COFFEE TEA
15.0119047619048,SER PULAWSKI/GOUDA/CAMELOT,2.52,8475,DAIRY_CHESSE
1.01,CYKORIA SOS BIALY 25 G,3,14078,GROATS_RICE_PASTA
2.51,PIECZARKA MARYNOWANA 280 G,1,8077,DAIRY_CHESSE
1.25,WODA ZYWIEC 1_5L GAZ,18,10753,DRINK_JUICE
2.19,TWARÓG POLMLEK T?USTY 250 G,1,6951,DAIRY_CHESSE
1.86,NAP SCHWEPPS LEMON 0_275 GAZ SZKLO,5,10550,DRINK_JUICE
3.53,WIN MAJONEZ  OMEGA 3 250ML,4,16703,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
2.15,PRECLE PIERNIKOWE 150 G,3,20831,SWEETS
1.46,GUMA ORBIT PEPERMINT DRAZE,14,4108,CHEWING_GUM_LOLIPOPS
3.33,KASZA GRYCZANA 4 X 100G SONKO,1,14285,GROATS_RICE_PASTA
6.91,WODKA LUKSUSOWA 0_2L,5,22539,ALCOHOL
3.65,LARUS SLEDZ W GALARECIE 160 G,1,10863,POULTRY
1.9,WODA ZYWIEC 1_5 L N/G CYTRYNA,8,10613,DRINK_JUICE
17.5986842105263,SER SALAMI WOSK SREM,6.992,8107,DAIRY_CHESSE
1.96,CIASTKA KRAKUSKI DESEROWE Z CUKREM 200G,5,11243,GENERAL
1.35,M BULKA Z RODZYNKAMI,16,1239,BREAD
0.93,KASZKA MANNA 400 G SARITA,2,11391,GENERAL
4.96347658931759,KT POMIDOR SZKLARNIOWY LUZ,72.83,22239,VEGETABLES
1.68,SALATKA SLEDZ+GROSZEK 150 G,1,13790,GENERAL_FOOD
1.76,SALATKA WARZYWNA 500 G SKORUPKA,4,13308,GENERAL_FOOD
1.26,GUMA ORBIT SPIRMINT DRAZE,36,4202,CHEWING_GUM_LOLIPOPS
2.1,GUMA ORBIT *25 SASZETKA STRAWBERY,3,4133,CHEWING_GUM_LOLIPOPS
1.17,PROFI PASZTET DROB.Z CZOSNEK,1,1536,POULTRY
4.69,WEGIEL DO GRILA 2 KG,2,11831,GENERAL
1.2,BLOK TECHNICZY A4,2,3395,CHEMISTRY
6.53612903225806,KT POMIDOR MALINOWY,46.5,21582,VEGETABLES
1.08,ZELKI JUMI 100 G,14,20880,SWEETS
1.0,LIZAK ROZA/SERCE,1,18860,SWEETS
2.25,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,8,574,ALCOHOL
2.46,GOS.MLEKO TUBA SLODZONE 150G,6,8202,DAIRY_CHESSE
10.73,PAP LD MINT,19,5370,CIGARETTES
2.32,PIWO KSIAZECE 0_5 L CIEMNE B/ZW,3,839,ALCOHOL
1.54,JOGURT 350 G  DUET,9,8233,DAIRY_CHESSE
2.72,WIN SOS TATARSKI 250ML,3,16388,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
0.15,GUMA MOIST,9,19728,SWEETS
1.35,CHRUPKI Z KASZA JAGLANA 70 G,4,4783,CHIPS_FLAKES
2.78,NAP TYMBARK 1 L ZIEL BANAN,4,10704,DRINK_JUICE
29.304347826087,SMAKOSZKI KG,0.23,16937,POULTRY
5.25,DA DANONKI MEGA BRZOSK/JAGODA,2,6989,DAIRY_CHESSE
3.71,MYDLO W PLYNIE 500 ML Z DOZOWNIKIEM,2,2512,CHEMISTRY
3.55,NAP TYMBARK 1 L SOK 100% T?OCZ.JAB?KO,3,10422,DRINK_JUICE
1.20119266055046,WODA ZYWIEC 1_5L NIE/GAZ,109,9906,DRINK_JUICE
4.66,SKARPETY BAWE?NA,1,17947,GENERAL_ITEMS
6.2,PIZZA Z SZYNKA+PIECZARKI 425 G,4,12296,GENERAL_FOOD
6.31,JACOBS CRONAT GOLD 75G UZUPELNIACZ,1,5763,COFFEE TEA
2.95,BREF 4-FORMULA AKTIV,5,2304,CHEMISTRY
1.4865151515151498,GOS.SMIETANKA 12% 250ML GOSTYN,66,6628,DAIRY_CHESSE
1.11609756097561,WIN SOS PIECZ/CIEMNY 30G,41,13019,GENERAL_FOOD
3.37,SER SMAZONY 200G KOWALEW,10,6921,DAIRY_CHESSE
1.4,NAP IZOTONICZNY OSHEE 0_75 L ZERO CYTRYN,6,9230,DRINK_JUICE
2.38,HERB HIBISKUS 24 T VITAX,2,4915,CIGARETTES
1.34410256410256,HELLENA ORENZADA CZERWONA 1_25 L GA,39,16577,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH
