original_title,title_length,production_companies
The Intern,10, Warner Bros.
Rio 2,5, Twentieth Century Fox Animation
The Social Network,18,Columbia Pictures
Kiss of the Dragon,18, Immortal Entertainment
Bedazzled,9,Twentieth Century Fox Film Corporation
Fun Size,8, Fake Empire
The Bourne Legacy,17, Relativity Media
Good Luck Chuck,15,Lionsgate
Devil's Due,11, Davis Entertainment
Man on a Ledge,14,Summit Entertainment
Role Models,11, Relativity Media
Max,3,Sunswept Entertainment
Resident Evil: Apocalypse,25,Impact Pictures
The Guard,9, Element Pictures
Oblivion,8, Monolith Pictures (III)
Insurgent,9,Summit Entertainment
Takers,6,Rainforest Films
Poltergeist,11,Ghost House Pictures
"Tomorrow, When the War Began",28,Omnilab Media
Into the Wild,13, Art Linson Productions
National Treasure,17, Jerry Bruckheimer Films
I'm Not There.,14,Endgame Entertainment
Mamma Mia!,10, Playtone
War,3, Lionsgate
The Hoax,8, Yari Film Group
All Is Lost,11, Washington Square Films
The Lovely Bones,16, DreamWorks SKG
21 Grams,8, Mediana Productions Filmgesellschaft
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",62, Walden Media
Sweet Home Alabama,18,Touchstone Pictures
Monster-in-Law,14, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG
Syriana,7, Participant Media
A Dangerous Method,18, The Movie Network
Abraham Lincoln: Vampire Hunter,31, Abraham Productions
D-Tox,5,Universal Pictures
Mindhunters,11, Weed Road Pictures
San Andreas,11, Flynn Picture Company
Beowulf,7, Shangri-La Entertainment
Four Christmases,16,New Line Cinema
The Midnight Meat Train,23, GreeneStreet Films
A Perfect Getaway,17, QED International
The Skulls,10,Universal Pictures
Machete Kills,13, Overnight Films
9,1,Focus Films
Cloud Atlas,11,Anarchos Productions
Deux frÃ¨res,12, TF1 Films Production
Soul Surfer,11, TriStar Pictures
Drive Angry,11, Michael De Luca Productions
Titan A.E.,10, Fox Animation Studios
Runner Runner,13, New Regency Pictures
The Grudge,10, Senator International
A.I. Artificial Intelligence,28,DreamWorks SKG
Coach Carter,12,Paramount Pictures
Grown Ups,9, Happy Madison Productions
Secret in Their Eyes,20, IM Global
Grindhouse,10, Troublemaker Studios
Rango,5, GK Films
Enemy at the Gates,18, KC Medien
Maze Runner: The Scorch Trials,30, Temple Hill Entertainment
All the King's Men,18, Relativity Media
Fair Game,9, Participant Media
Crank: High Voltage,19,Lakeshore Entertainment
Alexander,9, Warner Bros.
House of Wax,12, Warner Bros.
Charlie and the Chocolate Factory,33, Warner Bros.
Brick Mansions,14, D8
The Other Woman,15,Twentieth Century Fox Film Corporation
Calendar Girls,14, Touchstone Pictures
Unknown,7,Studio Babelsberg
Trance,6, Decibel Films
Mission to Mars,15,Spyglass Entertainment
127 Hours,9,Fox Searchlight Pictures
High Crimes,11, Monarch Pictures
That's My Boy,13, Relativity Media
Fun with Dick and Jane,22, Columbia Pictures Corporation
The Great Raid,14, Marty Katz Productions
The Grey,8, Open Road Films
The Wrestler,12, Top Rope
Alone in the Dark,17, Herold Productions
All the King's Men,18, Phoenix Pictures
Oblivion,8,Universal Pictures
Conan the Barbarian,19,Dark Horse Entertainment
Pain & Gain,11,Paramount Pictures
Hope Springs,12,Columbia Pictures
The Hangover Part II,20, Green Hat Films
Big Momma's House,17, Regency Enterprises
Cursed,6, Kalis Productions GmbH & Co. Zweite KG
Elf,3, Gold/Miller Productions
A Sound of Thunder,18, Franchise Pictures
Crash,5, Bull's Eye Entertainment
Olympus Has Fallen,18,Nu Image Films
Spring Breakers,15,RabbitBandini Productions
Shrek 2,7, DreamWorks Animation
Sunshine,8, Ingenious Film Partners
Scary Movie 2,13,Gold/Miller Productions
Norbit,6, Tollin/Robbins Productions
Conan the Barbarian,19, Paradox Entertainment
"As Above, So Below",18,Legendary Pictures
Room,4,Element Pictures
Transformers: Revenge of the Fallen,35, Platinum Dunes
Hot Tub Time Machine,20, Metro-Goldwyn-Mayer (MGM)
A Knight's Tale,15, Black and Blu Entertainment
"You, Me and Dupree",18,Universal Pictures
The Lincoln Lawyer,18, Lionsgate
Looney Tunes: Back in Action,28,Lonely Film Productions GmbH & Co. KG.
All About Steve,15,Dune Entertainment
The House Bunny,15,Columbia Pictures
Couples Retreat,15, Stuber Productions
War,3, Current Entertainment
Smart People,12, Corduroy Films
District 9,10, Key Creatives
Alfie,5, Patalex Productions
In the Heart of the Sea,23, K. JAM Media
Turbo,5,DreamWorks Animation
Did You Hear About The Morgans?,31,Columbia Pictures
Blood Ties,10, Les Productions du TrÃ©sor
Ladder 49,9, Fantail Films Inc.
Dream House,11, Morgan Creek Productions
X-Men: First Class,18, Dune Entertainment
Quartet,7,Headline Pictures
Man of the Year,15,Universal Pictures
Cursed,6, Dimension Films
Runner Runner,13, Appian Way
The Kite Runner,15, China Film Co-Production Corporation
Snow White and the Huntsman,27, Roth Films
Summer Catch,12, Warner Bros.
Bride Wars,10, Fox 2000 Pictures
Return to Never Land,20, Walt Disney Television Animation
Love & Other Drugs,18, Regency Enterprises
Uptown Girls,12,GreeneStreet Films
The Fourth Kind,15, Chambara Pictures
G.I. Joe: The Rise of Cobra,27,Paramount Pictures
The Curious Case of Benjamin Button,35, The
Igor,4, Exodus Productions
Wall Street: Money Never Sleeps,31,Twentieth Century Fox Film Corporation
Thank You for Smoking,21,Fox Searchlight Pictures
Pay It Forward,14, Warner Bros.
"I Love You, Man",15, De Line Pictures
Spy Game,8, Red Wagon Productions
Bringing Down The House,23, Touchstone Pictures
Get Hard,8, Warner Bros.
The Little Prince,17, CityMation
The Tale of Despereaux,22,Universal Pictures Corporation
The Best Exotic Marigold Hotel,30, Imagenation Abu Dhabi FZ
Elektra,7, Marvel Enterprises
Unbreakable,11, Blinding Edge Pictures
Armored,7, Stars Road Entertainment
Sparkle,7,TriStar Pictures
Blended,7, Karz Entertainment
Boogeyman,9, Screen Gems
The Matrix Revolutions,22, Silver Pictures
The School of Rock,18,Paramount Pictures
The Revenant,12, Appian Way
Four Christmases,16, Ott Medien
Atonement,9, Studio Canal
Alexander,9, Egmond Film & Television
Bedazzled,9, KirchMedia
Made of Honor,13,Columbia Pictures
Battle: Los Angeles,19,Columbia Pictures
Elysium,7, QED International
A Most Violent Year,19,Participant Media
Apollo 18,9, Dimension Films
Self/less,9,Endgame Entertainment
Hart's War,10, Cheyenne Enterprises
WALLÂ·E,7,Walt Disney Pictures
TRON: Legacy,12,Walt Disney Pictures
X2,2, Bad Hat Harry Productions
Whisper,7, Canadian Film or Video Production Tax Credit (CPTC)
The Great Debaters,18, Marshall Production
The Mummy: Tomb of the Dragon Emperor,37, China Film Co-Production Corporation
The Artist,10,France 3 CinÃ©ma
"Crazy, Stupid, Love.",20,Warner Bros.
Harry Potter and the Prisoner of Azkaban,40, Heyday Films
Watchmen,8, Warner Bros.
The Hitcher,11,Intrepid Pictures
Adventureland,13, Sidney Kimmel Entertainment
Furious 7,9,Universal Pictures
The Wedding Date,16,Universal Pictures
Zoom,4,Columbia Pictures
The Sentinel,12, Regency Enterprises
The Dark Knight Rises,21, Warner Bros.
The Fault in Our Stars,22, TSG Entertainment
Zodiac,6, Warner Bros.
Paycheck,8, Province of British Columbia Film Incentive BC
The Aviator,11,Appian Way
Underworld,10, Subterranean Productions UK Ltd.
Smokin' Aces,12, StudioCanal
Jack the Giant Slayer,21, Original Film
What Just Happened,18, Tribeca Productions
Cast Away,9,DreamWorks SKG
Mission: Impossible III,23, China Film Co-Production Corporation
Love & Other Drugs,18, Fox 2000 Pictures
No Country for Old Men,22, Scott Rudin Productions
Trapped,7,Senator Film Produktion
15 Minutes,10, Tribeca Productions
Batman Begins,13, Syncopy
Pitch Perfect 2,15,Universal Pictures
The Good German,15, Sunset Gower Studios
The Perfect Guy,15,Screen Gems
Dragonfly,9, Gran Via Productions
Twisted,7, Intertainment AG
Eagle Eye,9, Goldcrest Pictures
Brokeback Mountain,18, Alberta Film Entertainment
A History of Violence,21, DC Comics
X-Men,5, Bad Hat Harry Productions
The Boy in the Striped Pyjamas,30, BBC Films
Post Grad,9, Cold Spring Pictures
Two Weeks Notice,16, Fortis Films
Keeping the Faith,17, Touchstone Pictures
Batman Begins,13, Legendary Pictures
Annie,5, Sony Pictures Entertainment (SPE)
Gamer,5, Lionsgate
Confessions of a Shopaholic,27,Jerry Bruckheimer Films
The Scorpion King,17, Kalima Productions GmbH & Co. KG
Swimming Pool,13, FidÃ©litÃ© Productions
The Amazing Spider-Man,22, Laura Ziskin Productions
Cold Mountain,13, Castel Film Romania
The Fifth Estate,16, Reliance Entertainment
No Country for Old Men,22, Mike Zoss Productions
The Green Hornet,16, Reliance BIG Entertainment
Kingsman: The Secret Service,28, Marv Films
Troy,4, Radiant Productions
Michael Clayton,15, Mirage Enterprises
Poseidon,8, Irwin Allen Productions
The Fault in Our Stars,22,Fox 2000 Pictures
Snakes on a Plane,17,New Line Cinema
All Is Lost,11, Treehouse Pictures
Argo,4,GK Films
John Q,6, Evolution Entertainment
Wrath of the Titans,19, Furia de Titanes II
Old Dogs,8,Walt Disney Pictures
Edge of Tomorrow,16, Warner Bros.
Stealth,7, Original Film
Righteous Kill,14,Grosvenor Park Media Ltd.
Wicker Park,11,Lakeshore Entertainment
The Unborn,10, Phantom Four
Charlie's Angels: Full Throttle,31, Wonderland Sound and Vision
Wedding Crashers,16,New Line Cinema
The Water Diviner,17, Fear of God Films
The Break-Up,12, Wild West Picture Show Productions
Queen of the Damned,19, WV Films LLC
Snow White and the Huntsman,27,Universal Pictures
Honey,5, Marc Platt Productions
Saving Mr. Banks,16, Ruby Films
The Cell,8, Caro-McLeod
The Sorcerer's Apprentice,25, Junction Entertainment
Happy Feet,10, Kingdom Feature Productions
The Prince,10, Emmett/Furla Films
Man on Fire,11, New Regency Pictures
Avengers: Age of Ultron,23, Revolution Sun Studios
Along Came a Spider,19, AZL Productions KG
Super 8,7,Paramount Pictures
The Roommate,12,Vertigo Entertainment
Star Trek,9, Bad Robot
Taking Lives,12, Atmosphere Entertainment MM
Are We There Yet?,17, Revolution Studios
The Perfect Game,16, The
Ninja Assassin,14, Anarchos Productions
Into the Blue,13, Metro-Goldwyn-Mayer (MGM)
Cars 2,6, Pixar Animation Studios
A Christmas Carol,17, ImageMovers
Home,4,Twentieth Century Fox Film Corporation
Earth to Echo,13, Panay Films
Pitch Black,11, Polygram Filmed Entertainment
Man of Tai Chi,14, Dalian Wanda Group
Get Smart,9,Village Roadshow Pictures
Transformers: Age of Extinction,31, Di Bonaventura Pictures
The Chronicles of Riddick,25, One Race Productions
"Dude, Whereâ€™s My Car?",23, Alcon Entertainment
The International,17, Mosaic Media Group
Assault on Precinct 13,22, Why Not Productions
The Ghost Writer,16, Runteam Ltd.
The Legend of Hercules,22,Millennium Films
Chloe,5, The
Confessions of a Dangerous Mind,31, Allied Filmmakers
Fast & Furious,14, One Race Productions
The Interpreter,15, StudioCanal
Justin Bieber: Never Say Never,30,Insurge Pictures
The King's Speech,17, UK Film Council
Sweeney Todd: The Demon Barber of Fleet Street,46, The
Whiteout,8, Don Carmody Productions
Marmaduke,9,Twentieth Century Fox Film Corporation
The Eagle,9,Toledo Productions
The Mexican,11, Pistolero Productions LLC
Eragon,6, Dune Entertainment
The Weather Man,15,Paramount Pictures
While We're Young,17,Scott Rudin Productions
Blood Ties,10, Mars Distribution
Meet the Parents,16, Nancy Tenenbaum Films
Fur: An Imaginary Portrait of Diane Arbus,41,River Road Entertainment
Pearl Harbor,12, Touchstone Pictures
Katy Perry: Part of Me,22, Insurge Pictures
The Eye,7, VN Productions
The Railway Man,15, Lionsgate
The Machinist,13,Filmax Entertainment
Possession,10,Warner Bros. Pictures
The Man from U.N.C.L.E.,23, RatPac-Dune Entertainment
United 93,9, StudioCanal
Almost Famous,13,Columbia Pictures
Monkeybone,10,20th Century Fox
Ted 2,5, Media Rights Capital
The Adjustment Bureau,21, Media Rights Capital
Frozen,6,Walt Disney Pictures
Get Him to the Greek,20,Universal Pictures
Hellboy,7, Dark Horse Entertainment
Duplicity,9, Medienproduktion Poseidon Filmgesellschaft
The Three Musketeers,20,Impact Pictures
Bright Star,11, Screen Australia
Bandits,7, Metro-Goldwyn-Mayer (MGM)
