original_title,title_length,production_companies
Auto Focus,10, Good Machine
Avatar,6," Dune Entertainment,  Lightstorm Entertainment, Ingenious Film Partners"
Avengers: Age of Ultron,23," Revolution Sun Studios, Marvel Studios"
Awake,5,The Weinstein Company
Babel,5," Anonymous Content, Paramount Vantage"
Baby Mama,9," Michaels-Goldwyn, Relativity Media"
Babylon A.D.,12," CinÃ©CinÃ©ma,  Canal+,  Babylon"
Bad Boys II,11," Don Simpson/Jerry Bruckheimer Films, Columbia Pictures Corporation"
Bad Company,11,Jerry Bruckheimer Films
Bad Santa,9," Dimension Films (US version), Columbia Pictures"
Baggage Claim,13,Sneak Preview Productions
Bandits,7," Metro-Goldwyn-Mayer (MGM),  Empire Pictures,  Hyde Park Entertainment, Cheyenne Enterprises"
Bandslam,8,Summit Entertainment
Bangkok Dangerous,17," Initial Entertainment Group, Virtual Studios,  Saturn Films"
Banlieue 13,11," TF1 Films Production,  EuropaCorp, Canal Plus"
Barbershop 2:  Back in Business,31,Metro-Goldwyn-Mayer (MGM)
Barney's Version,16,Serendipity Point Films
Barnyard,8," Paramount Animation, Paramount Pictures,  Nickelodeon Movies"
Basic,5,Intermedia Films
Basic Instinct 2,16, Kanzaman
Batman Begins,13," Syncopy,  Legendary Pictures,  DC Entertainment"
Battle of the Year,18,Screen Gems
Battle: Los Angeles,19,Columbia Pictures
Battleship,10," Hasbro, Universal Pictures,  Bluegrass Films"
Be Cool,7," Metro-Goldwyn-Mayer (MGM), Double Feature Films,  Jersey Films,  Nina Saxon Film Design"
Beastly,7," Storefront Films, CBS Films,  Mel's Cite du Cinema"
Beauty Shop,11,Metro-Goldwyn-Mayer (MGM)
Becoming Jane,13," Bueprint Pictures,  2 Entertain, Ecosse Films"
Bedazzled,9,"Twentieth Century Fox Film Corporation,  KirchMedia,  Regency Enterprises"
Bedtime Stories,15," Happy Madison Productions,  Gunn Films"
Bee Movie,9,"Pacific Data Images (PDI),  DreamWorks Animation"
Before the Devil Knows You're Dead,34," Funky Buddha Productions,  Michael Cerenzie Productions,  Unity Productions, Capitol Films,  Linsefilm"
Begin Again,11," Exclusive Media Group,  Sycamore Pictures,  Apatow Productions"
Behind Enemy Lines,18,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Behind the Candelabra,21,HBO Films
Belle,5," Metrol Technology,  British Film Institute (BFI),  Pinewood Studios"
Beowulf,7," Shangri-La Entertainment,  ImageMovers, Paramount Pictures"
Beverly Hills Chihuahua,23,Walt Disney Pictures
Bewitched,9," Red Wagon Entertainment,  Bewitched"
Big Eyes,8," Silverwood Films,  Electric City Entertainment"
Big Fat Liar,12,Universal Pictures
Big Fish,8," Jinks/Cohen Company,  Columbia Pictures Corporation,  Tim Burton Productions, The Zanuck Company"
Big Hero 6,10,"Walt Disney Pictures,  Walt Disney Animation Studios"
Big Miracle,11,"Universal Pictures,  Working Title Films"
Big Momma's House,17," Regency Enterprises, Twentieth Century Fox Film Corporation"
Big Momma's House 2,19,"Twentieth Century Fox Film Corporation,  Firm Films,  Epsilon Motion Pictures,  Deep River Productions"
"Big Mommas: Like Father, Like Son",33," Regency Enterprises,  New Regency Pictures,  The Collective Studios"
Big Trouble,11,Touchstone Pictures
Billy Elliot,12," Arts Council of England,  Tiger Aspect Productions,  Working Title Films, BBC Films,  StudioCanal"
Birdman,7," New Regency Pictures,  Le Grisbi Productions,  M Productions"
Black Christmas,15,Dimension Films
Black Hawk Down,15," Revolution Studios,  Scott Free Productions"
Black Mass,10,"Infinitum Nihil,  Free State Pictures,  RatPac-Dune Entertainment"
Black Nativity,14,"Fox Searchlight Pictures,  Fox Searchlight"
Black Swan,10,Fox Searchlight Pictures
Blackhat,8," Legendary Pictures,  Forward Pass"
Blade II,8," Marvel Entertainment,  Milk & Honey,  LLC,  Imaginary Forces"
Blade: Trinity,14,"New Line Cinema,  Marvel Enterprises,  Shawn Danielle Productions Ltd.,  Amen Ra Films"
Blended,7," Karz Entertainment,  Warner Bros.,  Gulfstream Pictures"
Blood Diamond,13, Warner Bros.
Blood Ties,10,"Wild Bunch,  Les Productions du TrÃ©sor,  Mars Distribution,  Canal+"
Blood Work,10, Warner Bros. Pictures
BloodRayne,10,Boll KG
Blue Crush,10," Universal Pictures,  Mikona Productions GmbH & Co. KG"
Blue Jasmine,12,Perdido Productions
Boat Trip,9, Artisan Entertainment
Body of Lies,12," De Line Pictures,  Warner Bros., Scott Free Productions"
Boiler Room,11,New Line Cinema
Bolt,4, Walt Disney Animation Studios
Bones,5,New Line Cinema
Boogeyman,9," Screen Gems,  Pacific Renaissance Pictures Ltd.,  Senator International"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83,Twentieth Century Fox Film Corporation
Brick Mansions,14," D8, Canal+,  CinÃ©+"
Bride Wars,10," Fox 2000 Pictures,  Dune Entertainment III,  New Regency Pictures"
Brideshead Revisited,20," Ecosse Films,  HanWay Films,  UK Film Council,  2 Entertain, BBC Films"
Bridesmaids,11," Apatow Productions,  Relativity Media, Universal Pictures"
Bridge of Spies,15,"DreamWorks SKG,  Studio Babelsberg"
Bridge to Terabithia,20," Hal Lieberman Company,  Lauren Levine Productions Inc."
Bridget Jones's Diary,21," Studio Canal,  Little Bird, Miramax Films,  Working Title Films"
Bridget Jones: The Edge of Reason,33," Studio Canal,  Atlantic Television"
Bright Star,11," Screen Australia,  PathÃ© Renn Productions, BBC Films"
Bring It On,11,Beacon Communications
Bringing Down The House,23," Touchstone Pictures, Hyde Park Films"
Brokeback Mountain,18," Focus Features,  Alberta Film Entertainment, River Road Entertainment"
Broken City,11," New Regency Pictures,  Closest to the Hole Productions,  Inferno International"
Broken Flowers,14," Five Roses, Bac Films,  Focus Features"
Brooklyn,8," Irish Film Board,  Parallel Film Productions"
Brooklyn's Finest,17,"Nu Image Films,  Fuqua Films,  Langley Productions,  Thunder Road Productions"
Brothers,8," Sighvatsson Films,  Michael De Luca Productions"
Bruce Almighty,14," Shady Acres Entertainment,  Spyglass Entertainment, Universal Pictures"
Bullet to the Head,18,"Dark Castle Entertainment,  IM Global,  After Dark Films"
Burke & Hare,12,"Ealing Studios,  Fragile Films"
Burn After Reading,18," Studio Canal,  Relativity Media,  Working Title Films"
Burnt,5,"Double Feature Films,  3 Arts Entertainment"
Cake,4,"Echo Films,  Cinelou Films"
Calendar Girls,14, Touchstone Pictures
Capitalism: A Love Story,24, Paramount Vantage
Capote,6," Province of British Columbia Production Services Tax Credit,  Manitoba Film and Video Production Tax Credit,  Eagle Vision Inc., Sony Pictures Classics,  Cooper's Town Productions"
Captain America: The First Avenger,34,Marvel Studios
Captain America: The Winter Soldier,35,Marvel Studios
Captivity,9,"Foresight Unlimited,  Captivity Productions,  RAMCO"
Carnage,7," Zanagar Films,  Canal+,  CinÃ©CinÃ©ma, Wild Bunch,  Constantin Film Produktion"
Carol,5," Film4,  Number 9 Films"
Carrie,6, Metro-Goldwyn-Mayer (MGM)
Cars,4,"Walt Disney Pictures,  Pixar Animation Studios"
Cars 2,6," Pixar Animation Studios, Walt Disney Pictures"
Case 39,7," Misher Films,  Anonymous Content"
Cast Away,9,"DreamWorks SKG,  Playtone,  Twentieth Century Fox Film Corporation"
Catch Me If You Can,19," Kemp Company,  Splendid Pictures, DreamWorks SKG"
Catch and Release,17,Columbia Pictures Corporation
Cats & Dogs,11,"Village Roadshow Pictures,  NPV Entertainment,  Zide-Perry Productions"
Catwoman,8,"Village Roadshow Pictures,  DiNovi Pictures,  Maple Shade Films"
Centurion,9," UK Film Council,  Canal+,  Warner Bros.,  Celador Films"
Changeling,10," Relativity Media,  Malpaso Productions, Imagine Entertainment"
Changing Lanes,14,Paramount Pictures
Chappie,7," Sony Pictures Entertainment (SPE),  Alpha Core,  Genre Films"
Charlie St. Cloud,17, Relativity Media
Charlie Wilson's War,20," Playtone Production,  Participant Productions, Universal Pictures"
Charlie and the Chocolate Factory,33," Warner Bros.,  Plan B Entertainment,  Tim Burton Productions,  The Zanuck Company"
Charlie's Angels: Full Throttle,31," Wonderland Sound and Vision,  Flower Films (II)"
Cheaper by the Dozen,20,Twentieth Century Fox Film Corporation
Cheaper by the Dozen 2,22,Twentieth Century Fox Film Corporation
Chef,4," Fetisov Teterin Films, Open Road Films,  Aldamisa Entertainment,  Kilburn Media"
Chicago,7,"Miramax Films,  Storyline Entertainment"
Chicken Little,14,"Walt Disney Pictures,  Walt Disney Feature Animation"
Chicken Run,11," PathÃ©,  DreamWorks Animation"
Child 44,8,"Summit Entertainment,  Scott Free Productions"
Children of Men,15, Hit & Run Productions
Chloe,5," The,  Outpost Studios,  Montecito Picture Company, StudioCanal"
Chocolat,8," Fat Free,  David Brown Productions"
Chronicle,9,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Cinderella,10," Allison Shearmur Productions,  Beagle Pug Films,  Genre Films"
Cinderella Man,14," Imagine Entertainment, Miramax Films,  Parkway Pictures (I),  Universal Pictures"
Cirque du Freak: The Vampire's Assistant,40,Universal Pictures
City By The Sea,15," Epsilon Motion Pictures, Warner Bros. Pictures,  Sea Breeze Productions Inc.,  Brad Grey Pictures"
City of Ember,13, Walden Media
Clash of the Titans,19,"The Zanuck Company,  Warner Bros.,  Moving Picture Company (MPC)"
Clerks II,9,The Weinstein Company
Click,5,Original Film
Clockstoppers,13," Valhalla Motion Pictures,  Nickelodeon Movies"
Cloud Atlas,11," X-Filme Creative Pool, Anarchos Productions,  ARD Degeto Film"
Cloudy with a Chance of Meatballs,33,"Columbia Pictures,  Sony Pictures Animation"
Cloudy with a Chance of Meatballs 2,35," Sony, Columbia Pictures"
Cloverfield,11, Bad Robot
Club Dread,10," Coconut Pete Productions,  Broken Lizard Industries, Fox Searchlight Pictures"
Coach Carter,12,"Paramount Pictures,  MTV Films,  Tollin/Robbins Productions"
Cold Mountain,13," Castel Film Romania, Miramax Films,  Mirage Enterprises,  Cattleya,  Bona Fide Productions"
Collateral,10," Parkes/MacDonald Productions,  Edge City, Paramount Pictures,  DreamWorks SKG"
Collateral Damage,17," Bel Air Entertainment, David Foster Productions"
Colombiana,10," Canal+, TF1 Films Production,  Grive Productions,  CinÃ©CinÃ©ma"
Conan the Barbarian,19,"Dark Horse Entertainment,  Paradox Entertainment,  Nimar Studios"
Concussion,10," LStar Capital,  The Shuman Company,  The Cantillon Company"
Confessions of a Dangerous Mind,31," Allied Filmmakers, Miramax Films"
Confessions of a Shopaholic,27,"Jerry Bruckheimer Films,  Touchstone Pictures"
Connie and Carla,16,Universal Pictures
Constantine,11," DC Comics,  Branded Entertainment/Batfilm Productions"
Contagion,9," Warner Bros., Double Feature Films,  Regency Enterprises,  Participant Media"
Contraband,10," Relativity Media,  StudioCanal,  Leverage Management,  Closest to the Hole Productions, Universal Pictures"
Conviction,10," Omega Entertainment,  Prescience"
Cop Out,7,Warner Bros.
Coraline,8,Focus Features
Corky Romano,12," Touchstone Pictures, Robert Simonds Productions"
Corpse Bride,12," Will Vinton Studios,  Laika Entertainment"
Cosmopolis,10," Rai Cinema,  Alfama Films, France 2 CinÃ©ma"
Country Strong,14,"Maguire Entertainment,  Sony Pictures Home Entertainment,  Screen Gems"
Couples Retreat,15," Stuber Productions,  Wild West Picture Show Productions,  Relativity Media"
Cowboys & Aliens,16," DreamWorks SKG,  platinum studios"
Coyote Ugly,11,Jerry Bruckheimer Films
Cradle 2 the Grave,18," Warner Bros., Silver Pictures"
Crank,5," Lakeshore Entertainment, Lions Gate Films,  Radical Media,  GreeneStreet Films"
Crank: High Voltage,19,"Lakeshore Entertainment,  Lionsgate,  Radical Media"
Crash,5," ApolloProScreen Filmproduktion,  Bull's Eye Entertainment,  Bob Yari Productions"
Crazy Heart,11," Butcher's Run Films,  Informant Media, Fox Searchlight Pictures"
"Crazy, Stupid, Love.",20,Warner Bros.
Crazy/Beautiful,15,"Touchstone Pictures,  Ufland"
Creed,5," Metro-Goldwyn-Mayer (MGM), New Line Cinema"
Crimson Peak,12,Legendary Pictures
Crocodile Dundee in Los Angeles,31,"Bungalow Productions,  Vision View Entertainment,  Silver Lion Films"
Crossroads,10," MTV Films, Paramount Pictures"
Curious George,14," Universal Pictures, Imagine Entertainment"
Cursed,6," Kalis Productions GmbH & Co. Zweite KG,  Dimension Films,  Outerbanks Entertainment"
D-Tox,5,Universal Pictures
Daddy Day Camp,14,"Revolution Studios,  TriStar Pictures"
Daddy Day Care,14," Davis Entertainment, Columbia Pictures,  Revolution Studios"
Daddy's Home,12," Red Granite Pictures,  Gary Sanchez Productions,  Good Universe"
Daddy's Little Girls,20," The,  Tyler Perry Company, Lions Gate Films"
Dallas Buyers Club,18,"Universal Studios,  Voltage Pictures,  Universal Pictures"
Dan in Real Life,16,"Touchstone Pictures,  Jon Shestack Productions"
Dancer in the Dark,18," Zentropa Entertainments, Fine Line Features"
Daredevil,9," Marvel Enterprises,  Regency Enterprises, Twentieth Century Fox Film Corporation"
Dark Blue,9, Metro-Goldwyn-Mayer (MGM)
Dark Shadows,12," GK Films,  Tim Burton Productions, Village Roadshow Pictures,  Infinitum Nihil"
Dark Water,10," Touchstone Pictures,  Post No Bills Films, Vertigo Entertainment,  Pandemonium Productions"
Date Movie,10,"Regency Enterprises,  New Regency Pictures,  Epsilon Motion Pictures"
Date Night,10," Dune Entertainment,  21 Laps Entertainment, Twentieth Century Fox Film Corporation"
Dawn of the Dead,16," Toho-Towa,  Strike Entertainment,  Cruel and Unusual Films"
Dawn of the Planet of the Apes,30,"Ingenious Media,  TSG Entertainment,  Chernin Entertainment"
Daybreakers,11," Furst Films,  Pacific Film and Television Commission"
Dead Silence,12, Twisted Pictures
Dear John,9,Screen Gems
Death Race,10," Impact Pictures, Universal Pictures,  Cruise/Wagner Productions,  Scion Films,  Relativity Media"
Death Sentence,14," Brass Hat Films,  Hyde Park Entertainment,  Baldwin Entertainment Group"
Death at a Funeral,18,Parabolic Pictures
Deception,9," Dune Entertainment III, Rifkin-Eberts"
Defiance,8," The,  Pistachio Pictures,  Bedford Falls Company,  Defiance Productions"
Delivery Man,12," Touchstone Pictures, DreamWorks SKG"
Derailed,8," Patalex V Productions Limited, Miramax Films,  Di Bonaventura Pictures"
Despicable Me,13,"Universal Pictures,  Illumination Entertainment"
Despicable Me 2,15, Illumination Entertainment
Deux frÃ¨res,12," TF1 Films Production, PathÃ© Renn Productions,  Two Brothers Productions,  Canal+"
Devil,5," Night Chronicles, Universal Pictures,  Media Rights Capital,  Relativity Media"
Devil's Due,11," Davis Entertainment,  TSG Entertainment, Twentieth Century Fox Film Corporation"
Diana,5," Filmgate Films,  Film i VÃ¤st,  Le Pacte,  Scope Pictures"
Diary of a Wimpy Kid: Dog Days,30,Fox 2000 Pictures
Diary of a Wimpy Kid: Rodrick Rules,35,"Fox 2000 Pictures,  Color Force"
Did You Hear About The Morgans?,31,"Columbia Pictures,  Castle Rock Entertainment,  Banter"
Dinner for Schmucks,19," Everyman Pictures,  DreamWorks SKG, Paramount Pictures"
Dinosaur,8,"Walt Disney Pictures,  Walt Disney Feature Animation"
Dirty Dancing: Havana Nights,28,"Miramax Films,  Havana Nights LLC,  Lions Gate Films,  Lawrence Bender Productions"
Disaster Movie,14," 3 in the Box, Grosvenor Park Media Ltd."
Disconnect,10," Liddell Entertainment,  LD Entertainment,  Wonderful Films PLC"
District 9,10," Key Creatives,  Canadian Film or Video Production Tax Credit (CPTC)"
Disturbia,9," The, Paramount Pictures,  Cold Spring Pictures"
Divergent,9, Red Wagon Entertainment
DodgeBall: A True Underdog Story,32,"Twentieth Century Fox Film Corporation,  Mediastream Vierte Film GmbH & Co. Vermarktungs KG,  Red Hour Films"
Dolphin Tale,12," Arc Productions, Alcon Entertainment"
Dolphin Tale 2,14, Color Force
Domino,6," Metropolitan Filmexport, New Line Cinema"
Don't Be Afraid of the Dark,27," FilmDistrict,  Necropia,  Tequila Gang"
Don't Say a Word,16," Village Roadshow Pictures,  Kopelson Entertainment,  NPV Entertainment, 20th Century Fox"
Doom,4," John Wells Productions,  Babelsberg Film,  Stillking Films"
Doomsday,8,"Rogue Pictures,  Internationale Filmproduktion Blackbird Dritte,  Intrepid Pictures,  Moonlighting Films"
Doubt,5,Miramax Films
Down with Love,14," Mediastream Dritte Film,  Jinks/Cohen Company"
Dracula 2000,12," Wes Craven Films, Neo Art & Logic,  Dimension Films"
Dracula Untold,14, Michael De Luca Productions
Drag Me to Hell,15," Buckaroo Entertainment, Universal Pictures,  Ghost House Pictures,  Curse Productions"
Dragonfly,9," Gran Via Productions, Universal Pictures"
Dream House,11, Morgan Creek Productions
Dreamcatcher,12," NPV Entertainment,  WV Films II,  Kasdan Pictures, Village Roadshow Pictures"
Dreamgirls,10,"Paramount Pictures,  Laurence Mark Productions"
Dredd,5," Reliance BIG Entertainment,  Rena Film, DNA Films,  IM Global"
Drive,5," Marc Platt Productions,  Odd Lot Entertainment, Bold Films"
Drive Angry,11," Michael De Luca Productions,  Nu Image Films,  Saturn Films,  Millennium Films"
Driven,6," Franchise Pictures,  Trackform Film Productions,  Mel's Cite du Cinema"
"Dude, Whereâ€™s My Car?",23, Alcon Entertainment
Due Date,8,"Legendary Pictures,  Warner Bros.,  Green Hat Films"
Dumb and Dumber To,18," Red Granite Pictures, New Line Cinema,  Universal Pictures"
Dumb and Dumberer: When Harry Met Lloyd,39,New Line Cinema
Dungeons & Dragons,18,New Line Cinema
Duplicity,9," Medienproduktion Poseidon Filmgesellschaft, Universal Pictures,  Laura Bickford Productions,  Relativity Media"
Dylan Dog: Dead of Night,24," platinum studios,  Long Distance Films"
DÃ©jÃ  Vu,9,"Jerry Bruckheimer Films,  Scott Free Productions"
Eagle Eye,9," Goldcrest Pictures,  K/O Paper Products"
Earth,5,BBC
Earth to Echo,13," Panay Films, Walt Disney Studios Motion Pictures"
Eastern Promises,16," Astral Media,  TÃ©lÃ©film Canada,  Scion Films"
Easy A,6, Olive Bridge Entertainment
Eat Pray Love,13," Red Om Films, Columbia Pictures"
Edge of Darkness,16,"Icon Productions,  BBC Films,  Warner Bros."
Edge of Tomorrow,16," Warner Bros.,  Province of British Columbia Production Services Tax Credit, Village Roadshow Pictures"
Eight Below,11," Spyglass Entertainment,  The,  Mandeville Films, Walt Disney Pictures"
Elektra,7," Epsilon Motion Pictures,  Marvel Enterprises,  New Regency Pictures"
Elf,3," Gold/Miller Productions, New Line Cinema,  Guy Walks into a Bar Productions"
