"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Minority-owned firms, 2012","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons per household, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Nonminority-owned firms, 2012","Persons under 18 years, percent, July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","Persons in poverty, percent","Men-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Population estimates, July 1, 2016,  (V2016)","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Population per square mile, 2010","Population, Census, April 1, 2010","Total employment, 2015","With a disability, under age 65 years, percent, 2011-2015","Owner-occupied housing unit rate, 2011-2015","Persons  without health insurance, under age 65 years, percent","Median gross rent, 2011-2015","Total merchant wholesaler sales, 2012 ($1,000)","All firms, 2012","Female persons, percent,  July 1, 2016,  (V2016)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Median selected monthly owner costs -with a mortgage, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Asian alone, percent, July 1, 2016,  (V2016)","Building permits, 2016","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Total employer establishments, 2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Persons under 5 years, percent, April 1, 2010","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Women-owned firms, 2012","Nonveteran-owned firms, 2012",Fact,"Hispanic or Latino, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Two or More Races, percent, July 1, 2016,  (V2016)","Total nonemployer establishments, 2015","Households, 2011-2015","Foreign born persons, percent, 2011-2015","Veteran-owned firms, 2012","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons 65 years and over, percent, April 1, 2010","Total annual payroll, 2015 ($1,000)","Housing units,  July 1, 2016,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Housing units, April 1, 2010","Total accommodation and food services sales, 2012 ($1,000)","Population estimates base, April 1, 2010,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Land area in square miles, 2010","Total employment, percent change, 2014-2015"
14.60%,"185,043",6.10%,2.62,"$65,015 ","450,109",22.20%,50.90%,11.00%,"353,012",19.80%,15.40%,27.9,"8,411,808",64.70%,23.20%,202.6,"8,001,024","3,198,718",7.70%,66.20%,10.10%,"$1,116 ","86,613,641","653,193",50.80%,"47,705,003","110,002,385","$1,711 ",0.50%,"96,389,872",6.60%,"31,132",62.40%,"$13,438 ","197,384",$433 ,84.40%,6.40%,60.80%,"236,290","548,439",Virginia,9.10%,0.10%,88.30%,2.90%,"576,446","3,062,783",11.70%,"76,434","$34,152 ",12.20%,"165,788,897","3,491,054",5.10%,70.00%,"706,539","$245,000 ","3,364,939","17,795,901","8,001,041",36.30%,"39,490.09",1.20%
14.50%,"3,190",7.30%,2.32,"$57,181 ","62,271",23.30%,49.50%,10.70%,"37,016",2.90%,5.60%,17.2,"757,952",69.30%,22.30%,9.70,"672,591","365,893",6.80%,64.10%,8.10%,$709 ,"28,150,837","68,270",48.70%,"5,418,355","15,519,816","$1,243 ",5.50%,"14,427,360",1.50%,"3,981",85.00%,"$22,183 ","24,848",$423 ,82.20%,6.60%,65.00%,"20,316","56,904",North Dakota,3.60%,0.10%,91.70%,2.10%,"53,263","299,638",3.20%,"6,584","$32,035 ",14.50%,"17,184,756","368,624",12.70%,87.90%,"51,179","$153,800 ","317,498","2,045,123","672,591",27.70%,"69,000.80",1.40%
14.80%,"92,807",6.20%,2.56,"$61,062 ","426,697",22.40%,50.20%,11.30%,"262,650",4.10%,18.90%,26.3,"7,288,000",63.50%,23.50%,101.2,"6,724,540","2,602,408",8.90%,62.50%,6.90%,"$1,014 ","83,313,366","541,522",50.00%,"43,966,889","118,924,049","$1,731 ",1.90%,"131,530,601",8.60%,"44,077",69.50%,"$17,243 ","182,913",$511 ,82.50%,6.50%,58.50%,"187,677","461,401",Washington,12.40%,0.80%,90.40%,4.60%,"444,135","2,668,912",13.40%,"49,331","$31,762 ",12.30%,"149,258,789","3,025,685",8.40%,80.00%,"564,864","$259,500 ","2,885,677","14,297,278","6,724,545",32.90%,"66,455.52",2.90%
15.10%,"74,824",6.30%,2.64,"$39,665 ","155,094",24.10%,51.40%,20.80%,"125,079",37.70%,3.90%,24.1,"2,988,726",57.50%,25.50%,63.2,"2,967,297","926,391",11.90%,68.40%,13.90%,$717 ,"28,302,952","235,454",51.50%,"16,630,587","37,053,190","$1,077 ",0.60%,"66,441,608",1.10%,"6,886",56.90%,"$12,413 ","58,662",$341 ,86.10%,7.10%,53.70%,"89,159","198,566",Mississippi,3.10%,0.10%,82.30%,1.20%,"211,955","1,096,593",2.30%,"26,789","$21,057 ",12.80%,"33,948,151","1,307,441",0.70%,59.30%,"184,774","$103,100 ","1,274,719","6,999,175","2,968,103",20.70%,"46,923.27",1.60%
19.40%,"4,339",4.90%,2.34,"$49,331 ","131,322",19.10%,51.10%,12.50%,"79,243",1.50%,6.60%,23.6,"1,331,479",63.40%,20.70%,43.1,"1,328,361","500,549",11.90%,71.20%,9.90%,$777 ,"12,961,262","139,570",51.00%,"10,297,043","21,521,714","$1,336 ",0.70%,"16,044,543",1.20%,"4,010",93.50%,"$16,192 ","40,801",$477 ,85.90%,5.20%,59.90%,"42,067","115,839",Maine,1.60%,Z,91.60%,1.70%,"113,012","553,284",3.50%,"15,689","$27,655 ",15.90%,"20,413,159","730,705",0.20%,94.80%,"119,058","$173,800 ","721,830","2,901,347","1,328,364",29.00%,"30,842.92",1.60%
16.10%,"56,113",5.20%,2.57,"$70,331 ","259,614",21.10%,51.30%,9.80%,"187,845",11.80%,21.90%,25.4,"3,576,452",67.20%,22.90%,738.1,"3,574,097","1,503,102",7.10%,67.00%,5.70%,"$1,075 ","161,962,244","326,693",51.20%,"29,573,119","51,632,467","$2,067 ",0.50%,"55,160,095",4.70%,"5,504",67.70%,"$14,381 ","89,232",$833 ,87.80%,5.70%,62.80%,"106,678","281,182",Connecticut,15.70%,0.10%,89.90%,2.30%,"272,809","1,352,583",13.90%,"31,056","$38,803 ",14.20%,"92,555,072","1,499,116",0.10%,80.60%,"199,331","$270,500 ","1,487,891","9,542,068","3,574,114",37.60%,"4,842.36",1.20%
16.80%,"41,456",5.80%,2.51,"$51,243 ","285,028",21.20%,50.50%,13.30%,"165,691",2.10%,15.10%,22.9,"4,093,465",62.10%,22.60%,39.90,"3,831,074","1,498,727",10.20%,61.30%,7.30%,$907 ,"48,325,261","339,305",50.50%,"24,956,816","49,481,054","$1,557 ",1.80%,"51,349,948",4.50%,"19,586",76.40%,"$12,690 ","112,393",$469 ,81.90%,6.20%,57.60%,"123,015","288,790",Oregon,12.80%,0.40%,89.80%,3.80%,"278,839","1,533,430",9.90%,"30,918","$27,684 ",13.90%,"71,006,598","1,732,786",6.80%,87.40%,"306,723","$237,300 ","1,675,562","8,466,788","3,831,072",30.80%,"95,988.01",3.80%
16.10%,"40,507",5.80%,2.43,"$53,357 ","379,934",22.30%,50.40%,11.80%,"236,252",6.60%,8.70%,21.9,"5,778,708",67.10%,23.60%,105,"5,686,986","2,503,532",8.20%,67.30%,6.20%,$776 ,"77,066,883","432,980",50.30%,"40,680,625","78,201,822","$1,402 ",1.10%,"177,728,926",2.80%,"19,274",81.70%,"$13,656 ","139,500",$532 ,85.80%,6.30%,63.50%,"133,859","370,755",Wisconsin,6.70%,0.10%,91.00%,1.90%,"341,935","2,299,107",4.80%,"39,830","$28,340 ",13.70%,"112,406,494","2,668,444",1.60%,87.50%,"381,940","$165,800 ","2,624,358","10,303,256","5,687,289",27.80%,"54,157.80",2.20%
12.00%,"1,070,392",7.20%,2.84,"$53,207 ","1,224,845",26.20%,50.40%,15.60%,"1,251,696",12.60%,35.00%,25.6,"27,862,596",64.30%,27.30%,96.3,"25,145,561","10,239,710",8.10%,62.20%,18.60%,$882 ,"691,242,607","2,356,748",50.40%,"145,035,130","356,116,376","$1,432 ",1.00%,"702,603,073",4.80%,"165,853",42.60%,"$13,666 ","569,091",$460 ,83.30%,7.70%,57.70%,"866,678","2,057,218",Texas,39.10%,0.10%,81.90%,1.90%,"2,205,149","9,149,196",16.60%,"213,590","$26,999 ",10.30%,"521,095,797","10,753,629",10.80%,79.40%,"1,539,655","$136,000 ","9,977,436","54,480,811","25,146,100",27.60%,"261,231.71",3.20%
15.00%,"64,875",6.80%,2.57,"$46,879 ","249,027",24.50%,50.50%,16.30%,"174,395",7.80%,9.80%,21.3,"3,923,561",61.10%,24.80%,54.70,"3,751,351","1,370,988",11.30%,66.10%,16.10%,$727 ,"71,892,946","327,229",50.50%,"22,795,438","50,256,231","$1,147 ",9.20%,"74,295,394",2.20%,"12,092",66.20%,"$13,174 ","93,093",$370 ,82.60%,7.00%,55.70%,"105,168","273,491",Oklahoma,10.30%,0.20%,86.90%,6.10%,"276,218","1,455,321",5.80%,"36,273","$25,032 ",13.50%,"59,124,620","1,721,045",4.60%,74.60%,"295,847","$117,900 ","1,664,378","7,121,153","3,751,615",24.10%,"68,594.92",0.80%
16.40%,"14,707",6.40%,2.42,"$53,183 ","236,561",23.30%,50.50%,11.80%,"135,382",3.70%,7.40%,18.9,"3,134,693",67.60%,23.90%,54.5,"3,046,355","1,338,418",7.90%,71.50%,5.00%,$697 ,"62,318,301","259,121",50.30%,"18,583,828","44,905,624","$1,171 ",0.50%,"116,668,830",2.50%,"14,317",86.20%,"$14,607 ","80,952",$434 ,84.80%,6.60%,63.30%,"82,345","217,779",Iowa,5.80%,0.10%,91.50%,1.80%,"207,167","1,236,409",4.70%,"25,889","$27,950 ",14.90%,"55,079,743","1,380,162",2.90%,91.40%,"211,066","$129,200 ","1,336,417","5,468,687","3,046,869",26.70%,"55,857.13",1.70%
17.50%,"14,440",5.80%,2.62,"$60,509 ","54,782",21.50%,51.60%,11.70%,"38,328",22.60%,12.90%,25.5,"952,065",63.10%,22.90%,460.8,"897,934","397,385",8.50%,71.20%,6.60%,"$1,018 ","5,628,914","73,418",51.60%,"7,003,251","14,456,001","$1,537 ",0.60%,"22,597,384",4.00%,"5,804",62.90%,"$15,763 ","24,852",$445 ,86.60%,6.20%,59.40%,"23,964","60,318",Delaware,9.20%,0.10%,88.40%,2.60%,"60,734","344,022",8.70%,"7,206","$30,554 ",14.40%,"21,305,227","426,149",6.00%,70.10%,"71,213","$231,500 ","405,885","2,148,437","897,936",30.00%,"1,948.54",1.50%
16.70%,"83,233",5.90%,2.56,"$45,483 ","276,269",22.10%,51.40%,15.30%,"202,446",27.50%,6.90%,23.9,"4,961,119",60.10%,23.40%,153.90,"4,625,364","1,662,251",10.30%,68.60%,11.90%,$790 ,"45,520,900","367,726",51.50%,"22,941,292","58,093,824","$1,183 ",0.50%,"99,160,840",1.60%,"32,165",63.90%,"$12,298 ","103,973",$347 ,84.70%,6.50%,56.20%,"131,856","303,137",South Carolina,5.50%,0.10%,85.60%,1.80%,"329,431","1,815,094",4.80%,"47,987","$24,604 ",13.70%,"66,120,263","2,236,153",7.30%,68.50%,"378,959","$139,900 ","2,137,683","9,763,818","4,625,410",25.80%,"30,060.70",2.80%
16.20%,"122,653",6.00%,2.46,"$49,429 ","759,569",22.50%,51.20%,14.60%,"510,078",12.80%,6.70%,23.2,"11,614,373",63.30%,23.70%,282.30,"11,536,504","4,719,985",9.90%,66.30%,6.60%,$730 ,"155,426,023","904,814",51.00%,"80,915,693","153,553,997","$1,246 ",0.30%,"313,629,976",2.20%,"22,816",79.50%,"$13,301 ","251,668",$444 ,85.30%,6.20%,59.00%,"306,824","776,193",Ohio,3.70%,0.10%,89.10%,2.20%,"763,418","4,585,084",4.10%,"91,316","$26,953 ",14.10%,"213,161,303","5,164,361",0.70%,82.50%,"806,531","$129,900 ","5,127,508","20,652,777","11,536,727",26.10%,"40,860.69",1.80%
17.40%,"131,512",5.60%,2.49,"$53,599 ","818,858",20.90%,51.30%,12.90%,"579,400",11.80%,10.60%,26.3,"12,784,227",62.80%,22.00%,283.90,"12,702,379","5,306,896",9.50%,69.20%,6.70%,$840 ,"191,170,147","975,453",51.00%,"96,329,248","178,794,945","$1,425 ",0.40%,"231,396,178",3.50%,"23,303",77.00%,"$14,008 ","299,695",$498 ,88.00%,5.70%,58.30%,"304,803","837,792",Pennsylvania,7.00%,0.10%,89.20%,1.90%,"811,890","4,958,859",6.30%,"97,969","$29,291 ",15.40%,"257,626,942","5,612,002",0.60%,82.40%,"870,770","$166,000 ","5,567,315","23,504,192","12,702,857",28.60%,"44,742.70",1.00%
18.10%,"2,354",4.90%,2.34,"$55,176 ","70,491",19.00%,50.70%,11.90%,"41,270",1.30%,5.40%,22.5,"624,594",66.60%,20.70%,67.9,"625,741","266,363",10.00%,71.00%,4.50%,$895 ,"6,450,076","75,827",50.60%,"4,457,996","9,933,751","$1,535 ",0.40%,"9,315,494",1.80%,"1,771",93.10%,"$15,868 ","21,121",$641 ,86.50%,5.10%,63.60%,"23,417","63,317",Vermont,1.90%,Z,91.80%,1.90%,"60,312","257,167",4.30%,"8,237","$29,894 ",14.60%,"10,615,093","329,525",-0.20%,94.60%,"44,708","$217,500 ","322,539","1,564,272","625,741",36.00%,"9,216.66",2.00%
15.00%,"14,571",7.00%,2.47,"$52,997 ","144,122",24.80%,50.40%,11.40%,"83,696",5.00%,10.80%,18.3,"1,907,116",69.90%,25.10%,23.8,"1,826,341","870,279",7.30%,66.20%,9.90%,$726 ,"42,618,995","164,089",50.20%,"12,869,418","30,470,717","$1,270 ",1.40%,"57,499,177",2.50%,"8,078",79.60%,"$16,422 ","53,719",$471 ,83.70%,7.20%,65.20%,"51,936","137,254",Nebraska,10.70%,0.10%,90.70%,2.10%,"131,518","736,613",6.60%,"16,693","$27,882 ",13.50%,"36,967,924","827,156",4.40%,88.90%,"132,918","$133,200 ","796,793","3,094,498","1,826,334",29.30%,"76,824.17",2.30%
15.30%,"237,242",5.80%,2.73,"$72,093 ","533,808",22.20%,51.30%,10.40%,"464,592",15.00%,30.50%,31.0,"8,944,469",65.90%,23.50%,"1,195.50","8,791,894","3,558,619",6.60%,64.50%,9.20%,"$1,192 ","288,467,844","792,088",51.20%,"60,375,232","133,665,728","$2,386 ",0.60%,"108,854,971",9.80%,"26,793",55.80%,"$15,079 ","230,961",$973 ,90.20%,6.20%,60.60%,"252,944","707,975",New Jersey,20.00%,0.10%,88.60%,2.20%,"670,765","3,189,486",21.70%,"57,996","$36,582 ",13.50%,"209,072,015","3,604,409",1.70%,72.40%,"393,277","$315,900 ","3,553,562","19,673,558","8,791,953",36.80%,"7,354.22",0.90%
15.00%,"26,127",6.70%,2.53,"$52,205 ","204,562",24.60%,50.40%,12.10%,"125,169",6.20%,11.30%,19.1,"2,907,289",66.30%,25.50%,34.9,"2,853,118","1,189,876",8.60%,66.70%,10.10%,$757 ,"60,226,324","239,118",50.20%,"18,248,370","38,276,461","$1,282 ",1.20%,"86,076,260",3.00%,"9,807",76.30%,"$13,263 ","74,526",$455 ,83.50%,7.20%,61.60%,"77,194","203,401",Kansas,11.60%,0.10%,90.20%,2.90%,"195,777","1,113,472",6.90%,"21,610","$27,706 ",13.20%,"51,259,676","1,259,864",1.90%,86.60%,"198,396","$132,000 ","1,233,215","4,873,411","2,853,129",31.00%,"81,758.72",1.00%
