23.2,25.6,23.9,26.8,24.2,24.8,20.2,18.3,26.9,24.8,27.9,17.2,26.3,24.1,23.6,25.4,22.9,21.9,25.6,21.3,18.9,25.5,23.9,23.2,26.3,22.5,18.3,31.0,19.1
"6,093,000","1,831,102","2,940,058","1,428,557","9,928,300","6,931,071","1,683,140","585,501","1,334,795","5,540,545","8,411,808","757,952","7,288,000","2,988,726","1,331,479","3,576,452","4,093,465","5,778,708","27,862,596","3,923,561","3,134,693","952,065","4,961,119","11,614,373","12,784,227","624,594","1,907,116","8,944,469","2,907,289"
63.20%,53.90%,64.00%,61.50%,61.20%,59.30%,62.60%,67.70%,68.20%,67.60%,64.70%,69.30%,63.50%,57.50%,63.40%,67.20%,62.10%,67.10%,64.30%,61.10%,67.60%,63.10%,60.10%,63.30%,62.80%,66.60%,69.90%,65.90%,66.30%
23.80%,20.90%,24.60%,22.30%,23.70%,25.50%,27.40%,24.00%,21.80%,24.40%,23.20%,22.30%,23.50%,25.50%,20.70%,22.90%,22.60%,23.60%,27.30%,24.80%,23.90%,22.90%,23.40%,23.70%,22.00%,20.70%,25.10%,23.50%,25.50%
87.1,77.1,24.6,211.8,174.8,56.3,19,5.8,147,48.5,202.6,9.70,101.2,63.2,43.1,738.1,39.90,105,96.3,54.70,54.5,460.8,153.90,282.30,283.90,67.9,23.8,"1,195.50",34.9
"5,988,927","1,852,994","2,700,551","1,360,301","9,883,640","6,392,017","1,567,582","563,626","1,316,470","5,029,196","8,001,024","672,591","6,724,540","2,967,297","1,328,361","3,574,097","3,831,074","5,686,986","25,145,561","3,751,351","3,046,355","897,934","4,625,364","11,536,504","12,702,379","625,741","1,826,341","8,791,894","2,853,118"
"2,442,316","565,435","1,129,965","523,677","3,725,280","2,295,186","546,524","219,881","576,424","2,253,795","3,198,718","365,893","2,602,408","926,391","500,549","1,503,102","1,498,727","2,503,532","10,239,710","1,370,988","1,338,418","397,385","1,662,251","4,719,985","5,306,896","266,363","870,279","3,558,619","1,189,876"
10.40%,14.40%,9.00%,6.50%,10.30%,8.20%,9.00%,8.50%,8.50%,7.20%,7.70%,6.80%,8.90%,11.90%,11.90%,7.10%,10.20%,8.20%,8.10%,11.30%,7.90%,8.50%,10.30%,9.90%,9.50%,10.00%,7.30%,6.60%,8.60%
67.20%,72.50%,55.10%,56.90%,71.00%,62.80%,68.90%,69.10%,71.00%,64.30%,66.20%,64.10%,62.50%,68.40%,71.20%,67.00%,61.30%,67.30%,62.20%,66.10%,71.50%,71.20%,68.60%,66.30%,69.20%,71.00%,66.20%,64.50%,66.70%
10.50%,6.50%,13.10%,4.20%,6.30%,11.90%,11.80%,13.40%,7.10%,8.60%,10.10%,8.10%,6.90%,13.90%,9.90%,5.70%,7.30%,6.20%,18.60%,16.10%,5.00%,6.60%,11.90%,6.60%,6.70%,4.50%,9.90%,9.20%,10.10%
$746 ,$643 ,$973 ,"$1,438 ",$783 ,$913 ,$743 ,$789 ,"$1,000 ","$1,002 ","$1,116 ",$709 ,"$1,014 ",$717 ,$777 ,"$1,075 ",$907 ,$776 ,$882 ,$727 ,$697 ,"$1,018 ",$790 ,$730 ,$840 ,$895 ,$726 ,"$1,192 ",$757 
"91,916,351","14,295,437","19,841,701","9,607,982","115,704,903","69,437,272","17,906,012","5,597,891","18,029,179","77,034,971","86,613,641","28,150,837","83,313,366","28,302,952","12,961,262","161,962,244","48,325,261","77,066,883","691,242,607","71,892,946","62,318,301","5,628,914","45,520,900","155,426,023","191,170,147","6,450,076","42,618,995","288,467,844","60,226,324"
"491,606","114,435","227,156","118,454","834,087","499,926","146,642","62,427","131,638","547,352","653,193","68,270","541,522","235,454","139,570","326,693","339,305","432,980","2,356,748","327,229","259,121","73,418","367,726","904,814","975,453","75,827","164,089","792,088","239,118"
50.90%,50.50%,49.90%,49.80%,50.80%,50.30%,49.90%,48.90%,50.50%,49.70%,50.80%,48.70%,50.00%,51.50%,51.00%,51.20%,50.50%,50.30%,50.40%,50.50%,50.30%,51.60%,51.50%,51.00%,51.00%,50.60%,50.20%,51.20%,50.20%
"40,089,316","12,259,395","13,928,514","8,136,947","63,018,786","37,055,881","7,895,614","3,291,478","9,616,460","29,488,161","47,705,003","5,418,355","43,966,889","16,630,587","10,297,043","29,573,119","24,956,816","40,680,625","145,035,130","22,795,438","18,583,828","7,003,251","22,941,292","80,915,693","96,329,248","4,457,996","12,869,418","60,375,232","18,248,370"
"90,546,581","22,637,923","38,234,170","18,901,745","119,302,046","84,716,542","20,444,278","9,446,043","26,018,201","67,815,200","110,002,385","15,519,816","118,924,049","37,053,190","21,521,714","51,632,467","49,481,054","78,201,822","356,116,376","50,256,231","44,905,624","14,456,001","58,093,824","153,553,997","178,794,945","9,933,751","30,470,717","133,665,728","38,276,461"
"$1,210 ",$966 ,"$1,442 ","$2,270 ","$1,257 ","$1,343 ","$1,189 ","$1,348 ","$1,870 ","$1,577 ","$1,711 ","$1,243 ","$1,731 ","$1,077 ","$1,336 ","$2,067 ","$1,557 ","$1,402 ","$1,432 ","$1,147 ","$1,171 ","$1,537 ","$1,183 ","$1,246 ","$1,425 ","$1,535 ","$1,270 ","$2,386 ","$1,282 "
0.60%,0.20%,1.60%,0.40%,0.70%,5.40%,1.80%,2.70%,0.30%,1.60%,0.50%,5.50%,1.90%,0.60%,0.70%,0.50%,1.80%,1.10%,1.00%,9.20%,0.50%,0.60%,0.50%,0.30%,0.40%,0.40%,1.40%,0.60%,1.20%
"111,535,362","24,553,072","14,719,141",D,"238,892,383","51,243,473","20,201,432","10,783,794","18,895,624","50,447,098","96,389,872","14,427,360","131,530,601","66,441,608","16,044,543","55,160,095","51,349,948","177,728,926","702,603,073","74,295,394","116,668,830","22,597,384","99,160,840","313,629,976","231,396,178","9,315,494","57,499,177","108,854,971","86,076,260"
2.00%,0.80%,8.70%,37.70%,3.10%,3.40%,1.50%,1.00%,2.70%,3.30%,6.60%,1.50%,8.60%,1.10%,1.20%,4.70%,4.50%,2.80%,4.80%,2.20%,2.50%,4.00%,1.60%,2.20%,3.50%,1.80%,2.50%,9.80%,3.00%
"18,997","2,544","17,952","3,369","20,408","35,578","12,165","1,727","3,796","38,974","31,132","3,981","44,077","6,886","4,010","5,504","19,586","19,274","165,853","12,092","14,317","5,804","32,165","22,816","23,303","1,771","8,078","26,793","9,807"
79.70%,92.30%,49.90%,22.10%,75.40%,55.50%,82.40%,84.10%,90.80%,68.60%,62.40%,85.00%,69.50%,56.90%,93.50%,67.70%,76.40%,81.70%,42.60%,66.20%,86.20%,62.90%,63.90%,79.50%,77.00%,93.10%,79.60%,55.80%,76.30%
"$15,036 ","$12,201 ","$13,858 ","$13,576 ","$12,071 ","$12,927 ","$12,812 ","$16,388 ","$19,700 ","$13,073 ","$13,438 ","$22,183 ","$17,243 ","$12,413 ","$16,192 ","$14,381 ","$12,690 ","$13,656 ","$13,666 ","$13,174 ","$14,607 ","$15,763 ","$12,298 ","$13,301 ","$14,008 ","$15,868 ","$16,422 ","$15,079 ","$13,263 "
"158,191","36,993","63,383","31,915","219,627","136,352","44,757","21,040","37,669","161,737","197,384","24,848","182,913","58,662","40,801","89,232","112,393","139,500","569,091","93,093","80,952","24,852","103,973","251,668","299,695","21,121","53,719","230,961","74,526"
$402 ,$293 ,$410 ,$505 ,$461 ,$380 ,$340 ,$386 ,$747 ,$419 ,$433 ,$423 ,$511 ,$341 ,$477 ,$833 ,$469 ,$532 ,$460 ,$370 ,$434 ,$445 ,$347 ,$444 ,$498 ,$641 ,$471 ,$973 ,$455 
83.90%,88.20%,78.80%,85.10%,85.30%,81.30%,82.40%,81.90%,86.50%,80.80%,84.40%,82.20%,82.50%,86.10%,85.90%,87.80%,81.90%,85.80%,83.30%,82.60%,84.80%,86.60%,84.70%,85.30%,88.00%,86.50%,83.70%,90.20%,83.50%
6.50%,5.60%,6.90%,6.40%,6.00%,7.10%,7.80%,7.10%,5.30%,6.80%,6.40%,6.60%,6.50%,7.10%,5.20%,5.70%,6.20%,6.30%,7.70%,7.00%,6.60%,6.20%,6.50%,6.20%,5.70%,5.10%,7.20%,6.20%,7.20%
59.30%,49.20%,59.30%,58.80%,57.10%,54.50%,56.80%,62.70%,63.80%,62.60%,60.80%,65.00%,58.50%,53.70%,59.90%,62.80%,57.60%,63.50%,57.70%,55.70%,63.30%,59.40%,56.20%,59.00%,58.30%,63.60%,65.20%,60.60%,61.60%
"162,616","39,065","82,508","44,453","306,986","182,425","45,121","19,344","38,525","194,508","236,290","20,316","187,677","89,159","42,067","106,678","123,015","133,859","866,678","105,168","82,345","23,964","131,856","306,824","304,803","23,417","51,936","252,944","77,194"
"415,542","94,960","191,293","101,334","733,517","427,582","124,314","51,353","108,817","469,524","548,439","56,904","461,401","198,566","115,839","281,182","288,790","370,755","2,057,218","273,491","217,779","60,318","303,137","776,193","837,792","63,317","137,254","707,975","203,401"
Missouri,West Virginia,Nevada,Hawaii,Michigan,Arizona,Idaho,Wyoming,New Hampshire,Colorado,Virginia,North Dakota,Washington,Mississippi,Maine,Connecticut,Oregon,Wisconsin,Texas,Oklahoma,Iowa,Delaware,South Carolina,Ohio,Pennsylvania,Vermont,Nebraska,New Jersey,Kansas
4.10%,1.50%,28.50%,10.40%,5.00%,30.90%,12.30%,10.00%,3.50%,21.30%,9.10%,3.60%,12.40%,3.10%,1.60%,15.70%,12.80%,6.70%,39.10%,10.30%,5.80%,9.20%,5.50%,3.70%,7.00%,1.90%,10.70%,20.00%,11.60%
0.10%,Z,0.80%,10.20%,Z,0.30%,0.20%,0.10%,0.10%,0.20%,0.10%,0.10%,0.80%,0.10%,Z,0.10%,0.40%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,Z,0.10%,0.10%,0.10%
88.40%,85.00%,85.10%,91.00%,89.60%,86.00%,89.50%,92.30%,92.30%,90.70%,88.30%,91.70%,90.40%,82.30%,91.60%,89.90%,89.80%,91.00%,81.90%,86.90%,91.50%,88.40%,85.60%,89.10%,89.20%,91.80%,90.70%,88.60%,90.20%
2.20%,1.70%,4.20%,23.70%,2.40%,2.80%,2.40%,2.10%,1.70%,3.00%,2.90%,2.10%,4.60%,1.20%,1.70%,2.30%,3.80%,1.90%,1.90%,6.10%,1.80%,2.60%,1.80%,2.20%,1.90%,1.90%,2.10%,2.20%,2.90%
"402,091","88,136","205,980","104,707","700,254","451,951","122,221","48,140","104,437","480,847","576,446","53,263","444,135","211,955","113,012","272,809","278,839","341,935","2,205,149","276,218","207,167","60,734","329,431","763,418","811,890","60,312","131,518","670,765","195,777"
"2,364,688","740,890","1,016,709","450,572","3,841,148","2,412,212","589,320","226,865","520,251","2,024,468","3,062,783","299,638","2,668,912","1,096,593","553,284","1,352,583","1,533,430","2,299,107","9,149,196","1,455,321","1,236,409","344,022","1,815,094","4,585,084","4,958,859","257,167","736,613","3,189,486","1,113,472"
3.90%,1.50%,19.20%,17.70%,6.30%,13.50%,6.10%,3.60%,5.70%,9.80%,11.70%,3.20%,13.40%,2.30%,3.50%,13.90%,9.90%,4.80%,16.60%,5.80%,4.70%,8.70%,4.80%,4.10%,6.30%,4.30%,6.60%,21.70%,6.90%
"49,217","12,912","23,049","11,148","71,861","46,780","12,804","6,470","16,119","51,722","76,434","6,584","49,331","26,789","15,689","31,056","30,918","39,830","213,590","36,273","25,889","7,206","47,987","91,316","97,969","8,237","16,693","57,996","21,610"
"$26,259 ","$23,450 ","$26,541 ","$29,822 ","$26,607 ","$25,848 ","$23,399 ","$29,803 ","$34,362 ","$32,217 ","$34,152 ","$32,035 ","$31,762 ","$21,057 ","$27,655 ","$38,803 ","$27,684 ","$28,340 ","$26,999 ","$25,032 ","$27,950 ","$30,554 ","$24,604 ","$26,953 ","$29,291 ","$29,894 ","$27,882 ","$36,582 ","$27,706 "
14.00%,16.00%,12.00%,14.30%,13.80%,13.80%,12.40%,12.40%,13.50%,10.90%,12.20%,14.50%,12.30%,12.80%,15.90%,14.20%,13.90%,13.70%,10.30%,13.50%,14.90%,14.40%,13.70%,14.10%,15.40%,14.60%,13.50%,13.50%,13.20%
"109,135,528","22,159,084","46,595,673","22,068,393","174,873,962","102,671,393","21,119,617","10,094,010","28,076,320","117,539,555","165,788,897","17,184,756","149,258,789","33,948,151","20,413,159","92,555,072","71,006,598","112,406,494","521,095,797","59,124,620","55,079,743","21,305,227","66,120,263","213,161,303","257,626,942","10,615,093","36,967,924","209,072,015","51,259,676"
"2,760,084","886,640","1,221,698","537,114","4,560,055","2,961,003","700,825","270,600","625,307","2,339,118","3,491,054","368,624","3,025,685","1,307,441","730,705","1,499,116","1,732,786","2,668,444","10,753,629","1,721,045","1,380,162","426,149","2,236,153","5,164,361","5,612,002","329,525","827,156","3,604,409","1,259,864"
1.70%,-1.20%,8.90%,5.00%,0.40%,8.40%,7.40%,3.90%,1.40%,10.20%,5.10%,12.70%,8.40%,0.70%,0.20%,0.10%,6.80%,1.60%,10.80%,4.60%,2.90%,6.00%,7.30%,0.70%,0.60%,-0.20%,4.40%,1.70%,1.90%
83.20%,93.60%,75.10%,25.80%,79.60%,83.30%,93.30%,92.80%,93.80%,87.50%,70.00%,87.90%,80.00%,59.30%,94.80%,80.60%,87.40%,87.50%,79.40%,74.60%,91.40%,70.10%,68.50%,82.50%,82.40%,94.60%,88.90%,72.40%,86.60%
"451,342","150,021","220,332","110,238","626,722","505,794","119,711","48,505","106,827","391,725","706,539","51,179","564,864","184,774","119,058","199,331","306,723","381,940","1,539,655","295,847","211,066","71,213","378,959","806,531","870,770","44,708","132,918","393,277","198,396"
"$138,400 ","$103,800 ","$173,700 ","$515,300 ","$122,400 ","$167,500 ","$162,900 ","$194,800 ","$237,300 ","$247,800 ","$245,000 ","$153,800 ","$259,500 ","$103,100 ","$173,800 ","$270,500 ","$237,300 ","$165,800 ","$136,000 ","$117,900 ","$129,200 ","$231,500 ","$139,900 ","$129,900 ","$166,000 ","$217,500 ","$133,200 ","$315,900 ","$132,000 "
"2,712,729","881,917","1,173,814","519,508","4,532,233","2,844,526","667,796","261,868","614,754","2,212,898","3,364,939","317,498","2,885,677","1,274,719","721,830","1,487,891","1,675,562","2,624,358","9,977,436","1,664,378","1,336,417","405,885","2,137,683","5,127,508","5,567,315","322,539","796,793","3,553,562","1,233,215"
"12,430,310","4,036,333","27,481,505","9,536,706","17,962,356","13,996,635","2,680,225","1,644,844","2,942,278","13,617,654","17,795,901","2,045,123","14,297,278","6,999,175","2,901,347","9,542,068","8,466,788","10,303,256","54,480,811","7,121,153","5,468,687","2,148,437","9,763,818","20,652,777","23,504,192","1,564,272","3,094,498","19,673,558","4,873,411"
"5,988,928","1,853,011","2,700,691","1,360,301","9,884,129","6,392,301","1,567,650","563,767","1,316,461","5,029,324","8,001,041","672,591","6,724,545","2,968,103","1,328,364","3,574,114","3,831,072","5,687,289","25,146,100","3,751,615","3,046,869","897,936","4,625,410","11,536,727","12,702,857","625,741","1,826,334","8,791,953","2,853,129"
27.10%,19.20%,23.00%,30.80%,26.90%,27.50%,25.90%,25.70%,34.90%,38.10%,36.30%,27.70%,32.90%,20.70%,29.00%,37.60%,30.80%,27.80%,27.60%,24.10%,26.70%,30.00%,25.80%,26.10%,28.60%,36.00%,29.30%,36.80%,31.00%
"68,741.52","24,038.21","109,781.18","6,422.63","56,538.90","113,594.08","82,643.12","97,093.14","8,952.65","103,641.89","39,490.09","69,000.80","66,455.52","46,923.27","30,842.92","4,842.36","95,988.01","54,157.80","261,231.71","68,594.92","55,857.13","1,948.54","30,060.70","40,860.69","44,742.70","9,216.66","76,824.17","7,354.22","81,758.72"
1.60%,-1.70%,3.70%,0.90%,3.20%,2.40%,3.00%,FN,2.30%,3.30%,1.20%,1.40%,2.90%,1.60%,1.60%,1.20%,3.80%,2.20%,3.20%,0.80%,1.70%,1.50%,2.80%,1.80%,1.00%,2.00%,2.30%,0.90%,1.00%
