name,pop
Bay Ridge,79371
New Springville,39309
Kew Gardens,23278
 Staten Island,0
Breezy Point,26711
Kew Gardens Hills,36052
 Bronx,1906
New Brighton,17525
 cemetery,93
Rosedale,25063
 South Side,45774
 Bayside Hills,44371
 Manhattn Bch,64596
Maspeth,28916
Central Harlem South,43383
 Olinville,57420
Madison,39076
Mount Hope,52649
Arden Heights,25238
Hollis,20747
Canarsie,85058
 Arlington,31474
Sunset Park West,52312
Norwood,40494
New Dorp,21896
 etc,1906
Starrett City,13354
Elmhurst,87972
Rossville,18894
 Holliswood,25480
Old Astoria,28847
 Richmond Valley,18332
East Flushing,26516
West Concourse,39282
 Emersn Hill,30762
 City Line,49223
 Flat Iron,70150
 Coney Island,34267
Woodlawn,42483
Richmond Hill,62985
 Riverdale,27860
Rugby,57934
Rikers Island,12780
Longwood,23082
 Concourse Village,58961
New Springville,39597
 Broad Chnl,28018
Oakland Gardens,28237
Gravesend,29257
Van Nest,27135
North Side,40130
Chinatown,47844
Van Cortlandt Village,50607
 Vinegar Hill,34495
 cemetery,0
Astoria,78793
College Point,21407
 Baychester,34517
West Farms,35011
Starrett City,14621
 Maspeth,24338
 Lighthse Hill,30762
Ocean Hill,31935
Ft. Totten,22731
Spuyten Duyvil,29872
 Kips Bay,50742
Kensington,36937
 Baychester,35422
 Utopia,17373
 Mill Basin,42940
Belmont,25967
 Roosevelt Island,76631
Forest Hills,83728
 Edgewater Park,43712
East Tremont,39280
 Arlington,27957
Williamsbridge,61321
 Wingate,70300
 Flushing Heights,31734
Williamsburg,32269
 Remsen Village,57934
Prospect Lefferts Gardens,67459
 Fox Hills,19834
Claremont,28149
 Howard Beach,28121
 Bruckner,35137
 Kingsbridge,30161
 Manhattan,1662
 Ft. Wadsworth,15238
 City Island,27140
Ozone Park,21376
park,418
Glen Oaks,22426
Eastchester,35422
Co,43752
Hamilton Heights,48520
 Marine Park,42940
Brighton Beach,35547
Lower East Side,72258
 Columbia Street,38327
Fresh Meadows,17812
Far Rockaway,50058
Springfield Gardens South,20132
 Midtown South,28630
Murray Hill,48419
 cemetery,1785
 cemetery,7
 Bathgate,31078
Queensboro Hill,19309
Stuyvesant Heights,63504
Sunset Park West,54041
 Heartland Villg,30762
Turtle Bay,51231
Far Rockaway,48344
 Utopia,17812
 Port Morris,49030
Kingsbridge Heights,33286
Windsor Terrace,20779
Old Astoria,27814
 South Side,40130
Cypress Hills,48961
South Ozone Park,78906
 Morris Park,29250
Baisley Park,35729
Grymes Hill,19834
 etc,93
Murray Hill,50742
Allerton,28903
Rossville,20763
Ridgewood,69317
Allerton,28510
Kingsbridge Heights,32496
Morningside Heights,55929
 Morris Heights,54335
Glendale,32496
 Mott Haven North,39214
Longwood,26196
Hamilton Heights,50555
West Village,66880
 Bronx,540
Great Kills,40720
Morrisania,37865
Hudson Yards,55839
 Clifton,22460
Sheepshead Bay,64596
Bellerose,25287
 Olinville,61321
North Riverdale,27860
 etc,436
 Inwood,49087
Greenpoint,37821
East Concourse,58961
Crown Heights South,42370
Greenpoint,34719
Charleston,23313
 Clifton,19834
Dyker Heights,39332
 Bayswater,50058
