Subtitle,Item #,On Hand,Reg.,Special,Disc. %
Centrefire Rifles,T1T11LL103S,1.0,840.0,675.0,19.63999939
Centrefire Rifles,TS3203100,1.0,840.0,675.0,19.63999939
Centrefire Rifles,TS3202900,1.0,840.0,675.0,19.63999939
Rimfire Rifles,21001102,1.0,830.0,725.0,12.64999962
Rimfire Rifles,H003T,1.0,680.0,480.0,29.40999985
Rimfire Rifles,RUG1121,1.0,775.0,600.0,22.57999992
Rimfire Rifles,SAV45200,2.0,450.0,360.0,20.0
Rimfire Rifles,SAV40203,,210.0,168.0,20.0
Rimfire Rifles,SAV40060,1.0,225.0,180.0,20.0
Rimfire Rifles,SAV40001,1.0,230.0,184.0,20.0
Rimfire Rifles,SAV45110,2.0,315.0,252.0,20.0
Rimfire Rifles,SAV96705,1.0,599.0,479.2,20.0
Rimfire Rifles,SAV96712,1.0,445.0,356.0,20.0
Rimfire Rifles,SAV96703,2.0,570.0,456.0,20.0
Rimfire Rifles,SAV96709,3.0,360.0,288.0,20.0
Rimfire Rifles,SAV47001,2.0,635.0,508.0,20.0
Rimfire Rifles,SAV96901,2.0,510.0,408.0,20.0
Rimfire Rifles,SAV28700,3.0,310.0,265.0,14.52000046
Rimfire Rifles,SAV13780,2.0,250.0,220.0,12.0
Rimfire Rifles,SAV13795,2.0,250.0,220.0,12.0
Rimfire Rifles,SAV13805,2.0,250.0,220.0,12.0
Rimfire Rifles,UB2200,1.0,815.0,675.0,17.18000031
Shotguns,DEMOM2,1.0,1300.0,875.0,32.68999863
Shotguns,ST20000,1.0,660.0,528.0,20.0
Shotguns,BEN20071,1.0,775.0,620.0,20.0
Shotguns,20051,1.0,595.0,476.0,20.0
Shotguns,BEN20100,1.0,775.0,620.0,20.0
Shotguns,A0389400,2.0,1000.0,800.0,20.0
Shotguns,7H31816215040,1.0,1725.0,1250.0,27.54000092
Shotguns,12271204,1.0,1095.0,930.75,15.00000095
Shotguns,12274204,1.0,1120.0,952.0,15.00000095
Shotguns,11403204,1.0,1595.0,1355.75,15.00000095
Shotguns,FR40841,1.0,1350.0,1147.5,15.00000095
Shotguns,FRA0426200,1.0,1495.0,1270.75,15.00000095
Shotguns,MKA1919KM,1.0,1050.0,892.5,15.00000095
Shotguns,MKA1919,1.0,1050.0,892.5,15.00000095
Shotguns,MOS50460,1.0,675.0,525.0,22.21999931
Shotguns,MOS51672,1.0,820.0,656.0,20.0
Shotguns,R25012,1.0,995.0,796.0,20.0
Shotguns,R81045,1.0,1385.0,1108.0,20.0
Shotguns,512298395,2.0,585.0,468.0,20.0
Shotguns,512299395,2.0,630.0,504.0,20.0
