Unit #,1/18/2019,1/19/2019,1/24/2019,1/25/2019,1/26/2019,1/28/2019,1/29/2019,1/30/2019,10/18/2018,10/24/2018,10/26/2018,10/28/2018,10/29/2018,10/3/2018,10/30/2018,11/1/2018,11/11/2018,11/12/2018,11/19/2018,11/3/2018,11/30/2018,11/5/2018,11/6/2018,11/7/2018,11/9/2018,12/25/2018,12/7/2018,2/1/2019,2/11/2019,2/12/2019,2/15/2019,2/25/2019,2/3/2019,2/6/2019,2/7/2019,2/9/2019,7/18/2018,7/24/2018,7/25/2018,7/26/2018,7/29/2018,7/30/2018,8/1/2018,8/3/2018,8/31/2018,8/6/2018,8/7/2018,8/9/2018,9/25/2018
NE04-A-2302,,,"19,696.35",,,,,,,"74,937.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,96.41,,,,,,,,,,,
NE04-A-2705,,,,,,,,,,,,,,,,,,,,,,,,"29,464.63",,,,,,,,,,,,,,,,,,,,,,,"14,732.32",,
NE04-A-2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,
NE04-A-3008,,,,,,,,,,,,,,,,,,,,,,,,"7,662.47",,,,,,,,,,,,,,,,,,,,,,,,,
NE04-A-3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,092.25",,,,,,,,,,,,,,
NE04-A-3208,,,,,,,,,,,,,,,,,,,,,,,,"8,833.58",,,,,,,,,,,2.69,,,,,,,,,,,,,,
NE04-B-0402,,,,,,,"2,606.49",,,,,,"9,673.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86,,,,,,,,
NE04-B-0601,,,,,,,,,,,,,,,,"32,201.80",,,,,,,,,,,,"12,791.28",,,,,,,,,,,,,,,68.56,,,,,,
NE04-B-0611,,,,,,,,,,,,,,,,"10,865.80",,,,,,,,,,,,"4,825.91",,,,,,,,,,,,,,,,,,,,,
NE04-B-1003,,,,,,"5,633.91",,,,,,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-B-1203,,,,,"5,456.94",,,,,,"15,172.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-B-1610,,,,,,,"10,043.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-B-1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,
NE04-B-1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,
NE04-B-1904,,,,,,,,,,,,,,,,,,,,"4,478.56",,,,,,,,,,,,,251.69,,,,,,,,,,,911.31,,,,,
NE04-B-2405,,,,,"1,956.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-B-2705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,272.90",,,
NE04-B-3006,,,,,,,,,,,,,,,,,,"12,368.38",,,,,,,,,,,,50.14,,,,,,,,,,,,,,,,,,,
NE04-C-0404,,,,,,,,,,,,,,,,,,,"3,051.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-C-1004,,,,,,,"3,774.51",,,,,,"23,866.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,106.02,,,,,,,,
NE04-C-1501,,,,,,,,"55,422.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-C-1601,,,,,,,,"54,214.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-C-2505,,,,,,,,,,,,,,,,,,,,,,72.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-C-3103,,,,"2,945.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,
NE04-C-P402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33,,,,,,,,,,,,,,,,,
NE07-A-0501,,,,,"22,187.98",,,,,,"47,333.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,069.77",,,,,,,,,
NE07-A-1110,,,,,,,,,,,,26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-A-1303,,,,,,,"5,822.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,,
NE07-A-1402,"3,848.91",,,,,,,,"4,465.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-A-2007,,,,,,,,,,,,,,,,,,,,,,,,,"15,749.35",,,,,,,,,,,"7,789.45",,,,,,,,,,,,"1,537.22",
NE07-A-2202,"4,235.54",,,,,,,,"4,566.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-A-2205,,,,,,,,,,,,,,,,,,,,,,,,,"20,819.02",,,,,,,,,,,,,,,,,,,,,,,1.86,
NE07-A-2206,,,,,,,,,,,,,,,,,,,,,,,,,"21,826.39",,,,,,,,,,,,,,,,,,,,,,,0.05,
NE07-A-2302,"3,898.47",,,,,,,,"4,548.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-A-2502,"4,242.46",,,,,,,,"4,548.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,427.07,,,,,,,,,,,,
NE07-A-2602,"4,235.54",,,,,,,,"4,086.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-A-2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,443.17",,,,,,,,,,,,,,,,,,,,,
NE07-B-0401,,,,,,,,,,,,193.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-B-0603,,,,,,,,"12,800.25",,,,,,,"52,352.16",,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,,,,,,,
NE07-B-0703,,,,,,,,"15,880.03",,,,,,,"52,517.24",,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,,,,,,
NE07-B-1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,248.93",,,,,,,,,,,,,,,,,,
NE07-B-1704,,,,,,,,,,,,,,,,,,,,,,,,900.35,,,,,,,,,,,,,,,,,,,,,,,,,
NE07-B-1706,,,,,,,,,,,,,,,,,,,,,,,,,,"4,229.15",,,,,,,,,,,,,,,,,,,,,,,12.59
ZH-C1-129-B,,,,,,,,,,,,,,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH-C1-130-A,,,,,,,,,,,,,,,,,156.47,,,,,,,,,,,,462.11,,,,,,,,,,,,,,,,,,,,
ZH-C1-159-B,,,,,,,,,,,,,,,,,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
