"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
NURSING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44523.0,6,ENG 101-A0H1,58,3,0,16,19,53,61,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44703.0,,ADX 120-A001,Basic Automotive Electricity,3,0,0,9,5,3,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44396.0,9,MAT 150-A003,73,3,0,19,23,61,85,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
45368.0,,BIO 137-A0L6,26,,7,22,29,21,25,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44945.0,2,BIO 137-A0E1,26,4,2,17,06:15 PM,23,29,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44930.0,,ADX 170-A002,6,3,8,7,02:15 PM,8,4,2.0,43696.0,43814.0
ART ,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
44751.0,,ACR 251-A001,Cooling & Dehumidification Lab,2,0,5,4,2,1,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
44690.0,5,PSY 223-A0Z2,93,3,1,1,1,1,99,1.0,43696.0,43814.0
HISTORY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45432.0,9,MAT 150-A006,73,3,2,10,20,41,81,2.0,43696.0,43814.0
CIS,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44709.0,,1,5,2,6,6,4,7,3,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
ART ,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44707.0,,ADX 150-A001,Engine Repair,3,6,0,9,5,3,2.0,43696.0,43814.0
NURSING,,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44401.0,,MAT 205-A001,Math Elem/Middle SchoolTeach I,3,0,15,17,61,82,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44558.0,2,BIO 139-A001,27,4,0,0,0,18,25,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
