Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
University of Delaware,,,,,
,16,,2,99,26
"University of Colorado, Boulder",,,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,,
"Devry University, Portland Campus",,,,,
University of Memphis,,,,,
University of Arkansas For Medical Sciences,,,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,,
Illinois State University,,,,,
University of Central Oklahoma,,,,,
"California State University, Fullerton",,,,,
Southern Arkansas University,,,,,
Capital University,,,,,
"Wheaton College, Illinois",,,,,
Seton Hall University,,,,,
"University of Massachusetts, Amherst",,,,,
"Texas A&M University, College Station",,,,,
Rider University,,,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,,
"University of Alaska, Anchorage",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,,
"University of Alabama, Birmingham",,,,,
American University,,,,,
"University of Houston, Victoria",,,,,
University of San Diego,,,,,
"Devry University, Houston Galleria",,,,,
Dartmouth College,,,,,
Boston College,,,,,
Widener University,,,,,
Carnegie Mellon University,,,,,
Upper Iowa University,,,,,
Baylor College of Medicine,,,,,
"Devry University, Ft. Lauderdale Center",,,,,
"Devry University, Miramar Campus",,,,,
University of Virginia,,,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,,
George Washington University,,,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,,
"University of Alaska, Fairbanks",,,,,
Kent State University,,,,,
University of Southern Mississippi,,,,,
Virginia Polytechnic Institute and State University,,,,,
West Coast University,,,,,
Mills College,,,,,
"University of Phoenix, St. George Learning Center, St. George",,,,,
Northwestern Polytechnic University,,,,,
Massachusetts Institute of Technology,,,,,
George Washington University,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,,
Doane College,,,,,
University of Findlay,,,,,
"Devry University, Philadelphia (Center City) Center",,,,,
"University of Phoenix, Richmond Campus, Richmond",,,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,,
"University of Massachusetts, Amherst",,,,,
Columbia Southern University,,,,,
"California Baptist University, Beaumont",,,,,
Pace University,,,,,
"University of Phoenix, Madison Campus, Madison",,,,,
"Wheaton College, Illinois",,,,,
Massachusetts Institute of Technology,,,,,
Metropolitan State University,,,,,
Stetson University,,,,,
"University of Phoenix, Maryland Campus, Columbia",,,,,
University of Scranton,,,,,
Upper Iowa University,,,,,
"Carnegie Mellon University, Japan",,,,,
"Devry University, Oakland Center",,,,,
University of Florida,,,,,
University of Rochester,,,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,,
Oregon Health & Science University,,,,,
"University of Phoenix, Portage Learning Center, Portage",,,,,
"University of Phoenix, Louisville Learning Center, Louisville",,,,,
University of Findlay,,,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,,
Arkansas State University,,,,,
Tufts University,,,,,
"Colorado State University, Pueblo",,,,,
"California Baptist University, Hesperia",,,,,
Tufts University,,,,,
University of Texas Medical Branch,,,,,
University of Pittsburgh,,,,,
Brandeis University,,,,,
"Colorado State University, Fort Collins",,,,,
University of Pennsylvania,,,,,
University of San Francisco,,,,,
University of Virginia,,,,,
Massachusetts Institute of Technology,,,,,
Maryland Institute College of Art,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,,
"St. John's University, Queens",,,,,
Chamberlain College of Nursing (online),,,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,,
"Devry University, Jacksonville Campus",,,,,
Northeastern University,,,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,,
Luther Seminary,,,,,
Massachusetts Institute of Technology,,,,,
University of Houston,,,,,
Ohio State University,,,,,
Johns Hopkins University,,,,,
New York University,,,,,
"California State University, Fullerton",,,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,,
University of New Haven,,,,,
Georgia State University,,,,,
"Texas A&M University, Kingsville",,,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,,
Temple University,,,,,
George Washington University,,,,,
University of South Carolina,,,,,
Georgia State University,,,,,
Columbia University,,,,,
"Devry University, Palmdale Center",,,,,
"Auburn University, Auburn",,,,,
University of Houston,,,,,
Duke University,,,,,
University of Texas Medical Branch,,,,,
"Devry University, Indianapolis Center",,,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,,
University of Dallas,,,,,
University of Delaware,,,,,
Massachusetts Institute of Technology,,,,,
Illinois Institute of Technology,,,,,
Willamette University,,,,,
"Devry University, Morrisville Campus",,,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Cleveland Campus, Independence",,,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,,
"University of Michigan, Dearborn",,,,,
George Washington University,,,,,
Kent State University,,,,,
University of New Hampshire,,,,,
"City University of Seattle, Edmonton",,,,,
University of Chicago,,,,,
University of Cincinnati,,,,,
"University of California, San Diego",,,,,
Vanderbilt University,,,,,
Pace University,,,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,,
Azusa Pacific University,,,,,
"Devry University, Decatur Campus",,,,,
University of Rhode Island,,,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,,
"University of Phoenix, San Diego Campus, San Diego",,,,,
Georgetown University,,,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,,
Washburn University,,,,,
University of Denver,,,,,
New York University,,,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,,
University of Pittsburgh,,,,,
Boston University,,,,,
University of Pittsburgh,,,,,
Pepperdine University,,,,,
Dominican University,,,,,
University of Denver,,,,,
Bloomfield College,,,,,
Chapman University,,,,,
University of Houston,,,,,
Illinois Institute of Technology,,,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,,
Colorado Heights University,,,,,
Michigan State University,,,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,,
Ohio State University,,,,,
Seton Hall University,,,,,
"University of Massachusetts, Boston",,,,,
Biola University,,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,,
"University of Texas, Austin",,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,,
Illinois Institute of Technology,,,,,
New School (The),,,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,,
Northwestern University,,,,,
"University of Phoenix, Independence Learning Center, Independence",,,,,
University of Portland,,,,,
Brandeis University,,,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,,
University of Redlands,,,,,
Shenandoah University,,,,,
"Devry University, Fresno Campus",,,,,
Johns Hopkins University,,,,,
"University of Phoenix, Memphis Campus, Cordova",,,,,
Fairfield University,,,,,
"University of Colorado, Boulder",,,,,
Georgia State University,,,,,
University of Pittsburgh,,,,,
Montclair State University,,,,,
Minot State University,,,,,
"University of Maryland, Baltimore County",,,,,
Fordham University,,,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,,
Vanderbilt University,,,,,
Chapman University,,,,,
"Pennsylvania State University, Harrisburg",,,,,
Rollins College,,,,,
Bellarmine University,,,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,,
Doane College,,,,,
"Carnegie Mellon University, Australia",,,,,
"Devry University, Henderson Campus",,,,,
University of Houston,,,,,
University of Pittsburgh,,,,,
Clarkson University,,,,,
University of Indianapolis,,,,,
"Devry University, Tampa Bay Campus",,,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,,
University of Virginia,,,,,
"University of North Carolina, Wilmington",,,,,
"Texas A&M University, College Station",,,,,
Lutheran School of Theology at Chicago,,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,,
"University of Phoenix, Houston Campus, Houston",,,,,
Massachusetts Institute of Technology,,,,,
Tulane University,,,,,
College of William and Mary (The),,,,,
"University of Colorado, Boulder",,,,,
Santa Clara University,,,,,
Doane College,,,,,
Yale University,,,,,
"University of Phoenix, Washington Learning Center, Washington",,,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,,
"University of Colorado, Boulder",,,,,
Massachusetts Institute of Technology,,,,,
Harvard Business School,,,,,
Western Kentucky University,,,,,
University of Delaware,,,,,
Clark University,,,,,
Duke University,,,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,,
"California Baptist University, San Bernardino",,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,,
Golden Gate University,,,,,
Washington University in St. Louis,,,,,
Georgia State University,,,,,
"University of Colorado, Boulder",,,,,
College of Charleston,,,,,
Johns Hopkins University,,,,,
"Temple University, Japan Campus",,,,,
Northeastern University,,,,,
Fairfield University,,,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Emory University,,,,,
Florida International University,,,,,
Syracuse University,,,,,
"Adelphi University, Garden City",,,,,
"Devry University, Ft. Worth Center",,,,,
Saint Louis University,,,,,
California Lutheran University,,,,,
"Devry University, San Jose Center",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"Devry University, Gurnee Center",,,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,,
Arkansas Tech University,,,,,
University of Pennsylvania,,,,,
University of Delaware,,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,,
Mississippi State University,,,,,
"University of Michigan, Ann Arbor",,,,,
Manhattan School of Music,,,,,
"Wheaton College, Illinois",,,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,,
Georgia State University,,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,,
Capital University,,,,,
University of New Haven,,,,,
Pace University,,,,,
"Devry University, Kansas City Campus",,,,,
Massachusetts Institute of Technology,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Dallas Campus, Dallas",,,,,
Cornell University,,,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,,
Massachusetts Institute of Technology,,,,,
University of Portland,,,,,
New York University,,,,,
University of Denver,,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,,
"University of Hawaii, Hilo",,,,,
Pace University,,,,,
University of Virginia,,,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,,
"Pennsylvania State University, Harrisburg",,,,,
Columbia University,,,,,
University of Pennsylvania,,,,,
University of Louisville,,,,,
Syracuse University,,,,,
University of Oregon,,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,,
University of Dallas,,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,,
University of Connecticut,,,,,
"California Baptist University, Riverside",,,,,
"Long Island University, Post",,,,,
"Devry University, Alpharetta Campus",,,,,
University of Pennsylvania,,,,,
University of San Francisco,,,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,,
"University of Phoenix, McAllen Campus, Allen",,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,,
"University of California, Irvine",,,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,,
University of Scranton,,,,,
Mississippi State University,,,,,
Florida International University,,,,,
Syracuse University,,,,,
Pace University,,,,,
Emory University,,,,,
"Devry University, Pomona Campus",,,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,,
Syracuse University,,,,,
Eastern University,,,,,
Regent University,,,,,
"City University of Seattle, Victoria",,,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,,
Dartmouth College,,,,,
"University of Texas, Brownsville",,,,,
New York University,,,,,
Gonzaga University,,,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,,
"University of Phoenix, Omaha Campus, Omaha",,,,,
Bryn Mawr College,,,,,
Columbia University,,,,,
College of William and Mary (The),,,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,,
Kent State University,,,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,,
Brandeis University,,,,,
University of Puget Sound,,,,,
Massachusetts Institute of Technology,,,,,
Yale University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Springfield Campus, Springfield",,,,,
"University of Colorado, Boulder",,,,,
Johns Hopkins University,,,,,
Northwestern University,,,,,
Boston University,,,,,
"Rutgers, The State University of New Jersey, Newark",,,,,
"Devry University, Colorado Springs Center",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, St. Louis Campus",,,,,
"Purdue University, Calumet",,,,,
Columbia University,,,,,
Massachusetts Institute of Technology,,,,,
Tulane University,,,,,
"Devry University, Alahambra Center",,,,,
"Carnegie Mellon University, Australia",,,,,
Johns Hopkins University,,,,,
"University of Colorado, Boulder",,,,,
University of Houston,,,,,
Tufts University,,,,,
"Devry University, Elgin Center",,,,,
DePaul University,,,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,,
"New York Institute of Technology, Manhattan",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,,
"University of Colorado, Boulder",,,,,
Dominican University,,,,,
Fordham University,,,,,
"University of Maryland, College Park",,,,,
University of Delaware,,,,,
DePaul University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,,
Mississippi State University,,,,,
Marywood University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Colorado, Boulder",,,,,
"Texas A&M University, Commerce",,,,,
"Devry University, Anaheim Center",,,,,
Rhode Island School of Design,,,,,
"Texas A&M University, Commerce",,,,,
"Devry University, Atlanta Cobb Galleria Center",,,,,
"Devry University, Naperville Center",,,,,
Brandeis University,,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"Devry University, Chicago Campus",,,,,
"Arizona State University, Mesa",,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,,
Boston College,,,,,
University of Pittsburgh,,,,,
University of Baltimore,,,,,
"Devry University, Manassas Center",,,,,
Northeastern University,,,,,
"Devry University, Stockbridge (Henry County) Center",,,,,
SIT Graduate Institute,,,,,
University of Baltimore,,,,,
University of Georgia,,,,,
University of South Dakota,,,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,,
Suffolk University,,,,,
"Devry University, Lynnwood Center",,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,,
Weber State University,,,,,
"Texas A&M University, Commerce",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,,
Eastern University,,,,,
"Devry University, Downers Grove Center",,,,,
Alverno College,,,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,,
Upper Iowa University,,,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,,
"University of Houston, Victoria",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Southern Arizona Center",,,,,
Tufts University,,,,,
"University of California, Berkeley",,,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,,
"University of Colorado, Boulder",,,,,
American University,,,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,,
University of Baltimore,,,,,
University of New Haven,,,,,
Loma Linda University,,,,,
University of Scranton,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,,
"Devry University, Tinley Park Campus",,,,,
Northwestern University,,,,,
New York Medical College,,,,,
University of San Francisco,,,,,
University of New Haven,,,,,
University of Houston,,,,,
Baldwin-Wallace College,,,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,,
University of Houston,,,,,
"Devry University, Addison Campus",,,,,
University of Pittsburgh,,,,,
"Devry University, North Brunswick Campus",,,,,
Pacific University,,,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,,
"University of Phoenix, Whichita Campus, Whichita",,,,,
"University of Michigan, Dearborn",,,,,
"Devry University, Cincinnati Campus",,,,,
"Devry University, Oklahoma City Campus",,,,,
University of New Haven,,,,,
Alverno College,,,,,
"Devry University, Dayton Center",,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,,
Marywood University,,,,,
University of Portland,,,,,
"University of Phoenix, Concord Learning Center, Concord",,,,,
New School (The),,,,,
Yale University,,,,,
University of Iowa,,,,,
University of Texas Medical Branch,,,,,
Massachusetts Institute of Technology,,,,,
Marywood University,,,,,
"University of Hawaii, Manoa",,,,,
Loma Linda University,,,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,,
Widener University,,,,,
Capital University,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,,
"University of Colorado, Boulder",,,,,
University of the Pacific,,,,,
University of Denver,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,,
Marywood University,,,,,
"Devry University, Milwaukee Campus",,,,,
"University of Wisconsin, Stout",,,,,
Tufts University,,,,,
Henderson State University,,,,,
"University of Phoenix, Detroit Campus, Troy",,,,,
Georgetown University,,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,,
Williams College,,,,,
Columbia University,,,,,
"Devry University, Long Beach Campus",,,,,
"Devry University, Daly City Center",,,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"Devry University, San Antonio Campus",,,,,
"University of Maryland, Baltimore",,,,,
University of Rochester,,,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,,
"Devry University, Bellevue (Seattle) Center",,,,,
"Devry University, Colton (Inland-Empire) Center",,,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,,
University of New Haven,,,,,
"University of Massachusetts, Boston",,,,,
"University of Hawaii, Manoa",,,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,,
Pacific Lutheran University,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,,
Carnegie Mellon University,,,,,
University of Southern Mississippi,,,,,
University of Virginia,,,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,,
Northeastern Illinois University,,,,,
"Devry University, Federal Way Campus",,,,,
"Northwood University, Michigan",,,,,
University of San Francisco,,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,,
University of Arizona,,,,,
Boise State University,,,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,,
University of Virginia,,,,,
"Devry University, Mesa Center",,,,,
Houston Baptist University,,,,,
Loyola Marymount University,,,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"Devry University, Phoenix Campus",,,,,
Marywood University,,,,,
"Arizona State University, Tempe",,,,,
"University of California, San Diego",,,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,,
"University of North Carolina, Charlotte",,,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,,
