city,cuisine_style,ranking,rating,reviews_number
Berlin,unknown,4050.0,4.0,15.0
Madrid, Mediterranean,92.0,4.5,378.0
Milan,unknown,5686.0,3.0,36.0
London,British,8980.0,5.0,2.0
Budapest,Pizza,3.0,4.5,789.0
Madrid, Healthy,3275.0,4.0,21.0
Milan,unknown,3699.0,5.0,5.0
Warsaw, European,774.0,3.5,108.0
Lisbon, Mediterranean,3170.0,3.0,299.0
Amsterdam, European,1865.0,4.5,8.0
Budapest,International,1630.0,4.0,12.0
London,unknown,8166.0,5.0,6.0
Paris,unknown,12299.0,3.5,12.0
Geneva, European,844.0,4.0,41.0
Helsinki,Italian,507.0,3.5,68.0
Paris, Vegetarian Friendly,167.0,4.5,728.0
Milan,Mediterranean,5171.0,4.0,5.0
Budapest, Vegetarian Friendly,327.0,4.5,133.0
Ljubljana, Vegetarian Friendly,134.0,5.0,25.0
Stockholm, Barbecue,2039.0,3.5,14.0
Paris, Sushi,5931.0,4.0,29.0
Berlin, Central European,1956.0,3.5,71.0
Berlin, Sushi,4219.0,4.5,20.0
London, British,7376.0,4.0,26.0
Rome, Brazilian,718.0,4.0,773.0
Paris,Indian,7572.0,3.5,50.0
Berlin, Fusion,1252.0,4.5,17.0
Athens, Pub,769.0,4.0,15.0
Lisbon, European,778.0,4.0,117.0
Lisbon,Sushi,2270.0,3.5,119.0
Zurich, Greek,265.0,4.0,78.0
Prague, Central European,1777.0,4.5,25.0
Paris, European,4369.0,3.5,254.0
Paris,Pizza,11544.0,3.5,2.0
Lyon,European,517.0,4.0,225.0
Geneva,Afghani,198.0,4.0,72.0
Prague, Barbecue,1578.0,4.5,12.0
Rome, Mediterranean,1115.0,4.0,855.0
Copenhagen,Mexican,1638.0,3.5,3.0
Amsterdam, Seafood,2250.0,4.0,39.0
Hamburg,Seafood,1162.0,4.0,28.0
Krakow,Bar,521.0,4.0,34.0
Budapest, Mediterranean,1136.0,4.0,49.0
London, Balti,6351.0,4.5,49.0
Krakow, European,360.0,4.0,95.0
Milan, Vegetarian Friendly,102.0,4.5,755.0
Paris, Vegetarian Friendly,87.0,4.5,633.0
Edinburgh, Vegetarian Friendly,969.0,4.0,78.0
Paris,French,3300.0,4.0,134.0
Dublin, Gluten Free Options,179.0,4.5,731.0
Madrid,Caribbean,1525.0,4.0,161.0
Dublin, Vegetarian Friendly,238.0,4.5,118.0
Paris,Lebanese,5021.0,3.5,382.0
Barcelona, Spanish,384.0,4.5,88.0
Berlin, Vietnamese,843.0,4.0,97.0
Barcelona,Mediterranean,474.0,4.0,1264.0
Hamburg, European,408.0,3.5,256.0
London, Fast Food,13133.0,3.5,5.0
Oporto, Asian,190.0,4.0,256.0
London,Bar,11341.0,3.5,60.0
Oporto, Portuguese,1458.0,4.5,2.0
London,Cafe,3242.0,4.5,102.0
London, Vegetarian Friendly,11911.0,4.0,4.0
Athens,Healthy,176.0,5.0,81.0
London,European,1732.0,4.0,269.0
Warsaw, Steakhouse,271.0,4.0,85.0
Paris,Italian,12908.0,3.0,10.0
Edinburgh, Asian,449.0,4.0,204.0
Barcelona, Asian,272.0,4.5,229.0
Barcelona, Vegetarian Friendly,1325.0,4.5,134.0
Rome, Fast Food,634.0,4.5,600.0
Amsterdam, International,29.0,4.5,344.0
Munich, European,272.0,4.0,90.0
Edinburgh,Cafe,1121.0,4.0,14.0
Oporto, European,1124.0,4.5,6.0
Paris, Central American,4763.0,3.5,231.0
Vienna,Italian,1417.0,3.5,277.0
Munich, Vegetarian Friendly,27.0,4.5,455.0
Milan, Australian,217.0,4.0,1076.0
Vienna, Israeli,1240.0,5.0,4.0
Edinburgh, Pizza,1680.0,2.5,134.0
Barcelona, Mediterranean,7465.0,2.5,369.0
Madrid, Gastropub,4724.0,4.5,17.0
Edinburgh, Vegetarian Friendly,233.0,4.0,618.0
Lyon,unknown,1399.0,4.0,24.0
Lisbon,Mediterranean,2213.0,3.5,39.0
Hamburg,Fast Food,1720.0,4.0,38.0
Zurich,Swiss,728.0,3.5,65.0
Zurich, Central European,172.0,4.5,106.0
Amsterdam,Dutch,68.0,4.5,510.0
Milan, Latin,6104.0,4.5,3.0
Warsaw, Central European,294.0,4.0,160.0
Barcelona, Asian,5940.0,3.5,66.0
Brussels,Italian,2173.0,4.0,7.0
Rome, Bar,5721.0,5.0,NaN
Berlin, Asian,1503.0,4.0,50.0
London, Asian,9661.0,3.5,92.0
London, Vegetarian Friendly,1068.0,4.0,902.0
London, European,5150.0,3.5,139.0
Paris,Japanese,9544.0,4.5,6.0
Amsterdam,Bar,1165.0,4.0,90.0
Copenhagen, Middle Eastern,1964.0,1.0,NaN
London,Italian,3941.0,4.5,24.0
Budapest,Central European,1256.0,4.5,29.0
Milan, Seafood,519.0,4.0,472.0
London,unknown,9474.0,5.0,NaN
Prague, Czech,2156.0,4.0,11.0
Berlin, Thai,5259.0,4.0,3.0
Prague,Czech,3933.0,2.0,71.0
Paris,French,8739.0,3.0,312.0
Rome,Italian,99.0,4.5,611.0
Prague, Vegan Options,231.0,4.5,653.0
Dublin,Fast Food,1568.0,3.5,5.0
Stockholm, Scandinavian,225.0,4.0,85.0
Milan, Mediterranean,5375.0,3.0,431.0
Barcelona,unknown,1805.0,4.5,70.0
Krakow, Vegetarian Friendly,168.0,4.5,118.0
Warsaw, Central European,69.0,4.0,359.0
Milan,Italian,1504.0,4.0,119.0
Madrid, Contemporary,5008.0,4.0,12.0
Rome, Wine Bar,175.0,4.5,863.0
Barcelona, Vegetarian Friendly,1129.0,4.5,143.0
Rome, Vegetarian Friendly,2253.0,4.0,129.0
Barcelona,unknown,7788.0,1.0,NaN
Lisbon, European,24.0,4.5,681.0
Helsinki, Vegetarian Friendly,136.0,4.0,58.0
Warsaw, Contemporary,896.0,4.0,30.0
Lisbon, Pizza,1037.0,4.0,98.0
Brussels,Lebanese,1469.0,4.5,4.0
Brussels,Italian,2344.0,3.5,6.0
Lisbon,unknown,3237.0,3.5,4.0
Barcelona,American,1911.0,4.0,207.0
Prague, European,3208.0,4.0,5.0
Milan, Vegan Options,2780.0,3.5,354.0
Barcelona,Mediterranean,5529.0,3.5,10.0
Barcelona,Mediterranean,4203.0,5.0,2.0
Lisbon, European,1172.0,3.5,2354.0
Barcelona,European,1500.0,4.5,81.0
Brussels,French,45.0,4.0,1275.0
Lisbon,Chinese,871.0,4.5,65.0
London,Chinese,1869.0,4.0,858.0
London,British,14509.0,3.5,10.0
Stockholm,Swedish,312.0,4.0,163.0
Barcelona,Bar,7535.0,2.0,22.0
Berlin, Vegan Options,683.0,4.5,154.0
Madrid, Vegan Options,20.0,4.5,395.0
Prague,Czech,3392.0,3.5,22.0
Barcelona, Vegan Options,91.0,4.5,4080.0
Paris, Pizza,2939.0,4.0,136.0
Helsinki, Vegetarian Friendly,240.0,4.0,113.0
Krakow, Vegetarian Friendly,1.0,5.0,171.0
Prague,Bar,972.0,4.0,53.0
Paris, Moroccan,7429.0,4.5,23.0
London,Indian,12032.0,3.5,36.0
Amsterdam, Gluten Free Options,1852.0,4.0,33.0
Paris,French,8944.0,3.5,26.0
Rome,Asian,5269.0,4.5,9.0
Rome, Pizza,821.0,5.0,134.0
Edinburgh, Gluten Free Options,25.0,4.5,301.0
London, Wine Bar,5015.0,4.0,99.0
Oslo,Turkish,988.0,3.5,21.0
Milan,Steakhouse,1078.0,4.0,118.0
Amsterdam, Vegan Options,378.0,4.5,56.0
Ljubljana, European,176.0,3.5,143.0
Milan, Mediterranean,4201.0,3.5,206.0
London,British,5614.0,4.5,33.0
London, British,14214.0,3.5,157.0
Stockholm, Asian,1444.0,4.5,3.0
Vienna,Japanese,1676.0,3.5,50.0
Munich, Central European,34.0,4.5,1208.0
Milan, Vegetarian Friendly,478.0,4.0,584.0
Dublin,American,172.0,4.0,580.0
Paris, Fusion,154.0,4.5,509.0
Barcelona, Gluten Free Options,155.0,4.5,1234.0
Warsaw, European,1078.0,5.0,NaN
Prague, Central European,1442.0,4.5,23.0
Edinburgh, Gluten Free Options,136.0,4.5,528.0
London,Italian,4318.0,4.5,37.0
Warsaw,Polish,1084.0,5.0,NaN
Madrid,unknown,5200.0,4.5,4.0
Lisbon, European,106.0,4.5,477.0
Lisbon,Portuguese,1529.0,4.0,65.0
Prague, Belgian,383.0,4.5,76.0
Prague,Czech,1632.0,4.0,20.0
Rome, Vegetarian Friendly,545.0,4.0,1872.0
Lisbon, European,1070.0,4.5,79.0
Edinburgh,Mediterranean,864.0,3.5,165.0
Paris, French,8787.0,4.5,2.0
Milan,unknown,4603.0,4.0,NaN
London,Asian,13513.0,3.5,29.0
Hamburg, Middle Eastern,453.0,4.0,41.0
Barcelona,International,4486.0,3.0,327.0
London, Gluten Free Options,10942.0,3.5,324.0
London, Vegetarian Friendly,2778.0,4.5,40.0
Berlin, European,337.0,4.5,157.0
London,Japanese,14354.0,3.5,5.0
Rome, Bar,2051.0,4.5,61.0
Vienna,unknown,1877.0,5.0,NaN
Barcelona,unknown,3725.0,4.0,19.0
Copenhagen, Turkish,656.0,4.0,64.0
Rome,Italian,410.0,4.0,858.0
London, Asian,554.0,4.0,808.0
Rome,Italian,805.0,5.0,47.0
Paris,French,13364.0,2.5,10.0
Barcelona, Vegan Options,1370.0,4.0,303.0
Paris, Thai,909.0,4.5,224.0
Copenhagen, European,177.0,4.5,242.0
Madrid,Sushi,6062.0,3.5,19.0
Lisbon, Fast Food,776.0,4.5,33.0
Barcelona,unknown,5694.0,4.0,NaN
Budapest,Indian,911.0,4.5,38.0
London,Seafood,12029.0,3.0,220.0
Barcelona, Vegan Options,1783.0,4.5,78.0
Brussels,Italian,1437.0,4.5,13.0
Paris, Asian,2659.0,4.0,100.0
Amsterdam,Italian,146.0,4.5,230.0
London,European,654.0,4.5,488.0
Berlin, Central European,1502.0,3.5,824.0
London,European,1037.0,4.0,710.0
Madrid,unknown,3158.0,4.0,27.0
London,Italian,11101.0,4.0,5.0
Athens, Vegetarian Friendly,820.0,4.0,100.0
Amsterdam, Vegetarian Friendly,2910.0,3.0,43.0
Madrid, Eastern European,1746.0,4.5,83.0
Zurich, Vegetarian Friendly,496.0,4.0,61.0
London, International,3762.0,4.0,404.0
Copenhagen,European,428.0,4.0,44.0
London, Vegetarian Friendly,7632.0,3.5,48.0
Rome,Italian,775.0,4.0,1879.0
Milan,unknown,2628.0,4.0,60.0
Paris,African,8183.0,5.0,NaN
Zurich,unknown,1338.0,3.5,13.0
Madrid,Spanish,8596.0,2.0,14.0
Munich, Middle Eastern,2473.0,3.0,95.0
Amsterdam,Bar,1822.0,4.0,46.0
Vienna, Vegetarian Friendly,2182.0,4.5,2.0
Lisbon,Swiss,233.0,4.5,244.0
London,Asian,2036.0,5.0,26.0
Rome,Italian,5019.0,4.5,12.0
Dublin, Seafood,1522.0,4.0,13.0
Paris, Asian,4230.0,4.0,243.0
Madrid,Bar,2180.0,3.5,249.0
Vienna,unknown,1868.0,5.0,NaN
Milan,unknown,4985.0,3.5,6.0
Paris,Japanese,11489.0,4.5,16.0
Oslo, Gluten Free Options,56.0,4.0,242.0
Geneva,Soups,83.0,4.5,128.0
Madrid, Wine Bar,5458.0,3.5,106.0
Berlin, Wine Bar,1567.0,4.5,37.0
Rome, Vegetarian Friendly,1124.0,4.0,409.0
Madrid, Vegan Options,188.0,4.5,678.0
Barcelona, European,615.0,4.0,1340.0
Barcelona, Fast Food,3227.0,3.5,62.0
London,unknown,12776.0,4.0,3.0
Budapest, Gluten Free Options,861.0,3.5,157.0
Edinburgh, British,892.0,4.0,91.0
Zurich, Vegetarian Friendly,63.0,4.0,343.0
London, Seafood,4717.0,5.0,13.0
Lyon, Sushi,348.0,4.5,166.0
Milan, Vegan Options,1229.0,3.5,663.0
London, European,1890.0,4.0,239.0
Edinburgh, Vegetarian Friendly,426.0,4.5,293.0
Munich,Asian,65.0,4.5,319.0
Paris,Chinese,257.0,4.5,283.0
Athens,Mediterranean,169.0,4.0,532.0
Copenhagen,Italian,831.0,4.0,55.0
Brussels, Belgian,201.0,3.5,819.0
Warsaw, Vegetarian Friendly,397.0,4.0,43.0
Lisbon, Cafe,3408.0,3.0,2.0
Brussels,unknown,2650.0,3.0,6.0
Berlin,unknown,2326.0,5.0,10.0
Brussels,French,624.0,4.0,60.0
London, African,12654.0,4.0,NaN
London,Indian,6702.0,4.5,28.0
Madrid,Turkish,8085.0,2.5,10.0
Rome, Mediterranean,598.0,4.5,207.0
Zurich,Italian,1236.0,4.5,4.0
Berlin,European,535.0,4.0,129.0
London,British,6182.0,4.0,13.0
Zurich, Vegetarian Friendly,1238.0,3.5,45.0
Madrid, American,273.0,4.5,109.0
London, Vegan Options,2853.0,4.0,78.0
Lisbon, Portuguese,3441.0,3.0,7.0
Lisbon, Portuguese,129.0,4.5,461.0
Lisbon, Portuguese,2377.0,3.5,25.0
Paris, Contemporary,769.0,5.0,51.0
Amsterdam,Dutch,1091.0,4.0,106.0
Munich, Vegetarian Friendly,328.0,4.0,194.0
London, British,584.0,4.0,498.0
Barcelona,Mediterranean,4683.0,4.0,21.0
Lyon,Brazilian,1314.0,4.0,11.0
Milan, Gastropub,4051.0,4.5,2.0
Vienna, European,77.0,4.5,591.0
Edinburgh, Gluten Free Options,336.0,4.0,648.0
London, European,3196.0,4.5,113.0
Madrid,Spanish,5553.0,4.0,13.0
Geneva, Bar,235.0,4.5,74.0
Paris, Vegetarian Friendly,462.0,4.0,1476.0
Lisbon,Portuguese,170.0,5.0,114.0
Paris, Vegetarian Friendly,1989.0,4.0,163.0
Budapest, Central European,458.0,4.5,155.0
Madrid,unknown,2566.0,4.0,18.0
Hamburg,Italian,267.0,4.5,76.0
Brussels, European,1313.0,4.5,12.0
Paris,unknown,10764.0,4.0,NaN
Dublin, Cafe,365.0,4.5,92.0
Barcelona, Vegetarian Friendly,302.0,4.5,871.0
Helsinki,Cafe,189.0,4.5,77.0
Prague,Bar,882.0,4.0,95.0
London,Mexican,2918.0,4.0,144.0
Lisbon, European,675.0,4.5,119.0
Paris,French,8311.0,5.0,NaN
Barcelona,Italian,153.0,4.5,817.0
Vienna, Mediterranean,2220.0,4.5,5.0
Prague, European,925.0,5.0,32.0
Munich,Italian,373.0,4.5,52.0
Zurich,Mediterranean,1580.0,3.5,104.0
Zurich, Central European,197.0,4.0,143.0
Barcelona,Sushi,5391.0,3.5,24.0
London, Middle Eastern,14552.0,3.0,2.0
Barcelona,Mediterranean,6897.0,3.0,NaN
Madrid, Spanish,351.0,4.0,437.0
Madrid,Steakhouse,735.0,4.0,309.0
Ljubljana,Steakhouse,18.0,4.5,308.0
Paris,French,8608.0,3.5,50.0
Madrid, Mediterranean,7008.0,3.0,53.0
