Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,11,15,15,23,28,28,28,44,3,44,53,65,72,87,93,122,165,182,209,3,273,298,3,6,6,9,9,9,359,991,1058,1098,1148,1197,1253,1283,1340,1373,1398,400,1436,1480,1518,1548,1592,1617,1645,1678,1717,1766,443,1804,521,584,641,717,822,926,1854,2519,2589,2693,2758,2879,2980,3138,3274,3387,3518,1894,3631,3749,3855,3982,4122,4271,4403,4568,4759,4989,1932,5246,5494,1984,2060,2127,2204,2279,2422,5662,8530,8882,9218,9570,9957,10324,10662,10991,11329,11767,5935,12238,12729,13207,13715,14305,14852,15369,15890,16424,16968,6260,17524,6522,6860,7239,7553,7876,8191,18112,22990,23521,18684,19267,19801,20324,20837,21374,21916,22464
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,4,4,4,5,5,9,10,10,11,0,14,14,0,0,0,0,0,0,21,42,46,46,47,49,49,53,54,55,55,24,60,65,65,72,73,78,80,80,80,80,24,81,28,28,29,33,40,41,81,92,93,93,94,96,96,96,96,96,96,83,97,97,97,100,100,100,100,100,101,102,83,102,102,83,89,92,92,92,92,102,103,103,103,103,103,103,104,104,104,104,102,104,104,104,104,104,104,104,104,104,104,102,104,102,102,103,103,103,103,104,108,111,104,104,104,104,104,104,106,107
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,0,0,0,0,0,0,0,47,110,195,195,195,210,214,214,228,256,278,49,285,305,334,377,392,419,458,466,476,499,49,515,567,52,55,60,85,85,95,569,925,1040,1136,1361,1528,1671,1700,1740,1773,1881,643,1907,1973,2027,2217,2518,2588,2647,2723,2811,2921,672,3040,688,700,756,811,823,887,3170,4941,5236,5531,5816,6198,6583,6747,6956,7184,7532,3284,7888,8174,8414,8802,9138,9171,9366,9692,10052,10449,3383,10793,11398,3533,3720,3934,4199,4444,4774,11871,16200,16667,17269,17713,18227,19013,19553,19961,20430,20916,12311,21331,21764,22407,23062,23570,24081,24805,25267,25705,26239,12815,26758,13296,13835,14383,14763,15417,15731,27414,32039,32470,27837,28410,28857,29367,29821,30321,30931,31528
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,8,10,14,17,0,20,25,27,33,39,39,44,48,48,48,0,49,51,0,0,0,0,3,3,54,424,482,621,803,1012,1231,1572,1838,2144,2456,56,2948,3382,3772,4186,4689,4998,5416,5913,6462,7103,61,7667,70,88,123,164,218,330,8238,14657,15691,16660,17822,18863,20065,20995,22268,23870,25121,8790,26738,28511,30205,32078,33610,35585,36751,38292,40321,42844,9455,44608,47153,10143,10929,11719,12425,13134,13770,49534,74865,78052,81523,84379,87520,90619,94481,98489,102292,105535,52445,108775,112306,115786,119198,122660,126606,130474,133978,137787,141801,55140,145483,57563,60391,63026,65769,68504,71675,149258,178443,181129,153277,156391,159679,162417,165618,168645,172134,175494
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,5,6,14,17,18,18,18,24,26,33,0,33,34,0,0,0,0,0,0,34,67,68,71,72,72,73,75,75,75,75,46,75,75,75,76,77,79,79,80,80,80,51,81,52,56,60,63,63,66,81,84,84,85,85,85,85,86,88,88,90,81,90,90,90,92,92,92,92,92,92,92,82,92,92,82,82,82,82,83,84,92,96,96,96,96,96,97,97,97,97,97,92,97,97,97,97,97,97,97,97,97,97,92,97,92,92,92,92,92,92,97,98,103,97,97,97,98,98,98,98,98
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9,9,12,27,27,27,36,36,51,51,1,69,76,76,81,81,86,86,94,94,94,1,152,152,6,6,6,6,6,6,163,1981,2226,2578,2919,3281,3728,4204,4779,5297,5807,304,6264,6723,7281,8022,8773,9590,10463,11289,12208,13181,351,14027,440,562,700,861,1066,1486,14917,22973,23906,24873,25825,26772,27730,28681,29650,30572,31508,15828,32426,33371,34303,35244,36198,37144,38059,38956,39858,40764,16705,41658,42556,17489,18350,19255,20168,21101,22052,43403,51066,51816,52520,53241,53973,54680,55369,56032,56657,57333,44255,57936,58505,59023,59487,59945,60382,60713,61095,61475,61790,45116,62118,45981,46868,47751,48630,49453,50265,62424,64604,64767,62698,62997,63270,63554,63804,64003,64224,64411
Belgium,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,267,314,314,559,689,886,1058,1243,1486,1795,8,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,13,11899,12775,23,50,109,169,200,239,13964,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,15348,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,16770,48519,18431,19691,20814,22194,23403,24983,49032,53081,53449,53779,53981,54288,54644,54989,55280,55559,55791,49517,55983,56235,56511,56810,57092,57342,57455,57592,57849,58061,49906,58186,58381,50267,50509,50781,51420,52011,52596,58517,59569,59711,59819,59918,60029,60100,60155,60244,60348,60476,58615,60550,60550,60550,60810,60898,61007,61106,61209,61295,61361,58685,61427,58767,58907,59072,59226,59348,59437,61509,62357,62469,61598,61727,61838,62016,62058,62058,62123,62210
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0,3,3,0,0,0,0,0,0,3,10,13,14,18,18,18,18,18,18,18,3,18,18,18,18,18,18,18,18,18,18,4,18,4,5,7,7,8,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,21,22,22,22,22,18,22,22,23,23,23,23,24,24,24,24,18,24,18,19,19,19,19,20,28,37,37,28,30,30,30,30,30,30,30
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,2,2,5,6,6,6,6,6,6,0,6,9,0,0,0,0,0,0,13,35,35,35,35,35,35,35,35,35,35,13,54,54,54,54,54,54,64,64,64,64,16,64,16,22,26,26,26,26,90,319,319,327,327,339,339,339,339,339,130,90,130,135,135,135,191,191,208,210,210,224,90,224,232,96,96,96,140,242,284,243,305,305,388,412,442,483,532,572,597,650,244,650,765,807,850,902,1017,1053,1124,1149,1187,244,1199,261,261,261,261,288,305,1199,1285,1378,1199,1199,1199,1199,1199,1199,1199,1285
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,3,3,4,0,4,4,0,0,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,5,7,5,5,5,5,5,5,7,7,9,11,15,20,21,21,21,21,21,7,21,21,21,24,24,27,27,28,31,31,7,33,43,7,7,7,7,7,7,43,59,62,62,66,66,67,67,67,67,68,47,68,68,68,70,70,70,70,75,76,77,47,77,47,48,48,59,59,59,77,80,82,77,77,78,80,80,80,80,80
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,0,15,19,24,27,29,32,43,61,74,81,0,97,107,0,0,0,0,0,0,115,268,275,300,330,354,397,441,465,493,520,123,564,598,609,703,807,866,950,1014,1053,1110,132,1167,139,157,183,194,210,264,1229,2556,2831,2964,3148,3372,3577,3826,4088,4263,4481,1470,4919,5187,5579,5915,6263,6660,7136,7768,8387,8731,1594,9592,9982,1681,1802,1886,2081,2266,2437,10531,15281,16165,16929,17842,18459,19073,19883,20685,21499,22476,10991,23512,24388,25493,26389,27487,28503,29423,30676,31524,32125,11638,33219,12245,12728,13358,13643,13949,14644,34227,45565,47200,35528,36818,38071,39297,40509,41545,42984,44113
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,13,18,24,25,26,38,63,0,89,93,126,136,166,176,191,237,258,323,0,368,420,0,2,2,3,3,3,459,901,946,1009,1037,1083,1110,1167,1214,1268,1285,533,1309,1342,1368,1413,1421,1486,1516,1565,1585,1677,579,1757,624,654,674,764,804,858,1781,2117,2141,2158,2181,2218,2236,2267,2290,2304,2321,1839,2338,2350,2372,2391,2401,2406,2416,2435,2462,2485,1857,2494,2510,1926,1946,1987,2027,2070,2090,2524,2775,2832,2893,2893,2893,3040,3085,3141,3174,3273,2535,3273,3273,3525,3588,3676,3796,3935,3935,3935,4325,2551,4453,2594,2606,2606,2606,2704,2728,4606,6402,6719,4788,4962,4962,4962,5458,5621,5869,6086
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,13,13,13,13,13,13,15,15,15,20,4,20,20,22,22,22,22,22,22,23,23,4,23,4,6,6,6,6,13,23,23,24,24,24,24,24,24,25,25,25,23,25,29,30,30,35,35,35,35,35,35,23,35,35,23,23,23,23,23,23,38,48,48,48,60,60,60,60,79,79,89,40,89,89,89,89,92,92,92,92,92,175,40,227,40,40,40,40,42,42,227,314,314,227,277,277,277,314,314,314,314
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,2,31,38,52,151,151,162,200,321,372,621,2,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,2,4579,5717,4,4,13,13,20,25,6836,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,8044,40743,43079,45757,50036,54043,59324,63100,67446,73235,79685,9056,87187,10360,11130,12161,14034,16170,18092,92202,162699,169594,178214,190137,203165,220291,233511,241080,255368,271885,97100,291579,310087,330890,347398,363211,374898,391222,411821,438238,465166,101826,498440,514849,108620,115455,126611,135773,146894,156061,526447,772416,802828,828810,850514,867624,888271,923189,955377,978142,1032913,555383,1067579,1083341,1106470,1145906,1188631,1228114,1274974,1313667,1344143,1368195,584016,1402041,614941,645771,672846,691758,707412,739503,1448753,1800827,1839850,1496858,1539081,1577004,1603055,1623284,1668589,1713160,1755779
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,37,40,50,54,56,68,75,0,78,83,88,91,104,109,114,115,120,126,0,127,129,0,0,0,0,0,1,131,136,136,136,136,136,136,136,136,137,138,133,138,138,138,138,138,138,138,138,138,138,134,138,135,135,135,135,135,135,138,141,141,141,141,141,141,141,141,141,141,138,141,141,141,141,141,141,141,141,141,141,138,141,141,138,138,139,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,23,41,51,52,67,92,94,0,127,163,187,201,218,242,264,293,331,346,0,359,399,0,0,0,0,4,4,422,635,661,675,685,713,747,800,846,878,894,457,929,975,1024,1097,1234,1247,1300,1363,1399,1447,485,1506,503,531,549,577,593,618,1555,1965,1990,2023,2069,2100,2138,2175,2211,2235,2259,1594,2292,2331,2372,2408,2427,2433,2443,2460,2477,2485,1618,2499,2513,1652,1704,1778,1829,1872,1921,2519,2993,3086,3191,3266,3290,3341,3453,3542,3674,3755,2538,3872,3905,3984,4114,4242,4408,4513,4625,4691,4831,2560,4989,2585,2627,2711,2727,2810,2889,5154,6964,7175,5315,5497,5677,5740,5914,6102,6342,6672
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,20,33,0,40,64,75,99,114,146,152,180,207,222,0,246,261,0,0,0,0,0,0,282,443,484,497,497,528,542,546,557,565,576,288,581,600,609,616,629,629,632,635,638,641,302,645,318,345,364,384,414,443,649,751,760,766,773,773,780,782,796,796,796,652,809,812,814,814,814,832,832,845,847,847,662,847,847,672,688,729,736,744,748,847,891,892,892,892,894,894,895,899,899,900,881,901,903,903,907,919,934,941,941,959,959,884,962,885,888,888,889,890,891,962,1020,1033,967,980,987,987,1000,1003,1003,1005
Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,0,14,15,0,0,0,0,0,0,15,27,38,41,62,63,74,85,88,98,111,20,119,121,123,139,144,146,146,146,150,150,20,151,21,21,22,22,22,23,151,180,180,180,181,181,182,182,184,191,193,151,199,199,199,201,201,203,206,206,206,207,155,224,224,161,161,161,176,177,178,228,248,260,261,261,261,262,262,262,286,286,232,287,290,291,292,293,293,293,296,299,299,233,299,236,236,240,242,244,246,303,326,330,304,306,313,313,316,316,317,321
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,5,5,5,5,5,5,5,5,5,3,5,5,11,11,11,11,11,11,11,11,3,11,3,3,3,3,3,3,11,15,15,15,15,15,15,15,23,42,42,15,42,42,42,42,42,42,42,42,42,42,15,63,63,15,15,15,15,15,15,63,83,85,85,85,85,85,104,104,104,104,63,104,144,144,144,144,144,144,170,170,170,63,170,63,63,83,83,83,83,170,191,191,170,191,191,191,191,191,191,191
