Subtitle,Item #,Description,On Hand,Reg.,Special,Disc. %
Shotguns,12274204,"BROWNING BPS MAX5 12 GA 3.5"" 28""",1.0,1120.0,952.0,15.00000095
Rimfire Rifles,SAV96709,SAVAGE 93R17-F 17HMR,3.0,360.0,288.0,20.0
Restricted Firearms,JS92F510,BERETTA 92FS INOX 9MM,1.0,1190.0,995.0,16.38999939
Shotguns,20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,476.0,20.0
Restricted Firearms,RUG5027,RUGER RDHWK 45 COLT SS,2.0,1495.0,1075.0,28.09000015
Centrefire Rifles,R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0,18.22999954
Rimfire Rifles,SAV96703,SAVAGE 93R17 FVSS 17 HMR,2.0,570.0,456.0,20.0
Centrefire Rifles,TS3203100,TIKKA T3 SYN 300 WIN MAG,1.0,840.0,675.0,19.63999939
Shotguns,DEMOM2,"BENELLI M2 TAC 18"" 12GA",1.0,1300.0,875.0,32.68999863
Rimfire Rifles,SAV40203,SAVAGE 64F 22 LR,,210.0,168.0,20.0
Centrefire Rifles,K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2975.0,2400.0,19.32999992
Rimfire Rifles,SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,225.0,180.0,20.0
Centrefire Rifles,NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,2295.0,1900.0,17.20999908
Rimfire Rifles,SAV13780,SAVAGE RASCAL PINK 22 LR,2.0,250.0,220.0,12.0
Rimfire Rifles,SAV40001,SAVAGE 64F SEMI 22LR,1.0,230.0,184.0,20.0
Shotguns,BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,775.0,620.0,20.0
Centrefire Rifles,SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,600.0,500.0,16.67000008
Rimfire Rifles,SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,599.0,479.2,20.0
Shotguns,MOS50460,MOSSBERG 500 CHAINSAW 12GA,1.0,675.0,525.0,22.21999931
Restricted Firearms,G21GEN4FS,GLOCK 21 GEN 4 FIXED SIGHTS,1.0,1175.0,950.0,19.14999962
Shotguns,512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,585.0,468.0,20.0
Restricted Firearms,G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,1065.0,875.0,17.84000015
Rimfire Rifles,SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,450.0,360.0,20.0
Shotguns,A0389400,"BENELLI SUPER NOVA TAC 3.5"" 12GA 14""",2.0,1000.0,800.0,20.0
Restricted Firearms,1911-22-C1,SIG SAUER 1911 22 C1 CAMO,1.0,699.0,399.0,42.91999817
Centrefire Rifles,35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1375.0,1168.75,15.00000095
Centrefire Rifles,SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,500.0,16.67000008
Rimfire Rifles,SAV45110,SAVAGE 64FV-SR SEMI 22LR,2.0,315.0,252.0,20.0
Restricted Firearms,BM90831,BUSHMASTER XM15 PATROLMAN 223/5.56,1.0,1500.0,1095.0,27.0
Centrefire Rifles,K3000814,KIMBER MONTANA 280 ACK. IMP.,1.0,2099.0,1700.0,19.01000023
Shotguns,ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,660.0,528.0,20.0
Shotguns,BEN20100,"BENELLI SUPER NOVA 3.5"" 12 GA",1.0,775.0,620.0,20.0
Centrefire Rifles,35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
Centrefire Rifles,35201246,BROWNING X-BLT STLKR 300 WSM,2.0,1050.0,892.5,15.00000095
Shotguns,MKA1919KM,MKA 1919 KEY MOD 12GA,1.0,1050.0,892.5,15.00000095
Restricted Firearms,51808490,"BROWNING 1911-22 A1 TAN FS,S,22 LR",1.0,690.0,515.0,25.36000061
Centrefire Rifles,TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,1185.0,845.0,28.69000053
Rimfire Rifles,SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,250.0,220.0,12.0
