Subtitle,Institution,Specific Graduate Program,Restrictions,City,State
Maryland Institute College of Art,,Rinehart School of Sculpture,2,79,30
University of Pennsylvania,,36,7.5 suggested,58,16
"University of Phoenix, Southwest Learning Center, Las Vegas",,0,,124,33
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,0,,Clarkesville,18
"Texas A&M University, Commerce",,53,,105,11
University of New Haven,,M.S. Industrial Engineering,,126,38
"University of Phoenix, Northwest Indiana Campus, Merrilville",,0,,Merrilville,3
Doane College,,Master of Education- Educational Leadership,,68,37
Dominican University,,15,,69,27
New York Medical College,,Doctor of Public Health in Health Policy and Management (DrPH),,89,0
University of Puget Sound,,School of Occupational Therapy,,93,29
"University of Texas, Brownsville",,Master of Science in Physics,2,Brownsville,11
"University of Colorado, Boulder",,MBA,,114,24
"University of Phoenix, Milwaukee Campus, Brookville",,0,,82,1
University of Rhode Island,,College of Environmental and Life Sciences,2,140,41
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,0,,San Bernadino,9
Trine University,,Master of Engineering,,Angola,3
Ohio Dominican University,,20,,16,10
"Devry University, Ft. Lauderdale Center",,25,,43,32
"Devry University, Louisville Campus",,25,,8,12
"Devry University, St. Louis Park Center",,25,,St.Louis,17
Goshen College,,MS Nursing,,77,3
Massachusetts Institute of Technology,,Computation for Design and Optimization,5,85,7
Illinois Institute of Technology,,College of Psychology,2,31,27
"Devry University, Glendale Center",,25,,44,5
"University of Maryland, Baltimore County",,Continuing & Professional Studies,Master of Science in Engineering Management: Contact school for score,79,30
"University of Phoenix, Livonia Learning Center, Livonia",,0,,Livonia,4
Vanderbilt University,,7,2,54,18
"Texas A&M University, College Station",,Mays Business School,,104,11
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,0,,134,6
"University of Phoenix, Yuma Learning Center, Yuma",,0,,Yuma,6
University of Pennsylvania,,School of Social Policy and Practice,,58,16
"University of Alabama, Birmingham",,13,,109,8
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,0,,Grand Chute,1
Columbia University,,Fu Foundation School of Engineering and Applied Science,2,6,0
"California State University, Fullerton",,Master of Music,,14,9
"Devry University, Elgin Center",,25,,Elgin,27
"Baruch College, City University of New York (CUNY)",,Zicklin School of Business,,6,0
"University of Colorado, Denver",,33,,25,24
"University of Phoenix, Deleware Campus, Wilmington",,0,,127,26
Vanderbilt University,,3,2,54,18
"University of Phoenix, Southglen Learning Center, Centennial",,0,,Centennial,24
Massachusetts Institute of Technology,,System Design and Management,5,85,7
"Wheaton College, Illinois",,20,,147,27
University of Oregon,,Lundquist College of Business,9,128,36
Georgia State University,,College of Arts and Science,2,33,28
Northeastern University,,50,,11,7
University of San Francisco,,7,,75,9
New School (The),,20,,6,0
"University of Minnesota, Twin Cities",,64,,15,17
Bellarmine University,,W. Fielding Rubel School of Business,,8,12
"University of Phoenix, Murrietta Learning Center, Murrietta",,0,,Murrietta,9
"Devry University, Phoenix Campus",,25,,3,5
Virginia Polytechnic Institute and State University,,16,,146,23
"Devry University, Rego Park (Queens) Center",,25,,Rego Park,0
Massachusetts Institute of Technology,,Economics,6,85,7
University of Rhode Island,,Department of Communication Studies,2,140,41
Pace University,,Lienard School of Nursing,,6,0
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,0,,Cedar Rapids,45
Doane College,,Master of Education- Curriculum and Development,,68,37
Pepperdine University,,Graziadio School of Business and Management,,96,9
Bryn Mawr College,,11,,Bryn Mawr,16
"Devry University, Colton (Inland-Empire) Center",,25,,Colton,9
Palo Alto University,,Pacific Graduate School of Psychology,2,Palo Alto,9
Seton Hall University,,Whitehead School of Diplomacy and International Relations,,South Orange,13
New York University,,Stern School of Business,,6,0
"University of Michigan, Dearborn",,"College of Arts, Sciences and Letters",,123,4
Washington University in St. Louis,,George Warren Brown School of Social Work MPH Program,,65,34
"University of Phoenix, Northern Nevada Campus, Reno",,0,,125,33
University of Oregon,,School of Music and Dance,2,128,36
"Wheaton College, Illinois",,45,,147,27
"University of Phoenix, Macon Learning Center, Macon",,0,,86,28
Northwestern University,,Northwestern Engineering Master of Project Management (MPM),,90,27
Georgetown University,,McDonough Business School,,1,2
Monterey Institute of International Studies,,Advanced Entry Master of Business Administration,,88,9
"Devry University, Manhattan Center",,25,,6,0
"University of Phoenix, Las Colinas Learning Center, Irving",,0,,47,11
Boston University,,11,,11,7
"University of Michigan, Ann Arbor",,School of Information,,122,4
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,0,,43,32
Dartmouth College,,Tuck School of Business,,29,25
"University of Phoenix, Little Rock Campus, Little Rock",,0,,111,6
"Devry University, Chicago Loop Center",,25,,31,27
Seattle University,,Albers School of Business and Economics,,101,29
George Washington University,,31,3,1,2
University of New Haven,,M.S. in Cellular Molecular Biology,,126,38
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,0,,Bossier City,42
University of Scranton,,Counseling Programs,,84,16
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,0,,133,48
"University of Phoenix, Omaha Campus, Omaha",,0,,135,39
"Devry University, Tinley Park Campus",,25,,Tinley Park,27
"University of Phoenix, Salem Learning Center, Salem",,0,,136,36
Brandeis University,,11,,12,7
"Devry University, Orlando Campus",,25,,57,32
"University of Phoenix, East Orlando Learning Center, Orlando",,0,,57,32
Pace University,,Dyson College of Arts and Sciences,,6,0
Marywood University,,Psychology:,,84,16
Illinois Institute of Technology,,Stuart School of Business,2,31,27
Massachusetts Institute of Technology,,Materials Science and Engineering,5,85,7
"City University of Seattle, Victoria",,22,2,22,21
"University of Phoenix, Philadelphia Campus, Wayne",,0,,Wayne,16
University of Central Oklahoma,,39,2,113,35
University of Miami,,30,,Coral Gables,32
"Devry University, Houston Galleria",,25,,7,11
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,0,,Sugar Land,11
Clark University,,Graduate School Economics Department,,4,7
"University of Phoenix, Independence Learning Center, Independence",,0,,129,34
"University of Phoenix, Houston Campus, Houston",,0,,7,11
Duke University,,Fuqua School of Business,2,71,31
"Pennsylvania State University, Harrisburg",,52,,95,16
Clark University,,24,,4,7
Mississippi State University,,Master of Science in Speech-Language Pathology,,16,40
Chamberlain College of Nursing (online),,2,0,Online,
Northeastern University,,Master of Design for Sustainable Urban Environments (MDes),,11,7
Virginia Polytechnic Institute and State University,,Department of English,College of Liberal Arts and Human Sciences,146,23
"Texas A&M University, Commerce",,55,,105,11
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,0,,Elk Grove,9
"Devry University, Waukesha Center",,25,,Waukesha,1
"University of Phoenix, South Orlando Learning Center, Orlando",,0,,57,32
"University of Colorado, Boulder",,"Molecular, Cellular, and Developmental Biology (MCDB)",,114,24
"University of Phoenix, Arlington Student Resource Center, Arlington",,0,,32,23
University of Portland,,Theology,,59,36
Maryland Institute College of Art,,MA in Teaching,2,79,30
"University of Phoenix, Eastern Washington Campus, Spokane",,0,,76,29
Baylor College of Medicine,,9,,7,11
"Devry University, Sugar Land (Houston) Center",,25,,Sugarland,11
"University of Hawaii, Manoa",,1,10,118,44
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,0,,44,1
"University of Phoenix, Miramar Learning Center, Miramar",,0,,53,32
Yale University,,Divinity School and Institute for Sacred Music,,149,38
"Devry University, Arlington (Crystal City) Campus",,25,,32,23
American University,,School of International Service,,1,2
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,0,,65,34
"Devry University, Stockbridge (Henry County) Center",,25,,Stockbridge,28
University of Portland,,Drama,,59,36
Kent State University,,Department of Geology,,80,10
Maryland Institute College of Art,,Graphic Design,,79,30
Massachusetts Institute of Technology,,46,5,85,7
"City University of Seattle, Calgary",,21,2,Calgary,19
Luther Seminary,,45,,83,17
Johns Hopkins University,,School of Arts and Sciences-4610,,79,30
York College of Pennsylvania,,1,,York,16
"University of Phoenix, Bellevue Learning Center, Bellevue",,0,,36,29
Missouri University of Science and Technology,,1,,Rolla,34
Loyola University Chicago,,33,,31,27
"University of Phoenix, Colorado Campus, Lone Tree",,0,,Lone Tree,24
Henderson State University,,0,,Arkadelphia,6
"Devry University, Merrillville Center",,25,,Merrillville,3
University of Virginia,,Frank Batten School of Leadership and Public Policy,2,144,23
"Devry University, Greenwood Village (Denver South) Center",,25,,Greenwood Village,24
Howard University,,35,,1,2
University of San Francisco,,Ph.D,School of Arts and Sciences,75,9
Carson-Newman College,,20,,Jefferson City,18
Pacific Lutheran University,,0,,93,29
University of Hartford,,Excellence in Engineering and Management,,West Hartford,38
Keuka College,,41,,Keuka Park,0
University of Southern Mississippi,,Department of Foreign Language and Literature,0,142,40
"University of North Carolina, Charlotte",,Belk College of Business,,37,31
Hofstra University,,1,2,Hempstead,0
Massachusetts Institute of Technology,,Supply Chain Management,Contact school for score. IELTS only,85,7
Washington University in St. Louis,,George Warren Brown School of Social Work MSW Program,,65,34
Southern Arkansas University,,6,,Magnolia,6
"Devry University, Indianapolis Center",,25,,46,3
Golden Gate University,,Ageno School of Business,,75,9
"Devry University, Lynnwood Center",,25,,Lynnwood,29
Bloomfield College,,Institute for Technology and Professional Studies,Bachelor of Science in Nursing (RN to BSN program),Bloomfield,13
Niagara University,,1,,Niagara University,0
University of Delaware,,College of Health Sciences,2,99,26
George Washington University,,Columbian College of Arts and Sciences,3,1,2
"Devry University, Duluth (Gwinnett) Center",,25,,40,28
"Auburn University, Auburn",,7,,5,8
"University of Phoenix, Dallas Campus, Dallas",,0,,Dallas,11
"University of Michigan, Ann Arbor",,64,,122,4
Carnegie Mellon University,,Master of Science in Computational Finance,2,17,16
Columbia University,,Teacher's College,,6,0
University of Texas Medical Branch,,9,,143,11
Widener University,,Center for Education,,148,16
"University of Phoenix, Washington D.C. Campus, Washington",,0,,1,2
University of San Francisco,,31,,75,9
"Temple University, Japan Campus",,1,2,Tokyo,
Widener University,,49,,148,16
"University of Phoenix, Greensboro Learning Center, Greensboro",,0,,Greensboro,31
"University of Minnesota, Twin Cities",,Carlson School of Management,,15,17
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,0,,91,11
"University of Phoenix, Lancaster Learning Center, Lancaster",,0,,Lancaster,9
"Devry University, Fremont Campus",,25,,41,9
"University of California, Davis",,25,,Davis,9
University of Pittsburgh,,Swanson School of Engineering,,17,16
"Devry University, Miramar Campus",,25,,53,32
"Devry University, Ft. Washington Campus",,25,,Ft. Washington,16
University of Virginia,,7,4,144,23
Pace University,,Pace University-Lenox Hill Hospital Physician Assistant Program,,6,0
"University of North Carolina, Wilmington",,Cameron School of Business,,127,31
"University of Phoenix, North Valley Learning Center - Chico, Chico",,0,,Chico,9
Loma Linda University,,School of Allied Health Professions,,81,9
University of Oregon,,3,2,128,36
"University of Phoenix, West Florida Campus, Tempe Terrace",,0,,Tempe Terrace,32
"Texas A&M University, Commerce",,Biological Sciences,,105,11
"University of Phoenix, Kapolei Learning Center, Kapolei",,0,,Kapolei,44
"Devry University, Philadelphia (Center City) Center",,25,,58,16
University of Central Oklahoma,,Jackson College of Graduate Studies,,113,35
"Devry University, Nashville Campus",,25,,54,18
"California Baptist University, Hesperia",,17,,Hesperia,9
Georgetown University,,11,,1,2
"University of Colorado, Boulder",,54,,114,24
University of Pittsburgh,,13,,17,16
"University of Minnesota, Twin Cities",,13,,15,17
"City University of Seattle, Vancouver, Canada",,22,2,21,20
"Devry University, Naperville Center",,25,,Naperville,27
"University of Texas, Austin",,McCombs School of Business,MPA Only,34,11
"University of Massachusetts, Boston",,63,,11,7
Oral Roberts University,,School of Theology and Ministry,,92,35
"University of Phoenix, Northwest Learning Center, Phoenix",,0,,3,5
New York University,,48,4,6,0
Doane College,,Master of Arts in Counseling,,68,37
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,0,,15,17
Nova Southeastern University,,H. Wayne Huizenga School of Business and Entrepreneurship,,43,32
"University of Michigan, Ann Arbor",,7,,122,4
Northeastern University,,Sciences in Marine Biology,,11,7
"University of Washington, Bothell",,65,,Bothell,29
"University of Phoenix, Jersey City Campus, Jersey City",,0,,Jersey City,13
University of South Carolina,,Geological Sciences,,130,22
"University of Nevada, Reno",,39,9,125,33
University of Houston,,28,2,7,11
Johns Hopkins University,,Carey Business School,,79,30
University of Houston,,UH Law Center,,7,11
"Devry University, Richardson Center",,25,,Richardson,11
"University of Phoenix, Detroit Campus, Troy",,0,,Troy,4
St. Mary's University,,Bill Greehey School of Business,,61,11
"University of Phoenix, Arlington Learning Center, Arlington",,0,,32,23
"Devry University, Jacksonville Campus",,25,,48,32
Virginia Polytechnic Institute and State University,,College of Science,,146,23
New School (The),,Master of Fine Arts Program in Creative Writing,,6,0
"Baruch College, City University of New York (CUNY)",,Division of Continuing and Professional Studies,,6,0
Massachusetts Institute of Technology,,Computational and Systems Biology,6,85,7
Carnegie Mellon University,,19,,17,16
"University of Phoenix, Jackson Campus, Flowood",,0,,Flowood,40
"Devry University, Portland Campus",,25,,59,36
Fordham University,,School of Social Service,,6,0
"University of Phoenix, McAllen Campus, Allen",,0,,Allen,11
"University of Maryland, College Park",,Robert H. Smith School of Business,,College Park,30
Mississippi State University,,28,"Department of Curriculum, Instruction, and Special Education (MA, Ph.D.)",87,40
"Indiana University, East",,School of Social Work (Master of Social Work),,78,3
New York University,,Robert F. Wagner Graduate School of Public Service,2,6,0
Washington University in St. Louis,,Olin Business School,,65,34
"University of Colorado, Boulder",,Aerospace Engineering,,114,24
"University of Phoenix, North Davis Learning Center, Clearfield",,0,,Clearfield,15
"University of Phoenix, Southern California Campus, Costa Mesa",,0,,Costa Mesa,9
University of Oregon,,28,2,128,36
University of Delaware,,3,2,99,26
Rhode Island School of Design,,Master of Fine Arts in Painting,,Providence,41
"University of Phoenix, Fairfax Learning Center, Fairfax",,0,,Fairfax,23
"University of Phoenix, Topeka Student Resource Center, Topeka",,0,,138,46
Davenport University,,1,* ESL required: 6.5,Grand Rapids,4
"University of Colorado, Boulder",,53,,114,24
"University of Michigan, Ann Arbor",,Rackham School of Graduate Studies,,122,4
Andrews University,,Department of Physical Therapy,,Berrien Springs,4
Pacific University,,51,(no subscore below 7.0),94,36
"University of Phoenix, Springfield Campus, Springfield",,0,,Springfield,34
"University of Phoenix, HEAT Center, Aberdeen",,0,,Aberdeen,30
San Francisco Art Institute,,Master of Art,,75,9
"Indiana University-Purdue University, Fort Wayne",,38,,46,3
"University of Phoenix, Magic View learning Center, Meridian",,0,,132,14
"University of Phoenix, Gardena Learning Center, Gardena",,0,,Gardena,9
"University of Colorado, Boulder",,Integrative Physiology,,114,24
University of Notre Dame,,Mendoza School of Business,11,Notre Dame,3
University of Pittsburgh,,43,,17,16
"University of Phoenix, New Mexico Campus, Albuquerque",,0,,133,48
"Texas A&M University, Kingsville",,55,,Kingsville,11
"Devry University, Orlando North Center",,25,,57,32
"Devry University, Seven Hills Campus",,25,,Seven Hills,10
Georgetown University,,Edmund Walsh School of Foreign Service,2,1,2
University of Virginia,,Mcinitre School of Commerce,,144,23
"University of Phoenix, Roseville Learning Center, Roseville",,0,,Roseville,9
Cornell University,,School of Hotel Administration,,28,0
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,0,,137,15
"University of California, Irvine",,The Paul Merage School of Business,,Irvine,9
"University of Phoenix, Pasadena Learning Center, Pasadena",,0,,74,9
University of Pennsylvania,,Graduate School of Education,,58,16
Alverno College,,Master of Arts in Education,,0,1
Union Graduate College,,1,,Schenectady,0
Massachusetts Institute of Technology,,Mechanical Engineering,6,85,7
"University of Phoenix, Henderson Learning Center, Henderson",,0,,45,33
"University of Colorado, Boulder",,Ecology and Evolutionary Biology,,114,24
"University of Colorado, Boulder",,Communications (master's and doctoral),,114,24
"University of Phoenix, Savannah Campus, Savannah",,0,,Savannah,28
Georgia State University,,Andrew Young School of Policy Studies,,33,28
New York University,,School of Professional and Continuing Studies,,6,0
Carnegie Mellon University,,Department of Chemical Engineering,,17,16
American University,,4,,1,2
"University of Phoenix, South Jordan Learning Center, South Jordan",,0,,South Jordan,15
University of Georgia,,Terry College of Business,9,19,28
Massachusetts Institute of Technology,,"History, Anthropology and Sciences, Technology/Society",,85,7
New York University,,Silver School of Social Work,4,6,0
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,0,,97,23
"Devry University, Atlanta Cobb Galleria Center",,25,,33,28
"University of Phoenix, Fairfield Learning Center, Fairfield",,0,,73,9
"University of Michigan, Ann Arbor",,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,Chemical Engineering,122,4
University of Southern Mississippi,,College of Arts and Letters,0,142,40
"University of Phoenix, Idaho Campus, Meridian",,0,,132,14
"Baruch College, City University of New York (CUNY)",,4,,6,0
"Devry University, Federal Way Campus",,25,,Federal Way,29
University of Pittsburgh,,7,,17,16
Vanderbilt University,,35,2,54,18
"Devry University, Westminster Campus",,25,,67,24
"University of Phoenix, Southern Arizona Center",,0,,110,5
University of Pittsburgh,,School of Health and Rehabilitation,,17,16
Eastern University,,Campolo College Graduate/Professional Studies,,72,16
Lewis & Clark College,,42,,59,36
Ohio State University,,Master of Labor and Human Resources,8,16,10
"Texas A&M University, Commerce",,Agricultural Education,Master of Education,105,11
University of Delaware,,College of Education and Human Development,2,99,26
Dominican University,,Brennan School of Business,,69,27
University of Connecticut,,27,,115,38
Massachusetts Institute of Technology,,32,7,85,7
"University of Colorado, Boulder",,Business (doctoral),,114,24
"Arizona State University, Mesa",,5,1,2,5
"University of North Carolina, Chapel Hill",,Kenan-Flagler Business School,,Chapel Hill,31
Baldwin-Wallace College,,1,,Berea,10
College of Charleston,,0,2,Charleston,22
"University of Phoenix, Birmingham Campus, Birmingham",,0,,109,8
University of Houston,,62,2,7,11
"University of Colorado, Boulder",,Spanish,,114,24
New School (The),,"Milano School of International Affairs, Management, and Urban Policy",,6,0
Santa Clara University,,10,,100,9
University of Denver,,Korbel School of International Studies,2,25,24
"University of Phoenix, Des Moines Campus, West Des Moines",,0,,West Des Moines,45
"Indiana University-Purdue University, Fort Wayne",,Kelley School of Business,,46,3
"University of Phoenix, Westlake Learning Center, Westlake",,0,,Westlake,10
Emory University,,Goizueta School of Business,,33,28
University of Houston,,55,2,7,11
University of Pittsburgh,,1,12,17,16
University of Delaware,,"Department of Health, Nutrition, and Exercise Sciences",Master's Degree (MS) Program In Human Nutrition,99,26
Lake Erie College,,1,,Painesville,10
"Arizona State University, Phoenix",,5,1,3,5
University of Portland,,Engineering,,59,36
Massachusetts Institute of Technology,,Microbiology,Interdisciplinary Programs: (7.0 preferred) (IELTS preferred),85,7
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,0,,Beale AFB,9
"University of Phoenix, Richmond Campus, Richmond",,0,,78,23
"Devry University, Pittsburgh Campus",,25,,17,16
Chapman University,,Argyros School of Business and Economics,,20,9
Boise State University,,Business Graduate Programs,,9,14
Marywood University,,Communication Arts,,84,16
Massachusetts Institute of Technology,,Civil and Environmental Engineering,2,85,7
"Mercer University, Main Campus",,Eugene W. Stetson School of Business and Economics,,86,28
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,0,,Woodland Hills,9
Duke University,,Nicholas School of the Environment,,71,31
Pace University,,15,,6,0
Tufts University,,58,,107,7
Illinois Institute of Technology,,37,,31,27
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,0,,St. Louis Park,17
"University of Phoenix, Lansing Learning Center, Lansing",,0,,Lansing,4
Arkansas State University,,6,,Jonesboro,6
"City University of Seattle, University of International Business and Economics",,1,2,Beijing,
Arkansas Tech University,,0,,Russellville,6
Washburn University,,0,,138,46
"University of Phoenix, Owasso Learning Center, Owasso",,0,,Owasso,35
Boston College,,12,,10,7
Harvard Business School,,34,,11,7
Weber State University,,Master of Education Program,,Ogden,15
University of Dallas,,1,,47,11
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,0,,0,1
Framingham State University,,1,,Framingham,7
Loma Linda University,,38,,81,9
"University of Missouri, Kansas City",,Henry W. Bloch School of Management,PhD in Entrepreneurship and Innovation: contact school for score,49,34
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,0,,Rancho Cordova,9
"Devry University, Houston Campus",,25,,7,11
"University of Phoenix, Florence KY Learning Center, Florence",,0,,Florence,12
Columbia University,,Business School Doctoral Program,2,6,0
Alverno College,,2,,0,1
New York Medical College,,"School of Health Sciences and Practice, Master in Public Health",,89,0
"City University of Seattle, Edmonton",,21,2,Edmonton,19
Massachusetts Institute of Technology,,40,School of Science: Contact school for score,85,7
University of Scranton,,Human Resources Administration,,84,16
Willamette University,,Atkinson Graduate School of Management,,136,36
New York University,,"College of Dentistry, Advanced Programs for International Dentists",Contact College of Dentistry for score,6,0
"University of Phoenix, Corona Student Resource Center, Corona",,0,,Corona,9
Cornell University,,Johnson School of Management,,28,0
Saint Vincent College,,41,,Latrobe,16
Delaware State University,,Master of Science in Sports Administration,2,30,26
University of Kentucky,,Gatton College of Business and Economics,Ph.D.,Lexington,12
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,Graduate School of Management and Technology,,Adelphi,30
University of Pittsburgh,,57,,17,16
Fuller Theological Seminary,,Master's program,,74,9
Regent University,,School of Business & Leadership,,97,23
Pace University,,Lubin School of Business,9,6,0
Kent State University,,Master of Science in Financial Engineering,,80,10
George Washington University,,School of Public Health and Health Services,,1,2
New York University,,Tisch School of the Arts,2,6,0
University of Scranton,,52,,84,16
Fairfield University,,Dolan School of Business Master of Business Administration,,73,38
"University of Phoenix, Mililani Learning Center, Mililani",,0,,Mililani,44
Columbia University,,Graduate School of Journalism,,6,0
"Carnegie Mellon University, Greece",,19,2,19,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,0,,37,31
New York Medical College,,Doctor of Public Health in Epidemiology (DrPH),,89,0
University of Florida,,Hough Graduate School of Business,,117,32
Seton Hall University,,Master of Arts in Writing Popular Fiction,,102,16
"University of Phoenix, Burlington Learning Center, Burlington",,0,,Burlington,7
Doane College,,Initial Program at the Advanced Level for Certification,,68,37
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,0,,122,4
"City University of Seattle, CU-TEI Piraeus Program",,MS Computer Systems,2,19,
"University of Phoenix, Brookstone Learning Center, Columbus",,0,,16,28
University of Denver,,Graduate Tax Program,2,25,24
"University of Phoenix, Kansas City Campus, Kansas City",,0,,49,34
"University of Phoenix, Lenexa Learning Center, Lenexa",,0,,Lenexa,46
"University of Phoenix, Fairfield County Campus, Norwalk",,0,,Norwalk,38
Pace University,,Seidenberg School of Computer Science and Information Systems,,6,0
"Devry University, Chicago Campus",,25,,31,27
"City University of Seattle, Vancouver, Canada",,21,2,21,20
"University of Phoenix, Columbus-GA Campus, Columbus",,0,,16,28
"Devry University, Midtown Manhattan Campus",,25,,6,0
"University of Phoenix, Beachwood Learning Center, Beachwood",,0,,Beachwood,10
"University of Phoenix, Western Washington Campus, Tukwila",,0,,Tulkwila,29
West Coast University,,Master of Science in Occupational Therapy,,N Hollywood,9
San Francisco Art Institute,,Master of Fine Art,,75,9
"Devry University, Long Beach Campus",,25,,Long Beach,9
University of Oregon,,School of Journalism and Education,2,128,36
"University of Phoenix, East El Paso Learning Center, El Paso",,0,,El Paso,11
"University of Phoenix, Woodlands Learning Center, Spring",,0,,Spring,11
Stetson University,,30,,DeLand,32
Midland Lutheran College,,Master of Professional Accounting,(no subscore below 5.0),41,39
Mills College,,Master of Arts in English,,55,9
"Devry University, Alahambra Center",,25,,Alahambra,9
"City University of Seattle, Victoria",,21,2,22,21
Dominican University,,Graduate School of Library and Information Sciences,,69,27
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,0,,Diamond Bar,9
"Texas A&M University, Commerce",,Agricultural Science,Master of Science,105,11
"Arizona State University, Tempe",,5,1,Tempe,5
University of Virginia,,Curry School of Education,,144,23
Syracuse University,,S.I. Newhouse School of Public Communications,,103,0
University of Arizona,,Eller College of Management,2,110,5
"Devry University, Kansas City Downtown",,25,,49,34
University of Central Arkansas,,6,Master of Accountancy,Conway,5
