Institution,Specific Graduate Program,Restrictions,City,State
"University of Phoenix, Independence Learning Center, Independence",,,,
"University of Phoenix, Houston Campus, Houston",,,,
Duke University,,,,
"Pennsylvania State University, Harrisburg",,,,
Clark University,,,,
Mississippi State University,,,,
Chamberlain College of Nursing (online),,,,
Northeastern University,,,,
Virginia Polytechnic Institute and State University,,,,
"Texas A&M University, Commerce",,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,
"Devry University, Waukesha Center",,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,
University of Portland,,,,
Maryland Institute College of Art,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,
Baylor College of Medicine,,,,
"Devry University, Sugar Land (Houston) Center",,,,
"University of Hawaii, Manoa",,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,
Yale University,,,,
"Devry University, Arlington (Crystal City) Campus",,,,
American University,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,
"Devry University, Stockbridge (Henry County) Center",,,,
University of Portland,,,,
Kent State University,,,,
Maryland Institute College of Art,,,,
Massachusetts Institute of Technology,,,,
"City University of Seattle, Calgary",,,,
Luther Seminary,,,,
Johns Hopkins University,,,,
York College of Pennsylvania,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,
Missouri University of Science and Technology,,,,
Loyola University Chicago,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,
Henderson State University,,,,
"Devry University, Merrillville Center",,,,
University of Virginia,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,
Howard University,,,,
University of San Francisco,,,,
Carson-Newman College,,,,
Pacific Lutheran University,,,,
University of Hartford,,,,
Keuka College,,,,
University of Southern Mississippi,,,,
"University of North Carolina, Charlotte",,,,
Hofstra University,,,,
Massachusetts Institute of Technology,,,,
Washington University in St. Louis,,,,
Southern Arkansas University,,,,
"Devry University, Indianapolis Center",,,,
Golden Gate University,,,,
"Devry University, Lynnwood Center",,,,
Bloomfield College,,,,
Niagara University,,,,
University of Delaware,,,,
George Washington University,,,,
"Devry University, Duluth (Gwinnett) Center",,,,
"Auburn University, Auburn",,,,
"University of Phoenix, Dallas Campus, Dallas",,,,
"University of Michigan, Ann Arbor",,,,
Carnegie Mellon University,,,,
Columbia University,,,,
University of Texas Medical Branch,,,,
Widener University,,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,
University of San Francisco,,,,
"Temple University, Japan Campus",,,,
Widener University,,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,
"University of Minnesota, Twin Cities",,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,
"Devry University, Fremont Campus",,,,
"University of California, Davis",,,,
University of Pittsburgh,,,,
"Devry University, Miramar Campus",,,,
"Devry University, Ft. Washington Campus",,,,
University of Virginia,,,,
Pace University,,,,
"University of North Carolina, Wilmington",,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,
Loma Linda University,,,,
University of Oregon,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,
"Texas A&M University, Commerce",,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,
"Devry University, Philadelphia (Center City) Center",,,,
University of Central Oklahoma,,,,
"Devry University, Nashville Campus",,,,
"California Baptist University, Hesperia",,,,
Georgetown University,,,,
"University of Colorado, Boulder",,,,
University of Pittsburgh,,,,
"University of Minnesota, Twin Cities",,,,
"City University of Seattle, Vancouver, Canada",,,,
"Devry University, Naperville Center",,,,
"University of Texas, Austin",,,,
"University of Massachusetts, Boston",,,,
Oral Roberts University,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,
New York University,,,,
Doane College,,,,
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,
Nova Southeastern University,,,,
"University of Michigan, Ann Arbor",,,,
Northeastern University,,,,
"University of Washington, Bothell",,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,
University of South Carolina,,,,
"University of Nevada, Reno",,,,
University of Houston,,,,
Johns Hopkins University,,,,
University of Houston,,,,
"Devry University, Richardson Center",,,,
"University of Phoenix, Detroit Campus, Troy",,,,
St. Mary's University,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,
"Devry University, Jacksonville Campus",,,,
Virginia Polytechnic Institute and State University,,,,
New School (The),,,,
"Baruch College, City University of New York (CUNY)",,,,
Massachusetts Institute of Technology,,,,
Carnegie Mellon University,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,
"Devry University, Portland Campus",,,,
Fordham University,,,,
"University of Phoenix, McAllen Campus, Allen",,,,
"University of Maryland, College Park",,,,
Mississippi State University,,,,
"Indiana University, East",,,,
New York University,,,,
Washington University in St. Louis,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,
University of Oregon,,,,
University of Delaware,,,,
Rhode Island School of Design,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,
Davenport University,,,,
"University of Colorado, Boulder",,,,
"University of Michigan, Ann Arbor",,,,
Andrews University,,,,
Pacific University,,,,
"University of Phoenix, Springfield Campus, Springfield",,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,
San Francisco Art Institute,,,,
"Indiana University-Purdue University, Fort Wayne",,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,
"University of Colorado, Boulder",,,,
University of Notre Dame,,,,
University of Pittsburgh,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,
"Texas A&M University, Kingsville",,,,
"Devry University, Orlando North Center",,,,
"Devry University, Seven Hills Campus",,,,
Georgetown University,,,,
University of Virginia,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,
Cornell University,,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,
"University of California, Irvine",,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,
University of Pennsylvania,,,,
Alverno College,,,,
Union Graduate College,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,
"University of Colorado, Boulder",,,,
,Ecology and Evolutionary Biology,,114,24
"University of Phoenix, Savannah Campus, Savannah",,,,
Georgia State University,,,,
New York University,,,,
Carnegie Mellon University,,,,
American University,,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,
University of Georgia,,,,
Massachusetts Institute of Technology,,,,
New York University,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,
"Devry University, Atlanta Cobb Galleria Center",,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,
"University of Michigan, Ann Arbor",,,,
University of Southern Mississippi,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,
"Baruch College, City University of New York (CUNY)",,,,
"Devry University, Federal Way Campus",,,,
University of Pittsburgh,,,,
Vanderbilt University,,,,
"Devry University, Westminster Campus",,,,
"University of Phoenix, Southern Arizona Center",,,,
University of Pittsburgh,,,,
Eastern University,,,,
Lewis & Clark College,,,,
Ohio State University,,,,
"Texas A&M University, Commerce",,,,
University of Delaware,,,,
Dominican University,,,,
University of Connecticut,,,,
Massachusetts Institute of Technology,,,,
"University of Colorado, Boulder",,,,
"Arizona State University, Mesa",,,,
"University of North Carolina, Chapel Hill",,,,
Baldwin-Wallace College,,,,
College of Charleston,,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,
University of Houston,,,,
"University of Colorado, Boulder",,,,
New School (The),,,,
Santa Clara University,,,,
University of Denver,,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,
"Indiana University-Purdue University, Fort Wayne",,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,
Emory University,,,,
University of Houston,,,,
University of Pittsburgh,,,,
University of Delaware,,,,
Lake Erie College,,,,
"Arizona State University, Phoenix",,,,
University of Portland,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,
"University of Phoenix, Richmond Campus, Richmond",,,,
"Devry University, Pittsburgh Campus",,,,
Chapman University,,,,
Boise State University,,,,
Marywood University,,,,
Massachusetts Institute of Technology,,,,
"Mercer University, Main Campus",,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,
Duke University,,,,
Pace University,,,,
Tufts University,,,,
Illinois Institute of Technology,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,
Arkansas State University,,,,
"City University of Seattle, University of International Business and Economics",,,,
Arkansas Tech University,,,,
Washburn University,,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,
Boston College,,,,
Harvard Business School,,,,
Weber State University,,,,
University of Dallas,,,,
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,
Framingham State University,,,,
Loma Linda University,,,,
"University of Missouri, Kansas City",,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,
"Devry University, Houston Campus",,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,
Columbia University,,,,
Alverno College,,,,
New York Medical College,,,,
"City University of Seattle, Edmonton",,,,
Massachusetts Institute of Technology,,,,
University of Scranton,,,,
Willamette University,,,,
New York University,,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,
Cornell University,,,,
Saint Vincent College,,,,
Delaware State University,,,,
University of Kentucky,,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,
University of Pittsburgh,,,,
Fuller Theological Seminary,,,,
Regent University,,,,
Pace University,,,,
Kent State University,,,,
George Washington University,,,,
New York University,,,,
University of Scranton,,,,
Fairfield University,,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,
Columbia University,,,,
"Carnegie Mellon University, Greece",,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,
New York Medical College,,,,
University of Florida,,,,
Seton Hall University,,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,
Doane College,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,
University of Denver,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,
Pace University,,,,
"Devry University, Chicago Campus",,,,
"City University of Seattle, Vancouver, Canada",,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,
"Devry University, Midtown Manhattan Campus",,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,
West Coast University,,,,
San Francisco Art Institute,,,,
"Devry University, Long Beach Campus",,,,
University of Oregon,,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,
Stetson University,,,,
Midland Lutheran College,,,,
Mills College,,,,
"Devry University, Alahambra Center",,,,
"City University of Seattle, Victoria",,,,
Dominican University,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,
"Texas A&M University, Commerce",,,,
"Arizona State University, Tempe",,,,
University of Virginia,,,,
Syracuse University,,,,
University of Arizona,,,,
"Devry University, Kansas City Downtown",,,,
University of Central Arkansas,,,,
Illinois Institute of Technology,,,,
Monterey Institute of International Studies,,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,
"Devry University, Alpharetta Campus",,,,
University of Oregon,,,,
"Colorado State University, Pueblo",,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,
"Carnegie Mellon University, Japan",,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,
University of Pennsylvania,,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,
"University of Colorado, Boulder",,,,
Northeastern University,,,,
"University of California, Berkeley",,,,
"University of St. Thomas, Minneapolis",,,,
Oregon Health & Science University,,,,
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,
Johns Hopkins University,,,,
Eastern University,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,
"University of Phoenix, Concord Learning Center, Concord",,,,
Dartmouth College,,,,
University of Scranton,,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,
"Stony Brook University, State University of New York (SUNY)",,,,
Virginia Polytechnic Institute and State University,,,,
"Devry University, Gurnee Center",,,,
Carnegie Mellon University,,,,
"Northwood University, Florida",,,,
"Indiana University, Bloomington",,,,
"Anderson University, Indiana",,,,
University of North Texas,,,,
"Texas A&M University, College Station",,,,
University of San Diego,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,
University of Rochester,,,,
Duke University,,,,
University of Pittsburgh,,,,
Ohio State University,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,
Syracuse University,,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,
San Diego State University,,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Maryland Campus, Columbia",,,,
"Auburn University, Auburn",,,,
Duke University,,,,
Massachusetts Institute of Technology,,,,
Dominican University,,,,
George Washington University,,,,
Suffolk University,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,
Virginia Polytechnic Institute and State University,,,,
Georgetown University,,,,
Harvard Business School,,,,
University of Portland,,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,
"University of Colorado, Boulder",,,,
American University,,,,
"Devry University, Pomona Campus",,,,
"Devry University, San Diego Campus",,,,
Lutheran School of Theology at Chicago,,,,
"California Baptist University, Beaumont",,,,
Johns Hopkins University,,,,
"University of Alabama, Tuscaloosa",,,,
"City University of Seattle, Business and Hotel Management School",,,,
Michigan State University,,,,
"Texas A&M University, Commerce",,,,
University of Scranton,,,,
Virginia Polytechnic Institute and State University,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,
Boston University,,,,
"Devry University, Paramus Center",,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,
University of Georgia,,,,
Widener University,,,,
Marywood University,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,
Houston Baptist University,,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,
"Northwood University, Texas",,,,
Georgia State University,,,,
University of Texas Medical Branch,,,,
University of Kansas,,,,
Regent University,,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,
"Devry University, Mesa Center",,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,
Georgia State University,,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,
"University of Michigan, Ann Arbor",,,,
Seton Hall University,,,,
Brandeis University,,,,
"Carnegie Mellon University, Australia",,,,
University of Virginia,,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,
University of Portland,,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,
"Devry University, Columbus North Center",,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,
Florida International University,,,,
"University of Colorado, Boulder",,,,
Capital University,,,,
University of Denver,,,,
University of Chicago,,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,
"University of Massachusetts, Amherst",,,,
Rice University,,,,
University of San Francisco,,,,
University of Denver,,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,
University of New Haven,,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,
Georgia State University,,,,
Columbia University,,,,
"Northwood University, Michigan",,,,
American University,,,,
"Colorado State University, Pueblo",,,,
"University of Colorado, Boulder",,,,
University of Pennsylvania,,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,
"Wheaton College, Illinois",,,,
"Brigham Young University, Utah",,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,
"University of Colorado, Boulder",,,,
"Devry University, Oakland Center",,,,
"Rutgers, The State University of New Jersey, Newark",,,,
"University of Alaska, Fairbanks",,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,
"Colorado State University, Fort Collins",,,,
University of Rhode Island,,,,
Seton Hall University,,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,
San Jose State University,,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,
Fairfield University,,,,
"Devry University, San Jose Center",,,,
Upper Iowa University,,,,
Syracuse University,,,,
Colorado Heights University,,,,
Florida International University,,,,
Kent State University,,,,
Mississippi State University,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,
Marywood University,,,,
Boston College,,,,
"University of Phoenix, South Florida Campus, Plantation",,,,
University of San Francisco,,,,
"Long Island University, Post",,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,
"University of Alaska, Anchorage",,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,
Loma Linda University,,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,
"University of California, San Diego",,,,
New School (The),,,,
"Devry University, Cincinnati Campus",,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,
"University of Michigan, Ann Arbor",,,,
Columbia University,,,,
"University of Phoenix, Madison Campus, Madison",,,,
University of Scranton,,,,
"Devry University, Memphis Campus",,,,
Massachusetts Institute of Technology,,,,
Vanderbilt University,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,
University of Pennsylvania,,,,
University of Virginia,,,,
University of Louisville,,,,
"University of Phoenix, Portage Learning Center, Portage",,,,
"University of Phoenix, Northern Virginia Campus, Reston",,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,
"University of California, San Diego",,,,
Tufts University,,,,
Boston University,,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,
"Devry University, Decatur Campus",,,,
"University of Nevada, Las Vegas",,,,
University of New Haven,,,,
Yale University,,,,
University of New Hampshire,,,,
"University of Phoenix, Miami Learning Center, Miami",,,,
Massachusetts Institute of Technology,,,,
"Devry University, Manassas Center",,,,
Brandeis University,,,,
"Devry University, King of Prussia Center",,,,
University of Portland,,,,
University of Arizona,,,,
Massachusetts Institute of Technology,,,,
University of Kansas,,,,
University of Indianapolis,,,,
Massachusetts Institute of Technology,,,,
"Auburn University, Auburn",,,,
Columbia Southern University,,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,
Spring Hill College,,,,
"Devry University, Colorado Springs Center",,,,
University of Iowa,,,,
University of Redlands,,,,
University of Pittsburgh,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,
Santa Clara University,,,,
Metropolitan State University,,,,
"Richmond, The American International University in London",,,,
"University of Massachusetts, Boston",,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,
"University of Massachusetts, Boston",,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,
George Washington University,,,,
Capital University,,,,
Doane College,,,,
"California Baptist University, Chino",,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,
"Devry University, St. Louis Campus",,,,
"University of Massachusetts, Amherst",,,,
"University of Colorado, Boulder",,,,
"Devry University, Fresno Campus",,,,
"Devry University, Oxnard Center",,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,
Capital University,,,,
Claremont Graduate University,,,,
Georgia State University,,,,
University of Iowa,,,,
Columbia University,,,,
University of Connecticut,,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,
"Devry University, Addison Campus",,,,
"University of Houston, Victoria",,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,
"Devry University, Miami Center",,,,
Mississippi State University,,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,
"University of Texas, Tyler",,,,
Loma Linda University,,,,
Gonzaga University,,,,
Pacific University,,,,
Mississippi State University,,,,
University of Memphis,,,,
Western Kentucky University,,,,
"University of Colorado, Boulder",,,,
Northwestern University,,,,
"University of Michigan, Ann Arbor",,,,
University of Pittsburgh-Carnegie Mellon University,,,,
Boston University,,,,
Pepperdine University,,,,
"Carnegie Mellon University, Portugal",,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,
Florida Atlantic University,,,,
Northern Arizona University,,,,
Yale University,,,,
College of William and Mary (The),,,,
Florida International University,,,,
Xavier University,,,,
Alverno College,,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,
Shenandoah University,,,,
"University of Colorado, Boulder",,,,
Marywood University,,,,
University of Pennsylvania,,,,
University of Houston,,,,
Milligan College,,,,
"St. John's University, Queens",,,,
